[14.881] 霧月むげつ: こんばんは お疲れ様です
[18.209] tsubame5204: umeSalute
[485.190] (S)そろもん1: ケツほうりゅうケツほうりゅう
[485.930] merkava_mk2: かるびの遺影持ってるウメちゃんがシュールだった
[487.543] 綾鷹7777: ジムかー、なるほどです
[489.453] umetyaahan: ワロタ
[491.650] Jeakfreet: www
[491.912] enuemu3: お勤めご苦労様です
[492.065] プリズムパワー: 1年かぁ
[492.183] chin_56_: シャバ
[492.286] (S)そろもん1: 足立区怖い
[492.476] NekkyOne: 出所勢おるｗ
[493.247] ちぇんぷる: 草
[493.519] (S)hinhinpp: なーにやったんだ！
[494.548] 大ﾗｲｽ: 出所？！
[495.477] 硝子窓: もう悪い事するなよ！
[496.069] (S)Reopon_: 光漏れウメちゃん
[496.345] 不渡哲也: ひえっ
[496.564] crownin_fumizuki: チャリ投げ込んだんか？
[497.134] 失地王: 出所民
[497.213] mifune1046: シャバに出てきたかー
[497.905] (S)haicro_zm: 出所とは
[499.398] イガ: 改心しな？
[499.921] Alyasfi: is that how the beast warms up?
[499.961] umetyaahan: クロダか？
[500.303] goozy009: お疲れ様でした
[500.852] 将門ゴルゴロ: 足立区だ・・・
[502.407] (S)m1s4m0: 詐欺かな１年だと
[503.573] underground0714: 微笑ましいチャット欄やね🤗
[504.179] (S)maya_g01: お勤めご苦労様です
[505.526] kobayan86BRZ: クロダｗ
[505.549] (S)絵馬にょ: お勤めご苦労様
[508.622] yomogi0610: シャバの空気はうめぇか
[509.117] jambotanishi: コーディーか？
[510.157] OKG_TWIN: JPの視線がケンの動きを追ってちゃんと上下に動いてるの面白い
[511.869] 失地王: 足立区のチャンネル
[513.422] (S)monpiipop: 楽しんでいこうぜ！
[513.583] あり0221: もう自転車人の家に投げるなよ
[516.795] sphere0315: 楽しませていただく（意味深）
[518.460] domontyan: Cheer100 先日、客に理不尽な対応できない事を丁寧に説明した上で、二回も殴られました。でも、ウメちゃんの教え、真正面からうけとめるな戦法でうまくのりきれました。あざっす
[521.338] dassun1: こんばんは！今日は誰かと対戦するんですか？
[522.831] silca12: 日課昇竜の時間か
[524.357] underground0714: これもうコーディーだろ
[526.643] ひろみつー: まずはウメちゃんに謝罪だろう
[539.350] (S)5emo2: 5emo2 subscribed with Prime. 
[544.363] umetyaahan: 今日治安悪くない？
[546.919] testpofff: 草生える話ばっか
[548.219] かちゅう: 殴られた時点で客ちゃうやろ
[550.304] v_harumi_v: 殴られるのこわい💦
[551.089] mifune1046: JPに後ろ下がりさせたらリセットボタン押す回数減らせるのでは
[551.297] (S)そろもん1: 日課ほうりゅうケツ
[555.655] みょんみょんあかみ: 暴行罪でケーサツやね。二発だから２０万くらいもらっとこう
[557.665] ちぇんぷる: 2回も殴られるの怖すぎる
[562.085] streum13: furansu kara konnichiwa minna san
[564.400] ヨコグシ: BibleThump
[569.323] (S)マンゴスチン: JPの顔細かいなぁ
[578.960] ひろみつー: 殴られたなら警察呼びなよ
[584.750] (S)junpei_11: ストリートファイトが当たり前なんだから格ゲーの治安が悪いのは仕方ない
[585.724] enuemu3: まっぽ呼ばなきゃ
[586.912] (S)godiva_matsui: なんで警察に行かないんですかねぇ…
[596.495] プリズムパワー: 二発受け流した
[600.738] ひろみつー: メトロシティじゃないんだからさぁ
[603.096] OKG_TWIN: メトロシティかな？
[604.272] umetyaahan: インパクトなら確定したぞ
[606.672] testpofff: ヒット確認してた
[610.018] nen_100: えんじ色似合いますねディエゴさん
[612.401] 綾鷹7777: ドライブインパクトならギリ耐えれる
[615.618] (S)m1s4m0: どもんくんガソスタだっけ やな客多そう
[618.282] (S)gorogorogorn: 警察は怪我しないと大して動かんから殴られ損よね
[624.515] murambi: Good evening Daigo
[632.487] condol456: ベースの効果ってそろそろ感じてきた？
[634.569] プリズムパワー: ウメちゃん人殴ったことある?
[637.574] (S)そろもん1: ゲーセンで自転車盗まれるのが足立区
[639.545] みょんみょんあかみ: 昇竜拳botと化した王
[648.596] testpofff: 警察に動いてもらおうってのがもう弱者の発想すぎる
[653.664] domontyan: ありがとうございます 上司から別に通報するまでもないっていわれてもういいやってなりました
[653.806] kureha_twitch: うめちゃ〜ん
[657.378] (S)junpei_11: ウメちゃんは殴られたら殴り返す、倍返しだタイプですか？
[666.189] (S)ましゅダヨ: うめちゃんこんばんはー！
[668.246] 霧月むげつ: 大会優勝以外でやれて嬉しかった仕事ってありますか？
[669.741] みょんみょんあかみ: うわ～くそ上司
[670.757] battyo76: 客商売やってると同じ人類とは思えない人とたまに会うのは分かる
[673.350] TB2117: ウメさん子供の頃殴られた事あったんじゃなかったっけｗ
[675.742] (S)romamaloico: あら、珍しいTシャツ
[677.760] ちぇんぷる: それは上司もやばいよ
[681.004] enuemu3: 酷いね〜
[685.342] ひろみつー: EVOで優勝したらまた寄付するの？
[688.151] ヨコグシ: うわ…
[688.989] 綾鷹7777: そういや、日付変わると同時にラシードかな？
[691.659] セツリ: もっと上に行ったら上司どっかいくかも
[691.970] (S)matomona: そういえばベース
[695.161] unlimited_teddy: スト6ってコマンド適当だと技出ないよね
[698.550] (S)m1s4m0: １６時だよねたしか
[699.973] pass301019: パッドを使用しているのですが、十字キーの操作が苦手で、どうしてもスティックを使ってしまいます。矯正した方がよろしいでしょうか？
[700.224] domontyan: Cheer100 EVOがんばってください 休みとれましたので応援させていただきます
[700.247] vaio_95: ラシードは16時からだよ
[701.867] (S)tabibitox: ラシードはメンテ後
[706.095] (S)そろもん1: 音ゲーしてるガチ勢のズボン脱がすのが足立区
[707.340] sphere0315: ラシードはお昼のメンテ後
[708.596] Jeakfreet: ラシードは明日の16:00からですね
[712.327] tsukikage_saga: ウメちゃんおはよう！今日も暑かったわ
[713.875] v_harumi_v: 上司も酷かった＞＜
[717.687] 綾鷹7777: ラシードはメンテ後か、あざます
[722.234] nattokaree: ガンダムは観る予定ありますか？
[725.146] ひろみつー: ラシード触る予定ある？
[728.295] jhkkhfdathvd: ご飯何食べましたー？
[728.847] みょんみょんあかみ: まだ２０時間もあるのか…
[730.638] (S)Jasminexxx2525: 上司もひどいなぁ
[737.373] redbull_daisuki: こんばんは！今日は一人ですか
[741.093] (S)yone1129: YouTubeのももちさんとビグバの対談動画で、ももちさんもアングリーバードもケンはガイル戦が課題だと意見が一致していたのが印象的でした。ももちさんはサブでラシードを検討しているようです。
[742.566] battyo76: ラシードもだけどラッシュ関係どこまで確認できるんだろうね
[744.263] vaio_95: 明日の12時から14時のメンテの後だから楽しみやら怖いやら
[750.983] すみ___: おしゃれに目覚めたかと思ったらRed Bullトレーナーか
[751.140] (M)Moobot: ～ 新ヘッドセット登場 ～ HyperX Cloud III → 空間オーディオの臨場感で楽しくゲーム出来てます https://hyperx.gg/42XVwOf
[751.683] tsukikage_saga: 暑いの知らず、流石王！
[754.207] vaio_95: 14時じゃないや16時だ
[756.760] セツリ: ウメラシード！？
[759.646] casita226: 明日でゲーム崩壊か
[767.298] プリズムパワー: 中足ラッシュの練習が意味を無くすまであと２０時間
[770.554] (S)echizen2000: 中足ラッシュ確認してからいけちゃうようになるんかね
[773.318] (S)Arcaster42: 昨日ボーリングに行って、投げるところでこけちゃって、腱を破るところだったので、一週間以上右手使えない。ボーリングで...
[785.123] (S)shir039: こんばんは
[785.331] (S)マンゴスチン: スティック勢なので明日の修正は正直助かる
[793.443] シミズム: 深海のハンター興味ありますか？
[796.060] v_harumi_v: あらら、あーかすたぁにぃお大事に。
[803.571] (S)Arcaster42: 笑 日本にすんでるよ
[803.583] umetyaahan: あるだろw
[804.739] redbull_daisuki: 海外にい、お大事に
[806.724] (S)Arcaster42: もう10年くらい
[806.834] (S)echizen2000: ボーリングこわw
[814.846] underground0714: ケンを破る
[814.991] (M)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[815.410] みょんみょんあかみ: ボーリングフォーコロンバインという映画がありましたね
[818.469] enuemu3: お大事に
[819.118] Jeakfreet: お大事に
[822.622] goozy009: ありますよ〜、学生時代やってました
[825.160] (S)mm2351: エジプトが発祥
[825.709] domontyan: 早くよくなりますように・・・任
[835.347] (S)monpiipop: 日本に住んでるのねアーカスターにぃは。お大事に
[846.251] dlc84: 早う良くなるとイイっすね
[848.204] (S)Arcaster42: ありがとう
[851.936] redbull_daisuki: ビッグ・リボウスキって映画がありましてね
[855.502] 綾鷹7777: 男塾だと中国じゃね？
[855.917] (S)ランメルモールのルチア: こんばんわー 
[857.769] mifune1046: ボーリングといえばバッファロー66
[860.205] nen_100: 私はボウリングやりすぎてボウリングです
[866.015] すみ___: 屋台のビール飲みたい
[867.707] sengoku_iori: お大事にアーカスターにぃ
[873.608] みょんみょんあかみ: ボーリングだと掘削か
[874.309] プリズムパワー: やっぱ指を酷使する系の遊びはウメちゃん避ける?
[874.340] domontyan: ウメちゃん夏なのにそんなあつそうなふくだいじょうぶなの？
[893.452] (S)esutark: evoってどのくらい賞金出るですか
[905.127] (S)shir039: ちっちしよ！
[920.693] careful_crab: はい、梅原先生、こんにちは。今日も素晴らしいレッスンをありがとうございました！！！ 
[923.429] (S)mm2351: 指を酷使する遊び・・・格ゲーじゃぁん
[931.055] (S)ましゅダヨ: 花火ー！おうちから見えたりしますか？
[937.041] みょんみょんあかみ: １０ドルなんだ意外と安い
[937.648] (S)そろもん1: 近所のボーリング場でマイボールとグローブと靴を買ったら３週間でボーリング場潰れた
[955.538] (S)dalhi: 指パッチンやり過ぎると指痛い
[959.075] (S)esutark: ありがとー
[961.274] makibisi8787: 配信ありがとー
[988.267] battyo76: 現地には早めに行くんですか？
[988.986] ebifal: 昇竜拳ってどういう入力の仕方してますか？
[989.542] mifune1046: JPの顔がちゃんと上下してるの草
[1007.776] (S)echizen2000: ウンウン
[1011.060] (S)hiro_chan: →➘→と➘↓➘
[1011.652] Justinfun456321987: 見守ってくれてる
[1012.170] (S)esutark: ノーブル君はTop8くらいになればスポンサーつきますか
[1013.058] redbull_daisuki: チャン・ボン老師も配信始めたね。今日こそ老師にリベンジあるか？
[1020.104] condol456: EVOの為にキャラ対策とかしますか？
[1021.432] umetyaahan: JP（何してんだこいつ）
[1026.110] (S)ましゅダヨ: うめちゃん今日もおねむです？
[1037.832] プリズムパワー: ノーブル君には何が欠けてますか
[1042.880] セツリ: ﾗｵｼｰ
[1043.843] 新ころりん: 感謝の昇龍拳
[1048.713] (S)残り8万: evo優勝したら人生変わる?
[1050.069] yomogi0610: チャンボン老師
[1052.934] (S)ましゅダヨ: お、老師
[1052.994] (S)esutark: なるほど ありがとうございます
[1057.517] redbull_daisuki: COMP鈴木はスポンサーしてくれんのか
[1059.906] (S)マンゴスチン: もうすっかり老師。。。
[1061.067] ちぇんぷる: 老師ー！
[1062.286] reklats12: 老師定着しちゃったなｗ
[1068.950] akira_s_: シュートリベンジの次は老師だ
[1077.501] (S)bikibiki999: 待ってるだけじゃ難しいとは思う
[1077.544] saketyazu: ほんとだちゃんとJP首上下させて昇龍拳みてくれてるw
[1078.676] gugugu5432: 今年のＥＶＯのスト６は特に注目度高そうだし
[1079.659] (S)hiro_chan: よっさん、老師、きんちょーる
[1085.362] oh_say__: なんでこんな昇竜してるの
[1088.251] 新ころりん: なんか老師はしっくりきちゃったんだよねｗ
[1088.444] careful_crab: DinoDance
[1089.786] (S)goto888: 老師もevo取ってから海外人気爆上がった印象
[1090.012] すみ___: 昇竜拳でじわじわ近づいてくる友達嫌だわぁ
[1093.683] diego_ohunabara: umeYay
[1097.921] (S)tabibitox: 反復練習は基本
[1100.026] みょんみょんあかみ: 藤村さんとか５最初のEVO活躍してから一気に勢いついたイメージある
[1105.293] gajonaori: シュートは昨日かなり反省モードだった
[1106.109] kakutora_no_o: 数日で変わりすぎなんだよなぁ
[1109.217] diego_ohunabara: umeMezame
[1113.219] akira_s_: 指を鍛えるための昇竜拳
[1126.086] (S)ましゅダヨ: もはや名前のぼんちゃんの1文字もない
[1129.331] nen_100: 老師とか１２８先とか、葛葉くん数々の爪痕残したよね
[1129.513] jhkkhfdathvd: evoで有名になるのか
[1129.677] レム__: 今日も感謝の
[1137.119] pishacha1916: 老師ありがとー
[1142.716] (S)echizen2000: インチキ入力ってコンボとか龍尾用？
[1145.343] tsukikage_saga: ウメちゃんが覚えているか分かりませんが昔スト５のシーズン２でリュウが弱体化して逆にワクワクしたと言っておりましたがスト６ではそういうワクワクってありますでしょうか？
[1149.215] dons2020: 知名度は大事
[1154.805] ダルおじ: 老師呼び定着してるぜ
[1155.796] みょんみょんあかみ: そういや今回のEVO三日目てTOP６なんですってね
[1160.381] シミズム: JP何気に顔も上下してるのね
[1162.381] Boris_17z: Why Saito using hitbox if it's banned from Evo?
[1164.884] battyo76: 動画見始めてから1番面白かったのはギルティのオシゲさんの神ガッツポーズ
[1166.577] akira_s_: いちご100%のまさはもういない…
[1168.641] Boris_17z: Daigo
[1182.413] tsukikage_saga: なるほど、ありがとうございます！
[1182.574] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典があります → https://bit.ly/2YE2nLB
[1189.757] mifune1046: カプコンカップ終わるまで調整こないと知って泣きそう…
[1190.315] ダルおじ: 小路KOGの足切断は最近はじめて見て笑った
[1193.307] kanegon7237: 慶応の講演でもあった質問かな？
[1208.613] akira_s_: 明日はラシードがくる…
[1208.796] jagajaga1943: ヒトボってPS5対応してたっけ
[1210.199] (S)bikibiki999: umeSnooze
[1210.878] (S)romamaloico: みんな別々の強さで見てる分にすごいワクワクする
[1213.154] oh_say__: ウメちゃんこっち見てほしい
[1214.665] umetyaahan: なんだかんだ一番面白いのは「これ納豆巻きじゃなくねぇ」
[1217.201] kaigaizei: 明日のラシード何時から？
[1225.723] gajonaori: チャン＝ボン老師の面白いところはピンイン読みのチャンが張など普通に中国名字に実在するとこだわ
[1226.425] (S)monpiipop: 16時かららしい
[1226.892] (S)hiro_chan: 16時？
[1232.338] (S)Nagare765: 今日はずっとランクマ？
[1233.107] すみ___: マッサージ機買うの？
[1235.386] (S)koeda_587: こんばんはumeGoat
[1236.624] レム__: 結構遅めか
[1238.521] 新ころりん: 今日も暑かった 梅ちゃんも熱中症とか注意してね
[1239.129] (S)bikibiki999: そういやウメちゃんは明日出発か
[1239.295] かべ_娘は双子: こんばんはー
[1242.329] セツリ: umeGoat
[1243.574] kaigaizei: 16時から嵐か
[1244.533] ダルおじ: わっかったよ ヌキが一番おもろいのは
[1245.413] (S)hiro_chan: 12時からメンテ
[1252.173] (S)ましゅダヨ: 日曜でぃす！
[1268.463] nen_100: それな！葛葉くん言葉の端々に教養の良さを感じた
[1274.242] (S)monpiipop: 明日……月曜日か……
[1275.109] かべ_娘は双子: 風邪ひいて明日仕事休みになったからラシード触れる
[1275.708] v_harumi_v: 31からじゃなくて、明日出発なんです？
[1276.054] tom236n236p: TOP６ってW4L2とW2L4どっちなんだろ
[1283.956] kanegon7237: 台湾の太極拳の老師でいてそうwチャン・ボン
[1299.480] (M)(S)gameinntwitch: ん？明日出発なの？
[1317.814] mifune1046: EVOってしのさんも行くんですか？
[1328.075] レム__: 昇龍って土辺みたいの舞ってるんだな
[1333.278] (S)bikibiki999: あ、来週の月曜か
[1334.974] セツリ: umeYay
[1335.849] gajonaori: ベース効果出てきたか はやない？
[1336.018] ミスターポポ: 指にたこできた？
[1340.160] tsukikage_saga: 飛行機の中ではノートPCとかでスト６練習します？それとも映画とか見ます？
[1340.604] (S)Nagare765: umeHotoke
[1342.157] 新ころりん: 睡眠導入昇龍拳
[1342.629] (S)echizen2000: ネム昇竜
[1344.840] (S)ましゅダヨ: いたい？
[1345.835] umetyaahan: おねむハラ
[1349.112] (S)泣き虫サクラ: 昨日もこの時間帯眠くなってなかったか
[1350.891] (S)しすてむえらー: 寝ながらでも昇龍拳
[1353.500] akira_s_: ミニにたこ
[1360.536] ぼむむ: 昇竜ASMR
[1364.589] horohoro123: 君たちはなぜ生きるのか見た？
[1369.124] yomogi0610: 指タコってプレイに支障出るんかな
[1371.456] (S)ましゅダヨ: うん、超眠そうw
[1371.713] condol456: 昇龍拳出しながら寝れたら本物
[1377.406] gajonaori: 张邦老师
[1378.026] tsukikage_saga: 昇竜拳が１匹、昇竜拳が２匹、昇竜拳が３匹、昇竜拳が４匹…昇竜拳が１９９９匹…Zzz
[1382.562] akira_s_: 草
[1403.186] umetyaahan: そういやまだ略されてるとこ見たことないわ
[1403.516] シミズム: 否定から入るタイトルやめて
[1407.205] (S)bikibiki999: 君生きは放映後あんまり話題になってないから大したことないんだなと思う
[1408.526] kakutora_no_o: 君たちはどう生きるかじゃなかった？
[1410.046] セツリ: ウメちゃん映画館なんねんも行ってなさそう
[1416.295] mifune1046: 昇龍拳、昇龍拳って夢に出そう
[1420.926] (S)ましゅダヨ: 君どう
[1421.591] gajonaori: 君たちはいついパナすか
[1425.106] careful_crab: DinoDance
[1426.508] (S)tabibitox: パヤオの新作は2週目けっこう落ちて100億いかなさそうとのこと
[1440.233] hal0302: 令和のドラゴンダンス
[1441.548] underground0714: 君たちはどうイキるか
[1448.976] ミスターポポ: 見てもいいような見なくてもいいような
[1453.523] akira_s_: まあジブリ自社制作映画ですし
[1453.539] Jeakfreet: 見たけど意味不明だったｗ
[1454.670] (S)hiro_chan: 俺たちはどう生きるかの第二弾ありますか？
[1455.709] kakutora_no_o: 意味不明だったって聞くからめっちゃ見たい
[1461.873] (S)f_black: どういう感想持つか気になる
[1466.873] yamada33333: 序盤の映像表現はすさまじい
[1467.448] v_harumi_v: 映画館で観た方が良い映画なのかしら
[1467.727] gajonaori: あーれは宮崎駿版の「∀ガンダム」ッス・・・
[1471.492] セツリ: しかも教養がないと良さが分からん と言う煽りもある模様
[1472.332] あり0221: 見た人に委ねる系の映画なんでしょうね
[1488.641] ミスターポポ: ぱやおがインタビューで「わけわかんなかったでしょ？僕だってわけわかんないんですから」って言ってた
[1490.239] moppu_gake: 意識高いやつだけ面白かったとかいうやつね
[1493.463] yamada33333: 宮崎駿本人もよくわからんと言い放った
[1494.475] (S)hiro_chan: 風立ちぬも最後意味不明やった
[1496.003] akira_s_: 中田敦彦やん
[1497.976] v_harumi_v: 私もないわー💦
[1498.826] NekkyOne: 馬鹿にはわからん映画？！
[1499.297] (S)bikibiki999: 意識高い系かー
[1502.029] (S)echizen2000: 俺、教養ないからわからんじょ～
[1502.236] mifune1046: RRRの方が確実に面白かったです！！
[1503.314] レム__: 格ゲーマーに教養は・・・
[1504.647] (S)esutark: ときどは わかるのか
[1504.676] (S)ましゅダヨ: うーん。難しい内容ぽそう。
[1505.752] (S)エムクロ: 本人もわからないって言ってなかった？
[1506.264] diego_ohunabara: umeYay
[1506.306] CampFire71: あるでしょ
[1507.627] (S)しすてむえらー: ナウシカ2作ってくれ
[1508.924] ラリぶべぼ: 作画陣は５０才以上の日本最高峰スタッフが揃ってる
[1511.209] enuemu3: 教養…？
[1513.299] chanmipoin: コンボと対空の練習ってどっちの方が優先度高い？
[1513.775] ミスターポポ: 俺教養あるけど普通だったよ
[1514.333] horohoro123: 東京都の場所分かんないといけない場面ある
[1517.486] (S)tabibitox: 結局大衆は昔のファンタジー的なジブリを望んでるのになｗ
[1520.685] twitchyarutch: それプロモーションにマイナスなのでは？w
[1521.939] (S)gorogorogorn: 教養？何それ
[1523.495] umetyaahan: ときどに感想もらおう
[1526.426] gajonaori: 意識高いっていうか、パヤオマニアが勝手に考察して盛り上がってね、っていう感じある・・・
[1526.801] kakutora_no_o: 映像美はすごかったらしいけどね
[1529.061] moppu_gake: もうトトロ越えられないんだなって思うと悲しいね
[1532.336] (S)dalhi: 教養ドレスコードキツい
[1532.490] (M)Moobot: ～ 新ヘッドセット登場 ～ HyperX Cloud III → 空間オーディオの臨場感で楽しくゲーム出来てます https://hyperx.gg/42XVwOf
[1534.534] mashe1748: もののけ姫も千と千尋も初見の時いまいちだったから人の評価は分からんもんだ 信じられるのはラピュタだけ
[1535.706] (S)esutark: ガチくんに見てもらいたい
[1537.966] nyahahahoi: 観る人を楽しませるって言うよりは教養のあるやつ以外観るなと言わんばかりの作品
[1538.727] (S)りゅうぅ_: 80歳のご老人に論理的な構成もとめちゃいかん感じろ
[1539.072] 真輝ちゃん: コントローラーとか揃えてスト６やってみたいけど、初心者だから躊躇してしまう
[1540.734] underground0714: 教養は学歴では計れない
[1541.408] chin_56_: 結局どう生きるかわからんかった
[1543.278] (S)echizen2000: 俺教養あるって言い草、無知の知って論破されそうですこ
[1544.089] Jeakfreet: 子ども向けではないですね
[1547.926] えいた: みんなでEVO前に観に行きましょう
[1550.570] goozy009: 馬鹿だけど、純粋に何時ものジブリ映画にしか感じなかったw
[1557.082] (S)ましゅダヨ: クリエイター系の方には結構刺さってるみたいですね
[1557.851] yomogi0610: 好きに生きたらええやん
[1558.234] kaigaizei: 「宮崎駿の教養って異常ですよね」って噺をチェンソーマンの作者がしてたな
[1559.918] (S)tabibitox: えいたｗ
