[32.079] れいとろん: にちは〜
[531.562] unimel1x: 年取って油物キツくなるの嫌だなぁ、美味しいものずっと食べたい
[537.489] みなぷ080821_: 男の人は年金もらうまで働きざかりっす
[539.787] (S)mukubado2: 今闘劇並みに荒れた大会があったら走り切れる自信がない…
[541.857] (S)鉄板: 風邪の治りが明らかに遅くなるんだ
[547.044] 再度落選の大統領マルモリ: 若者がDゲージ6本としたらおっさんは3本
[548.149] サケ缶: 体力の最大値も削れてく
[551.114] (S)港区ザンギエフ: こういうの、若い頃からの積み重ねなんだなぁって
[551.410] (S)美濃屋善兵衛: 悲報、一昨日の筋肉痛、まだ来ない
[555.017] tondetoukyou: 次とレジェンドマリーザお願いします
[560.644] kaeruseijin1008: 鶏皮が好きだから食べれなくなったらかなしい
[562.066] unimel1x: 辛そうなおっさんが多すぎる
[583.769] (S)mukubado2: 最強ー
[587.724] saru_buta: サプさあ
[589.137] unimel1x: ｯﾊｧｰ!w
[592.573] 再度落選の大統領マルモリ: ガンメタルハンマー
[592.767] (S)港区ザンギエフ: 30越えたら皆こうなる 早い人は20代後半から
[594.400] 吉田じんぎ: もしかして睡眠の質が悪いのでは？・・・そんな時には…そんな時のスポンサー欲しいな
[599.303] tkgnotamago: ラッシュサプレッサー最強ォーーー！
[601.980] みなぷ080821_: 格ゲーマーのコメ欄、健康の話で盛り上がりがち
[602.898] (S)ズバ: 体力の回復も、常に30秒切ってKOしたkof見たいな回復量
[611.528] (S)美濃屋善兵衛: っぱルークって訳
[620.747] 再度落選の大統領マルモリ: おっさんって時間経過でDゲージ回復するんじゃなくて減少してない？
[622.534] (S)港区ザンギエフ: サプレッサーしたらルークの腕もげるように調整しろ！
[637.298] 再度落選の大統領マルモリ: ガンメタルハンマー
[638.838] unimel1x: この対面エド有利はやっぱり絶対ないと思うの
[647.796] 吉田じんぎ: そもそも朝起きた時にゲージ100パーなことがない
[654.671] taki1211: ルークってかなり弱くなりそうですか？シーズン前にマスター目指した方がいいですかね
[671.674] (S)美濃屋善兵衛: マジでパーフェクトソルジャーだな、この主人公
[672.510] Lowrider777x: BGMなし？最近の流行り？
[683.497] kaeruseijin1008: むしろ寝起きいちばん体調悪いまであるわ
[692.167] 再度落選の大統領マルモリ: どぐゲー配信は基本的にBGM無い
[694.762] フレンドリーマーキュリー: ルークたぶんガンメタルハンマー以外何も変わらないんじゃ？
[700.006] (S)港区ザンギエフ: ルークはまぁまぁ弱くなるけどまだ強いと思うよ
[721.763] (S)mukubado2: 主人公、主人公
[727.919] (S)さかじょん: 年取るとな、何かを回復すると何かの最大値が削れるんよ…こんばんは
[728.184] kuuderia: どぐらさんこんにちは 昨日のひーなのソロ練習配信ではトレモ行けおじさん、コンボトライアルしろおじさん、ジャンプ攻撃しろおじさん、と多種多様なノイズにひなーのが苦しめられていました
[734.815] (S)港区ザンギエフ: ソルバリアー
[742.267] (S)燐ちゃん: ラッシュ中pからタゲコンか大パンキルステに行くかってどっちの方が良いですか？
[743.264] unimel1x: 豪鬼ver来てもキャラランクAかSに落ち着きそう
[751.211] (S)鉄板: シーズン２はAKIの時代ですよぉ
[753.248] 吉田じんぎ: 遅らせグラップおじさんが足りん
[755.998] みなぷ080821_: 調整が報告とおりだったとしてトップTierだとは思うなあ
[759.389] tkgnotamago: 一部弱くなったところでサプとかあるしサンドナックルふつーにつよつよだしな
[762.281] kaeruseijin1008: ひなーのおじさんに囲まれててかわいそう
[762.964] 再度落選の大統領マルモリ: ひなーのがおっさんに苦しめられている
[763.927] フレンドリーマーキュリー: あー後アウトローキックが弱くなるんだっけ。忘れてた
[772.413] (S)ktkt0617: いーやガイルの時代だね
[776.777] (S)港区ザンギエフ: 他所様のコメ欄の民度はどうにも出来ないからなぁ
[783.049] unimel1x: ガイルの時代は本当に来そう
[783.297] ぎめい: 大手は厄介おじ多そうで大変ね
[793.754] (S)karima9152: lolソロQ辛くなったからどぐにゃん見に来たよ
[794.339] みなぷ080821_: ひなーのなんて超売れっ子だしコメントとの付き合い方上手そうだけどなあ
[795.091] (S)美濃屋善兵衛: ガイルの時代って暗黒時代だろ
[795.152] kaeruseijin1008: 黒髪AKIかわいいな
[802.374] taiyaki_22154: パ二カンのアウトローは当たり前体操
[804.269] gran_nzw_nzw: エド伸びるかな。まだみんな開発中だもんな
[808.052] (S)ktkt0617: みんなうんこ座りしよう！
[811.904] saru_buta: なんか最近AKIよく見る気がする
[819.429] (S)港区ザンギエフ: 2024年、世界はガイルのソニックに包まれた！
[828.733] (S)mukubado2: 実際大手のとこの厄介オジってどんなこと言うん？
[830.722] kaeruseijin1008: AKIも強くなりそうな予感するし
[836.795] unimel1x: 最近弱ブリッツに暴れてくれる人が減った印象
[839.006] senju_jp: イベントまででやめちゃいそうな空気だったな
[841.936] (S)鉄板: ２２日からガイルのソニックブレイドも猛毒牙で抜けますよぉ
[844.099] (S)kuroji61: AKIは強いなら使いたいって人多そう
[851.966] フレンドリーマーキュリー: AKI強化されるし、アレコス３もくるしなぁ
[852.072] (S)iwap0n: 髪型も変わって欲しいわね
[853.985] (S)港区ザンギエフ: You は shock！サマソで敵が落ちていく
[854.782] deepbronze2: Tier1なりそうですしねえ
[857.490] こすもどりっぷ: いやー、実は前からアキ強いんじゃないかって思ってたんスよぉ
[857.791] (S)美濃屋善兵衛: 世界が滅んだ後も、廃墟になった教会でしゃがんでいるガイル
[862.257] tkgnotamago: AKIって強くなる感じなのか？
[864.220] annnounn: 強化➕outfit3 の新ビジュアルに期待しているからね〜
[864.689] taiyaki_22154: 変なキャラ強くなりそうで震えてる
[873.726] saru_buta: 正直今の髪型好き
[876.475] 吉田じんぎ: ぺこーらに、告白しようと思ってる。 スレのみんなには、悪いけど。 抜け駆けで。 次の給料日、お金入るから。 スパチャして。そこで気持ち伝える。 ぺこーらは男の人と付き合ったことないから。 びっくりするかもだけど。 もう気持ちを伝えるのを我慢できないから。
[881.164] (S)港区ザンギエフ: AKIはかーなり強くなりそうです
[884.494] クラマン: どぐらさんこんちゃーす!
[884.558] みなぷ080821_: 調整ではかなり強化もらえてそうな報告あがってましたね
[887.044] あーるご: AKIは今でも攻めは強くないすか
[890.145] katanantoka: 古来からのAKI使い増えそう
[895.359] annnounn: AKI普通に戦い方面白いからね
[898.290] ぐりむ0508: アキはモダンのアシストコンボ変更してくれたのか気になる
[898.738] umatnki: さすがにひかるくんの練度までは誰もいけなそう
[902.886] neon00143: outfit3の予想してください
[904.436] potake0412: どぐーらにも告白するか
[915.521] 再度落選の大統領マルモリ: 髪型はさすがに変えてきそう
[915.880] tkgnotamago: AKIは強いけどむっずいのは見てるだけでもまあわかる
[916.799] acis012: どぐーらいつもありがとう
[917.178] 三パチ: ブランカとガイルが強いスト6はあまりにも絵面が悪い
[918.977] (S)港区ザンギエフ: 攻め強いし、どうやら4F技が追加されたらしいので守りもそれなりに出来るようになりました
[921.905] unimel1x: 大ひかる時代が始まる
[928.588] annnounn: ぶっちゃけAKIの戦い方は厨二心を刺激される
[937.592] (S)あおじし: ぺこーらが勝手に付き合ったことないって決めつけられてるの可哀想
[942.093] (S)港区ザンギエフ: AKIかっこいいんだよな〜
[943.079] kaeruseijin1008: どぐーらになにを告白すればいいんだよ
[950.695] gran_nzw_nzw: 火力あるねー
[950.783] (S)鉄板: AKIの弱Kが４Fになったようで震える
[951.177] フレンドリーマーキュリー: 端の攻めまじで強いよなぁAKI
[956.033] こすもどりっぷ: アキ、ビジュアル良いし強くなるなら増えるよなぁ
[958.611] 吉田じんぎ: 本格的に糸使い欲しいよなCV池田秀一が良い
[971.067] (S)港区ザンギエフ: AKIに4F技！恐ろしい暗黒時代到来
[983.038] zackz_fair: こんにちは〜
[992.481] gran_nzw_nzw: 結構長いんだな
[995.175] tkgnotamago: ｻｲｺﾞﾆｼｱｹﾞ！
[997.750] deepbronze2: 最後に仕上げ♡
[1000.099] みなぷ080821_: 最後に仕上げ
[1001.183] annnounn: AKIの増加はあっさりしょこさんの活躍もあると思うんだけどどう思う❓
[1002.917] (S)kuroji61: AKIはoutfit3が最大の強化になるかもしれん
[1008.195] (S)港区ザンギエフ: 最後に仕上げ♡
[1011.326] marmot0001: AKI戦いなれてないから増えると困るわぁ
[1019.777] 蒼い人: 髪型変えたら最強に、なる
[1021.878] 吉田じんぎ: でも動きがちょっと…
[1029.089] ymt554: AKIが強くなって新コスが髪下ろしてたら絶対つかう
[1030.809] (S)美濃屋善兵衛: AKIわっかんないんだよなぁ
[1035.629] (S)港区ザンギエフ: 髪型流石に変えてくるでしょう
[1049.299] 蒼い人: ボツ案のアキみんな可愛かったしカプコン信じる
[1050.419] (S)美濃屋善兵衛: 何か流れで勝ったり負けたりしてる
[1051.205] unimel1x: ガイルが変えたんならAkiも変わる
[1052.109] 吉田じんぎ: 前ステとか中kとかなんかふざけてるし
[1052.898] みなぷ080821_: 弾バリア組の中ならかなりジャスパとりやすいから、そこは助かる
[1061.358] 三パチ: ガイルの髪型変えれたならakiも行けるはず
[1065.027] (S)鉄板: 起き上がりDリバ追加とDリバ-6もAKIには追い風
[1065.257] neon00143: ジャスーパいつもありがとう
[1066.818] サケ缶: 髪型変わってないのザンギくらい？
[1072.246] gran_nzw_nzw: わかんねーｗ
[1078.266] acis012: まめーすいつもありがとう
[1081.886] cstp__: ダルシム
[1090.996] (S)港区ザンギエフ: ザンギのout3、少しだけ髪と髭が整ってるよ
[1093.012] annnounn: リリーとかもoutfit3で髪型変わってファン増えてよね
[1098.076] 蒼い人: リュウはタオル巻いたけど そうじゃない！感
[1106.503] (M)墾田永年私財砲:  [本日の更新動画のコーナー]リアルバトルハブで豪鬼の性能確認してきた  https://t.co/9vnxYS2aZn
[1107.456] (M)墾田永年私財砲:  【AWT】公式ミラーでギルティの時だけ語り出すどぐら https://t.co/5pJkWqcwu7
[1108.791] (S)美濃屋善兵衛: 今日もまめスは真面目に仕事しとるな！
[1114.609] サケ缶: ヒゲが変わってたのか
[1118.101] neon00143: リュウのロックマンコス復活して欲しい
[1121.034] unimel1x: UMAのジュリコスも楽しみだな
[1127.363] 蒼い人: ケツデカロックマン
[1128.152] damin_eater: ジェイミーは髪型変えられないのかな
[1128.554] カンラク: リュウはタオルさえなければ結構いい感じなのに
[1128.861] cstp__: 何故かすごくインパクト打たれる
[1129.324] (S)港区ザンギエフ: まめスパいつも
[1145.330] zackz_fair: 同じカプコンとはいえ、何でAKIはゴーガンダンテスの髪型になったんだろ
[1150.524] (S)kuroji61: むしろoutfit3で髪型変わってないキャラのほうが珍しいのか
[1153.822] (S)美濃屋善兵衛: 覇者コス欲しいけど、あるんかねぇ
[1159.992] (S)鉄板: AKIのジャンプ微妙に長いから高いとこでジャスパとると投げすかりがち
[1162.551] kaeruseijin1008: ジェイミーは酔い度で髪型変わる縛りがあるから大変そうだな
[1174.207] (S)iwap0n: 見た目のキャラ人気は大事よね
[1180.956] 蒼い人: ラシードの次のコスは野球
[1184.423] gran_nzw_nzw: ゲージ温存
[1198.603] neon00143: 野球コスは売れない
[1198.830] (S)港区ザンギエフ: 野球コスのせいで大会の賞金下がった話好き
[1199.328] saru_buta: ジェイミーは服はだけるからマジで大変そう
[1204.262] unimel1x: ガチくんコスやめてね
[1209.709] (S)美濃屋善兵衛: 大人気コスはガチくんが優勝してからにしてもらえませんかね？
[1213.368] フレンドリーマーキュリー: 大人気コス
[1219.260] (S)鉄板: 大人気コスじゃけぇ
[1219.848] サケ缶: 豪鬼にもoutfit3あるの知らんかった
[1239.296] yamadasrm610: アキ、立弱Kが5fから4fに、立中Kが9fから7fに。さすがに凄いない？
[1247.055] 吉田じんぎ: どぐーらにインパクト打とうと思ってる、リスのみんなには悪いけど、起き攻めで、次の連携ガードしたらBO回復するから、ラッシュし。そこでインパクト押すから
[1248.697] neon00143: 豪鬼のoutfit3はネタコスだったら買う
[1262.225] (S)港区ザンギエフ: メカ豪鬼参戦！
[1263.295] 蒼い人: エドは女人気さらに上がりそうなコスにして
[1271.674] unimel1x: 豪鬼はくだもの屋さんコスくれ
[1272.938] zackz_fair: 豪鬼はメカ豪鬼だったら即買う
[1286.648] サケ缶: でも豪鬼は今までの道着が似合いすぎる
[1288.127] (S)港区ザンギエフ: メカザンギ欲しいな〜
[1289.656] 三パチ: 果物商豪鬼エプロンコス登場！
[1298.419] (S)美濃屋善兵衛: どぐーらはインパクト返した事無いと思ってるな
[1304.194] しぐれ桃: メカ豪鬼はボツ案なんだよなぁ
[1305.767] モリケイ: シャドーレディコスの春麗
[1307.044] (S)mukubado2: 豪鬼は八百屋コスが一番欲しい
[1320.332] atoz428: エドはパンクなコスとかかな？
[1323.955] どらどら君: めう～＞＜
[1329.815] (S)鉄板: 瞬獄殺もシャニング豪ショックになるのか
[1336.901] zyamosan: きつぅ〜
[1338.647] (S)港区ザンギエフ: エドout3、Vの初期コス説を推してます
[1341.335] saru_buta: 柔道見てるだけでお腹痛くなる
[1345.612] siba1ken: 豪鬼が果物柄のエプロンしてるのくそ笑う
[1362.762] 蒼い人: 家政婦豪鬼
[1365.977] モリケイ: 3回は柔道して、4回目でシミーが多いわ
[1371.074] サケ缶: エプロンと三角頭巾してる豪鬼いいね
[1373.910] 吉田じんぎ: エドの1番強い通常技は前大pかもしれんなぁ
[1379.234] (S)港区ザンギエフ: うぬら、晩御飯は何が良い
[1382.901] unimel1x: 豪鬼の本職は果物屋さんやからな
[1389.720] siba1ken: お母さん豪鬼
[1389.895] gugwgm: 柔道きらい
[1392.016] saru_buta: 豪鬼ママ…
[1400.119] champion_of_all: Ravenda 2400MR
[1422.233] (S)kuroji61: エドがVの初期コスの軍服みたいなやつはありそうなんだよなぁ、イラストもあったし
[1423.150] unimel1x: 2400MRを要求する人もいます
[1425.872] neon00143: レジェンドはやっぱ強えな
[1426.656] abyssinian_2014: ほんまこのしゃが大
[1437.194] モリケイ: MRは裏切らない
[1443.621] (S)美濃屋善兵衛: 今2400ってバケモンだろ
[1453.372] (S)港区ザンギエフ: ｼﾞｬｽﾄｫ!ｼﾞｬｽﾄｫ!
[1461.762] どらどら君: ｾﾞﾝﾘｮｸｩ！
[1469.345] tkgnotamago: KO！
[1470.178] (S)港区ザンギエフ: 今2400生まれてたら後半3000生まれてる
[1476.786] unimel1x: 次の調整で大pパニカンから中フラジャスト繋がるって聞いて震えてる
[1490.527] 再度落選の大統領マルモリ: MR3000とか太陽系イチの可能性
[1491.400] 蒼い人: エドはジョジョのディアボロみたいなコスにしてセクシー路線でいこ
[1495.428] (S)yamaasira: 1位パンクじゃん
[1496.135] naryuhama: GOD AND
[1497.194] 吉田じんぎ: 10進数じゃなかったら俺も2000超えてる
[1498.051] モリケイ: あの調整ならキャラダイヤ平たくなるね
[1505.114] こすもどりっぷ: 2、3年後のMRかもしれん
[1517.027] モリケイ: MR3000はアケ6のキンバリーでおる
[1526.285] (S)港区ザンギエフ: バケモノ
[1527.110] kaeruseijin1008: 昨日かずのこが育てたパンク
[1529.318] h1ran0p: 思い出の本田か？
[1546.292] neon00143: アケロクのマスターランクとか魔境でしょ
[1548.550] abyssinian_2014: 名前ごっつぁんですってことか
[1558.605] (S)鉄板: アケは勝っても負けても±8だからMR盛りやすいとは聞いた
[1560.382] (S)港区ザンギエフ: センスある
[1564.497] (S)美濃屋善兵衛: @abyssinian_2014 なるほど！
[1565.825] 吉田じんぎ: そう言うパチンコあったな
[1576.351] (M)(S)まめスパ: パチンコあります
[1586.678] (S)港区ザンギエフ: 勝っても負けても8なんだ そーりゃ上げやすいわ
[1587.435] unimel1x: 今日は百貫ジャスパ日和
[1593.623] kaeruseijin1008: ごっつあんです気が付かんかったわ
[1599.932] (S)yamaasira: 神ゲー
[1601.769] ぎめい: マジカヨ
[1607.248] モリケイ: @raisu_yoro ゴッドアンドデスはソドムの勝利セリフ
[1609.071] (S)港区ザンギエフ: スト6最高のゲーム
[1613.100] unimel1x: ちゃんと当てんかい！
[1622.252] hinatazaka46_hinanoosi: 今日もどぐらダルシムがSFLでふーどさんを倒す夢を見ました 僕もダルシムでレジェンドを目指します
[1634.750] (S)港区ザンギエフ: ふえぇそうだったのか
[1653.347] カンラク: ふふっ上から下まで台パンできるキャラ
[1654.682] unimel1x: Lesson ダルシムはこのために
[1666.263] tkgnotamago: ジャスパ蔓延る試合
[1671.400] ラロウ: 本田の技に全部ジャストいれるのなんかほんと憎しみこもってそうｗ
[1683.535] モリケイ: 実際本田対策ガチでジャスパなんよな
[1684.364] (S)港区ザンギエフ: 2024年、世界はジャスパの光に包まれた
[1686.071] (S)美濃屋善兵衛: ありがとう 鶏めし それしか言う言葉が見つからない
[1713.593] neon00143: 5月22までの命だからなぁ
[1718.356] (S)ドルマゲス錦織: 本当にすみません
[1724.555] unimel1x: 完全なる黄金のヨガエネルギー...!
[1729.357] (S)美濃屋善兵衛: ダルシム「チュミミーン」
[1730.038] (S)g_dms: 本田のすごいところはスト２からキャラの根本が変わってないところ
[1730.676] カンラク: おプロ様がジャスパが対策って言われちゃったら...
[1735.853] モリケイ: 頭突き見てから飛べる自信ないっす
[1738.812] (S)港区ザンギエフ: HONDA、お前は22日までの命
[1742.436] (S)鉄板: 悪いのはこんな性能にしたカプコンや
[1743.011] taki1211: AKI多ない？
[1744.305] kakeru4100: どぐらってハイタニの次に新人育成してる？
[1748.995] (S)港区ザンギエフ: 露骨にAKI人口増えてるなぁ
[1749.465] おんきん: どぐらさんはディージェイに帰ってくることはもうない…？
[1756.349] unimel1x: AKI対策...かぁ...
[1758.698] (S)mukubado2: アキ真面目に対策したくねー
[1760.840] くもも784: AKI絶対多くなるだろうしなやらんとね
[1769.708] n_a_d_a_7: AKIから離れてた人が強化の知らせ受けて戻ってきてる？
[1773.656] (S)美濃屋善兵衛: 本当に増えたな
[1774.864] コンマ: AKI恩恵ありそうな上位陣かな？
[1778.151] サケ缶: エドの時試遊台の調整って何割ぐらい実装されたっけ？
[1781.244] kazamiyuukachan: 夏になるのにAKI対策🥟
[1783.523] モリケイ: AKI対策したくないからDJ→春麗ありやと思ってる
[1789.774] unimel1x: ゲームの仕様で同じキャラと連続マッチしやすいとはいえ多いな
[1802.598] (S)yamaasira: エドの試遊台はそもそも触った人少ないからあてにならん
[1831.801] azu_maru: 見た目人気自体は結構あるし強化（と髪型）きたら人増えるよね
[1834.614] shimbuku: DLCキャラが弱いままというのもアレやからね
[1840.713] n_a_d_a_7: SA2でゲージ増加しなくなってたら本当に萎えるけど流石にないよね...？
[1866.119] unimel1x: 強ブリッツ当たらないの結構あるんだよな
[1867.313] (S)iwap0n: まっくのうち！まっくのうち！
[1867.621] (S)豪鬼似のくま子: ひよこくま子 subscribed with Prime. 
[1869.977] (S)ノーススター: ノーススター subscribed with Prime. They've subscribed for 7 months, currently on a 7 month streak! 
[1874.941] 地球最弱を継ぐもの: 声を大にして言えるペイトゥーウィンだと
[1887.243] (S)ノーススター: こんばんはー。相変わらずエドめちゃうま
[1889.364] absolute093: ヒット確認のコツとは
[1933.331] kakeru4100: メンヘラじゃんどした？はなしきこか？
[1942.738] (S)美濃屋善兵衛: やっぱ遅い弾は強いな
[1950.388] hukasetugetu5: エドってスト6の中だと使いこなすの難しい方のキャラに入るんかね
[1958.743] (S)豪鬼似のくま子: どぐらさんの格ゲー用語解説のyoububeみました！50歳で先月から始めてわからないことだらけだったので、とても助かりました！
[1964.831] (S)港区ザンギエフ: ザンギにも遅い球実装されないかなぁ
[1967.760] acis012: ヘラってる
[1971.725] (S)ノーススター: えぇ…
[1974.132] unimel1x: 自分のこと下手と思う症候群発症
[1975.609] gabe_era: 勝つしかねえ！勝つしかねえ！
[1977.925] あーるご: MエドやってるとJ中Kと屈中K欲しいなぁてなる、その分対空で美味しい思いしてるのわかってても
[1984.400] こすもどりっぷ: もうザンギじゃない…
[1984.513] (S)鉄板: 意図はなんなの
[1986.903] (S)港区ザンギエフ: うおおおおおおおお！
[1987.016] カンラク: ザンギに弾ぁ？？
[1987.217] Biruron: やめてね
[1987.329] kyuubi4693: じゃあコマ投げ削除ね
[1990.539] (S)yamaasira: ザンギの汗飛ばしてくる
[1990.976] perappera: その代わりコマ投げを無くそう
[1991.392] taki1211: ボルシチ波動拳！
[1991.433] (S)美濃屋善兵衛: そんなんもうザンギじゃない
[1991.706] siba1ken: バニシング帰ってくる！？
[1992.296] (S)g_dms: 暴挙
[1993.279] ishiya007: バニシングフラットから弾が！？
[1995.441] gawa0709: だれやねん
[1995.739] ラス爺: コマ投げは据え置きですか？
[1997.318] (S)やぎう氏: ザンギに遅い弾はもうそれザンギじゃないような
[2000.196] azu_maru: メカになれば火は吐ける
[2000.355] (S)iwap0n: それは健全な環境…？
[2000.592] カンラク: 体力4000くらいならいいよ
[2014.787] siba1ken: もうプロレスじゃなくて柔道キャラ
[2016.994] (M)墾田永年私財砲: ？？「えー今、緊急で動画を撮っています」
[2017.737] (S)musi_namazu: ザンギはローリングのほうがまだありそう
[2018.728] marmot0001: ザンギではない別の化け物やん
[2019.450] (S)アンコモンたこやき: 昔メカザンギが青いウォッカ吹いてたしそれで
[2021.728] zackz_fair: 毒霧みたいな弾になるのかな？
[2025.160] saru_buta: 今日ルークとAKIしか見てない気がする
[2027.494] radisblnc: p
[2028.940] OMAME1997: ザンギとダルシム合体させよう
[2030.184] tkgnotamago: ソニックブレイドみたいなのうってくるザンギとか考えたくない
[2030.378] dejiru: ポチョのガイガンにするか
[2037.463] ぎめい: 道着に目覚めたザンギ
[2040.256] カンラク: KIじゃねぇんだぞ
[2041.396] (S)ドルマゲス錦織: プロレスラーだしパイプ椅子とか投げるか
[2046.704] ishiya007: ザンギもデコピンする時代
[2052.487] siba1ken: ザンギも頑張ればソニックぐらいだせそう
