[4.124] (S)sakusannyo: きたーー
[35.920] (S)かりんりんだよぅ: radaoHi
[35.924] ru463: わこらだー 
[35.954] (S)にくのじん: わこらだー！猫やったぁ！
[36.044] kchan1225: わこらだ
[36.107] himari0307: radaoKun
[36.204] (S)りーふ93: エッフェル塔が嫌いだからエッフェル塔の中に住むみたいなのやめろ
[36.292] エーース: radaoHi
[36.449] なーじ: staryまってた
[36.700] (S)orion_nnnn: radaoHi
[36.833] (S)ko_do_1123: わこらだ
[36.910] シロップ3366: radaoHi
[37.142] yuki_miiiii: radaoHi
[37.389] riorisu: きちゃああ
[37.402] minamuro: ニャンコ〜‼︎‼︎
[37.428] mimizu_ikoi: (/・ω・)/にゃー！
[37.439] わたあめ1006: radaoHi
[37.627] blackneko121: radaoHi
[38.187] 莉田: らだおのために初見を保った
[38.257] レロキャン: わこらだ
[38.288] genmai2008: MercyWing1
[38.325] (S)sugarcoco1023: わこらだ 
[38.381] nemugonta_6241: radaoHi
[38.394] lkalto: わこらだー
[38.469] kapoera3: わこらだ
[38.471] らみせ_0626: radaoHi
[38.556] sukeww: radaoHi
[38.573] hukakyon28: わこらだ
[38.618] mono031296: radaoHi
[38.916] itoido: わこらだ
[38.949] poteto_ra: radaoHi
[38.961] (S)sano_1y0reg: わこらだ
[39.030] (S)節穴のリル: あれの猫ってこれか！
[39.092] ねむねむ0: わこらだ
[39.146] torafuku59: わこらだ
[39.218] taiki_s: radaoHi
[39.274] 谷瞬ギュッ: radaoHi
[39.749] rudooooo411: もう首しかねえよ
[39.752] (S)shrf_pino: 新しくps4買ったの？
[39.800] てんたた: radaoHi
[39.813] (S)ko_ki013: わこらだ
[39.970] ra1212o: radaoHi
[40.014] (S)ｵﾝ: わこらだ〜
[40.175] とまとﾁｬﾝ: わこらだ
[40.180] yamanotannbo: radaoHi
[40.196] yukki0321: わこらだ
[40.211] ikatenhaumai: radaoHi
[40.348] ふぉー040: radaoHi
[40.360] chamo_chako: 楽しみにしてたぜ
[40.380] (S)_イオ_: わこらだ
[40.383] unaaaon: わこらだ
[40.485] えめらるどぉ: radaoHi
[40.888] anpanniku: radaoHi
[41.222] t0_ukq: radaoHi
[41.654] zyoshikiiiiiiiiiii: どんなゲーム？
[41.856] yutiy_25: わこらだ
[41.948] ギンナン: radaoHi
[42.023] (S)nekodama2155: 猫転生おめでとう🎉
[42.090] レロキャン: radaoHi
[42.560] mizuri_____: わこらだ
[42.566] みお0415: 猫アレルギー同じ
[42.786] クリーンバー: わこらだ
[42.793] ここさんです: わこらだ！
[43.016] Riisu_amms: 待ってたこのゲーム
[43.017] にゃご崎: わこらだ
[43.019] riorisu: ฅ(´ω` ฅ)ﾆｬｰ
[43.019] まるこりん: わこらだ
[43.216] ひのした: 猫になって更にアレルギーに苦しめ
[43.296] hrk_0417: 待ってました！！！！！！
[43.507] reokun0802: わこらだー！
[43.509] jgqgmjpk: radaoHi
[43.514] kadonatu: radaoHi
[43.709] momijichaan: わこらだぁ 
[43.728] annzu125: わこらだ
[43.735] yuri0905121: わこらだ
[43.798] amane_e: ワンピースDAY 1みた？？？
[44.275] (S)ドラえもんと体重同じ: radaoWaterserver
[44.465] rei_040: わこらだ
[44.536] YodoRa: radaoHi
[44.579] しゃくかも: わこらだ
[44.764] ベニマル: きちゃああああああああ
[44.875] mirai9319: わこらだ
[45.522] naguha23: radaoHi
[45.719] 莉田: ちわーー
[45.748] daikiiii0308: MercyWing1
[46.187] いる1023: わこらだ
[46.292] ra1212o: radaoKun
[46.415] (S)かなでだよん: わこらだ 
[46.646] nyanko0522: 待ってた
[46.884] danio_lun: radaoHi
[47.118] Yuua1225: わのらだ
[47.510] ゆず_0714: わこらだ！
[47.609] myugi39: わこらだ
[47.638] yucha_1201: わこらだ
[47.665] buriburi_tyan: 待ってたぞ
[47.689] kchan1225: 楽しみ
[47.812] roro_san090: わこらだ
[47.880] (S)harumu_19: わこらだ 
[48.344] aihi_0124: radaoHi
[48.554] rai2109: rai2109 subscribed at Tier 1. They've subscribed for 27 months, currently on a 27 month streak! 
[48.915] おそば0804: 待ってました
[49.145] ドミノくん: radaoHi
[49.147] Yuua1225: わこらだ
[49.182] ぶるねった: わこらだ
[49.260] (S)sekibunkun0619: radaoHi
[49.366] haru_anura: radaoHi
[49.480] reokun0802: radaoHi
[50.273] ayunosioyaki0223: radaoHi
[50.831] mimizu_ikoi: (/・ω・)/にゃー!
[50.901] aomi_ro: わこらだ〜
[51.064] mirai9319: radaoHi
[51.294] (S)もえもん: わこらだ
[51.295] alcoholsyodoku: きちゃあ
[51.307] YodoRa: radaoWaterserver
[51.535] rin7331: ついに
[51.719] Riisu_amms: radaoKun
[51.767] syotopisu: わこらだ
[51.768] (S)torikera0124: お前が猫だ
[52.076] ar1_1220: わこらだ
[52.526] らみゆーず: わこらだ
[52.635] aotaku2611: radaoHi
[52.763] (S)yunchann1111: radaoHi
[52.795] うめた: radaoHi
[52.847] kou_tsuru: radaoHi
[52.853] (S)coppe_pann_: radaoHi
[52.906] クリーンバー: キタァァぁーー
[52.961] レロキャン: わーいこんにちはらっだぁ
[53.001] takeyaab: わこらだ
[53.660] (S)setuna828: radaoKun
[53.909] chia_amu: わこらだ
[53.945] rutta_26: radaoHi
[54.126] (S)もえもん: radaoHi
[54.154] aki_mokomoko0209: わこらだ
[54.165] kchan1225: 待ってたぜー
[54.830] st_yomogi324: radaoHi
[54.908] im_a_kutri: radaoWaterserver
[55.020] mirai9319: radaoHi
[55.132] ruma_0109: わこらだ
[55.151] taida_4040: わこらだ〜
[55.690] sutofuri615: わこらだー
[55.770] 紗世: わこらだ
[55.798] yucha_1201: radaoHi
[55.816] imoyoukanmaru: わこらだ
[56.050] ニコ丸0429: わこらだ
[56.067] yumuyura: わこらだ
[56.089] ちゃむいか: わこらだ
[56.284] にゃご崎: 猫ぉ！！！
[56.500] post_f_h: わこらだ
[56.541] センライ: わこらだ
[56.560] motizunnda: radaoHi
[56.562] うぉ: わこらだ
[56.731] ホルノン: 昨日猫のゲーム配信見たわ
[56.749] (S)you_28: radaoHi
[56.783] pasta0916: わこらだ
[56.801] かたくなったわたがし: radaoHi
[56.814] (S)mikannn_0117: いい考えだね
[57.044] ドミノくん: おもろそうやね
[57.291] o__mi_o: ちわ
[57.295] 唐突ならっと: わこらだ
[57.297] shunfk313: わこらだ
[57.555] (S)ななななめ: radaoHi
[57.677] うりぺん: わこらだ
[57.755] ya_kizakana: わこらだ
[57.801] フローさん: わこらだ
[57.938] かんしょ: わこらだ
[57.945] kano091203: わこらだ
[57.990] tonn_donnnnn: わこらだ
[58.058] natunele05: わこ
[58.092] gumi21021: こんばんは！
[58.109] radaokunsika: わこらだー
[58.307] ayu__poke: わこらだ
[58.326] kinugoshi_douhu: わこらだ 
[58.378] nananananaananatttya: やったー！
[58.447] ぽふとん: radaoHi
[58.516] rolu_rolu214: わこらだ
[58.525] (S)yunoooa: radaoHi
[58.536] hs_xx_: わこらだぁ
[58.936] 嘉洛: radaoHi
[59.223] sayorin25256: わらこだ
[59.463] maruhumo: わこらだ
[59.495] yun_1025: わこらだ
[59.499] (S)masao0203: わこらだ
[59.559] るなにや: わこらだー
[59.578] momouni: わらこだ
[59.648] ぱるらぽる: 和こらだ
[59.696] baketsu_091: わこらだー
[59.697] pointeih: わこらだ
[59.800] aira__n2: わこらだ
[59.840] maronn_1105: わこらだ
[59.931] (S)skeeeeno: radaoHi
[60.402] ujimach: わこらだー
[60.581] piisuke0428: radaoHi
[60.638] taikiti0704: わこらだー
[60.647] ピーナッツ0328: わこらだー
[60.732] renkuwa0331: ワンピース見た？
[60.823] (S)せんだこ: radaoHi
[60.915] やくとみ: にゃー
[61.059] chia_amu: わこらだぁぁあ
[61.059] 唐突ならっと: radaoHi
[61.073] rutta_26: わこらだ〜！
[61.088] awa0221: わこらだ 
[61.129] nananananaananatttya: わこらだ
[61.136] sokorahennnokusa: わこらだ！
[61.259] (S)io_iori: radaoHi
[61.460] わさびぬきで: わこらだぁ
[61.489] alcoholsyodoku: ついに
[61.693] nnamee8: わこらだ
[61.693] me1oxdy: わこらだ！
[61.693] umbrella_0730: radaoHi
[61.706] hrk_0417: やたー、ー！！！！！！！！！！
[61.709] tanbochann: わこらだ
[61.938] syano_a: わこらだ
[62.136] (S)westy627: radaoHi
[62.140] すらいむぜりー: わこらだ
[62.284] ﾆｺﾏﾒ: わこらだ
[62.359] うどんぱん: わこらだ
[62.385] (S)po_pochon: radaoHi
[62.434] arutea091: わこらだ！
[62.568] ぼんたかし: わこらだ
[62.577] (S)yunoooa: ねっこ
[62.598] kota_mgn: わこらだ
[62.598] おるみん: わこらだ
[62.799] センライ: radaoHi
[62.813] hamusterlegend: radaoKun
[62.824] (S)keren_fox: わこらだ
[62.879] tonn_donnnnn: radaoOtu2
[63.039] kuso_bouzu: わこらだ
[63.044] tsu147: わこらだーーーーーーーーー
[63.067] karsi3: radaoHi
[63.097] mayu_v_v: radaoHi
[63.249] Y0Nimaru: radaoHi
[63.263] たろぬ: わこらだ
[63.514] ponharu: radaoHi
[63.669] ranoya25: radaoHi
[63.892] sora_0o0o: radaoHi
[63.895] mayra__a: わこらだー
[63.901] Maron_1129: 今流行ってるやつだ
[63.964] mememe05: radaoHi
[64.073] midori_pk: radaoHi
[64.096] ya_kizakana: radaoHi
[64.178] (S)にょまれ: 俺が猫になるってことだ
[64.193] whosou: radaoHi
[64.202] みか吉: わこらだー！
[64.217] nono___00: わこらだー！
[64.236] meru0129: わこらだ
[64.460] shiron0310: radaoHi
[64.475] nasu1219: radaoHi
[64.501] mugi_____1159: わこらだー
[64.679] 黒上: わこらだ
[64.754] ユウキ359: わこらだ
[64.893] Shiraki1013: radaoHi
[64.899] mashunarodainagon: わこらだ
[64.906] (S)みさき0224: radaoHi
[64.978] ぽん酢マン: わこらだ
[65.090] sr__rdo: わこらだ
[65.135] motibta: radaoHi
[65.159] sugichan0909: わこらだ
[65.211] e_maturika: わーーーーい 
[65.227] harii_raaa: わこらだ 
[65.236] ﾆｺﾏﾒ: radaoHi
[65.308] syano_a: radaoHi
[65.387] 0701sy: わこらだ
[65.414] たまちゃんだおお: わこらだー
[65.505] itigo_1226: わこらだ
[65.720] family857: わこらだ
[65.733] teki_to: わこらだ
[66.183] ujimach: わこここらだ
[66.230] siragiku_nobaka: わこらだ
[66.324] 午後の紅茶ミルクティー: わこらだ 
[66.523] 紫雨ノ: わこら
[66.552] tsuyuki77: ねこになるか
[66.560] maron_nr: わこらだ
[66.694] のたらまた: わこらだ
[66.764] 焼き肉な: わこらだ
[66.768] おるみん: radaoHi
[66.792] チューネ: Squid3
[66.928] howaitot: わこらだー
[66.938] (S)tanakasan_29: tanakasan_29 subscribed at Tier 1. They've subscribed for 3 months! 
[66.984] mijinko_12: わこらだ!!待ってました!!
[66.997] taikiti0704: ぬっこ
[67.011] midori_pk: radaoHi
[67.025] arukoishi: わこらだ
[67.194] dtf417: きちゃーー
[67.198] sokorahennnokusa: radaoKun
[67.215] kyonkyon84: わこらだ
[67.224] tonn_donnnnn: radaoHi
[67.415] (S)ろ一たす: radaoHi
[67.502] yona_0724: radaoHi
[67.723] medo_710: radaoHi
[67.734] conbu0: わこらだ
[67.740] うどんぱん: radaoKun
[67.744] koba58ko: わこらだ！
[69.298] vx_xv2: わこらだ
[69.311] なっち: radaoHi
[69.331] possam_: radaoHi
[69.396] risushi_12: わこらだ〜
[69.446] rosi5656: わらこだー
[69.447] fukumomotaisyo: radaoHi
[69.537] shownbs: わこらだー
[69.539] nozo03: わこらだ
[69.539] midori_pk: radaoHi
[69.582] さくら0210: わこらだー
[69.588] if_1216: radaoHi
[69.677] suragulu: radaoHi
[69.680] gomoku1012: わこらだ
[69.709] (S)akauoooo: わこらだ
[69.731] 紗弥0926: わこらだ 
[69.838] huku_mm: radaoHi
[69.907] (S)norato041197: わこらだー
[70.014] ayu__poke: radaoHi
[70.073] ふところあたたかい: radaoHi
[70.118] yayoi0525: radaoHi
[70.130] sokorahennnokusa: radaoHi
[70.184] yuka_0623: radaoHi
[70.230] (S)ぴかぴか_: わこらだ 
[70.245] akatuki_1203: わこらだ
[70.247] paper_and_paper: わこらだ
[70.262] おいでやす: わこらだ
[70.292] 木所羽衣: わこらだ
[70.299] かあくんだう: ﾜｺﾗﾀﾞ
[70.701] akoriru128: わこらだ
[70.741] tubugu: わこらだ
[70.793] くろうるふ: わこらだ
[70.885] noabooo: radaoKun
[70.920] aaeenn_0116: わこらだ
[72.385] yukeboka: わこらだ
[72.422] イッカク224: わこらだ
[72.518] sopomuisu: radaoHi
[72.519] hazuki_midori025: radaoHi
[72.527] (S)komasannsann: radaoHi
[72.614] hiyooooooko: radaoHi
[72.628] tonn_donnnnn: radaoKun
[72.653] 狐日和2014: わこらだ
[72.768] am_1685: わこらだ
[72.785] 十愛: わこらだ
[72.830] もうせい: わこらだ
[72.882] makura17: わこらだ
[72.890] morimori556: radaoOtu2
[73.144] yutiy_25: 猫アレルギーか…強く生きろよ
[73.225] aadmy: わこらだ
[73.298] ruma_0109: いやまじでこのゲーム嬉しいありがてぇ！！
[73.320] karube0348: わらタコ
[73.343] みーさん0459: わこらだ
[73.345] mitchan_03: わこらだー 
[73.355] (S)sirowo_17: わこらだ
[73.356] piroropiro: radaoHi
[73.390] midori_pk: わこらだ
[73.579] (S)明日花ちゃん: わこらだ！！！！
[73.758] awa0221: radaoKun
[73.786] mofusika: わこらだ
[73.788] mijumaru_0228: わこらだー
[73.793] laughter40: わこらだー
[73.794] 湯巾: わこらだ
[73.808] chakimame: わこらだ
[73.893] tuttu1122: わこらだ！！！
[75.423] sans0513: radaoOtu2
[75.477] hrk_0417: ついに来たァァァァァァぉー！！！！！！！、、！！！！！、
[75.492] 虎名: わこらだー
[75.509] zabuton5mai: radaoHi
[75.518] Water_1013: radaoHi
[75.537] えびすん: 猫になるとは？
[75.652] 狐日和2014: radaoHi
[75.657] かのん94: わこ
[75.713] ~MISSING_COMMENTER_INFO~: 待ってた
[75.764] marumuudesu: わこらだ
[75.768] ばばるーば: radaoHi
[75.950] morimori556: radaoHi
[76.088] potti_monster: わこらだー
[76.222] bluepanda0603: ワコラダ
[76.261] クリーンバー: radaoKun
[76.369] (S)ユイ_11: あやね_ subscribed at Tier 1. They've subscribed for 10 months! 
[76.371] runa0624: わこらだー！
[76.381] Maron_1129: 今流行ってるやつだから嬉しいw 
[76.382] tonn_donnnnn: radaoKun
[76.497] (S)t_turtle: radaoHi
[76.514] whosou: 流行りの
[76.536] dainanasoo: わこらだ
[76.591] (S)にょまれ: radaoPikon
[76.795] (S)norato041197: radaoHi
[76.796] siragiku_nobaka: radaoKun
[76.911] ottoooooo0113: わこらd
[77.051] wssyu: ワゴラダ〜
[77.156] sokorahennnokusa: radaoCry1
[77.246] ujimach: radaoKun
[77.387] 中村おみかん: radaoHi
[77.463] rikan1111: わこらだ
[77.473] えむえみ: わこらだ
[77.478] morimori556: radaoKun
[77.571] syrup_rc: わこらだ
[77.587] kannaxxxxx: わこらだー
[77.652] (S)ぐっあ: radaoHi
[77.695] センライ: わこらだぁー！！！
[77.720] (S)ko_ze_ni: わこらだー
[77.734] れのれの: radaoHi
[77.744] nana_yanyo0227: わこらだ 
[77.816] toma_ruku_teacher: わこらだ
[77.894] (S)コウネ太夫: une_777 subscribed at Tier 1. They've subscribed for 3 months! わこらだ
[78.459] ranwen: わこらだ
[78.475] (S)yu_ri1416: わこらだ！
[78.500] まがちゃ: わこらだ 
[78.500] 0701sy: ぽまえ猫とか吐く
[78.510] suuuuun_666: らだ猫きもそう
[78.673] kooppe_pan: わこらだ
[78.686] morimori556: radaoCry1
[78.694] haruito_222: わこらだ
[78.783] ぽろろ3: radaoHi
[78.791] sho0331: わこらだ 
[78.911] windchimes0630: radaoKun
[78.939] 鬼瓦黒兎治郎: わこらだ
[79.138] (S)明日花ちゃん: 猫感謝！！！！
[79.145] charcy___: わこらだー
[79.247] たこせ: タイトル訳分からん
[79.516] (S)aisu00082: にゃーん
[79.558] kuria_8563: わこらだ！
[79.759] morimori556: radaoCry1
[79.815] runana_1123: わこらだ
[79.890] kamimi339: radaoHi
[79.908] こんがり手羽先: わこらだ待ってた！！！
[79.981] もぐもぐわさび: ps4どったの？
[80.034] akatuki_1203: radaoKun
[80.058] slowpoke__tail: radaoHi
[80.151] kamekame5656: radaoKun
[80.199] ru463: radaoKun
[80.203] (S)のせ太郎: radaoHi
[80.222] (S)kogumi_136: radaoHi
[80.228] yeeee2525: わこらだ
[80.286] わかモ: わこらだぁ！
[80.588] bunbaboon_ra: わこらだ
[80.695] ひよこまんじゅう: radaoHi
[80.743] みるきぃ014: わこらだ
[80.810] ぽこぽ: radaoHi
[80.811] taida_4040: radaoKun
[80.812] 粉うゆ: わこりゃだ
[81.504] Ayaaaaa7: わこらだ
[81.561] 海びちゃん: わこらだ
[81.566] えびすん: 大丈夫ー！
[81.575] mokupachi88: わこらだ
[81.581] toki_hamusuta_: radaoHi
[81.586] しょーーーん: radaoHi
[81.589] ihi_san: わこらーだ
[81.596] まチャチャ: わこらだ
[81.682] jk2054: 舌打ちしてんのかと思った
[81.778] (S)こばゃし: わこらだ 
[81.843] nuko11123: わこらだー
[81.852] タス乗り初心者: わこらだ
[81.918] sironeko02: radaoHi
[81.982] hiiiiiiiiiikr: わこらだー
[81.986] bunchaan: 待ってた
[82.000] noritama14: わこらだ
[82.013] (S)kainn_1114: radaoHi
[82.018] haruneko_bikkuri: radaoHi
[82.091] morimori556: radaoHi
[82.154] runa_0415: わこらだ
[82.252] siroa2004: わこらだー
[82.364] Pantobox: わこらだ
[82.371] apple011527: radaoHi
[82.598] shiiirokuma: radaoHi
[82.776] 猫崎いちな: わこらだ
[82.839] yukamuta: わこらだ
[82.883] 唐突ならっと: にゃぁー！らだねこになるのか！！
[83.042] (S)sirowo_17: radaoHi
[83.060] hino725: わこらだ
[83.082] blackmarker0507: わこらだ
[83.257] nana_yanyo0227: radaoKun
[83.264] chimineko: radaoHi
[83.269] メルシィー: radaoHi
[83.283] ちよび: radaoHi
[83.357] alva_aruru: どんなゲーム？
[83.388] ばなばなな: わこらだお
[83.443] morimori556: radaoOtu2
[83.492] whip3657: わこらだ
[83.681] (S)せっきくん: ちょいくらいかな
[83.727] mimou0101: radaoHi
[83.862] maromaro222: radaoHi
[83.882] rg_irece: radaoHi
[84.965] (S)ぉーれ: radaoHi
[84.969] rayanmile: わこらた
[85.050] key_wtnb: わこらだ
[85.067] yatayatakomayan: radaoKun
[85.077] mo_coa: わこらだ
[85.166] mkk14514: わこらだ
[85.212] hatsuna_m: わこらだ
[85.265] おばけ_さん_: radaoHi
[85.426] (S)harubiyori_mf7: わこらだです
[85.450] moka_0322: わこらだ
[85.457] hayuna__: わこらだ
[85.477] yuuuuuuubloom: わこらだ
[85.544] 虎名: にゃー
[85.595] siragiku_nobaka: 大丈夫やろ
[85.673] 弾幕とスナは突然に: わこらだ
[86.836] miyaonn: わこらだ
[86.847] howaitot: radaoKun
[86.853] strawberry_7_2: わこらだ
[86.863] (S)rakkodaga: radaoHi
[86.870] (S)Miiku__27: radaoHi
[86.890] (S)まなっちゃぬ: わこらだ
[88.031] ahopontan_: わこらだ 
[88.060] poponnu33: わこらだー！！
[88.081] めろぱんまん: わこらだ
[88.182] (S)わんここ: radaoHi
