[16.618] tsukikage_saga: ウメちゃんおはよう
[331.859] (S)daisan777: ささもにぃや！！
[332.399] prisira: ＳＦＬ楽しみにしてるぞー
[332.768] suppappa: うめちゃんを強くしてくれー
[333.084] kaomoji3: ささもにぃと戯れる時間
[334.567] touruko: ええで
[334.676] takahashiseigi: ササモさん、ホントすいません
[335.465] tonogura530: ササモも一緒にお風呂入ってよかったのに
[336.429] popom19: さっさーも
[337.513] mimiprettybot: ウメちゃんさすがに痩せよ？
[338.170] icyblue1985: マゴさんおいてジムいったの思い出す
[340.926] CARNO_JPN: freedom !!
[341.257] (S)hoemin247: 配信力チェックってわけ
[341.744] (S)gyu_nyuu_pann: おおおおお
[344.347] kreva_999: 氷がとれる
[345.366] 馬太犬: ささもさんこないだファンミーティングで熊本に来てくれてありがとうございまいした
[345.690] monen_tofu: 一緒にお風呂入ってきていいよ
[347.772] goroutai: ゲーセンウメハラ復活？
[347.958] (S)きしー: うめちゃんのDJ対策よろしくお願いしまっす
[349.888] akiaki0612: ディエゴウマハラや
[351.255] (S)gyu_nyuu_pann: 製氷機ッケイ
[351.742] りあ仮称: ササモさんありがとう
[352.212] (S)gorogorogorn: もにぃ、うおおおおお
[353.194] cubespin: ささもコーチか
[354.341] asfeghjj: ささもにぃきれいだよ～
[356.197] tabibitox: ささもにぃと製氷機のある世界
[359.383] merkava_mk2: 王の背中流さなくていいの？
[363.964] chipstar9: もにいありがてー
[366.202] 猫飯油: 最高のDJじゃん
[367.595] nyata1234: これはササモザビースト
[367.701] (S)cqc5555: ササモ君うめちゃんを強くしてやってくれ
[368.580] Youhei6251: こうやってササモさんにスポットライトを当ててくれてるんだよね？ そうだよね？
[368.983] (S)alrickcruz13: Sasamo?
[369.032] (S)blueplanet96: コメント読みまでしてくれます
[369.241] 新ころりん: でぇじょぶだ
[369.728] rt340: ウメちゃんにDJ戦を伝授してあげて下さい 
[371.090] curryricemaster: どグラ戦見てどうだ」った？？
[371.394] 阿波りょう: ウメちゃんふとった？
[371.509] surugano234: 監視カメラ頑張ります
[371.810] kkshkk: 文字前ね
[375.709] nikukuisugi333: 氷使っちゃお
[377.032] punpunjp_: 風呂一緒に入らんの？
[377.366] (S)daisan777: もにぃ操作が早い！
[378.393] icyblue1985: 昨日どぐらDJにボコられてたから頼む！
[378.396] seirosu: コメ読みありがてぇ！
[379.352] natoooji: 彼女いる？
[380.926] KronoKat: umechan chigau...
[381.599] prisira: でぇじょうぶだ俺たちは文字でしかない
[382.687] teruharu_: ササモにい来てくれてありがとー
[382.782] rxz_2017: まだ２０００人もいないから大丈夫
[385.292] chanmipoin: ダッシュ以外でDJの強い部分ってどこですか？
[385.891] WhiteShoreDrive: もにぃ！
[386.088] (S)きしー: 文字だから大丈夫だよ
[386.248] jagajaga1943: いまCFN見てアドバイスくれえ
[387.392] (S)yut7xot8: ささもさん応援してます！！
[387.642] (S)johndoe6523rp: みよう
[389.516] (S)~MISSING_COMMENTER_INFO~: umeCossack
[389.601] おかめ王: うめちゃんまつ毛伸びた？
[390.214] (S)sakusakuman225: 対策ヨロ
[390.312] ahiruchanng: どぐらほんま
[390.380] nyata1234: 所詮我らは文字
[390.460] takahashiseigi: ササモさん的には、キャミィ、JP、ケンはキツイですか？
[393.212] akiaki0612: シャワーじゃなく風呂なの？
[394.279] miyusayers: 自分はササモにぃ、k4senさんは宇宙と大自然ってね。
[395.932] 新ころりん: 俺たちは粗品だから大丈夫やで
[396.978] gajpmwtdpw: ウメちゃんイメチェンしたね随分と
[398.094] izakunn0215: うめおじ情弱なんでいろいろ教えてあげてください！
[398.963] merkava_mk2: 蹂躙されてます
[400.247] kaigaizei: どぐら戦見てアドバイスは割とマジでほしい
[404.573] akiaki0612: ディエゴ感
[405.306] (S)kitsune_margiela: 称号w
[406.834] りあ仮称: ももち「DJはケンがきつい」
[408.432] のぞみくん: 放置www
[409.437] tabibitox: このおじさん、負けるまで知識を仕入れないからなんとかしてやってｗ
[411.046] seirosu: hutoiってHNなんでつけようと思ったんですかw
[412.638] domontyan: eウメちゃんと思ったらささもさん？今日は招待されましたか？
[413.536] spring__thief: ウメちゃんがすまないねぇ
[414.323] cubespin: 色々はっきり言ってやってくれｗ
[415.023] chipstar9: ラッシュたちコパから一気にもってかれた
[418.808] kreva_999: ウメちゃん変わったな
[423.803] 10orq: もにぃありがてぇ…
[426.439] darisu_k: ささもさんSFL頑張ってねー！
[431.095] みなぎ: ウメハラさんでかくなりましたね
[433.772] (S)johndoe6523rp: なるほど
[436.169] kabosutoran: 悪魔的な動き
[438.210] rindy08: うめちゃんちどんなにおい？
[440.373] nnmdfs: グラまじで多いよね
[441.717] curryricemaster: 投げは間違いない
[442.234] (S)gyu_nyuu_pann: ささもさんありがとーー
[446.605] (S)yut7xot8: wwwww
[448.723] teruharu_: ｗ
[449.069] prisira: ささもくん応援してるからなー
[449.238] (S)sakusakuman225: 無臭ｗｗｗ
[449.312] domontyan: むしゅうｗ
[449.367] (S)ヤーマニ: ささもさんありがとう！
[449.776] りあ仮称: ささもさんありがとう
[449.782] oimo: においｗ
[449.986] (S)きしー: お願いします
[451.130] ahiruchanng: 劇臭
[451.867] (S)gyu_nyuu_pann: wwww
[451.907] chanmipoin: DJ強すぎじゃない？
[453.404] akiaki0612: おっさんシゴいてやって
[453.407] りあ仮称: 無臭
[453.967] john117_s: ささもさんやー
[454.013] ネギトロガイル: うめちゃん太った？
[455.874] chipstar9: www
[456.589] 猫飯油: ＤＪのラッシュ早いな
[457.238] rxz_2017: ホタテ臭くない？
[457.308] np2np: まぁでしょうねｗ
[458.262] WhiteShoreDrive: 貴重な情報ｗ
[458.843] (S)P03Nekk0: 海のにおいとれたんやな
[458.873] gohan0018: ウメちゃん！？？
[462.346] nanakusan793: ウメちゃん一日でえらく太ったな…
[463.855] merkava_mk2: 海の匂いしない？
[465.163] (S)きしー: リニア系
[465.762] クラクラ777: 海のかおりしない？？
[466.281] shige04: ウメさん大きくなったな…
[467.905] aruka7zozox: ウメさんどこ？
[468.781] inago211: 梅ちゃんこんちは
[469.025] nomonomo11: ウメハラ太った？
[470.332] kabosutoran: ホタテｗ
[472.834] gensui12p: ウメちゃんでかくなったな
[474.162] (S)gyu_nyuu_pann: ホタテの匂いしないかー
[474.208] 新ころりん: よかった 海まみれじゃないんだね
[476.715] りあ仮称: ＤＪは弱体くるのか
[476.888] mimiprettybot: ウメちゃんササモさんの皮被ってSFL出るってま？
[477.554] (S)usamaru_noir: うめちゃんはお風呂です
[479.042] burisuke: リバウンドしてるやん
[479.620] kino883: ささもさんありがとー
[480.333] クラクラ777: 海原どこいった？？
[481.776] moricocoa: おっさんの臭いだけ
[482.019] イノコ: ん？
[484.391] tabibitox: ホタテ臭はさすがにもう消えてそうｗ
[485.774] sahaha213: ウメちゃん太った？
[489.700] おかめ王: DJのダッシュって見てからじゃなくて置きで対応？
[490.749] kreva_999: ウメちゃんケン
[491.557] すみ___: あれ？うめちゃん…？
[491.965] Nagare765: 家政婦来るから臭くはない
[493.756] (S)gyu_nyuu_pann: ささもさんもまたリニア使い
[496.514] はっち_8: ウメさんがきたら獣臭しますよ
[498.220] takahashiseigi: DJで、JPとキャミィは、キツイですか？
[501.643] (S)hoemin247: CRはエンジョイ大会といえど大将戦は普通にプロの試合だからなぁ
[502.910] カブトシロ: 磯の香りは消えたのか。
[502.985] gorilla_osaka: ウメチャン顔濃く
[503.305] ippyfuzion: Big fan! From UK
[505.215] ogisaka: ウメちゃんの配信点けたらささもさんおる
[505.662] spring__thief: ケチったね
[505.763] talis_mantra: daigo con 020 cazuelas encima
[506.588] ぼんすぴ: ん？誰？
[507.587] るーびんりき: 彫り深くなった？
[508.253] touruko: もうすこししたら石鹸ウメチャンくるよ
[510.377] kimanaka28: もにぃ頼む
[511.572] hikky722: こんウメ～
[512.832] (S)gorogorogorn: 再春館応援してます
[515.563] (S)johndoe6523rp: ササモさんです
[515.579] (S)yut7xot8: 再春館応援してます！！
[517.271] りあ仮称: 模擬ＳＦＬよな
[522.217] curryricemaster: ドグラ上振れ説ない？？
[526.357] のぞみくん: 殿は風呂行った
[531.755] john117_s: DJ相手に何して良いかいまだに分かんない
[533.414] seirosu: シュートが支えてるBに負けないように、ウメちゃん鍛えてください🥺
[536.115] gorilla_osaka: 全く似てないわけでもないからちょっとおもろい
[536.811] chanmipoin: なんでこのキャラ中段ガードさせて+なん？
[537.726] prisira: 普通にＤＪの理解度かね
[540.764] myaaaaaa123: ウメちゃんがビーストに！？？
[540.943] demonbane_twosword: ササモさんがDJのアドバイスに来てくれたの？死ぬほど心強い！
[544.127] (S)right_8: ウメちゃん、アスペクト比おかしい？
[544.891] (S)blueplanet96: daigo you are so big 
[545.737] chin_56_: 一緒に風呂入らんの
[546.312] 新ころりん: 殿はまた寝起きの風呂でござる
[549.920] f_muon: アレンジコスのウメさん！？
[552.916] こめまつ: 一瞬チャンネル間違えたかと思って笑った
[553.641] (S)きしー: うめちゃんささもがんばれーー
[554.446] prisira: これはいったはず
[554.530] b1sc0ito0: @blueplanet96 lmao
[561.030] Goodwisp: bigger ume 
[564.464] toki0823: ササモさんの声初めて聞きました！
[564.962] onupo: なんだこのおっさん！？
[565.188] rat_2442: うめちゃんおっきくなっちゃった
[568.342] グレナード: ササーモ！？どうしてここに
[569.255] kita_12345678: またジム行ったの？
[570.128] 新ころりん: ビッグウメは笑うｗ
[573.163] brunoman1: ささも？
[574.687] のぞみくん: ぴんぽんで起こされたんかな
[578.535] (S)maya_g01: ウメちゃんこんちh…ササモくん！
[579.372] rabbitstep: うめちゃん一日で大分おっきくなったね
[581.917] brunoman1: ささもさん？
[582.335] (S)johndoe6523rp: ウメハラ→風呂
[583.306] mogu0621: mogu0621 subscribed with Prime. They've subscribed for 9 months! 
[584.941] bokaaan: 濃いｗ
[586.051] merkava_mk2: まだはやい
[586.250] kreva_999: ウメちゃん頑張って
[587.009] gorilla_osaka: だまれTのささもにい
[588.437] クラクラ777: 大梅原
[588.501] john117_s: お風呂で2先！？
[588.930] 157655: ササモくん来てくれたのか
[589.288] (S)gyu_nyuu_pann: アラームが か
[590.842] takahashiseigi: ウメさんの最速ラッシュ知識漏れ、よく気がつきましたね…
[592.340] ~MISSING_COMMENTER_INFO~: 目覚まし？
[592.354] rump_momo: こんなに攻めっ気あるどぐらもまあ見なくてびっくり
[595.051] siratama303: アラームなってる
[595.324] (S)morinagasyuya: ウメさんおはよー今日は大きいね
[596.718] りあ仮称: ストレスで過食して太ったウメちゃん
[599.093] Nagare765: ウメちゃん他のケンと比べてコンボ安いからなぁ
[601.545] kobetaf: ササモくんこんにちは、SFL頑張ってね
[601.617] inago211: 起きて
[602.373] おかめ王: RIZIN43見ないのえらい
[602.493] (S)right_8: ウメちゃん起きて
[603.025] (S)yut7xot8: 期待のいぶし銀！！
[607.848] 戸愚呂妹: デカ大吾こんちゃー
[611.397] bunbun0880: ウメちゃん・・・1日で立派になったなぁ・・・
[612.786] nyata1234: 2時に目覚ましw
[612.867] bornslippy: where are you from?
[613.309] (S)hoemin247: 止めていいんじゃないw
[613.995] iguchiill: ｗｗｗ
[614.161] ta_masa1001: ウメちゃん大きくなったね！
[615.161] prisira: ＳＦＬは本当に楽しみ
[615.684] domontyan: ふろｗｗ
[616.292] やめ太郎: ササーモ今何キロ？
[616.759] ぢょごぢゃん: 風呂ｗ
[618.012] miyo2016: ウメハラさん太った？
[620.296] prototypeie: 身体洗ってる
[621.013] のぞみくん: ２時に起きようとしたんやね
[621.400] pinkdark01: ジョースクールのフェイントキツいんですけど何かないですか
[622.493] ぢょごぢゃん: あの人さあ
[622.740] (S)gyu_nyuu_pann: 体洗い中
[623.591] katakuricontroller: イケメンイケメン
[624.801] Youhei6251: あまりにも王
[625.052] tabibitox: 配信初めてから風呂に入る王
[627.387] peperon17: もにいいるやん
[632.408] teruharu_: ウメさん寝起きすぎて現在シャワーで滝行中
[633.173] おかめ王: ささもさん人狼めちゃよかったよ
[633.430] john117_s: 身体洗いすぎて配信遅刻
[634.913] りあ仮称: ウメちゃんはすぐ風呂入るから
[638.320] seirosu: ササもさんウメちゃんのこと何て呼んでますか？最近ウメちゃんとかビーストって呼ばれてるので距離縮めていきましょ
[642.591] ぢょごぢゃん: DJ使ってるんですけどすぐゲージなくなります
[643.427] curryricemaster: びしってダメなところ言ってこう！タメ口で
[651.126] gorilla_osaka: 今年はいぶし銀の年になるチャンスだから頑張ってほしい
[654.640] aceofcakez: !!!
[656.146] (S)sakusakuman225: こっそりｗ
[656.536] sonic_chop: ｗｗｗ
[656.880] ぢょごぢゃん: 不遜
[657.356] sistersguitarreplica: あら
[657.481] kita_12345678: ｗｗｗ
[657.652] WhiteShoreDrive: 草
[657.918] kobetaf: ｗ
[659.304] demonbane_twosword: 最高
[659.446] oimo: ｗｗｗ
[659.763] anima2580: www
[659.830] nitrobenzen: ｗ
[660.312] domontyan: ｗｗ
[660.880] (S)gyu_nyuu_pann: かわいいww
[661.056] akiaki0612: DJ、ケン有利説はマジだと思いますか？
[661.469] カブトシロ: いいんやよ。
[661.523] グレナード: ❤️
[661.781] seirosu: こっそりwww
[661.814] (S)yut7xot8: ビーストでいいよ
[662.115] bokaaan: あるあるｗ
[662.116] フﾄ: わいもやで
[662.227] りあ仮称: かわいいぞ
[662.261] tabibitox: iiyo
[663.575] のぞみくん: かわいい
[663.793] (S)きしー: こっそりいいね
[664.461] (S)haicro_zm: かわいいね
[664.588] teruharu_: いいよお
[664.882] nikukuisugi333: ダイゴってよぼう
[665.871] マーヤ: kawaii
[666.719] rabbitstep: ささもって名前の由来はなんですか？
[666.811] icyblue1985: ふふっｗ
[667.218] cubespin: いるところでもいいよｗ
[667.396] john117_s: わかる
[667.408] haniwa09: こっそりいいねｗ
[668.580] kabosutoran: ありでしょｗ
[668.659] ahiruchanng: 直接あってビースト呼びはわらう
[669.686] (S)gorogorogorn: 直でいいんじゃね
[670.070] おかめ王: ウメちゃん呼び…だと…
[670.174] (S)morinagasyuya: 突然の告白
[670.301] takahashiseigi: ウメケンのコンボ火力、他のケン使いより低いですか？
[671.294] Nagare765: そういう人多いと思う
[672.378] spring__thief: 前ステしてウメちゃんにしてみな
[672.492] ラス爺: ええんちゃうか
[672.591] kaomoji3: ウメちゃんさ〜
[672.856] (S)usamaru_noir: うめちゃんのほうが嬉しいらしいですよw
[674.962] toki0823: 何か分かるw
[676.140] GRAVEop25: wtf thats not daigo
[676.813] chanmipoin: 電話鳴ってない？
[677.459] b00wy: 勝ってウメちゃん呼びしよ
[678.010] myaaaaaa123: 今日は"だいご"でいこうか！
[678.264] natoooji: ビーストって呼んでいいぞ
[679.999] nitrobenzen: 時代はビースト呼びだよ
[680.973] rindy08: おっさんまでいこう
[681.167] Papapadad: ウメちゃんおはよう・・あれ
[682.660] MaydayMayday084: 弱ソバのフェイントの使い方は？
[683.149] ryuga00: マゴさん以来の乗っ取り？
[684.435] john117_s: karubisNikoniko
[685.773] こめまつ: 一回だけビーストって呼んでもらってもいいですか？
[686.089] nyata1234: 攻めれてないなぁ
[686.579] 漁夫の利休_: 昨日の試合見てるんか
[688.406] ~MISSING_COMMENTER_INFO~: まあ同じ業界ならそうだよねｗ
[690.108] one596: ウメちゃん随分可愛らしくなったね
[690.275] tmtr88: ササモくんウメちゃんを頼んだ
[692.142] りあ仮称: アラームじゃないかな
[693.474] miyo2016: 本当はウメと呼びすてではないの？
[704.225] curryricemaster: 風呂上がったらなぜかタメ口使うササモやってこう
[706.893] のぞみくん: うめちゃんせんしゅ！
[710.472] cesardark189: Ohayo gozaimasu
[712.145] bokaaan: 声かと思った
[712.302] akiaki0612: ササモくん分析上手いな
[713.022] (S)きしー: 他にも誰か来るのかな？
[717.446] prisira: ケンしか触ってないからね
[720.195] (S)gorogorogorn: どぐらさん強いじゃん
[721.681] merkava_mk2: ナウマンも呼ぼう
[723.466] yellow01234: 梅ちゃんの子供大きくなったな〜👶
[723.915] aru_0928: おお、ウメちゃんにコーチング！
[728.296] kaomoji3: DJが攻めも待ちも強いんよねぇ
[732.354] (S)yut7xot8: 専属コーチきたーー
[733.657] shomarusan: ささもさんありがとー
[735.781] グレナード: DJおもれー
[737.235] rt340: ありがてぇ
[737.439] prisira: 前はどぐらと７先して勝ってたんだけどね
[742.327] ~MISSING_COMMENTER_INFO~: 盛り上がってていいね
[747.673] E0w03: あれ？ウメちゃん太った？
[748.552] Nagare765: あとはキャミィ戦な
[753.988] one596: どぐら絶対殺すマンに仕上げようw
[754.975] のぞみくん: いこでび
[757.162] esutark: コマチヨ
[757.651] doh__: nani, who is this guy
[757.939] gorilla_osaka: 少し解説するだけで、あふれでるゲームうまお感
[760.370] やめ太郎: CRカップはどっかのチームと絡んでる？
[761.233] kreva_999: 直接コーチすごい
[762.831] (S)箸くれ: えーーーーーーー！！！？ささもきゅん
[763.919] ~MISSING_COMMENTER_INFO~: あれ、太った？
[764.227] akiaki0612: 全裸でアラーム止めに来い
[766.829] 猫飯油: 読み含めどこから触っていいかわからないな
[768.100] nyata1234: そうね
[768.146] bokaaan: 昨日ほぼ通ってなかった。。。
[773.799] (S)gyu_nyuu_pann: sasamo
[776.025] foo_twitch: ササモ先生がコーチきたか
[776.713] myaaaaaa123: 昨日は噛み合い悪かった感じするけど、根本的な問題があるのかな
[777.020] rump_momo: どぐらも読み合いうますぎね
[777.739] 戸愚呂妹: ウメちゃん昨日チートデイだったからね
[778.345] doublepush_da: もささ
[778.458] おかめ王: せやね
[784.328] akiaki0612: ササモジャック
[785.701] esutark: ｶﾜ(・∀・)ｲｲ!!
[788.389] shxd: What’s up?
[792.138] jigokunonekomatu: ささもにいこんにちわー
[794.410] m1s4m0: うめちゃんがでかくなった
[796.653] (S)箸くれ: 説明がうまい
[798.614] bokaaan: ガイル病が
[801.498] teruharu_: 知識が…
[801.819] WhiteShoreDrive: もにぃの言語化分かり易いよね
[802.232] パパゲーノ: えいたケンとしあげたんかなどぐ
[802.985] りあ仮称: 説明がうまい
[803.694] (S)haicro_zm: わかってない
[804.223] noriosaurus: なんか雰囲気変わりましたね
[804.725] cubespin: うむ
[807.201] (S)johndoe6523rp: キャラ対不足か
[807.271] (S)gyu_nyuu_pann: わかりやすい
[807.683] jagajaga1943: 言語化できるのがすごい
[809.132] aru_0928: 辛辣だけど、的を得た意見
[809.539] nyata1234: まさにそう
[810.211] akiaki0612: ディエゴ・ザ・ビースト
[810.250] prisira: 相手キャラ理解度は足りてないのはケンしか触ってないのもありそう
[812.364] (S)yut7xot8: DJは近距離が強いの？？
[813.210] Nagare765: ガイルのせい；；
[814.889] おかめ王: かっちりしっかりシステム通り
[816.047] mimiprettybot: 本人の前で言うの忘れないでー
[816.105] nyata1234: それ言ってあげて
[816.208] john117_s: なるほど
[817.043] takahashiseigi: 正直まだスト5っぽい、待ちの動きですよね…
[817.988] doublepush_da: デカいなあ
[818.478] (S)donachan: ありがてぇアドバイス
[819.786] gorilla_osaka: ゲームIQ高いんだなぁ
[819.840] teruharu_: たのもしい先生
[821.196] (S)箸くれ: こーれはディエゴ
[821.247] (S)SOLAS1D: 本当にその通りだと思う
[821.427] kasutadonshirokuma: お医者さん
[823.284] りあ仮称: キャラ対は全然してないからな
[823.415] darisu_k: わかりやすい説明
[825.098] (S)maya_g01: ほ～
[828.345] のぞみくん: わかりやすすぎる
[828.533] goemon___: ウメハラデカくなった？
[829.757] taroru3: 説得力ある。さすがゲームうまお
[830.115] (S)marvolo6: こんちゃ ウメちゃんちょっとでかくなった？
[830.667] (S)きしー: ささもにぃラッシュ教えてくれてありがとー
[831.413] (S)moyashi117: なるほろ
[832.340] shomarusan: 三キャラ対策してるから仕方ないっちゃ仕方なさそうだけど
[833.500] デス動画勢: うめちゃんでかくなった?
[833.531] pyamaaaa: ウメちゃんこんにちは〜
[833.738] m1s4m0: げーむうまお
[834.634] 霧月むげつ: 攻め超強いキャラなのに消極的よね
[835.822] 19ze: 梅ちゃんリバウンドしたな
[836.509] rindy08: 配信加工解除したらこうなります
[837.063] aranami0: あれ？モにぃ！？
[840.037] wahaha7788: ウメちゃん昔からわからないとさがるから
[841.793] yudedako: ウメちゃん一晩でマッシブになったね
[842.821] くね君: ウメちゃん雰囲気かわった
[844.976] (S)ゆなっこ: こんにちはー！ウメハラさん！？
[848.836] jjjin031400: ウメちゃんリバウンドw
[850.333] エムファイ: ささも兄こんにちは🌞
