[5.260] (S)さいこりてぃ: こん塩～
[33.564] 銀河白鉄: ういー
[33.596] (S)famimachan: オハヨ、オハヨ
[33.642] (S)_ととまる_: こん
[33.649] (S)Jewel_meat: おいすー
[33.676] (S)hope_soda: オハヨ オハヨ
[33.702] (S)kohaku0782: おは王
[33.899] (S)temoteee: temoteee subscribed with Prime. They've subscribed for 9 months! 
[34.075] nimnim2525: ｵﾊﾖｵﾊﾖ
[34.100] wandora5: ｵﾊﾖ
[34.272] (S)papopopo: ｵﾊﾖｵﾊﾖ
[34.300] zakinchaan: 王
[34.325] (S)ぺんた326: こん！
[34.501] (S)pua_a: fantas22Muscle
[34.524] (S)アジ7864: ｵﾊﾖｵﾊﾖ
[34.617] (S)バナナ社長: おはおはよ
[34.750] (S)shirofragrance: shirofragrance subscribed with Prime. 
[34.809] (S)yhnmt: オハヨオハヨ
[34.841] (S)uiirbee: ﾌｧﾝﾁｬﾝ ｵﾊﾖｵﾊﾖ 
[34.912] (S)鬼灯0: おはよ、おはよ
[35.177] (S)ちゅろにも: ｵﾊﾖｵﾊﾖ
[35.332] (S)ウエジィ: ウエジィ is gifting 1 Tier 1 Subs to ファン太's community! They've gifted a total of 234 in the channel! 
[35.396] tukiyosi: うい
[35.628] とろくまー: はいはいはいおいすー
[35.658] (S)niho_niho: おはよ！
[35.708] (S)karion0405: ｵﾊﾖｵﾊﾖ
[35.732] (S)kasu75: ｵﾊﾖｵﾊﾖ
[35.831] (S)udon_jack: 今日早いね
[35.838] (S)ゆるゆり3326: こばわ！
[35.861] あにてぃ: ｵﾊﾖｵﾊﾖ
[35.897] (S)kio_1223_od: 修行編きちゃ！
[35.946] (S)siro0704: 早い
[36.033] (S)バロン67: ｵﾊﾖ､ｵﾊﾖ
[36.056] (S)makomako0_0: うぃ
[36.106] (S)ウエジィ: ウエジィ gifted a Tier 1 sub to akubi_no! 
[36.170] (S)saka9767: FutureMan
[36.286] (S)takimusha: fantas22Muscle
[36.315] (S)ぬるま3: こんばんはー
[36.358] (S)わかすぎ07: オハヨオハヨ
[36.386] (S)ouma3_: fantas22Muscle
[36.732] (S)ebifraaaaai: けん？！
[36.901] (S)karori100: けん
[36.941] (S)darkun_1115: ｵﾊﾖｵﾊﾖ
[36.944] (S)nanachan0617: ソード⁈
[37.180] (S)cocochu_u: おいすー
[37.209] (S)suzu25012: きちゃあ！！！
[37.329] goosama: おはよ！
[37.389] (S)subsunsun: fantas22Muscle
[37.398] (S)mo55an: ｵﾊﾖｵﾊﾖ
[37.429] ttt2836: おはよ おはよ
[37.526] (S)dasiuketyui: ｵﾊﾖｵﾊﾖ
[37.528] takkun_yakan: ｵﾊﾖｵﾊﾖ
[37.534] りょんちゃ: ｵﾊﾖｵﾊﾖ
[37.547] (S)暗い画面に映るワイの顔: fantas22Muscle
[37.718] (S)りくりく114: fantas22Muscle
[37.773] (S)mkm_18: こんばんわっ
[38.029] (S)masyu_almal: masyu_almal subscribed with Prime. 
[38.268] (S)なぽりたんスミス: ｵﾊﾖｵﾊﾖ
[38.524] (S)epic178: 剣？
[38.619] (S)もふーお: ｵﾊﾖｵﾊﾖ
[38.709] kuro_0099: おはよおはよ
[38.806] (S)しろうと: ソード！？
[38.813] (S)雁木茉莉: fantas22Muscle
[38.827] yukitwitch14: ソード！？
[38.914] gusion023: ｵﾊﾖｵﾊﾖ
[38.914] (S)ファロン_: ｵﾊﾖｵﾊﾖ
[38.926] (S)miyayu6: ｵﾊﾖ ｵﾊﾖ
[39.264] (S)rlrlpo: 早いですね
[39.539] magulist: こん
[39.583] hazime3538: ｵﾊﾖｵﾊﾖ
[39.599] そーかげ: ういー
[39.741] k4r_z: ｵﾊﾖｵﾊﾖ
[39.810] (S)NOA707: オハヨオハヨ
[39.835] ももけろ: おはよ
[39.889] (S)YuTa1060: ｵﾊﾖ
[40.054] (S)疲れ: 疲れ subscribed at Tier 1. They've subscribed for 10 months, currently on a 10 month streak! 
[40.299] (S)kio_1223_od: ｵﾊﾖｵﾊﾖ
[40.346] (S)こまにゃんこ: おはようございます！
[40.356] Ryuk_AppleDeath: ｵﾊﾖｵﾊﾖ
[40.503] ぬぴ17: ｵﾊﾖｵﾊﾖ
[40.509] (S)あいむはげ: ｵﾊﾖｵﾊﾖ
[40.541] (S)ninnjinnbee: ｵﾊﾖｵﾊﾖ
[40.566] リッカ777: ｵﾊﾖｵﾊﾖ
[40.707] (S)karion0405: 剣
[40.814] (S)bakubaku52: おファンです
[41.046] uvliquerul: ｵﾊﾖｵﾊﾖ
[41.046] Bluefin727: ういー
[41.100] (S)Norin_min: fantas22Muscle
[41.799] (S)鯖侍: 鯖侍 subscribed at Tier 1. They've subscribed for 4 months! 
[41.825] (S)べねでぃくと: こんばんは
[41.891] (S)蟹君: 蟹君 subscribed with Prime. They've subscribed for 7 months, currently on a 2 month streak! 
[41.956] でこはむ: オハョオハョ
[42.025] (S)定年退職: 定年退職 subscribed at Tier 1. They've subscribed for 6 months, currently on a 6 month streak! 
[42.220] (S)kokototo99: おはよ
[42.367] (S)のあ96: オハヨオハヨ
[43.016] (S)matoyo11: ｵﾊﾖｵﾊﾖ
[43.051] (S)ebifraaaaai: ソード？
[43.220] (S)みるくせーき: おはよおはよ
[43.434] (S)riki_228_: FutureMan
[43.674] (S)teltel_bouz: おはよ
[44.558] (S)earl2socks: ｵﾊﾖ､ｵﾊﾖ
[44.722] (S)yashida26: おいすおいすー
[44.755] maturi1023: おはよおはよ
[45.290] (S)subsunsun: オンラインになりました
[45.377] ~MISSING_COMMENTER_INFO~: ｵﾊﾖ
[45.445] ももけろ: ソード
[45.833] (S)YAMATO00_RoueN: ｵﾊﾖｵﾊﾖ
[45.846] (S)せどさん: お、王～～～～～
[46.074] (S)こういか_するめ: つ、り
[46.346] lily369126: オンライン！
[46.521] ぽぽたろ_: ｵﾊﾖ ｵﾊﾖ
[46.797] sunnyy_1207: fantas22Nice
[47.052] (S)ぴきぴき2433: yoshin26Nizi
[47.502] 鯖缶だよ: ｵﾊﾖｵﾊﾖ
[47.667] (S)mitsuya001: ソード
[47.758] だんご0000: kuzuyqUwaa
[47.917] you_eva: おはよおはよ
[48.020] rakki141: オハヨオハヨ
[48.119] westend198502: こんばんわ～
[48.156] どかわきぃ: ｵﾊﾖ ｵﾊﾖ
[48.364] mr2494124: おはよおはよ
[48.396] (S)フリナ: オハヨオハヨ
[48.872] (S)masacom2: オハヨオハヨ
[48.928] nyakonko: おはよおはよ
[49.009] (S)ponzy48: ｵﾊﾖｵﾊﾖ
[49.126] Kk198236: おはよおはよ
[49.768] (S)tigtiger_jp: おはよおはよ
[50.284] (S)鯖侍: ｵﾊﾖｵﾊﾖ
[50.355] mustard1636: つ、るぎ
[50.366] (S)mirimonn_334: ｵﾊﾖｵﾊﾖ
[50.374] (S)定年退職: fantas22Muscle
[50.544] (M)Nightbot: 【Youtube Channel】https://www.youtube.com/channel/UCWlx7GTk0zQCi_0tKJhV72w
[50.548] (S)dai9cb1000r: ソード！？
[50.681] (S)エンペリ: ｵﾊﾖ、ｵﾊﾖ
[50.733] (S)sukimakaze1090: 釣り行けそうですか？
[50.897] まちまちまっち: けん ソード ツルギ？
[51.155] falco_xyz: RPGEpicSword
[52.055] (S)yhnmt: fantas22Muscle
[52.259] (S)karion0405: ツルギってこと！？
[52.465] (S)udon_jack: バーニングソード
[52.789] (S)makoto_0324: ｵﾊﾖ ｵﾊﾖ
[52.930] Arutan_hs: ｵﾊﾖ
[52.953] (S)ymgn1944: 剣？券？拳？
[53.024] karon35: ｵﾊﾖｵﾊﾖ
[53.607] taku22: ステーキけん？
[53.625] masu129: おはよおはよ
[53.653] (S)あいむそーばっと: おはよ、おはよ
[53.817] manamoze: 剣
[54.257] gusion023: ソード育成？
[54.565] (S)わかすぎ07: はやくて助かる
[54.805] niikun_2_3: おは
[55.289] (S)_龍角: ｵﾊﾖｵﾊﾖ
[55.548] (S)しろうと: けん 剣 ツルギ ソード
[55.936] (S)ぽふぃん: ｵﾊﾖｵﾊﾖ
[56.047] yukito127: 今日はちょっと早めやねぇ
[56.057] (S)munerio: 次の歌動画って涙のスイートチェリーってホントですか？
[56.172] (S)かぐらんチャン: ノーリミ島取りバフおめ！！！！
[56.190] (S)takenoko45: オハヨオハヨ
[56.602] shavanii3: さてつるぎ殴ろうか
[56.756] (S)24fuku: ｵﾊﾖｵﾊﾖ
[56.771] (S)yt9653: おはよ
[56.956] (S)peho_okok: PopNemo
[57.147] harehare7: お疲れ様です
[57.496] (S)カ二鍋: fantas22Muscle
[57.643] kurosan0: おはよおはよ
[57.655] (S)darkun_1115: 雨
[57.690] (S)ender_ear: 赤い激情のソード
[57.706] (S)ばむるく: ｵﾊﾖ
[57.708] (S)あきにい: おいす
[58.138] midsm0ke: けんきちゃー
[58.747] (S)yacchin0373: 剣とけん
[58.952] (S)oka_aki: ｵﾊﾖｵﾊﾖ 
[59.091] (S)kusahayasi: えい～
[59.593] (S)レイたま: ｵﾊﾖｵﾊﾖ 
[59.683] (S)roi_hi: ｵﾊﾖｵﾊﾖ
[60.165] (S)アデルウルフだよ: ｵﾊﾖｵﾊﾖ
[60.173] (S)Nolvinsk: ｵﾊﾖ ｵﾊﾖ 
[60.200] Lutz_06: ソード？！
[60.272] (S)mamimumemo123456789: オハヨオハヨ
[60.305] (S)luca_vivi: おはよー
[60.378] (S)4tsu_03: ｵﾊﾖ、ｵﾊﾖ
[60.426] (S)24fuku: ういー
[60.549] (S)honey_boo_chan: 券？
[61.418] (S)ponzy48: 釣りは延期になったよー
[61.738] yukito127: えい～
[61.916] (S)reika_momo: reika_momo subscribed at Tier 1. They've subscribed for 18 months, currently on a 7 month streak! 
[62.171] tesofo: ソード
[62.591] まちまちまっち: ｵﾊﾖｵﾊﾖ
[62.819] (S)飛びます飛びます: ｵﾊﾖｵﾊﾖ
[63.052] zakinchaan: エリーｵﾊﾖｵﾊﾖ
[64.507] (S)nossan_n: タイトル深いな
[64.664] (S)マハーカーラ: マハーカーラ subscribed with Prime. They've subscribed for 10 months! 
[64.739] zlqde: こんしおー
[64.747] ruby_mybabe: ｵﾊﾖ ｵﾊﾖ
[64.752] (S)rebecca_76star: オハヨ オハヨ
[65.400] kyouji_10: 松平健？
[65.471] ムシャ武者: ｵﾊﾖｵﾊﾖ
[66.336] (S)nakasuke3: これ、スト6のケンです
[67.347] (S)ぺんた326: uni100
[68.350] madowakusan: ｵﾊﾖｵﾊﾖ
[68.506] momo_dada: 振興券？
[68.550] (S)_龍角: うおおおおお
[68.929] (S)kasutera_9646: りゅう
[68.963] (M)Nightbot: 他配信の情報をコメントに書く行為、私の配信の情報を他の配信でコメントする行為は禁止です。
[69.079] くもちゃん1: こんばんは
[69.284] (S)梅こんぶちょー: ~MISSING_MESSAGE_INFO~
[69.320] (S)aibanban: ｵﾊﾖｵﾊﾖ
[69.578] (S)ユズ葉: こんばんは😊
[69.673] tackmail: おはよおはよ！
[70.151] (S)000kizuna000: おはよおはよ
[70.342] (S)l4190l: オハヨ
[70.345] ビショビショ美少女: 券 剣
[70.370] (S)ゆーうと: fantas22Muscle
[70.551] (S)dasiuketyui: オハヨｵﾊﾖ
[71.164] (S)kanzu20: ｵﾊﾖｵﾊﾖ
[71.375] kou5656: 今日早めやな
[71.611] (S)ばむるく: 剣？拳？
[71.717] daiki_matsuo: おはーよおはーよ
[72.433] (S)waka_1907: waka_1907 subscribed at Tier 1. They've subscribed for 10 months! 
[72.677] pakadar: おはよー
[72.861] (S)あろめろでぃ: オハヨオハヨ
[73.363] (S)yuchanas: 酒飲んでます？
[73.813] yume_maro: ｵﾊﾖｵﾊﾖ
[73.823] (S)雪玉オニギリ: ｵﾊﾖｵﾊﾖ
[73.900] (S)gyora1: 御雨ミスラ subscribed at Tier 1. They've subscribed for 3 months, currently on a 3 month streak! 
[74.739] め_ちゃん: ｵﾊﾖｵﾊﾖ
[75.216] (S)ティターナ: ｵﾊﾖｵﾊﾖ
[75.448] (S)_龍角: ｵﾊﾖｵﾊﾖ
[75.720] gusion023: レッドソード育成？
[76.688] (S)kyomubanana0604: kyomubanana0604 subscribed with Prime. They've subscribed for 6 months, currently on a 6 month streak! 
[76.843] (S)PINODAY0: ﾌｧﾝﾁｬﾝｵﾊﾖｵﾊﾖ
[77.141] sunny32721: 雨すごいねー
[77.173] (S)横幅担当大臣: ｵﾊﾖｵﾊﾖ
[77.384] (S)Jewel_meat: ｵﾊﾖｵﾊﾖ
[77.563] yukitwitch14: ｵﾊﾖｵﾊﾖ
[77.774] (S)なぁちゃむ: おはよ、おはよ
[77.775] (S)kasutera_9646: おはよおはよ
[77.837] じゃがいも揚げ犬: けん…券…拳…犬…剣、様々な意味があるな
[77.977] えんえんトンネル: 剣！？
[78.109] dedede0913: ⚔️券
[78.810] (S)tarouzirousaburou: おはよおはよ
[78.825] chebumimi: ｵﾊﾖｵﾊﾖ
[78.850] (S)nanachan0617: そーど
[78.864] (S)ちゅろにも: 見
[78.910] niikun_2_3: ｵﾊﾖ ｵﾊﾖ
[79.193] ボンサイおじさん: ねっちょりおはよ
[79.594] (S)roujint0521: 剣？券？
[79.631] (S)アィスクリーム: ｵﾊﾖ､ｵﾊﾖ
[79.871] 俊足の迅: 笑ってもっとベイベｵﾊﾆｮｵﾊﾆｮ
[79.895] (S)のるんくん: のるんくん subscribed with Prime. They've subscribed for 5 months, currently on a 4 month streak! おいすー！
[80.090] (S)takowasa_0607: こんばんは
[81.000] (S)東方全敗: ｵﾊﾖ､ｵﾊﾖ
[81.126] (S)蟹君: ツルギ回きちゃ
[81.218] youtaaa502: 占いのけん？
[81.242] (S)dasiuketyui: ｵﾊﾖ❤️ｵﾊﾖ❤️
[81.914] (S)永久恋愛01414: おはよ、おはよ
[82.183] kuenson: おは
[82.643] (S)jinta135: ｵﾊﾖｵﾊﾖ
[82.837] (S)karion0405: ダブルミーニングね
[83.502] (S)ツカサ10: おはよーー！
[84.073] (S)sasamisan333: ｵﾊﾖｵﾊﾖ
[84.285] (S)sukimakaze1090: 延期了解ｱｻﾞｽｱｻﾞｽ
[86.226] (S)梅こんぶちょー: fantas22Syankzu
[87.829] izuniro_dayo: 拳やな
[89.989] 高菜刀彼方: 招待券 ソード 拳
[91.829] (S)takenoko45: また面白い事なってきましたね
[91.970] アプリオリ: ｵﾊﾖ ｵﾊﾖ
[92.043] (S)s_taichi24: うんこちゃんのPK見ましたか？
[92.076] n01zu: 地域振興券
[92.134] (S)moyasi_s14: fantas22Syankzu
[92.212] (S)雪玉オニギリ: ⚔
[92.781] nagao_kazuki_fenikon: そういや会社員辞めてからどんな感じですか？
[93.020] (S)alkesituhaya: おはよおはよ
[93.328] (S)かぐらんチャン: 貢献券と拳と剣のトリプルミーニング
[93.653] bananapoop3939: 券かもしれん
[93.727] (S)miki_miki1123: fantas22Muscle
[94.619] (S)sharps000: ｵﾊﾖｵﾊﾖ
[95.609] leone4bbacchio: kyouchDe
[95.911] (S)kasutera_9646: PokAegislash
[96.859] meshi_oji: ｵﾊﾖｵﾊﾖ
[98.522] (S)たつぴーまん: けん、犬、犬ルリ？
[99.552] noln114: ｵﾊﾖｵﾊﾖ
[100.517] こげもげ: sirryHi
[100.819] ももけろ: ファンちゃん♡ｵﾊﾖｵﾊﾖ
[101.062] (S)元気なデブ: うぃ～ばんわ
[101.402] (S)きゅむぉ: けん、き
[103.268] ビショビショ美少女: 券 剣 拳
[104.008] (S)森中あいと: おはよおはよ
[104.220] (S)shiraki12: ⚔️
[104.458] (S)ずみのけー: ｵﾊｵﾊ
[105.456] (S)norihiko_san: おはよ、おはよ
[105.487] (S)モルト_416: おはようございます！
[105.847] (S)たつぴーまん: かっこよ
[106.164] kobm_mw: けんけんけん
[106.277] (S)nxsthj: 釣り延期かぁ。。。
[106.364] momo_dada: 振興券とみた
[106.894] (S)o_tiii: ｵﾊﾖｵﾊﾖ
[107.033] (S)rebecca_76star: ソード⚔️
[107.129] e_t_o__: ｵﾊﾖｵﾊﾖ
[107.152] (S)alkesituhaya: うお
[107.743] (S)鯖侍: おぉー
[107.811] (S)のるんくん: さとう！
[108.235] ももけろ: さとう！
[108.275] (S)white_black_: 今日もやってんね、歌枠良かった
[108.316] (S)karion0405: おおおおお
[108.626] (S)べべ3: お
[109.223] (S)suzu25012: さとう！！
[109.477] charles_rc350: ｵﾊﾖｵﾊﾖ
[109.963] ゆっくり竜王竜也: ｵﾊﾖ♡ｵﾊﾖ♡
[109.982] れぶりみ: かっけええ
[110.058] hulkantos: さとう
[110.576] 銀河白鉄: さとーう
[110.773] まぐ12: けん、ソード
[110.795] (S)o_tiii: おお
[110.850] (S)arupinnn: arupinnn is gifting 10 Tier 1 Subs to ファン太's community! They've gifted a total of 20 in the channel! 
[110.983] (S)skun_wn: ｵﾊﾖｵﾊﾖ ファン太さんちゅき
[111.090] ttt2836: お
[111.293] (S)エンペリ: おおおおおおお
[111.620] (S)revy_765: ｵﾊﾖｵﾊﾖ
[111.805] ビショビショ美少女: かっけぇ
[111.826] (S)arupinnn: arupinnn gifted a Tier 1 sub to naetora3! 
[111.840] (S)arupinnn: arupinnn gifted a Tier 1 sub to boncura! 
[111.848] (S)arupinnn: arupinnn gifted a Tier 1 sub to m_hiyori! 
[111.850] (S)arupinnn: arupinnn gifted a Tier 1 sub to bersaglieri1975! 
[111.866] (S)arupinnn: arupinnn gifted a Tier 1 sub to gyaos_! 
[111.876] (S)arupinnn: arupinnn gifted a Tier 1 sub to satouusami! 
[111.877] (S)arupinnn: arupinnn gifted a Tier 1 sub to mizukininety! 
[111.885] (S)arupinnn: arupinnn gifted a Tier 1 sub to sezanasin! 
[111.896] (S)arupinnn: arupinnn gifted a Tier 1 sub to 竹の下ぽんず! 
[111.968] (S)arupinnn: arupinnn gifted a Tier 1 sub to da1sykk! 
[112.308] kou5656: さとう！
[112.513] (S)竹の下ぽんず: さとぅー！
[112.528] (S)ぺんた326: 変わってる！！！
[113.015] (S)alkesituhaya: かっこいいな
[114.134] (S)niruka0521: きたー
[114.219] (S)siro0704: さとう
[114.291] (S)zuntan4649: かっけぇ
[114.454] midsm0ke: さとうかわちい
[114.661] (S)udon_jack: さとうがきた！
[114.756] kojimako3: うぃっすー
[114.763] (S)kannzaki8: おいす
[114.777] (S)tofu_mint: さとうw
[114.981] yume_maro: さとう！
[115.186] (S)kira0319: kira0319 subscribed with Prime. They've subscribed for 9 months! 
[115.207] (S)revy_765: わぁ
[115.730] (S)ケバケバオ: ｵﾊﾖ ｵﾊﾖ
[115.895] (S)PINODAY0: ソードのとこおもろかったなぁw
[116.239] (S)きゅむぉ: わぁ
[116.349] madowakusan: わぁ
[117.011] gusion023: おぉぉぉ！
[117.407] ゴルーン: ｵﾊﾖｵﾊﾖ
[118.042] りょうげーさん: けん
[119.211] (S)のるんくん: ぼしゅ！
[119.428] tamamorisenpai: わあ
[119.437] barubatos00: タイトル、券と拳
[119.537] (S)luckystrike_fps: luckystrike_fps subscribed with Prime. They've subscribed for 10 months! 
[119.719] (S)katuobushi6256: わぁ
[120.335] (S)アジ7864: かっけぇ
[120.355] (S)ponzy48: 犬ルリ闇堕ちは面白すぎるw
[120.397] (S)ふっし一: ｵﾊﾖｵﾊﾖ
[120.431] (S)takenokokoooo: さとうかっけえ
[120.469] (S)読書感想文ヴぉぶ: 読書感想文ヴぉぶ subscribed at Tier 1. They've subscribed for 9 months! 
[120.563] ももけろ: じいじ！
[120.978] (S)xyz_3931: 銭形！？
[122.313] ボンサイおじさん: さとうざろっく
[122.534] meshi_oji: かっけぇ
[123.016] (S)nanachan0617: かっこよ
[123.062] (S)ender_ear: 見てウェス！
[123.166] (S)ちゅろにも: かっこよ
[124.151] tanabo39: ボスのボス
[124.156] ゴルーン: じいじ！
[124.183] (S)tarako_0420: ｵﾊﾖｵﾊﾖ
[124.449] ありんこ831: かっけぇ
[124.531] (S)glasses02: 地域貢券どうと思います？
[124.597] (S)yt9653: ぼしゅう
[125.092] (S)かぐらんチャン: じいじ！
[125.670] かたあめ: ｵﾊﾖｵﾊﾖ
[125.891] (S)4tsu_03: 見てウェス
[126.626] Lutz_06: かっこよ！！
[126.663] (S)獅子舞君: ｵﾊﾖｵﾊﾖ今日は早い！
[126.669] (S)竹の下ぽんず: じいじ♡
[126.688] yume_maro: じいじ！
[126.727] (S)ばむるく: ヴァンさん！？
[127.158] (S)norihiko_san: norihiko_san subscribed with Prime. They've subscribed for 9 months! おはよ、おはよ
[127.578] (S)ひるお: ダーマーかっけえ！
[127.867] (S)モルト_416: 昨日歌聴きながら寝落ちしました！
[128.015] (S)おぉー: おぉー subscribed with Prime. They've subscribed for 10 months! いつも面白い配信ありがとうございます
[128.475] ももけろ: ヴァンさん！
[129.265] gusion023: かっけぇ！
[130.186] (S)かぐらんチャン: ヴァン、
[130.265] tamamorisenpai: かっけー！！
[130.491] (S)ネオノアン: ヴァンさん！？
[130.701] tanabo39: すみっこ
[132.330] kimiyouchida: オハヨオハヨ
[134.521] (S)PINODAY0: ヴァンさんかっこよ
[135.774] ほそみな: ｵﾊﾖｵﾊﾖ
[136.751] midsm0ke: じいじいいね
[137.911] naogons13: かっけぇ
[138.680] (S)karion0405: わぁ
[139.485] nachume1212: けん＝takera＝NLスマブラカスタム=ちんちん
[140.523] (S)4tsu_03: 見てウェス！！
[140.596] (S)rebecca_76star: わぁ
[140.619] (S)Jewel_meat: ウェスカーもヴァンさんもかっこよ
[140.820] barubatos00: ボスボス
[141.856] Lutz_06: かっこよすぎw
[142.562] 7siuy: おはよ
[142.907] (S)takenokokoooo: じいじかっけえ
[143.142] (S)nanachan0617: じいじかっけえ
[145.402] ゴルーン: じいじ大人気
[145.630] (S)羊ゆーじん: ｵﾊﾖｵﾊﾖ
[145.953] seto1232: かっけえ
[146.724] (S)siro0704: じいじ
[146.951] hulkantos: ウェス祭りや
[147.189] ajmdx6: シャンクズの画像ないw
[147.714] (S)kobby0816: ｵﾊﾖｵﾊﾖ
[147.917] yayu_ya8: オハヨオハヨ
[148.511] (S)しろくま飴: しろくま飴 subscribed at Tier 1. They've subscribed for 10 months, currently on a 10 month streak! 
[149.268] (S)DoNotEat_: ノーリミ追い風じゃなくてもう背中にジェットついてない？
[150.138] (S)tarako_0420: じいじかっこよ
[150.783] ビショビショ美少女: ウェスカー多くない？おぅおぅ
[150.998] xpmgjd: おはよおはよ
[151.935] まぐ12: 拳(けん) 剣
[152.588] ももけろ: じいじの配信かとおもた
[154.201] (S)スキン: 次しまとりいつ？
[159.749] (S)bastet22: さとうかわいい
[160.009] nahayu0987: doumo---
[160.407] (S)じゃがいも揚げ犬: じゃがいも揚げ犬 subscribed with Prime. They've subscribed for 6 months! 
[161.434] (S)澪好き: こんばんは～！
[163.321] silorelies: 来たな時代がぁ
[164.305] (S)ponzy48: シャンクズのFA少ないのかなw
[165.155] (S)xyz_3931: ソード→けん→ケン→かんせる
[167.297] (S)kuropon5078: こんばんは
[168.106] karrrmt: 島取り明日
[168.952] (S)八神みや: おはよおはよ
[169.925] shavanii3: 島取り明日だよー
[170.318] (S)PINODAY0: 水金
[171.297] (S)こういか_するめ: つ、り
[172.696] (S)ちびまー: 時代がやっと追いついた
[173.206] (S)white_black_: 地域貢券どう思う？
[173.397] yuchan_05: おはよう〜
