[1.846] (S)ひなづき0712: わだこら!!
[35.995] kosei000: radaoToire
[36.097] mira_bell5: わこらだー
[36.123] fd3sq_: わこらだ
[36.136] ぴこの: radaoHi
[36.138] ぶるねった: radaoHi
[36.143] hihihikaruru: わこただーー
[36.270] ぎわり: わこらだ
[36.320] mm_rrrr: radaoHi
[36.371] akaya1225: わこらだ
[36.511] えりさ_: 処女www
[36.898] taramomo_: radaoHi
[36.921] syake_1446: わこらだ！
[37.067] (S)mrgrtpsr: わこらだ！
[37.102] (S)ドミノくん: え
[37.158] moshimo00: わこらだ
[37.165] ﾐﾗ: ナイトメアモードですか！？？
[37.193] tunamayo1234: わこらだ
[37.257] tarou_83: わこらたぁぁぁあ
[37.330] shorusan: わこら 
[37.336] こんにゃ: わこらだ
[37.436] oriri0512: わこらだー
[37.509] humyo: radaoHi
[37.558] ずつうがいたい: radaoHi
[37.709] ごっちお: radaoHi
[37.744] muutyo_io: わこらだ
[37.753] risushi_12: radaoHi
[37.783] 漆黒のホタテ: わこらだ
[37.798] ウノゾー: わこらだ
[37.935] あしゅ_1127_: わこらだ
[38.473] avocado605: radaoHi
[38.482] (S)nerimaki0203: radaoHi
[38.527] ren_kujou: わこらだ
[38.612] (S)mtgaoi: わこらだ
[38.680] なめらかぷりん: radaoHi
[39.721] すいかんがる: radaoHi
[39.836] mira_bell5: radaoHi
[39.851] f__ay25r11: わこらだ
[39.891] mikan_san: わこらだ
[40.373] muru1113: muru1113 subscribed at Tier 3. They've subscribed for 35 months, currently on a 34 month streak! わこらだ
[40.953] アリーガちゃん: radaoHi
[40.959] (S)nibosichan_0403: radaoHi
[41.004] tokoivu1125: radaoHi
[41.028] bakura1244: bakura1244 subscribed at Tier 2. They've subscribed for 38 months, currently on a 38 month streak! わこらだ
[41.055] yuu_1010: radaoHi
[41.072] amane_ak: わこらだ
[41.177] miki_15g: radaoHi
[41.180] (S)黒豆大福: radaoHi
[41.188] huuyu_Hy: わこらだー 
[41.202] (S)makaron_016: radaoHi
[41.210] みーだん: 運営とホラゲーきちゃー
[41.344] waka_000: radaoHi
[41.402] ay___777: わこらだ
[41.526] mintttttttu: わこらだー
[41.661] (S)wakame_rapa: radaoHi
[42.712] (S)セレちゃ: わこらだ
[42.721] samidare_1222: わこらだ
[42.778] あしゅ228: わこらだ
[42.828] えりさ_: wwwwwwwwwwww
[42.849] okikuninngyo: わこらだ
[43.306] (S)shiki365: shiki365 subscribed at Tier 1. They've subscribed for 2 months! わこらだ
[43.499] あいかわしおり: あいかわしおり subscribed at Tier 1. They've subscribed for 13 months! わこらだ
[43.998] kosei000: 初手トイレやめて
[44.016] しじみエキス: わこらだ
[44.143] baluca0710: radaoHi
[44.201] あく____: わこらだ
[44.219] 心1203: わこらだ〜 
[44.226] kqhye: わこらだ
[44.258] ankk0402: わこらだ
[44.260] hiyu_0: わこらだ
[44.261] nyarin_0302: radaoHi
[44.266] arasin2157: radaoHi
[44.330] ただの絵描き: わこらだ
[44.421] しろくまーチェ: わこらだー
[44.446] (S)hiragi_114514: わこらだ
[44.513] ひょーり: わこらだー
[44.519] haruneko_0127: わこらだ
[44.724] あぷあぷえる: またウォシュレットの話じゃんwwwwwwwww
[44.846] shiyi0917: わこらだ
[44.882] michupi_rapi: わこらだ！
[44.901] きのこのこぉ: わこらだ
[45.127] ofurosaboten: わこらだ
[45.174] kano1017: radaoHi
[45.220] batu_0009: わこらだ
[45.290] (S)96猫3: わこらだ！
[45.307] らいすくりーむ: わこらだ
[45.356] うぉ: わこらだ 
[45.358] ねねねい: わこらだ 
[45.370] (S)haruneo_s: radaoHi
[45.376] reaamia: わこらだー
[45.405] (S)minimia_119: わこらだー
[45.533] (S)レロキャン: またトイレの話してる
[45.706] oreo_oic101: わこらだ！
[45.744] ui_nemutai: radaoHi
[45.749] zakuro0609: radaoHi
[45.803] ぶな_しめじ: !member
[45.854] nobuhiro0517: わこらだ
[45.909] (S)mashiro1204: わこらだ
[45.911] rislo_tto: わらこだ
[45.920] (M)Nightbot: [solo]
[47.068] rakorako0425: わこらだー
[47.122] taakatuki1024: わこらだ
[47.176] おちゃだよ: radaoHi
[47.267] batu_0009: radaoHi
[47.295] rafeiii: わこらだ
[47.301] すわずし: radaoHi
[47.321] やしろーる: radaoHi
[47.325] sparrow__7__: radaoHi
[47.327] mikuninnjinn: わこらだー！
[47.340] (S)ちあ25: わこらだ
[47.390] ただの絵描き: radaoHi
[47.462] Pantobox: わこらだ
[47.635] huuka2150: わこらだー
[47.650] ひょーり: radaoHi
[47.683] bachi_5: わこらだ
[47.859] なぷなつ: うおおおお
[47.859] (S)よるむちゃん: わこらだ💖
[47.865] sirose__o: わこらだ
[47.893] mono_0114: radaoHi
[47.917] かんこ: 始まってすぐこの話えぐ
[47.923] demekin_0730: きちゃー
[48.229] (S)ふーかくらげ: わこらだ 
[48.259] (S)セレちゃ: radaoHi
[48.265] mikan1185: わこらだ
[48.331] ewokakou: わこらだ
[48.485] _ゆずれもん: わこらだ
[48.492] (S)やろたお: わこらだ
[48.496] _紺碧_: わこらだ〜！ 
[48.603] mui_o5: radaoHi
[48.623] (S)なんでもいい: わこらだ
[49.972] (S)youkandayo: youkandayo subscribed with Prime. They've subscribed for 2 months! わこらだ 
[50.120] tetoram: radaoHi
[50.195] k0725: radaoHi
[50.206] さわい: radaoHi
[50.329] (S)inuyo: radaoKitya
[50.366] ホタテまる: わこらだぁ 
[50.427] fish_37: わこらだ
[50.528] halu261524: わこらだ〜
[50.534] utusin_no_geboku: わこらだ
[50.537] Bey0803: radaoHi
[50.630] mizuki_____________radao: わこらだ
[50.691] とりーーも: わこらだ
[50.737] himakuriko: わこらだ 
[50.739] renkuwa0331: 始まりの会話ウォシュレットま？w
[50.781] sirokuma___: radaoHi
[50.791] kurumi0108: radaoHi
[50.811] らむさま: わこらだ
[50.841] (S)わり: わこらだー
[50.876] スフレ2310: radaoHi
[50.939] (S)たまごガチアンチ: わこらだ
[51.033] peskapes: radaoHi
[51.121] (S)いくらのおにぎり: radaoHi
[51.157] marimoko6231: radaoHi
[51.177] 1995_kim: わこらだ
[51.225] NanasinoNana0308: わこらだ
[51.584] ayunosioyaki0223: wwwwwwwwwwww
[51.602] mameta45: radaoHi
[53.264] 灰8熊: わこらだー
[53.292] koooohizeri: わこらだ
[53.382] toyu315: わこらだ
[53.404] uta_0713: radaoHi
[53.425] wottsu: radaoHi
[53.489] kim_t08: わこらだ
[53.510] ミィリス_0318: radaoHi
[53.538] (S)Chao_mako: わこらだー！
[53.577] rei_040: radaoHi
[53.624] halu261524: radaoHi
[53.640] natunele05: 残念だがアーカイブを見るぜ
[53.703] 優衣斗: わこらだ
[53.726] (S)みおお: またトイレの話してる？ 
[53.812] kazaki1016: radaoHi
[53.814] runana_1123: わこらだ
[53.819] 叫び声: radaoHi
[53.894] kyo_kaaa: わこらだ
[53.977] karasu57: radaoHi
[54.147] (S)セレちゃ: きちゃー
[54.335] ぺびふらい: radaoHi
[54.382] atugarisan: わこらだ
[54.388] (S)kogumi_136: radaoHi
[54.526] 0zero029: わこらだ
[54.557] rgwn27: radaoHi
[54.581] kkkk2525: わこらだあ
[54.735] (S)machiru88: radaoHi
[54.802] hakopak: わこらだ〜
[54.853] MORIYA_37: ひっどい話
[54.926] 잣피: chappy_w subscribed at Tier 1. They've subscribed for 28 months! 
[54.992] (S)misakishiro821: radaoHi
[55.141] (S)mashiro1204: radaoHi
[55.149] sinse0911: radaoHi
[55.220] rikari_1023: radaoHi
[55.221] mizuki_____________radao: radaoHi
[55.254] maromaro332: radaoHi
[55.257] gawa0904: わこらだー
[55.298] いぶ太郎: いぶ太郎 subscribed with Prime. They've subscribed for 27 months! 
[55.307] pengin0216: radaoHi
[55.504] (S)hanadango823: hanadango823 subscribed at Tier 1. They've subscribed for 9 months, currently on a 9 month streak! 
[55.561] (S)noaaaan_5: わこらだ
[55.726] katsukichi09: radaoHi
[55.806] karage210: わこらだ
[55.899] mrmgetiepjtgjv: わこらだ
[55.901] 1205omoti: わこらだ
[56.290] (S)みんてぃぁ: わこらだ
[56.436] toni_10_9: わこらだ！
[56.460] maaaaaaackie: わこらだ
[56.493] こおりがし: わこらだ
[56.513] kasuka_sky: わこらだ
[56.536] sasatatana: わこらだ
[56.555] aeyuma: わこらだ 
[56.604] 矢知: わこらだ
[56.661] haru_chan92: わこらーだー
[56.736] (S)Ruria00: わこらだ 
[56.854] 揚げたこ焼き: わこらだぁ！ 
[56.887] (S)rimi0221: わこらだ
[56.892] gakuto1007: radaoHi
[57.109] siyu_25: radaoHi
[57.300] mikan1185: 生活習慣…
[57.331] さち25: わこらだ
[57.350] kkkk2525: radaoHi
[57.433] aoi423: radaoHi
[57.442] (S)egve2576: radaoHi
[57.472] windowkaaaa: radaoHi
[57.491] monaka_ssa: わこらだ
[57.524] urusuka: radaoHi
[57.610] makisima0614: わこらた！
[57.702] hazuki_midori025: radaoHi
[57.703] banyakauda: radaoHi
[57.712] takuminminsan: 運営と嬉しいぜ
[57.754] mkmk0215: わこらだ！
[57.796] めろぱんまん: radaoHi
[57.798] tuna000000000000: わこらだー！
[57.908] arisu_rd_risu: わこらだー
[58.212] chef_kawasacki: わこらだ
[58.349] (S)わり: わこらだ
[58.401] (S)ぶろつこり: radaoHi
[58.459] ura__5: わこらだ
[58.624] waruboo619: わこらだ
[58.714] まめさん123: わこらだー
[58.928] rona0525: わこらだ
[58.969] (S)Nobbu13: Nobbu13 subscribed at Tier 1. They've subscribed for 4 months, currently on a 4 month streak! 
[59.116] miru0707: radaoHi
[59.117] melonpasta1016: わこらだ
[59.350] (S)aonori_1111: わこらだ！？
[59.355] kyarameru2nd: わこらだー
[59.355] ichika_0228: わこらだ
[59.573] nn2407: わこらだ
[59.585] (S)shistema: わこだら
[59.631] abababa080904: わこらだ
[59.835] sadapinn: radaoHi
[60.138] ゴローだよお: radaoHi
[60.188] kairo_ej: kore
[60.191] るなにや: わこらだ
[60.386] myorukana: radaoHi
[60.392] ネギ犬: ネギ犬 subscribed at Tier 1. They've subscribed for 42 months, currently on a 42 month streak! わこらだ
[60.400] darukimanto: わこらだー
[60.551] ゆきゆた: わこらだ
[60.606] えふむ: radaoHi
[60.708] yuti1006: わこらだ
[60.815] mugisan1221: radaoHi
[60.981] らんね: わこらだ 助かる
[61.024] スーベニア: わこらだー
[61.052] (S)Rayouumami: わこらだ 
[61.205] panndaman1: radaoHi
[61.229] apple011527: radaoHi
[61.303] ｱﾁｬﾓ: わこらだー
[61.339] shintyan405: わこらだ！
[61.447] mimi_fuwa1489: わこらだ
[61.519] weus9: わこらだ
[61.551] ぬぬま: わこらだ
[61.611] hime_rate: わこらだー
[61.632] ばにら0115: radaoHi
[61.694] Kurousagi495: わこらだ
[61.843] t0r0ten: わこらだ
[61.867] maromaro222: radaoHi
[62.118] (S)reki_b: わこらだ
[62.339] 弥紅: ホラゲー助かるわこらだ
[62.393] 優衣斗: radaoHi
[62.662] torizuki_desu: わこらだ！
[62.833] yakki_san: わこらだ
[62.833] 床_: またその話しとる
[62.866] (S)rimi0221: radaoHi
[62.880] AyutayaZ: わこらだ
[63.067] mkmk0215: radaoHi
[63.098] nakihai556: radaoHi
[63.130] economic_cube3: わこらだ
[63.184] warabimoti42: わこらだ
[63.290] (S)りぃたろくん: radaoHi
[63.396] mizuno0624: mizuno0624 subscribed with Prime. They've subscribed for 34 months, currently on a 7 month streak! わこらだ
[63.411] sadapinn: わこらだ
[63.428] drowsy__46: わこらだー
[63.536] _紺碧_: 何の話だ？
[63.582] のあチャン: わこらだ
[63.679] (S)marine_1016: radaoHi
[63.780] ruby7_26k: わこらだです！
[63.804] (S)紫雨ノ: kikyoo_01 subscribed at Tier 1. They've subscribed for 6 months, currently on a 6 month streak! わこらだー！ 
[63.859] そふぃ3: QOLwwwww
[63.916] (S)kohaku1379: わこらだ
[63.975] 智美: 智美 subscribed with Prime. They've subscribed for 30 months! 
[64.054] emitsin: radaoHi
[64.285] mspsg0902: わこらだ
[64.376] omoti_415: わこらだ 
[64.448] (S)sante_3107: radaoHi
[64.502] meichinghost: radaoHi
[64.514] yuma75s: わこらだ
[64.596] 桜並木: radaoHi
[64.642] ラム0158: radaoHi
[64.686] (S)momoaru: radaoHi
[64.703] (S)shunmin_914: わらだこ！
[64.759] oreo_oic101: www
[64.769] すぎたな: わこらだ
[64.797] poru1010: わこらだ
[64.810] (S)レモンちゃ: radaoMoeru
[65.291] chocomint76: わこらだ！
[65.388] ginger_1202: また話してる
[65.497] (S)mitsu2647: radaoHi
[65.523] ファンさかな: 久しぶりにきたぜ〜
[65.530] みなやむら: わこらだ
[65.714] tukasa1003: わこらだ
[65.749] 金平糖_2525_: わこらだ 
[65.889] yuzu0331: radaoHi
[66.112] (S)みるくいちご: わこらだ 
[66.119] さち_: わこらだ
[66.129] ray_oyasumi: radaoHi
[66.284] ｺﾄﾐｱ: わこらだ
[66.346] re_orange814: わこらだ
[66.349] (S)なんでもいい: radaoHi
[66.360] (S)kurot0923: radaoHi
[66.362] _ヴォク: radaoHi
[66.398] makisima0614: わこらた
[66.502] (S)アマノジャクだよ: radaoHi
[66.507] kkkk2525: わこらだ
[66.632] ｱﾁｬﾓ: radaoHi
[66.700] soralira: なんの話？？
[66.772] Water_1013: radaoHi
[66.867] muginkon: わこらたま
[66.869] amenbomame: わこらだ
[66.962] (S)mio_koba: radaoHi
[66.995] ゆゆま_: わこらだ〜 
[67.137] hime_rate: radaoHi
[67.305] waaaaahco: またトイレの話してる
[67.528] drowsy__46: radaoHi
[67.565] temari_99: わこらだ
[67.696] (S)楓_くん: radaoHi
[67.737] heightlow: radaoToire
[67.925] pepelonteeno: わこらだー
[67.926] (S)よるむちゃん: テンション上がって来たのにまたウォシュレットの話か
[67.986] taakatuki1024: radaoHi
[67.991] (S)Ruria00: またトイレの話してね？！？！
[68.060] rioapr03: いつまでその話してんだ
[68.141] Shirasu_0123: radaoHi
[68.146] osato9654: わこらだ 
[68.217] nekomrnn930: わこらだ
[68.300] 蕎麦雄: またウォシュレットの話w
[68.322] めた_: radaoHi
[68.379] nanase0318: わこらだ
[68.481] (S)keityan0_0: わこらだ！
[68.626] 夜絃: radaoHi
[68.661] ayame1017: radaoHi
[68.708] nunoshi: わこらだー
[68.774] 秀香0316: わこらだ
[68.776] windowkaaaa: わこらだ
[68.784] masyu510: radaoHi
[68.787] mistonnn: わこらだ！！
[68.909] (S)寝ろさん: 初っ端からなんて会話してんだ
[69.245] shusuke1229: わこらだ
[69.416] sumire_a: radaoHi
[69.507] たけのこ美味しい: わこらだー
[69.655] 愛の林檎: またトイレの話してる…
[69.692] sukeww: radaoHi
[69.836] (S)Chao_mako: またトイレの話www
[69.923] erfa_1906: わこらだ〜
[70.083] ぺこなは: わこらだ
[70.138] g4ckt_shining: yo-ho！
[70.151] minto13579: radaoHi
[70.153] aya1207_: わこらだ
[70.190] amenbomame: radaoHi
[70.230] YodoRa: またトイレの話してる…
[70.312] mirumiru_h: またウォシュレットの話してる
[70.342] ガオ遼史: 開幕トイレかよ笑笑
[70.451] (S)あーーーや: あーーーや subscribed at Tier 1. They've subscribed for 7 months! わこらだ
[70.566] momijichaan: わこらだ
[70.589] めぐを: radaoHi
[70.751] シマウマのケツ: わこらだー
[70.819] (S)レモンちゃ: わこらだ
[70.833] (S)きのここ: ウォシュレットの話かよw
[70.892] kurui440: わこらだ
[70.978] drkotan: わこらだー
[70.978] hiyu_0: radaoHi
[71.007] komekami107: radaoHi
[71.052] towa______: radaoHi
[71.114] komatsuna_neko3: radaoHi
[71.294] (S)ヘムトリ: わこらだ
[71.356] akaihi: 初っ端ウォシュレットやめろ
[71.537] t0_ukq: radaoHi
[71.581] (S)maimuratyan: maimuratyan subscribed at Tier 1. They've subscribed for 2 months! 
[71.833] kkkk2525: わこらだあー！
[72.066] wakahr: わこらだ
[72.191] renkuwa0331: わかる
[72.314] ratarly: わこらだー
[72.780] tm0kn: わこらだー
[72.832] そふぃ3: まーたトイレの話してるwwwww
[72.925] うりもち: radaoHi
[73.024] (S)すふひ: わこらだ
[73.134] みりむ_423: またトイレの話か
[73.134] mspsg0902: radaoHi
[73.156] maromaro332: わこらだー
[73.254] 抹茶3748: radaoHi
[73.257] 悠斗0314: わこらっだ
[73.382] redooosannn: ウォシュレットの話
[73.383] yasawa_96: わこらだ
[73.395] 大宮瑞樹: わこらだ
[73.401] murasaki_chan: radaoHi
[73.625] karasu57: わかる
[73.655] ゆゆま_: ホラゲーきちゃあ
[73.748] kairo_ej: これ前やったやつか
[73.843] (S)seillane: またトイレw
[74.036] oldish_widow6: わこらだ
[74.266] roudayo: radaoHi
[74.434] noa_hakobune: わこらだ
[74.537] (S)フュ: またトイレの話してる…
[74.559] ろしる: わこらだ
[74.657] maron_0408: ん？4日？
[74.689] (S)am4__ne: わこらだー
[74.861] utoi_hito: バックルームだ。この前やったやつと違うやつ？
[75.793] _ヴォク: まーたトイレの話してる
[75.904] まだら25: radaoHi
[75.952] banyakauda: わらこだ
[75.994] (S)matchaloverrrr: rakirio1320 subscribed with Prime. They've subscribed for 7 months, currently on a 4 month streak! 
[76.001] 神崎立夏: わこらだ
[76.020] baberuboburu3939: radaoHi
[76.022] rosemary0920: またトイレ
[76.033] kkkk2525: radaoHi
[76.066] amaroni0614: わこらだー
[76.148] mizuno0624: radaoHi
[76.289] haruru3896: 会話がwww
[76.537] おちゃだよ: radaoHi
[76.553] えりさ_: wwwwwwwwwwww
[76.784] _紺碧_: またトイレ…w
[76.878] roncharo12: radaoHi
[77.321] soralira: ウォシュレットの話かw
[77.540] (S)なゆーた: www
[77.586] (S)oramuchyan: またトイレの話してる
[77.709] tornadopotato0725: radaoHi
[77.728] sunomono8: wwwwwww
[77.793] oreo_oic101: ウォシュレットかいw
[77.973] 心春_: またトイレの話してる
[78.029] piroyaaan: わこらだ
[78.088] ｺﾄﾐｱ: トイレの話w
[78.215] (S)湊ソラ: 開幕トイレ笑うwww
[78.221] kotetsu_yuzu0108: またトイレの話してる...
[78.305] rito1725: radaoHi
[78.428] (S)haondayo: またトイレの話してるの？
[78.467] rtz3343dtm: またといれ…
[78.527] aottu2416: radaoHi
[78.590] muzako658: わこらだ 
[78.657] narumi_1111: トイレのはなしかい
[78.661] re_orange814: トイレすきだな
[78.901] まだら25: わこらだ
[78.911] kyo_kaaa: wwwwww
[78.997] (S)みんてぃぁ: radaoKitya
[79.117] すいぺりあ: またトイレの話してるよ
[79.121] めぐを: 好きね
[79.171] nemu2038: 開始早々トイレの話やめて
[79.232] YodoRa: 胃液が降りてるやつな？？？
[79.389] ぱんてぃす: わこらだ
[79.470] ﾐﾗ: 切れ痔...
[79.656] sakiika0w0: またウォシュレットの話w
[79.661] mushigohan: わこらだ 
[79.674] イトマス: radaoHi
[79.708] (S)AoironoMalco: あ
[79.852] mira_bell5: radaoToire
[80.473] toki047: わこらだ
[80.516] Omochi_Gousei: またトイレの話してる…( ´•ω•` )
[80.596] mattyarate11: わこらだー
[80.721] economic_cube3: わこらだ 
[81.425] alice_scarlet25: わこらだ
[81.503] ゅう_: わこらだー
[81.644] ニコ丸0429: radaoHi
[81.675] めめんと森鴎外: わかる
[81.697] 海月4408: わこらだ
[81.730] うりもち: またトイレえ
[81.776] 神崎立夏: はぇー
[82.075] そふぃ3: 切れ痔！？！？！？
[82.148] (S)hanadango823: www
[82.545] フランケン: また紙の話してる…
[82.693] (S)emazkirin: わこらだ！
[82.699] norara_tw: radaoHi
[82.731] mrsg_panda: wwww
[82.799] 14_1209: わこらだ
[82.817] kaaz019: わこらだー
[82.842] (S)sora_mameee: わこらだー！
[82.881] ﾅﾏﾁｬ: radaoHi
[82.931] roudayo: またトイレかよw
[83.118] kkkk2525: にこ
[83.192] itoido: またトイレの話してるｗ
[83.585] ﾐﾗ: またトイレじゃんWWWWWWWWWWWW
[83.701] (S)よるむちゃん: radaoToire
[83.794] 夢川海月: わこらだー
[83.821] (S)コムギ_: radaoHi
[84.384] yossi_0614: めっちゃわかる
[84.458] riku0572: わこらだー
[84.528] mikkumikuyyy: またトイレ
[84.599] karasu57: 拭きすぎとかも
[84.618] yuasee: またその話かよｗ
