[14.078] 若鶏の唐揚げ: umeCossack
[326.543] chin_56_: 油
[327.444] (S)びっくすまん: ウメちゃん花粉症だったの知らなかった
[331.738] ガスおじ: 油ｗ
[332.381] fbhjkl: LUL
[332.456] tabibitox: 嫌味がすごいな
[333.360] suiyou_bi: w
[333.857] ヨコグシ: ｗ
[333.952] teruharu_: ｗｗ
[334.830] ましゅダヨ: wwww
[335.112] gularain: 油だった？w
[335.638] (S)yukikaze083: ｗ
[335.946] chin_56_: ﾓﾀﾞﾝｸｿ
[337.727] (S)毒見ユッケ: 勝手に燃えた
[343.190] one596: この言い方が油注いでんのよw
[343.607] nail06k: 動画にコメントやべーぐらいついてる
[346.746] ましゅダヨ: (ﾓﾀﾞﾝｸｿ)
[354.632] 新福菜館マン: ウメちゃんハカンか？
[360.015] (S)potesaraudon: そんな皆感心あったんだな
[360.154] Fkdso555: コメント2000超えは凄い
[365.587] おあしすさん: 逆にか
[365.705] ha66yt1me7t7t: この人ランクとかどうなんやろなマジで気になる
[365.814] kaomoji3: いきなりきたね
[366.776] (S)erisuk: 少数が暴れてるだけ
[369.428] 吉田じんぎ: クラシックも236PPPとかで出させろー
[371.266] (S)毒見ユッケ: クラシックもワンボタンてことかね
[371.296] chonpy46: 一意見に油注いだって認識する人たちに問題があるでしょw
[376.206] jagajaga1943: クラシックにいれるってことね
[376.232] tanu_p: 共通クソにするってことか
[386.239] (S)びっくすまん: かなり言葉選んでたと思うけどな
[391.047] teruharu_: 反響あるのは人が多いことでもありますし
[392.625] ガスおじ: あぁ
[393.872] fbhjkl: PogChamp
[395.541] おあしすさん: ほお
[396.389] 吉田じんぎ: マジそれ
[396.526] une3333: この人が怒ってそうってのは分かった
[396.690] (S)inari_tencho: なるほど
[397.528] iguchiill: それね
[397.715] chin_56_: オレが開発
[398.419] kaomoji3: なるほど
[400.196] akiraz3: 王ならね
[403.567] じゃっｶﾙ: 無敵が悪さしてるもんな
[406.876] iranai02: キンバリー...
[410.211] wonderhit1: 無敵昇竜ないキャラさらにきつくなりそう
[413.412] 吉田じんぎ: 当身はも発生5にしろ
[413.929] おあしすさん: まあねぇ
[414.503] (S)erisuk: モダンじゃなくてもＢＯ中に守れるのおかしいしな
[416.138] tmtm84: 全部付けるか全部削除が良いかな
[418.026] ましゅダヨ: ひゅー！
[423.426] ミカロニ: いやー
[424.043] ガスおじ: AKIの貴重な無敵が……ｗ
[425.842] ニャガレ: ちょっと分かる
[431.826] ryuken_future: ryuken_future subscribed at Tier 1. They've subscribed for 16 months! 
[434.139] ビフィダス: 刺激的？
[434.608] tabibitox: またはワンボタンは入力代行（真空なら5f）がいいと思う
[439.271] オワオワタ: キンバリーとかムテキがないキャラには残してあげて
[440.449] カザマツリ: モダンSA3も大概じゃないかな
[441.100] ニャガレ: でも全キャラじゃなくていい気がする
[446.581] aiha84: 格ゲーの全ての梅ちゃんならこうするけど、梅ちゃんより格ゲー歴の浅い運営はどうするん？
[447.227] y_proto: 現状SA1とSA2の格差がかなりキャラ差に響いてる
[448.549] yuken_t: まったく同じ意見 キャラ格差も大きすぎるし
[449.325] tanu_p: うーん
[458.198] (S)毒見ユッケ: 5Fから無敵にしよう
[459.332] ha66yt1me7t7t: クラシックだからありがたいけどモダンの人可哀想
[462.776] ryuken_future: でもワンボタンsaに無敵なくなったらモダン弱すぎる気がする
[464.716] sei_6: たしかに無敵がたくさん打てる
[469.710] 千葉県おっさん: ほうほう
[469.949] fantome_fg: その分詰み状況も増えそう
[471.612] akiraz3: DJの守り弱いのがそこだよなぁ
[471.978] moricocoa: 大味なゲームになりそう
[472.389] degajun: たしかに
[472.641] one596: でもそれOD無敵なくてSA1しかないキャラ死ぬくない？
[473.531] (S)erisuk: スパアマで受け止めるのもまじでありえん
[475.657] the_blow02: カプエスのスパコン1みたいなノリか
[476.610] おあしすさん: うん
[486.947] ガスおじ: SA無敵ありなしを調整してほしいかな
[492.824] moricocoa: その代わりDリバ強くするか
[494.032] 吉田じんぎ: JPにあるのがおかしい
[495.479] ha66yt1me7t7t: モダンの人きたらラッキーってなるねそれだと
[505.591] ミカロニ: ルークもないけどね
[515.676] ましゅダヨ: www
[515.802] chin_56_: ﾁｬﾘｰﾝ
[515.828] おあしすさん: そもそもBOしてはいけないんだよね
[516.734] wonderhit1: 全キャラ昇竜無敵も削除で
[516.872] ヨコグシ: ｗ
[517.954] tabibitox: 嫌味の500円ありがとうｗ
[518.893] maya_g01: ｗｗ
[520.880] gularain: チャリンチャリーン
[521.360] ジャンクばっち: 500円うおおお
[523.817] (S)syouyuireppa: 皮肉効いてます
[530.115] (S)びっくすまん: なんたって500円だもんな
[531.791] chin_56_: 2列
[533.724] ryuken_future: ダイヤグラムみたらただでさえモダン勝率低いのに無敵も消したら壊滅しそう
[535.647] tyapa95: ケンはなんで入れ替えもするんですか
[538.018] une3333: 嫌味には嫌味で返す
[539.405] tmtm84: 草
[540.694] (S)moppu_gake: れれれれんあい！？
[545.940] chin_56_: 破滅
[547.395] おじキッズ兄: ウメちゃんに！？
[547.566] ましゅダヨ: 破滅wwww
[548.745] ジャンクばっち: 恋愛相談キター(・∀・)
[551.590] akaoowasi: モダンで腕を認めてよ系は断罪するけどな
[552.413] ガスおじ: ワイ氏諦めてることだったｗ
[554.591] une3333: 別に破滅はしないんじゃないかなｗ
[557.166] aiha84: 梅ちゃんギャルゲーは専門外じゃなかった？
[562.331] asahigaok: むりだろ
[564.674] rsk1101: ウメさんが結婚？？
[579.649] tanu_p: 聞く相手おかしくない？
[579.772] tabibitox: 上下関係できるとな
[583.606] ビフィダス: うっ（心停止）
[585.143] sei_6: なっが
[586.873] one596: 何で未婚のウメちゃんにそこそこ恋愛相談くるんだろうなw
[586.937] chin_56_: ﾊﾟｼｬﾝ
[592.600] ましゅダヨ: 深刻……
[594.056] tabibitox: ビフィにぃ・・・
[596.522] chonpy46: それで雑に扱ってくる人はちょっと
[597.922] おあしすさん: 前ステ
[604.106] ミカロニ: 一緒にするな
[606.990] tmtm84: 恋愛から人生からうめさん何の人だ？ｗ
[607.283] ましゅダヨ: 雑に扱ってくる人が悪いのよそれ
[611.453] chin_56_: 無念
[616.825] yuken_t: 前ステって結構強行動だと思うけどな
[617.250] teruharu_: ビフィにい生きて
[623.964] ましゅダヨ: 麻雀と一緒にするのはちょっとw
[625.380] (S)マイド: これウメさんに聞く話題か？ｗ
[627.804] maya_g01: ビフィにぃが流れ弾くらってる・・
[629.547] une3333: ウメちゃんは恋愛で前ステしないやつはクソ！理論ですよね確か
[632.602] iguchiill: すーぐ格ゲー用語使う
[632.683] chin_56_: 攻めます
[633.538] 箸くれ: おもろ
[634.966] kimanaka28: ウメちゃんに聞く？
[637.093] moricocoa: キャラ差あるからきつい
[637.791] (S)erisuk: むしろせめるやつのほうがせいこうしてるだろどうかんがえても
[638.437] ましゅダヨ: ええ！？
[645.065] icolionz: 安パイの使い方おかしくない？
[646.293] ましゅダヨ: うんうんなの！？ww
[654.951] ビフィダス: wwww
[661.127] rsk1101: 恋愛だって攻めた方が偉いだろ？
[663.104] sei_6: 要塞になる
[672.135] ナベさん: 恋愛も格ゲーも追いかけてる方が楽しいよ
[674.052] ビフィダス: メモっとこ
[682.619] prototypeie: 引かれて覚えるしかない・・・
[685.936] une3333: ビフィにぃが切実すぎる...w
[686.688] おあしすさん: !
[690.216] hitohiranomaruki: すごい長文w
[694.747] nail06k: 連コするしかねー
[696.313] (S)erisuk: 魅力０がまってても何も生まれない自分で試合動かさんと
[701.914] tmtm84: お前のスペック次第定期
[702.579] 吉田じんぎ: クソゲーじゃん
[702.688] Fkdso555: フロムゲー
[702.711] (S)ぐるえむ: NotLikeThis
[705.539] 箸くれ: 死んできたのか…？
[709.097] ヌララザンギ: アラフォーくらいだと本当に画面端になってくるからなあ。
[712.069] kisegawa_eternity: フロムゲーw
[712.337] たあぼ0126: ただのクソゲー
[716.858] kaomoji3: 運ゲーで死にゲーとかクソゲーじゃんねぇ
[717.819] おあしすさん: つみじゃん…
[718.252] degajun: ww
[718.467] ビフィダス: 運ゲーかつ死にゲー！！
[720.016] akaoowasi: 前ジャンプしていけ！
[720.208] maya_g01: 基本しぬ
[721.324] 憂う者の弟子: しにたくなーい
[721.582] mikosi_354: ツリーガード倒すかぁ
[723.155] ましゅダヨ: 結局好きなら多少強引でも女の子は平気だと思うけどね難しいね
[723.324] ガスおじ: フロムゲーが優しく思えるよ
[724.838] anku0420: クソゲーすぎるw
[727.804] Fkdso555: 石井プロは向いてない
[727.942] aiha84: 恋愛は死にゲーすぎて、飽きてGEOに売ったわ
[730.441] (S)erisuk: １００回しんでから難しいって言え
[731.020] ましゅダヨ: そそそそそそ！！！！！
[735.225] ビフィダス: ふむふむ
[735.941] une3333: 脈ありの段階ではね
[738.092] ましゅダヨ: それそれ
[738.306] ヌララザンギ: 確かにいい
[738.684] teruharu_: 押してだめなら次に行こ
[741.702] 吉田じんぎ: アプデはよ
[745.450] chin_56_: ｳｵｵｵｵｵ
[748.545] rsk1101: 恋愛攻略してんだわ！（イケメンに限る）
[749.290] ビフィダス: 次があるよね
[756.004] une3333: 全く面識とかないところでの前ステは死にゲーか
[776.301] kaomoji3: 当たって砕けろとか言うけど砕けたらいかんよね
[778.879] one596: このゲームクソゲーじゃね？
[782.527] ヌララザンギ: 上手くいかないときは、そもそも出会いの総数が少ない場合が多いですよね。
[791.060] akaoowasi: たしかにやってみないと分からん
[791.826] 箸くれ: そのゲーム売ろっか
[792.408] ビフィダス: いるいる
[793.678] y_proto: 顔と身長とお金があればぶっぱが通りやすくなる
[796.358] (S)びっくすまん: 格ゲーで言えば常に新キャラと対峙するようなもんか
[797.758] たあぼ0126: クソイベ
[798.451] ましゅダヨ: 負けイベ
[800.133] chin_56_: 生理的に無理
[803.359] (S)erisuk: だったらさっさと動いたほうがいい時間の無駄
[806.176] the_blow02: 推しに弱い人いるねーw
[806.731] teruharu_: タイミングもありますねえ
[811.358] kaomoji3: 負けイベは嫌でござる…
[811.612] ビフィダス: 生理的に無理（死）
[816.782] rsk1101: よし！心理学と哲学専攻しよう
[818.812] prototypeie: やっていくとだんだんうまくなってく
[823.914] kimanaka28: でも親はその運ゲークリアしてるんだよな・・・
[826.460] 憂う者の弟子: 金よ 金だあああ
[827.283] une3333: モラルだったり収入だったり
[831.285] tabibitox: 金ッ！
[832.391] ビフィダス: うむうむ
[835.248] ましゅダヨ: 押しに弱い人って人は最初は良くてもいずれダメになる可能性は高い
[838.708] ミカロニ: パラメーター上げる努力嫌です
[844.149] naoto_0805: 恋愛はジャブ撃ちまくるしかない
[844.150] akaoowasi: どんなイベントか？を確かめるためには前ステするしかない
[847.448] sei_6: ランクマしまくるしかない
[852.035] (S)びっくすまん: 恋愛は死にゲーってシャツに書こう
[853.327] kaomoji3: クソゲーでFA
[855.410] ミカロニ: 案件批判
[856.613] chin_56_: 重いの
[856.845] ましゅダヨ: はあい
[857.247] ビフィダス: 轢かれて覚える！
[859.103] おあしすさん: ほお
[860.923] 憂う者の弟子: 重いよー
[861.918] nail06k: ｵﾓｲﾖ
[864.762] une3333: ダブル重す
[864.996] suiyou_bi: うぅ
[865.542] raurakd: 思い方たちw
[866.964] (S)inari_tencho: おまとめ重いの
[867.224] teruharu_: 大変
[867.449] one596: いつも重いんよw
[869.026] chin_56_: 絶 望
[871.605] カザマツリ: 重い話題多いな・・・
[874.874] ジャンクばっち: こええ
[876.604] hitohiranomaruki: 重いよ
[877.954] まるいとうふ: BibleThump
[878.217] fbhjkl: ...
[880.454] nail06k: うお
[882.005] ビフィダス: ぎゃあ
[882.205] as_desu: うぅ
[884.048] mako6912: BibleThump
[884.276] 千葉県おっさん: ヘビーなの来たな
[890.349] harunan808: 重い定期
[893.901] ガスおじ: 統合失調症は完治できないんですよね
[894.831] ましゅダヨ: うん……難しいなあそういう問題は……
[894.956] chin_56_: 無敵一歩手前
[898.751] おあしすさん: BibleThump
[901.193] shinobuchan4649: 重い
[906.842] ジャンクばっち: こっちも気持ち持ってかれるな
[909.458] ビフィダス: 統合失調はお辛い
[917.418] teruharu_: つらいですね
[920.158] (S)erisuk: 自覚あるのに動かないのか
[936.129] une3333: どちらにも共通した答えを与えられるってことか
[939.615] ryuken_future: 死んだらニュートラルになるからつらい状況だと死は救済に見えるよね
[939.836] ましゅダヨ: 動けなくなっちゃうよね……
[942.199] rsk1101: 他人なんかどうでもいいからしたい事出来ればいいが…
[944.101] akichi018: 動けないのは分かる
[947.676] nail06k: うーーむ
[953.594] chin_56_: もう死んじゃうかあ
[954.004] ジャンクばっち: 分かってても動けないのよね
[960.433] lucentsnow: お辛いなら障害者年金とか生活保護とか日本にはあります
[960.701] おあしすさん: やばい・・・
[962.008] ビフィダス: 鬱も辛いなあ
[964.993] ガスおじ: 俺も鬱病だから分かるわ……
[965.921] inuneko201: 文章しっかりしてるし本来はまともな人達だな
[967.094] naoto_0805: 生きてて偉い
[969.321] akaoowasi: 鬱ってちゃんとした病状だからな
[977.955] おあしすさん: まずは治療かも？
[979.255] cafu556: omo
[979.880] kaomoji3: 人生も運ゲー
[982.102] ryuken_future: 将来の自分見てるようで不安になる・・・
[984.877] (S)erisuk: たった３年なら生活保護あるしいいんでね
[988.337] (S)triskeal: 動いても結果が得られないってわかっちゃうと足が動かねぇんだよな…
[989.740] kisegawa_eternity: 世の中も冷たいからな……
[991.221] ビフィダス: 文章みんなかなりしっかりしてるよね、確かに
[998.160] (S)shog1994: 鬱も統合失調も病気なんだから休んでいい
[999.613] ましゅダヨ: 生きているだけで生きる意味がある。
[1003.915] ガスおじ: そうだね
[1012.254] perfecttakahashi: なるほど
[1013.491] chin_56_: 俺は健康
[1014.832] ましゅダヨ: うん……。
[1015.614] ビフィダス: うむ
[1016.231] tsubucoro: BibleThump
[1016.428] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[1019.074] (S)inari_tencho: 統合失調症はまず医師の治療うけんとなんともなあ
[1025.806] ましゅダヨ: そうやなぁ、むずかしいね。
[1026.895] おあしすさん: うかつなこと言えないよね
[1034.612] ましゅダヨ: いい先生に出会うことも難しいのよ
[1036.751] ビフィダス: たしかに 迂闊に言えない
[1036.946] silacamision: daigosan contends key of G; key of d; key of
[1044.100] ヌララザンギ: 常にみんなこうなる可能性もあるから、他人事ではないね。メンタルやられている人は多い…病院に行ってなくても。
[1044.236] ガスおじ: 寛解って状態に持っていくしかないのよね統合失調症
[1045.436] miruujyu: いつから、こんな深刻な相談されるようになったのｗ
[1049.283] chin_56_: 末期
[1050.757] cafu556: 散歩や
[1051.082] くおお: 優しい
[1052.624] raurakd: 切実
[1053.425] yuzitadao: 鬱ほんとに辛いよ
[1054.902] ましゅダヨ: そうかあ……つらいんだよね
[1061.428] perfecttakahashi: 切実だな…
[1062.211] おあしすさん: これはかなり難しい判断
[1064.572] tanu_p: ここにいろ
[1064.866] のまい: mondoの料金設定って分量に比例する？
[1065.262] (S)びっくすまん: カウンセラーじゃない限りあまり踏み込んでもね
[1068.879] 憂う者の弟子: セロトニンをどうにかするのだ セロトニンを
[1070.038] chin_56_: 限界集落
[1071.108] silacamision: =/ 0ff @Admiralbulldo
[1073.115] kaomoji3: 送ってきてるだけ動いてる方だけどね
[1074.166] miruujyu: やさしい
[1080.169] まるいとうふ: 優しいのぅ
[1081.058] une3333: ダメージになるかもしれないし
[1081.304] monpiipop: すごいな
[1081.783] ましゅダヨ: 優しい
[1082.930] (S)mrhams1: konichiwa Diego Jamie 
[1084.255] ヌララザンギ: メチャクチャ優しい
[1085.831] ガスおじ: 読んでもらえただけで嬉しいと思うよ
[1086.856] nail06k: 受け止めすぎてもキツイかもしれん
[1087.661] のぶスケ: 俺も似たようなもんだよ。興味・意欲・喜びの消失
[1088.671] the_blow02: まじで優しい
[1092.923] tmtm84: そこまで考えて・・・
[1093.750] kisegawa_eternity: 吐き出すだけでも少しは楽になると良いね
[1094.232] (S)erisuk: 病院行ってダメだから憧れてる人になんか声かけてほしいのかね
[1105.411] rsk1101: この問題のむずいのはおそらく答えが自分の中にしかない事だと思う
[1108.103] sindou_ume: 第三者が絡まないと（心療内科・就職へ繋がるカウンセリング出来る場所）何処にでもあるよ
[1115.674] akaoowasi: あくまで素人意見ですのでって前提でね
[1122.381] teruharu_: 好きな人に認識してもらえてるって嬉しいし元気出ます
[1134.314] lucentsnow: いい先生にあうのも大変なんよね
[1134.386] (S)inari_tencho: 例のブラック
[1139.976] nail06k: ぬお
[1143.876] おあしすさん: 危ない
[1145.413] silacamision: 0.o
[1145.432] chin_56_: ｶﾞｼｬｱｱｱｱﾝ
[1151.267] ましゅダヨ: その不意な気持ちは怖いのよな
[1153.253] よもぎです: 転生しちゃううう
[1154.562] (S)erisuk: 今背中押されても全然イヤじゃないなって
[1156.499] tsubucoro: FrankerZ
[1158.061] (S)inari_tencho: 疲労の積み重ねもあるしなあ
[1158.576] くおお: ホームドアが無い時代
[1159.500] ガスおじ: 鬱病とうつ状態は違うからうつ状態だったんだろうね
[1160.050] (S)びっくすまん: 鬱の人が言うやつやな
[1160.580] (S)mrhams1: tchill all Shibuya 
[1160.826] raurakd: 追い詰められたら誰でもそうなるよ
[1162.097] fbhjkl: BibleThump
[1162.573] れい0127: あったなー
[1166.706] chin_56_: シニハラ
[1168.615] noodles2223: 一か所だめでもセカンドオピニオン、サードオピニオンで自分が楽になる先生やカウンセラーに出会ってほしい
[1176.082] (S)erisuk: 仕事やめりゃ良いだけなのにな
[1185.046] 箸くれ: 生きる喜びを生きる大変さが上回ってるとそうなっていくよねえ
[1187.433] mm2351: 余裕無いときって視野が極端に狭くなるよなぁ…
[1188.994] yuzitadao: 理不尽に感じて嫌になるよね
[1190.731] degajun: 復帰勢に厳しい社会
[1190.771] (S)potata_725: 色々なタイミングがカチッと合うとポンといっちゃう
[1192.033] nail06k: 疎外感
[1193.760] Livan_Lilivan: それは分かる
[1194.385] ましゅダヨ: ほんとにそれ思う…
[1195.542] chin_56_: 鬱は甘え
[1196.483] (S)nakamura3278: そうだね
[1197.092] くおお: うんうんうんうん
[1197.343] water200water: わかる
[1199.566] mako6912: 分かる
[1200.396] akaoowasi: マジでそれ
[1200.489] naoto_0805: 分かるｗｗ
[1207.064] cafu556: 社会は意外といい加減よ
[1209.153] おあしすさん: うん・・・
[1213.255] une3333: 心療の病院や先生でも合う合わないあるから、そこは諦めずに探してみてほしい。
[1220.548] ガスおじ: 社会から遠のくのもキツイんだよ。何者でもないってつらいぞ？
[1221.434] donpepper_0728: インターネットでそれが加速した
[1224.188] (S)shog1994: ペースがついていけないわかるなぁ
[1224.284] (S)mrhams1: my next level is jurie challenge 
[1225.978] shinobuchan4649: 理解者がいればなー
[1227.781] ましゅダヨ: うん！それ！！！！！
[1233.509] (S)potata_725: 社会が目まぐるしいよね
[1234.785] ましゅダヨ: うわーん
[1236.795] sonic_chop: 時代の流れが速いんだぁ
[1238.126] the_blow02: 意外といい加減はわかる
[1244.181] ヌララザンギ: 生きてる喜びって、冷静にならないと
[1247.189] (S)mrhams1: membre change 
[1248.965] ましゅダヨ: そう、家が出れないんじゃお金無くて
[1249.194] ヌララザンギ: わからないもんね
[1252.511] rsk1101: 社会を全肯定する風潮あるよねー そんなに素晴らしいか？てなるよ
[1255.561] ましゅダヨ: わかる
[1255.694] tsubucoro: :(
[1256.309] shinobuchan4649: せやな・・
[1259.426] takeru_00kami: ネットない時代はもっと閉鎖的
[1263.254] (S)mrhams1: good luck 🍀
[1263.290] chin_56_: 飛ぶか
[1276.584] ましゅダヨ: うん。
[1295.985] (S)inari_tencho: うつ病の重い軽いは持ち前の耐性次第だからなあ
[1301.360] une3333: 本質までは理解はしてくれないかもしれないけど、家族は本当に味方になってくれるよ、この人の家庭を知らないから無責任なことは言えないけど。
[1304.240] (S)erisuk: てか共通して人と関わるのが苦手なんだろうから無理に会社なんかせずネットで金稼げばいい
[1313.114] (S)gyumao: 俺これプラス前科あるから今度質問してみようかな
[1313.541] 憂う者の弟子: じゃんぼーい！
[1319.433] yuzitadao: うつに耐性ある人なんかいないよ
[1327.240] tsubucoro: BibleThump
[1333.913] よもぎです: すごいな
[1335.831] chin_56_: J( 'ｰ`)しあっこの子は…
[1337.712] ましゅダヨ: うん、
[1338.816] ヌララザンギ: 生きるのはしんどいよね。向いてないと特に。
[1347.105] kaomoji3: 責めてもねぇ
[1351.746] ガスおじ: 病気でも人と関わったほうが症状良くなるんよ不思議なことに。
[1353.695] 箸くれ: そういう経験があるからウメちゃん優しいんだろうなぁ
[1357.306] メタルぱんだ: ｗ
[1362.736] perfecttakahashi: たしかにな
[1364.243] keromaru11234: うつ病はメンタル強い人でもなるよ。脳神経の病気に近いから
[1364.980] (S)shog1994: 当時だと優しいところは稀だよね。氷河期なんてとくに
[1367.229] (S)mrhams1: what you project for kof XV and Garou: Mark of the Wolves
[1372.443] chin_56_: つかえねえなあ〜
[1373.307] ディコトミー: 自然な自分でついて行けないのは段々と辛さが増すのはわかる
[1386.599] (S)mrhams1: no time for me
[1391.059] (S)potata_725: 競走や締切はきつい
[1393.498] ましゅダヨ: いい場所だね
[1396.284] (S)mrhams1: just Sf6
[1397.810] tsubucoro: w
[1398.235] degajun: www
[1399.348] chin_56_: オムツ
[1399.987] 箸くれ: ｗｗｗｗｗｗｗｗ
[1400.465] prototypeie: こく
[1401.317] kisegawa_eternity: 向き不向きはあるよね
[1401.685] sindou_ume: 診断が下ってれば障害者手帳取るのもアリよB型就労支援やA型就労支援に繋がるし一般就労の足掛けになる
[1402.016] 憂う者の弟子: おむつ名人
[1404.151] くおお: www
[1404.801] (S)軽く捻るか: ｗｗｗ
[1408.736] akaoowasi: 自分も長い時間かかって良い職場をみつけたから探し回れば出会えるわな
[1410.831] (S)mrhams1: focus sempaï
[1438.371] ましゅダヨ: うん
[1439.311] degajun: 介護って感謝されるお仕事だし、自己肯定感高まるからええんかもなぁ
[1442.262] ガスおじ: そうだね
[1444.659] (S)nakamura3278: BibleThump
[1445.754] (S)potata_725: BibleThump
[1445.953] ましゅダヨ: わかるよ…
[1447.135] noodles2223: そやね
[1448.232] (S)ぐるえむ: BibleThump
[1449.261] ねこざけ: ウメちゃん介護の経験って大きいよなぁ。なんか人の一生の終着点を知れるのが色んな感性に繋がったと思う。
[1449.733] mako6912: BibleThump
[1450.217] chin_56_: だめぇ〜
[1450.536] teruharu_: うん
[1456.503] tsubucoro: FailFish
[1461.661] ましゅダヨ: 鬱になって休むようになってから、それをすごく感じてる
[1472.930] (S)mrhams1: Diego Maradona for Italian Itazani
[1485.241] ましゅダヨ: 許して欲しいって、思ってる。
[1487.649] rsk1101: 結局、出来ないことを出来るようになるかは運ゲーなんだよなー なら出来ることとしたいことをするしかないんよ
[1492.823] のまい: なんでこんな響く言葉紡ぎだせるんだ
[1497.320] kaomoji3: 気力ね
[1503.707] メタルぱんだ: BibleThump
[1507.732] おあしすさん: おー
[1514.236] くおお: ほうほう
[1514.988] ビフィダス: 心のエネルギー
[1515.685] chin_56_: 人にやさしく
[1516.913] (S)びっくすまん: めっちゃ良いこと言う
[1518.027] 憂う者の弟子: ケアル～
[1518.996] ねこざけ: 人にエネルギーを与えることで自分も回復する？
[1519.913] (S)でかちゃん: すごい
[1521.295] blackcoffee0821: 鏡
[1521.570] おあしすさん: これはすごい
[1522.723] kimi_3_: めちゃくちゃ良いこと言うね
[1524.071] (S)mrhams1: daigo vs Itazani 
[1528.924] ビフィダス: 人に優しく「する」！
[1534.688] (S)毒見ユッケ: ウメちゃん一生付いていきます
[1536.524] ましゅダヨ: えっら
[1537.488] harunan808: ほう
[1539.249] curemikan: これはためになるなぁ
[1543.192] ねこざけ: これはすーごい良いこと言ってる
[1544.048] ryuken_future: 情けは人の為ならず
[1546.173] ディコトミー: 自分の貢献が認められる場所があると元気出るよな
[1547.849] kakitama5: 自分の存在に意義がある感じがする
[1549.182] akaoowasi: その経験ってなかなか味わえないよな
[1551.029] maya_g01: おお
[1552.292] (S)mrhams1: trash talk
[1554.061] ビフィダス: 介護か！
[1565.719] ねこざけ: 情けは人の為ならず、だねホント
[1567.543] ko_gane: ありがとう
[1568.933] raurakd: いいと思う
[1569.939] kaomoji3: 人は人の中でしか生きていかれないのよなぁ
[1571.997] nail06k: ボランティアとかけ
[1581.846] (S)erisuk: ボランティアからはじめるといいのかもな
[1584.137] yuzitadao: ほんとにそう
[1584.700] おあしすさん: そういうコミュニティーもあるしそこに行くのもありかもね
[1587.216] kumamaku100: 確かに。NPO法人とかボランティアとかリハビリにあるよね
[1587.411] (S)mrhams1: friend no clash
[1589.295] curemikan: 感動しました
[1597.052] ガスおじ: デイケアってところがあるから行ってみるのもオススメだよ
[1597.914] いぬみみ: マジわかるしウメちゃんは気付きがすごいな・・
[1601.742] une3333: この人にさらに頑張れって言うのは酷かもしれないけど、自分の症状をよくするための機会は探してみてもいいかもしれない、良いお医者さんを見つけるとか、カウンセラーを頼ってみるとか、あとは仲間を見つけてみるとか。
[1606.674] (S)びっくすまん: 優しさに感謝してくれる人も大事だね
[1608.754] ねこざけ: これだからウメちゃん好きなんよね(´・ω・)
