[13.787] (S)RFKage: umeCossack
[463.817] sn0wf0x3: ハリウッド！
[464.698] pondenring0930: ハリウッド進出かー
[464.881] justinanasisan: 埼玉あたり？
[466.099] njpw2017: プロが来るならえいたも来るよな
[467.027] 5don: さすミー
[472.156] kebiisi: ハリウッド州
[473.535] 原子力塩太郎: ウメハリ
[474.858] kanatazx: 治安そんなによくないから気を付けてください
[476.057] justinanasisan: インド
[476.130] latenight000: ハリウッドの治安はいかほどで？
[476.799] もきち555: カリフォルニア？
[477.689] (S)ましゅダヨ: 世界のたけしさすが
[478.695] (S)~MISSING_COMMENTER_INFO~: 散歩でハリウッド
[481.720] v_harumi_v: 今日もDさんは金髪
[486.909] 原子力塩太郎: 石井プロパガンダさん！
[489.727] zyangara2: たった今GOちゃんえいたのマダミスを仕切ってたプロ
[489.900] (S)ましゅダヨ: ww
[491.393] v_harumi_v: ポン酢！
[495.521] (S)~MISSING_COMMENTER_INFO~: 味ぽんうまいよね
[495.565] gettyozi: プロおつかれー
[495.569] (S)イエール: ポン酢プロ
[496.080] goozy009: でぃーは闇話題は金髪マストなんだね
[497.024] 5don: ポン酢w
[497.761] tabibitox: ポン酢プロ
[499.757] 原子力塩太郎: アケコンとポン酢
[501.089] bikibiki999: 変な活動家が来なければ良いが
[501.124] (S)~MISSING_COMMENTER_INFO~: 味ぽんなにでも合う
[501.674] justinanasisan: 飲むの？
[504.088] lucentsnow: ホントの部屋
[506.232] v_harumi_v: 間違えて飲まないようにｗ
[506.731] pondenring0930: ミツカンお待ちしております
[508.214] balthazar000: 例の山肌の看板撮影お願いします
[509.436] (S)ましゅダヨ: アケコンにポン酢をっていう恐怖がある
[510.321] dcdryuya404: 飲むか？ポン酢
[523.297] gomesu: Dは今日も飲酒してるのかな？？？
[536.560] (S)ましゅダヨ: 終わったんだ？？
[537.688] 原子力塩太郎: 昔、クソルが海外大会で醤油のボトルにコーラ入れてがぶ飲みしてたの思い出した
[537.798] v_harumi_v: お水なのかお酒なのか
[540.218] maddy2623: あとKSKも来るなら半分くらいおじリーガー
[541.697] (S)イエール: Dは赤くないから飲んでない説
[546.770] goozy009: Dが飲んでいるのは透明のポン酢
[551.589] (S)~MISSING_COMMENTER_INFO~: ｗｗ
[553.349] (S)monpiipop: wwww
[554.188] 闘劇のアルベルト: 売ってw
[556.872] (S)ましゅダヨ: 💰
[556.953] sn0wf0x3: wwww
[557.155] fbhjkl: WutFace
[558.126] zyangara2: 言い値で買う
[558.614] evimayo88: 闇取引
[562.901] balthazar000: 都戻りの資金に
[564.551] brutal9998: こいつらw
[564.652] gettyozi: 話題ないのに開催したわけ？！
[565.543] nengu4u: いいのもってそうｗ
[568.870] fuan4444: 買っても良いけど相手は選べ
[570.236] kaomoji3: 話題売買始まったぞ！
[570.504] (S)ましゅダヨ: 情報と話題は違うもんなあ
[573.435] goozy009: 500G
[574.839] (S)sharks_up: それを話題にするか
[581.226] balthazar000: 話題を披露する場所に寄るんじゃないかね
[582.343] (S)イエール: 微妙な値段だなぁw
[586.540] (S)ましゅダヨ: だよねえ！？
[586.746] (S)ponponguripon: 闇話題売買
[590.406] (S)monpiipop: 3万で！
[592.537] sistersguitarreplica: タレコミは高そうw
[594.094] latenight000: 質もあるし、その人がどれだけ緊急性があるかもよる
[596.523] njpw2017: アンジャッシュのスキャンダルは１０万程度だったらしい
[598.611] justinanasisan: 文の春ってこと？
[598.704] (S)demonbane_twosword: 講演会レベルだともっと高そう
[598.721] (S)sharks_up: 話題の価値とは
[602.367] (S)~MISSING_COMMENTER_INFO~: 買います！
[604.470] (S)イエール: 唐突なww
[605.680] だいこん_: umeWhat
[606.232] justinanasisan: 探り合い
[607.799] (S)~MISSING_COMMENTER_INFO~: 購入！
[610.030] latenight000: 売りに出してるw
[611.047] kaomoji3: バリカタ！？
[611.576] tabibitox: 売りにきてるｗ
[617.516] gularain: たかくね？
[619.350] v_harumi_v: ちょっと高い
[619.806] (S)イエール: 20円だろw
[620.998] sewerrat92: 二だいご
[621.795] (S)ましゅダヨ: 替え玉1回分
[623.381] バーニングチャーハン: 闇がなさそうな話題ｗ
[625.990] sn0wf0x3: www
[626.006] 闘劇のアルベルト: うどんかな
[627.191] lucentsnow: リアルな数字
[632.238] (S)monpiipop: ww
[638.875] (S)イエール: 総師にい
[644.610] (S)ましゅダヨ: 2回行ける？替え玉
[645.632] lucentsnow: 石油王にたけぇないわせたら大したもんよ
[645.867] (S)~MISSING_COMMENTER_INFO~: おじはんとの人
[653.380] adachikufgc: 渡部のネタでも10万らしい
[656.000] (S)~MISSING_COMMENTER_INFO~: ゲーミングっぽい色
[656.100] (S)ましゅダヨ: あーゲーミングしてんなあw
[657.196] クラクラ777: げきあつ
[659.945] evimayo88: ゲーミング部屋
[660.038] (S)monpiipop: ゲーミングww
[661.249] (S)~MISSING_COMMENTER_INFO~: ゲーミング部屋
[661.348] justinanasisan: ゲーミング部屋
[662.631] (S)イエール: 伊織もえかよw
[662.724] chin_56_: レインボーKSK
[663.216] maddy2623: 意図は何なの？
[663.867] v_harumi_v: 意図は何？ｗ
[664.680] sn0wf0x3: ゲーミング部屋
[666.820] pondenring0930: ゲーミング
[667.454] (S)ましゅダヨ: 憧れちゃったww
[668.356] njpw2017: 本当に意図は何なの？
[668.423] justinanasisan: ユノシーw
[668.627] (S)ponponguripon: っぽい
[672.352] (S)ましゅダヨ: それ！ww
[673.125] gettyozi: 確かになｗｗｗ
[675.306] zyangara2: ケーシー
[675.866] 000105: ハンサムプレハブよ
[676.097] (S)rm_rf__: ユノシー憧れw
[676.981] v_harumi_v: あっ
[677.881] (S)オーカミマン: パイオニアやぞ！
[678.514] tama_zx61: 格ゲーyunocy
[679.475] justinanasisan: 厳しい
[679.482] lucentsnow: パイオニア
[680.127] jb64gg: ゲーミングじじい
[683.334] 5don: ww
[684.975] v_harumi_v: どういうこと？ｗ
[687.874] 5don: お。
[690.717] 闘劇のアルベルト: おおー
[691.332] justinanasisan: 今ので
[692.034] sn0wf0x3: おお
[693.352] (S)monpiipop: まじでw
[693.849] (S)ましゅダヨ: 色んな配信者と絡み出したからだなこれ
[694.434] maddy2623: お手軽だよ今井くん
[695.832] (S)sharks_up: 今の？ｗ
[697.283] iguchiill: 謎に感謝される
[697.311] fbhjkl: PogChamp
[706.215] adachikufgc: ksk配信してない？
[711.903] (S)~MISSING_COMMENTER_INFO~: えいたくんｍ
[714.599] gomesu: このメンツ落ち着くなあ
[714.700] justinanasisan: 3分長い
[715.197] ekakinoken: 総師範
[719.315] (S)イエール: KSKはダムじゃない？
[721.524] (S)ましゅダヨ: 3分ならね？
[725.604] gorogorogorn: ムスカでも待つよ
[731.814] tabibitox: 6時間までおｋな業界よ
[739.399] erisuk: 平気で３時間待たせるれんちゅうだからな
[740.940] (S)monpiipop: 待ってたよ
[753.573] gettyozi: もっと前のイメージだな
[758.211] njpw2017: 日曜じゃない？
[760.135] (S)~MISSING_COMMENTER_INFO~: 渡米前に一発やらないと
[760.988] flashbacks18: 好きな人は好きな不人気企画
[761.445] sistersguitarreplica: 日曜か月曜
[764.660] (S)ましゅダヨ: 定期的にね？
[766.805] v_harumi_v: 日曜の夜のイメージ
[770.009] (S)ましゅダヨ: なんて？？？
[770.236] chin_56_: 一発キメとくか
[771.831] 闘劇のアルベルト: 訓練だからね
[773.955] 箸くれ: 巣食う
[774.859] latenight000: 蠢くファン
[775.141] mame5rou: だいすき
[775.390] (S)イエール: 深部に巣食うファンですw
[775.445] (S)noriyuki3: めっちゃ楽しみにしてる
[775.954] 無心に: 好きです
[777.862] fuan4444: いや闇話題だけはやれ
[778.548] dcdryuya404: 闇の住人
[779.203] goozy009: ファンが多い
[780.736] (S)sharks_up: ｳｺﾞｳｺﾞ・・・
[780.882] (S)~MISSING_COMMENTER_INFO~: 深海ね
[781.635] (S)とも8はる: ありがとうございます
[782.978] (S)ましゅダヨ: すげぇ、しんぷるに、え
[784.031] fbhjkl: 楽しみ
[784.191] maddy2623: 闇話題はクセになる
[785.267] gomesu: gomesu is gifting 5 Tier 1 Subs to DaigoTheBeasTV's community! They've gifted a total of 873 in the channel! 
[785.640] gomesu: gomesu gifted a Tier 1 sub to ruizz1124! 
[785.644] gomesu: gomesu gifted a Tier 1 sub to reizii99! 
[785.647] gomesu: gomesu gifted a Tier 1 sub to ぽっかれもんぅ! 
[785.652] gomesu: gomesu gifted a Tier 1 sub to nfsb3ui! 
[785.715] gomesu: gomesu gifted a Tier 1 sub to gekikaralove! 
[787.969] neojapan01010: 奈落にいる
[789.816] (S)イエール: ごめにい
[789.882] ryuken_future: 我々闇の住民には好評なのです
[790.096] gorogorogorn: Dが大好物です
[790.954] kobi3070: 蠢き勢
[791.084] (M)(S)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[791.527] yaminoiiii: うごめいてます
[791.535] (S)ましゅダヨ: ごーめにいいいいい
[791.673] latenight000: いっっっさい光が届かない場所
[793.092] (S)poriporikaku: ありがてえありがてえ
[795.276] (S)rm_rf__: ハイコンテクストだもんなこの企画
[795.646] sistersguitarreplica: 深海文字
[796.910] ebiebi12: 深部だった
[797.301] (S)monpiipop: ごめにぃぃ！
[798.235] hairi0610: あんま上にあげないでね破裂するから
[800.838] sn0wf0x3: ごめにぃ
[804.137] erisuk: 闇の闇にしか居ないバケモノ達
[806.340] 原子力塩太郎: 会員制サロン
[809.279] fujimike: 会員制なのか
[809.851] (S)ましゅダヨ: 深層何層くらい？
[811.272] (S)ponponguripon: 会員制
[811.382] (M)(S)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[816.963] latenight000: 前ステしてこい
[818.343] (S)monpiipop: wwwww
[818.893] maddy2623: しょうへいすまんな
[821.588] neojapan01010: 新規増やしたらKSK呼ばれなくなっちゃうかもだぞ
[823.717] 原子力塩太郎: 会員制闇サロン
[826.144] だいこん_: 会員かつ前ステ
[828.364] (S)おしるこ11: サロメの前ステ待ち
[829.202] gettyozi: 誰も前ステせんのか
[829.295] erisuk: むしろ新メンバーもとむレベル
[833.513] nihonsyu_: サロメさん見たいわｗ
[836.306] gokukeshi: 坂本さんとか呼んだらどんな感じか興味はある
[838.511] adachikufgc: ミルダムにkskの声のってない
[841.301] tama_zx61: 前ステした先が”これ”
[842.845] よるねこ族: 闇である
[844.849] (S)sharks_up: 人気なしｗ
[845.206] tetete06: 誘われずにくるやつおる？
[847.512] lucentsnow: レオくんとか入れてみる？
[848.649] (S)ましゅダヨ: 深く考えすぎちゃうんだろうなあ
[859.104] (S)noriyuki3: えいたは子と一緒に寝たかもしれんな
[862.340] maddy2623: ん～ランダム！
[863.610] njpw2017: ゴンちゃんはチャンスあればすぐにきそう
[869.241] fujimike: えいたはいま反省会してうｒ
[870.144] (S)イエール: そりゃ子どもだろw
[873.417] 闘劇のアルベルト: 赤子はしゃーない
[876.614] v_harumi_v: 子育てで一番忙しい時期よね
[877.129] njpw2017: 子供もだし弟子もいるしな
[878.300] (S)ましゅダヨ: 多分子供だよ普通に
[882.305] goozy009: レオくん入れたら昼話題になる
[883.780] 原子力塩太郎: マダミスの反省会じゃね
[884.034] (S)ましゅダヨ: マダミス？
[885.505] sistersguitarreplica: ガキ
[887.022] chin_56_: 偽えいた
[889.657] gomesu: ガチ勢きたあｗ
[896.237] (S)monpiipop: カクついてるなw
[899.177] 原子力塩太郎: 偽えいたは草
[903.701] lucentsnow: 自由枠
[921.616] (S)おしるこ11: Dだけ画質めちゃいいの面白い
[933.817] sistersguitarreplica: Dの画質わろた
[940.955] (S)ましゅダヨ: Dだけ情熱大陸みたいな画質なんよなw
[946.266] gomesu: Dはこの画質で白目むくから面白い
[950.328] 原子力塩太郎: D明らかに一眼カメラキメてるでしょ
[957.820] tabibitox: dangodaigo
[959.979] v_harumi_v: ｗ
[960.144] (S)イエール: ダブルD
[961.354] (S)monpiipop: 自分で空目w
[962.306] sn0wf0x3: wwww
[968.838] chin_56_: 肉
[972.369] tabibitox: 初手たけし
[974.222] (S)イエール: 肉四弦
[981.788] koaraa: 唯一神 だんご
[986.007] goozy009: これにD足さん入ったら混乱しそう
[990.200] rias9121: あ
[992.405] (S)monpiipop: おやっ
[992.633] (S)~MISSING_COMMENTER_INFO~: 闇だねえ
[993.039] sh1zuku716: あ
[997.195] latenight000: 泳がせた、経験
[997.677] tabibitox: もうおもろそう
[997.975] goozy009: 最近のあいつ？
[999.612] (S)demonbane_twosword: 暗黒面
[999.934] (S)sharks_up: こわ
[1003.591] (S)ましゅダヨ: 突然の闇だわー
[1006.652] raurakd: いきなり凄いなw
[1007.962] 闘劇のアルベルト: あるでしょ
[1008.298] chin_56_: 🏊‍♀️
[1012.009] fuan4444: これは良い用意した話題
[1015.807] njpw2017: 現在進行系でノーブルを泳がせてるミートさん
[1020.833] (S)ましゅダヨ: さいきんおしゃんなポストしてますよねぇ、
[1036.408] (S)ましゅダヨ: うんうん
[1037.356] lucentsnow: コーヒーに執着する男
[1037.930] (S)rm_rf__: ふむふむ
[1042.387] (S)ましゅダヨ: いるねぇ
[1054.964] たむらまさかず: うんこ？
[1058.426] neojapan01010: へー
[1060.886] goozy009: マンデリンうまいじゃん
[1061.439] 箸くれ: だと思ったｗｗｗ
[1065.711] (S)ましゅダヨ: マンデリンは苦いっすね……
[1075.239] sistersguitarreplica: ほーん
[1078.767] jigokunonekomatu: バンテリン
[1084.118] fuan4444: でも苦すぎるなら不味いでしょ
[1086.315] erisuk: ぶり
[1088.128] (S)ましゅダヨ: そういう人いるよねwwwwww
[1093.272] 闘劇のアルベルト: ほう
[1102.008] chachachakoma: マンデリンしばらくのんでないなぁ
[1108.518] erisuk: コーヒーなんて原産地からしたらただの泥水だよ？
[1109.642] (S)gekikaralove: @gomesuさん、サブスクギフトをありがとう！
[1111.558] goozy009: ブラジルのコーヒーのほうが苦いよ💦ガチで練乳入れないと飲めないの出てくる
[1122.708] chin_56_: ウキウキ
[1122.855] neojapan01010: ミートさん話うまいねえ
[1124.100] gokukeshi: ウキ？
[1131.259] らすたねこ: 折笠さんその話題オチに関係してたらどう責任取るつもりなんや…
[1133.841] raurakd: へー
[1136.257] 闘劇のアルベルト: へー
[1140.838] adachikufgc: ウキウキウォッチング
[1141.063] れい0127: へー
[1146.639] (S)ましゅダヨ: 渋味苦味か
[1152.655] (S)~MISSING_COMMENTER_INFO~: 発行前はどんな味
[1156.711] バーニングチャーハン: 泳がせるものはものでもいいのかwww
[1158.566] gokukeshi: あるかもね
[1159.756] くまリンカ: ｗｗｗｗ
[1160.657] (S)demonbane_twosword: 緑茶運んだら紅茶になったみたいな
[1161.178] クラクラ777: やらしいねぇｗ
[1161.869] neojapan01010: ｗｗｗ
[1161.904] (S)ましゅダヨ: ｲﾔｱｱｱｱｱ
[1163.611] chachachakoma: 鮮度がもう終わってるんだよねぇ
[1164.773] sistersguitarreplica: いいでしょw
[1165.232] (S)コスタスマノラス: umeCat
[1166.203] 新ころりん: 愉悦かな？ｗ
[1166.780] latenight000: とんでもない泳がせw
[1169.837] (S)ponponguripon: ありがたがっちゃって〜
[1181.396] erisuk: でも珍味ってそういうもんじゃねぇか？たいしてうまくもないに高いのあるやん
[1184.683] isekai7153: わっるいなあｗ
[1188.618] chin_56_: ﾌｯ
[1188.692] (S)noriyuki3: www
[1189.052] chachachakoma: ふう
[1190.370] latenight000: フフッ
[1190.523] fuan4444: 言うて失敗から出来た料理とかも有るしな
[1191.231] chachachakoma: ふふ
[1191.362] sh1zuku716: それ言ったらワインもそんなじゃね？
[1191.837] tabibitox: こいつｗｗｗｗ
[1195.344] (S)ましゅダヨ: しんどいしんどいしんどいしんどいし
[1195.603] SleepShiva: 味が好きなんだから過程は関係なくない？
[1198.394] isekai7153: なにそれｗｗ
[1198.421] raurakd: 鼻で笑う感じだ
[1199.386] クラクラ777: ほう
[1199.950] aranami0: ｗｗｗ
[1201.097] gokukeshi: なんでｗ
[1204.573] sn0wf0x3: www
[1205.172] だいこん_: 飛んだなあｗ
[1205.252] rias9121: DMチェック
[1209.663] pyamaaaa: なにそれwww
[1209.977] v_harumi_v: どうしてよ？ｗ
[1213.945] (S)ましゅダヨ: なんじゃそりゃw
[1214.053] chin_56_: 君はスケベだろう
[1216.545] 箸くれ: ｗｗｗｗｗｗ
[1216.919] pondenring0930: すけべチェック
[1219.321] isekai7153: そうなのｗ？
[1220.321] (S)demonbane_twosword: どういうｗｗｗ
[1222.902] goozy009: ミート自爆
[1223.232] 箸くれ: そんなことある？
[1223.307] fbhjkl: WutFace
[1228.693] erisuk: そんな奴といっしょにしないでくれ・・・
[1229.416] 闘劇のアルベルト: 泳ぐねえ
[1260.326] (S)ましゅダヨ: わかるわかる、あると思うんだよなあ結構
[1261.575] (S)sharks_up: 狙ってないのは最初だけじゃね
[1262.007] goozy009: ワインとかもそうだよね
[1262.741] gokukeshi: 食ってみたらうまかった京奈
[1267.525] erisuk: 売れ残りじゃなくなるように誰かがマーケティングしてるだけだろうな
[1267.688] sh1zuku716: 結構あるあるよね
[1271.247] (S)ましゅダヨ: あっ
[1282.881] adachikufgc: ナイスksk
[1285.773] (S)ましゅダヨ: ひっそりとね？
[1287.876] neojapan01010: だまーってｗ
[1289.112] らすたねこ: 「キャンセルってシステム考えた人天才だよなー」
[1289.469] latenight000: 言わずに、フフッ
[1292.457] mozuk310: 値段やブランドを食うタイプだ
[1293.114] (S)ましゅダヨ: ｸｽｸｽ
[1294.014] pondenring0930: ふふっ
[1297.529] tabibitox: 愉悦
[1304.263] (S)ましゅダヨ: あぁ……
[1319.468] mozuk310: でもミートも味覚クソなのに高い料理食って満足してるんじゃないっけ
[1324.219] erisuk: 苦けりゃ苦いほど、じゃなくてこの苦味が好きならばいい
[1325.168] neojapan01010: きまじぃｗ
[1328.063] (S)ましゅダヨ: きっつーーーーーーーー
[1334.941] えいた: 168 raiders from えいた have joined! 
[1335.608] クラクラ777: あー
[1338.252] sistersguitarreplica: あるなー
[1340.103] 箸くれ: ｗｗｗｗｗ
[1343.565] latenight000: あわわわわ
[1344.628] (S)ましゅダヨ: えいたああああああこれるうー？
[1344.758] tabibitox: えいたきゅん？
[1344.939] (S)demonbane_twosword: えいたきゅん？
[1346.977] (S)monpiipop: うわー
[1347.825] (S)~MISSING_COMMENTER_INFO~: ｗｗｗｗｗｗｗ
[1347.828] 将門ゴルゴロ: www
[1348.434] njpw2017: お、不参加表明か
[1348.473] erisuk: 読み取りが違うとだりぃよな
[1349.301] chin_56_: うううん
[1351.748] goozy009: えいたがレード来たw
[1351.939] aranami0: ｗｗｗｗｗ
[1352.239] (S)~MISSING_COMMENTER_INFO~: ウメスルー
[1353.271] 闘劇のアルベルト: えいた来れんか
[1353.699] methotrexate_aym: 気まず
[1356.674] v_harumi_v: ｗ
[1356.731] (S)ましゅダヨ: えいたありがとう〜
[1356.971] (S)おしるこ11: はいはいはい
[1359.765] adachikufgc: んがぐぐ
[1359.964] raurakd: いつものやつw
[1360.091] もきち555: そっ閉じｗ
[1363.490] pondenring0930: 相槌、するよね～
[1365.721] (S)黒猫くん: 参加できん感じかえいた
[1372.797] (S)ましゅダヨ: あーうんうん、
[1374.373] (S)とも8はる: えいたきゅんー！！
[1379.677] fujimike: えいたは子供にいった
[1385.585] くまリンカ: 作者と解釈違い
[1389.768] えいた: 赤ちゃんのパパ嫌期が来たので赤子と過ごしながら梅ちゃんの配信見ます！
[1401.535] (S)rm_rf__: 文脈を理解した上でって話だね
[1404.499] tabibitox: えいたきゅんがんばえ～
[1406.655] LGA2011: そうだよね
[1406.813] aranami0: 子育てがんばってね
[1412.186] sistersguitarreplica: えいたきゅんー
[1412.656] v_harumi_v: 子育てがんばって
[1417.082] (S)ましゅダヨ: たくさんかわいがってねパパー！子育てふぁいとぉー！
[1422.077] (S)~MISSING_COMMENTER_INFO~: まじかよ
[1426.009] 箸くれ: それはたぶんうそ
[1427.324] (S)ましゅダヨ: うわ、ありがたがっ
[1432.180] (S)おしるこ11: 苦いのがかっこいいっていう文化があるからじゃね
[1432.190] adachikufgc: 海外は甘いの好きだからね
[1433.355] Fkdso555: パパイヤ期
[1433.422] latenight000: wwww
[1434.466] (S)ponponguripon: 通ぶってるってこと？
[1436.041] 5don: ww
[1436.142] 闘劇のアルベルト: 日本スイマー多いか
[1438.389] (S)~MISSING_COMMENTER_INFO~: 日本人まじかよ
[1438.456] sn0wf0x3: www
[1440.268] sistersguitarreplica: なんでぇ
[1441.901] (S)noriyuki3: 海外はブラックなんか飲まないしな
[1442.135] evimayo88: にげえのになんか売れるなあ
[1443.473] (S)ましゅダヨ: やだよ〜だせぇよ〜
[1443.617] raurakd: 有難がっちゃってまぁ
[1444.297] one596: そうそう
[1444.549] neojapan01010: あるよねー
[1445.076] (S)~MISSING_COMMENTER_INFO~: ええｗ
[1446.158] fujimike: 通ぶりたい日本人
[1447.159] latenight000: タイ人「なんで？」
[1448.422] pondenring0930: あーあ
[1449.944] fbhjkl: そうか
[1452.291] aranami0: ｗｗｗ
[1452.669] (S)sharks_up: ｗｗｗ
[1452.738] chin_56_: ﾀﾞﾜｰ
[1452.908] nihonsyu_: wwwwwwwwwwwwwww
[1454.316] 箸くれ: ｗｗｗｗ
[1454.347] LGA2011: ｗｗｗｗｗｗｗｗｗ
[1456.928] (S)monpiipop: wwwwwww
[1458.751] (S)sharks_up: スイスイで草
[1459.631] 5don: パクチーお好きでしたかw
[1459.953] 新ころりん: 日本人が苦みに対して強すぎんだよｗ
[1460.499] (S)ましゅダヨ: 通ぶるからさあ〜日本人は〜
[1461.356] v_harumi_v: へー
[1461.636] (S)demonbane_twosword: すいすいしてたーー
[1461.857] (S)とも8はる: 頭抱えてるw
[1463.579] diego_ohunabara: umeYay
[1464.041] mozuk310: 流石タイ生活経験者
[1464.486] lucentsnow: ひでぇｗ
[1468.440] dcdryuya404: LUL
[1468.612] niwakanoppo187: パクチーは食われてる範囲がすごい
[1470.285] fuan4444: カメムシです
[1470.904] raurakd: いいお客さんだねぇ
[1471.098] adachikufgc: 菊の花
[1471.238] (S)rm_rf__: 味覚は情報とは良く言ったもんだな
[1472.893] zyangara2: 東南アジア事情に詳しいKSK
[1473.635] 箸くれ: しそだけかじってる的な
[1477.294] chin_56_: パクチークソマズでしょ
