[47.743] ヒラマサさん: やっぴー
[1119.182] toda0613: ストーリー追加DLCはすごい評価高くて面白いんだけど長いのでストーリークリアするくらいハマってるならオススメです
[1137.750] oootoaooo: 建築の幅が広がるからDLC楽しそう
[1138.523] urutoramobairu: ramuzuYa
[1139.023] (S)昼さん: でもおすきなんでしょ
[1197.613] toda0613: 入れるDLCによってはマップに出てくる敵も追加されるのでこないだの最新アプデで追加された強い奴らみたいなやつもたまに出るようになります
[1212.248] 江角マキコ: どれが追加DLCか見分けつかないと思うからそこまで気にしないでもいいかも
[1221.401] (S)昼さん: ぼこぼこにされた奴か
[1237.273] toda0613: それは本当にそうかもです
[1252.528] 摩利支天尊: 栽培のために特別なにかやらなきゃいけないこと無かったと思うんだけどな、もう作れたりして
[1264.280] hakata_gobugobu: やめてね
[1343.839] (S)昼さん: 泳いでいくのここ？
[1351.860] Akito0709: どうやってその島いったの？
[1369.605] 黒毛和牛980円: 商人
[1375.557] mozurr: らむちゅあああああん
[1395.319] (S)昼さん: フォールアウト適性高いな～
[1406.124] 摩利支天尊: ベランダに置くようなちっこいやつなんて無かったと思うな
[1408.009] hageyamasanagain: そこまで言って委員会ってまだ出てくれるの？？
[1446.224] hageyamasanagain: ありがてえ
[1458.508] (S)昼さん: ホステスがいる
[1464.644] 摩利支天尊: あのでっかいの以外にあるのか
[1468.997] oootoaooo: パイパー服変えたの？
[1473.177] Akito0709: 三角関係
[1510.490] (S)昼さん: パイパイ三白眼で好き
[1585.021] (S)昼さん: あいつをやらない展開はさすがにないのでは？
[1599.319] 黒毛和牛980円: たぶんないと思う
[1607.936] 摩利支天尊: あのシーンは絶対に戦闘
[1635.362] 黒毛和牛980円: すでに持ってるｗ
[1637.632] groovelivegroovelive: ケロッグ倒してたのか
[1644.670] (S)昼さん: だいたいすでに持ってるねw
[1686.261] 黒毛和牛980円: 部屋あさるかあ
[1710.249] (S)昼さん: パイパイ ムッチャ家のものとられてるぞ！
[1744.813] (S)昼さん: うん 確かに
[1772.691] (S)昼さん: しかもサンクチュアリと供給ライン引けなかったと思うし
[1802.401] (S)mimimiumiu1: ニックは臭そうなんだよな
[1861.731] じんくす: フォールアウトどうおもしろい？
[1863.266] (S)昼さん: ニックは結構着れない
[1877.395] nisuich: DLC確認してみたんですが、Wasteland Workshopがガーデニングプラントでした 居住地の見栄えを良くするなら、Vault-Tec Workshopで綺麗な家具や照明などを導入できます 参考までに
[1887.598] 虫けらさん: リカちゃんみならえ
[1887.785] 黒毛和牛980円: トレンチコートは着れたはず
[1903.498] (S)昼さん: スペクタクルアイランド
[1942.452] (S)昼さん: 橋わたる前に全滅か
[1983.989] oootoaooo: Wasteland Workshopha
[1994.062] oootoaooo: 評価良かった気がする
[2012.648] (S)mimimiumiu1: 次回おうちがめちゃくちゃ綺麗になってたりして
[2047.207] (S)昼さん: つえー
[2069.457] 黒毛和牛980円: 伝説
[2105.528] 黒毛和牛980円: スパミュね
[2124.513] (S)昼さん: なんでこんな強いw
[2154.800] (S)昼さん: うーーーん
[2218.344] (S)昼さん: 伝説引くね～
[2251.167] (S)昼さん: これマジ強い
[2282.267] (S)昼さん: これ鎧だと相当強いんよね
[2283.556] nisuich: 結構強いっす
[2298.204] kokohan4: タフになるってことだもんな
[2325.526] (S)昼さん: おなじみモールラット
[2345.164] じんくす: ここ俺も最初迷ってたわ
[2352.232] 黒毛和牛980円: この敵多いよ
[2369.504] (S)昼さん: グッドネイバーは結構見つけづらい
[2371.057] 黒毛和牛980円: なんかいる
[2371.565] kokohan4: 道分かる能力無かったけ？
[2382.549] (S)昼さん: 双子？
[2391.074] 黒毛和牛980円: 二人
[2431.492] (S)昼さん: 草
[2460.314] (S)昼さん: こいつの事さえよく知らないのに無理w
[2498.323] kokohan4: どっちも救ってあげよう
[2525.226] paaaparapa: www
[2527.064] (S)昼さん: 反感を買いつつ攻撃
[2536.626] kokohan4: この世から助けてあげたな
[2539.298] purutoro: えぇ…
[2539.609] 黒毛和牛980円: falloutだねえ
[2542.098] (S)昼さん: はいめでたし
[2544.942] hageyamasanagain: ラム最強！！ラム最強！！！
[2549.660] toda0613: 正しい楽しみ方
[2552.554] kokohan4: 追い詰められてたほうが人造人間だったのか
[2555.356] (S)昼さん: はいこいつです
[2562.829] kokohan4: やっぱり力が正解だよな
[2564.117] くね君: ローラー
[2567.741] (S)昼さん: ママだ！！
[2570.071] kokohan4: ママ
[2587.368] (S)mimimiumiu1: お義母さん初めまして
[2588.574] paaaparapa: mama EATS
[2598.106] 黒毛和牛980円: へえー
[2608.727] syuu76: マッマ声若いね
[2611.760] (S)昼さん: 友達だねー
[2624.116] kaseisan1234: おもろ
[2629.947] じんくす: ママも陽気だねぇ
[2633.116] 虫けらさん: 喋り方そっくり
[2634.113] syosyu: よかったよな
[2643.292] (S)昼さん: これは姉
[2648.521] 黒毛和牛980円: エンジェル・ハートいいよねえ
[2654.713] (S)mimimiumiu1: 想像の200倍似てるな
[2662.447] paaaparapa: あたしゃーね！！
[2671.967] じんくす: なんてアイス？
[2676.801] hageyamasanagain: いい友人みてーーだ！！
[2874.889] jojo9953: たか
[2875.065] 黒毛和牛980円: まあ土曜日だし
[2886.397] (S)mimimiumiu1: モンエナの酒と似たような狂いアイテム
[2899.752] 黒毛和牛980円: あるね
[2904.227] (S)昼さん: うまそう
[2983.275] 虫けらさん: おもしれー女だった
[2983.381] (S)昼さん: 性格が一緒だった
[3010.264] 黒毛和牛980円: あ
[3018.394] syuu76: 逆ハーレム○
[3028.571] 紺青: そんな脅し文句初めて聞いたわｗ
[3032.489] (S)昼さん: どやハック
[3140.713] (S)昼さん: そこ ミサイルで狙われるから注意ね
[3217.277] 黒毛和牛980円: 回収できるよ
[3227.234] (S)昼さん: BOSのヘリかな
[3236.204] purutoro: ベルチバードかな？
[3255.014] (S)昼さん: グッドネイバー好きだわ
[3255.281] 黒毛和牛980円: きた
[3284.752] (S)昼さん: ニックがぶんなぐっちゃうぞ☆
[3315.109] (S)昼さん: ボア ハンコックな
[3316.375] hageyamasanagain: 桐生さんの声？
[3322.647] (S)mimimiumiu1: たしかにアルコール入り
[3336.889] anon0529: ！？
[3340.135] hageyamasanagain: ｗｗ
[3343.472] (S)昼さん: 流れるようにあさったな
[3355.807] manyyao: 堂島のグールやん
[3381.473] (S)mimimiumiu1: 帽子も皮膚の一部みたいに見えてきたな
[3395.835] (S)ミズタニ: ramuzuYa
[3396.480] (S)昼さん: もう桐生ちゃんにしかみえないな
[3457.586] hageyamasanagain: 龍が如くの主人公
[3468.062] (S)昼さん: ハンコックの声優さん 龍が如くの桐生ちゃんと一緒
[3499.681] (S)ミズタニ: ミズタニ converted from a Prime sub to a Tier 1 sub! 
[3540.068] (S)昼さん: もぐもぐ
[3592.129] じんくす: 桐生ちゃんいい声やな
[3592.584] (S)昼さん: ちゃんと聞いてくれるの助かる
[3608.885] (S)昼さん: ここバラバラで好き
[3625.641] nisuich: この街一番好き
[3682.545] akazukin_san: デヴィ夫人みたいな服
[3700.949] (S)昼さん: アマリはマジすごい人
[3746.311] taka3____: やあ
[3795.069] (S)mimimiumiu1: 指先w
[3795.661] (S)昼さん: ニック....... ! 
[3807.376] ~MISSING_COMMENTER_INFO~: ✌
[3811.081] (S)mimimiumiu1: ニックいじり
[3830.428] (S)mimimiumiu1: 巻き込まれた
[3857.005] paaaparapa: 🤞
[3864.838] (S)昼さん: なんでエロイことがおこると思った？
[3875.158] 黒毛和牛980円: うびび
[3877.287] hageyamasanagain: さようなら～～～
[3878.535] akazukin_san: w
[3878.556] manyyao: それすき
[3880.207] (S)kymoon5: www
[3881.439] (S)mimimiumiu1: ﾆｯｰｰｸｯ
[3886.143] (S)昼さん: 没入感 イイゾォ～
[3892.568] じんくす: べたなことやるねぇ
[3896.379] (S)kymoon5: 可愛いRaMuちゃんw
[3900.269] akazukin_san: 脳みその中
[3901.612] 黒毛和牛980円: シナプス
[3902.522] hageyamasanagain: せ、せんせい・・・
[3910.283] (S)昼さん: ニューロンらしい
[3929.059] (S)昼さん: なんだこの小僧
[3947.655] suga_maiku: ケロッグの過去
[3973.681] 黒毛和牛980円: ケロッグのがき時代
[3979.009] (S)昼さん: 静観で 芝居が進みますよ
[3979.338] (S)ミズタニ: お↑やじ↓
[4039.914] suga_maiku: 嫁だろ
[4042.233] sekiroc: 妻
[4057.117] (S)昼さん: 髪があるからわからなかった？
[4080.485] paaaparapa: なんで被せ気味でコイツら喋るの？
[4105.794] (S)昼さん: 海外の人はせっかちだから.......
[4113.818] (S)昼さん: 赤んぼ助かる
[4121.419] suga_maiku: 英語は短いからな
[4159.631] sekiroc: 子供が殺された
[4175.539] (S)昼さん: わかりヅラいから言うけど 奥さん子供５６されて復讐に行った描写です
[4270.740] anon0529: うーん、イケボ
[4279.702] sekiroc: カメラマンしっかり
[4281.327] (S)昼さん: あ 禿げてる
[4347.914] (S)昼さん: ご本人登場
[4352.525] akazukin_san: あ
[4403.948] (S)昼さん: 笑っちゃいけないんだけど草
[4436.030] (S)昼さん: うお
[4437.148] akazukin_san: おおおおおお
[4473.302] sekiroc: A
[4486.341] (S)昼さん: ここダイヤモンドシティの家か
[4499.201] groovelivegroovelive: ケロッグの記憶のところか
[4511.867] 黒毛和牛980円: 輝きの海
[4538.652] (S)昼さん: なんだそのアイドルグループみたいなの
[4550.119] (S)昼さん: うわショーン
[4571.031] nisuich: 今名前出てた ブライアン・バージルが科学者です
[4571.914] (S)昼さん: そいつは本物のおとうさんやったハゲやぞ！
[4583.805] 摩利支天尊: zipな
[4585.058] (S)昼さん: うん 湧いてる
[4587.601] sekiroc: うん
[4592.957] groovelivegroovelive: てれぽおてえしょん！
[4636.860] (S)昼さん: とり放題だ！！！！！！！！
[4645.894] hageyamasanagain: 旅団
[4688.633] (S)昼さん: 爆心地なんじゃないかな
[4690.270] anon0529: ひぇぇ
[4698.615] 黒毛和牛980円: パワーアーマー着てくか
[4750.073] 黒毛和牛980円: グロックナッツ
[4752.333] (S)昼さん: そう 気を付けてw
[4777.568] ダイナモカルパス: 素早くとったら盗品扱いになりそう
[4800.514] (S)昼さん: モノマネキタア！！！
[4801.398] akazukin_san: 乗っ取られてるぞｗ
[4825.926] hageyamasanagain: 桐生チャン！？！？
[4870.041] 黒毛和牛980円: 町探索しよう
[4878.807] (S)昼さん: パワアマに関するヒント いいすか？
[4884.116] groovelivegroovelive: グッドネイバーやん
[4893.989] sekiroc: ケロッグも根っからの悪じゃないし平気平気
[4895.531] (S)昼さん: パワアマといえば BOSっす
[4908.506] nobita18: 楽しんでますか？
[4934.542] (S)昼さん: この人らも両方やったのかな
[4992.138] (S)昼さん: ダイヤモンドシティでは出禁のグールもこの町にいます
[5012.958] (S)昼さん: 今日おとなしいね
[5033.161] toda0613: ケロッグの主人公のifルート感すこ
[5048.095] (S)昼さん: パワアマほしいんならね
[5057.102] 黒毛和牛980円: T51ほしい
[5077.618] ディディ24: ワンセット作業台に入ってなかったっけ？
[5077.655] (S)昼さん: ｗｗｗｗｗｗ
[5093.070] (S)昼さん: 豊かだから狙われる
[5100.773] ~MISSING_COMMENTER_INFO~: やあ
[5119.886] monchan_man: こんにつわ
[5128.372] monchan_man: ケロッグのハゲ倒したんすね
[5151.955] monchan_man: ケロッグ、声だけはセクシーだった
[5153.467] (S)昼さん: イディオットはレベル上げに便利ですね
[5167.947] nobita18: このゲームやってるとボブルヘッドが欲しくなってくる
[5174.164] 黒毛和牛980円: 隣のウサギのやつもいいよ
[5185.013] opennnnnnnn: あんな海泳ぎたくない
[5203.521] nobita18: マジでプレイスタイルによる
[5206.571] (S)昼さん: どれも面白いよ
[5226.055] nobita18: スリもおもろいで
[5230.734] 黒毛和牛980円: 防御上げるやつもいいね
[5268.153] てんしちゃん極: 動物となかよくしよう
[5278.137] ディディ24: 男は黙って武器だろ！
[5289.637] 黒毛和牛980円: あとでもいい
[5290.702] paaaparapa: 楽しさ重視でスリ取っちゃうなー
[5302.315] 1111_kou: 動物と仲良くなれると命令できるはず
[5310.552] (S)昼さん: 武器制作はマジたのしい
[5364.425] 黒毛和牛980円: 射程が落ちるくらい
[5372.127] (S)昼さん: さらに火力上げたくなったら 各カテゴリ別に上げる効果あるPARK２段階も上げると結構強くなる
[5390.454] 黒毛和牛980円: サイエンスだね
[5416.688] (S)昼さん: 知力が必要な サイエンス！
[5423.945] てんしちゃん極: 男は黙って釘バット
[5462.767] (S)昼さん: 強いレザライ拾うか買って 強いパーツだけ付け替えてもいっすね～
[5472.799] 黒毛和牛980円: 50口径つよい
[5513.516] (S)昼さん: そう ネジマジすぐなくなる
[5517.634] fox23241224: 豚の貯金箱ランチャーで無双してる
[5532.433] 黒毛和牛980円: スニークアタック狙いならサプレッサーはあり
[5537.049] ディディ24: ネジは扇風機に入ってるよ
[5558.127] (S)昼さん: 金策できるようになれば 商人から注文書でまとめ買いできるんだけどねぇ
[5587.393] oootoaooo: ニックの声なつい
[5593.228] てんしちゃん極: 酒結構おもいよね
[5625.397] 黒毛和牛980円: クイーンステーキめっちゃある
[5663.250] 黒毛和牛980円: たたき起こす
[5667.395] (S)昼さん: ｗｗｗｗ
[5672.257] じんくす: 狙われてる♀
[5710.487] (S)ruto2323: ryuton44 subscribed at Tier 1. 
[5779.345] pihioo: ラム愛してるラム愛してるラム愛してるラム愛してるラム愛してる
[5781.384] (S)昼さん: 面倒じゃなかったら パワアマ脱いだらフュージョンコアも抜いておくと 勝手に使われないと思う
[5863.585] ディディ24: コア入れっぱなしだとnpcが勝手に着たりするよ
[5864.722] hiro8270: こんにちは
[5884.882] (S)昼さん: 本来だったら ニックは問答無用でBOSに撃たれると思う このゲームおおらかだから大丈夫だけど
[5935.803] (S)昼さん: 絵になるねぇw
[5936.468] 黒毛和牛980円: ベルチバードきた
[5978.480] 黒毛和牛980円: うて！
[5991.960] (S)昼さん: キレイだねー
[6014.097] てんしちゃん極: それが「力」や
[6031.840] 879bu380: このクエスト好き
[6048.528] (S)昼さん: そらダンスもウッキウキでおしゃべりしますわ
[6102.617] manyyao: 建物の配置とか含めていいマップだね
[6110.445] nobita18: アホの子
[6133.613] (S)昼さん: おｒｒｒｒｒｒｒｒｒｒｒ
[6158.700] てんしちゃん極: こわした
[6159.135] manyyao: ヘリって実際乗るとガス臭くて酔うよね
[6162.720] (S)昼さん: ハンガーフック
[6163.005] (S)ミズタニ: ヘリからミニガンぶっ放すの気持ちよさそう
[6165.691] hageyamasanagain: うんこって言うから・・・
[6177.604] mandsomone: Jump off
[6177.651] ディディ24: 結局どこの組織の味方になるか決まってきた？
[6185.356] (S)昼さん: まずはおめでとう
[6237.591] (S)昼さん: 船長と話そう
[6247.833] 黒毛和牛980円: 話しよう
[6272.935] 1111_kou: 今の人と話す
[6276.262] (S)昼さん: 複数のクエ選んでるのかな
[6281.669] 摩利支天尊: いまやってることと設定してるクエストが違うだけ
[6308.572] (S)昼さん: 偉いっ
[6311.339] 黒毛和牛980円: いいね
[6320.011] ディディ24: 唐突の自炊自慢
[6380.741] (S)昼さん: 会話パート続くから辛いかもだけど パワアマもらえるんで我慢ね
[6457.856] twitch_is_gm: この女いつ見ても顔がいいな
[6475.337] (S)kymoon5: 本当可愛い
[6529.744] (S)昼さん: ニックがいていい場所じゃねぇ
[6574.571] (S)昼さん: さすがに空気読んだ
[6624.986] (S)昼さん: 甘やかしすぎだろコイツ
[6630.587] 1111_kou: ダンスが推薦してくれた
[6642.331] (S)昼さん: コルベガでヴォルトボーイくん見つけて拾ってるから 若干フュージョンコアの消費へってるはず
[6663.931] (S)昼さん: ステルスでいこっか
[6687.739] うしとら_: ダンス好きわかる
[6704.413] (S)昼さん: 異例中の異例
[6784.435] 虫けらさん: おっも
[6798.537] ibuibu_lv: 一人で
[6799.457] (S)昼さん: まあ仲間にできるよってぐらいだよ
[6805.113] うしとら_: ニックおじさんか、ダンスおじさんか
[6805.847] (S)昼さん: どっちでもいい
[6808.256] 黒毛和牛980円: つよいね
[6808.406] kokohan4: それはそう
[6834.576] (S)昼さん: うわあさり始めた
[6866.591] うしとら_: タカハシと会ったのか
[6868.856] (S)昼さん: プリドゥエンのもの全部持ってかれる
[6925.696] (S)昼さん: 間違えて放射能水ムッチャ飲んでます
[6960.407] kokohan4: グールとか機械とか？
[6961.436] 1111_kou: wwww
[6992.460] groovelivegroovelive: タカハシとかな…
[7041.095] (S)昼さん: だれも盗癖を止められねえええ
[7041.569] 879bu380: 早くパワーアーマー欲しいね
[7058.517] groovelivegroovelive: ダンス真面目だからな
[7083.633] kokohan4: ヤクに目がない
[7103.073] groovelivegroovelive: 医者「泥棒癖がひどい…と」
[7123.625] (S)昼さん: なかなかの失礼さ
[7159.060] (S)昼さん: こいつも金策キャラの一人
[7184.849] (S)昼さん: 技術資料をこいつが換金してくれる
[7192.469] groovelivegroovelive: イングラムきたーー
[7217.900] (S)昼さん: このねえさんかっけーのよね
[7230.570] groovelivegroovelive: イケメン枠
[7254.530] (S)昼さん: ベイ３です
[7261.836] groovelivegroovelive: それ
[7263.370] (S)昼さん: やたーー
[7267.244] 1111_kou: bay3
[7271.032] kokohan4: ベイ3って言ってたからそれやろな
[7273.198] 879bu380: そう
[7293.162] groovelivegroovelive: BOS最強！
[7338.141] timiyonion: おそらく前のアーマーより強い
[7363.647] (S)昼さん: こいつのクエストだけは ミニッツメンと険悪になるからちょっと気を付けたほうがいいかも？
[7409.509] うしとら_: すごい顔ｗ
[7413.529] (S)昼さん: ピリついたな
[7419.454] hageyamasanagain: じと～～
[7420.134] oootoaooo: 決め顔です
[7421.230] カイくん1010: やらしい目つき
[7424.302] ディディ24: 関優太やん
[7433.311] 879bu380: 悪い顔選手権にいそう
[7433.528] (S)昼さん: いい瞬間とらえたね
[7518.557] (S)昼さん: ここで キャンセル選べば本来いた場所へ戻るよ ニックならダイヤモンドシティの探偵事務所
[7577.748] (S)昼さん: お、ニアかメロ
[7677.084] (B)らむずっきゅん: ごめん、ちょっとフンしてます
[7691.381] (S)昼さん: これはご丁寧に
[7694.145] (S)ミズタニ: BloodTrail
[7709.020] うしとら_: BloodTrail
[7734.747] (S)昼さん: BloodTrail
[7836.830] ディディ24: ラムちゃんちウォシュレットある？
[7841.031] (S)ミズタニ: 手洗った？
[7900.935] groovelivegroovelive: 16個あるやん
[7914.856] 弐号機パイロット: らむちゃんまじ可愛い
[7917.360] shoxxx1018: 最高のゲームやってますね♪
[7926.085] ディディ24: うちないよ😭
[7929.641] うしとら_: ほんと最高のゲームだよ
[7934.364] wantis1008: プリドゥエンや！
[7960.253] wantis1008: レールロードもう会った？
[8043.773] groovelivegroovelive: ここたまにバグる
[8054.531] timiyonion: BOSの作戦は派手派手なんだ
[8092.190] hageyamasanagain: あ～
[8139.622] groovelivegroovelive: あれ？ヘリから攻撃するやつじゃないの？
[8153.406] 黒毛和牛980円: 射撃練習
[8160.002] timiyonion: 訓練してるんじゃないか
[8192.199] daidaidaidesu: ここ面白い
[8194.289] groovelivegroovelive: くっら
[8204.594] 黒毛和牛980円: きた
[8225.665] 黒毛和牛980円: ベヒモス
[8231.222] 1111_kou: ヘリを減らすパークあったはず
[8258.531] 1111_kou: 減りを減らす
[8299.907] 愛染愛染: 戦場
[8304.115] 黒毛和牛980円: 囲まれてる
[8339.856] 愛染愛染: 伝説楽しみ
[8358.190] 黒毛和牛980円: やば
[8358.780] daidaidaidesu: ｇｍ
[8360.198] うしとら_: 痛打！
[8371.681] 愛染愛染: ランチャーかー
[8373.426] timiyonion: クリティカル使ったら必中やぞ！
[8383.284] IK4MARU: すげー！
[8405.299] 愛染愛染: 貯金
[8417.310] daidaidaidesu: クリティカル貯めるパークあるぞ
[8421.016] 摩利支天尊: 痛打は散弾系の中ならそこそこ神
[8440.458] onesolo52: アーマー着てたら放射能は平気
[8480.662] groovelivegroovelive: かわいいよな
[8513.677] timiyonion: 建物へGO
[8523.075] groovelivegroovelive: 砦あるよな
[8525.073] 愛染愛染: ギーア
[8571.663] 愛染愛染: ぐっろ
[8580.425] 黒毛和牛980円: ゴアバッグ
[8583.040] timiyonion: そっくり
[8619.395] groovelivegroovelive: いいよお
[8653.447] IK4MARU: ひっど
[8661.812] 愛染愛染: 無口な仲間っているのか
[8664.848] timiyonion: 報連相はだいじだからね
[8698.661] groovelivegroovelive: よ、よい
[8744.917] 1111_kou: 200年立ってカビが生えただけなの怖い
[8803.163] timiyonion: エレベーター動いてないか？
[8804.599] groovelivegroovelive: 元々軍隊の基地だっけ？
[8851.356] groovelivegroovelive: 無口な仲間いたわ、犬
[8904.910] うしとら_: 運び屋ダンス
[9008.470] dorako27: DLCも面白いよ
[9009.684] 愛染愛染: かわいい
[9011.357] 黒毛和牛980円: かわよ
[9032.541] timiyonion: あそんでやろう
[9054.092] うしとら_: ミュータントのセリフ癖になる
[9070.724] groovelivegroovelive: ぼよよーん
[9119.281] groovelivegroovelive: セーブはしてんの？
[9221.874] Nishizonono: かわよ
[9227.782] うしとら_: かわよ
[9241.989] 愛染愛染: くーん
[9254.052] dorako27: かっわ
[9254.656] 愛染愛染: Ⅴ
[9311.536] 黒毛和牛980円: これで終わりだね
[9322.926] timiyonion: ダンスと作戦会議だ
[9419.903] 愛染愛染: 盛るな
[9423.251] hageyamasanagain: いい眉毛だ
[9483.324] 愛染愛染: ニア日本語喋ってくれ
[9489.630] 黒毛和牛980円: かまちょ
[9490.057] うしとら_: ニアfo4やりたいのか？
[9501.730] timiyonion: 犬みてーに仲間になりたいんだろ
[9513.945] Nishizonono: akariLovee
[9522.774] 愛染愛染: くぅーん
[9539.478] 熊倉: この景色みながら戯れるのなんかエモ
[9554.300] timiyonion: グールみたいな鳴き声してないか？
[9576.315] 黒毛和牛980円: 輝きの海
[9596.414] dorako27: 浮いとる！？
[9614.605] 黒毛和牛980円: 弾、補充するべ
[9668.320] Nishizonono: ramuzuZu
[9701.564] 愛染愛染: ええやん
[9725.426] すねーく1_0: ramuzuZu
[9739.171] anon0529: せっかちw
[9854.152] 愛染愛染: アイツどこ行ったんだ
[9860.076] take141: 自分もこのクエスト終了後に勝手にいなくなっていました。しばらくするとここに戻ってきました
[9864.956] timiyonion: 警察署は？
[9876.559] 1111_kou: ファストトラベルしたらついて来そう
[9880.445] 愛染愛染: クチャラー
[9888.028] (S)もちおし: しらす丼
[9890.592] すねーく1_0: マヨネーズ丼
[10079.432] 愛染愛染: ヌカラン弾がな―
[10116.057] daiyankei: しょせんレイダー
[10227.169] timiyonion: 飯つく音すき
[10235.704] 黒毛和牛980円: 輝きいくか
[10242.635] groovelivegroovelive: 敵強いぞマジで
[10266.952] 黒毛和牛980円: バカ強いよ
[10322.522] (S)ヒイロジーエム: 撮影w
[10331.763] timiyonion: なかまいないのまずくねー
[10352.378] 黒毛和牛980円: ニック
[10357.477] groovelivegroovelive: 🐶つれてくか？
[10373.063] 黒毛和牛980円: いいやん
[10378.334] akichi21: こんちゃ 結構ハマってますね
[10389.905] 黒毛和牛980円: 動物もいい
[10400.363] timiyonion: 連れてるときのが多ないか
[10401.254] (S)ヒイロジーエム: 仲間強いからなぁ
[10407.677] purutoro: 仲間を連れずにはドッグミート専用だね
[10437.071] purutoro: そうね
[10451.258] 愛染愛染: 持ち逃げされた
[10487.327] take141: 寝るなりして時間経過させれば帰ってくると思います。
[10531.828] (S)ヒイロジーエム: 日付跨ぐか
[10539.111] timiyonion: 部下とは思えんシカト
[10613.367] (S)ヒイロジーエム: いいね
[10663.732] 愛染愛染: クソ笑ってら
[10669.693] dorako27: ｹﾗｹﾗ
[10679.285] 愛染愛染: うまそう
[10686.031] (S)ヒイロジーエム: セブンのやつか
[10690.824] hageyamasanagain: おれにも寄越せ！！！
[10699.470] timiyonion: コンソメ派
[10720.335] (S)ヒイロジーエム: 箸とか使わない派か
[10739.673] timiyonion: その食い方してるのデブしか見たことない
[10798.290] (S)ヒイロジーエム: わんぱく小僧食いw
[10799.455] うしとら_: 箸で食べたり
[10809.440] icchi46: 部屋ポテチのカスだらけそう
