[49.886] えたーなるぶるー: culonyanKonChadoumodoumo
[1122.410] ememeume: 三太郎さんがベリーのことチェリーって言ってる流れから昨日命名されたやつですね笑 ぜひアーカイブを！
[1124.703] kimie_white: スト２のリュウの大足みたいに早ければなぁ
[1152.127] (S)tabibitox: これできるようになったウメちゃんは飛びを空投げするパターン追加しそう
[1190.348] oden_tw: こういうのって配信してないだけでプロはみんなやってるの？
[1201.377] kimie_white: さすがに？
[1202.188] HeadshotToTheDick: PogChamp
[1205.466] balthazar000: いやー稀だと思うけどなぁ
[1217.756] (S)kwsk3: あれ？デジャビュかな？前もラシード相手に練習やってて克服してなかったっけ？
[1221.867] shiro_risu01: えめめうめさんありがと！そっか呼び方かぁ
[1221.892] (S)~MISSING_COMMENTER_INFO~: やってるでしょ
[1224.482] (S)ankoro123: カワノもこんな動画出してたよね
[1225.671] ilm0806: サコさんはマニューバの練習してたな
[1234.604] ememeume: 🙆♀️
[1243.458] (S)~MISSING_COMMENTER_INFO~: 練習船とゲームはうまくならん
[1243.754] kimie_white: たまにはやるかもだけどこんなに毎日やる人はいないだろうね
[1257.684] twx12345: あ〜押しちゃう❤️
[1275.771] amagigoe: （一生できちゃうなこれ）
[1289.446] (S)~MISSING_COMMENTER_INFO~: プチプチかな？
[1302.481] (S)kwsk3: ∞プチプチやね
[1304.978] ﾔﾐ: ラシードのジャンプくるくるしまくってるなぁ
[1309.632] daiki_the_beast: これって何のための練習？
[1316.262] une3333: 早くあの服に1号or2号がくるまってるのを見てみたい....
[1321.073] matsu_zalem: サコさんはトレモ魔人すよね。
[1324.626] _こぺ_: 趣味だぞ
[1325.686] こまお: こういうことの積み重ねが地上戦の圧を生み出すってことなんですかね？
[1336.375] ilm0806: たしか、胴体視力を鍛える訓練だったかな
[1336.383] kimie_white: 中足に差し替えしてダウン取れれば強いしょ
[1349.608] (S)kwsk3: まぁ決まったらビビるよね。
[1354.833] une3333: 「実戦ではやらんけど」練習です
[1360.592] une3333: クラッキングしなくてもｗ
[1384.676] (S)kwsk3: 目を鍛えるって以前よく言ってたな。そういえば
[1384.980] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[1404.143] natsuosh: ついつい実戦で手だしちゃって失敗したりしないもんなのかな
[1407.905] une3333: そしていつもの
[1411.681] (S)tabibitox: 実際はやらない訓練。見て判断して押す練習やね
[1411.995] amagigoe: 感謝のガイルハイ
[1413.503] HeadshotToTheDick: ERIC
[1420.264] (S)kwsk3: いつものみると安心するよな
[1432.134] daiki_the_beast: ラシード対策というか差し替えしに慣れる練習って感じなのかな？サンクス
[1440.624] ememeume: これはほんと安定
[1445.510] qin_liangyu: ウメちゃんイケメン
[1447.013] kimie_white: しかも実践のほうが出る確率高いやつ
[1449.132] _こぺ_: ずっと見てるとハリケーンまで見たくなる動画作れそう
[1476.616] stunna876x: is that based on a certain range to get the ca out that fast?
[1489.234] (S)tabibitox: 蹴られるのが男になった悲しみ
[1505.673] (S)多抜深夜: 強いガイルは出てきてるけどこれやるガイルはまだウメちゃんくらいかな
[1548.690] (S)~MISSING_COMMENTER_INFO~: 梅ちゃんの画面のティアリングやべえ
[1549.856] ilm0806: maybe using hitbox
[1557.704] (S)tabibitox: 安定の2P側
[1558.987] pandascal: 実戦でやらないと思ってたけど、この前なりくんの2中P蹴ってた
[1559.425] (S)多抜深夜: 左の安定感
[1565.970] (S)多抜深夜: 右だった
[1566.030] d535rave: エアプの民なんですが、このコンボってそんなに難しいんですか？
[1567.911] kimie_white: @bcw_stunna Yes, it's just an exercise to make sure we get the CA out.
[1581.847] (S)goto_takesi: umeYay_SG
[1584.508] (S)新福菜館マン: レバーじゃほぼ無理かと
[1589.945] inzaghi09b: くそむず
[1600.147] こまお: なんか・・・ゲームやってるってより修行だこれ・・・
[1610.179] (S)多抜深夜: 仕事だからね
[1610.664] stunna876x: @kimie_white on so u cant do the roundhouse too close then
[1612.015] nncr1118: レバーとhitboxだとレバーに勝ち目ないの？？
[1615.796] (S)naien3: 格ゲーは修行の連続やな
[1620.769] (S)aki164: 切り抜き屋が絶対切り抜かないゾーン
[1621.607] d535rave: 猶予fがどうとかいう次元じゃないんだなw すげぇや
[1622.880] (S)ebithunder: ほんとまじめだよな
[1647.312] _こぺ_: 好きでやってるんだよなぁ...こわいw
[1654.801] (S)tabibitox: レバーと同等の操作ができるならヒトボのほうがいい。ただそうならない人が大半。ウメちゃんも昇竜関連は棒のほうがいい
[1655.489] stunna876x: i was trying to practice this but it was hard
[1655.909] ilm0806: ニュートラルを経由しない部分、火っとボックスのほうが強そう
[1661.869] lyo0822: 修行僧ですわ
[1663.564] une3333: 猶予どんくらいなんだろ、早すぎたらたまらないし、遅すぎたらＣＡ落ちるし
[1678.361] _こぺ_: 三太郎さんがスチームのフレンド申請承認してくれって
[1681.878] (S)gajpmwtdpw: そんなことはない ただhitboxの方ができる事が多い 勝利には直結しないけどね
[1685.627] (S)naien3: これマジむずい
[1695.225] une3333: いぶきのもやるのね
[1699.260] inzaghi09b: そもそもこんなん狙えねえ
[1705.136] takarasann: ウメちゃんのヒットボックスは一応ニュートラルは経由してるよ
[1708.968] (S)~MISSING_COMMENTER_INFO~: できること多いだけで有利なきがするけどね
[1714.450] ilm0806: ほう
[1714.522] (S)多抜深夜: ウメちゃんがスチームのフレンド登録できるはずないだろ！
[1714.772] nncr1118: へー、hitboxも色々と難しいんだ
[1718.656] une3333: 増えてるー！いぶきのも増えてるー！！ｗ
[1718.881] _こぺ_: コメント見るタイミングむじぃ
[1736.751] une3333: いぶきのもいろいろ増えてるぅｗ
[1739.133] inzaghi09b: umeBoom
[1762.321] kimie_white: @bcw_stunna DAIGO can do it easily. Because he's a legend.
[1770.227] (S)ゴン太マン: umeCatGlare
[1801.314] daiki_the_beast: 仕事じゃないとゲームでこんな練習しようと思わないよな
[1848.929] inzaghi09b: 仕事じゃなくてもこれぐらいやってた人がプロになったが近い気がする
[1852.868] _こぺ_: 仕事じゃなくてもこの男はやる
[1868.767] ﾔﾐ: ジュラ紀の生物もやってそう
[1869.998] (S)多抜深夜: 出始めならやるだろうけどもう何年目だよってゲームはね・・・
[1874.329] (S)kaigaizei: なおくん「トレモ楽しいで」
[1892.182] sg_1048596: 鏡の対策むじい
[1898.780] kimie_white: この世代はトレモなんて最初なかったから今ウキウキでやってるのもあるな
[1898.945] (S)maddy2623: 1000人が見るトレモ
[1923.701] 滝川投ゲステル: 猫ポジに何置いてるの？
[1926.990] fdsfdddd: これ相手はファジージャンプ読んでた場合、ステップからの肘とか入るの？
[1941.027] (S)maddy2623: ウメちゃんは２クレ入れて疑似トレモはやってるね
[1944.679] inzaghi09b: エイジス極めると全対応とか出来るの？
[1962.574] matsu_zalem: この練習みて、ユリアンが「エイジスリフレクター」ってちゃんと言ってるんだと分かった。
[1973.301] ilm0806: 成長したな
[1984.414] merankori: シコハゲこんにちゆー
[1984.736] ﾔﾐ: 俺も先日配信で知りました
[1990.395] une3333: りゅうせいくんが遅らせ打撃とかやってなかったっけ....
[1992.502] ilm0806: 梅ちゃんのおかげで、リスナーも成長しておる
[1993.426] kimie_white: 毎回それ言ってるｗ
[1993.897] あと1983: 寝るもチートにいれる？
[1994.901] lucyjojo: このタイミングは中断は避けれる？
[1996.853] (S)titilrin: 雪山モチベアップか？！
[1996.877] (S)kwsk3: 元気なのはいいね
[1997.504] (S)のぶ_: またまた快眠
[1999.389] une3333: あ、今日元気なんですねｗ
[2003.827] ﾔﾐ: 寝るのはインチキ
[2005.531] ememeume: 睡眠大事〜
[2005.812] pi_dayo: 寝ると努力はチート
[2011.293] falaoh: そういやcpt発表されてからときどさんユリアンあんま使ってないような
[2012.397] (S)kazurock69: こんちわー
[2012.631] amagigoe: 年取ると疲れてても爆睡できなくなる
[2014.353] une3333: 猫の姿から学んだ
[2018.862] oden_tw: 睡眠2.0
[2018.935] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[2019.392] (S)多抜深夜: 昨日のナウマンはやばかったね黒船だった
[2026.297] ememeume: umeOuroboros
[2028.329] (S)ホナウド: 来週からのラジオって、しょうへいさん達はあくまで裏方で配信には出ない感じ？
[2037.339] sg_1048596: ネムハラ
[2041.659] (S)のぶ_: 黒い猫が居るのかと思ったらスウェットかよ
[2046.580] ﾔﾐ: ナウマン殺ったか見なきゃ
[2048.466] (S)kwsk3: 健康そのものやん
[2049.984] hatomugi101: CPT対策はどうなんだろか
[2050.499] (S)hayama01: umeCatHope
[2053.675] (S)rockrockroock: こんばんは、よく寝れました？
[2059.063] nncr1118: ウメちゃんの一番苦手な対戦キャラって誰なの？
[2063.390] MagicAlonso1: ScaredyCat
[2064.856] こまお: 先日しょうへいの新たな特技が発見できてうれしかった
[2066.081] (S)titilrin: ナウマンのトレイタームーブは勉強になる
[2067.292] inzaghi09b: しょうへいへい
[2072.070] une3333: ぽーい
[2072.592] lyo0822: 構成作家みたいなポジションかな
[2085.767] (S)kwsk3: 1号か2号、くるかなぁ
[2088.067] ememeume: ぽいぽーい
[2089.800] salifuas: やっぱり銃使っていかなきゃいけないねー苦手でも
[2091.937] robtvlive: こんばんは
[2092.831] oinari6: ナウマン視点の配信見てみたら
[2095.662] surans: 昨日のゾンビ原は映画みたいでおもろかった
[2102.564] (S)多抜深夜: 物投げて短縮とかかんがえつかんよ
[2106.480] kimie_white: 銃使いこなせたら強いよなそりゃ
[2109.705] (S)tabibitox: ハイファイトさん、さっきの練習あげてるｗ猫んとこに黒いのがあるからさっきのよねｗｗｗ
[2119.234] (S)hayama01: 室伏も銃にはお手上げ
[2120.447] 今井康浩: IMAIYASUHIRO subscribed with Twitch Prime. They've subscribed for 10 months, currently on a 10 month streak! 
[2120.694] (M)Moobot: @IMAIYASUHIROさん、サブスク登録10ヶ月目！
[2126.835] (S)ebithunder: sakoさんめっちゃ強かったな
[2135.754] (S)ホナウド: 最後に設定いじってたけど、音の方向わかるようになりました？
[2136.470] qin_liangyu: サコさんは危ない
[2138.268] matsu_zalem: 昨日の最期の試合の隠れてたKSK氏を予想して切ったのは、アーカイブ見てマジで震えた。
[2141.122] (S)kwsk3: 誰か来い！頼む！
[2142.575] pandascal: 銃とかスモークの強さに気付いてしまった
[2152.376] qin_liangyu: しょうへいこいこい
[2153.507] balthazar000: 今年のCPT動画見ますか？
[2168.879] ﾔﾐ: でも銃では挟み撃ちで野田さん殺した時の快感が得られない
[2172.596] だわさワサワサ: またももち呼んでほしいです。
[2177.131] lyo0822: スモークでぶっこぬき
[2182.813] (S)hayama01: 格ゲー以外で雪山以上に擦ったゲームあります？
[2183.881] pi_dayo: KSKが脱出直前でやられて絶叫したので爆笑した
[2187.249] (S)cho_mu: 今日も登山すんの？
[2189.181] (S)islerotwitch: やれそうな事いっぱいあって面白いね
[2189.602] une3333: 室伏も所詮原始時代の生きものよ
[2191.740] (S)maddy2623: ハイタニはもうだめですか
[2193.910] (S)ssheulnd: そろそろ銃練習しないときつくない？
[2196.585] (S)多抜深夜: 銃で止めて室伏は強そう
[2201.198] (S)tabibitox: 銃覚えたいね
[2208.565] HeavensCloud07: awaiting strong players
[2215.579] (S)afro888: ハイタニももち呼ぼ
[2216.425] latenight000: ナウマンはまだ高みに居たか
[2217.968] (S)kwsk3: テトリス！？しぶいねぇ！
[2221.812] (S)titilrin: 銃を波動のように使って懐に飛びこんできたらシックルで室伏
[2223.612] twitchshoshinsha: ウメさん雪山の左右音声識別治ったんですか？
[2229.783] sasadango1: ナウマンくん呼ぶならふーどくんも呼んで！
[2230.107] ﾔﾐ: 銃持った室伏とかプレデターじゃん
[2235.745] オシュ: テトリス99おもしろいよ
[2236.169] (S)ebithunder: sakoさんは戦うのうまいよな
[2239.995] (S)tabibitox: 開始前の雪合戦で少し練習できるよね
[2242.296] mannydothedishes: Daigo 
[2246.527] (S)kwsk3: ここにきてやれること増えると面白いよね
[2246.666] yomogi610: ナウマンうまかったなぁ
[2248.836] (S)多抜深夜: 麻痺銃やばい
[2249.644] surans: 近接だったり罠だったりの立ち回りおじのがうまいの草
[2254.510] (S)Jmorn: @DaigoTheBeasTV how are you today? 
[2273.024] kumatedd: やっぱゲームうまいってええことやなとナウマンを見て思った
[2274.502] (S)maddy2623: いつメンにもナウマンクラスの声でかい男いるじゃん
[2279.324] (S)kaigaizei: パッドだと銃使いにくくて近接が強いから今の路線も間違ってはなさそう
[2293.007] 筋トレ職人: 三太郎さん銃うまくなってたな
[2295.723] lyo0822: ときど来い
[2297.541] (S)naginagi99: 最初に全員で銃あつめて、銃で４：４で対戦とかすると銃の使い方練習できそう
[2319.087] (S)user81023: umeSnooze
[2322.961] balthazar000: 雪山の音位置に関しては、一回他人の環境で聞いてみるのをオススメしたい。
[2323.619] surans: 近接は同時に２人くらいしかあたらんからなぁ
[2324.267] (S)tabibitox: 終わったあとの三ちゃんの野良初回にシュートがいた
[2327.789] (S)afro888: スーパーさんの配信ペースヤバいな
[2327.843] (S)多抜深夜: チェリ太郎野良で女と一生遊んでた
[2330.957] amagigoe: 菩薩ハラ
[2330.973] tk44444: 三太郎さんは上手くなってるの？
[2333.747] (S)cho_mu: umeYay
[2334.636] balthazar000: 雪合戦あるか
[2342.101] Aatyu: umeZen
[2345.323] (S)lunasolnars: 対戦部屋再開の見通しはまだ無さそうですか？
[2345.972] pofesso: ResidentSleeper
[2346.467] (S)kwsk3: 雪合戦すりゃええやんね
[2348.082] morisaki1996: 単独行動して迷子つまんねーからやめてくれ
[2352.106] zanpei501: 瞑想中？
[2354.610] (S)titilrin: KSKが音環境に関してはウメちゃんの家いって調べるしか方法がないって
[2355.547] x_abu_xx: サンは成長している
[2356.269] だわさワサワサ: ナウマン一人いるだけで戦況一変するのすごいよね
[2358.132] ememeume: 三太郎さんのMAXENDはいつになるかな
[2361.746] (M)Moobot: That's a tad too many emotes, @b54321b54321 (warning)
[2375.177] (S)ﾃﾄﾗﾝ: シュウトいたの本当に偶然だったのが笑う
[2375.605] さくら0: KSKは信用ならない
[2375.792] こまお: チェリ太郎さんはトレイターやりながらナンパするって高等テクニック覚えてたt
[2375.989] (S)naginagi99: 三太郎が入った野良にシュートがいて、それをガチくんが見てたｗ
[2377.266] (S)kwsk3: え？さんちゃん、まだ食ってないのか！？
[2377.909] lyo0822: あーＭＡＸＥＮＤいい加減しないとな
[2382.536] (S)多抜深夜: シュートも相当やるらしいね
[2386.790] (S)kwsk3: ほんだきた
[2387.197] qin_liangyu: 三太郎最初は叩かれてたけど、今じゃ人気者になったな
[2388.421] (S)チョコミんト: 本田w
[2389.605] (S)cho_mu: 今日MAXEDNレイド？
[2391.030] une3333: ホンダも使うのこの人ｗ
[2391.906] balthazar000: 人によって位置聞き取りやすいとかあるから難しい。
[2392.576] (S)多抜深夜: 本田の人
[2393.863] falaoh: sakoさんがあの後の配信で三太郎さんは宇宙と言ってました
[2396.991] (S)tabibitox: 豆乳さんは多キャラ使い
[2402.131] ﾔﾐ: 一人の時に見下ろし方の射撃ゲームやったら銃上手くなるだろうなぁ
[2402.817] (S)kwsk3: ごっつぁんです！
[2403.985] kuchikey_7144: 国技
[2405.966] une3333: セス使うのは知ってたけどまさかホンダもｗ
[2408.325] (S)kwsk3: かげいいね！
[2411.120] jonny212: Kage!
[2413.243] (S)titilrin: sakoさんがMAXEND に聞こえて想像して笑った
[2413.248] (S)チョコミんト: 国恥
[2413.902] (S)cho_mu: kage
[2415.072] wananaki: カゲおねしゃす
[2432.656] (S)多抜深夜: とうにゅう本田きたあ
[2432.702] daiki_the_beast: キエ
[2434.067] ﾔﾐ: ウメガイルにホンダはつんでるｗ
[2435.174] lyo0822: どっせーい
[2438.350] qin_liangyu: MAXENDってKSK食べてたよね？
[2440.452] falaoh: 本田戦は貴重
[2441.107] (S)tabibitox: はんずぼん
[2441.508] une3333: はんずぼーん
[2445.161] runtasusu: この人の本田 職人よなぁ
[2448.829] (S)user81023: umeYay
[2449.294] x_abu_xx: オワちゃんは食べた
[2450.748] (S)lutz001: カゲ使うと海外勢も喜ぶ
[2451.927] (S)kwsk3: 寒くないのかい？東京は
[2452.387] (S)ukiyo55: 夏
[2458.435] (S)のぶ_: ごめん
[2458.717] une3333: 「ごめんちょっと....」
[2458.939] hato_pizza: きた豆乳本田
[2459.675] (S)多抜深夜: 流石に？
[2460.970] ﾔﾐ: 寒いよねぇ？
[2464.122] (S)user81023: umeYay
[2464.640] (S)titilrin: 本田の人待って
[2465.129] morisaki1996: 今日くそさむいわ
[2465.716] (S)kwsk3: ごめん！
[2466.020] runtasusu: 豆乳さんも待ってる
[2468.593] qin_liangyu: MAXENDの上のやつ食べてほしい、三太郎
[2471.955] (S)ジノジュグ: 寒いよ
[2472.424] (S)hayama01: umeYay
[2473.510] zanpei501: さすがに？
[2474.974] une3333: 間に合ったーｗ
[2476.552] だわさワサワサ: アケコン切り替え間に合った
[2477.981] (S)tabibitox: まにあたｗ
[2478.483] (S)kwsk3: まにあったか！
[2481.693] kumatedd: あっぶなｗ
[2482.526] 不渡哲也: ちょっと寒いから家帰るね〜
[2488.697] (S)チョコミんト: へっる
[2493.403] x_abu_xx: 棒にね
[2494.378] さくら0: ksキャラ
[2494.629] lyo0822: ボタン配置って一緒なのね
[2498.684] zanpei501: ウメヌキと他2人
[2502.771] (S)のぶ_: 京都は暑いぜ
[2502.826] (S)kaigaizei: これカゲきついんだよね
[2514.756] (S)チョコミんト: 2か
[2517.345] だわさワサワサ: まくるかー
[2519.396] runtasusu: まくるねぇ
[2521.924] (S)多抜深夜: まくっちゃった
[2530.129] matsu_zalem: お年を召されてるな
[2537.156] daiki_the_beast: 勝つのか
[2540.395] だわさワサワサ: のんのん
[2542.239] x_abu_xx: カゲで触るの大変そう
[2555.437] 無心に: ワンターン
[2556.177] (S)hayama01: パチンコでごわす！
[2562.257] videoneon: dugo
[2563.631] videoneon: yo
[2567.294] (S)maddy2623: 歯磨き粉じゃーい！
[2568.448] daiki_the_beast: このカゲ大会で見れないの残念だなぁ
[2573.031] une3333: 本田にもスキル２なんすね
[2581.472] falaoh: この横綱強いね
[2589.219] stomachbb: 立ち回り嫌らしい感じで強い
[2589.357] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます。未登録のかたは こちら参照ください → https://bit.ly/2YE2nLB
[2599.571] sahaha213: 今日雪山やるって言ってました？
[2620.522] (S)titilrin: ホンダの気合なんちゃらって 何？ゲージ溜め？
[2620.839] (S)多抜深夜: 一度雪山トレモしてほしい
[2624.389] une3333: おわーーｗ
[2627.170] (S)tabibitox: うまｗ
[2627.690] (S)多抜深夜: つええ
[2631.075] (S)チョコミんト: 歯みがき粉じやー
[2634.770] (S)000105: bababa
[2636.568] falaoh: かっけええ
[2639.874] daiki_the_beast: vスキルは張り手強化だよね
[2640.631] une3333: タメなし頭突きつえー
[2649.309] stomachbb: 見てる分には本田ってちょー面白いなｗ
[2651.150] diediedying: カワノのメモ笑ったわ
[2653.678] diego_ohunabara: umeYay
[2654.236] 筋トレ職人: 三ちゃんは夜起きるって言ってたな
[2654.829] une3333: zzzz......
[2658.018] ﾔﾐ: ホンダの事思い出してる
[2662.338] Eigyotyu440: 在宅でウメちゃんを見られる幸せ
[2673.638] diego_ohunabara: umeCat2
[2673.788] x_abu_xx: ガイルならなんとでもなりそうだがカゲだと…
[2692.858] runtasusu: テレワーク需要を叶えるプロ
