[24.304] alyncoo: k4sen5ban
[811.817] szvq: まさかヘッショいるやつか
[812.395] wkouhy: UBI今大炎上してるよ
[819.334] liliy4587: ダウンロードなう
[819.814] rito_0550: 誘おう
[821.363] keetun50: ほぼcod
[821.367] riandu_: 命めちゃめちゃ軽いから気軽に遊ぶFPSとしては十分すぎる
[824.827] daichaaan12: アサ、クリ
[830.234] shiomaneki95: もうこういうゲーム流行らんやろ
[831.283] koke__kokko: 流行らせてくれ
[832.410] がみちゃそ: 無料だぜ
[839.263] szvq: ランクシステムあんのかなー？
[839.989] わに22: このマップ暗すぎない？
[840.890] (S)らた茶湯: 結構正統派fpsな感じ？
[840.957] momotqross: カスタムとか開かないと同接取れないしやらないかな
[842.574] 蒼守: 早くちゃんとしたランク実装して欲しい
[842.979] とらよぴ: 流行らせてくれボドカさん
[845.809] Aug_Leaf: しかも日本関係なんだよな 
[845.997] riandu_: ランクシステムあったよー
[846.380] gavrosu: アサクリとこれは別だから…
[847.798] ぴーこ3: ね
[850.967] buriyamaburio: 無料でできるCODぐらいの印象だから流行らなさそう
[851.365] ninjinoishii: 公式がk4senに案件投げれば結構来そうだけど
[853.297] (S)激ローメタモン: steamでたらでかいな
[854.057] まぼう: これpcオンリー？
[856.619] gogen_g: 出さんやろ
[859.264] Yozora_27: なんで炎上？w
[861.666] kigynghr: なぜかマッチングしなかったんよな
[861.743] MaoHakuro: ハイパーエスケープだっけ？UBI。
[861.875] siki772: ボドカがストリーマーに流行らせればワンチャンある
[870.430] (S)yose29yose: PS5あるよ
[871.814] szvq: 今のところpc/ps5/xbox
[874.652] horryyyy: やった感じおもろい？
[874.887] riandu_: 無料ゲーなのに炎上すんの？ｗｗｗｗ
[876.045] オマワリ: ファッキン無料だと…！？
[878.460] (S)na7o_akr: これでボルトルームカスタム開催されないかな
[879.090] Z1M4C4N: 懐かしいこういう感じ
[882.267] がみちゃそ: ボドが生殺与奪の剣を握るんだ
[882.477] (S)homuhomuqb: どう？新作ゲームおもろいんか？
[888.200] shiomaneki95: 常に60点のゲームを作る会社
[901.357] riandu_: まじでCOD好きなら全然やれるこのゲーム
[902.050] mob_9: スナきつそうだな
[902.424] siki772: 炎上してるのこのゲームじゃないよ
[904.344] まぼう: PS5でできるの！？教えてくれてありがとう 
[904.367] Alter_8: キーマウのほうがうまくできるんじゃないか
[910.809] Aug_Leaf: ハセシンとかやらんのかな
[911.055] オマワリ: このゲームでボドCUP開催まで見えた
[919.172] gogen_g: Ｒ６Ｓの時スチームで出していき吹き返したのに新作はスチームださないのめちゃ頭悪いよな
[921.393] rqlys: キーマウの方が当たりそう
[924.982] riandu_: 炎上これじゃないのねｗややこしいなｗ
[925.602] レンピ: 結局shatter lineも似たような感じだったもんなぁ
[928.704] gavrosu: このゲーム初動いい感じ、ここからTHEfinalsルート行くか流行るかはわからん
[938.464] がみちゃそ: PADアシスト低いと聞いたが本当か？
[943.376] kigynghr: SRは難しそう
[944.408] 4ri00ri0: これペイロードみたいな感じ？
[945.127] yasutaka_000: ドミネとかあるの？
[948.845] とらよぴ: このゲームリロキャンありますよ
[955.606] Chinmori: 透明化つえぇぇ
[965.247] mob_9: 弾ちっちぇえ
[968.644] dyamanday0: 球が小さそう笑
[973.036] riandu_: スコープめっちゃよくなってる
[973.925] momotqross: てかハンショ多くね？
[974.874] rushhikakinzz: 現役バリバリpadでやってた人にキーマウの方が良さそうって言ってるのおもろい
[977.931] NeuRose_iw: SR強すぎないのはいいね
[982.759] モチモチモチモチ: 初見です。ボドカさんとこのゲームで戦えたから満足
[984.927] gavrosu: キーマウのが強いのかな？
[988.530] n1cheee: UBI
[991.549] がみちゃそ: Finalsやめてね
[992.375] daichaaan12: コラテラル♡
[994.624] bell_0w0: 実際このげーむおもろい？
[1000.165] gudaplay: アシストはベータの時色んな意味でやばすぎて調整入った
[1003.001] J0hnYeah: 呼吸で揺れるタイプかー
[1004.107] (S)na7o_akr: 久しぶりにコラテラル聞いたわ
[1005.254] ごじゃっペ: padアシスト変な感じしてマウスにしました
[1005.900] n1cheee: UBIのゲーム、エイムアシスト無いイメージある
[1012.907] 4rmy_o: L9knew懐かしすぎます
[1018.122] knokofuji: 呼吸止めれないんですか？
[1027.020] ywhale: Riddle勝ったねよかったねー
[1027.131] (S)na7o_akr: padのアシストベータから変わったの？ベータめっちゃ引っ張られたけど
[1028.741] oliveoil3125: steam来たら起こしてくれ
[1029.315] (S)yappy361: めっちゃグラフィックいいね
[1029.501] gogen_g: ファイナルズもチート祭りだしな
[1031.671] syokakuda: inabaのクリップ見たくらいだけどいい感じの既視感でおもろそう
[1039.940] momotqross: おもろいのと流行るのは違うからな
[1043.485] ~MISSING_COMMENTER_INFO~: codの凸砂
[1049.739] oppeke0425: これSTEAM板くるかな
[1051.018] hex65535: 芋
[1052.702] tibaan: 星野源がnhkの林田アナと不倫してガッキーと事実離婚状態って事に驚いた今日この頃。俺の救いは貴方だけだvdk
[1066.125] J0hnYeah: 敵のフラッシュがちゃんと見難い
[1070.345] りょうちんいずごっど: 距離がSRの距離じゃない気がするよねw
[1072.399] Aug_Leaf: steam版きたらまたふえそう
[1077.406] daichaaan12: まぁ、ファイナルソードよりかはオモロいやろ
[1077.626] and1285: vに案件飛ばせばワンチャン流行りそう
[1079.167] szvq: 引っ付きすぎたらおもんない
[1084.591] がみちゃそ: steam版はないやろな〜
[1096.286] Nine_Triple: え、これsteamないのか、、
[1111.648] Juicewisdom: axeumSip
[1113.140] prpr_friedrice2: その分当たった時気持ちいいだろな
[1117.972] YoungXRP: ハイライズみたいなMAPやな
[1123.729] がみちゃそ: 撃ち合いは普通に楽しそう
[1127.956] hatanuzi: クイック流石にむずそうね！
[1139.600] gavrosu: エイムアシスト全然なさそうね
[1147.832] tetsu11_11: このゲーム弾が曲がって飛んできた
[1153.886] JettyKenty: Obey_Vodkaどこいった
[1156.068] がみちゃそ: MP5だ！！！
[1157.397] Axela_ur: そろそろObey Vodka宿して
[1164.241] hex65535: 初代BOみたいな撃ち合い
[1166.633] グリフォンです: kudaみたいなアイアンサイトあるやん
[1169.917] ぽににに: 真ん中におくたんいる
[1170.437] dake0923: ww2とどっちが面白い？
[1173.609] yasutaka_000: 正直CoD高いし容量食うし、無料でできるならやってみようかな
[1174.574] Yozora_27: リスポ早いゲーム好きだわ
[1180.534] にゃんた先生: Lexy Vodka
[1182.237] prpr_friedrice2: マップの作りいいな
[1182.794] YoungXRP: L9knewどこいった
[1183.497] pika0427: わお
[1185.995] セブンイレブンバイト: ないすう
[1186.707] aklife11: うま
[1187.147] aiudesu: つよｗ
[1187.839] Alter_8: 硬すぎず柔らかすぎずで好き
[1188.095] kni_ookame: 走ってる敵早すぎてエイム追えなかったわ
[1189.612] がみちゃそ: 無料でできるCODならやるだろ？？な？？
[1192.162] maplewatt: エイムアシストしっくりこなくてキーマンでやってるわ
[1195.240] J0hnYeah: 最後うま
[1195.308] らくしーーー: codみたい
[1195.398] ただのともや: 元COD制作陣が作ってるんだっけ
[1198.564] 96nowa: そのウルト近いとワンパンだっけ？
[1202.775] Yozora_27: なーいす
[1206.306] NeuRose_iw: 無料でここまでやらせて貰えるだけでありがたいよ
[1206.762] dake0923: ww2とどっちが面白い？
[1209.800] gogen_g: 若干安っぽいのがな
[1210.663] 蒼守: 頼むCODのライバルになってくれ
[1211.765] Axela_ur: キャラがパッとしなさすぎる
[1212.032] bochan10109: おもろそう
[1213.500] otintamao: これは流行りません 
[1214.751] musyaseth: このゲーム今のところ評価はどうですか？
[1217.006] 横のタコ: こういう系のFPSまだやれるんか？
[1217.821] mash_0w0: codとow合わせた感じ？
[1222.171] gavrosu: 無料で出来るCOD系あんま無いからやってみたいな
[1224.412] PabronGA: ULT強いけどコスト重いのいいわ
[1228.049] shiomaneki95: じゃあ安っぽいんじゃん
[1228.815] oliveoil3125: ピクニックみたいな格好で銃鬱な
[1230.559] Alter_8: イベントの二次会でやったら盛り上がりそう
[1231.615] momotqross: 安っぽいなw
[1232.416] とらよぴ: UIがなんか安っぽく感じる感はある
[1232.897] rqlys: 作った人ってcodゴースト作った人だっけ？
[1234.172] pika0427: 安っぽいのが嫌ならcodやったらいいよ
[1234.590] イナムドゥチ: 初期のvaloのほうがじゃない？
[1237.438] daichaaan12: 銃声が軽い
[1238.246] oppeke0425: steam版きたら少し流行りそう
[1238.462] tasumaniadv: 初めて見た時は思った
[1238.475] ぽににに: らんくないの？
[1240.008] hafune90: ヴァロはあのトゥーン調に慣れちゃった
[1240.737] yokiki2: どうですか？このfpsは
[1242.784] kamiyan325: UBIって感じだよ
[1242.992] szvq: このクオリティーならps4リリースも早いか？
[1243.868] sjdhkcysk: steamきたら多分やるわ
[1244.344] siki772: 無駄に重いより全然いい
[1245.798] yebisu_11: bf4に勝てますか？
[1246.318] fbdoc321: 雰囲気が中華っぽくない？
[1248.948] aklife11: プロとか出てくるのかな？？
[1249.372] ninjinoishii: キャラがちょっとダサい
[1250.966] gogen_g: いやあ
[1251.443] がみちゃそ: 無料だからグラに拘るなってこと
[1251.663] YoungXRP: ゴーストなんか。。
[1252.521] セブンイレブンバイト: おもろそうやけど一ヶ月で飽きそう
[1256.712] daichaaan12: 無料ま！？
[1257.291] rushhikakinzz: これを安っぽいって言ってる奴らデザイン知らんのかな
[1258.182] dake0923: ww2とどっちが面白い？
[1258.222] aroearoearoe666: キーマウの方が操作感良さそうですか？
[1259.422] gavrosu: それはそう
[1260.809] gogen_g: やってるぞ
[1263.340] fuyx4: UBIのゲームって感じ
[1264.405] pika0427: 無料のいいところ
[1264.524] モチモチモチモチ: これはめちゃくちゃ面白い
[1266.312] wh1skey_55: こんボド 
[1266.608] (S)らた茶湯: ガンスミスあるのか
[1270.739] まれ8: 結構楽しい
[1271.643] yasutaka_000: UBIログインできるかなｗ
[1272.752] ただのともや: 普通に良ゲーだよ
[1273.505] 命の代償: BO4の方がおもろかったです
[1273.598] clots75: もうやったぞ
[1275.050] toy_box02: 否定から入る人ってなんなんだろうね
[1276.118] がみちゃそ: 取り敢えずやってみるよぼど！
[1277.050] monry_v7: 見た感じおもろそう
[1277.993] momotqross: これは流行らない、俺はおもろいとは思うけどこの手のゲームは日本じゃ厳しい
[1279.433] Axela_ur: bo5が空飛んだらcodやる
[1279.625] kenny_0707: 既に日本語化されてるしな
[1280.481] tetsu11_11: サブでするゲームとして好き
[1282.046] (S)na7o_akr: valoも初期日本人に絶対に流行らないグラフィックってうだうだ言ってた人多かったけど結局そいつらもやってそう
[1285.144] J0hnYeah: 面白いか聞く前にやった方が早いよな
[1287.845] frappe0315: UBIクオリティ？
[1296.577] kni_ookame: BFでもやってろでいいんじゃないか
[1299.502] TY_ul1012: www
[1302.205] konnyakuna: それな
[1303.967] foldonigzit: そうだよ
[1305.590] ただのともや: 確かに
[1306.167] 横のタコ: ヴァロが流行るなんて思ってもなかったわ
[1307.090] gavrosu: 流行る流行らないはまじでわからんぞ
[1307.576] yasutaka_000: ゲーム流行の専門家の意見ですか
[1309.936] szvq: タイミングと運だね
[1311.990] がみちゃそ: 競合がいるかいないか
[1312.028] ダイナミックモーブ: ベータからやってるけどおもろいし調整でメタころころ変わるからいいぞ
[1312.649] dsadadadsdda: タイミングと運
[1312.800] たてお: 評論家もいます
[1313.796] gogen_g: ヴァロは競技性高めるためにああなってるだけやしな
[1313.920] rushhikakinzz: 日本人向けの空気読みってゲームは流行ったのか?
[1314.524] TY_ul1012: 運はまじでそうだと思うw
[1320.230] 日向りょう: 運とどれだけ長くサービスできるかだろうね
[1322.113] (S)na7o_akr: apex流行ったのコロナのおかげだしマジで運だよ
[1323.887] Aug_Leaf: そんなこと言ったらvaloだって出た当時流行る要素なかったやろｗｗｗ
[1325.950] mugishuke: 配信者がやるかやらないかじゃない？
[1328.013] atom_aaa8: 今北やけど面白そうか？
[1332.840] がみちゃそ: VALO絶対流行らないと思ってたわ
[1334.764] Alter_8: ヴァロもウォチパで盛り上がったしな
[1336.669] gavrosu: スイカゲームとかが急に流行るんだぞ、なにがあるかわからん
[1337.261] ゆぃたむ: 世間が無料に慣れすぎてクオリティ求めすぎてる感
[1341.309] 石原さとみの左足薬指: ぶっちゃけストリーマーの間でどれだけ流行るか
[1342.435] Aug_Leaf: ｗｗｗ
[1343.621] tomonsuto: 新作出るとFPS評論家わらわらしてて笑う
[1343.829] foldonigzit: valoは流行る要素なさすぎた
[1344.529] ninjinoishii: 何故かOWか一瞬流行ったしマジで運
[1349.848] VoL_xll: このゲーム普通に好きだし面白い
[1350.175] yasutaka_000: とりあえずダウンロードしてやってみるわ
[1354.222] daichaaan12: 今のゲームは出だしより伸ばし方だよ
[1357.624] dsadadadsdda: エペはコロナのお陰でブーストしたしな
[1361.213] てんちょり: 🥸
[1362.385] shirochan_nel: codでええんちゃうの？
[1365.156] szvq: バトロワ疲れやろ
[1365.231] konnyakuna: 世界的な流行りはちゃんとしてる感じあるけど日本はまじて運な気がする
[1366.875] TY_ul1012: 流行りがわかるならゲーム作った方がええ
[1367.288] ftchinbk: 配信者がどれだけ続けるか
[1371.308] takadon03: でもUBIだよ
[1371.998] がみちゃそ: コロナ禍はどう森最強だった
[1372.862] kimosuko: the finalsの二の舞で即オワコン確定
[1374.882] risettto: まじPADをエイムで分からしてみたい
[1376.991] kni_ookame: 映えが大事
[1380.600] (S)na7o_akr: まずvaloなんかのCSがないゲームが流行ったのがすごいわ
[1380.995] suzukimotuo: 配信者がやっても流行らないゲームもあるし、どうなるか分からんね
[1381.326] and1285: じゃあcodで良くね？って言っとこう
[1384.087] clots75: apexの初動はやばかったけどな
[1384.532] Axela_ur: AR連射してるのボドカ視点見てる感なさすぎる
[1386.847] るあさんです: エペ流行ったのもCod終わったからでVALORANT流行ったのもエペ終わったからやもんな
[1386.906] gogen_g: 割と最初からみんなやってたぞヴァロ
[1387.429] ただのともや: VALO初期の方、この手のゲームはもう流行らんって言われてたしね
[1389.043] へこーら: これ無料のCoD？
[1391.328] mugishuke: エペはフォトナが自爆したのがデカい
[1395.024] koke__kokko: 火
[1396.249] norimakidesu_: これ会社UBIなん？
[1397.399] siki772: そいつ弾当てられると継続ダメ
[1397.816] PabronGA: dotじゃね
[1398.350] keisuke893: 釈迦も格ゲー流行らんとか言ってたしな
[1399.116] mob_9: シージとかまた流行ってくんねーかなー
[1400.648] fuyx4: finalsなんてゲームあったなw
[1400.749] gavrosu: CODは金がかかる、これは無料
[1400.908] バルサミコ酢: 炎
[1401.069] ふんおじ: 屁
[1406.886] 横のタコ: それはそう
[1409.079] kni_ookame: 延焼ダメージ
[1411.933] がみちゃそ: たしかに
[1414.400] daichaaan12: フォトナはスプリット変わらなければ、、
[1415.121] camcampop: apexも最初はPUBGのぱくりだの言われてたし
[1419.532] tetsu11_11: フォトナのタピオカでAPEX始めた
[1419.725] VoL_xll: ボドカさんともやれたりするからみんなもやるべき〜
[1420.017] あんでぃい: それもまた選択
[1425.592] yat2244: なんならUBIのシージとか1年下り坂だったけどなんか流行ったしな
[1429.727] てんちょり: 何があるかわかんないわけですわ
[1429.758] szvq: プチプチきもちええな
[1432.270] H1ntek: 銃声気持ちい
[1433.744] mob_9: フォトナのスプリット1はマジでおもろかった覇権だった
[1438.867] 千原セージー: プロ？？
[1438.932] ゆぃたむ: 1回人口落ちてきたかなって時に何かで人口もっかい増えたら流行るかん
[1439.648] tikuwa2911: 大会見てておもろいのは流行る
[1440.196] yasutaka_000: キルの音良いね
[1440.333] (S)na7o_akr: つっよ
[1440.876] 蒼守: 日本のCOD競技シーン消えちゃったからこのゲームの競技見てみたい
[1441.719] aburaage789: うわこの感じ良いわ
[1442.495] Nine_Triple: まあ、UBIだからなぁ、。一番の懸念はこれだと思う
[1442.740] horryyyy: いいね
[1444.565] kakatte_koi_king: うっまw
[1445.940] sakuraisatorujp: 大チート販売業者楽しかったけどなえぺ
[1448.333] syatyo_sk529: コロナ禍で良いFPS無いかなーってときにapexあったから運も良いね
[1449.030] leeedss29: うますぎ
[1449.930] (S)うるふっ: うますぎ
[1450.427] oliveoil3125: 自爆したbf民達はどこへ？
[1450.474] gavrosu: フォトナもまだ全然流行ってるしな
[1453.726] 千原セージー: うますぎ
[1457.968] ダイナミックモーブ: 打ち方CODすぎｗ
[1460.636] ippanzinndesu: 普通にうまくておもろい
[1462.343] はやこ__: マークスマ強いよ
[1470.854] pontanu87: UBIはゴーストリコンのまともな新作出してくれ
[1471.612] へこーら: 無料のCoDならこっちでええやん
[1477.537] がみちゃそ: 銃のスキンとかあるの？？
[1480.695] くりここ: スコストある？
[1484.673] consensus_low: 君がそう考えるならそう思っておけばいいよ
[1485.711] yasutaka_000: これってコンシューマでは発売されてるの？
[1487.803] gogen_g: コンバータ買ってくるか
[1488.891] ryo02144649: 砂むずそう
[1490.831] daichaaan12: スキン気になるな
[1493.780] あんでぃい: こういうのでいいんだよ。
[1493.989] がみちゃそ: スキンうおおおおおお
[1496.952] szvq: 古参スキン買っとこう
[1513.352] gavrosu: バトルパスの使用は気になる
[1514.721] ゆぃたむ: 集金も上手いこと行けばサ終は間逃れ
[1515.811] ninjinoishii: steam来たら触りそう
[1521.308] gogen_g: ubiが本気で運営するならやる価値ある
[1522.577] がみちゃそ: 古参スキンは価値上がるぞ
[1524.361] and1285: UBIはゴーストリコンの新作中止してこのゲームに力入れるらしいね
[1524.995] yasutaka_000: リコン見やすくて強いな
[1526.277] hatanuzi: 自分の体力わかるのいいね！
[1526.496] takadon03: 新キャラのアンロック方式によるなー
[1526.927] Chinmori: 5v5あったらおもろそう
[1526.940] asdrewqtyi: 流行りそう？
[1528.726] kisaragi021: CODやんやりたい
[1531.206] shiomaneki95: ブラックアイスとかあったら人気でそうって思ったけどr6sユーザーはやらんか
[1533.391] たままる: 壁抜きある？
[1535.614] mob_9: スナだけなんか弾ちっさくね？
[1538.140] ftchinbk: ｳﾙﾄﾗ溜まったぞ！！！
[1538.705] aburaage789: このゲーム基本無料ってマジ？
[1540.359] gogen_g: 本気じゃないubiは本当にゴミだぞ
[1541.352] Chinmori: 5v5ある？
[1541.971] 六花_____: めちゃくちゃ楽しそうやなこれ
[1542.776] スワンプ: ウルトラレディー
[1553.850] gogen_g: らしいね
[1554.295] 横のタコ: 割とBO3を彷彿とさせるな
[1554.841] ただのともや: ワンチャンある
[1555.169] redstone0309: アルティメット オクタンで草
[1555.357] がみちゃそ: シージがわかんねぇや
[1558.048] szvq: BloodTrail
[1560.566] Alter_8: ウォッチドッグスとかいるぞ
[1564.524] あるるん2971: タチャンカ待ってるぞ
[1566.107] ゆぃたむ: シージはまずくるよね
[1572.831] dododogonzo: サーチあったら最高やん
[1574.838] gogen_g: なんかこの水族館bo3っぽくねｗｗｗ
[1576.830] ecozarashi_ez: シージは新兵集団になったらおもろい
[1578.050] shiomaneki95: コラボ担当アッシュタチャンカ
[1582.746] Axela_ur: 飛ばないぼみはぼみじゃない
[1582.938] szvq: 命の軽いowか？
[1583.535] 横のタコ: つっよ
[1586.655] 六花_____: 最近カジュアルfps下火だし流行んねぇかなぁ〜
[1588.381] aiudesu: キーマウあり？
[1588.433] daichaaan12: ！？
[1588.448] tetsu11_11: うっま
[1589.270] ryo5ke_n: シージのキャラは来ますよ、既に発表してたはず
[1591.343] mob_9: タチャンカくるだろうな
[1591.543] ごじゃっペ: ウルトなくなる
[1591.843] siki772: このウルト楽しいよな
[1592.078] olaf_cocoa: 射撃訓練所にシージ要素あったからきそうではある
[1592.576] koke__kokko: うっま
[1596.919] Yozora_27: うめえ
[1597.680] mochimal_oo: きもちよ
[1598.515] しーせ: アナイアレイターうまいね
[1600.079] meguru0219: アナイアレーター？
[1600.779] ただのともや: うま
[1602.149] ダイナミックモーブ: ウルト最高や！
[1605.157] gogen_g: BO3のaquarium感
[1606.863] wasabijou031: つっよ
[1607.468] Alter_8: こーれイージーウィンです
[1607.860] スワンプ: チーターの気持ちが分かるウルト
[1608.034] がみちゃそ: サーチ的なモードあると俺的に嬉しいんだが
[1608.068] decoy_55: てかうま
