[18.253] kiiroiinu88: O
[50.305] (S)mizore_ame: こんばんはー🙌🙌🙌
[50.335] (S)makiwoooo: geroki1Nekoirasuto
[50.514] 귀염둥이카페시비르: geroki1Punch
[50.554] pelican666pp: ゲロさんのバニーガーデンおもろそー
[50.742] (S)aobexxx: geroki1Kao
[50.956] (S)swimkinpop: geroki1Dance
[50.971] konpasuta: こんばんは！！！！！？！？？？！
[51.193] (S)zoba_57: えっど
[51.224] ohani_2525: こんばんは！！
[51.435] (S)ren_noze: ワイプは！？！？？
[51.532] Hiyori__123: やったー！
[51.622] kallone28: geroki1Punch
[51.625] (S)どげざぷろ: unkochanYaa
[51.863] wazukanin: やあ
[51.872] (S)saaaawa: まってたわ
[52.039] (S)まなみ_____: ！？
[52.070] nanohana20: げろちゃんこれやるの絶対おもろいやんw
[52.074] ocha72525: らぶりーちゃん
[52.078] npa_a: 即終了やろ！
[52.159] ika_poppo_chan: バニーガーデンと聞いて
[52.312] tana_nico: こんばんは
[53.189] (S)ラストサムライ福田: unkochanYaa
[53.197] mmhr0000: やあ
[53.626] (S)wanwan_5: うおおおおおおおお
[53.790] きちくび: ワイプつけろ
[53.863] たこやきの中身: すぐ終わる配信きたあ
[54.498] yoshi356732: geroki1Yametene
[54.735] (S)nchan0321: きた
[54.811] (S)yoo_sa23: きたあああああ！！！！
[54.867] さいくつ: もう終わり
[54.961] terii303: やあ
[55.560] こう123: やったー！
[55.635] michiwwwwwwwww: こんばんはー
[55.727] solasidolex2: 即終了しそうな予感
[55.763] shinkoromo99: こんちゃ！
[55.965] 葵葉: にょっす！
[55.976] (S)コング_: geroki1Kawaii
[56.373] takemakichan: こんばんは
[56.390] (S)hibari_1104: バニーガーデンきちゃーーーー
[56.609] hitonastu: こんばんはー！
[56.860] (S)buchi27: geroki1Dance2
[57.315] tyoushitirou: 歌い手がやっていいのかwww
[57.523] kintaroame358: geroki1Yametene
[57.526] irumu_twitch: こんばんは！
[57.733] npa_a: やる前に終わるやろ笑
[57.935] eveningmist_: 真顔バニーガーデンきたああああああああああ
[58.137] osarutaicho: geroki1Yametene
[58.173] togep1__1: カメラなし？
[58.364] raru_004: やぁ
[58.425] (S)poyo_jj: geroki1Kawaii
[58.573] eenn_25: きたああああああああああああああああ
[58.790] merahi_u: バニーガーデンきちゃ！！！
[58.794] (S)ten76558: やぁ
[58.823] おあげつきわかめうどん: geroki1Yametene
[58.864] satoeee: ワイプ
[58.998] ojaruman: やあ
[59.007] torao_k: こんばんは
[59.105] (S)nyon_1026: ニヤけたら即終了wwwwww
[59.774] (S)ymk__jp: geroki1Kawaii
[59.865] yu00u: こんばんはー！！
[60.193] ばんじょい: やあ
[60.448] (S)0oo0_p: こんばんはー！
[60.621] sakura_yrsk: wwwwww
[61.184] dara_0000: こんばんは
[61.264] 霧雨振掛: タイトルでニヤニヤしてないか？
[62.030] rikurikusong: ラブリーちゃんバニーガーデンま？！
[62.075] kinakomochinko: もうニヤけてそう
[62.096] (S)zoba_57: 女おとすべ
[62.265] andante_mii: どすけべゲームやんwwww
[62.476] rxrx2525: 即終了しないで
[62.488] (S)迷子の社会人: こんばんわ
[62.694] strongzelo: geroも男だった
[62.918] (S)abe_lya: こんばんはー！！！
[63.639] (S)romshiyo: こんばんはー
[63.706] ななみん0123: geroki1Yametene
[63.845] (S)suzuno_26: こんばんはー
[63.880] ゆうちゃんっ: もうニヤけてる
[64.055] ocha72525: ニヤケたら終わるんwww
[64.648] usagiraran: こんばんは〜
[64.871] (S)チズケキ: フラグか？？
[64.989] mmmer117: こんばんは
[65.201] (S)mizore_ame: 可愛い子ちゃんがいるー🐰
[65.293] やっちょ: おわり！
[65.505] (S)みほちゃんんん: やっほー！
[65.977] (S)zoba_57: やあ
[66.153] yhg_g: ニヤけたら即終了？！
[66.931] (S)usagi_taiyo: こんばんは 
[66.936] ~MISSING_COMMENTER_INFO~: あ、
[67.175] (S)omaenoushiroda_0: うおおおおおおおおおおおおおおおおおおおおおおおおおお
[67.760] ぽぷぽぷ: どすけべらぶりーちゃん！！！！
[68.070] (S)umttmm: 飲酒した？
[68.212] atmgmwgs: きた
[68.276] hiromaro120525: こんばんわー
[68.299] terii303: おい！ゲロガールいるのに大丈夫か？！！？
[68.417] (S)hakudesu117: ばんちゃ！
[68.519] pinjky: こんばんわ
[68.573] pelican666pp: やあ
[68.639] (S)mitsuki2525816: 顔出し！
[69.108] (S)まなみ_____: ワイプ！！！
[69.764] (S)zoba_57: ニヤニヤ
[69.945] くもくもりんりん: はい終わり
[69.952] reirei_bottakuri: ひろき女子受け気にしてやらないかと思ってたわ
[70.016] yae_karasu: こんちゃ
[70.265] さちゃん000: こんばんわー！
[70.283] npa_a: もうにやけてる
[70.420] ocha72525: もうにやけてますやん
[70.473] mochi963: きたー！
[70.496] きのこる大明神: やあ
[70.552] (S)wanwan_5: ワイプもうおおおおお
[71.080] mikigese: wwwwwwwww
[71.185] shinkoromo99: 一瞬で終わる予感しかせんな…
[71.321] しちゃまる: geroki1Yametene
[71.533] (S)みほちゃんんん: ひろきー！
[71.729] ぽん甫: geroki1Punch
[72.008] かすたみ: BloodTrail
[72.233] Hiyori__123: 誰とも付き合えなさそう
[72.518] atmgmwgs: やぁ
[72.623] (S)三色おだんご: こんばんは～
[72.823] koaru222: こんばんわ
[73.119] togep1__1: きた
[73.136] jugon4343: ニヤニヤ
[74.131] (S)eri200010: こんばんは
[74.205] muzoudokozo: どうせすぐ終わるぞ！
[74.318] (S)cochan417: 飲酒だ！
[75.576] 少々しょう: 一瞬で終わるやんwwwwww
[75.657] (S)omaenoushiroda_0: もう怪しいぞ
[76.268] tubugai_oishi: ニヤケてませんか？
[76.278] yuohayosan: クソおもろそうやから飛んできた
[76.838] shikaku_square: もうにやけそう
[76.884] (S)ren_noze: 即終了すな
[77.081] さいくつ: おつ
[77.216] あみのかるぴす: こんばんはー！
[77.286] (S)ten76558: ひろきなら即終了だろ
[77.293] aruha_0113: こんばんわー
[77.301] eenn_25: geroki1Yametene
[77.355] (S)torawoyukidaruma: こんばんはー 
[77.501] (S)mizore_ame: こんばんはー！
[77.572] rxrx2525: 即終了するのか
[77.631] npa_a: もうだめやん！笑笑笑
[77.729] (S)musshuuuuu: ニヤニヤ
[77.756] 0935stadium: もうアウトじゃね？
[77.778] ocha72525: こんばんは
[77.855] (S)へのへのへのもへじ: にやけてるｗｗｗｗ
[77.904] (S)piestmaru: よ 
[77.944] kuma0_0927: もうニヤけてない？
[78.333] ごーぐる: こんばんは！！！
[78.395] あゆに: もうアウトで草
[78.434] (S)かん69: 一瞬で終わるのは勘弁な❗️
[78.512] (S)kohaku_sazanami: ニヤケたら想像即終了とか無理やろwwwwww
[78.541] はんぺん太郎: こんばんにょ
[78.555] iruka_no_iruka_kun: きんぜうー
[78.567] hitonastu: にやけとるで
[78.744] sakura_yrsk: 3分で終わりそう
[78.976] しらたま222: こんばんわーw
[78.978] zekki_zekki_: もうにやけてるやん
[79.406] lukadesuga: こんばんはー
[79.443] chinchinakachan: ( ﾟ∀ﾟ)o彡°おっぱい！( ﾟ∀ﾟ)o彡°おっぱい！
[79.516] (S)yuu_harugami: こんばんちゃー！
[79.631] 75tan: こーんばーんわ！
[79.658] (S)zoba_57: 何飲んでるんだ！？
[79.695] kenchi0122: もうニヤけてるやんけ
[80.253] なちゃん25: もうニヤけてる
[80.454] tenpaiobake: もう怪しい
[81.346] (S)イヨ__: こんばんはー
[81.353] ika_poppo_chan: もうにやけてんぞ
[81.360] (S)anyohazeboy: ニヤけてます
[81.517] (S)ten76558: もうにやけてる
[81.524] meimeimiko: ぴろきー
[81.893] tyoushitirou: 神回やんweww
[81.947] ようですよ: もうあうと
[82.102] ocha72525: 終了です
[82.135] いぱれ: もうアウトやん
[82.138] (S)saaaawa: え？もう？？
[82.435] (S)iiiiiipi2723: こんばんは 
[82.923] (S)とらおさん: geroki1Yametene
[83.093] まなぴぃちゃん: こんばんわ！
[83.123] reirei_bottakuri: 今ニヤついてない？
[83.143] aruha_0113: こんばんちゃー
[83.188] (S)ymk__jp: もうにやけてない？ｗ
[83.241] ojaruman: もうわろてるやん
[83.375] (S)zoba_57: えっど
[83.422] こいだま: すぐニヤけるに100票
[83.759] (S)hirunaruna: ワイプありがとう！！
[84.057] kami1157: やあ
[84.586] uhhhhooooo: 5分で終わるじゃん
[85.048] (S)iwaminn_22: もう怪しいかも
[85.169] (S)みほちゃんんん: geroki1Kawaii
[85.177] しらたま222: geroki1Punch
[85.234] nanohana20: おつ！
[85.273] yukimiomochi: にやけとるやろwww
[85.280] nutsbon0527: こんばんはー
[85.506] gaogaoumaizo: こんばんはぁー！
[85.728] keeeeeeeeei_13: こんちゃー！
[85.904] (S)ちゃろまま: こんばんは〜😆
[86.053] eenn_25: もうアウト
[86.115] (S)mussannnn: まってた！
[86.115] konpasuta: ニヤニヤ
[86.548] (S)ten76558: もうニヤけてるよ
[86.548] raru_004: 純から来たぞ
[86.780] ohyohyoseijin: geroki1Punch
[86.851] paqu_haruka: こんばんは！
[87.073] cat5c: すでに
[87.094] ペロペロンオチンチーノ: 遂にバニガに手を出すのか⋯⋯金城！！！
[87.218] uribo_3: こんばんはー
[87.662] npa_a: ちょっとニヤけてるやん！！！WWW
[87.776] andante_mii: もうにやけてるじゃん
[88.268] hitonastu: もう無理やん
[88.270] かすたみ: wwwwwwwwww]]
[88.271] yhg_g: ニヤニヤ
[88.319] ~MISSING_COMMENTER_INFO~: もうにやけてる
[88.474] oguogu44: 伝説になってくれ
[88.686] ayaa_se2: ひろき小さくない？？？
[88.884] mumindaniel: こんばんは！
[88.923] mugicha1072_: W
[89.339] (S)zoba_57: ニヤニヤするな！
[89.544] yu_u0005: 絶対面白い
[89.751] aruha_0113: wwwニヤついてんな
[89.898] tubugai_oishi: 真ん中の子どう思う？
[90.042] hako850: あ
[90.259] ayaraki15: 胸でかいw
[90.263] shoutan1996: えっど
[90.595] さいくつ: ニコ生主みたいな企画
[90.798] (S)risusiru: ニヤニヤ
[91.024] あゆに: にやにややんwwwwww
[91.061] (S)omaenoushiroda_0: これはアーカイブ残るか！？
[91.512] tenpaiobake: 終わりです
[91.647] shikaku_square: 弱すぎやろｗｗｗ
[91.684] (S)hirunaruna: にやにや
[91.737] 甘め: ニヤニヤ
[91.752] meimeimiko: 巨乳
[91.920] (S)まつば: こんばんは
[91.938] ぁだ: もう
[91.943] hypothesis20: あ
[92.056] (S)poyo_jj: もうニヤニヤしてそう
[92.093] 3ゆ: WWWWWWW
[92.262] mikage__22: こんばんは
[92.264] (S)usagi_taiyo: 萌え系ですか？ 
[92.454] cat5c: はっや
[92.456] reirei_bottakuri: あ
[92.466] s_yupi05: wwwwwww
[92.493] tubugai_oishi: あれ？
[92.622] adachi_p: あ
[92.708] ガンク注意報: ニヤニヤ
[92.708] (S)kometsubutsubu: わーい！飲みながら見よっと！
[92.912] kinakomochinko: あれ
[92.937] mugicha1072_: 笑
[93.095] きちくび: 終了
[93.305] (S)ten76558: ニヤけてる
[93.323] psgenkinai: なんかもうにやけてない？
[93.454] ibaranomajyo: なんじゃこりゃw
[93.626] andante_mii: アウトー
[93.667] ocha72525: wwwwww
[93.814] エレクトロ: あ
[93.879] ryusuke_uranishi: まーたガチ恋一歩手前勢を更に下がらせる事してる
[93.948] ohyohyoseijin: ニヤニヤ
[94.055] かすたみ: wwwww
[94.160] kanijunk: おつ
[94.305] pinjky: 既にニヤケてる
[94.359] kagaribi_0000: www
[94.535] ace1ace1111: 終了
[94.770] keeeeeeeeei_13: ニヤニヤ
[94.956] (S)ten76558: あ
[94.967] sakura_yrsk: はい、終わり
[95.012] (S)omaenoushiroda_0: あっ
[95.166] aruha_0113: あ？
[95.176] (S)cochan417: geroki1Dance2
[95.191] hz__o525: にやけてますやんWWWW
[95.270] さいくつ: ロバ
[95.306] ayaa_se2: うん？
[95.385] (S)hakudesu117: もうニヤけてるwwwwww
[95.422] kona_1435: ニヤケて即終了？？じゃあもう1分で終わるね、お疲れ様した
[95.476] shinkoromo99: はい、アウター
[95.638] なちゃん25: 隠しきれてないってＷＷＷＷ
[95.659] solasidolex2: にやけるなよ！！絶対に！！！！
[95.666] y_ua_n: あ
[95.873] lukadesuga: こんばんはーわーーわ
[95.888] ゆうちゃんっ: おっpいがいっぱい出てくるやつだ！
[96.157] npa_a: もうだめやん！
[96.726] mochi963: はい終了
[96.862] rxrx2525: 黄色がいい
[96.902] ocha72525: おいwwww
[97.039] moe_2514: こんばんは
[97.110] (S)ten76558: 終わり
[97.218] shoutan1996: でっかあ
[97.258] zekki_zekki_: もうむりやん
[97.275] かえでつばめ: もうだめじゃん
[97.333] 75tan: ひろきは右の子の見た目好きそうだねえ
[97.419] dara_0000: 口モゴモゴしとる
[97.446] (S)zoba_57: ？
[97.637] muzoudokozo: おわりっ！
[97.806] okashiya: w
[97.829] 汁無坦々麺: 今「ファイ」やってるぞ！！
[98.075] pelican666pp: やるゲームの落差がすごいw
[98.156] meimeimiko: そーゆー系ですか？
[98.383] nanohana20: 終わりやろこれwwww
[98.593] (S)ギャ: もうニヤけてんな
[98.673] atmgmwgs: ニヤケとるやん
[98.890] めめせー: もう終了
[98.933] sakura_yrsk: お疲れ様でした
[99.036] (S)hibari_1104: 今んとこどこのが好き？
[99.370] ika_poppo_chan: もう終わりですか？
[99.513] aruha_0113: 終了
[99.738] galm4: 口角いつもより高めだね
[99.795] hnksoooo: おい
[99.892] hitonastu: おわり？？？
[100.009] ohyohyoseijin: 終了です
[100.098] あゆに: wwwwwwwww
[100.207] か___: はい終わりー
[100.303] (S)ren_noze: もうニヤついてるだろ
[100.393] cheru0saaaaaaan: ずっる
[100.394] tyantu1: あ
[100.414] (S)ten76558: 皆解散
[100.447] npa_a: おわりーー
[100.574] (S)へのへのへのもへじ: ｗｗｗｗ
[100.596] (S)みほちゃんんん: にやつくな
[100.615] eenn_25: はい、アウト
[100.679] (S)zoba_57: ニヤニヤ
[100.790] ayaa_se2: 後ろ向いてどーしたの？
[100.947] (S)miena317: 後ろ向くのずるいwww
[100.995] kami1157: ロバ
[101.165] velvet_024: もう終了です
[101.265] (S)wowzowee: おつかれさまでした
[101.266] (S)mitsuki2525816: 即終了…
[101.728] s_yupi05: おしまい
[102.260] solasidolex2: おいwwwww
[102.291] pinjky: お疲れ様でした
[102.358] ごーぐる: 秒で終わるだろ
[102.398] kuma0_0927: 終わり
[102.431] (S)いけちゃむ: 終わりですねもう
[102.556] toyunai_2525: ニヤけろ
[102.620] riodagu: ニヤニヤしてるwww
[102.832] tyoushitirou: 終了
[102.917] (S)risusiru: 今ニヤけなかった？
[103.141] ocha72525: 後ろ向いてニヤけるなww
[103.165] andante_mii: ニヤニヤしとる
[103.392] (S)omaenoushiroda_0: おつかれ
[103.868] ようですよ: あうとやんww
[104.079] aruha_0113: 終了！！
[104.104] mumindaniel: wwww
[104.150] まなぴぃちゃん: もうすでにニヤけてない？wwww
[104.195] (S)poyo_jj: おわりwwww
[104.283] nayunayu_nnn: もうニヤけてるやん 
[104.360] simosidesu: はい終了
[104.550] (S)コング_: 終了？？
[104.594] きちくび: geroki1Yametene
[104.600] (S)ten76558: お疲れ様です
[104.761] あゆに: 終わり？wwwwww
[104.958] reirei_bottakuri: アウトです
[105.448] かすたみ: おつかれ
[105.616] shikaku_square: ムクムクしてきた？
[105.652] ika_poppo_chan: 終了です解散
[105.685] (S)まつば: どの子が好み？
[105.855] npa_a: 終了やでー
[105.857] ochiko115: 顔ニヤけてるやんwwwwwwww
[106.362] hyago1118: らぶりーちゃん、ヘビーレインじゃなくてこっちを選んだんだね…
[106.602] ごまつゆ: 終了
[106.607] rinrindf: もうあかんやんwww
[106.951] kanijunk: おつかれさまでした！
[107.195] マソ仔: もっとワイプでかくしろ
[107.417] meimeimiko: www
[107.431] (S)kohaku_sazanami: ニヤケとるやろwww
[107.663] koaru222: geroki1Punch
[107.990] Oreo9_monster: こんばわー
[108.087] shinkoromo99: アウトー
[108.118] ~MISSING_COMMENTER_INFO~: おわり
[108.278] (S)kometsubutsubu: おい
[108.514] terii303: もうニヤけてるやん
[108.627] (S)romshiyo: もうダメじゃん
[108.767] (S)ymk__jp: ｗｗｗｗｗｗ
[108.846] ぽぷぽぷ: 終わった？
[109.181] (S)かん69: ニヤけるな
[109.264] (S)hibari_1104: おいwww
[109.436] koratyo: 凛ちゃんおすすめ！
[109.445] atuitosu: geroki1Yametene
[109.465] notorious_aka: 流石にこれは見る！！純から
[109.669] npa_a: お疲れ様でしたー
[109.692] ペロペロンオチンチーノ: 透過しろ
[109.765] (S)poyo_jj: あうとやんwwww
[109.877] kitazima_tyousuke: おもんなさそうだわ
[110.995] raru_004: geroki1Yametene
[111.027] (S)hayakenta: wwww
[111.124] hiromaro120525: 後ろむくのダメでしょ！
[111.412] yukimiomochi: おつでした
[111.614] (S)hirunaruna: えっちなやつ？
[111.821] しらたま222: にやにやですか？w
[112.035] (S)misaponpo: おい！
[112.047] solasidolex2: ニヤケんなｗｗｗｗｗｗ
[112.199] 蛙の王様: 喜ぶな
[112.241] (S)ten76558: お疲れ様でした！
[112.535] (S)迷子の社会人: wwww
[112.762] meimeimiko: ニヤニヤしとるやん
[112.767] (S)cochan417: geroki1P
[112.913] tsu_broo0704: 今日くそビジュいいけど、もうニヤけてるじゃんwwwwwwww
[113.129] osarutaicho: 「悲報」リア恋勢滅亡のお知らせ
[113.163] (S)ren_noze: 終了です
[113.367] ocha72525: wwwwwwwww
[113.394] yu00u: wwwwww
[113.640] ayaa_se2: 終わりやんw
[113.746] (S)おぎゃわん: は？
[113.810] nutsbon0527: ニヤけたら終わる❓
[113.929] (S)nyon_1026: アウトwwwwwwwwwwww
[114.125] shinkoromo99: おつかれさまでした！
[114.171] riz0022: やったーー！！
[114.189] (S)umttmm: もうニヤいてるぞ
[116.091] qukra: たのしみだー！
[116.525] aruha_0113: wwwえっど！
[116.579] meimeimiko: www
[117.132] kuma0_0927: ワイプ大きくしろ
[117.286] ayaraki15: セクシー系？
[117.532] atmgmwgs: ニヤケんな
[118.081] zyrmos: にやけてますよ
[118.665] (S)makiwoooo: 面白くなさそうwww
[118.861] toyunai_2525: 大丈夫か？？
[118.883] ocha72525: 歌い手は神だからね
[118.983] sakura_yrsk: 歌い手なんでwww
[119.080] nanohana20: うどん歌っててなにを今更www
[119.137] きのこる大明神: 流行りだから一応ね
[119.269] 甘め: ニヤニヤｗ
[119.289] (S)mussannnn: おう
[119.533] (S)omaenoushiroda_0: wwwwwwwwww
[119.562] tohu_1103: お疲れ様でしたー
[119.731] ~MISSING_COMMENTER_INFO~: うんうん
[119.753] meimeimiko: 出たでた
[119.997] chama_live: はい
[120.062] ようですよ: geroki1Punch
[120.628] (S)iwaminn_22: geroki1GG
[121.445] かすたみ: か、せんのぱくりか？
[121.664] 3ゆ: おおーEMU
[121.772] (S)zoba_57: 何で後ろ向いたんだ？
[121.871] andante_mii: にやけてるやん
[122.092] mochi963: いないよ
[122.094] miko_x_o: gg
[122.680] ゆうちゃんっ: たったら終わりにしよう
[122.908] 75tan: パンチラ耐性ある？ねえ？？？
[123.087] hqrcaaaaa: もうにやにやしてますよ
[123.441] eenn_25: こびるな
[123.591] muzoudokozo: このゲームでニヤけなかったら人間じゃねえ
[123.619] mdmdmdmdmdw: ニヤニヤ
[123.637] 3ゆ: WWWWWWW
[123.824] meimeimiko: はいはい
[123.854] takitategohann: ドスケベ
[123.933] tsu_broo0704: お疲れ様です～
[123.943] Strelitzia_: あぅ
[124.009] ohyohyoseijin: はい
[124.048] hiromaro120525: 後ろ向くの禁止！！
[124.136] ごーぐる: 嘘つけ
[124.250] (S)wanwan_5: geroki1Yametene
[124.297] riz0022: ほう
[124.824] (S)risusiru: 歌い手だからな
[124.836] (S)tapitapi0114: geroki1Dance2
[124.932] Bellechaso: はい
[124.996] (S)ten76558: ？？
[125.049] (S)まなみ_____: ！？
[125.051] show15ta: おいもうニヤけてるやん
[125.065] npa_a: 歌い手かんけいないやろWWW
[125.084] ohani_2525: 素直
[125.123] (S)いけちゃむ: はい終了
[125.223] (S)slso18: あれ？？？？？？
[125.813] (S)ギャ: 始まる前に終わってるwwwww
[126.087] (S)hibari_1104: どこがや
[126.131] velvet_024: 即勃起するぞ！
[126.182] ibaranomajyo: おん？
[126.303] ocha72525: wwwww
[126.380] (S)三色おだんご: ほーん
[126.526] あゆに: 歌い手やからは意味わからんくて草
[127.036] tahdvdkdnd: ワイプデカくして
[127.805] meimeimiko: www
[127.984] (S)romshiyo: おお？
[128.020] (S)yuu_harugami: geroki1GG
[128.253] (S)コング_: geroki1Kawaii
[128.476] aruha_0113: wwww
[128.513] ujichankuyan: もうニヤけてますよ
[128.542] ごーぐる: 諦めろ
[128.983] violet_801: 歌い手だからね
[129.062] カルーア飲み夫: ﾆﾁｬｱ
[129.259] michiwwwwwwwww: おけ
[129.338] (S)ren_noze: ニヤついてるんs
[129.355] (S)hirunaruna: ん？？？
[129.458] マキシマス田中: ニヤニヤすんなw
[129.476] (S)ten76558: はい終了
[129.476] ぽぷぽぷ: へーーーー
[130.120] cal10045: えっど
[130.270] こいだま: ???????
[130.402] sichakamechaka: このままだとXでリポストするけどどうする？このままだとXでリポストするけどどうする？
[130.429] tenpaiobake: うんうん
[130.854] 17hina5: wwwwww w ww
[131.063] nano_gr: 無理だろ
[131.257] Bellechaso: ほう
[131.464] (S)みほちゃんんん: らぶりーちゃんだからね
[131.470] 3ゆ: ドスケベ男め
[131.657] sichakamechaka: このままだとXでリポストするけどどうする？このままだとXでリポストするけどどうする？このままだとXでリポストするけどどうする？
[131.674] 塩レモンティー: お紳士にならなきゃ
[131.854] tyoushitirou: wwwwwwwwwwwww
[131.910] npa_a: 男性ファンは？？？？
[132.062] (S)hibari_1104: geroki1Neko
[132.107] (S)nonoji0113: わーわーわー
[132.168] galm4: 歌い手のプライド
[132.288] mochic4n: あん？
[132.493] (S)ten76558: 諦めよ
[132.494] (S)yuu_harugami: もうむりだお
[132.699] aruha_0113: にやけてんな？
[133.007] (S)risusiru: ニヤけるわけがないよな
[133.162] sichakamechaka: このままだとXでリポストするけどどうする？このままだとXでリポストするけどどうする？このままだとXでリポストするけどどうする？このままだとXでリポストするけどどうする？このままだとXでリポストするけどどうする？このままだとXでリポストするけどどうする？
[133.208] amadeus_0716: はあ
[133.354] (S)umttmm: きゃーきゃー
[133.579] コーラと結婚してる人: ワイプ大きめにしよう！
[133.598] jjjjjjjtj: やあ
[133.727] ocha72525: ほんとに？？
[134.075] usagiraran: www
[134.208] (S)かん69: ほんとか？
[134.297] か___: wwwww
[134.298] りあち__: ほほう
[134.502] toyunai_2525: 草
[134.645] ochiko115: だったらワイプ大きくしようぜ
[134.756] ようですよ: はて？
