[6.359] (S)peho_okok: PopNemo
[40.438] (S)すーさん1111: gocchaWakotu
[40.500] (S)jinoelskyo: gocchaWakotu
[41.039] (S)kaonyan1121: gocchaWakotu
[41.107] (S)まいちゃんさま: Cheer100
[41.143] (S)kohalu_: gocchaLove
[41.166] (S)かぉちゃん: gocchaWakotu
[41.542] (S)mimatsu00: gocchaWakotu
[41.837] (S)まりっぷ: gocchaWakotu
[41.889] 威嚇のありくい: gocchaWakotu
[41.918] (S)あいつぉん: gocchaWakotu
[41.927] (S)ふみ193: Cheer100 Cheer100 Cheer100 
[42.720] (S)jarincoco: jarincoco subscribed at Tier 1. They've subscribed for 3 months! 
[42.874] (S)non_3309: gocchaWakotu
[43.622] (S)_ありゅ_: gocchaWakotu
[44.023] てる0318: gocchaWakotu
[44.291] (S)りろめぐ: gocchaWakotu
[44.574] (S)コンペンさん: gocchaWakotu
[44.798] (S)kohalu_: gocchaGanbare
[44.907] (S)__しずか: わこつ~*\(^o^)/*
[45.022] (S)ごまマ: gocchaWakotu
[45.387] ともひろ2525: gocchaWakotu
[45.615] (S)まろん1012: gocchaWakotu
[45.632] (S)ozimura25: gocchaWakotu
[45.822] (S)yomei0818: gocchaWakotu
[45.841] (S)じょうちゃん: gocchaWakotu
[46.068] (S)ぷつん: わこー 
[46.107] syuga_1246: こんばんは
[46.179] (S)yaminabe_yummy: gocchaWakotu
[46.277] (S)しゅまろん: gocchaWakotu
[47.028] (S)佐々木ラウールです: gocchaWakotu
[47.370] (S)はくまいこ: こんばんはー！！
[47.583] のーれい: gocchaWakotu
[47.592] (S)うぬ_788: gocchaWakotu
[47.617] さるさるお: gocchaWakotu
[47.765] (S)mofumofu_uchiko: mofumofu_uchiko subscribed at Tier 1. They've subscribed for 7 months! ぼしゅー！！！
[47.800] (S)あすふか: gocchaWakotu
[48.120] (S)jinjin777: gocchaWakotu
[48.383] (S)フミサン: gocchaWakotu
[48.545] (S)ゆな2028: gocchaWakotu
[48.782] (S)右打ち中: gocchaWakotu
[49.048] (S)ピン汰: gocchaWakotu
[49.633] ダンボ_86: DarkKnight
[49.950] akiaki1109: こんばんはー！
[49.958] (S)みゃみゅみょん: 配信ありがとねー  Cheer100 Cheer100 Cheer100
[50.200] (S)ユルカ: gocchaWakotu
[50.404] amuamuamu: gocchaWakotu
[50.496] (S)_凛_: gocchaWakotu
[50.721] (S)monkey_special: gocchaWakotu
[50.954] (S)みすたぁ801: gocchaWakotu
[51.181] yun31991: gocchaLove
[51.228] (S)yori_12: gocchaWakotu
[51.627] とらまる115: こんばんわ
[51.794] (S)chamomile019: gocchaWakotu
[51.827] (S)kohalu_: gocchaKirakira
[51.944] (S)junchan66: gocchaWakotu
[51.951] (S)でしれど: gocchaWakotu
[52.131] (S)いろは11: gocchaWakotu
[53.032] (S)ピン汰: gocchaLove
[53.313] (S)kaori_happy: こんばんは♪ 
[53.407] (S)腹下すちゃん: gocchaGanbare
[53.540] (S)mxnya_: gocchaWakotu
[54.060] (S)miketantan: gocchaWakotu
[54.234] (S)ない_: gocchaWakotu
[54.413] (S)エレクトーン: gocchaWakotu
[55.723] (S)メグ1177: gocchaWakotu
[56.677] (S)くろあめ_: gocchaWakotu
[56.946] (S)へいへい02: gocchaWakotu
[57.496] (S)あいつぉん: こんばんはー
[57.590] (S)かりねこ: gocchaWakotu
[58.067] (S)くうこす: gocchaWakotu
[58.123] (S)あやめ姫: gocchaWakotu
[58.973] (S)asami_5796586: Cheer100 Cheer100 Cheer100 Cheer100 Cheer100
[59.054] (S)karamena_: gocchaWakotu
[59.604] (S)yurie_____: gocchaWakotu
[59.959] (S)りびりび: Cheer100
[61.833] (S)こたち_123: gocchaWakotu
[61.949] (S)kohalu_: PartyPopper
[62.254] (S)neo_ff: Cheer100
[64.119] hutoagosan: DinoDance
[64.319] (S)なお__02: gocchaWakotu
[64.723] (S)_七緒_: gocchaWakotu
[64.743] orufin120: こんばんわーー
[65.450] (S)月のちのち: こんばんは 
[65.797] (S)chamomile019: Cheer100 Cheer100
[66.706] (S)xxxpino: gocchaWakotu
[67.846] (S)とも12: gocchaWakotu
[68.802] (S)すふぃんくす3: Cheer100 
[69.310] (S)harapeko_guu: こんばんは～！
[69.858] (S)はるはるあきあき: gocchaWakotu
[70.950] akiaki1109: gocchaLove
[71.028] (S)みっひー: gocchaWakotu
[72.217] ライムグリーン: gocchaWakotu
[73.419] (S)uto_ton: Cheer100
[73.609] (S)sect21: gocchaWakotu
[73.652] (S)もみん: gocchaWakotu
[73.800] (S)今日はポカポカ: こんばんはー 
[74.446] (S)山田花子2525: gocchaWakotu
[74.953] (S)hofura05: gocchaWakotu
[76.255] (S)わさび2525: gocchaWakotu
[76.433] (S)いろは11: Cheer100
[77.033] (S)___み___: gocchaWakotu
[77.819] (S)まりっぷ: gocchaKirakira
[79.703] hagujako: こんばんは～
[80.250] (S)あちゃでぃー: gocchaWakotu
[80.295] (S)すーさん1111: 今日も配信ありがとうございます 
[80.667] (S)ぴヨあ: gocchaGanbare
[81.717] (S)ririruu__: gocchaWakotu
[81.967] (S)みゆ5252: gocchaWakotu
[82.594] (S)bell_88888: gocchaWakotu
[82.639] (S)sayu2727: gocchaLove
[83.403] みぃねこ: 今日も配信感謝ですっ！！
[83.897] (S)らむれむ: gocchaWakotu
[84.010] (S)るつ猫: gocchaWakotu
[84.309] (S)ate0613: こんばんは Cheer100 
[85.914] (S)そるく: Cheer100
[85.942] 夏き: わこつ
[87.638] (S)ちぃ7777: こんばんは 
[88.049] akiaki1109: 配信うれしー 
[88.389] るぅなまる: DinoDance
[89.118] さるさるお: こんばんは
[89.295] (S)shimax2: こんばんはー
[89.962] (S)wakih2: gocchaWakotu
[89.964] (S)ピン汰: gocchaKirakira
[90.011] (S)れいぜろっ: gocchaWakotu
[90.210] (S)みゆ5252: こんばんはー！
[90.311] (S)腹下すちゃん: Cheer100
[90.648] madowakusan: こんばんは〜♪(ｏ'ー'ｏ)ﾉ
[90.975] (S)ダーヨ: こんばんわです
[91.127] (S)りゃきち: gocchaWakotu
[91.776] (S)_柚乃_: Cheer100
[91.979] 犬月ちゃむ: こんばんは 
[92.747] (S)凛音です: gocchaWakotu
[93.092] aoring_o: gocchaWakotu
[93.316] (S)まりっぷ: gocchaLove
[93.358] (S)zowsan: gocchaWakotu
[93.489] (S)わさび2525: こんばんは！
[93.543] (S)tm_171717: こんばんはー！
[93.594] (S)bell_88888: こんばんはー
[93.598] (S)かな__22: こんばんは！
[93.936] (S)kiara3_55: こんばんは〜！
[94.718] (S)yaminabe_yummy: こんばんはー！
[95.335] hachiko0000: こんばんは
[95.572] ライムグリーン: こんばんは！
[96.343] (S)nononeko22: こんばんは～
[96.396] (S)あまがっぱ: こんばんは！
[96.786] (S)dede_018: gocchaWakotu
[96.801] さんっ: こんばんはー！
[96.977] (S)虚無うさぎ: gocchaWakotu
[97.150] (S)きりん_250: Cheer100
[97.730] (S)あまーい: gocchaLove
[98.623] yun_116_: こんばんはー！
[98.819] _ねねね_: こんばんはー 
[98.882] (S)けいこ0630: こんばんは！
[99.401] (S)ない_: こんばんは〜
[99.884] (S)てらめりた: こんばんわ
[99.898] hutoagosan: こんはんはー！
[100.120] (S)_七緒_: こんばんわ～！
[100.322] (S)とまだ: こんばんはー！
[100.326] (S)みちゅあゆ: gocchaWakotu
[100.457] ロメオロメン: こんばんはー！
[100.527] (S)やま_______: gocchaWakotu
[100.540] (S)_凛_: こんばんは～！
[100.557] (S)halxsk: Cheer100
[101.137] (S)ぇみちん: こんばんわ～
[101.325] omoci1123: こんばんは！
[101.527] (S)kamaboko0568: こんばんは！
[101.644] (S)ピン汰: こんばんはー 
[101.666] (S)hiro5011: hiro5011 subscribed at Tier 1. They've subscribed for 7 months! 
[101.875] (S)みゆ5252: gocchaLove
[102.215] (S)きりん_250: gocchaWakotu
[102.573] (S)地下飛びぺんぎん: ボス！！ Cheer100
[102.899] (S)いろは11: こんばんは〜
[102.910] (S)みーぽっこ: わこつです Cheer100
[103.046] (S)shiki_karakyou: gocchaWakotu
[103.160] (S)ららるる0206: こんばんは！
[103.769] (S)歩雨: gocchaWakotu
[104.228] (S)hirari_1429: Cheer100
[104.781] nobuto1106: こんばんは
[105.846] (S)hiichi96: hiichi96 is gifting 5 Tier 1 Subs to ごっちゃんマイキー's community! They've gifted a total of 115 in the channel! 
[105.889] saifon001rx: こんばんはー
[105.969] mamo0_0: こんばんは！！
[106.353] ayano72o: gocchaWakotu
[106.354] (S)hiichi96: hiichi96 gifted a Tier 1 sub to mari__0403! 
[106.390] (S)hiichi96: hiichi96 gifted a Tier 1 sub to chikuwamochi_! 
[106.396] (S)hiichi96: hiichi96 gifted a Tier 1 sub to echo_0804! 
[106.438] (S)hiichi96: hiichi96 gifted a Tier 1 sub to n4kahara! 
[106.447] (S)hiichi96: hiichi96 gifted a Tier 1 sub to tinngami! 
[107.159] (S)るえん: こんばんは！
[107.553] (S)kohalu_: こんばんは！！！！！
[107.844] (S)miketantan: Cheer1000
[108.383] (S)mee_54: こんばんは 
[108.628] (S)にゃーこ0363: gocchaWakotu
[108.719] (S)かもめ0310: こんばんは！
[108.761] 水仙すいせん: こんばんは〜
[109.608] (S)かぉちゃん: こんばんはー！ぼしゅ！
[110.365] (S)ムムタソ: gocchaWakotu
[110.710] (S)らりれら: gocchaWakotu
[111.008] (S)ゆゆゆ_ちゃん: gocchaWakotu
[111.216] (S)ゆずちぃ: gocchaWakotu
[111.460] (S)みこ03: こんばんは～ 
[112.103] (S)yu_ka_ri_1025: gocchaLove
[112.221] (S)るえん: gocchaLove
[114.311] (S)木曜日: gocchaWakotu
[114.463] (S)hiichi96: gocchaWakotu
[114.830] (S)真っ赤なとまと: gocchaWakotu
[115.344] (S)さやか_416: さやか_416 subscribed at Tier 1. They've subscribed for 4 months! 
[115.533] (S)kurohitsuji0207: gocchaWakotu
[115.770] (S)しののめかなた: しののめかなた subscribed with Prime. They've subscribed for 6 months, currently on a 5 month streak! こんばんは！
[116.188] (S)にゃーこ0363: Cheer100
[116.717] とらまる115: gocchaWakotu
[117.457] (S)まゆまゆ_00: gocchaWakotu
[120.107] (S)2neco3: Cheer100
[120.184] (S)0ovalentaino0: こんばんわ 
[120.534] (S)tanbo8888: gocchaWakotu
[120.595] らなちゃん: gocchaWakotu
[120.644] (S)彩桜空咲_あおいそら: gocchaWakotu
[120.785] (S)_きりり: gocchaWakotu
[122.556] みさと_仮: こんばんは
[123.747] (S)kotokotobuki: Corgo100
[125.999] (S)0ovalentaino0: gocchaWakotu
[126.448] (S)shueri28: Cheer100 
[126.845] (S)まる08: gocchaWakotu
[127.518] (S)sayumiffiy: gocchaWakotu
[127.985] (S)ようこ1202: gocchaWakotu
[128.628] (S)アキャネ: gocchaWakotu
[129.007] 特濃あんころ餅: こんばんは 
[130.359] (S)デクだよ: ぼしゅ、おはざます
[135.345] (S)kaonyan1121: Cheer100
[136.605] (S)wassyoi7: gocchaWakotu
[136.731] (S)にいな27: Cheer100 
[137.770] (S)さるもず: gocchaWakotu
[137.979] yoruru19: こんばんは
[139.249] (S)aya_hana_: gocchaWakotu
[139.295] (S)まりんちゃま: gocchaWakotu
[141.186] (S)chiiitan0: gocchaWakotu
[141.564] (S)ピン汰: gocchaLove
[141.848] (S)みじんこベジた: Cheer100 Cheer100 Cheer100
[142.493] (S)xxxanxxx_: gocchaWakotu
[144.574] _ねねね_: gocchaWakotu
[148.515] (S)あゃぴ: gocchaWakotu
[149.853] (S)Miho_725: Cheer100
[151.581] (S)Hiroka528: Cheer100
[152.070] (S)miketantan: こんばんは 
[152.300] (S)みじんこベジた: わこつー
[152.312] AOi___12: gocchaWakotu
[156.988] (S)まりん_112: gocchaWakotu
[157.971] (S)yagi59sy: gocchaWakotu
[159.717] AOi___12: Corgo100
[160.605] (S)_凛_: Cheer100 
[160.839] Sachi3: gocchaWakotu
[161.908] (S)瑠璃__るり__: わこつ 
[166.061] (S)__さち__: こんばんは 
[166.409] (S)sasugashota0209: Cheer100
[167.089] 威嚇のありくい: ShowLove100
[167.648] (S)かふぇおってぃ: Party100
[168.580] 特濃あんころ餅: gocchaLove
[168.840] げじげじまゆげ: こんばんはー！
[169.472] (S)あいつぉん: Cheer100 
[172.524] akiaki1109: gocchaLove
[173.531] (S)み_ず_き_: こんばんは！
[174.229] はなうさぎ: こんばんはー！
[178.922] たらお_2: gocchaWakotu
[180.392] (S)__しずか: Cheer100 Cheer100
[180.447] (S)Hiroka528: gocchaWakotu
[180.613] marushiichan: こんばんは
[181.406] (S)ろびろび8888: gocchaWakotu
[182.657] (S)えなぴ: Cheer100 
[183.315] (S)みゆ5252: gocchaLove
[184.276] YAMAZAERU: わこつ！！！
[184.464] (S)_ぴぴまる: こんばんはー！
[184.495] (S)kino_1103: gocchaWakotu
[185.595] (S)oinumotti: ShowLove100 
[189.468] inyanyo13: こんばんわこんばんわ！
[189.693] orufin120: 今日は何するの？
[189.926] (S)たおちゃ: gocchaWakotu
[189.987] (S)_のっこ_: gocchaWakotu
[191.148] (S)ぽよりん: こんばんは 
[191.280] (S)keisuke_568: Cheer100
[191.292] (S)久我さん: Cheer500
[192.637] (S)darumario: gocchaWakotu
[192.735] (S)せい_6934: gocchaWakotu
[193.452] (S)oyu_lf: gocchaWakotu
[196.697] どすけベやん: gocchaWakotu
[197.106] (S)せい_6934: Cheer100
[198.373] (S)久我さん: gocchaWakotu
[200.982] (S)けーーいけいけい: けーーいけいけい is gifting 5 Tier 1 Subs to ごっちゃんマイキー's community! They've gifted a total of 50 in the channel! 
[201.718] (S)ろびろび8888: Cheer100
[201.775] (S)けーーいけいけい: けーーいけいけい gifted a Tier 1 sub to fjsk_36! 
[201.800] (S)けーーいけいけい: けーーいけいけい gifted a Tier 1 sub to henoheno0724! 
[201.801] (S)けーーいけいけい: けーーいけいけい gifted a Tier 1 sub to gustavomr8! 
[201.848] (S)けーーいけいけい: けーーいけいけい gifted a Tier 1 sub to ichigoame_04! 
[201.897] (S)けーーいけいけい: けーーいけいけい gifted a Tier 1 sub to osakazero! 
[203.383] (S)あり_0730: gocchaWakotu
[204.198] (S)みゃみゅみょん: 今日はカジノ曜日！
[208.306] _ねねね_: -` ̗  𝐍𝐢𝐜𝐞 𝐆𝐢𝐟𝐭   ̖ ´- 
[210.991] (S)今日はポカポカ: Cheer100 
[211.841] (S)ダーヨ: gocchaLove
[212.589] さとみ777: こんばんは
[213.710] (S)みじんこベジた: ぼちぼちヴァーミリオンの詰め作業ですか？
[215.107] (S)あいつぉん: ないぎふ 
[216.366] (S)うらしーま: gocchaWakotu
[217.680] _ねねね_: カジノがある日ー！ 
[218.232] (S)mini_xox: mini_xox subscribed at Tier 1. 
[219.517] (S)airin8: gocchaWakotu
[220.515] (S)potetofryyy: gocchaWakotu
[222.292] akiaki1109: ないぎ＆ないぎふ 
[225.227] (S)廻鬼: gocchaWakotu
[225.494] (S)ドナ0: gocchaWakotu
[229.153] (S)keisuke_568: gocchaWakotu
[229.159] (S)ピン汰: gocchaLove
[230.895] (S)yoko0704: gocchaWakotu
[233.613] (S)みゆ5252: gocchaLove
[233.795] (S)あやめ姫: ないぎふ 
[235.277] SizRyuu: カジノ
[237.160] (S)koyoma_: gocchaWakotu
[238.817] (S)reina_0177: gocchaWakotu
[239.306] (S)あいつぉん: おおw
[239.858] (S)おりりん_1109: gocchaWakotu
[239.960] (S)うしの子: gocchaWakotu
[241.035] (S)るえん: あら
[241.458] (S)kiara3_55: わお！
[241.726] (S)shimakox: gocchaWakotu
[241.816] (S)__しずか: おおお
[241.956] (S)koto0710: gocchaWakotu
[242.058] (S)ろこづ: gocchaWakotu
[242.560] (S)とびうお30匹: こんばんは
[242.663] (S)rei_siriusu: こんばんわ～
[242.765] (S)むむむいちゃん: gocchaWakotu
[244.258] (S)ピン汰: へぇー！！！
[244.835] _ねねね_: おきるー！ 
[245.052] (S)___み___: おお
[245.359] ayano72o: gocchaKirakira
[245.933] (S)norma_nami: gocchaWakotu
[246.287] (S)chamomile019: chamomile019 subscribed at Tier 1. They've subscribed for 7 months, currently on a 7 month streak! 
[247.043] yasukoto: こんばんは～
[247.506] (S)きぃ_たいぷ_あーる: gocchaWakotu
[248.276] (S)_凛_: おおお
[248.407] (S)まりん_112: ほおー
[248.593] (S)いとあ: gocchaWakotu
[248.814] _ねねね_: なにそれ 
[249.440] (S)しののめかなた: おおお
[249.922] (S)地下飛びぺんぎん: ハンドガンユニオン！！
[250.935] (S)なづき: gocchaWakotu
[250.960] (S)エメリ: こんばんは 
[251.292] yu835: こんばんは〜
[252.658] (S)ひゆみこ: gocchaWakotu
[253.059] (S)ぺけぽん: gocchaWakotu
[253.811] (S)ちゅーる19801128: gocchaWakotu
[254.135] _ねねね_: おもろそー！！！ 
[254.426] (S)あいつぉん: 久しぶりハンドガンw
[254.971] (S)みゃみゅみょん: おーきる！ 
[255.873] (S)198sy: 198sy subscribed at Tier 1. They've subscribed for 7 months, currently on a 7 month streak! 
[256.530] (S)kinakoooup: gocchaWakotu
[256.569] (S)たけたけみ: gocchaWakotu
[257.815] (S)Caaarii_: ひさびさやw
[257.986] (S)stagehand5: 楽しそうヤーン
[258.787] (S)miwa_jesee: gocchaWakotu
[259.956] (S)んだにゃー1525: gocchaWakotu
[260.019] (S)ピン汰: 久しぶりのハンドガンユニオン 
[261.889] (S)ゆうき_314: gocchaWakotu
[261.981] (S)にゃぴぴぴ: gocchaWakotu
[262.323] (S)みゆ5252: 楽しそう！
[262.356] (S)kiara3_55: 久しぶりのハンドガンユニオン 
[263.698] (S)音成迷惑: gocchaWakotu
[264.192] (S)m_aru_7193: この前やってたけど
[264.649] kankchi: こんばんは！
[264.694] (S)いおりさ: ハンドガンケイサトゥ～懐かしいｗｗｗｗ
[265.835] akiaki1109: 人数差があるんだ 
[266.697] ライアック: おもしろ犯罪
[268.576] (S)mofumofu_uchiko: 楽しそう！！！！（＾◇＾）
[270.249] (S)ゆきのうさぎ: gocchaWakotu
[271.538] fu31xxx: ほぇ〜
[272.978] (S)かぉちゃん: ハンドガンケイサーツー！w
[273.832] (S)_ぴぴまる: gocchaLove
[275.465] (S)みじんこベジた: きちゃーー！ちょけミッションwww
[275.519] (S)りょうた893: gocchaWakotu
[275.756] 特濃あんころ餅: gocchaLove
[279.227] (S)hanaka07: gocchaWakotu
[279.482] ya10_n: 島取りの練習になって良さそうね！
[280.706] (S)とまだ: 楽しそうだーー
[280.841] (S)さく__12: こんばんは！ 
[281.114] (S)ﾐｸﾛ_: gocchaWakotu
[283.894] (S)miwa_jesee: はんどがんけいさーとぅー！
[286.062] (S)ろくきゅう: gocchaWakotu
[288.110] (S)さく__12: Cheer100
[288.414] _ねねね_: 前回のルール覚えてない
[289.395] (S)ピン汰: 前回も楽しかった 
[291.073] (S)いおりさ: あの時はれむで無双したね
[292.024] (S)ららるる0206: エコラウンドかww
[292.671] akiaki1109: 攻めと守りのやつか
[292.705] (S)ももたらばがに: ヴァロユニオンか
[292.742] (S)音成迷惑: gocchaKirakira
[293.846] (S)リイア: 前半後半やるんやw
[294.038] (S)blueblue_blueblue: 攻守交代wwww
[294.415] (S)kiara3_55: エコラウンドねw
[294.650] (S)wassyoi7: 擦るねw
[299.394] (S)ohagi_0149: ハンドガンー！
[301.240] akiaki1109: w w
[302.612] (S)smile_masumi: こんばんは
[302.731] (S)みゆ5252: www
[303.711] (S)atsumori_pop: はんどがんけいさーーーとぅーーー！
[306.328] _ねねね_: あー！間違ってオールインの無線入っちゃったときのルールか
[308.391] (S)るえん: www
[312.796] (S)pierrot_pini: 前回のは数週間前くらいのやつかな
[314.735] (S)リチャ: gocchaWakotu
[323.844] (S)ピン汰: www
[324.968] (S)しののめかなた: モク
[327.700] (S)kiara3_55: ブリムwww
[327.934] (S)mxnya_: モクｗｗｗ
[329.158] akiaki1109: もくw w w
[329.606] taku1199: 横取りに殲滅されたらおもろい
[330.533] 5keys_707: まだそすさん居たときねw
[333.341] (S)でかまるこ: 今回も警察にヘリしてもらえるのか！
[333.942] (S)blueblue_blueblue: モクあったっけ www
[334.948] (S)リイア: wwwwwwwwww
[335.469] (S)りびりび: 37564に入ったやつね。
[336.603] (S)___み___: ｗｗｗ
[336.840] (S)いおりさ: ハンドガンケイサトゥ～
[337.351] (S)しののめかなた: イニシ２ｗ
[339.310] (S)ゆぅたん00: gocchaWakotu
[340.886] (S)あいつぉん: モクw
[341.782] (S)ららるる0206: www
[343.772] (S)ももたらばがに: WWW
[344.657] _ねねね_: わくわく 
[344.954] (S)ピン汰: ヴァロになってるwww
[345.959] (S)ねもしょう: www
[347.076] (S)みゆ5252: www
[348.867] (S)地下飛びぺんぎん: www
[353.248] (S)あいつぉん: オペほしいなあ
[355.630] (S)_真琴_: gocchaWakotu
