[1.988] 哀れな人の子: radaoTrain
[27.271] (S)yona_0724: わこらだ
[27.314] 暗黙の緑茶: わこらだ！！
[27.380] そらぎ: radaoWakotu
[27.591] (S)koruku_31: わこらだ
[27.656] (S)鳥野郎の蘭: わこらだ
[27.739] てぃやんでい: わこらだ
[27.744] rikutaronron: わこらだ
[27.763] (S)woontion0013: わこらだ
[27.828] (S)supi_supi_: わこらだ
[27.864] (S)pelex_dayo: わこらだ！
[27.864] yu_2525_: わこらだ
[28.977] sunomono8: radaoKitya
[29.084] ftnmoti: わこらだ
[29.096] 零度_0: 石川界人さん！？
[29.201] ギンナン: わこらだ
[29.210] (S)アヴー: radaoKitya
[29.384] (S)Nonba_: わこらだ
[29.401] 角角家: わこらだ
[29.423] べクター: わこらだ
[29.437] dejitari: わこらだ
[29.453] ピピラム: わこらだ
[29.534] ミナオ: わこらだ
[29.538] (S)oldish_widow6: わこらだー
[29.547] (S)ひびき1214: パチモン4位おめでとうー！！！！！！
[29.629] (S)rinka59: わこらだ
[29.656] ずきゅきゅんた: radaoWakotu
[29.723] ふーら: わこらだ
[29.747] aromamoon_: わこらだ
[29.769] mamama03: わこらだ
[29.803] yuki1203: わこらだ
[29.812] pwmjgpwdjgwuj: わこらだ！
[29.913] mo_mose: わこらだ
[31.997] auru_30: わこらだ
[32.012] Miriotta: すげぇ！！！！
[32.032] siwanasi: わこらだ
[32.094] ken18790: わこらだ
[32.096] アリーガちゃん: わこらだ
[32.260] (S)ごま塩プリン: わこらだ
[32.267] zerosanbrack: わこらだ
[32.269] むちょ: わこらだ！
[32.275] えぱああ: わこらだ
[32.279] anzuuu_23: わこらだ
[32.314] tororogohann580: わこらだ！
[32.337] soumen0305: わこらだ
[32.355] (S)白クマ: わこらだ！
[32.394] ぽちゃぽちゃにゃんこ: わこらだ
[32.496] ヒロノ: わこらだ！
[32.700] 朱宇奈: わこらだ
[32.716] (S)gunjyo0826: わこらだ
[32.786] (S)roy_rag: わこらだ
[32.808] アスタルテ: わこらだ
[32.903] 改札にパスタ: わこらだ
[32.950] shiroa1019: わこらだ
[32.985] chuwann: radaoKitya
[32.992] rino_0105: わこらだ
[33.135] (S)noririnmonrou: まじか.....
[33.164] (S)アヴー: かいとさん！？
[33.256] kanon_nnn: わこらだ！お疲れ様ー！！
[33.316] yu_ra0111: わこらだ
[33.458] (S)ryo_ngz: わこらだ
[33.504] (S)rioniku1515: 4位おめ～
[33.643] ayunosioyaki0223: わこらだ
[33.703] ainekun: わこらだ!!
[33.711] mtsuki0119: やった！！！！
[33.727] kkotarou1204: わこらだ
[33.739] rito1725: わこらだ
[33.861] (S)icoa1024: わこらだ
[33.881] ネギ犬: わこらだ
[33.884] ももかんぬ: わこらだ！
[33.897] umarekawattasaba: わこらだ
[33.920] ライチ31: わこらだ
[33.932] ゔぁあ: わこらだ
[35.061] ririna0508: わこらだ
[35.068] (S)evacoler: わこらだ
[35.226] t8_deidaraku: わこらだ
[35.229] atush1_: わこらだ
[35.262] (S)ぽりやん: うおおおおぉ
[35.279] (S)れいばば: わこらだ！
[35.294] hosinoso: わこらだ
[35.332] (S)peroki0531: わこらだ！
[35.447] yato_wow: わこらだ
[35.485] poteito: わこらだ
[35.513] doumotoooo: わこらだ
[35.606] もねねん: わこらだ！
[35.609] (S)ゆりの花: わこらだ！
[35.745] konata723: やったー！
[35.747] 混沌幽霊: わこらだ
[35.790] (S)夏目信乃: 夏目信乃 subscribed with Prime. They've subscribed for 5 months! わこらだお疲れ様！！
[35.842] cocomari0227: わこらだ
[35.847] ranu_0706: 石川さん！？
[35.850] kyo_kaaa: radaoWakotu
[36.045] (S)rikuo186: わこらだー
[36.222] (S)ぴっち: わこらだ
[36.243] ドコサヘキサエン: radaoKitya
[36.285] (S)さらんらん: わこらだ！
[36.308] (S)panndaman1: radaoKitya
[36.372] aris__1278: わこらだ
[36.488] (S)しのんの: お絵描きうれしい
[36.536] (S)ドロッと食感: わこらだ
[36.579] (S)無糖のこぴこぴ: わこらだ！
[38.108] ちょーみん: わこらだ
[38.139] tooya414: わこらだ
[38.312] sai_ironi11: がーてぃっくほんだ！
[38.319] michio0106: わこらだ
[38.324] (S)ここねり: きたー！！
[38.332] ぽんこつなもぐら: わこらだ
[38.349] omio0410: わこらだ
[38.656] mirai9319: わこらだー
[38.728] (S)emitsubo723: わこらだ
[38.984] ポテチの子: わこらだ！
[38.984] amechiya: わこらだー！
[39.061] りんねんら: わこらだ
[39.080] (S)slt_silk: わこらだ！
[39.166] (S)ameringoame: わこらだ！
[39.299] (S)こぺと: わこらだ
[39.304] aoi423: わこらだ
[39.331] (S)aina___10812: わこらだ
[39.512] aina_0224: わこらだー
[39.604] おうじ_: わこらだ
[39.657] mamemamehu: わこらだ
[39.712] pvanillaice: お
[39.765] kanya_kanzume59: わこらだ
[39.779] すのっぺ: kaki393939 subscribed at Tier 1. They've subscribed for 24 months, currently on a 24 month streak! わこらだ
[39.899] (S)Mac1919: わこらだ
[39.951] (S)segy88: わこらだ
[39.971] osoba_tabetai: わこらだ〜
[40.018] yuina_i0: わこらだ
[40.039] (S)こんいろ: わこらだ！
[40.088] pino_1022: わこらだ
[40.170] あおふろォ: わこらだ
[40.339] moririnko: わこ！
[40.515] (S)かんくろー: わこらだ
[40.532] janreno369: わこらだ
[40.637] ruk1q: きちゃー
[40.669] toki__02: わこらだ
[40.734] (S)howlin_0: わこらだ
[40.827] かるまぐ: わこらだ
[40.879] yutiy_25: わこらだ
[40.918] hatutpki: わこらだ
[41.056] (S)ありちっ: ありちっ subscribed with Prime. They've subscribed for 5 months, currently on a 5 month streak! すごいじゃん！かいとさんといつしょ
[41.206] (S)鳥野郎の蘭: 二次会ーー！！！
[41.287] ぬいぬい_: わこらだ
[41.330] つなまる: radaoWakotu
[41.466] a__res: wだこらだ
[41.478] (S)yoichimu: radaoKitya
[41.499] toki_ra: わこらだ
[41.509] とおひ: わこらだ
[41.702] hisagi_2929: わこらだー
[41.710] yuma1115: わこらだ
[41.753] azuriiine: わこらだ
[41.760] sjindoa: 二次会！！
[41.811] (S)kota0513: わこらだ
[42.022] hu_doisii: わこらだ
[42.219] 柚子胡椒アイス: わこらだ
[42.224] (S)oldish_widow6: エペ祭おつかれ
[42.242] asinop: わこらだ
[42.282] (S)よいみや: uramyon subscribed with Prime. They've subscribed for 9 months! わこ
[42.382] pochipo_122922: わこらだ
[42.593] duisui_223: わこらだ
[42.613] 夜伽らぁ: はいわこらだ
[42.831] (S)a_ya4: わこらだ
[43.097] しがー: 二次会だー
[43.099] しろわにさん: わこらだ
[43.310] souweek: わこらだ
[43.376] kurot0923: わこらだ
[43.391] kawaharaya: わこらだー！
[43.396] (S)tamm_mmmm: わこらだー
[43.574] Nayuuu_424: わこらだ
[43.597] kosuke25252: きちゃああああああ
[43.610] (S)rins1d: わこらだ
[43.627] meru0129: わこらだ
[43.637] haru_anura: わこらだ
[43.731] (S)きのこの炊き込みご飯: がーてぃっくふぉん！
[43.770] kirisame1537: わこらだ
[43.781] (S)howlin_0: radaoWakotu
[43.821] kuru053: わこらだ
[43.900] (S)冷や茶: わこらだー！！
[44.240] (S)らむ麦: こーれはすごい
[44.362] nayu_0827: わこらだ
[44.419] まき627: 石川さん？！
[44.577] (S)myugi39: わこらだ
[44.579] kashikii: わこらだ
[44.582] のののむ: わこらだ！
[44.636] (S)どなつ: わこらだ
[44.809] SHIROMA_468: わこらだ
[44.846] Raruruum: わこらだ
[45.121] mazirou: わこらだ
[45.170] pupepupu3: わこらだ
[45.174] (S)noririnmonrou: わこらだ
[45.306] cocoron2525: わこらだ
[45.319] yamimoto_y: わこらだ
[45.322] nanoEditore: わこらだ
[45.353] koujidayo22: わこらだ
[45.419] mirinchanda: わこらだ
[45.529] akauoooo: 寝るとこだった
[45.531] ましぃ: 二次会きちゃあああああああああ
[45.531] sjindoa: おつかれ！！
[45.539] もぎ: わこらだ二次会ー！
[45.545] botpusan: わこらだ
[45.754] anzuuu_23: わこらだ！
[46.180] (S)Holy_Joester: わこらだ
[46.255] (S)かるろ: わこらだ
[46.400] (S)morisun_: わこらだ
[46.551] 伊親: わこらだ
[46.612] suibotu_: わこらだ
[46.755] kaworu_938: わこらだ
[46.804] byakuya_557: わこらだ
[46.974] infr10: わこらだ
[47.024] amechiya: 二次会うれしいー！
[47.210] 1miri_03: わこらだ
[47.315] ミナオ: お疲れさま
[47.334] ponharu: お疲れ様です！
[47.434] (S)tomo_spl: わこらだー
[47.435] (S)tono__0214: わこらだ
[47.506] SANSEI_3SE: わこらだ
[47.671] とれいら: わこらだ
[47.808] (S)ninfea_03: わこらだ
[47.834] yossy25252: わこらだ
[47.914] (S)Kikuya0w0: わこらだ
[48.153] のんﾁｬ: 楽しみ〜！！
[48.345] (S)nakihai556: わこらだ
[48.361] (S)鬼田: わこらだ
[48.484] (S)ナリー19: radaoWakotu
[48.550] left_2_10: わこらだ
[48.552] 珍しい炒飯: わこらだ
[48.554] 林檎うさ: わこらだ
[48.742] asaborake0408: あばさんw
[48.750] tubu_317: わこらだー！！
[48.783] しかくのさんかく: わこらだ
[48.785] nanana_ka: わこらだ
[48.865] あんころもっも: あんころもっも subscribed at Tier 1. They've subscribed for 23 months, currently on a 23 month streak! わこらだ
[48.879] momon_gan: わこらだー
[48.967] (S)ずつうがいたい: わこらだ
[48.985] _ちむ_: わこらだ
[49.030] (S)mikan_san: お疲れ様でしたー
[49.178] いのりさん: 石川さんのイケボとらだおのドブボでアベレージ0やな
[49.233] ぴなむ: radaoWakotu
[49.290] (S)oldish_widow6: おつかれー
[49.432] (S)ゆきとよ: お疲れさまでした～
[49.517] ドコサヘキサエン: 後夜祭だーーー！
[49.624] kanon_nnn: がてふぉん！？！？
[49.827] yayoi_0506841: わこらだ
[49.860] (S)yoichimu: わこらだ
[50.020] 出るとこ出る太郎: わこらだ
[50.066] westNaF: わこらだ
[50.084] koya_cha: わこらだ
[50.096] 夜伽らぁ: 石川さん！？
[50.126] taku202: わこらだ
[50.144] (S)とりーーも: わこらだ
[50.236] あじさ: わこらだ
[50.301] moririnko: 石川さん！？
[50.332] (S)~MISSING_COMMENTER_INFO~: wakorada
[50.474] syakemu_: わこらだ〜
[50.510] (S)samemeshark: radaoWakotu
[50.512] (S)myugi39: まってかいとくん！！！
[50.577] (S)狭山律: わこらだ
[51.098] みとまろ: 寝るとこだった
[51.184] (S)roro_131: わこらだ
[51.317] nekousagi_3110: わこらだ
[51.479] galasunosekai: わこらだ
[51.613] atush1_: まさかのwww
[51.632] ken18790: なんだこの豪華メンツは
[52.124] onigirimaru_01: わこらだ
[52.202] kanzuki8060: わこらだー
[52.226] (S)はぐりっと: わこらだ！！
[52.247] くらげさん_13: わこらた！
[52.288] mimimi_016: わこらだ
[52.387] あきぬこ: radaoWakotu
[52.511] (S)tomo_spl: 4位おめでとおおお
[52.516] (S)ふわにゃーく: わこらだ
[52.585] (S)chikotarou: わこらだ！
[52.721] originmi: わこらだ またすごい人を連れてきたな
[52.822] しらす_27: 石川さん！？
[53.182] じーんず7789: わこらだ
[53.244] (S)るきち: radaoWakotu
[53.395] ebiebleb1: わこらだ
[53.410] (S)fuu_maru: お疲れ様でした〜！！
[53.430] hinadoridayo: わこらだ！
[53.624] 梨一: ｗｗｗｗ
[53.650] kisaragimutuki: わこらだ
[53.830] kamikame4649: わこらだ
[53.844] mugicha_sandesu: 界人くんだー！！！！！！
[53.891] (S)おはぎちゃん_: わこらだー
[53.962] (S)ゆう77: わこらだ 
[54.011] りむりん: わこらだ
[54.162] aoiro00: わこらだー！
[54.180] hiyu_27: 石川界人！？
[54.363] mula_d: わこらだ
[54.380] fuu_1111: わこらだ〜
[54.531] mayo1i: わこらだ
[54.573] shiba_ou: この五人は熱い
[54.639] テープ職人: わこらだ
[54.782] osoba_tabetai: かわせさんとの絡み見れてうれし
[54.864] 君の親父さ: 石川さんだあ！！
[55.177] くろざき: わこらだ
[55.393] (S)はぐりっと: お疲れ様〜
[55.473] 犬になった颯: わこらだ！
[55.493] eguma_1610: わこらだ
[55.691] r1n_t: わこらだ
[55.812] (S)かるろ: 石川さん！？
[55.914] ポテチの子: いい声だ！！！
[55.956] (S)スパーズ: わこらだ
[56.023] (S)hvc012nasukozou: わこらだ
[56.057] ririna0508: 界人君やん！！！！！！
[56.216] yonagatsuki: わこらだ
[56.338] rk_ne4rl: 石川界人さんマジ！？
[56.437] えるーにゃ: このメンツ最高！！！！
[56.610] hikaneko: hikaneko subscribed at Tier 1. They've subscribed for 24 months! 
[56.673] ainekun: 界人君おるやん⁉️
[56.793] 梨一: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[56.890] 枯木です: わこらだ
[57.077] sobayu120: わこらだ
[57.163] (S)rin12027: わこらだ
[57.232] さんさんさん: わこらだ
[57.314] アオぶる: わこらだ
[57.336] arahusigi: わこらだ
[57.379] hiso_ka0111: お疲れ様ー
[57.534] (S)yona_0724: wwww
[57.597] ずきゅきゅんた: 石川界人さんヤバ過ぎるよな
[57.606] しかくのさんかく: wwwwww
[57.751] (S)fuu_maru: www
[57.824] suibotu_: 石川さんだ！！！
[58.059] uziro0836: ｗｗｗｗｗｗ
[58.147] tukky1208: 界人くんだ！！！
[58.196] itoido: わこらだ
[58.298] okomenokakera: わこらだー
[58.301] 雷鳴のモチ: わこらだ
[58.323] neu_rose: え、やば豪華
[58.326] sunomono8: wwwwwwwwww
[58.393] tantana03: わこらだ
[58.504] kinugoshi_douhu: わこらだ
[58.533] いよかんちょこ: わこらだ！
[58.536] (S)ゆきとよ: wwwwwww
[58.604] ruk1q: モンスターのみながら見とくわ
[58.610] マスクさん: わこつぼ神ゲー
[59.232] ojiya4: わこらだ
[59.284] まとま: わこらだ！
[59.423] am4kumo: 石川さん！！
[59.569] taran_tan: 界人とらだおがしゃべっとる…すごうぃ
[59.647] くろぞら: 豪華すぎて泣いた
[59.704] yunomi401: わこらだ
[60.138] yakazeinoya0815: わこらだ
[60.166] ものかの: わこらだ
[60.190] rakku0805: わこらだ
[60.192] alfha_hakata: 石川界人さん？？？
[60.242] namakemono_a: わこらだ
[60.277] (S)アールル: わこらだ!!
[60.380] akoriru128: わこらだ
[60.390] zm__love: 石川さんいんのまじびびるんだが？！？！？！
[60.496] ちゃむいか: 石川さん？？！？？！！
[60.528] kuusan2: 石川さんだと...
[60.611] hinata5353: きちゃー
[60.709] (S)tono__0214: なんだこのメンツは!!
[60.716] のんﾁｬ: 4位おめでとう！！！お疲れ様でしたぁ！！
[60.745] pwmjgpwdjgwuj: お疲れ様でした
[60.751] しのえ: 石川さん？！
[60.903] せここ: きちゃぁぁぁぁぁあ
[61.238] misaka2525: わこらだ
[61.668] sjindoa: wwww
[61.680] (S)んさく: wwwwww
[61.681] じゃがビぃ: わこらだ
[61.699] shiki_maru: わこらだ
[61.754] pochanemu: お疲れ！
[61.887] (S)狐の子: わこらだ！
[62.050] akasa_1230: わこらだ！！！！！
[62.106] sanuki_1122: わこらだあつい！！！
[62.252] yutiy_25: お疲れ様でした！
[62.253] gonnbee774: わこらだ
[62.255] Raruruum: wwwwww
[62.264] ぽんくらげ: わこらだ
[62.459] aika21: わこらだ
[62.465] あじさ: お疲れ様でした
[62.469] kosuke25252: 4位おめでとう！
[62.662] (S)tommyy_0430: わこらだ！
[62.671] rairai_6: わこらだ
[62.708] (S)チュチュンバー: わこらだ
[62.791] gany_24: おつー
[62.812] RueChan_115: わこらだ
[62.853] kinokonoko_39: わこらだ
[62.874] kuukihou: うぉお
[62.898] yan_25258: わこらだ
[62.906] (S)おじょーー: わこらだ！まさかの
[62.922] (S)ディンダン: わこらだ！
[62.938] しかくのさんかく: いい声…
[63.220] (S)akaneko_2232: わこらだ！
[63.405] kuru053: 石川くんだ〜！！
[63.411] fujita_en: 遅刻しましたわこらだ
[63.430] emma___szn24: わこらだ
[63.449] y_yoshi_y: 石川さん！？？？？
[63.451] haru_anura: wwwwwwwww
[63.865] taku2980: わこらだ
[64.180] tukky1208: 初めましては草
[64.326] 暗黙の緑茶: 石川プローーーー！！
[64.393] eruuuDayonn: ちょうど来た途端おわったぁ
[64.401] nayu_0827: お疲れ様でした！！！
[64.592] (S)myugi39: 推しが推しと話してるだと、、？！
[64.638] harugasaku: わこらだ
[64.750] (S)mikan_san: 初めまして…
[64.792] pasocon1027: 石川界人！？！？！
[64.876] 碧威: わこらだ！
[65.241] じーんず7789: 石川界人さんだ?!
[65.313] 繋けい: わこらだ~！です！
[65.343] unavele_nobu: わこらだ
[65.351] nekoto01: わこらだ！
[65.625] sakiritu: わこらだ
[65.798] konroll_: わこらだ
[65.839] spiceee601: わこらだ！
[65.999] のののむ: 石川さん！？
[66.020] 湯とうふ: わこらだ！！
[66.063] akasa_1230: 待ってた！
[66.238] 2時半: わこらだ！！
[66.443] Free_Box11: わこらだ
[66.674] iriss3535: 石川さんいるのすごw
[66.729] (S)naonyao_04: わこらだ！！
[66.841] wakana_smg: わこらだ！
[66.932] rarirarurarua: わこらだ
[66.965] うぐいろ: わこらだ
[67.060] mimitabu_92: わこらだ
[67.635] kennto0121: わこらだ
[67.682] Hariseeeee: わこらだおめでとう！！
[67.735] harusame0921: わこらだ
[67.794] nianoma: わこつ
[67.876] urotti: わこらだ
[67.924] いよかんちょこ: 石川さん！？！
[68.059] まりもころころ: わこらだ
[68.107] (S)おりおんさん: わこらだ
[68.265] まとま: かいとさん？！
[68.303] tanuki_pan: わこらだ！
[68.323] syunta_: わこらだ石川界人ま！？！
[68.649] おろしポン酢: わこらだ
[68.657] ーすむー: わこらだ
[68.756] mao_peace: わこらだ
[68.857] くろざき: 石川界人くんだ！！
[68.916] (S)はるのてゃん: わこらだ
[68.921] nikuo_3: わこらだ
[69.061] yuki_lily_: 石川さん！？！？
[69.074] (S)てんまる: わこらだ！
[69.149] だだそ: わこらだ！
[69.156] yuri_0704: きちゃ
[69.401] どくつる: わこらだ
[69.483] cobaltsolt: わこらだ？！？！
[69.522] iza__13: わこらだ
[70.211] gong_chan: 石川界人さん？！？！
[70.227] 五色椿: 石川さんが？！？！
[70.394] (S)nekodama2155: なんだと…！？
[70.427] ponnzu_: わこらだ
[70.427] (S)fuu_maru: 石川さん声良…
[70.551] nianoma: わこらだ
[70.597] Miriotta: www
[70.646] nishina___: わこらだ！？？
[70.806] sunsun_deshi: 石川界人…！無理すき、、
[70.817] (S)bread_3969: わこらだ！
[70.882] 足し湯: わこらだ
[71.275] たけのこ派: 声がいい…
[71.306] (S)ほのぼの: わこらだ
[71.369] (S)狐の子: 界人くん､､､だ
[71.404] aika21: 4位おめでとう!!!
[71.494] miam_1018: わこらだ！
[71.496] yan_25258: 石川界人さん〜〜〜〜〜〜〜〜〜〜〜〜
[71.585] 碧威: えぺまつりおつかれさまー、
[71.638] (S)moyasi100622: わこらだ
[72.013] tetsumili: !uptime
[72.096] garurisu: わこらだ！
[72.135] rena_0730: わこらだ！！
[72.135] しかくのさんかく: いい声だ……
[72.317] (M)Nightbot: らっだぁ が配信を始めてから 1 minute 21 seconds 経過しています。
[72.414] suibotu_: 豪華声優様...！
[72.576] (S)はぐりっと: www
[72.588] かずはっと: わこらだ
[72.808] カイヨ0820: わこらだ
[72.914] (S)さめちだい: わこらだ
[72.931] ponpon_12: わこらだ！！
[73.477] aki_1201: わこらだ
[73.744] (S)solt0364: わこらだ
[73.903] gaiantufan: wwwwwwww
[73.992] yashigoo: わこらだ
[74.079] cobaltsolt: かいとさん？！？！？！
[74.115] (S)ねこすず: わこらだ
[74.230] カイラ_: わこらだ
[74.283] kanon_nnn: 板倉さんは来なかったか、、、
[74.539] (S)chisatooo_87: わこらだ
[74.586] (S)しょーーーん: わこらだ！！！まってたー！！
[74.750] (S)えびぽや: 石川界人？！？！！！？
[74.757] emu__0122: わこらだ
[75.010] ゆるはら: わこらだ〜ってか界人君？！！
[75.057] (S)はなあさぎ: わこらだ
[75.247] ココナッツ__24: わこらだ
[75.264] yayame85: わこらだ
[75.295] (S)mimi_fuwa1489: わこらだ
[75.342] 碧威: わこらだ！
[75.478] にゃんねね: わこらだ
[75.480] koya_cha: きちゃ！
[75.505] susefu: わこらだ！
[75.514] くまの__: 石川界人さん？！
[75.710] cha_ti: わこらだ
[75.872] (S)スパーズ: wwwwwwww
[76.016] のせ太郎: 石川さん！？！？！？！？！？
[76.245] とおひ: 石川さんだぁ！！！
[76.483] ruck_4444: わこらだ
[76.526] kanna0730: わこらだ
[76.619] ルロア: わこらだ
[76.855] たらふく2815: わこらだ
[77.054] しろわにさん: 界人くんが二次会参加とかマ？
[77.225] maru394: わこらだ
[77.471] pwmjgpwdjgwuj: ええ声や
[77.571] (S)たぴおか1267: わこらだ！ 
[77.638] のんﾁｬ: 初めましてw
[77.817] (S)myugi39: かいとくんすきです
[78.048] ちょーみん: wwwwww
[78.115] (S)tommyy_0430: らだおが声優さんとゲームする時がくるなんて、、
[78.344] みあたん: わこらだ
[78.368] kanusu_pandaisuki5656: わこらだ！
[78.436] hunting_nimo: わこらだ
[78.505] garurisu: 声が良い…
[78.903] suzunoki_712: わこらだ
[78.982] rena_0730: 石川界人さん！？！？！？！？
[79.235] moririnn1103: わこらだー
[79.264] minippu_haima: わこらだ
[79.351] yuria0129: わこらだ
[79.478] (S)nuiru0710: わこらだ
[79.500] (S)ざくと: わこらだ！！
[79.593] takowasa9280: わも
[79.717] simoke_tu: え、
[79.795] toumyou_2525: わこらだ
[80.138] (S)まみやﾁｬﾝ: わこらだ
[80.582] WANCHOBI0706: いい声が
[80.689] (S)らむ麦: 声を聞けてます
[80.720] aivy373: わこらだ
[80.764] miam_1018: 待ってた！
[80.776] garurisu: わこらだー！
[80.817] (S)nayu_d: めっちゃええ声…
[80.958] nishina___: え！？？？？？
[81.296] かしぱん_: わこらだ
[81.329] (S)domesuke: 一緒のチームなんだよな
[81.331] mpru: わこらだ
[81.372] kurumi_615: わこらだ
[81.603] さばあいす: わこらだ
[82.063] (S)mimi_fuwa1489: 二次会キター！
[82.246] y_yoshi_y: 影山？！！？！？！？
[82.649] dokukinoco: オーバーウォッチかと思ったけど、うれしぃ
[82.780] だだそ: 石川界人さん、！！！！！？？？
[82.904] simoke_tu: 石川界人さん……？！
[82.960] pochipo_122922: 界人くんきちゃぁぁぁぁぁぁぁぁ
[83.056] 空おれんじ: わこらだー
[83.239] marron11: えええ
[83.248] ドコサヘキサエン: 石川界人とゲームってまじ
[83.360] マスクさん: 声がいい
[83.517] tyontyon: わこらだ
[83.544] (S)かりんとう12: わこらだ
[83.604] takowasa9280: わこらだ
[83.765] tanuki_pan: 5人でやるんだね
[83.825] maasan25254: わこらだ
[84.037] ココナッツ__24: きちゃぁぁぁ二次会!!!!!!!
[84.225] rararango: ゑ！？！？！？！？
[84.251] たまごかけごはんさん: 石川界人さん！？！？
[84.454] yan_25258: いい声やぁ……
[84.652] そー司郎: わこらだ
