[4.490] Pear10257: O̤̮K̤̮で̤̮ー̤̮す̤̮
[11.405] (S)リラカ: おかえり
[11.443] (S)ゐそやん: おかえり
[11.492] ヤマアラシ1222: るんば
[11.701] (S)nandemonaimomo: きつね
[11.745] (S)ここああああ: ぱぱかつ
[11.924] hellger27: つくね
[11.954] (S)勿忘草: きつね
[12.139] (S)riria0814: おk
[12.149] (S)おもしろ太郎0: おかえり
[12.293] (S)なっち: おっかあ
[12.328] nikkouak: radaoPien
[12.357] (S)お芋ﾁｬﾝ: おかえり
[12.392] _イオ_: おかえり
[12.459] (S)をきう: きつつき
[12.507] aya_39: ぱんつ
[12.518] (S)Alpha_5665: おっかあ
[12.663] (S)jasmugi: きのこ
[12.672] kio_uoxou: おかえら
[12.874] tonton_0110: おかえり
[13.067] nemi_zz: ねこ
[13.100] suima131: おかえり
[13.135] japarada_xeno: おかえり
[13.149] (S)yakkora: ゴンザレス
[13.177] nyoiiinsan: つま先
[13.242] 神崎立夏: にゃーん
[13.356] (S)雪華0830: つみき
[13.415] 236_23: きんたま
[13.454] (S)zabuton5mai: らだおじ
[13.652] astarte53: 聞こえる
[13.675] yonku_2512: きてね
[13.736] (S)saisai_tmc: おかえり
[13.939] (S)もってぃ__: おかえり
[14.346] (S)muru1113: ズッキーニ
[14.505] みなづきじゅん: 聞こえる
[14.959] 205_kenmin: ちんこ
[15.042] mirai_kira_: ねこ
[15.152] nemi_zz: こぶた
[15.207] (S)れんれむ: つきみ
[15.273] ﾊｲﾌﾝ: おかえり
[15.286] fintia: おかえり
[15.454] takaha_ty: きつね
[15.490] aramayo_1005: おかかおにぎり
[15.493] oisu_ois: ねこ
[15.499] むつくる: きつね
[15.850] murasaki_0204: おか
[16.144] motiusa39: おかえり
[16.263] こまちゅな: LUL
[16.354] (S)てむぽ: 聞こえた
[16.363] kiminonamo: おかえり
[16.379] ぬるまりも: きす
[16.410] (S)雪華0830: おかえり
[16.517] (S)roze_25252: 聞こえた
[16.707] kamido__: ねこ
[16.720] (S)rakotann: おかえり
[16.750] (S)pannnakottajp: きのこ
[16.862] yakuza_isi894: きんきく
[16.900] nemi_zz: たぬき
[16.920] applebell: はやいねおかえり
[17.132] (S)koukoukoy: おかえり
[17.194] ~MISSING_COMMENTER_INFO~: おかえり
[17.310] aato2535: きこえる
[17.489] yakki_san: こむぎこ
[17.489] ftfigaro: ねこ
[17.513] suteneko__: おかえり
[17.707] siondaifuku: きつね
[17.851] さけかす: きこえる
[17.880] kururu426: おかえり
[18.066] (S)saa_o331: きこえる
[18.101] (S)魔神モマン: おかえり
[18.140] (S)zyaga_b: おかえり
[18.296] daminchan_: おかえり
[18.326] aya_39: ねこ
[18.485] (S)izumi_0520: ねこ
[18.509] いのりさん: おかえり
[18.527] 雪狐0143: おかえり
[18.727] (S)0itimaru: おかえり
[18.921] dauto_622: おかえり
[19.000] (S)_はた_: きこえる
[19.116] (S)zabuton5mai: おかえり
[19.152] oru_kun: おかえり
[19.186] (S)mizuno0624: 聞こえる
[19.205] kamido__: こわら
[19.212] むつき7777: きこえたよ
[19.218] 205_kenmin: きれたか
[19.447] nemi_zz: きりん
[19.654] (S)rekuron379: はっや
[19.691] (S)米だわら: おかえり
[19.983] (S)ぴーやぽう: おかえりんりん
[20.211] (S)みどふぃ: 聞こえる
[20.227] ｷﾉｷﾉ: おにぎり？
[20.632] (S)shira_to: おかえり
[20.644] (S)hi_oyu: おかえり
[20.823] (S)ritae95: おかえり
[20.871] yakuza_isi894: おかか
[20.884] (S)kuugetsu: きこえる
[20.888] (S)れんれむ: おかえり
[20.894] (S)nnick1__: おかえり
[20.905] カイトおおおお: 終わるん？
[20.932] (S)yakkora: うんこ
[20.933] (S)hibiki_cat: おかえり
[20.967] あきぬこ: おかえり
[21.105] (S)murasaki_chan: おかえり
[21.361] じぇっとむーん: きこえた
[21.411] (S)雪華0830: 聞こえてまーす
[21.433] (S)そまる: 音なった
[21.689] (S)リラカ: 聞こえます！
[21.693] (S)魔神モマン: きこえる！
[21.717] (S)独炎レイト2525: おかえり
[21.731] takaha_ty: こまく
[22.052] Sironoawa_: おかえり
[22.085] otooooofu_chan: おかえり
[22.207] (S)れみのあ: 今一瞬きこえた
[22.382] 紗弥0926: 聞こえる
[22.391] (S)ichigaya_suzuna: おかえり
[22.463] 72_28: きこえた
[22.628] unknown_ra: 聞こえた
[22.631] (S)Alpha_5665: きこえる
[22.639] まき627: おかえり
[22.648] 72_831: おかえり
[22.799] (S)きすみさん: はっや
[22.802] shirataki_11: きこえる
[23.035] (S)~MISSING_COMMENTER_INFO~: おかえり
[23.263] まさ2013: きこえる
[23.295] (S)sjindoa: おかえり
[23.487] (S)れんれむ: はや
[23.501] ume_lix: きこえる
[23.726] (S)shira_to: きこえる
[23.737] danon0613: おかえり
[23.758] tomato_aossu: 聞こえるで
[23.932] (S)urotti: おかえり
[24.126] (S)aru_rujp: 聞こえる
[24.129] (S)yogharu: おかえり
[24.240] nyoiiinsan: おかえり
[24.244] hakata_sio: おかえり
[24.318] daidaine: おかえり
[24.390] (S)wasabi1290: わこらだ
[24.393] yakuza_isi894: わかめ
[24.822] kurutonya: おかえり
[24.847] narooon7676: きこえた！！
[24.969] nemi_zz: んだほ
[25.192] hellger27: こあら
[25.194] (S)miumii_330: おかえり
[25.366] (S)お芋ﾁｬﾝ: きこえる
[25.385] masukis: 聞こえる
[25.452] (S)yuu_umi: きこえた
[25.577] kurisuzu: おかえり
[25.933] 06_yo_17_ta_12: おかえり
[25.991] ユーキ0703: お帰り
[26.607] aonatoooon_3939: おかえり
[26.620] (S)jasmugi: はや
[26.668] アニサキス: お、
[26.713] (S)naruka_ik: わこらだ
[26.738] (S)く一ろ: おかえり
[26.752] takaha_ty: え
[26.782] zcxhg: きこえる
[26.817] dauto_622: 聞こえる
[27.025] (S)不思議の国のポリス: わこらだ
[27.144] (S)ameneko3: おかえり
[27.297] (S)necohina: おかえり
[27.495] ゆなべ: はやい
[27.569] (S)独炎レイト2525: はっや
[27.681] chunchumu: 聞こえた！
[27.730] (S)Ra_0601: おかえり
[27.770] (S)ZAKUtesta: はやい
[28.146] (S)kotatsu_san: おかえり
[28.344] (S)lv_0_: おかえり
[28.348] hellger27: おかえり
[28.349] (S)sakurada_04: おかえり
[28.397] nemi_zz: ほうき
[28.441] 五色椿: おかえり
[28.457] haru_nonanakusa: ※6000人のしりとりです
[28.550] yaaaaa85: おかえり
[28.584] bucket_niwatori: おかえれ
[28.656] kamido__: ライオン
[28.658] yakuza_isi894: ロシア
[28.752] (S)moyasi_235: おかえり
[28.754] (S)jasmugi: おかえり
[28.889] (S)魔神モマン: 何があかんかったんや
[28.933] irino_0018: おかえり
[29.011] (S)yu__0316: おかえり
[29.159] yui_sumomaru: きこえる
[29.239] mirai_kira_: おかえり
[29.509] r_040127: おかえり
[29.691] (S)zaaaako__: お
[29.798] むつくる: えん
[29.927] (S)ryou121296: おかえり
[30.063] (S)aonohito0901: おかえり
[30.205] motiusa39: はっや
[30.270] takaha_ty: 聞こえない
[30.273] xx_mashiro: おかえり
[30.288] ｷﾉｷﾉ: はじまらん
[30.305] mikuro2009: おかえり
[30.349] 五色椿: きこえる
[30.376] tonkatsu_0413: 聞こえてるよ
[30.403] (S)left_2_10: きこえる
[30.495] hibari0525: はっや
[30.583] アニサキス: 聞こえる
[31.374] (S)miumii_330: きこえる
[31.387] 夢現: 俺が音を消してた
[31.519] nemi_zz: おかえり
[31.548] (S)rakotann: きこえる
[31.551] (S)kaz_275: きこえる
[31.602] さたさた: はやい
[31.737] (S)魔神モマン: きこえるよ
[31.815] (S)をきう: おかえり
[32.101] (S)umiwani_: おかえり
[32.317] riruzu_2525: きこえる
[32.358] kururu426: はっや
[32.441] (S)yuu7syo: おかえり
[32.533] (S)1003_barbara: うん
[32.548] harou_momiji: はや
[32.553] (S)しゃけやろうﾊーﾄ: おかえりー
[32.559] aya_39: きこえるー
[32.564] misamisa_913: おかえり
[32.961] (S)zaaaako__: きこえた
[33.062] kei_2021: きこえる！
[33.179] yakuza_isi894: イタリア
[33.315] まき627: きこえる！
[33.326] piriodo_1: え？
[33.662] (S)nandemonaimomo: きこえる
[34.152] (S)muru1113: おかえり
[34.359] (S)れみのあ: きこえた
[34.372] yumenoiatu: おかえり
[34.399] sterasu: おかえり
[34.407] (S)独炎レイト2525: 聞こえる
[34.529] nyoiiinsan: 聞こえる
[35.265] (S)urotti: 落下音は聞こえたよ
[35.481] 205_kenmin: たんぼん
[35.624] (S)渚けい1210: おかえり
[35.847] (S)いさお130: 帰ってきた？
[35.889] fintia: きこえる
[36.001] 消しピン: あ
[36.054] (S)rioapr03: おお聞こえた
[36.064] po_1017: おかえりー
[36.078] tonton_0110: 聞こえた！
[36.081] (S)湯とうふ: おかえり
[36.193] namiki_: あ
[36.244] emilu1765: おん
[36.253] (S)魔神モマン: 不具合ですか？
[36.261] (S)~MISSING_COMMENTER_INFO~: きこえる
[36.473] omuraisu_nana10: きこえる
[36.603] aato2535: え？
[36.812] 06_yo_17_ta_12: わこらだ
[36.822] (S)しゃけやろうﾊーﾄ: きこえる
[36.831] (S)をきう: た
[37.005] having_harumaki: ｗｗｗ
[37.017] (S)karasu57: きこえる
[37.046] minto13579: 聞こえる
[37.141] 紗弥0926: 聞こえた
[37.240] aya_39: おかえりー
[37.245] (S)海苔820: わこらだ
[37.250] (S)エルローライト0302: おかえり
[37.443] (S)shimeno_n: 聞こえる
[37.448] yakuza_isi894: たかのぶ
[37.617] kswt10635: え？
[37.924] masukis: え？
[38.000] ないくあ: あ
[38.206] カイトおおおお: おかえり
[38.261] mirai_kira_: wwwwwwwww
[38.324] りゅい: きこえるー
[38.333] reicheru910: きこえる
[38.335] コナンオタク4869: 聞こえた
[38.370] (S)唐辛子ガール: おかえり
[38.429] (S)rioapr03: ww
[38.480] (S)fuzi_inari: 聞こえる
[39.163] namu0418: 聞こえるー
[39.179] 1__matsu: きこえる
[39.266] さたさた: きこえるん
[39.308] takaha_ty: あずき
[39.309] _イオ_: 聞こえる
[39.337] (S)をきう: あ
[39.357] (S)yogharu: きこえる
[39.423] (S)frappe_18: きこえた
[39.466] deccslomp: 聞こえる
[39.502] (S)koukoukoy: え
[39.540] souranbushiman: なった！！！！
[39.662] (S)sakurada_04: 聞こえるよ
[39.807] ~MISSING_COMMENTER_INFO~: www
[40.074] ちゃつう: 聞こえる
[40.267] noga_892: おかえり
[40.289] (S)こぺと: 聞こえる
[40.304] minto13579: えｗ
[40.312] むつき7777: え？
[40.321] 紗弥0926: www
[40.350] ふるふれあ: 歪？
[40.506] (S)みどふぃ: ｗｗ
[40.560] (S)kuuhaku417: はっや
[40.571] むつくる: え？
[40.572] sinann365: きこえる
[40.723] (S)lv_0_: 聞こえる
[40.763] (S)saa_o331: 草
[40.863] (S)rioapr03: えぇw
[40.941] 1hiroin: 聞こえる
[41.011] (S)そまる: えw
[41.093] (S)salt_w12: えぇ
[41.113] (S)れんれむ: 聞こえる
[41.203] ヴェライス: 聞こえた
[41.433] まき627: 聞こえた⭕️
[41.458] pct_oo: おけーり
[41.736] (S)zaaaako__: 羊毛w
[41.743] (S)雪華0830: えーw
[41.806] (S)kohakuuu1123: 聞こえる
[42.177] しろくろくじら: ｗｗｗｗ
[42.197] (S)kaomodi22: おかえり
[42.206] (S)umeumeboshi: おかえり
[42.219] ずれ: なおった
[42.837] micha23214: 歪
[43.055] (S)yakkora: 目潰しﾃｰｰｲｯｯｯ
[43.142] 神崎立夏: じゃがりこ食べててもらっだぁの悲鳴だけは聞こえる
[43.279] (S)ketyako__5672: きこえる？
[43.328] (S)motamiku34: 歪
[43.575] nyoiiinsan: wwwww
[43.637] Sironoawa_: きこえる
[43.825] (M)jin_cookie: 草
[43.986] yakuza_isi894: サボってんちゃうぞ
[44.081] satochi_1000: 帰ってこん
[44.211] (S)rakotann: なぞやね
[44.551] ないくあ: 不正
[44.589] takaha_ty: 聞こえない
[46.000] (S)zaaaako__: おかえり
[46.395] zak0zako: 聞こえる！
[46.632] _イオ_: wwww
[46.843] (S)roze_25252: 音さん久しぶり
[47.399] シャケ権三郎: おかえり
[47.609] (S)yuu7syo: ｗｗｗｗｗｗｗｗｗ
[47.804] aimnpp: 聞こえた
[47.806] やまちゃん丸: デバックした
[47.814] danon0613: 羊毛笑
[48.024] むつき7777: 不正
[48.152] shirataki_11: wwww
[48.177] kurutonya: w
[48.208] (S)きすみさん: きこえる
[48.323] (S)murasaki_chan: wwwww
[48.414] いる1023: きこえた！！
[48.502] まっちゃくんん: グリッヂじゃん
[48.531] arara_0427: らだおー
[48.719] りゅい: うん聞こえる
[49.154] みなづきじゅん: 不思議だねえ
[49.343] kiminonamo: 歪
[49.382] いのりさん: おかえりー
[49.383] noga_892: あ
[49.394] yui_sumomaru: えwwwww
[50.101] からたべ: 歪？
[50.143] (S)RITO0117: おかえり
[50.147] piriodo_1: コメ欄が早すぎる
[50.246] chiruru_iv: きこえたー
[50.246] dauto_622: 歪
[50.340] tomato_aossu: えw
[50.796] Pear10257: お
[50.800] daminchan_: きこえた
[50.822] (S)bunchaan: きこえる
[50.871] aimnpp: www
[51.024] (S)yu__0316: あ
[51.479] kamido__: 不正
[51.550] 1hiroin: 謎
[51.891] deccslomp: デバック
[51.956] 五芒: radaoHusei
[52.192] emilu1765: wwww
[52.211] gaiantufan: あ
[52.764] (S)miumii_330: www
[52.808] (S)rakotann: www
[52.838] (S)こぺと: wwwwwwww
[52.889] zcxhg: 𐤔𐤔
[52.950] irino_0018: あwww
[52.985] (S)urotti: なんでだよwwwww
[53.030] (S)arumame: wwwww
[53.107] (S)izumi_0520: きこえる
[53.111] takaha_ty: 聞こえない！！
[53.179] right_bdp: きこえたー
[53.222] noga_892: きこえるわ
[53.324] (S)ketyako__5672: 聞こえん
[53.386] kururu426: えwww
[53.725] kamido__: wwwwwwww
[53.813] (S)shira_to: あ
[53.881] むつくる: 帰ってきてない()
[53.913] (S)karasu57: あ
[53.959] まき627: www
[54.329] Pear10257: ま
[54.504] ユーキ0703: えw
[54.532] りゅい: 羊毛
[54.773] ariariaris: 聞こえたぁぁぁぁ！！！
[54.847] harou_momiji: 不正？
[54.938] (S)不思議の国のポリス: なんか音聞こえる
[55.204] (S)yuu_umi: 草
[55.371] pimoon_15: あ
[55.440] reicheru910: 草
[55.538] (S)Ra_0601: 草
[55.591] sekibunkun0619: 何も見えんし聞こえん
[56.016] ringo_0311: 聞こえん
[56.101] Pear10257: ん
[56.231] 205_kenmin: <3
[56.249] (S)ぴーやぽう: www
[56.729] りゅい: あれま
[56.905] zcxhg: おかえりなさい
[57.138] (S)karasu57: radaoHusei
[57.169] sinann365: www
[57.368] rm__chan: 草
[57.549] (S)きすみさん: あ
[57.576] piriodo_1: え？
[57.755] shishamooooo: きらりーん
[57.761] Pear10257: こ
[58.010] namu0418: 音聞こえるよ
[58.200] (S)NnoP1: こないよー
[58.626] (S)kaomodi22: 鼓膜帰ってきた
[59.460] noga_892: え？www
[61.048] (S)zaaaako__: おおー
[61.064] (S)koukoukoy: 草
[61.114] (S)よなたそ: おかえりｗ
[61.439] toma_neko: おかえり
[61.609] (S)akagi111: おお
[61.610] 悉く滅ぼすかねつぐ: おかえり鼓膜
[61.764] suga_727: きこえた！
[61.796] enerunrun: 聞こえる
[62.068] (S)とまとはおいしい: おお
[62.530] (S)rioapr03: 聞こえる
[62.618] 夜半アロウ: お、開き直したら聞こえた
[62.662] 夢現: きこえる
[62.828] (S)nana_om: おかえり
[63.031] (S)yakkora: www
[63.038] micha23214: じゃあ昨日も平気だったんじゃない？
[63.234] aato2535: 聴こえる
[63.276] (S)cillie390: 歪？
[63.290] harou_momiji: きこえる
[63.346] twtpk63sai: pikachu_63sai subscribed at Tier 2. They've subscribed for 9 months! 
[63.586] chan_motti: 聞こえる
[63.856] _イオ_: 聞こえる
[63.877] (S)zero_gram77: きこえる
[63.935] (S)RITO0117: おお！
[64.056] (S)urotti: 寺行き確定
[64.061] (S)そまる: 聞こえる
[64.066] souranbushiman: 突然の
[64.094] (S)kuuhaku417: 鼓膜おかえり
[64.145] (S)をきう: BGMおっきく出来ん？
[64.436] (S)れみのあ: 聞こえる
[64.563] (S)zaaaako__: おかええい
[64.652] ヴェライス: ok
[64.773] masukis: 聞こえる
[65.018] (S)pannnakottajp: おかえり
[65.020] (S)雪華0830: 聞こえてまーす
[65.208] 4clover0801: おかえり
[65.347] (S)akagi111: 聞こえる
[65.442] ゆりの花: 聞こえる！
[65.644] (S)ユーキ1211: おかえりw
[65.647] minto13579: 聞こえるよー
[65.793] (S)matchamochi117: きちゃー
[65.864] 檜山尚人: きこえるよ～
[65.866] (S)461kuma: おかえり
[65.924] nyoiiinsan: 聞こえる！
[65.999] (S)月ねこ: 聞こえたよ！
[66.110] mirai_kira_: 聞こえるよ
[66.435] (S)salt_w12: 聞こえる
[66.546] murasaki_0204: お！！！！！
[66.547] namu0418: あるある
[66.602] yaaaaa85: 仕事とられたのろいか…？
[66.650] yakki_san: ガチで音聞こえてる感じ？
[66.652] 雪狐0143: 聞こえる
[66.662] (S)yakkora: おかえり
[66.838] (S)aono_202: おかえり
[67.038] (S)こしつぶ: 聞こえる
[67.079] すいう: 聞こえる
[67.137] danon0613: 聞こえる
[67.160] (S)みどふぃ: めっちゃ聞こえる
[67.246] piriodo_1: ラグ？
[67.255] (S)mamo_tarou: 聞こえたー
[67.286] (S)kiriya_453145: うっさ
[67.320] yakuza_isi894: きこえる！
[67.625] おまえのむすめ: きこえる
[67.666] ~MISSING_COMMENTER_INFO~: 聞こえる
[67.682] フロートーー: 聞こえるー
[67.744] ふるふれあ: めっちゃ聞こえる
[67.823] zutsuusann: 聞こえる
[67.830] hibari0525: キコエタ
[67.861] (S)motamiku34: きこえる
[67.881] Toki_1259: 聞こえる
[68.066] enerunrun: めっちゃガチャガチャ
[68.135] (S)murasakineko6262: 聞こえる
[68.141] (S)frappe_18: きこえるー
[68.152] anne00ume: きこえる
[68.165] ギルガメッシュ: うるさい
[68.198] あきぬこ: かえってきたー！！
[68.251] aimnpp: 帰っておいよ
[68.284] Remint39: おかえりぃ
[68.391] renkanokotatu: imGlitch
[68.440] (S)akagi111: おかえり
[68.716] (S)setu1021: 聞こえるよん
[68.741] 紗弥0926: 聞こえる
[68.905] (S)ロぜ: きこえる
[68.915] うめ星: きこえる～～～
[70.132] kurutonya: 聞こえる
[70.232] applebell: 鼓膜おかえり
[70.327] (S)もってぃ__: きこえる
[70.363] rew_0125: 音出して
[70.519] からたべ: 聞こえる
[70.558] (S)fuzi_inari: 聞こえる
[70.578] ikaryakun: 聞こえる
[70.673] (S)とれいら: きこえる
[70.718] りゅい: 良かったね
[70.753] (S)izumi_0520: 足音でわかるよ
[70.783] irino_0018: きこえるー
[71.056] Ruu_0201: 聞こえる
[71.108] (S)aru_rujp: 聞こえる
[71.150] tomato_aossu: 聞こえる
[71.243] いる1023: 久しぶり
[71.314] kiminonamo: うるせー
[71.344] (S)リラカ: 聞こえます〜
[71.680] うい0403: 聞こえてるー
[71.821] (S)daifuku0052: 聞こえる
[71.880] aono_kasisu: 聞こえる
[71.936] (S)焼畑: きこえる
[72.032] (S)yuu7syo: きこえる
[72.095] murasaki_0204: おかえり
[72.164] fintia: きこえるよー
[72.201] (S)ketyako__5672: きこえる
[72.241] souranbushiman: 聞こえる！！！！！！！？
[72.251] ftfigaro: 鼓膜買ってくる
[72.259] _イオ_: うるさい
[72.585] namu0418: きこえるー
[72.635] (S)かしぱん_: うっさ
[72.660] deccslomp: きこえる
[72.713] asuka_zcrsh: きこえた！
[72.747] shirataki_11: 聞こえる
[72.920] shishamooooo: 来ない人入り直しな
[72.935] (S)owatativv: うっさ
[73.153] bon_sai: おかえり
[73.180] mii_kun1116: 聞こえるー
[73.224] (S)mameinu_: 聞こえるわ
[73.357] astarte53: 鼓膜治った
[73.517] (S)渚けい1210: 聞こえる
[73.565] 72_28: 歪
[73.701] かすてら_0110: 聞こえる！
[73.740] pepexxxn: 聞こえます !
[74.173] anne00ume: 聞こえるょ
[74.367] (S)roze_25252: 音さんお久しぶりです
[74.417] piriodo_1: 分からん
[74.423] yui_sumomaru: 聞こえるー
[74.552] hope_9696: 聞こえる
[74.734] りゅい: ドア
[74.920] (S)mizu_riku: 聞こえる
[74.977] nyoiiinsan: 音おかえり
[74.991] asaborake0408: 聞こえた
[75.086] 紗弥0926: うるさい
[75.279] (S)ryo_ngz: きちゃー
[75.304] nekowanko: きこえる
[75.342] dauto_622: うっさ
[75.470] (S)RITO0117: わろ
[75.493] (S)rakotann: きこえる
[75.709] (S)karasu57: きこえる
[75.717] (S)みえのえ: きこえる
[75.777] (S)zyaga_b: きこえる
[75.810] masukis: 大丈夫
[75.831] naki_516: 聞こえるー
[75.895] aono_kasisu: うっさ
[75.901] (S)kuuhaku417: おおおお
[75.916] 205_kenmin: 今再起中
[75.974] (S)murasaki_chan: 聞こえるよー
[76.244] (S)koukoukoy: 聞こえるわ
[76.250] (S)flower_sayasaya: 聞こえる
[76.411] おまえのむすめ: うっさい
[76.460] japarada_xeno: 聞こえるー！
[76.617] (S)zaaaako__: うっさ
[76.698] (S)mizuno0624: 聞こえるよｎ
[76.805] りゅい: おおおお
[76.810] (S)さおりん_: 聞こえる！
[76.912] ryu_moyashi: きこえる
[77.320] ずれ: 聞こえてる
[77.342] raatan_chan: かこえる！！
[77.522] (S)iriss3535: 聞こえる
[77.738] rew_0125: 聞こえる
[77.936] burukuremu: きこえる
[77.941] (S)outinoyami: わこらだ
[77.952] daminchan_: うっさ
[77.956] kohq_Loco: わこらだ
[78.102] (S)karasu57: うるさい
[78.156] いのりさん: らっだぁワールドデータ残ってる？
[78.209] puketyan: おかえりー
[78.385] (S)nana_om: きたーー！！
[78.481] (S)じょぶたみ: 聞こえる
[78.520] pepeyan: 青だつもやるん？今日
[78.590] (S)461kuma: 聞こえる
[78.604] (S)arumame: 聞こえる
[78.683] unknown_ra: うっさ
[78.693] danon0613: うっさ
[78.721] bon_sai: 聞こえる
[78.814] (S)hi_oyu: きこえる
[78.876] 魔法少女その: きこえるー
[78.885] (S)bearin627: 聞こえるー
[79.009] (S)36maru: 聞こえる
[79.064] とまとかれー: 聞こえる！！！
[79.095] emilu1765: 聞こえる
[79.108] takaha_ty: 開き直したら聞こえる！
[79.231] n_g_t_r: 聞こえる！
[79.235] noga_892: きこえる
[79.237] (S)zabuton5mai: 聞こえる！
[79.449] (S)shira_to: うっさ
[79.450] (S)みどふぃ: うるさい
[79.512] (S)mamo_tarou: もういいよ
[79.691] (S)ｸﾛｲ: うっさ
[80.353] (S)matchamochi117: radaoYatta
[80.410] r0_0Ru_ruru: きこえる
[80.426] あえん: 聞こえとるわ
[80.489] (S)shimeno_n: 聞こえる
[80.596] (S)lv_0_: 聞こえる
[80.596] (S)~MISSING_COMMENTER_INFO~: きこえる
[80.639] (S)salt_w12: うっさ
[80.692] shoooootingstar: うっさ
[80.799] れしぃと: 聞こえた
[80.894] (S)にわとり鶏: オッケー
[80.898] kururu426: 聞こえる
[80.927] Toki_1259: うっさ
[81.136] (S)く一ろ: おー聞こえる
[81.163] (S)こぺと: 聞こえる
[81.216] anne00ume: うるさ
[81.582] (S)雪華0830: うっさ
[81.629] aonatoooon_3939: 聞こえる
[81.767] kswt10635: 聞こえる
[81.788] pimoon_15: 聞こえる
[82.189] applebell: いいね
[82.299] sakuchi_1108: お
[82.352] (S)kotehan31415: かえってきたねぇ
[82.357] (S)じょぶたみ: うっさ
[82.381] fintia: うるさ
[82.561] shirataki_11: うっさ
[82.739] (S)みえのえ: よかったねえ
[82.767] sekibunkun0619: あ、きた
[82.799] いのりさん: うっさ
[82.913] mirai_kira_: うっさw
[82.957] (S)cillie390: きこえるー
[82.981] まき627: ガチャガチャガチャガチャ
[83.116] (S)umeumeboshi: きこえる
[83.127] (S)jasmugi: 聞こえる
[83.150] (S)kuuhaku417: うるさい
[83.174] (S)yakkora: ばっちり
[83.187] 06_yo_17_ta_12: おー
[83.208] irino_0018: うっさ
[83.212] (S)murasakineko6262: うるせぇw
[83.379] (S)yogharu: きこえる
[83.552] (S)こぺと: うるさい
[83.982] (S)aoya_1112: きこえるー
[84.001] かすてら_0110: うっさ
[84.121] 琥珀はこ: きこえた！
[84.264] puketyan: 聞こえるー！！
[84.318] kururu426: うっさ
[84.338] (S)ユーキ1211: radaoOk
[84.359] (S)nonntyami0421: 聞こえる
[84.594] yui_sumomaru: うっさww
[84.712] kurutonya: うっさ
[84.797] 4clover0801: 音おかえり
[84.798] すいう: 聞こえてるよー
[84.803] (S)角角家: 聞こえる
[84.946] (S)yakkora: うっさ
[85.424] (S)murasaki_chan: うっさ
[85.443] mikazuki29: 聞こえる
[85.502] reicheru910: うるさ
[85.528] aya_39: 聞こえるー
[85.651] おはぎ219: きこえる
[85.668] (S)rakotann: うっさ
[85.732] mii_kun1116: しゃしゃんな()
[85.751] (S)独炎レイト2525: うっさ
[85.848] gaiantufan: 聞こえる
[85.853] Remint39: 聞こえる
[85.931] (S)izumi_0520: 草
[86.046] (S)zabuton5mai: よかったぁ
[86.048] ユーキ0703: 聞こえる
[86.291] suteneko__: 聞こえるー
[86.492] mikoton25252: 聞こえる
[86.521] (S)はくとうさゆ: きこえる
[86.705] japarada_xeno: うっさ
[86.714] カイトおおおお: うっさ
[86.716] hibari0525: うるっさ
[86.827] nemi_zz: きこえる
[87.014] pct_oo: うっさ
[87.095] コナンオタク4869: ドア音変わってんじゃん
[87.424] りゅい: うるさい
[87.656] (S)yu__0316: 聞こえるよ
[87.734] (S)flower_sayasaya: うっさ
