[25.270] careful_crab: Oh 
[117.083] furu13: あれどうすんの？
[123.461] tmtm84: 消えないバグ
[127.900] kern_tucker: あれはバグだしすぐ直るでしょ
[130.037] (S)kropt96: ササモ兄がtwitterで上げてたやつ？
[137.246] une3333: すぐ直るっしょ
[137.331] jagajaga1943: 5000削るw
[141.463] (S)tabibitox: あれはバグだから修正される
[141.586] (S)brutal9998: それは終わっとる
[142.528] (S)bolabola102: バーンアウト時削りで5割削れる
[142.585] icyblue1985: ガリガリ君
[148.484] 新ころりん: 流石に修正されるヤツ
[149.085] チョコミんト: www
[150.411] ちぇんぷる: もにぃ
[150.957] johndoe6523rp: 削り5000は草
[152.376] (S)axchuuu: ごせん！？
[152.532] (S)hiro_chan: ゲーニッツやん
[157.162] latenight000: 露骨にバグなやつ
[163.484] (S)hinhinpp: バグじゃなかったら石油マネー
[166.972] akira_s_: 仕様は草
[168.456] ちぇんぷる: あれ仕様だったら大荒れw
[169.671] だいこん_: イウサール撃ってアラビアンで蹴って前歩きし続けると竜巻消えなくなる
[174.389] (S)homu0117: UMVC3のモリガンじゃあるまいし
[178.302] (S)Hiclere: きもい歩き方で全部もってかれるの笑った
[184.340] tmtm84: C「仕様です」は草でしょ
[191.593] t0m0yuki: 別にバグに目くじら立てててもねぇ
[199.626] akira_s_: 数時間で見つかったしな
[204.236] kernel999: イウサール食らっている相手を押して連続ヒットしすぎないようにすればいいっぽいな
[220.415] プリズムパワー: ノーマルはしない
[232.157] (S)kropt96: 必殺技ですね
[236.823] 496shikuro: あーそれであのバグ起こるのか
[242.284] (S)aviru428: 竜巻のガード時のヒット回数が移動でリセットされるっぽい？
[248.005] niemalsaufgeben: やってきたらパリィかドライブリバーサル
[249.067] (S)tabibitox: スパイクガードはちゃんとお仕置き可能だったぽい。ラッシュでいいしキャラによってはインパクト確る
[258.801] latenight000: トリッキーな動きはできるけど、通常技リーチはリュウケンよりか短いですね
[273.929] akira_s_: BO中なら削り続ける
[273.966] johndoe6523rp: 早めに見つかって良かったねぇ
[276.689] vaio_95: たつやはM春で72連勝したせいで弱体化されちゃったよ
[276.850] (M)Moobot: ～ 新ヘッドセット登場 ～ HyperX Cloud III → 空間オーディオの臨場感で楽しくゲーム出来てます https://hyperx.gg/42XVwOf
[283.724] (S)hiro_chan: イウサールの中をラシードが通過すると挙動が変わる仕様が優先されて消えないんやろな
[285.897] ~MISSING_COMMENTER_INFO~: 感謝の天空突き
[290.065] furu13: アナコンダ…
[291.998] (M)(S)gameinntwitch: キンバリーを強くした感じか
[295.448] 1108044k: タメ短かったのがバグだった
[296.128] une3333: あと運びはかなり良いっぽいっぽいですね
[300.417] latenight000: 生ラッシュが早いので、トリッキーな動きで本命の生ラッシュを通すキャラなのではと予想してる
[300.733] (S)bolabola102: ため時間増えた
[302.889] takahashiseigi: ぷげらが、リニアならぬジェット配信してるw
[303.412] tibusa8: 今作ラシード動き細かくてかっこええ
[303.982] ktkn_cute: 溜め時間がCと統一された
[307.056] kumihachan: 弱体っていうかバグ消去
[310.540] akira_s_: 気功のためが同じに
[312.564] balthazar000: きこうけんの貯めが45->50F だったかな
[314.043] (S)ふぁんつい: 修正点ってどこかにあがってるのかな？
[323.015] (S)gorogorogorn: モダン用に調整したわけじゃなかったのか…
[325.133] balthazar000: ***
[326.048] tyusonmit: あれバグだったのか
[326.279] akira_s_: 公式サイトにある
[326.284] (S)hiro_chan: タツヤが悪さしすぎた
[329.256] balthazar000: 貼れた
[330.135] une3333: バックラー何ちゃらにあるかと
[332.015] 0208h: ケンはなんもない？
[334.852] (S)ふぁんつい: サンクス！
[337.126] johndoe6523rp: そうなんだｗw
[339.011] balthazar000: ケンはなんもなし
[340.646] (S)tabibitox: 公式サイト（５のシャド研みたいな）にある
[341.628] vaio_95: バグってことにしとこう！の可能性もある
[342.887] furu13: 仕様でよくね？
[345.073] ktkn_cute: ケンなし
[345.296] latenight000: 逆にMブランカの溜め時間が長かったのがCブランカに合わされて短くなった
[352.208] une3333: ケンはなしですね
[352.852] (S)octo_56: 仕様だった可能性もある
[353.281] HirocoT: なかったですねぇ
[356.344] zafy4th: よかた
[358.098] akira_s_: ない
[361.270] 1108044k: ワンボタンになってしゃが中確認ラッシュってできます？
[363.908] balthazar000: リリーはバックジャンプダイブが無くなった
[364.195] (S)tabibitox: ああ、公式サイトに全フレーム表出してくれるようになったよ
[371.239] une3333: というか他キャラもほぼバグ取り
[377.034] だいこん_: あとついに公式フレーム表が公開されましたね。ｳﾚｼｲ
[378.155] latenight000: 中足確認は無理だろうね
[382.855] balthazar000: 小技仕込みラッシュ無くなったのは痛手です？
[386.189] ktkn_cute: ブランカは修正点多すぎてそれによって新たな修正箇所が生まれたのでそれは次回対応って書いてあった
[387.369] Shun314fire21: shun314fire21 subscribed with Prime. They've subscribed for 13 months! 
[387.974] lackesis: 無理か
[388.851] わしょい: 大P確認簡単すぎてやばいかもです
[391.035] kiton_taichi: バトルのバージョンが変わったから今までのリプレイが見れなくなったって本当ですか？
[399.178] (S)gorogorogorn: フレーム表やっとか
[400.500] shiemi483: ダルシムのODアーチがSA3で消えるようになった
[402.484] niemalsaufgeben: 差し合いなら
[403.188] t0m0yuki: せっかくラッシュボタンになったのに残念だな＞中足
[404.524] akira_s_: フレームも補正率も出てる
[412.159] gugugu5432: チュンリーの中パン確認が安定したとか
[414.682] johndoe6523rp: 意図してない仕様が多かったんだな
[415.479] balthazar000: CRカップ～
[416.139] t0m0yuki: 食らった奴ｗ
[416.819] ロミヲ: ケンは良い調整だったの？
[417.875] (S)hinhinpp: あれ仕様じゃないのか
[418.314] chachachakoma: ｗｗｗｗ
[419.424] latenight000: 明らかに絵面おかしかったしw
[419.435] yomogi0610: ｗｗ
[419.887] CampFire71: 草
[420.241] rdstus: おいｗ
[420.989] 新ころりん: 苦しめられたヤツｗ
[421.771] だいこん_: CRカップで見たヤツｗ
[421.995] balthazar000: ふ～どつこうたか？
[422.303] (S)osarusan26: ふ～どさんが悲しんでた
[422.790] une3333: もうお尻燃えなくてすみますね！
[423.042] icyblue1985: 昨日あんなにやってたのにｗ
[424.147] tmtm84: あれはマジでおかしかったって
[424.912] HirocoT: さんざんくらったのに・・・
[426.165] ちぇんぷる: CRカップwww
[428.134] vaio_95: いい保険だと思ってたのにｗ
[429.213] (S)tabibitox: バグというより時間停止だからでしょｗ
[430.298] (S)izacro5e: えらいドラマ生んだあのアーチがｗ
[430.994] feel2525: あの時のあれぇ！
[432.802] 1108044k: バグ利用
[432.903] akira_s_: 時間止まった
[436.518] (S)如月うづき: 消えんくてよかったのに
[437.368] kumihachan: ケンは調整なしだったはず
[440.500] tak1on_: 時間止まるからアーチも残ってるとかいうのウソかよｗ
[441.505] HirocoT: CRカップで・・ｗ
[445.761] (S)メトロシティの研究者: CRカップの名シーンが！w
[447.976] mohita_3: ドラマ生んでしまったからなぁ
[449.758] (S)axchuuu: ダルシム；；
[453.013] 憂う者の弟子: たかし！
[454.943] t0m0yuki: たかし…
[455.124] yomogi0610: いろんな意味でCRカップは伝説やなぁ
[455.293] だいこん_: ないです…
[458.066] furu13: 意外と細かい変更あるな
[458.302] ロケッティア: …
[458.331] prisira: 強化調整じゃないしｗ
[459.052] vaio_95: モダン直っただけだね
[459.170] johndoe6523rp: RyuChamp
[460.622] kaigaizei: ザンギ弱体化は来た
[461.007] 1108044k: 補正バグ直ったとか
[461.873] ホアントゥ: ふーどくん グリッチ使いになってしまったｗ
[462.154] (S)ゴリゴリのゴリ: ないんですか、、、
[463.238] kiton_taichi: ジャスティンもラシードのイウサールネタをツイートしてて笑った
[463.418] balthazar000: 停止は本当なんじゃない？仕様外だった感。
[463.827] fbhjkl: BibleThump
[464.191] akira_s_: え？
[464.335] chachachakoma: たかし・・・・
[466.073] (S)tabibitox: リュウのインパクト後に謎補正かかってたけど修正されたんだっけ
[467.491] ooharae: たかしは完成品です
[467.505] CampFire71: なんでやろなあ
[467.735] ロミヲ: なんでぇ！？
[467.822] 新ころりん: すえおきたかし
[468.693] WhiteShoreDrive: タカスィー！？
[469.080] prisira: バグの調整だよｗ
[469.204] Ceciltaisa: リュウ・・・もうやすめっ
[469.665] プリズムパワー: 調整は年一らしいから....
[470.256] (S)kropt96: バグ調整なので…
[470.503] yomogi0610: なんでェ...
[470.752] 0208h: BibleThump
[471.261] (S)hiro_chan: なんでぇ
[471.426] tenten2156: なんでぇ
[471.807] une3333: そもそも強化弱体化の調整じゃないんで...w
[472.655] (S)Hiclere: ；；
[473.226] thraximundaru: リュウは補正が直ってコンボ高くなってるらしい
[473.366] nihonsyu_: なんでぇ・・・
[473.822] (M)(S)gameinntwitch: 練気ストックないのかぁ
[473.886] (S)aviru428: たかしはたかしのまま
[474.735] チョコミんト: トラボ！
[476.691] latenight000: ちゃんと強化されたのはMジェイミーの4Fが出せないのが調整されたね、これは修正じゃなくて調整だった
[480.672] balthazar000: バランス調整ではないからなぁ
[481.490] (S)gorogorogorn: DIOがそんなにたくさんいるはずないもんなあ
[485.084] chachachakoma: ウメちゃんがまってるんだよ？カプコンさん？？
[485.382] Ceciltaisa: リュウだってバグってたじゃんねぇ！
[486.677] pondenring0930: ガチードじゃたかしの弾キツいけぇ…
[486.779] akira_s_: 今回調整というかバグ取り
[489.388] やまゆ: コンボは強いのよ
[489.920] prisira: バグ調整だから
[493.617] feel2525: リュウは弱体化しないことが魅力
[495.352] kaigaizei: キチパがザンギ鞍替え考えるようになった
[496.744] 1108044k: 大P確認ラッシュしやすいよ？
[498.185] t0m0yuki: リュウがたかしになってるバグはよ
[498.323] balthazar000: あくまでバグ不具合修正っす
[499.239] (S)pfl2: 新キャラ4人では誰に興味ある？
[502.044] lutz001: またゴリラになったのか
[503.837] (S)gorogorogorn: 更なるゴリラ化ｗ
[504.626] tibusa8: 斬空波動拳はよ
[505.930] tmtm84: このゲームあまりにもたかしが普通じゃね？ｗ
[506.790] (S)osarusan26: モダンはバグや先行入力関連全部修正されて相対的に強化されてるね
[506.808] (S)m1s4m0: ミリパンって今後もYou Tubeにあがりますか？
[507.600] mohita_3: 中足の3Fは修正してくれても…
[508.663] une3333: ウメちゃんもやっぱりリュウは使いたいんですねw
[508.825] ぜんでん坂人生: リュウ強化されて、大和魂を身に纏ってる
[510.503] 新ころりん: ザンギ組はマリーザになるのかな・・・
[514.538] bobonchuaaaa: たかしも忘れましょうか
[515.176] (S)tabibitox: コパラッシュ漏れのせいでザンギが終わった
[515.635] prisira: aki
[516.447] t0m0yuki: AKIだっけ？
[517.831] (S)m1s4m0: akiki!!
[519.043] gugugu5432: リュウ使いのパラディンって人めちゃめちゃ強いですよね
[519.206] yomogi0610: akiki
[521.483] だいこん_: 秋
[523.351] (S)Hiclere: リュウが主人公奪われたのはバグじゃないんですか？
[525.523] latenight000: AKIKI
[525.542] 0208h: akiki
[526.699] (S)tabibitox: ミリパン１はあがってる
[526.792] (S)pfl2: 豪鬼じゃないんですね
[530.477] マイネームイズアキラックス: ウメ豪鬼はないのか…
[532.983] akira_s_: イーグルスパイクガード硬直-36F
[536.179] ジョンリョ: 明らかな強化ってMジェイミーくらい？
[541.275] (S)bolabola102: リュウってどうやって強くするの？
[541.670] balthazar000: 板ザンは泣いてるよきっと
[543.149] kaigaizei: キチパと板ザンがマリーザに移行しようか考えるレベル
[543.979] latenight000: ザンギがコパラッシュで近づくんじゃないよ！
[545.177] koutwitchtv: ザンギ不憫すぎる
[546.938] やまゆ: インパクト確定です
[548.837] cafe_gondo: ザンギ逆に弱くなったんか…
[549.442] chachachakoma: ミリパンまじミリパン
[549.612] 157655: 今作はとことん不憫やなw
[550.483] tibusa8: ザンギまた美味しくなったのか
[550.886] prisira: イーグルは風ないとインパクト確定らしい
[551.033] セツリ: 板ザンはマリちゃんだから
[559.093] 1108044k: リリーも実質ナーフくらってますね
[561.636] battyo76: ラシード使って本田を滅殺したい
[564.573] ktkn_cute: コパンにラッシュ仕込んでいきなりSA3で掴まれるように
[565.028] ロケッティア: 今日はラシード触るんかと思ってたけど、まず昇竜拳からですか
[573.576] yomogi0610: ネモさん喜んじゃう
[579.472] (S)tabibitox: あの謎ダイブ
[581.173] latenight000: バックジャンプからコンドルダイブ出せるバグがあったんだっけか
[581.841] bobonchuaaaa: 昇竜＞ラシード
[583.587] セツリ: いまラシード触ってない配信ウメちゃんぐらい・・
[584.316] (S)日本語かな: 全キャラインパクト確定もしくは前ステ大攻撃
[584.586] vaio_95: バックジャンプからダイブで亡くなった
[587.892] une3333: パックジャンプダイブができなくなったので
[589.160] perfecttakahashi: リリーどこまでも不遇だな
[590.610] だいこん_: コパラッシュ漏れを利用して0.5ゲージ以下でも無理矢理走れるように
[597.005] balthazar000: バグなら仕方なし
[598.371] なてるあ: リリー弱くなっちゃったんですか
[603.888] (S)如月うづき: あれなおっちゃったんか
[605.718] tibusa8: ブランカは良いのかな
[606.957] (S)kropt96: まああれはバグっぽかったし
[607.577] (M)(S)gameinntwitch: あれバグだったんか
[608.086] bobonchuaaaa: ウメさんだけ、ラシード触らず昇竜かっこいい
[614.428] (S)u_tear: 元々リリーのあれは説明文と違ってたからね
[615.982] 滝川投ゲステル: 全部ネモさんの政治のせいにして、内心ナーフ喜んでます
[617.940] 0208h: ウメちゃんは醤油受け配信
[618.952] t0m0yuki: コマンド表に垂直と前ジャンプって書いてるし
[621.090] jagajaga1943: EVO前にラシード入れといてプロシーンのために調整年1ってのはおかしい
[624.791] balthazar000: 春はハザン漏れが無くなったとか
[626.171] mohita_3: バグだったんだっていうの結構あって草。受け入れちゃってるよ
[633.764] battyo76: ラシードこんだけはっちゃけてると豪鬼マジで期待してるぜ
[639.208] (S)ふぁんつい: 割りと納得感ある修正ばかりかな
[640.480] balthazar000: 意図せぬ挙動
[642.134] (M)(S)gameinntwitch: その場合パリィになるべきよな
[644.639] latenight000: お気持ち表明リスナー現る
[649.516] (S)pfl2: evo後はガイル触りますか？
[651.059] akira_s_: 中東への売り込みの為や
[652.494] tmtm84: 本音ｗ
[655.384] niemalsaufgeben: 今回もこまかい調整は結構入った
[657.165] 1108044k: まあそう思ってる人は多いだろうね
[660.991] perfecttakahashi: ランクマでマッチングしてる時トレモショートカットとか使えなくなる問題は解決した？
[664.807] (S)gorogorogorn: エボでラシード禁止でいいのに
[668.968] ビフィダス: 100回聞かれてたらすみません、ラシード触りましたか？
[669.296] gugugu5432: 昔は調整なんてなかったからなんとも思わないな
[671.309] nkusuzzr: DAESuppy
[671.325] prisira: なんで調整ほしいんだ？
[672.361] chocolat1234: ですね
[674.498] (S)ふぁんつい: 確かに
[674.997] 憂う者の弟子: まだまだ味がでるぜ
[675.352] poposuke: でも大多数のプレイヤーからしたらEVOは無関係だからね
[675.818] bobonchuaaaa: 今やられるとケン下方くらいそうだから、もうちょい先でええよw
[677.434] chachachakoma: だねぇ
[678.250] WhiteShoreDrive: そうね
[678.372] akira_s_: ラシードまだ
[678.713] johndoe6523rp: そうですね
[679.454] (S)ふぁんつい: バグ修正だけでいいとは思う
[679.924] (S)オワオワタ: バグ調整だけでいいよ
[680.588] (S)hinhinpp: デタばかりのラシード使うのリスクだし
[680.828] t0m0yuki: お気持ち勢はもう完璧に遊びつくしてるから
[682.130] prisira: ２か月たってないぞ
[682.147] HirocoT: ｗ
[683.412] ビフィダス: ああああああああ
[683.671] だいこん_: 呪われる
[684.278] yomogi0610: ｗｗｗ
[684.602] 000105: まだ味は濃いよ
[685.498] (S)tabibitox: 101回もきかえれてないｗ
[686.607] (S)hiro_chan: 呪い
[689.700] (S)Hiclere: あーあ呪われる
[689.845] tsubame5204: umeYay
[689.865] balthazar000: 表面舐めれば十分
[689.870] そろもん1: まだ掘ってない場所あるかもね
[691.049] jagajaga1943: 多分弱キャラ使いはそう思えてないんじゃｗ
[691.375] ビフィダス: umeCheer100
[691.633] (S)axchuuu: 井戸に？
[693.505] nikukuisugi333: 呪いましょ
[694.422] (S)osarusan26: 今のゲームバランスめっちゃいいのに調整しろって声めっちゃ聞くよね。そうとう新規が入ってきてる、良いことだと思う
[697.340] latenight000: 呪われちゃう
[699.539] (S)如月うづき: 弱キャラの微アッパーぐらいは早めに欲しかった
[702.430] 1108044k: リュウ使いはお気持ちしたくなってそう
[705.316] ちぇんぷる: ベースは弾いてます！
[705.633] (S)yuukida39: 昇竜拳の練習って最初だけじゃないんですね
[705.811] Esparmansion: Suto 6 kitaaaa! Konbanwa
[708.849] mako6912: 井戸に落とされちゃうw
[708.933] casita226: 逃げ竜巻だけはさっさと消してもろて
[709.608] キシカワマン: イウサールの永久削りやばそう
[709.989] une3333: ただ年１はちょっと少ないかなとも思う
[711.167] akira_s_: 新参はJPにボコられて帰ったよ
[713.455] (S)brutal9998: そろそろ呪われタイム来るか
[713.929] bobonchuaaaa: ラシードは触りたくないんですか？？
[723.169] balthazar000: 年２くらいは欲しいかなぁ
[723.731] ビフィダス: 100ビッツで解呪できるかな・・・
[725.651] latenight000: いつかはわからないが"絶対に"井戸に落ちる
[725.693] (S)hiro_chan: 次の婚活が失敗する呪い
[727.013] prisira: 大きな調整って話でしょ年１って
[727.340] ぜんでん坂人生: なんで昇竜拳の練習してるの？
[728.262] lackesis: 小Pラッシュカラキャンはどう思う？
[733.441] ロミヲ: ウメちゃんササモくんのラシードツイートみた？
[735.155] (S)axchuuu: ラシードイケボだよねえ
[735.902] kernel999: バランスいいって言っても一部弱キャラはいるから…
[739.985] (S)tabibitox: 鬼や
[742.656] yomogi0610: やめたれ
[743.657] (S)bolabola102: そんだけ調整に自信があるのか
[744.137] takahashiseigi: 生活かかってるプロは、調整に一喜一憂
[745.280] une3333: 最悪の呪い
[745.285] balthazar000: 除霊のお布施は1000ビッツから
[745.541] ビフィダス: へっちゃらwww
[747.444] 000105: へっちゃらｗ
[747.738] kaigaizei: 大型調整が年一ってのが拡大解釈されてる感じあるな
[749.607] une3333: へっちゃらなわけないw
[752.420] ktkn_cute: 立ち小Kのあとパリィする時とかも後ろか下にレバー入れしてないと3ゲージ消費して走っちゃう
[753.537] プリズムパワー: 累計何人呪ったん
[755.095] underground0714: もう後がないんじゃ…
[756.057] one596: イウサールとラシード触りました質問は呪われる
[756.734] 1108044k: 東大式のせいだと思いますか？
[756.736] (S)hiro_chan: 平常運転w
[757.844] niemalsaufgeben: 新キャラごとに今回みたいなのは入ったら結構多くねとは思う
[758.794] flashbacks18: 呪いいらずw
[758.877] akira_s_: 昇竜拳は指の練習
[761.057] chocolat1234: 🤣🤣
[761.083] latenight000: 上級者だけが割を食う調整はOK
[761.679] (S)こんぽち: つらすぎるｗ
[761.866] lucia_morgan: ビフィにい頑張って！
[763.630] ~MISSING_COMMENTER_INFO~: わしもコパ仕込みいらん派
[766.234] (S)mugicha_games: まだ初年度だし、発表あったキャラ出てからの調整でいいも思う
[768.781] 憂う者の弟子: ぼくはしにましぇん！
[771.711] (S)brutal9998: それはやばいだろビフィにい
[772.080] akira_s_: 武田鉄矢
[773.156] (S)gorogorogorn: トラック前に飛び出るしかないなあ
[773.282] だいこん_: 公式からの小技仕込みすんなは英断
[776.475] bobonchuaaaa: 多分１０２回もダメじゃん・・・
[778.098] (S)bolabola102: ベース弾いてますか？
[778.389] tmtm84: プロポーズまで行ってるんか？
[783.065] akiaki0612: りゅうせいがTwitterでラシードに悶絶してる
[783.796] (S)tabibitox: 東大式の前にもう調整方針は決まってるやろ
[784.159] ビフィダス: umeCheer1000 解呪
[787.618] perfecttakahashi: JPのBGMかっけえわやっぱ
[790.197] prisira: まぁ小技仕込みは言われてたろうしな
[790.331] niemalsaufgeben: ｗｗ
[798.851] (S)brutal9998: 必死www
[799.067] yomogi0610: ｗｗｗ
[799.427] underground0714: 気合いの1000ビッツ
[800.032] (S)こんぽち: 解放されたｗｗ
[800.457] HirocoT: ｗｗｗ
[801.487] hotshotqq: daigo does 1 million shoryukens a day
[804.010] fbhjkl: LUL
[804.132] nikukuisugi333: ｗｗｗ
[804.394] (S)maya_g01: 解かれた！
[804.943] aranami0: www
[807.205] akira_s_: お祓いされました
[807.461] une3333: うわー悪質な商売だw
[807.735] (S)axchuuu: おめでとおおおお
[807.837] (S)hiro_chan: 実力で婚活
[807.987] balthazar000: そのスタンプは呪われてない？
[809.361] prisira: あ
[810.660] (S)tabibitox: 保険ｗ
[810.677] icyblue1985: ｗ
[810.930] ビフィダス: ふう、命拾いした・・・
[811.040] カブトシロ: 優しい・・・
[811.852] (S)hinhinpp: マッチポンプじゃん
[811.862] tsubame5204: umeFail
[812.494] yomogi0610: まさに外道！
[812.745] (S)こんぽち: 呪い継続じゃんｗｗｗ
[812.784] ちぇんぷる: www
[813.589] ビフィダス: うっ
[813.718] 1108044k: あくどい
[814.375] chin_56_: 清めたまえ！
[814.414] t0m0yuki: それはそう
[814.458] だいこん_: BibleThump
[814.583] (S)yuukida39: www
[815.861] (S)gularain: かわいそう
[816.973] (S)Hiclere: てゅーるるるーるるー
[817.682] niemalsaufgeben: 婚活うまくいくって言えよ！
[817.752] akira_s_: 壺やん
[818.118] (S)maya_g01: ｗｗｗ
[821.198] icyblue1985: ハメやｗ
[822.854] kaigaizei: 呪いかけてビッツもぎとるえげつない配信
[824.084] (S)gorogorogorn: 呪い関係なかったーｗ
[824.205] feel2525: 真実は残酷
[825.537] une3333: 次は3000ビッツで、このツボを買ってもらって....
[826.659] (S)bolabola102: 井戸に気をつけろ！！
[826.910] サマンサ246: 笑
[827.524] (S)axchuuu: BibleThump
[828.013] perfecttakahashi: 詐欺ッ！
[832.143] keikohiro: ガー不
[834.367] 滝川投ゲステル: そういう商売ありそうｗｗ
[835.826] niemalsaufgeben: 婚活がんばｗ
[839.021] balthazar000: 100万回失敗した...
[839.288] (S)tabibitox: 壺売る人
[840.287] ビフィダス: 「ビフィダスは、きっと婚活うまくいくよ。なぜか。俺にビッツ送ったから」
[843.281] WhiteShoreDrive: ツボｗ
[844.311] np2np: トラキアの謎ぐらいの確率になった
[848.455] yomogi0610: ｗｗｗ
[848.521] underground0714: 合同結婚式か？
[851.423] (S)gularain: Www
[852.023] (S)m1s4m0: 言わせたいw
[852.318] une3333: つまり今まで通りと
[852.562] (S)kani7321: 失敗しても呪いのせいにできない分つらいw
[853.719] akiaki0612: より効くやつ
[854.591] prisira: ｗｗｗｗ
[856.159] (S)hiro_chan: 言い訳できない
[856.709] (S)tabibitox: 終わってるｗｗｗ
[859.680] sudamasaki: umeCat2
[859.931] (S)gularain: いわせたいwww
[860.764] 157655: セルフでまじないかけとる
[860.792] ぜんでん坂人生: なんで昇竜拳の練習を？
[863.373] prisira: 言わないｗ
[863.658] 1108044k: 絶対に言わないウメハラ
[870.737] icyblue1985: ｗ
[871.557] (S)m1s4m0: にこにこ
[871.600] yomogi0610: ｗｗｗｗ
[871.621] (S)はっち_8: スタヌとかかるび最近スト6やってなくない？
[872.457] (S)hinhinpp: ダメな宗教
[875.337] 6in9_freaks: shoryuken spammer
[875.667] chetra3000: Что за хуита
[876.392] icyblue1985: ニヤハラ
[877.575] keikohiro: ニヤハラ
[877.785] prisira: 確認してスルー
[882.470] (S)gularain: 頑なに言わないwwwwww
[885.196] ビフィダス: ひぃ
[885.592] yomogi0610: ﾆｺﾆｺ
[885.840] latenight000: にちゃ～
[887.313] niemalsaufgeben: 笑いを隠すウメ
[887.367] (S)yuukida39: そうりゅーけん
[889.244] ACE_Yuno: この感謝の昇竜は何回やるんですか？
[889.422] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典があります → https://bit.ly/2YE2nLB
[890.775] une3333: 笑みをたたえておしまい
[891.103] underground0714: ストリーマーはGTA事案だからしゃーない
[892.217] (S)hiro_chan: グラセフのは企画
[894.685] (S)axchuuu: ストリーマーさん達はスト鯖で忙しいからね
[896.351] (S)maya_g01: ﾌﾌﾌ
[903.364] (S)m1s4m0: @hatch_san_8 今やってるゲームは2週間弱で終わるみたいCR主催だから無視できないよ〜
[904.956] (S)vivfiw: LUL
[905.951] jhkkhfdathvd: ニヤニヤ
[907.377] icyblue1985: フフッｗ
[911.709] (S)はっち_8: あぁ、あれ企画なんだねよかった😭
[913.249] (S)Itsfreakyyyy: Everyone is instersted in Rashid ....  him
[916.120] josyu_xyz: 新しい信仰ですか？
[916.348] (S)osarusan26: ウメさんだってヴァロやってないしそこは強制できないよね
[921.242] aurith: 定期的にああいう企画がある
[924.810] t0m0yuki: 格ゲーやれよ勢は息苦しい
[931.904] jhkkhfdathvd: 好きな事をするだけだよ
[932.047] (M)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[935.494] prisira: ストリーマーは忙しい
[938.344] yomogi0610: ビフィにぃを獲れ
[939.779] CampFire71: ヴァロやってGTAやって大変や
[948.818] perfecttakahashi: よくよく考えると技出しながら技名言うの変だよね
[958.597] jhkkhfdathvd: 梅さんご飯食べた？
[962.606] (S)hinhinpp: 今日は翻訳ないのか
[966.681] johndoe6523rp: でてましたね
[967.256] prisira: あきら戦かなりよかったね
[970.138] (S)tabibitox: インチキおじさん
[970.982] (S)m1s4m0: でもさ！ぷっさんのスト6超面白かったよ！ハイタニも楽しそうだった
[971.379] (S)brutal9998: ビチェラーはマジで見たいよ
[971.498] すいそう: マッスルメモリー
[972.260] une3333: 鍛錬の成果が
[973.149] (S)ふぁんつい: 成長を感じれるってすばらしいな
