[8.841] ゆにゆにゆにーく: wakorad
[55.746] らみちゃたん: タイトルが…
[55.773] eipoo: わこらだー
[55.774] mamo_tarou: あれ？GTAか
[55.900] zwei3108: これが忍者のマイクラか
[55.916] (S)七蝉: タイトルおかしいぞ
[55.944] fuu_maru: radaoHi
[55.986] numa_0504: わこらだ
[56.146] (S)hoshizukiyo3227: radaoHi
[56.338] Takeko_da: radaoHi
[56.425] のあ___: radaoHi
[56.583] こに014: わこらだ
[56.641] ゆふる: radaoHi
[56.655] yona_0724: radaoHiradaoHi￼￼ 
[56.666] 8分19秒: 忍者やろうぜ！
[56.731] chiharu1212: radaoHi
[56.776] マヒちゃま: わこらだー
[56.780] meganerakuraku1: タイトルが
[56.813] nobume0v0: またタイトルがw
[56.862] yuzu_2409: わこらだー
[56.887] (S)シロナガスクジラ: わこらだー
[56.897] uta_0713: radaoHi
[56.920] (S)nyu_to: わこらだ 
[57.993] dannap_q: タイトル昨日のまんまやね
[58.113] アノン1274: タイトル違うよ
[58.152] hima_norita: わこらだー 
[58.196] ao0723aoi: わこらだ
[58.213] (S)Ruria00: 忍者2dayじゃないよなw
[58.221] らいむ0330: マイクラ？
[58.225] dokukinoco: わこらだ！
[58.283] スペルタン: radaoHi
[58.389] (S)elm095: タイトル忍者だね
[58.392] ペネロペ: タイトル昨日のまんまだよ
[58.403] uinekokukki: radaoHi
[58.467] 大宮瑞樹: タイトル変わってないね
[58.494] (S)crabking_R: マイクラと聞いて
[58.554] (S)くろざき: くろざき subscribed at Tier 1. They've subscribed for 7 months, currently on a 5 month streak! 
[58.575] hiragi_114514: わこらだ
[58.827] なべぶた_46: タイトルマイクラになってる
[58.856] suuuuun_666: またタイトル変わってないね
[59.047] rain_0113: radaoHi
[59.064] mary611: radaoHi
[59.320] mamama03: タイトルマイクラになってるよ
[59.327] こむぜろ: タイトル変わってないね
[59.532] (S)seillane: 変わった
[59.536] kadoya0910: これがマイクラか
[59.548] yuto111882847283: 忍者なの？
[59.559] (S)raifu0_: radaoGJ
[59.559] mitasannn: ストグラだーーーー
[59.667] rotty531: わこらだ
[59.768] haco_0131: タイトルびびった
[59.776] みみミみ: わこらだー
[59.781] rin5_3: タイトル昨日のままやね
[59.791] katagiriharu: 出勤お疲れ様〜！
[59.822] mamemamehu: わこらだ
[59.922] shame_daia0130: マイクラかー
[61.023] (S)_りおん: ゲームタグマイクラのままやね
[61.075] yukinakomochi: わこらだ
[61.138] (S)いぬひよこ: タイトルマイクラだ
[61.156] (S)けんん1203: radaoHiradaoHi￼￼ 
[61.161] doc_ct: わこらだ
[61.186] yume_1103: わこらだ
[61.256] ahopontan_: わこらだ 
[61.282] Manyuppe: radaoHi
[61.307] るおはゲーム下手: わこらだ
[61.336] gagome0516: わこらだ
[61.340] Nonba_: Nonba_ subscribed with Prime. They've subscribed for 27 months, currently on a 26 month streak! 
[61.373] みるくいちご: わこらだ 
[61.427] (S)しああき: radaoHi
[61.524] ほのぼの: radaoHi
[61.543] (S)seillane: radaoKansya
[61.706] mashumarohoi: www
[61.726] momoreed: 昨日のまんまん
[61.894] みりむ_423: わこらだ
[62.983] akagiqsyoku: わこらだ
[63.006] raruaaa: また忍者なるのか
[63.047] ユナク: あ
[63.053] 兎水: わこらだ〜
[63.137] akamasu4: radaoHi
[63.207] harudesu_46: わこらだー
[63.217] (S)ゆずシフォン: radaoHi
[63.285] yuuto0714: タイトルが
[63.389] Water_1013: radaoHi
[63.409] こばゃし: わこらだ 
[63.415] tyothankyou: わこらだ！
[63.415] sobayu120: radaoHi
[63.426] しゃしゃも_: radaoHi
[63.521] とむこあ: radaoHi
[63.632] 96猫3: radaoHi
[63.746] ruri42425: radaoHi
[63.796] 紫雨ノ: なおった
[63.843] asui1122: わこらだ
[64.022] そふぃ3: ワロタwwwww
[64.043] つばき_: radaoHi
[64.245] (S)yukirora: radaoHi
[64.298] suzuka0901: 変わった
[64.306] nolea_: radaoHi￼ 
[64.312] にころな01: わこらだ
[64.442] みつおうぎ: radaoHi
[64.467] haru_umi4: わこらだ〜
[64.488] kojimanominato: 今変わった
[64.494] キラキラボシ: 変わったよ
[64.511] kurono1022: 治った
[64.679] jise_ihaku: radaoHi
[64.744] yukimochi08: radaoHi
[64.765] oo1016: 今変わった
[64.824] ちよび: radaoHi
[64.825] (S)epopopo_i: タイトルが 
[64.837] ayatakay: このマイクラヌルヌルですね
[64.865] donuts0625: タイトルが、、、
[66.009] ぱる_071: 変わったよ
[66.036] dannap_q: かわった
[66.059] yodo_basi: わこらだ
[66.091] ららら0913: あるぇ？
[66.197] nemuiihito: わこらだ
[66.243] jon_thifanii87: radaoHi
[66.361] yassandesu: 今変わった
[66.369] onigiri_daisuk: wwwwwwwwww
[66.415] necohina: 変わったー
[66.448] unimusubi: 変わった
[66.510] mo7kaa: radaoHi
[66.554] いるーじゅ: またかわってないねぇ
[66.556] syann_0131: 変わった
[66.560] にゃんねね: かわった
[66.580] roikn: 変わった
[66.736] mikan_san: #今日も一日
[66.738] eipoo: 忍者警察か
[66.895] (S)雪狐0143: タイトル変わってないかも
[67.113] yuuma122: 最近反映おかしい？
[67.129] urullowo: 変わったわ今
[67.152] kohakuu1123: かわった
[67.447] にわすずめ: 変わってるよ？
[67.476] kanna0730: radaoHi
[67.506] (S)hoshi_54: わこらだ
[67.544] ひびき1214: アプリから見るとタイトルが変わってない感じになっとる
[67.586] えぬあい: radaoHi
[67.589] magumamikan: わこらだ
[67.603] (S)crabking_R: あるぇぇえ？
[67.662] (S)seillane: 今変わった
[67.682] (S)vasukodagama: あれ変わった
[67.834] tanutanusan: やったー忍者だ
[67.879] shiroinuno_roa: 変わった
[67.884] namekonomisosir: あれー
[67.890] tanakakun_110: タイトル変わんないバグとかあるのか？
[67.914] inuyo: 変わったよ
[68.556] ピピラム: ピピラム subscribed at Tier 1. They've subscribed for 42 months! radaoHi 
[69.143] rarara93: 壁キックがんばれ
[69.206] suzuyayaya: なおってるね
[69.237] kyarameri_57: 変わった
[69.243] honehone102: マイクラ変わっちまったな
[69.263] しゃしゃも_: あるぇ？？
[69.284] warabihamoti: 治ったー
[69.306] 深那: 変わった！
[69.337] rujyuimo: radaoHi
[69.475] あかりんご1010: わこらだーー
[69.478] siroooose: 近代的なマイクラやな
[69.499] sasasakura_39: 変わった！
[69.538] 二年前かららだ民です: 昨日もそうやったねw
[69.552] shame_daia0130: マイクラ進化したなーー
[69.554] hiromin_gg: なおてるよ
[69.631] (S)わらびもち_11: いま変わったよ
[69.701] (S)seillane: radaoKansya
[69.708] あげだし丸: radaoHiradaoHi￼￼ 
[69.710] konikoni332: 変わった
[69.728] marimoko6231: わこらだ
[69.748] ノル0323: わこらだー！ 
[69.804] cashisuorenji: マイクラって変わったんやな
[70.180] hima_norita: 忍者になるのかと思ったわ
[70.332] 所トしヤ: radaoHi
[70.387] るおはゲーム下手: 変わったよ
[70.387] (S)Ruria00: 直ったかもw
[70.393] (S)saraniron: 変わった
[70.403] ryoga645: わこらだ
[70.604] (S)みかぬです: radaoHi
[70.608] 御繰丸: 変わったよ
[70.680] amaroni0614: びびったー
[70.836] しぃ_1802: 変わってますよ
[70.910] 流行りに乗ったワニくん: タイトルゥ…ですかね…
[70.935] yuasee: 今変わった
[71.044] ラケ爺: 変わったよ
[71.091] kaito_1996: radaoHi
[71.157] 深爪のりこ: 最近遅いね変わるの
[71.196] 角角家: 治った
[71.234] ryonryon_0511: わこらだ
[71.261] 湊ソラ: これがマインクラフトか
[71.317] tira_hima: リアルマイクラですか？
[71.349] nanashico27: あるぇ？？
[71.367] シェリー_: radaoHi
[71.410] 漆黒のホタテ: 変わったわ
[71.489] にゃご崎: タイトルなんかラグいな
[71.638] 96猫3: あれぇ？
[71.719] ayatakay: 変わった
[71.724] yu_ri1416: 昨日のパターン
[71.786] sironeko02: 変わったよ
[71.806] rimutarouo: radaoHi
[71.860] おがくずん: またかw
[71.914] magiku: わこらだ
[71.932] sukaru_nothing: 変わった
[73.250] eipoo: かわった
[73.266] ひんひん: これがマイクラかー
[73.285] kantarou0930: わこらだ
[73.287] 胡桃柚子: 今変わったね
[73.429] (S)seillane: ね
[73.510] きのぴおちゃん: radaoHi
[73.738] こむぜろ: マイクラか今日
[73.812] ｻｧｻ: radaoHi
[73.904] (S)_りおん: ね
[73.961] koh_uta: radaoHi
[73.966] miu0516: DinoDance
[73.982] rocon775: 変わった
[74.068] 天ぷらまん: radaoHi
[74.109] kuraha_0107: 解像度高いマイクラやな…
[74.125] (S)salted_Wani: ね
[74.158] haru_umi4: 変わったよ
[74.196] (S)Hinakong717: また忍ぶか
[74.226] rinrinact: radaoHi
[74.452] (S)ぬこ鮫: radaoHi
[74.551] れもねぃど: 今変わった
[74.693] ゆるー: 変わったよわこ
[74.751] ruchi_13: radaoHi
[74.969] pokaburu: 治った！
[74.972] つきあかり: 今変わったわ
[75.214] garumofu: 歪んでるねぇ
[75.318] runatibi: わこらだー
[75.351] makisima0614: 歪
[75.367] えったぁ: 今変わった
[75.401] みなつき: 今日もやるのかと思ったわ...
[75.465] Ishio_62113125: 歪かぁ
[75.544] しおりさん: 時空が
[75.757] (S)しああき: なんでだろ
[75.781] (S)elm095: 歪みかー
[75.793] marimoko6231: radaoHiradaoHi￼￼ 
[75.802] Yuua1225: お変わったー
[75.861] rotty531: かわった
[76.277] ゆまちゃん: わこらだ
[76.356] paseri_da: 歪みかぁ
[76.501] jon_thifanii87: radaoHi
[76.762] nasu_763: 変わってる変わってる
[76.987] nissy__24__: 変わった
[77.041] monban9eo: あ、今変わったわ
[77.239] luki__1702: きたきた
[77.389] y_nasubi: 今日も忍者かと思ったー
[77.624] jon_thifanii87: radaoHi
[77.653] yuukara25: わこらだ
[77.718] kouyadofu2525: マイクラかと思ってびっくりしたw
[77.925] (S)_りおん: 変わったよ
[77.950] 快眠枕: 通知びっくりした
[77.969] nobume0v0: 変わった〜
[78.228] mirai0522: radaoHi
[78.385] (S)epopopo_i: 変わった 
[78.463] usagicoo: 変わったで
[78.636] merongo_1023: 更新したら変わったわ
[78.654] ツミキ3: いつから忍者にジョブチェンジした？www
[78.739] momonoizu: 昨日も変だったね
[78.753] komekami107: radaoHi
[78.760] Aros299: わこらだ 
[78.898] ainoseeeee1111: 変わったー
[78.900] nenru8610: ？
[78.983] コア21: かわった
[78.984] (S)raifu0_: ラグかな
[79.195] nathu511: 変わった
[79.282] jon_thifanii87: radaoHi
[79.328] Meriel814: 忍者警察やるかー
[79.398] atu_006: radaoHi
[79.409] 御繰丸: radaoHi
[79.417] rosemary0920: 変わったね
[79.444] oo1016: 夢の世界も歪みが
[79.815] honeyclover_0127: クオリティ高え！
[79.848] めるめ: radaoHi
[79.882] suisyoku_01234: 変わったよ
[79.920] kesigom7: radaoHi
[80.029] touyig: かわったよ
[80.078] kaede_2121: 今変わった
[80.091] ぼんふじ: radaoHi
[80.520] rya_ya: タイトル～
[80.559] りにょーん: あ変わった
[80.580] MIKU_J0311: 通知のタイトルが違った
[80.646] yuuto0714: わこらだ
[80.771] (S)huuyu_Hy: radaoHi
[80.783] koyaren: かわったよ
[80.790] kyukun1765: わこらだ
[80.795] kouyadofu2525: わこらだー！
[80.810] mamama03: 時空歪んでね？
[80.827] runana_1123: ちょっとしたら変わるね
[81.004] ぴっち: radaoHi
[81.198] kururusannano: わこらだ！！れれ！！！
[81.325] yuto111882847283: 直った
[81.378] 夢現: Twitchバグ増えた？ｗ
[81.435] すわずし: radaoHiradaoHi￼￼ 
[81.438] (S)kakuzato314: 今日もマイクラか
[82.060] 壺浦: またやるのかと
[82.218] namekonomisosir: 歪みが
[82.424] re__pi: わこらだ
[82.732] cyarasu: わこらだ～
[82.803] muhi_0731_: わこらだ
[82.879] しんじゅ01_81: かわったよー
[82.959] suidousuiii: お、変わった
[83.047] yuuto0714: radaoHi
[83.147] みーにゃんだよ: わこらだ
[83.149] ne6mchan: ストグラだよ
[83.271] ayunosioyaki0223: 通知タイトル毎回前回のなんよな
[83.294] arika743: 変わったなぁ
[83.390] bunnun072: タイトル詐欺や
[83.481] そふぃ3: 歪んでるね
[83.607] yunabesu: わこらだ
[83.659] ニトろ: radaoHiradaoHi￼￼ 
[83.864] shirousagi_o: マイクラするの？
[84.147] yuzui_904: radaoHi
[84.541] (S)しああき: きた
[84.615] sayapi_ppi: radaoHi
[84.629] umu_tuki: radaoHi
[84.686] yoyoyonoyo1231: radaoHi
[84.734] koge_mashumaro: radaoHi
[84.786] buruburu6425: 一個前のタイトルが通知で来る
[84.809] kinugoshi_douhu: わこらだ 
[84.845] まんばるん: マイクラやるんかと思った
[85.080] やたけや: radaoHi
[85.214] 惰性さん: わこらだ
[85.222] hiromin_gg: 夢まで歪みがきたかw
[85.259] (S)いぬひよこ: 変わった
[85.260] world_kohaku: わこらだ
[85.305] arasu_0711: radaoHi
[85.520] ayame1017: radaoHi
[85.556] kiratoragame: 衛星にも歪みが…
[85.576] (S)ラキ2525: マイクラかと思ってびっくりした
[85.674] 野次リョウ: マイクラもリアルになったなぁ
[85.797] momoreed: 昨日のまんま
[86.048] cha_ti: わこらだ
[86.246] ぐつぐつ茶釜: ずいぶんマイクラも進んだなぁ
[86.268] syama_031: わこらだー
[86.288] あかじゃこ: 今日も忍者すんのかと思ったわ
[86.663] miru_1222: 変わったよー
[86.743] ケロ村長: 変わった！
[86.923] (S)時ノ雨: わこらだ
[86.966] (S)どこかの島から来ためめ: わこらだ
[87.330] Aros299: 歪みか
[87.394] cookie_sns: radaoHiradaoHi￼￼ 
[87.542] itayui5: 忍者に転職しよう
[88.033] (S)ピグニー: ちゃんとストグラだよ？
[88.103] 二年前かららだ民です: あ変わったー
[88.136] nemuiihito: 今変わったよ
[88.393] con_torru_z: radaoHi
[88.407] Miriotta: radaoHi
[88.414] (S)epopopo_i: これも歪みか
[88.451] ちゃんちゃな: わこー
[88.601] aya_ksar: なんか時空があれやね
[88.892] 一般通過リスナー: わこらだ
[88.947] kiratoragame: radaoHi
[89.169] okamekikipo: radaoHi
[89.192] magumamikan: radaoHi
[89.429] niranin12: ヘリキルみたよ！すごかった！
[89.475] sjindoa: ラグかな
[89.856] ゆまちゃん: 昨日のヘリ凄かったね
[89.997] (S)雪狐0143: 変わった
[90.099] (S)どこかの島から来ためめ: radaoHi
[90.103] はるき___: radaoHi
[90.148] chashibu_310: radaoHi
[90.292] makisima0614: radaoHi
[90.351] (S)ラーよ: ほな歪みかぁ
[90.381] ちよび: !title
[90.510] piisuke_0428: radaoHi
[90.607] (M)Nightbot: @ちよび -> Current Stream Title: ストグラ 今日も元気に街を守れ警察
[91.250] koyaren: 変わってるよ
[91.379] kadoya0910: 変わった
[91.609] y_nasubi: radaoHi
[91.771] komayyu: GTAに壁キックあったらいいな
[92.025] (S)mintoaice: radaoHi
[92.349] azure_nekolife: radaoHi
[92.501] しえとり: radaoHi
[92.686] ureshiin: 最近タイトル歪んでんね
[92.879] mamama03: マイクラみたいなもんな
[93.185] (S)riku0570: マイクラもリアルになったな～
[93.299] kuraha_0107: あ変わってる
[93.433] めっつびたー: 守れってか、ぽまえが守るんじゃい
[93.718] mizume_2525: radaoHi
[94.005] shaoro216: 変わった
[94.010] あかりんご1010: マイクラ？？
[94.015] peupeu_meu: radaoHi
[94.232] enwasabi: radaoHi
[94.460] nattou2525: マイクラやるのかと思ったのに…
[94.480] 御繰丸: 衛生も歪みかー
[94.505] sakuma0918: わこらだ
[94.762] nonchan428: nonchan428 subscribed with Prime. They've subscribed for 13 months, currently on a 13 month streak! わこらだ
[94.825] cha_ti: radaoHi
[94.910] nekoto01: わこらだ 
[94.922] kara4ge: radaoHi
[95.622] shula_5: radaoHi
[95.879] awaawajon: タイトル詐欺良くないよらっだぁ、ら
[96.324] mo7kaa: 通知が前の配信のやつで来たよ配信開いたら変わってる
[96.332] エステル1104: radaoHi
[96.368] ｺﾄﾐｱ: radaoHi
[96.563] 三田ｻﾝ: 出勤！！！！！
[96.569] azaokun1203: 時空が歪んでるんだよ
[96.573] asahi__s: 通知が変
[96.752] (S)_りおん: 歪みやね
[97.343] touka_8: radaoHi
[97.395] みりぃもち: radaoHi
[97.526] hunting_nimo: radaoHi
[98.254] rerio_1024: radaoHi
[98.467] tokitoki1221: radaoHi
[98.588] ナスのホイル焼き: radaoHi
[98.666] clavis0222: radaoHi
[98.700] (S)kuroneko_warota: radaoHi
[99.927] nu_rapi: わこらだ
[100.068] oo1016: ええで
[100.120] icinose_k: radaoHi
[100.310] (S)Rabbit_cat0: radaoHi
[100.334] rannmaru00: 変わったよー
[100.522] tokitoki1221: radaoHi
[100.632] みりぃもち: わこらだー
[101.782] many7575: わこらだー
[102.168] 二年前かららだ民です: 昨日の新人さんはどうしてるのか…
[102.281] (S)yogetu: 歪みが現実にまで…
[102.391] hakujamaru: わこらだ
[102.403] まここま: わこらだ
[102.771] (S)ゆずシフォン: radaoHi
[102.886] rarima_3: わこらだ
[103.029] らりす: わこらだー
[103.226] awaawajon: radaoHi
[103.235] kir1mi_343: マイクラになってるよ
[103.242] ureshiin: radaoHi
[103.280] ゆ_ず_: わこらだー
[103.482] sui_638: radaoHi
[103.485] rari1218: radaoHi
[103.578] こむぜろ: マイグラか
[103.669] (S)seillane: 大丈夫よ
[103.799] evacoler: radaoHi
[103.902] (S)ラキ2525: radaoHi
[104.171] (S)shun_2539: サムネ詐欺まじ？
[104.210] (S)epopopo_i: radaoHi
[104.433] (S)にあきち: わこらだ！
[104.447] usagicoo: radaoHi
[104.672] unimusubi: radaoHi
[104.740] (S)じゅうけんせい: わこらだぁ 
[104.923] kuro_0125: ととさんはどうなりましたか？
[105.229] ryosei727: radaoHi
[105.343] wataamenoumi_125: radaoHi
[105.404] kokosan_1154: radaoHi
[105.423] あかりんご1010: ええよー
[105.635] naas1616: radaoHi
[105.734] urullowo: ええよ
[105.803] ちきちぃ: radaoHi
[105.835] kyarameri_57: radaoHi
[106.050] kanikamadesu: radaoHi
[106.161] sugako: radaoHi
