[7.203] (S)はくまい_45: 何事？
[31.271] Fukenn59: わこらだエグすぎな
[31.722] haluto0225: ？？？
[31.817] sjindoa: すごすぎ
[32.049] (S)oowatari: radaoHatena2
[32.136] しがー: わろた
[32.141] mizukurage_: mizukurage_ subscribed at Tier 3. They've subscribed for 40 months! わこらだ
[32.258] nomu_1106: まじどういうことだってばよ
[32.307] show_918: わこらだ
[32.382] おぼーん: わこらだ
[32.518] (S)ひかや: radaoHi
[32.551] ゆきさば: わこらだ
[32.639] (S)aiiro_0308: radaoHi
[33.007] あまりんだ: わこらだおまえなにしたの？？？？
[33.184] ここねり: まじでなにこれ？
[33.502] kuduki52: ちょっとキモかった
[33.518] shirororororo08: なにこれ？
[34.127] リトラ: わこらだ
[34.190] あらんえむかーびぃ: 「うっす」じゃないんよ
[34.367] (S)ラムネ味: radaoHi
[34.464] (S)スク水の人: なにこれ
[34.503] てんぷらおしいし: わこらだ
[34.779] hakurow_0104: radaoHi
[34.853] かりんとお: わこらだ
[34.953] minmint_1118: ？？？？
[35.046] ぎゃうすけ: なにわろてんねん
[35.092] なゆーた: わこらだー
[35.167] xxhll: わこらだ
[35.207] ryoku_mido: パンツかぶってる？
[35.292] (S)ゆずシフォン: わこらだ
[35.403] きなこもち46: わこらだ
[35.632] shitochaaa82: わこらだ
[35.704] rioapr03: やっぱり人外だったか
[35.771] remo_ne: わこらだwww
[35.895] ぐんのすけ: わこらだです 
[35.953] (S)殴りちくわ: え？
[36.124] itumi434: wwwwwwwwwwwwwwwwwwwwwww
[36.257] shiru30: わこらだ！
[36.283] てんぷらおしいし: なにこれ
[36.476] (S)ﾓﾅｶﾁｬﾝ: わこらだ！
[36.499] oooi_52: なにこれ
[36.704] mionosuke_: radaoHi
[36.706] みんご1234: どういう事か説明してもらおうじゃないか
[36.918] hvhmtat: わこらだー
[36.950] やろたお: わこらだー
[36.954] yi_56_: わこらだ
[36.974] ena_257: ほんとになに？？？？
[37.166] 蒸し人参342: わこらだ
[37.446] (S)わっふるるる: ？
[37.504] (S)せんだこ: radaoHi
[37.599] ringo288: わらこだ
[37.617] t_neko_t_: ほんとにわからん
[37.674] zeroooooorei: わこらだ
[37.675] ruriiruru: wwww
[37.686] sadkity_0709: wwwwww
[37.688] yuinokawa: radaoHi
[37.711] omisosir: わこらだ
[37.805] motizunnda: わこらだ
[37.894] nariki_011: 説明しやがれあく
[37.913] ekatensan: わこらだー
[37.976] t_reo_t: わこらだ
[38.028] らるとす_99: radaoHi
[38.108] utakatanokonruri: わこらだ
[38.135] lesseepanda: わこらだ
[38.213] vspt16: ？？？？
[38.219] kuromekosann: わこらだ
[38.342] ginger_1202: ？？？？？
[38.557] すすじょん: 新劇のらだぁおか
[38.631] やろたお: なにこれ
[38.771] ヒラメリ: radaoHi
[38.783] show_918: まじで笑った
[38.794] aoki_arr044: わこらだ
[38.900] 璃來ﾘｸ: 草
[39.013] haru_chacha7: え、こわ
[39.016] kaniokundayo: わこらだwww
[39.031] pa_lo_n: わこらだ
[39.059] 107_tona: radaoNannann
[39.076] yona_0724: どういうこと？？？
[39.089] まるこりん: radaoHi
[39.257] soramimi___: わこらだ
[39.257] a_chi1019: わこらだ
[39.292] gurimuu: パンツ？
[39.307] peaaaaaaaace: えwww
[39.317] リトラ: なんだこれ
[39.763] ruku0109: わこらだ！
[39.818] miyuu0320: わこらだ！
[39.864] kuromekosann: え？？
[39.885] ﾏｲﾁｮ: ？？？？？？？？？
[40.989] yuasee: わこらだ
[40.996] adajimu: radaoHi
[41.016] aorik72: ww
[41.064] kiyopy_326: SeemsGood
[41.100] わんまんせる: うわきも
[41.105] うぉ: わこらだ
[41.190] (S)sora_mameee: なにが起きた？？？？？
[41.247] ゆりお君: radaoHi
[41.257] 暗黙の緑茶: 本当に何やっとる？
[41.263] alpaka11ra: わこらだ
[41.275] 蒸し人参342: ？？？
[41.276] あもり: ？？？？？
[41.282] おるみん: わこらだ
[41.311] osio4: わこらだ
[41.346] しゃんす: わこらだ
[41.739] __天: ？？？
[41.756] karage315: radaoHi
[41.818] me1oxdy: わこらだ
[41.825] (S)コヤマ: わこらだー
[41.845] mizuiro_iroiro: わこらだ
[42.039] matpjmw: わこらだ
[42.112] sashisashisabi: わこらだー
[42.117] (S)_みみっく_: radaoHi
[42.160] (S)みとこんどりあ_: radaoHi
[42.172] あねら: え、なにやってんの
[42.181] taka_0214: taka_0214 subscribed with Prime. They've subscribed for 19 months! 
[42.289] るなにや: わこらだ
[42.333] onaaasu0630: わこらだ
[42.334] kaede_tyaroru: わこらだ
[42.377] ousama_3: 駆逐してやるわ
[42.769] (S)yukittya_yuzu: わこらだ 
[42.838] Turtle2465: ？
[42.893] qoll_x: わこらだ
[42.906] によによ: radaoHi
[42.907] Rio1225: わこらだ
[43.244] 左手にきむ: 左手にきむ subscribed at Tier 1. They've subscribed for 21 months! wwwwww
[44.051] sabakan0207: わこらだー
[44.160] (S)ぺぱさん: わこらだ
[44.160] (S)yukitooooo0313: yukitooooo0313 subscribed at Tier 1. They've subscribed for 5 months! おいまじで声出たって
[44.161] pasta0916: わこらだ
[44.199] ゆちちちち: わこらだ 
[44.237] nico_cyan: ？？
[44.283] mana1o0: ？？？
[44.284] ruka_2204: わこ 
[44.286] (S)hanadango823: radaoHi
[44.304] yutosaso: ！？
[44.323] toki__02: ブリーフ被ってんの？？
[44.400] (S)miya________: ？？
[44.408] (S)izayoi_77: なにこれw
[44.528] (S)awayuri: わこらだ
[44.645] こんがり手羽先: わこらだなにこれ？？？
[44.718] ひがし一: (  '-' )
[44.758] suteraoba_san: wwwww
[44.770] 平成さん: おえ？
[44.793] hakusei11124: わこらだ
[44.809] riimito: わこらだ
[44.829] maron_0408: wwwww
[44.852] ititasuitiha: ???
[44.879] しおんちゃ: え？
[44.882] りこぴんｽ: なんこれ
[44.883] me1oxdy: ？？？？？？？
[44.883] rari1218: わこらだ
[44.884] なゆーた: 画面草
[44.928] tarou_83: うわ
[45.452] (S)井田: 井田 subscribed with Prime. They've subscribed for 4 months! 
[45.944] メガさーもん: わこらだ
[45.975] pomu_893: わこらだ〜
[45.985] (S)どこかの島から来ためめ: わこらだ
[46.058] Amam1ya0000: わこらだー
[46.086] (S)あめまう_: 何事なのさ
[46.095] guratenya: わらこだ
[46.096] (S)バモスアジャ: wwwww
[46.102] あきのね: ？？？
[46.226] nakihai556: ？？？
[46.269] 暗黙の緑茶: わこらだ
[46.360] (S)セレちゃ: わこらだ
[46.372] (S)すっきりんか: radaoHi
[46.571] (S)anomaro8230: わこらだ
[46.593] 紗弥0926: どういうこと？？？？
[46.694] えぬあい: わけわからん
[46.716] imoyoukanmaru: わこらだ
[46.727] なな_81: radaoHi
[46.736] (S)reki_b: ？
[46.744] さみばそ: ？
[46.757] (S)mimipaadesu0428: radaoHi
[46.789] えこぉ: w www
[46.824] sarusaru3636_z: わこらだー
[46.833] imos3: shakaWow
[46.837] miyamiya138: ？？
[46.841] (S)yuuu_524: radaoHi
[47.409] しろくろくじら: しろくろくじら subscribed at Tier 2. They've subscribed for 40 months! 
[48.958] haru_chacha7: radaoHi
[48.964] 莉音ちゃ: radaoHi
[48.972] (S)inuyo: ホントにどゆことすぎwwww
[48.976] るらま: 怖いわ
[48.989] yuuki09020: わこらだ！
[49.006] an__1028: わこらだー
[49.077] musan0301: ?
[49.080] himikokichi_06: wwwww
[49.148] drem_chan: radaoHi
[49.169] タケダ黒胡椒症候群: ？？？？？？？
[49.198] mimi_Tpoint: わこらだ
[49.320] (S)96猫3: ？？？？？？
[49.405] ぺぺぺもん: わこらだ
[49.458] (S)なんでもいい: わこらだ
[49.465] (S)ankoro0825: wwwwww
[49.744] ウォルフ_: わこらだ
[49.799] shoraopi_1111: わこらだー
[49.801] r1n_t: radaoHi
[49.811] heru1126: どういうこと？？？
[49.903] reira1121: えっ
[49.906] (S)ゆずシフォン: www
[50.005] (S)tyaimai: tyaimai subscribed at Tier 1. They've subscribed for 6 months, currently on a 6 month streak! わこらだ
[51.995] (S)manami361: なんこれ？
[52.027] あまね_えええ: わこらだ
[52.036] おそば0804: わこらだ
[52.048] (S)なんでもいい: ？？？？
[52.078] sss__uxu: わこらだ 
[52.079] コア21: みたみた
[52.092] honordMin: わ！
[52.107] (S)shunmin_914: わだらこ
[52.180] shynya11: わこらだ
[52.210] sabakan0207: なんだこれw
[52.225] omoti_taikosuki: ！？
[52.235] drop6940532: 笑い事じゃなくて笑う
[52.241] siyu_25: わこらだ
[52.249] waterdragon131: ？？？
[52.691] (S)おかチャン: radaoHi
[52.705] みさみさ07: わこらだ
[52.720] 雨詐欺: わこらだ
[52.747] Ishio_62113125: なにごと
[52.788] sukeww: radaoHi
[52.794] (S)コヂマだよ: radaoHi
[52.817] (S)00ほのか00: radaoHi
[52.935] gurimuu: パンツの巨人
[54.760] (S)きまぐれ_: きまぐれ_ subscribed at Tier 1. They've subscribed for 9 months, currently on a 9 month streak! 
[55.056] omoti1208: wwwwww
[55.146] るきち: radaoHi
[55.204] yuzuha2525: ？？？？？？？？？
[55.205] おうじ_: わこらだ
[55.224] ポテチの子: これどうゆうこと！？
[55.236] vasukodagama: わこらだ
[55.242] tomatorikopin: ！？！？！？
[55.286] なつ1111: わこらだなんだこれ
[55.330] nagasushiroi: ｗｗｗｗｗｗｗｗ
[55.413] (S)コヂマだよ: きもー
[55.430] (S)どこかの島から来ためめ: これなにwww
[55.432] そるとはしお: わこらだ
[55.524] sapichaaan: どゆこと
[55.554] (S)daigorooo97: なにごと
[55.704] (S)mugichi2181: radaoHatena2
[55.751] NanasinoNana0308: わこらだ
[55.816] りこぴんｽ: え？？？
[55.830] みゅう_818: wwwwww
[55.848] soramimi___: まじでビビった
[55.874] れいんくんだよ: わこらだ
[55.891] あきのね: えええ
[55.897] natubatch: わこらだ
[58.085] raku_1115: おっとぉ？wwww
[58.106] (S)うりもち: radaoHi
[58.117] karen0046: radaoHi
[58.231] 神崎立夏: わこらだ
[58.239] (S)odango_obango: これなんなん
[58.286] (S)Hinori0228: radaoHi
[58.302] kiba_1129: ？？？？？？
[58.346] (S)なぬー: radaoHi
[58.370] (S)shunmin_914: なにこれ！？
[58.403] (S)あるみ屋: radaoHi
[58.485] (S)so_cha_26: わこらだお前えぐ
[58.504] sotono213: わこらだ！
[58.604] (S)momo_2525_: わこらだ
[58.639] にぃぃぃ: びっくりした
[58.649] 白クマ: 何事？wwwwww
[58.700] (S)コヂマだよ: は？
[58.710] _よーぐる: ？？？？？
[58.727] nousagi2525: radaoHi
[58.750] (S)ねぴん活動休止中: radaoHi
[58.766] kuhaku_1225: ぽまえどういうこと
[58.812] makura17: わこらだ
[58.812] とあさ: radaoHi
[58.821] rukapipi: わら
[58.825] nishina___: ？？？？
[58.873] もうせい: わこらだ
[58.886] (S)konbu_dasi_: まじでなんなん
[60.670] tocori5144: tocori5144 subscribed at Tier 1. They've subscribed for 28 months! 
[60.746] (S)sora_mameee: sora_mameee subscribed with Prime. They've subscribed for 6 months, currently on a 6 month streak! 
[61.115] orange_6003: radaoHi
[61.192] (S)にわすずめ: radaoHi
[61.256] (S)waakari2003: わこらだー
[61.315] tsnekolanthanum: ⁇
[61.322] ponzu_nomitai: radaoHi
[61.335] miamio121: わこらだ
[61.341] (S)コヂマだよ: え？
[61.354] morry1063: radaoHi
[61.358] (S)あのまの: radaoHi
[61.395] いよかんちょこ: なにごとなの？
[61.435] miyaman__: miyaman__ subscribed at Tier 1. They've subscribed for 27 months! 
[61.478] poru1010: わこらだ
[61.517] (S)umekkko: わこらだ！
[61.562] (S)楓_くん: わこらだー
[61.700] (S)奶菜: radaoHi
[61.704] tiger_bay: 変態仮面
[61.706] sasa_7280: どゆこと？？？？
[61.710] りっとるくん: わこらだ
[61.772] PASTA1256: わこらだ
[61.774] Gomichandovuti: なんで？？？
[61.797] ないず: わこらだ
[61.811] ivvvvvvvvvvii: radaoHi
[61.821] shurumu0614: radaoCry1
[64.236] (S)にわすずめ: え？？？
[64.329] tomato_san777: わこらだ
[64.404] babitto: わこらだ！
[64.406] erina_0323: なにごと？？？
[64.437] もふ_00: わこらだ
[64.444] (S)ふぉー040: radaoHi
[64.541] moka_0322: わこらだ
[64.593] haruu_603: わこらだどゆこと
[64.635] きのこもち: ？
[64.645] れもんちぃ0: radaoHi
[64.645] myugi39: ぽまえどゆこと？？？wwww
[64.648] 椋榎: radaoHi
[64.649] syachoo_: 謎すぎるんだけど何事？？？
[64.679] hisamo1001: わこらだ
[64.682] uw_azu_wu: radaoHi
[64.725] 音吐朗々: radaoHi
[64.858] いのりょ: わこらだ
[64.888] nerikondapan: マジなにこれw
[64.889] ひのした: わこらだ
[65.082] (S)raiti614: radaoHi
[65.087] (S)あめのち: まじでおもろい
[65.087] nonsugar017: radaoHi
[65.100] (S)nakaji00: nugane subscribed at Tier 1. They've subscribed for 3 months! よろしくお願いいたします
[65.102] moka_moka2121: すごすぎ
[65.147] (S)ぎょろっとみかん: ほんまにおもろい
[65.157] rioapr03: なんで？？？？？？
[65.306] (S)コヂマだよ: どゆこと？
[65.334] yoichimu: なんで？wwww
[65.349] (S)sora_mameee: ？？？？？？？
[65.407] (S)michiru0808: わこらだ何事？？
[65.711] berobeira: ！
[65.734] Ramune__0: こわいww
[65.741] YodoRa: radaoHi
[65.767] melonmelo_: radaoHi
[65.824] riimito: どゆこと？
[65.851] くりおね90: わこらだ
[65.854] nemu2038: え？
[65.878] porietirenn: わこらだー
[65.881] pepushinshi: radaoKun
[65.882] sasasakura_39: わこらだ
[65.887] なっとう710円: ん？？
[65.907] mirri_0: radaoHi
[65.914] huwa_2525: わこらだ
[65.919] ajiajisai2: わかこら…
[65.921] _えむち_: わこらだ
[68.136] (S)yunohana_8: yunohana_8 subscribed at Tier 1. They've subscribed for 4 months! 
[68.144] chamo_chako: どゆこと？
[68.214] (S)nonchan428: わこらだ
[68.216] Water_1013: Water_1013 subscribed at Tier 1. They've subscribed for 30 months, currently on a 30 month streak! 
[68.231] mitakeshan: ？？？
[68.284] (S)かける0728: わこらだ
[68.298] (S)umekkko: これなに？
[68.303] am4kumo: radaoHi
[68.313] nekoeri12: わこらだ
[68.317] hatiti88: わこらだ
[68.410] きのこもち: すごい
[68.431] れもんちぃ0: 何事？？る？？？
[68.451] ふぁじぃ: ふぁじぃ subscribed with Prime. They've subscribed for 31 months, currently on a 31 month streak! わこらだ
[68.496] (S)とんぼむ: さらっと強火で炙っていくな
[68.562] (S)Hinori0228: ？？？？？
[68.702] (S)さつまいもおいしい: わこらだ
[68.717] ptsp_1129: 恐怖やん
[68.804] 瑠壱: ちゃんと説明求む
[68.825] ぽれい: わこらだ
[68.863] puttinpurin2431: パンツ被ってるwwww
[68.874] 苺ましゅまろ: わこらだ~~
[70.199] (S)奶菜: 奶菜 subscribed at Tier 1. They've subscribed for 5 months! 
[71.193] 花くらげ: あれ笑った
[71.205] 濃香めろん: ~MISSING_MESSAGE_INFO~
[71.211] (S)サモにゃん: わこらだwwwww
[71.309] (S)umekkko: wwww
[71.337] (S)やきとりくん: ？？？？？？
[71.345] fuzino88: ？？？？
[71.369] りこ_1130: 何事？？？？？
[71.374] kanio319: ？？？？
[71.377] misora_0220: わこらだなんなん？
[71.413] (S)ポペ: マジで？
[71.417] キラキラボシ: radaoHi
[71.418] あみこ0408: なんなんこれ
[71.441] 冷や茶: どういうこと？？？？？
[71.503] (S)セレちゃ: ？？？
[71.572] fuwaru_4128: わこらだ、どゆこと？
[71.702] kitunenn: ？
[71.712] o__oii0127g: radaoKun
[71.753] lesseepanda: なんで？
[71.774] kae_eeee: わこらだ
[71.807] hi_fumi_: パンツ被るのやめなよ
[71.815] sirauo_: radaoHi
[71.825] ugei0013: わこらだ
[71.858] おれおお食べ: wwwww
[71.868] あすかたん: radaoHi
[72.650] enwasabi: enwasabi subscribed with Prime. They've subscribed for 12 months! 
[73.550] (M)kaname17ksb: kaname17ksb subscribed at Tier 3. They've subscribed for 48 months! 
[74.002] pu_tyan: pu_tyan subscribed with Prime. They've subscribed for 22 months! ？？？？？？？？？
[74.253] haruri_: わこらだ
[74.275] (S)chocobanana0723: パンツかぶってる？
[74.277] 榊原とーげ: radaoHi
[74.405] (S)nyana_71530: ？？？どうゆうこと？
[74.414] (S)ねぴん活動休止中: 説明求む
[74.419] ruk1q: わこらだ
[74.441] kawaharaya: ？？？？？
[74.460] すいぺりあ: radaoHi
[74.521] (S)けーつぐ: けーつぐ subscribed at Tier 1. They've subscribed for 10 months, currently on a 7 month streak! サムネ怖すぎ
[74.527] shi__409: わこらだびっくりした
[74.542] 椋榎: ~MISSING_MESSAGE_INFO~
[74.574] (S)oreo_oic101: こわw
[74.588] s_i_i_a: wwwwww
[74.609] うちこ_: radaoHi
[74.709] 紗弥0926: は？
[74.753] (S)あおいろあいりす: なんだこれ
[74.754] ゆきさば: www
[74.771] めにゃ: わこらだ
[74.778] うゆり: わこらだ
[74.817] わらびもち73: え？？？www
[74.842] tamao_t: radaoHi
[74.843] うわ3: やばすぎ
[74.859] reira1121: radaoHi
[74.880] (S)らあくちゃん: radaoHi
[74.912] ~MISSING_COMMENTER_INFO~: wwwwwwwwwwwwwwww
[74.916] (S)さうす瓶: わこらだ～
[75.574] あきらび: あきらび subscribed at Tier 1. They've subscribed for 31 months! 
[75.948] omio0410: omio0410 subscribed at Tier 3. They've subscribed for 10 months! 
[76.090] もこでみ: もこでみ subscribed with Prime. They've subscribed for 25 months! 
[76.399] (S)カサル: カサル subscribed with Prime. They've subscribed for 5 months! 
[77.313] (S)奶菜: キモすぎるwwwwww
[77.427] (S)yukittya_yuzu: ？？？
[77.447] のこ木綿: radaoKun
[77.462] mingo__sk: キモさ全開じゃん
[77.481] akamasu4: radaoHi
[77.505] じぐざぐ0: わこらだ
[77.580] ruk1q: wwwwwwwwwwww
[77.582] ゆうらぎ: ゆうらぎ subscribed at Tier 3. They've subscribed for 31 months! 
[77.583] (S)りんねんら: え？
[77.593] ららら0913: どうして？
[77.646] (S)ラムネ味: ？？？
[77.655] myugi39: wwwwwwww
[77.655] なっち: わこらだ
[77.657] あきまる4649: 説明してw
[77.660] pan_dawa_: ？？？
[77.719] azuazu0530: わこらだー
[77.759] kinuora_7911: え、？
[77.770] kuromame0749: わこらだ
[77.791] いじゃよい: radaoHi
[77.815] (S)わらびもち_11: わこらだ
[77.835] (S)抹茶の午後: ???
[77.849] rioapr03: なんでだよ
[77.863] (S)ドミノくん: え
[77.874] miri3341: 爆笑爆笑
[77.875] クレチキ1108: radaoKun
[77.923] (S)ふぉー040: www
[77.926] 園崎狩兎: ww
[78.248] れいるさん: れいるる subscribed with Prime. They've subscribed for 31 months! 
[79.612] Ichigo_Strawberry15: ichigo_strawberry15 subscribed with Prime. They've subscribed for 20 months! なにこれwww
[79.658] 音歌: 音歌 subscribed at Tier 1. They've subscribed for 37 months! 
[79.841] (S)aratttttta: aratttttta subscribed with Prime. They've subscribed for 7 months! 
[80.285] koromu_rom: わこらだ
[80.340] (S)tomo03_gucchi26: radaoHi
[80.389] (S)レモンちゃ: ？？？
[80.488] milk__lemon: radaoKun
[80.497] kanio319: なんでだ？
[80.513] (S)nonchan428: radaoHi
[80.523] shino0909: radaoHi
[80.524] (S)ないくゲーム: ？？？？？？？？
[80.524] (S)samehurai1028: は？
[80.526] ifo_tsusufu: ？？？？？？
[80.538] if0990: どういうことwwww
[80.559] (S)ここぼ: radaoW
[80.609] (S)m_taku: radaoHi
[80.639] magaos_753: radaoHi
[83.334] (S)一般通過リスナー: わこらだ
[83.350] miri3341: きも
[83.364] (S)イモムシファザー: なんで本人がわかってない？？？
[83.381] YodoRa: お前もわからんのかwwww
[83.384] morry1063: え？？？？
[83.404] imos3: valtroomとコラボTでるって事？
[83.417] ツグ: radaoHi
[83.456] makaronndayo: わけらだ
[83.484] yonagatsuki: わこらだやばすぎ
[83.524] nagitarokun: わこらだ
[83.532] スパアイ: なんですかこれ
[83.549] tomato_san777: ？？？
[83.595] (S)なぬー: わかっててよww
[83.642] todana4002: わこらだ
[83.671] haruame0622: わこらだそこにすなwwww
[83.700] (S)ﾓﾅｶﾁｬﾝ: radaoHi
[83.728] exia_182: wwww
[83.747] 眼鏡3: radaoHi
[83.762] ねこねこお嬢: 何が起きた？？？？w
[83.773] koh_uta: wwwwww
[83.807] tetoram: wwwww
[83.820] sashisashisabi: 本人もよくわかってないのは草
[83.828] terabyte__o0: ？？？？？？？
[83.830] danpu2: っっw
[83.832] Ryuu6019: なにこれ？www
[83.853] sss__uxu: RTされた時何！？ってなったWWWWW
[83.863] rinkasandesu: 進撃のらだお
[83.877] ろみー: パンツ被るな
[83.918] しゃくかも: わこらだw
[83.919] aruto_33: ん？
[85.211] ぱけ: ぱけ subscribed with Prime. They've subscribed for 18 months! 
[85.447] おにく29: おにく29 subscribed at Tier 3. They've subscribed for 28 months! 
[85.708] (S)hina_ob___02: hina_02260519 subscribed with Prime. They've subscribed for 7 months! わろた
[86.387] ほのか1113: ぽまえどうした
[86.435] いのりさん: 青鬼の巨人キモすぎやろ
[86.484] 14mugitha: マスクしてて草
[86.506] レだん: radaoHi
[86.521] しずくてゃん: らだだ
[86.596] tohoho3: kokorogesou subscribed at Tier 3. They've subscribed for 16 months, currently on a 16 month streak! 
[86.612] yumuna19: radaoHi
[86.617] ama_hakuma: www
[86.623] yousan_luck315: わこらだ
[86.625] うてん_: パンツ被ってるよ！！！、！
[86.626] porietirenn: どした？
[86.627] とりにく1026: パンツ被ってるやろこれ
[86.628] yohira06: www
[86.635] akaihi: パンツ被んなやw
[86.740] みゅう_818: わろた
[86.793] youn2134: youn2134 subscribed with Prime. They've subscribed for 17 months! 
[86.868] yuu_1010: なんじゃ?ww
[86.929] agetatepoteto2525: わこらだなんこれw
[86.975] (S)はくまい_45: 何事なのこれはww
[86.977] himikokichi_06: 進撃ファンから怒られそう
[87.051] ginger_1202: え？
[87.124] ハル_ｮｮ: どういうことなん？？？
[87.162] (S)タイペー: お前何者だよほんとに
[87.296] ayunosioyaki0223: ？？？？？？？？？？
[87.436] (S)hinachi1847: わこラダ！おめ！
[87.499] r1ooooooo: 変態仮面すぎるこれ
[87.551] nerikondapan: 何でわかんないんだよ
[87.566] (S)96猫3: ん？
[87.578] (S)きのここ: ？？？？？
[87.701] きょうちゃん01: 何があった？
[87.730] amaikazitu: なんでだよwww
[87.743] yuzu0331: ？？？？？
[87.773] Hariseeeee: わこらだ
[87.774] okami0704: radaoHi
[87.784] さち25: わこらだ
[87.816] そふぃ3: ど、ど、ど、ど、どういうこと！？！？
[87.821] shrf_pino: ？？？？
[87.845] okasi_tabetai: 意味わからん
[87.862] byua_0113: 海外の人？w
[87.910] kk014014: わこらだ
[88.398] ne6mchan: ねむたねむみ subscribed with Prime. They've subscribed for 18 months! 
[88.483] ｽｼﾁｬﾝ: ｽｼﾁｬﾝ subscribed at Tier 2. They've subscribed for 29 months! 
[89.945] maasyuu: わこらだー 
[89.988] (S)りぃたろくん: radaoW
[90.039] aoao_san: なにこれ？www
[90.044] 夢現: こっちのセリフだよ
[90.091] SHIROMA_468: パンツで笑うw
[90.175] (M)kaname17ksb: どういうこと？？？ Cheer1000
[90.207] kuromame0749: パンツ被ってるみたいだな
[90.215] (S)yuzukabigon: wwwwwwww
[90.244] (S)つむじのきもち: 変態仮面になるな
[90.245] (S)レモンちゃ: wwww
[90.318] (S)Nemu_ru_zZ: どうした？
[90.354] haru_anura: wwwwwwww
[90.395] (S)peperon_c: peperon_c subscribed at Tier 1. They've subscribed for 4 months, currently on a 4 month streak! パンツ被ってる？
[90.412] milk__lemon: 進撃のらだ
[90.548] (S)kalmia39: radaoNannann
[90.733] ナマコデリバリー: ？？？？？？
[90.798] dadapan_koubow: パンツにしか見えん
[90.799] ci_nina: 初め見た時変態仮面かとおもった
[90.804] わらびモち: 説明しろ
[90.809] (S)nonoil_: radaoHi
[90.824] kaede_tyaroru: 進撃のらだお？
[90.835] ゆにるな: www
[90.861] toraban6: ?????
[90.883] ~MISSING_COMMENTER_INFO~: パンツ被ってる？
