[18.565] ゆかりんりん: わこらだ！！！
[74.845] ichibuno_b: そこでAPEXをやる男
[74.845] kend5656: わこらだ
[74.916] fwiruma: わこらだ
[74.916] (S)とくめいきぼう: わこらたー
[74.921] rika_sweets: わこらだ
[76.171] (S)rykon3007: いや感動
[76.313] まなえ: この時間珍しいね
[76.349] がむ__: わこらだ
[76.397] hello_yukidaru: VALORANTじゃないと
[76.529] riiiinkaaaa: わこ
[76.596] (S)写真家止野栄三: わこらだ
[76.627] ちゃちゃころ: わこらだ
[76.676] Mary_817: ヴァロやないんかーーーーい！
[76.799] wakana_smg: わこらだ！
[76.837] kelutan_1128: わこらだ
[76.859] enu_xo: 眠くないのー？
[76.898] melloncha: わこらだあ
[76.917] メガネ落としたよ: わこらだ
[77.095] スカイウリ: この時間帯珍しいな眠らせてくれ
[77.102] kounaaa: わこらだ
[77.107] Rowgiys: わこらだ
[77.118] denchu_18: わこらだ
[77.127] (S)terua016351: terua016351 subscribed at Tier 1. They've subscribed for 10 months, currently on a 10 month streak! わこらだ
[77.283] さかなのひと: CRみてめっちゃ泣いた
[77.323] おむりゃいす: わこらだ
[77.397] タキ: ヴァロじゃないの草
[77.412] つなまる: radaoWakotu
[77.666] kapoera3: kapoera3 subscribed at Tier 1. They've subscribed for 18 months! 
[77.796] saisai_tmc: わこらだ
[77.898] (S)main_096: わこだら
[77.905] まいちゃ0101: わこらだ
[78.066] pirokasugg: わこらだ
[78.139] zrs1111: わこらだ
[78.166] (S)nasino_123: シンデレラタイムもうすぐやで
[78.695] (S)おじょーー: わこらだ
[78.929] KinakoMochi_06: あぺの動機草
[79.001] (S)銀河ポテト: ヴァロやらんのかい
[79.116] nagisatou: わこらだ
[79.133] haru_anura: わこらだ
[79.143] 前髪が長い: こんばんは
[79.153] katagiriharu: ヴァロじゃないんか
[79.178] ぴーやぽう: なんであぺやねん
[79.209] ほたころ: わこらだー
[79.260] (S)terabyte__o0: わこらだ
[79.326] たむたち: わこらだ
[79.343] スパーズ: ヴぁろは？
[79.542] maiodayo: あつかったねー
[79.545] daichaaaaaaan: らっだぁ優勝おめでとう！
[79.750] karma323r: わこらだ！
[79.769] (M)Nightbot: らっだぁ切り抜きチャンネルはこちら→https://www.youtube.com/channel/UCh-qC7-Ru8a54apFdHnASsA/
[79.817] みそしるおいしい: よかったなヴァロ
[79.842] renkun1265: バロじゃねえのかよ
[79.941] raisiro: なんであぺやねん
[80.140] siromarumoti05: わこらだ
[80.358] (S)もじゃるま: radaoWakotu
[80.544] (S)こばやし__: わこらだ
[80.592] (S)marinba1221: わこらだ
[80.595] mpru: わこらだ
[80.631] ポメ太: 涙止まんない
[80.711] ryuryu_ryu: 暑すぎたな
[80.789] ゆうもち: わこらだ
[81.217] おしゃけしゃけ: 最近配信遅いね
[81.309] かじつ: あえてアペをやる
[81.310] universal_studio_alice: ヴァロやろ
[81.314] (S)hiroppo: わこらだ
[81.354] (S)Shananbo: わこらだ
[81.448] yutanpo8038: わこらだ
[81.489] アララギ: ヴァロは、、？
[81.499] miuta_aruru: いやほんとそれよ
[81.530] c_saki: わこらだ。そこはヴァロでは
[81.763] remamura: ヴァロじゃないんかーい
[81.842] (S)こんばんは1: わこらだ
[81.993] 44tou_: わこらだ
[82.165] Gekokero4: お前もVALORANTやれ
[82.205] shapu_meg: ヴァロちゃうんかい
[82.230] がりお: めちゃ泣いたね
[82.276] (S)くまの実: くまの実 subscribed at Tier 1. They've subscribed for 6 months! わこらだ
[82.351] ko_ko_rabi: ko_ko_rabi subscribed at Tier 1. They've subscribed for 15 months, currently on a 6 month streak! 
[82.394] たかばった: 視聴者参加型やってよらっだぁ
[82.422] miru_peko_don: わこらだ
[82.498] (S)ゆずしろ: わこらだー
[82.503] スカイウリ: たしかに
[82.624] emeru_mai__1122: わこらんた
[82.831] keruusu_1414: おねむだ
[82.857] 燐だよ: わこらだ
[82.870] taich35: わこらだ
[82.981] ひのした: わこらだ
[83.096] oten_0999: ヴァロやらんのかい
[83.214] mjoy0911: マジですごかった
[83.247] crayxxn: わこらだ
[83.275] super_128: radaoGG
[83.281] donasepi: 浮気者め
[83.329] いのりさん: ヴァロじゃないヴァロ？
[83.431] 6v_metamon: これでヴァロしないの安定だな
[83.437] つなまる: ヴァロじゃないんかい
[83.572] here_________: here_________ subscribed with Prime. They've subscribed for 13 months! わこらだ
[83.575] niina_0217: まじ感動
[83.811] naaaagito: わこらだ
[84.283] nekohakase_2525: わこらだー
[84.369] kmlipi: ヒロントWIN
[84.428] なぎさん39: 大会ちゃんと全部みた？
[84.510] sakiika0w0: ばろあちかった
[84.633] murasaki_chan: ほんそれ
[84.720] あだちたろう: 凄かったね大会
[84.739] hatiti88: らっだぁが24時から配信するってまじ？！
[84.769] rhia_0302: らっだぁもうcrカップの練習するのねえらいえらい
[84.853] (S)かりんとう12: ほんとそれ
[84.961] イヲタ: わこらだ〜
[85.019] ぬかにくぎ: あつかった
[85.161] katoha_desu: わこらだでやんす
[85.186] 燕つばめ: w
[85.211] momonosima: わこらだ
[85.352] sorabosi: わこらだ
[85.443] (S)つきみー: ヴァロじゃないんかーーーい
[85.956] 嶺緒: ヴァロじゃないやん
[86.015] rujyuimo: わこらだ
[86.526] mirumiru_h: ヴァロじゃないんかい
[86.830] sss_m: わこらだ
[87.060] しゃしゃかま: 涙とまらん
[87.071] omuraisu_girl: わこらだ
[87.286] rasukuuu: わこらだ
[87.458] (S)fuucyann: 今から寝ようとしてたのに…
[87.529] はるのてゃん: わこらだ
[87.534] もぎ: わこらだ
[87.544] Ritsu1211: わこらだ～
[87.568] haruri_: まじで激アツだった
[87.649] (S)ゆーーー_: わこらだ
[87.875] pigu912: ヴぁろしろよ
[88.088] ほのぼの: こんな時間に通知きて驚いた
[88.093] 梨一: わこらだ
[88.245] 五色椿: ヴァロやらんのかーい
[88.291] senophas: ヴァロやんないの？
[88.300] usotuki_nkin: 激アツ
[88.317] remamura: わこらだ
[88.493] reonyan4: なんで感動してあぺやんねん
[88.707] papyrus_o__i_a: わこらだ
[88.728] (S)marinba1221: なんであぺなのよ
[88.731] kinakomoti109: わこらだ
[88.731] usagikuro2: わこらだ
[88.813] chamsx7170: 感動したんか
[88.847] acha0922: わこらだ
[88.869] ko_ko_rabi: わこらだ
[88.917] dor1nku: radaoNannan
[88.922] warabi_mochi_99: わこらだ
[88.953] ぴーやぽう: まじ盛り上がった
[89.138] (S)ねこすず: わこらだ
[89.380] ふーーーか: ふーーーか subscribed at Tier 3. They've subscribed for 13 months! radaoWakotu
[89.408] (S)Roy_Muskiller: radaoWakotu
[89.612] (S)ゆきとよ: なんでこんな時間に始めんだ
[89.768] ライズ0: わこらだ
[89.776] mikan_san: なー
[89.861] めタモン: かわせ
[90.336] naonaomeow: dtnkhNice
[90.380] (S)mary611: わこらだ
[90.443] ヴィートル: わこらだ
[90.685] bigdream0321: 大事な月曜のために少ししたら寝よ
[90.692] (S)露木ロコ: わこらだ
[90.796] (S)しょっとり: わこらだ
[90.818] 氷月かる: こんな時間にわこらだー
[90.911] noe_215: わこらだ
[91.133] mapo_poma: わこらだ
[91.141] (S)もうねむたくないよ: ゔぁろやらんの？
[91.191] (S)まここま: 誰視点見てた？
[91.344] サシモ0626: わこらだ
[91.383] きのここ: すごかったね〜
[91.842] nanacW: ヴァロじゃないのかよw
[92.094] うぃずぐー1219: うぃずぐー1219 subscribed at Tier 1. They've subscribed for 18 months, currently on a 18 month streak! 
[92.205] Chico_19_03: わかる
[92.251] kou0764: そこはヴァロだろ
[92.403] おうじ_: わこらだ
[92.411] miuta_aruru: らだも出て頑張ろ
[92.554] ぴーやぽう: アツすぎる
[92.838] dor1nku: radaoBen
[92.865] bayarins: わこらだ
[92.967] chito246: わこらだ
[93.058] (M)おいしいりんご: わこらだ、感動したわ
[93.075] しゃあろっく: わこらだ
[93.625] mirumiru_h: 熱かったね！
[93.634] tyontyon: 寝ようとしてたのにこんなことするんだ
[93.733] lazulite_0: 熱かったわ
[93.755] べびてや: なんか気付かぬうちにサブスク1年経ってた
[93.764] usotuki_nkin: ；；
[93.830] kimitya: radaoNice
[93.872] (S)なるか3: わこらだ！
[93.925] よーーひ: 泣いたよ
[93.962] ニケさん: わこらだ
[94.083] eaiaika: わこらだ
[94.375] norii_k0817: わこらだ！
[94.462] ryuryu_ryu: 感動した
[94.494] (S)himikokichi_06: わこらだ
[94.505] つやりん: バロラントしろバロランバロラントしろトしろババロラントしろロラントしろ
[94.804] 真_クロすけ: わこらだ
[94.995] すいぺりあ: まじ感動
[95.163] (S)ぱんだぁぁぁ: ヴァロじゃないんかーーーい
[95.219] ogi_3: 関さん応援してたから悲しい
[96.300] (S)なるか3: あっつ
[96.416] anp01008: わこらだ
[96.584] つなまる: アチかったね
[96.620] (S)ruchi_13: 奈羅花さん視点見てた！
[96.632] 梨一: ヴァロやらんのかい
[96.780] (S)ameringoame: ヴァロじゃないんかーい
[96.802] asaborake0408: 激アツかった
[96.841] Ryoto_0928: わこらだ
[97.502] おへそ: ヴァロやりな？
[97.641] kikkunn1211: わこらだ
[97.874] スカイウリ: CRカップ見たかったなぁ
[97.924] 4clover0801: わこらだ今から寝るんだが？
[98.022] waraashi: ヴァロから逃げるな
[98.084] shi__yu_: 激アツだった
[99.241] (S)花くらげ: hanakurage subscribed at Tier 1. They've subscribed for 10 months! わこらだ
[99.382] dor1nku: radaoEhehe
[99.397] ryuso1012: わこらだ
[99.418] ピピラム: わこらだ
[99.494] (M)クヲーター: プロゲーマーなるか
[99.564] (S)tonkatsu_0413: 色んな大会あったね
[99.787] fuzi_inari: わこらだ
[100.081] nameko415: ;;
[100.109] draw2_history5: わこらだ
[100.190] musicart9: どこ応援してましたか？
[100.208] zkwarayama: わこらだ
[100.386] taich35: いや感動した
[100.418] sammy_0214: がんヴァロうよ！！
[100.447] (S)ﾊｲﾌﾝ: わこらだ
[100.447] karage210: ALGSじゃないのかよ
[100.705] (S)main_096: radaoWakotu
[100.891] (S)hanyuneko10: わこらだー
[101.121] 44tou_: 騒ぎすぎで壁ドンされた
[101.274] tanuki_pan: ヴァロやるヴァロ
[101.430] Rowgiys: バロラント楽しい？
[101.495] (S)ぷ_る_た_ぶ: わこらだ
[101.722] pigu912: ヴァロれよ
[101.843] mikan_san: それはそう
[101.942] Berta_r: マジですごかった
[102.153] dor1nku: radaoPikon2
[102.278] (S)雪代: わこらだどん〜！こんな時間からか…… 
[102.385] なぎさん39: 練習しないとな！
[102.438] c_saki: ヒロント惜しかった！
[102.558] pvanillaice: 釈迦見てたね
[102.629] (S)potayu01: あつかったね
[102.635] aisathank: ほんとあつかった
[103.279] (S)こうか: わこらだ
[103.361] ひのした: じゃあヴァロやれーい
[103.477] がりお: やばかった
[103.600] kano_1031: わこらだ！
[103.724] 五色椿: ほんそれな
[103.937] すいぺりあ: やばかった
[104.171] むつみい: わこらだ
[104.294] 燕つばめ: うんー
[104.297] 夢現: ヴァロれ
[104.543] usotuki_nkin: ヴァロ熱再燃した？？
[104.735] dor1nku: radaoPikon2
[104.752] kou0764: APEX楽しいヴァロ
[104.835] みずい1472: 激アツだった
[105.046] saki_036: ねろし
[105.508] ガウガウくん: 泣いた俺
[105.826] (S)なるか3: ヴァロやないんかい
[106.407] dor1nku: radaoPikon2
[106.480] 2123runa: わらこだ
[106.533] (S)himikokichi_06: ヴァロじゃないんかい
[106.786] (S)ここねり: わこらだ
[106.881] r_udhimaru: 次のCRヴァロでてみたいですか？
[107.025] (S)もうねむたくないよ: ゔぁろの大会はマジでおもろい
[107.119] aisathank: もらい泣きした
[107.152] ぇづ: マジで感動したからAPEXしよう
[107.584] 燐だよ: 深夜配信めずらしい
[107.657] OmOtc: いや眠いて
[107.801] さかなのひと: くるみさんとこまじで泣けた
[107.812] あだちたろう: あつかったね！
[107.867] eruoh: 泣いたわ
[108.013] dor1nku: radaoPikon2
[108.047] nya0_0go0_0: nya0_0go0_0 subscribed at Tier 1. They've subscribed for 12 months! 
[108.651] (S)しなと: 凄かった
[108.872] d_taroo: ヴァロやって
[108.881] 梅ジャム: すごかった
[109.535] (S)yossy25252: 激アツ
[109.623] (S)こばやし__: ALGSは？？？
[109.649] ogi_3: なんでapex
[109.866] (S)peroki0531: VALORANTやろうやそこは
[110.024] ルロア: わこらだ
[110.895] syumawok: みた方がいいの？
[111.037] kokosuki_bot: ALGSもみろ
[111.111] 四季23: わこらだ
[111.147] senophas: 今度出れば良い
[111.219] kosuke25252: モバイルくるぞ
[111.586] しなやかしょうゆ: こんな時間に配信
[111.673] nashu_noike: ヴァロ頑張ろうぜ
[112.350] sekiei_0301: わこらだ
[112.426] michio0106: 心臓もたないね
[112.458] 五色椿: なんでぇ
[113.386] (S)H1yoyo: ひょ subscribed with Prime. They've subscribed for 8 months! 
[113.882] mikan_san: ヴァロするヴァロ？
[113.950] (S)なーぽん: www
[115.052] jgpmwp: あれあぺ？
[115.436] (S)ruchi_13: www
[116.394] an_2242: わこらぁ！
[116.699] しゃあろっく: せめてアンレートやってくれ
[116.736] mint_524108: わこらだ
[117.131] (S)銀河ポテト: のあちゃん視点で泣いた
[117.299] 夢現: ゲェすな
[117.418] 燕つばめ: w
[117.514] 五色椿: ゲー出すな
[117.522] えならん: まじやばかった
[117.647] yukkin_rarara: わこらだ
[117.712] (S)ぱんだぁぁぁ: www
[117.958] naki_516: わこらだ
[118.195] (S)もうねむたくないよ: ヴァイパー
[118.262] eggfforia: ヴァロじゃないんかい
[118.301] ぇづ: ヴァイパー？
[118.468] ゆうなんこつ: どこ見てたの？
[118.515] さかなのひと: そこはヴァロしろ
[118.745] nameko415: jasper7seNaki
[118.771] waraashi: あきらめたらそこで試合終了だよ
[118.985] うえぴょん: ランクしないの？
[119.257] honehone_2: wwwwww
[119.566] chamsx7170: 得意不得意あるからね
[119.717] (S)dommbeeee2828: のあちゃんエグかった
[119.889] クレイジー田中: そこはヴァロやれよw
[120.128] (S)なるか3: www
[120.317] (S)himikokichi_06: きたない
[120.343] hakomira: いやいや
[120.472] hi_oyu: aceみせろ
[121.073] miuta_aruru: 二次会とかでApexする人おらんかなぁ
[121.094] tanuki_pan: きったね
[121.113] もちまるた: 公式で見てた？
[121.300] (S)hanyuneko10: 感動してあぺなのか
[121.366] (S)main_096: www
[121.409] スカイウリ: wwwww
[121.477] (S)wakaba05: ヴァイパー？
[121.494] (S)kopepe_: わこらだ
[121.536] left_2_10: わかる
[121.540] (S)nii_kura: じゃあドッジしよう
[121.729] (S)もじゃるま: ヴァロのCRなのにね
[121.763] okasi_tabetai: わこらだ
[121.971] がりお: ムズいもん
[121.972] (S)yossy25252: 諦めんな
[122.189] mbando55: わこらだ
[122.239] 44tou_: ヴァイパー
[122.426] Rowgiys: バロラントして
[122.429] kmlipi: ヴァイパー
[122.585] 五色椿: 吐くな
[122.620] (S)ameringoame: wwwwww
[122.708] tyontyon: 見る専？
[122.867] syumawok: wwww
[123.096] katoha_desu: 今日何時までできそうですか
[123.444] ayatakaayaya: あきらめ早くない？
[123.583] syotokeeki: らだも出れたらいいね
[123.741] rqiny94xyz: マイクラだけじゃん
[123.791] みずい1472: 熱冷まし配信はここですか？？？
[124.255] なぎさん39: アペ専になるんか？
[124.329] みな__: mina_another subscribed with Prime. They've subscribed for 12 months! わこらだ
[124.330] ゆち888: ゲロ出せや
[124.908] くらむぼむ: ゲロラント
[125.122] utayori: ヴァイパー
[125.153] (S)netaiyo: わこらだ
[125.967] かじつ: げーするな
[126.115] ガウガウくん: いやラっだぁもして泣こうぜ
[126.358] せぐま: こちとら泣いてたんだから配信すんなよ
[126.481] (S)こぺと: わこらだ
[126.684] (S)こめヌか: セルフヴァイパー
[126.899] (S)shinichan227: ぽまえが出てないから見てないけどcrカップはいいね
[127.124] meruizu: 吐くな
[127.362] (S)ameringoame: げーw
[127.409] PEI_OwO_: 諦めんなよぉぉぉ
[127.519] mid_koa: ギア先生に教えてもらおう
[127.571] miuta_aruru: wwwwwwwwwwww
[127.576] sunomono8: わこらだ
[127.577] noe_215: げぇはだすな
[127.616] そ_: わこらだ
[127.622] むつみい: ヴァ
[127.714] naonaomeow: らっだぁのげぇ、見せてみな？
[127.958] Akojonny: 感動したヴァロか？
[128.219] 蛍_: わこらだ
[128.228] (S)soyokaze1212R: わこらだ
[128.791] (S)uniyann0718: 脳回路どした
[129.011] kinon00: できるって！
[129.036] aisathank: メンタルしんどいね
[129.039] asaborake0408: 飲み込め
[129.082] tyontyon: wwww
[129.320] nanohana20: ACE取れ
[129.638] たばち: わこらだ
[129.751] (S)winwindows01: バロはメンタルゲー
[129.767] (S)なーぽん: げーでちゃうの
[129.871] KinakoMochi_06: ？？？
[129.887] ピピラム: 開き直ったのか？
[129.914] anp01008: きたな
[130.081] narunaru0322: わこらだ
[130.149] よーーひ: ヴァイパー
[130.158] nameko415: jasper7seNaki
[130.310] tskedazo: らっでぃごときにばろらんとは無理
[130.627] syumawok: 諦めはっやww
[130.674] (S)shiden045: ヴァイパーな
[131.303] 燕つばめ: げーだす？
[131.352] (S)コモてや: げー
[131.512] 8分19秒: 今VALOやったら比べられるから
[131.563] kai_4869: ゲーだけにスゲーってか？www
[132.093] べるくん227: べるくん227 subscribed at Tier 3. They've subscribed for 8 months! 
[132.130] aya_0404: TransgenderPride
[132.608] mamo_tarou: いや出さんで？？
[132.634] nyanoyu: みてた
