[13.348] aki_0122: こんちわ
[701.982] 蝉時雨: このゲームさ、同キャラが連チャンする事多くない？
[703.580] ラリメモ: 海ふーどか…w
[706.281] gondawaragon: 食べるかゲームするかどっちかにしなさい
[706.824] eddiedayon: なるほど
[708.134] 箸くれ: ｗｗｗｗ
[708.659] chin_56_: ﾊﾌｯﾊﾌｯ
[709.599] (S)a_isana: なるほどね
[712.280] 泣き虫サクラ: 身体が配信を欲した
[712.456] げとぅーすぐる: 24時間配信してくれ
[714.517] sistersguitarreplica: 配信前にトレモするんやね
[721.737] aranami0: 合理的・・・なのか？ｗ
[728.858] artri4: 噛まないの参考したい
[729.485] johndoe6523rp: サウジ以来？
[741.889] (S)イエール: ネフュー戦は観たいもんね
[747.638] えー氏: えー氏 subscribed with Prime. They've subscribed for 9 months! 
[765.535] (S)hoshi_boshi_0: 配信してくれてありがとうございます
[789.400] げとぅーすぐる: 5年後の大会はジャスパだらけになってそう
[834.811] (S)ponponguripon: 今日もパーカー着てるー
[843.952] (S)ponponguripon: トレーナーか
[856.416] johndoe6523rp: なんかサウジのホテルで対戦したやつネフューのYouTubeでみた
[875.127] gyu_nyuu_pann: こんちはー ピン止めありがとー！
[889.765] (S)ましゅダヨ: おはよううめちゃん！
[907.398] (S)hoshi_boshi_0: メンおじの気配、ありがとうー
[908.393] 温かいやさむぎ: すんごい眠そうな顔してるのにキレキレですね
[917.664] 温かいやさむぎ: 動きが。
[928.713] (S)ましゅダヨ: よく寝れたですか
[940.283] (S)ponponguripon: 今日はだんごさんいないのか
[947.091] ジャンクばっち: Dゲージ回復上手いな
[948.639] げとぅーすぐる: 弾辛そう
[955.363] (S)hoshi_boshi_0: いけたーー
[958.148] tamachan_5: ウメちゃんへ 柔道された時の対処法を教えてください。毎度しっかり食らって泣きそうです。
[961.416] (S)ましゅダヨ: おおお、固定ありがとうございますー！
[972.611] oyukakete3min: oyukakete3min subscribed with Prime. They've subscribed for 30 months, currently on a 9 month streak! 
[1022.110] (S)イエール: ｺﾞｲｺﾞｲｽｰ
[1036.719] aranami0: タイムリーな名前
[1041.755] 泣き虫サクラ: ラーメン食い終わった途端勝ってる
[1047.144] (S)ましゅダヨ: 翻訳もできます
[1070.131] tabibitox: 燃料補給した王
[1076.494] (S)akatoki_mk1: ウメちゃんは1分なんだっけカップヌードル
[1088.475] 温かいやさむぎ: www
[1089.697] ジャンクばっち: トパチャリキャンセルかー残念
[1089.847] (S)ましゅダヨ: おおおおお
[1090.996] une3333: 食ってるｗ
[1096.044] gyu_nyuu_pann: ｽﾞｿﾞｿﾞ
[1101.509] (S)ましゅダヨ: caの間にご飯w
[1104.514] 温かいやさむぎ: おもろいおじさんだ
[1123.582] (S)potesaraudon: nephewまだいるんか
[1135.111] げとぅーすぐる: すと6面白すぎてレポート終わんない
[1135.192] market_fujisaki: トパチャリいいチームだったし余計に残念やね
[1136.686] エルデ: バスケ中にジュース買いに行くみたいな
[1157.140] 若鶏の唐揚げ: 若鶏の唐揚げ subscribed with Prime. They've subscribed for 9 months! umeYay
[1161.477] (S)イエール: ✋ 
[1171.215] tyapa95: その技ほんま
[1181.730] ~MISSING_COMMENTER_INFO~: sweetheartFingerguns
[1186.861] (S)イエール: きちぃー
[1191.954] そうたマン: bday100
[1198.048] (S)かみさま_: いまの確定！？
[1202.646] ジャンクばっち: ネフューキレッキレやー
[1212.661] (S)ましゅダヨ: ケーキ今日も届いた
[1221.210] 超パンダ: めっちゃなで肩じゃない？
[1235.605] (S)イエール: なで肩やめてw
[1243.305] (S)ましゅダヨ: まるで貯金するかのようにコツコツと……
[1249.991] umesecond: nephewとも対戦できるのかー
[1255.343] ~MISSING_COMMENTER_INFO~: sweetheartFingerguns
[1276.246] 超パンダ: こんな肩だったっけ？
[1276.361] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[1279.423] une3333: あ、ラウンジか
[1329.323] (S)イエール: うし
[1329.453] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[1344.480] market_fujisaki: タイミング変えたのうーまい
[1377.483] gyu_nyuu_pann: っけい
[1378.463] ジャンクばっち: 大パーン
[1384.043] johndoe6523rp: お〜
[1400.044] (S)ましゅダヨ: 最近支給品じゃなくなってる、ぬくもりウェア
[1405.048] (M)gameinntwitch: 小技から走れば終わるのに昇龍いっちゃうのよくありますな
[1432.859] (S)ましゅダヨ: よんでるー
[1458.036] LCDReturns: Shaved Daigo?
[1463.410] une3333: 立ちコパラッシュ判断難しそうですよね
[1476.954] tankbba146: トパチャリキャンセルなのか
[1487.957] (M)gameinntwitch: 難しいこのゲームほんま…
[1503.752] (S)イエール: アイイイイ
[1524.475] sanyokk784: ウメちゃん組手誘われますか？
[1552.008] umesecond: 相手だいぶ困ってるな
[1650.981] (S)イエール: umeCossack
[1672.561] ねこざけ: 差し返し練習活きてる？
[1748.300] market_fujisaki: 漏れた
[1765.001] rez_0ne_: RyuChamp
[1789.829] johndoe6523rp: はっや
[1863.581] ~MISSING_COMMENTER_INFO~: daigo rank 1 today?
[1923.324] market_fujisaki: GG
[1925.580] (S)hoshi_boshi_0: ナイス
[1927.605] tabibitox: さすが大パンおじさん
[1931.474] (S)野原しんのすけのぞうさん: だいぶやったね
[1931.602] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[1938.333] johndoe6523rp: いい練習すね
[1949.965] (S)potesaraudon: ｗ
[1953.958] une3333: 「なにぃ！？ダイゴがオンライン！？」
[1962.098] (M)gameinntwitch: 昨日のNHKなんか良かった。太刀川さんとかも映ってたしエンディングも良かった
[1973.070] tabibitox: 昇竜タイムじゃカップ麺くえなかったし
[1978.837] (S)けろろがめ: 言えないことしかないと思うけどトパチャリ残念！あのチーム見たかった〜
[1980.143] tubaki1128: 昇竜練習って実感できるレベルで上達感じますか？
[1981.744] (S)ましゅダヨ: だれだろ？？
[1993.040] musashiKAI: NHKの奴みたけどウメハラ成分が少なかった
[1994.519] (S)potesaraudon: いつ撮ったやつなの？
[1995.331] prisira: 再放送あるね
[1996.662] もきち555: テレビないからみれなかった
[2002.609] Jam10505: ネットで見れたと思う
[2009.058] kiton_taichi: ネットで見れます
[2009.998] (M)gameinntwitch: なんかしらの形で動画持ってくか。短めだし
[2010.153] tabibitox: NHKは基本再放送するしネットでも見れる
[2013.673] musashiKAI: ＮＨＫ＋で見れる
[2014.756] (S)ましゅダヨ: ネットで見れると思うな
[2029.435] (S)ましゅダヨ: NHKのやつ
[2030.918] rez_0ne_: TwitchConHYPE
[2035.036] もきち555: ネットで見れるんだー
[2039.692] super_fluo: こんにちは〜後ろの壁が金色っぽく見えてかっこいいね
[2041.863] (S)ましゅダヨ: めんおじやさしー
[2044.185] (S)hoshi_boshi_0: ディレクター？さんのnoteもオススメ、収録裏話とストリートファイターとウメちゃんへの愛が書かれてる
[2060.377] teruharu_: 制作裏話のnoteもおもしろかったですねー
[2061.122] kiton_taichi: VTRの撮影がサウジ後だから、ウメさん半パンだったのかな
[2080.166] (S)ponponguripon: ｼｮｳﾘｭｳｹﾝｼｮｳﾘｭｳｹﾝｼｮｳﾘｭｳｹﾝ
[2085.485] kiton_taichi: note、本当に面白かった
[2085.730] どこどこ60: 毎日これやってるんですか？
[2104.784] (S)ましゅダヨ: うめちゃん11月位まで半パンだったもんね
[2104.985] market_fujisaki: スト6最初の時、マゴさんにも「俺がコーチならウメハラにもっと昇竜の練習させる」って言われてた
[2119.695] (S)hoshi_boshi_0: マゴバイス
[2132.964] (S)ちぇんぷる: うめちゃこんにちはー
[2133.008] どこどこ60: 54
[2138.697] mohikaaan: 簡易コマンドってデメリットあるんですか
[2167.546] (M)gameinntwitch: ジャンプは遅く感じるけどフレームは普通だよね。
[2169.232] (S)ましゅダヨ: 画面の面積もなんか、人の割合が高いからジャンプそんなに高くないのかなあ
[2177.725] sistersguitarreplica: 1pの藤村式?がムズい
[2182.920] デデデデクノ: 入力スピードを一定以上にするとかって意識してますか？
[2183.277] tomorock21: ウメちゃんと一回でいいから当たってみたいな
[2185.680] Thisonetime: so you can so you can
[2188.559] mukimukipanda: 苦手な向きとかあるのかな！？
[2204.634] market_fujisaki: 上優先消えたからヒトボ昇竜が5よりも単純に難しくなってそう
[2204.817] johndoe6523rp: 昇竜対空上手い人でも絶妙な位置のめくりは苦労してる
[2211.933] ヤーマニ: yamanmaniax subscribed with Prime. They've subscribed for 9 months! 
[2214.279] sistersguitarreplica: 薬指がホント無理…
[2231.682] おみず913: ウメハラさんは牛の開拓しますか？
[2247.135] どこどこ60: 🐮✋
[2248.194] (S)そーめい: そーめい subscribed with Prime. 
[2253.083] condol456: ベースの効果ってありましたか？
[2273.058] eddiedayon: ww
[2276.555] market_fujisaki: 逆効果ｗ
[2279.014] (M)gameinntwitch: ｗｗｗ
[2279.044] 泣き虫サクラ: 昇竜拳打ってるだけで金が入ってくる
[2280.552] (S)yukikaze083: ｗｗ
[2283.803] (S)hoshi_boshi_0: ；；
[2284.886] sistersguitarreplica: ベースは相当なるw
[2286.167] kiton_taichi: こんだけ昇竜練習してるってことは次のシーズンも昇竜キャラ使いますか？
[2288.194] onuki_123: ﾊﾟｶﾗｯﾊﾟｶﾗｯ
[2295.422] あさご: ウメちゃんイヤホンねじれてるよ
[2305.554] どこどこ60: sfl頑張ってねッ！
[2305.655] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[2307.360] jagajaga1943: ＮＨＫのやつウメちゃんをリュウとして最後演出してたのよかった
[2309.189] market_fujisaki: 豪鬼もあるしな
[2330.621] kiton_taichi: 確かに損はないか
[2331.193] (S)ましゅダヨ: それねw
[2340.159] osarusan26: ネモさんは昇竜無理だから昇竜無いキャラ選んでるって前に言ってたね
[2340.805] temp96022061: 639昇竜すか？
[2342.069] (S)ましゅダヨ: なんならレギュラーコマンド
[2354.142] maoh1341: ずっと聞いてるとショウリュウケンがシコウリュウケンに聞こえてきませんか？
[2374.285] 超スパーキングこうへい: 昨日半ズボン観ました
[2375.885] swm60: ガイルは使わないんですか？
[2378.808] エルデ: 薬指はビートマニアで鍛えました
[2381.237] perfecttakahashi: レバレスになる前と今だと昇竜の速さとか咄嗟のだし安さとかの違いは感じますか？
[2381.254] prisira: 新規の人だと昇竜コマンドの事ライジングアッパーっていうのみたな
[2384.130] (S)~MISSING_COMMENTER_INFO~: ED最強だったらED使います？
[2404.275] market_fujisaki: ガイルは散々5やったからいいんだって、キャラ難民になったら使うって言ってた
[2405.588] 超スパーキングこうへい: そうですよー
[2407.178] prosciu: w
[2426.547] prisira: エドは５のままだとモダン出す意味なさそうだがどうなるんだろう
[2434.650] 超スパーキングこうへい: 絹さんと仲良くさせて貰ってます
[2434.879] kiton_taichi: ケンも最初は最強と言われてたけど…
[2436.820] (S)potesaraudon: s1最初ケン最強雰囲気でこうだからなぁ
[2440.233] nakanohito_22: 歴代の昇龍拳だと誰が好きなんですか？
[2445.246] (S)akatoki_mk1: エドの情報全然出てこないね
[2445.976] (S)~MISSING_COMMENTER_INFO~: EDもうちょい大人っぽくなってると良いな
[2451.683] sistersguitarreplica: 絹さんと仲いいの好こ
[2454.213] Hikaru_256: プロだと楽しいじゃなく強いキャラ使わないといけないの辛いな
[2463.344] naosansan: 調整がきてとりあえずリュウ使う配信楽しみ
[2477.385] condol456: 絶望リュウ絶望リュウ絶望リュウ
[2484.182] jagajaga1943: スト５ではエドの対空簡単だったから使ってた
[2486.416] (S)uber_takaine: vioBOUNCE
[2487.809] latenight000: スト2のギャグみたいにケンがスライドする昇龍拳好き
[2495.058] nakanohito_22: いままで色んな昇龍拳あったとおもうんですがどのキャラの昇龍拳が好きなのかなってふと思いまして
[2500.350] kiton_taichi: リュウは集中したら波動だけじゃなくてラッシュとかもパワーアップして欲しいよ
[2507.376] tubaki1128: 一番好きな昇竜拳は真昇竜拳？
[2515.297] Yasushi_Yoshida: これが2万回の法則
[2522.946] 超スパーキングこうへい: ありがとうございます😊
[2527.325] aiukake: 滅殺豪昇龍
[2537.227] one596: 滅殺豪昇龍とか禁じ手とか
[2537.351] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[2539.319] temp96022061: 9はpと同時に右手ですかね？
[2545.681] latenight000: ﾀｲｶﾞｰｱﾊﾟｶｯ
[2548.601] johndoe6523rp: サガットはわかる
[2553.238] aranami0: サガットのくるりんぱって感じ好きだった
[2554.475] ねこざけ: サガットの声真似して～
[2558.152] j_zima: ヒット音まーじ気持ちよかった
[2560.301] (S)ましゅダヨ: わかるよ
[2560.686] market_fujisaki: 本田見たいなコマンド構成になりそう、エド、サイコアッパーだけ昇竜もあり得そうだけど
[2561.419] une3333: 多段より単発派？
[2562.767] one596: タイガー アパカッ
[2575.452] hiropohn: アイグーアパカ
[2585.808] (S)~MISSING_COMMENTER_INFO~: 昇竜関係ないけどカプエスガイルのサマソの言い方好きだった
[2587.915] latenight000: ジェノサイドカッターとかもやっぱ減りも含めて好きだった
[2599.466] Moon_Lx: 上入力は左手ですか？
[2600.690] BigbossJP: ティーカーコーン！
[2607.320] une3333: タイガーバズーカじゃ！
[2608.022] (S)ましゅダヨ: めっっちゃなつかしの……
[2617.376] yasubewe: ｼｭｯｼｭｯ ﾍﾙﾌｧｰｲｱ
[2619.447] BigbossJP: バッルウウウウウウウウン
[2625.725] (S)ましゅダヨ: ﾊﾞｰﾝﾅｯｺｩｰ
[2629.789] (S)ましゅダヨ: www
[2639.593] taromaru0107: うめさんは簡易入力しないんですか？
[2639.806] tubaki1128: スト6で最強っていうのは立ち回りが強いキャラの事を指すんですか？
[2640.307] (S)yukikaze083: 風呂場ｗ
[2640.903] (S)ogawa3: 風呂場w
[2647.162] swm60: ファイターズヒストリーダイナマイト！！
[2647.221] BigbossJP: FHDのザジは強すぎ
[2658.501] blackcoffee0821: 厳密には電子音なんでしょ？
[2663.285] (S)ましゅダヨ: wwwwww
[2672.029] usamaru_noir: 餓狼1は残影拳を死ぬまでカード削りしてスコアタしてたなぁ
[2674.935] okerekereke: 昔のゲームは風呂場ちょくちょくあったよなぁ
[2677.745] (S)ましゅダヨ: もう世に出ちゃったから……w
[2695.131] latenight000: 立ち回りが最強でも火力が低かったら評価低いだろうし、総合力になる
[2711.439] sonic_chop: 餓狼よかったなー
[2718.143] latenight000: 小学生のときめっちゃ真似してる人いたわ、斬影拳
[2731.566] BigbossJP: ヒット音が気持ちいいのは龍虎の拳のビルドアッパーがパコーン！って気持ちいい音する
[2745.426] (S)ましゅダヨ: テリー好きすぎて、スマブラでもテリー使ってるww
[2746.197] blackcoffee0821: リアル残影拳
[2749.361] gontwomaru: 赤くなるやつ？
[2754.758] j_zima: KOF13とかでてなかった？
[2766.075] mack_yy: 13に出たなぁホアジャイ
[2766.380] BigbossJP: ホア・ジャイはKOF13で酒のんで暴れ回ってた
[2767.935] aranami0: 13でいたよ
[2779.724] yasubewe: ヘボヤマのものまねレパートリー
[2782.128] latenight000: マゴときどが使うぐらい強かったはず
[2797.055] (S)akatoki_mk1: タイじゃないのかな
[2798.327] 口口口口口: 醤油拳醤油拳醤油拳醤油拳
[2805.008] adachikujin: 強キャラ
[2824.525] (M)gameinntwitch: 龍虎2は結構それにしか出てないキャラいたね、ジョングローリー？とか
[2836.444] tubaki1128: ワーヒーで好きなキャラ誰ですか？
[2839.818] yasubewe: メガスマッシャー！
[2855.953] BigbossJP: アトミックスまーッシュ
[2856.343] yasubewe: りょふだね
[2856.633] balthazar000: 軍人みたいなやついたよね。ボクサーのミッキーとか。
[2860.479] BigbossJP: チンギス・ハーン？
[2887.124] j_zima: まんまだね
[2889.222] balthazar000: 連打で槍連突きするやつ？
[2893.147] (M)gameinntwitch: ラスプーチンとかそういうのまんま偉人よね
[2900.029] tubaki1128: あの仮面被った部族好きでしたね
[2907.424] (M)gameinntwitch: ジャンヌとか
[2908.906] balthazar000: マッドマン！
[2918.472] yasubewe: マッドマンは矢野さんがやってくれるから・・・
[2929.638] BigbossJP: ハンゾーやね
[2930.026] sonic_chop: ドラゴンばっか使ってた
[2931.259] yasubewe: はんぞう
[2934.819] sonic_chop: ハンゾウ
[2945.246] (M)gameinntwitch: ようおぼえてんな
[2945.945] balthazar000: セリフが出るのが新しかった
[2958.163] oinari6: SNKで1番対戦やったのガロスペ？
[2958.689] yasubewe: マッスルパワーも思い出してあげて
[2960.471] usamaru_noir: 呂布って酒飲んで火吐いてなかったっけ
[2969.659] BigbossJP: ワーヒー２が一番おもしろかった
[2983.220] (S)akatoki_mk1: タイガーバズーカじゃ！
[2989.994] balthazar000: あの時代のCPU強すぎ問題
[2993.666] latenight000: CPUが自信満々に前歩きしてくる恐怖
[2999.816] pondenring0930: CPU超反応くんさぁ～
[3007.641] レプトン: CPU溜めなしで技だしてきたりするし
[3013.075] yasubewe: 龍虎なんか飛燕疾風脚投げられるしふざけんなと
[3016.913] balthazar000: サムスピは手付けてみました？
[3022.931] sonic_chop: CPUめっちゃ強かったよねー
[3040.681] tubaki1128: 昔のゲームの超必殺コマンドなんであんなに難しいの？w
[3043.640] kawasak1n: 王、こんばんわー 
[3053.258] (S)akatoki_mk1: ゲーセンによってCPUレベルの設定が違ってたよね
[3056.345] sonic_chop: 覇王丸～
[3062.082] swm60: サムスピ大好きで、有金はたいてネオジオ買いました
[3066.158] market_fujisaki: 最初マヴカプだかをゲーセンでやった時のCPU戦、ロックマンで一生バスター撃ってた気がする
[3087.852] BigbossJP: 当時のゲーセンは対戦待ちの間にスコアラーのドドンパチや蟲姫をベガ立ちしながら見るのが楽しかった
[3090.346] blackcoffee0821: kさん気に入ってるよね
[3109.646] condol456: ウメちゃんは新NISAとかやらないの？
[3113.007] latenight000: ゲームうまお達
[3116.219] gontwomaru: 近所の駄菓子屋でレベル8クリアでスーファミカセット貰えてたなー
[3120.699] yasubewe: シューティングうしろで見るのおもしろかったなー
[3124.916] latenight000: 新しいゲームか？
[3126.595] market_fujisaki: 積み立て
[3129.397] (S)ましゅダヨ: 突然のNISA
[3133.194] condol456: 投資
[3139.948] swm60: サムスピBGM最高だった
[3140.253] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[3142.504] yasubewe: いきなりうさんくさい話題に
[3143.142] sarah_0519: ウメちゃんやらなさそう
[3149.241] sonic_chop: 税金対策になるからいいかもねぇ
[3151.512] mack_yy: どんだけ格ゲーに積立投資してんだって
[3159.321] (S)ましゅダヨ: 財テク
[3164.352] lm312v04wo: お金に余裕があるならやり得
[3165.407] (S)おいしいごはん_: 色んな人から連絡きちゃう
[3166.802] condol456: ウメちゃん老後考えなさそう
[3170.936] maoh1341: ゲーセン時代一番飲んでた飲み物って何だったんですか？
[3173.260] sonic_chop: ファイナンシャルプランナーのお客さまーｗ
[3186.706] yasubewe: まぁでも困りはせんでしょうｗ
[3187.223] (S)ましゅダヨ: NISAはもう、銀行絡もくるしもうすごいわ
[3191.130] latenight000: 名を変え、品を変え、投資の話は昔からある
[3198.611] ymd1222: 年齢的に老後じゃないの？
[3199.282] temp96022061: キーディス見ていると平均5Fて感じです。今は。
[3200.951] (S)ちぇんぷる: ww
[3213.859] market_fujisaki: ああー
[3214.930] lm312v04wo: マイルドなインフレでも現金の価値は徐々に下がるからね
[3219.078] condol456: ウメちゃんインデックス投資覚えよう！
[3222.693] sonic_chop: うわぁ紅茶花伝かなぁ
[3224.247] (S)potesaraudon: ルカフェ？
[3225.404] ねこざけ: ウメちゃんは資産形成のためじゃなくちょっとでも節税のためにやったらｗ
[3227.304] sistersguitarreplica: ルカフェ?
[3231.651] swm60: ゲーセンの自販機のパンが美味かった
[3243.705] 超スパーキングこうへい: 勝手にマウンテンデューやと思ってた
[3255.895] mirin_melon: ペットボトルではなく缶の時代？
[3258.057] pondenring0930: 知らんなぁ
[3264.404] hal0087: ブルマンは高すぎるｗ
[3267.488] aranami0: もう売ってないよねルカフェ
[3270.383] yasubewe: 何で栄養とってたんだろうｗ
[3274.782] iranaiko: 復刻してほしい缶コーヒー選手権』で堂々第1位！約57万人のジョージアファンが選んだ缶コーヒー「ジョージア ル・カフェって記事があったｗ
[3275.639] esutark: 葛葉と一緒にストリーマーイベント主催
[3283.673] market_fujisaki: マウンテンデューは炭酸ジュース
[3288.014] (S)ましゅダヨ: ルカフェ探したけど出てこないや
[3289.918] (S)potesaraudon: エメマン飲んでたわ
