[15.553] momouni: わらこだ
[46.666] kon_rou11: よお
[46.769] kero_ppi1: yo!
[46.773] kanato_ooo: よお
[46.817] (S)ジリリン_: radaoYatta
[47.051] (S)hugoponn: radaoWakotu
[47.140] 真クロすけ: わこらだ
[47.509] ra_ra_ra_ra_: わこらだー
[47.600] (S)トマト狩り: 睡眠できたか？
[47.729] maromaro222: わこらだ
[47.835] ikachan02: また急に配信始めたの？
[48.281] itoido: わこらだ
[48.331] (S)hosi_1022: radaoWakotu
[48.511] miku3956: わこらだ！！
[48.665] raijin__1007: わこらだ
[48.685] lihito1412: わこらだ
[48.690] ぴょき: わこらだ
[49.105] アーユン: 雑談？
[49.368] (S)のせ太郎: radaoWakotu
[49.407] ryu092626: わこらだ
[49.539] (S)ふぉるお: radaoWakotu
[49.976] あすんた: わこらだ
[49.982] りあなだよ: うっす
[50.244] ramune_02gw: わこらだ
[50.347] (S)嵯峨蘭丸: radaoWakotu
[50.554] rin7331: radaoWakotu
[50.597] サーモリ: わこらだぁ
[50.973] Reea2: よぉ
[51.035] (S)tamakooo__: わこらだ！
[51.064] nya0k0: わこらだ
[51.184] rg_irece: わこらだ
[51.204] zerosanbrack: わこらだ
[51.396] jmpta: なんの効果音？
[51.422] wkameda4: わこらだー
[51.582] (S)rierutantan0800: わこらだ 
[51.587] mikanmotip_2525: （笑）わこらだ
[51.788] Murasaki_IM0: わこらだ
[51.814] (S)komasannsann: わこらだ
[52.315] (S)rukure17: radaoWakotu
[52.802] ゆう77: わこらだ 
[53.016] あしゅ_1127_: わこらだ
[53.233] (S)mimipaadesu0428: radaoWakotu
[53.237] (S)s1r0_kur0: radaoWakotu
[53.282] bamu_kuhen: わこらだ
[53.294] buriburi_tyan: わこらだ〜
[53.380] Ritsu1211: わこらだ〜
[53.474] kocobn11: わこらだ
[53.575] nuuuuunn: わこらだ
[53.606] ルロア: わこらだ
[54.355] suibotu_: よ
[54.419] ゐゐは: よぉ
[54.433] ｻｧｻ: ジム行ってきたん？
[54.603] sqku1255: あり〜
[54.776] 櫻海香: わこらだ
[54.805] (S)キラキラボシ: radaoWakotu
[55.023] (S)さらんらん: radaoWakotu
[55.056] arisa524: こんにちわー
[55.263] k756n: わこらだ
[55.382] (S)のせ太郎: ？
[55.402] (S)tempest0709: わこらだ
[55.629] lastma01: valoしてる？
[55.850] zrs1111: わこらだ
[56.260] kabba01: わこらだ
[56.298] tanapasu: なんて〜？
[56.474] paruma_0226: わこらだ
[56.474] ぴぴかもしれない: BGM違う？
[56.825] (S)ヨヒラ: BGMが違うね
[56.879] ko_do_1123: わこらだ
[57.080] たかぎ3: わこらだー
[57.103] (S)かなめる_: radaoWakotu
[57.300] 雪狐0143: 雑談？
[57.500] sowan_0117: わこらだ
[57.514] mirin_0318: チョコあげたからおかえしは？
[57.653] youkan_umai: わこらだ
[57.672] みりンゴ: わこらだ
[57.893] yua0027: わこらだ
[58.134] (S)aozora1717: わこらだ
[58.535] ama_yzk00: わこらだ
[58.753] sedamamek: 何このBGM
[58.877] mogmog_1257: わこらだ！
[59.060] vektor_sweet: 一生やれ
[59.277] jolevre: わこらだ
[59.309] (S)露木ロコ: 何？
[59.491] (S)Lamp1119: わこらだ 
[59.655] ayunosioyaki0223: 今日早いね
[59.696] しゃけたまご: わこらだああああ
[59.747] ソラ1936: わこらだ
[59.884] suzu6ya: こんにちは
[59.884] maocha0402: わこらだ
[59.985] kocobn11: ふぉー
[60.123] mint_kuroiro: わこらだ
[60.214] などない: わこらだ
[60.360] (S)umineco_0627: radaoWakotu
[60.743] kana_kana___: わこらだ
[61.013] (S)chamo_chako: こんちゃー
[61.159] ama_hakuma: わこらだ
[61.249] shu_piiiiiii: わこらだー
[61.397] ikachan02: うわぁぁぁぁ
[61.479] おかチャン: わこらだ
[61.979] ki_ho: radaoWakotu
[62.084] itimiru_1539: わこらだ
[62.187] sumomo_9312: わこらだ〜
[62.411] suibotu_: ジム行ってきた？
[62.630] りこ_1130: radaoWakotu
[63.685] (S)キラキラボシ: 母国後喋るなら
[63.812] sinooru: わこらだ
[64.354] ココナッツ__24: わこらだ
[64.601] waraashi: どしたんー？
[64.676] yyuuzzuu: わこらだー
[65.295] (S)m1tno: radaoWakotu
[65.296] ゐゐは: 寝起き？
[65.364] ikachan02: 眠そうね
[65.447] もっちにあ: radaoWakotu
[65.523] games__out: わこらだ
[66.029] しくだよ: わこらだ〜
[66.096] (S)covalt_blue: ヴァロかあ
[66.316] s_a4408: よく寝てた？
[66.867] (S)clavis0222: radaoWakotu
[66.974] anber1230: わこらだ
[67.089] ぶれいくです: ヴァロ？
[67.283] aoiro_0000_: わこらだ
[67.319] bcaod: なにすんの？
[67.525] aeyuma: わこらだー
[67.615] mira_bell5: わこらだ
[67.913] syura001: ？
[68.042] rin7331: よぉまた会ったな
[68.072] こにゃち: radaoWakotu
[68.317] saku_048: わこらだ
[68.448] me1oxdy: www
[68.469] arisa524: www
[68.535] yyuuzzuu: 寝てた？
[69.226] kon_rou11: なんて？
[69.339] yoru164: わこらだ
[69.368] りあなだよ: 随分眠そう
[69.702] (S)evolblackhole555: ヴァロ？
[70.171] シーマド: わこらな
[70.218] ama_yzk00: 何語？
[70.253] nirakki: わこわこらだらだ
[70.642] sirankedo0611: わこらだ
[70.843] さやかっぱ: え？
[71.134] 砂ザトウ: チョコ返したか？
[71.173] suzuyayaya: わこらだ〜
[71.199] (S)ひびき1214: radaoWakotu
[71.348] 19sheeps: わこらだ
[71.417] たかぎ3: www
[71.433] みかんの旅: わこらだ
[71.673] watcha_311: わこらだー
[71.737] (S)aozora1717: radaoWakotu
[72.035] ruu_ha: わこらだ
[72.194] まちち: わこらだー
[72.239] kenp1n_8: わこらだ
[72.243] flark1127: わこらだ
[72.342] (S)露木ロコ: お？
[72.346] (S)ジリリン_: ちゃんと寝てる？
[72.448] シーマド: だ！
[72.598] めにゃ: わこらだ
[72.744] kanato_ooo: なんて？
[72.932] rincho22: ジムの人にお返しあげた？
[73.161] sakura31644: おやすみ
[73.190] katuonituke: どしたの
[73.618] aya__0927: なんてる
[73.678] 雪狐0143: なんて？
[73.699] monpuchiking: わこらだ
[73.745] 雪都: わこらだ
[73.875] naotooo_0816: わこらだ
[73.977] f_erick: ヴァロ？
[74.816] あらんえむかーびぃ: radaoWakotu
[74.834] tapioka156: わこらだ
[74.948] アーユン: まさかの寝起き？
[75.050] 哀れな人の子: valorant！？
[75.060] kocobn11: うほ
[75.135] 誤字しまくるマン: わこらだ
[75.178] syui415: 今日はホワイトデーですね
[75.278] hiyooooooko: わこらだ
[75.392] ゐゐは: 寝てた？
[75.448] syamuneb: 今日ちゃんと寝れたん？
[75.612] risa_kakipi: わこらだー
[75.630] pepe32117: こんちゃ
[75.746] しゃけたまご: ヒーリングbgmですか？
[75.933] たまちゃんだおお: わこらだ
[75.971] kuu0934: わこらだ
[75.983] me1oxdy: ねむそう
[76.197] (S)Lamp1119: 人外出てるよ
[76.412] がちの天才: 寝た？
[76.413] hiiragi_jgsdf: ジム行ったの？
[76.421] 1Rol_7: わこらだ
[76.432] ikachan02: アペ？ヴァロ？
[76.721] yukina_neko0318: ヴァロか？
[76.781] コミヤ: かっこいいのはらだおには似合わん
[76.894] aiilo_: わこらだ
[77.161] yuina_i0: わこらだ
[77.389] taku8455: わこらだ
[77.449] Riisu_amms: wwww
[77.624] no__chi: わこらだー
[77.846] tarisann_1124: 誰が翻訳お願い
[77.852] yuzuyuuuu: わこらだ
[77.897] omuraisu_nana10: わこらだ
[78.129] mitsuxx00: radaoWakotu
[78.137] syura001: 何語喋ってんの
[78.138] (S)さらんらん: なんて？
[78.138] pyonn_1012: わこらだ
[78.151] にわすずめ: おk
[78.232] タキ: わこらだ
[78.269] pia__pia: わこらだ
[78.271] (S)べべべののんべぇ: わこらだー
[78.314] yokobou_: わこらだ
[78.368] lusia1945: 母国語でてるよ
[78.450] riimito: わこらだ！
[78.681] にゅーん: わこらだ
[78.911] (S)かっぴーと: わこつ
[78.918] ﾓﾁﾓ: わこらだ
[78.930] ゆちま: わこらだ
[79.248] shion_shireo: わこらだ
[79.277] (S)ナラ抹茶: きちゃ
[79.433] くろうるふ: おお
[79.438] 砂ザトウ: うおおおおおおおおおおおお
[79.661] tanakakun_110: わこらだ
[79.846] riku0572: うおおおおおおおおお
[79.880] seno_no: わこらだ
[79.890] mizusan_1022: わこらだ
[79.925] (S)みんてぃぁ: radaoWakotu
[80.028] (S)まるこりん: わこらだ
[80.075] ドミノくん: ちょっとだけゼル伝ですか？
[80.100] sakanoooo: ヴァロだよね
[80.321] 雨詐欺: ちょっと？
[80.443] kometopann: わこらだー
[80.521] seina_1o1: わこらでぃー
[80.729] やおにいち: 日本語でよろ
[80.950] ルイノ: わこらだ
[80.982] katy0215: なにが？
[81.063] ジャガイモの皮: わこらっだ
[81.136] 誤字しまくるマン: イケてるよ
[81.176] ~MISSING_COMMENTER_INFO~: わこらだ
[81.199] sulapon58: わこらだ
[81.202] youkan_umai: おー
[81.242] aoi_0101: わこらだです
[81.352] shomaktdtdtdtm: わこらだ
[81.367] sora_chann_: わこらだ
[81.492] めんとぅゆ: わこらだ
[81.503] macchan114514: わこらだー
[81.751] (S)たゆう_はね: わこらだ
[81.842] (S)きのここ: お
[81.953] x_xo07nici: わこらだ
[81.964] ayunosioyaki0223: おー
[81.987] iwasigumo: わこらだー
[82.040] つむぎ__: わこらだー！
[82.144] mikann_nano3: わこらだ
[82.161] rurua417: わこらだー
[82.172] Shiraki1013: わこらだ
[82.201] goo813: わこらだ
[82.205] おおにゃんこ: わこらだ
[82.211] syamuneb: おおお
[82.245] (S)わんここ: おお
[82.316] yotsuha1218: わこらだ
[82.393] (S)シモ0803: わこらだー！
[82.858] kyurin70: わこらだ
[83.960] nasiaisu: わこらだ
[84.034] chiho101: わこらだ
[84.076] libero_vv: わこらだ
[84.090] shiroa1019: わこらだ
[84.092] (S)fuu_maru: わこらだ
[84.106] タカ雄: わこらだ
[84.210] 僕のこと: わこらだ
[84.255] wa_gami: わこらだ
[84.271] shuka522: わこらだぁ
[84.393] aoilo_514: わこらだーーーー
[84.446] (S)ぴなちまん: わこらだ
[84.563] Free_Box11: わこらだ
[84.599] よぞら_: わこらだー
[84.634] itinoseteto1129: わこらだ
[85.715] muutyo_io: わこらだ
[85.720] makaroni252: わこらだ
[85.751] asuka_061: わこらだ
[85.833] family857: わこらだ
[85.903] ぽむかも: わこらだぁ
[85.909] shizuku_088: わこらだ
[85.939] ayaayase: わこらだー
[87.037] ru_pii: わこらだ！
[87.072] 雪狐0143: ヴァロ？
[87.075] なのむーん: わこらだー
[87.103] Hunuke0606: わこんこ
[87.125] chacha_124: わこらだ
[87.135] beko_zu: わこらだ〜
[87.155] (S)きのこの炊き込みご飯: ジム終わったの？
[87.186] aruto_33: わこらだ
[87.255] nekomrnn930: わこらだ
[87.282] ebimayou: わこらだ
[87.292] るあ02: わこらだ
[87.422] peperonchi_no0127: わこらだ
[87.456] robaosan: わこらだ
[87.591] kanato_ooo: 今日ホワイトデーたよ
[87.632] るん1213: わこらだー
[90.054] plus_89: わこらだ
[90.156] (S)ポテチの子: お返しもらった？
[90.203] y_rbz: わこらだー
[90.239] yukeboka: わこらだ
[90.290] masprider: らだらだ
[90.353] (S)塩ばたー: 今日ホワイトデーだよ？
[90.364] (S)mariaaaaacha: わこらだ
[90.387] たおるおる: わこらだ
[90.389] teeen_204: わらこだ
[90.583] jyogijyogipen: わこらだ
[90.603] hiiragi_jgsdf: ジムお疲れ
[90.744] 0701sy: わこらだ
[90.796] rarirarurarua: わこらだ
[90.805] (S)piroropiro: radaoWakotu
[90.807] shii40n_3: わこらだ
[90.814] kirin_n_n: わこらだ
[90.964] syau798: わこらだ
[90.970] haihailemon: わこらだ
[91.020] ikachan02: おお
[91.020] (S)レだん: わこらだー
[91.023] sakanoooo: フルパでやるの？
[91.030] mirudak: わこらだ
[91.140] 金平糖_2525_: わこらだ！
[91.212] suibotu_: おお
[91.637] (S)rigore_napoli: わこらだ
[91.683] (S)サノウラ: 今日は二回行動てこと？
[91.721] sanyasans2: おい！！！！！！
[91.753] izm290141: わこらだー
[91.800] 220_099: わこ
[91.866] sashisashisabi: わこらだー
[91.872] kuroron109134: わこらだ
[91.881] (S)rindou_03: わこらだ
[93.102] わるた: わこらだ
[93.115] tirimenjako_: わこらだ
[93.289] (S)さくららて: radaoWakotu
[93.295] nopiki1018: わらこだ
[93.309] mikan__1124: わこらだです！
[93.325] fuyu_dayooooo: わこらだ！
[93.391] りろ31: わこらだ
[93.496] syrup_rc: わこらだ
[93.512] hunhun2525hunhun: わこらだ
[93.593] sukeww: わこらだ
[93.655] (S)梅にウグイス: わこらだ
[93.723] (S)rascal_techonol: わこらだ
[93.727] 199_18: わこらだ
[93.754] (S)shilas_1231: わこらだ
[93.837] rena_547r: ホワイトデー?
[93.875] (S)yoichimu: radaoYatta
[93.898] 0926ami: わこらだー
[93.941] uyu_xx: わこらだー
[93.983] 38_0501: わこらだ
[94.291] ソラ1936: 今起きたの？
[94.364] ぬんさらだ: わらこだ〜
[94.391] sakura31644: 陰キャだから似合わん
[94.396] rarima_3: わこらだ
[94.473] rokunome: わこー
[94.592] れのれの: radaoWakotu
[94.805] Cube__2002: わこらだ
[94.814] Utumiiiee: わこらだ
[94.826] kamafu: わこらだ
[94.872] annko2525: わこらだ
[95.034] 0o_twitch: わこらだー
[95.041] nemulimuli: 今起きたの？
[95.098] kanzuki8060: わこらだ
[95.112] m_mkey: わこらだ
[95.243] eiriann__11: わこらだー
[95.269] karokusa: わこらだ
[95.269] k_otone: わこらだ
[95.273] Suima2525: わこらだ
[95.284] sho0331: わこらだ
[95.359] とたきき: 好きだぁーーー！
[95.507] 写真家止野栄三: わこらだ
[95.709] 777kamikami: わこらだ
[95.731] atto224: わこらだ
[95.741] ちぃーかま: わこらだ
[95.930] ゐゐは: ホワイトデーなんか返した？
[95.931] saxe_blur: わこらだ
[96.155] (S)ざこちゃん: わこ
[96.161] tako235: わこらだ
[96.161] ゆちまるさん: わこらだー
[96.162] sya_ka: わこらだーー
[96.331] butatyan2525: わこらだ
[96.384] カレエーパン: わこらだ
[96.385] meimei_15: わこらだ！
[96.591] (S)hrjkd: わこらだ
[96.619] (S)itayui5: わこらだ
[96.640] (S)きゃまちべ: わこらだー
[96.828] (S)こねずみ: わこらだ
[96.908] uchichan_p: わこらだ
[96.910] alice8629: ホワイトデーください
[97.012] (S)ぴぴ田: pi_6373 subscribed with Prime. They've subscribed for 2 months! 
[98.063] mizuri_____: わこらだ
[98.130] まよかた: するんか
[98.154] popo9716: わこらだ
[98.284] syuncho: わこらだぁ
[98.287] yumeno_939: わこらだー
[98.300] mi_game_: わこらだ！
[98.306] しらすいか: わこらだ！
[98.359] horichancha: わこらだ〜
[98.453] (S)siratori__414: わこらだ
[98.464] omupanda: わこらだ！
[98.474] caf_coffee: わこらだ
[98.530] bomakn: わこらだー
[98.591] ember_1981: わこらだ
[98.736] ririririn_: わこらだ
[98.963] katuonituke: やたー
[98.981] hakusei11124: わこらだー
[99.191] (S)シモ0803: radaoWakotu
[99.191] mimaninoria: ジムは？
[99.191] sky_100603: わこらだ！
[99.216] mirinko3: わこらだ
[99.365] 湊ソラ: ホワイトデー返した？
[99.405] なのむーん: ほわいとでーわこらだー
[99.411] nago_mi: わこらだ
[99.467] kchan1225: わこらだ
[99.477] hino725: わこらだ
[99.599] mochimaru_27: わこらだ
[99.601] めかぶたろう: わこらだ
[99.705] ri_ra_kun: わこらだぁ^^
[99.725] noooori__x: わこらだ
[99.743] non_non_0607: わこらだ
[99.772] yu_ka_dorimi: チョコ返して
[99.818] (S)tc_core: わこらだ
[99.976] sakaauchi: わこらだ
[99.987] umime: わこらだ
[100.124] (S)mire_mire_: わこらだ
[100.180] seiyou_817: わこらだー
[100.228] 縮緬雑魚: 雑談枠？
[100.229] danana34: わこらだ
[100.258] nekoyorotto: わこらだ
[100.349] らるさんんん: わこらだ
[100.378] るくおにく: わこらだ
[100.575] (S)okomenokakera: radaoWakotu
[100.717] aya__0927: こにちはー
[100.740] nodogoshizeri: わこらだ
[100.767] nasiaisu: 寝起きか？
[100.767] skysandayo: わこらだ〜
[100.836] 抹茶抹茶: わこらだ
[100.865] strawberry_7_2: わこらだ
[100.907] suko_1170: わこらだ
[100.926] nobiutiago: わこらだー
[102.010] sevenvenven55: わこらだ
[102.056] みけぽちゃ: わこらだ！
[102.064] yochiyochi510: わこらだ
[102.165] ogapaka: わこらだ
[102.172] nana_tiroru: わこらだ
[102.226] teunohasi: わこらだ
[102.236] mope716: ホワイトデーだよお返しした？
[102.252] o_ma_me0_0: わこらだ
[102.277] ayunosioyaki0223: ジム頑張ったか？
[102.396] bc_moimoi: radaoWakotu
[102.454] 砂ザトウ: ジム大丈夫だったか？
[102.465] (S)ばのさん: わこらだー
[102.479] ふぉー040: わこらだー
[102.548] arisa524: 今日ホワイトデー🍫☞🎁❤︎
[102.710] さちゃづけ: わこらだー
[102.759] ari1030: わこらだー
[102.766] o_mo_m25: わこらだ
[102.774] (S)~MISSING_COMMENTER_INFO~: なにすんのー
[102.808] おじょーー: わこらだ 
[102.914] ミオンだよーん: わこらだ
[103.045] ぱるらぽる: わこらだ
[103.050] (S)タクトン: radaoWakotu
[103.065] rairai_6: わこらだ
[103.114] haruharuq: わこらだ
[103.121] (S)nakihai556: radaoWakotu
[103.326] 戦旗: わこらだ
[103.377] (S)harusame55: わこらだ
[103.541] ファルム: わこらだ
