[31.102] reo_821: unkochanYaa
[1023.228] チクビネラウノ: 誰が興味あんねん
[1027.984] manyyao: あーあいつな
[1031.906] 昼さん: こえーこと言うねえw
[1047.473] カイくん1010: ホグワーツ（今壊そうとしたよな…？）
[1059.805] 昼さん: なぜかラジオ受信するね
[1072.709] tadafu: dlcでロボット改造できるよ
[1088.940] ~MISSING_COMMENTER_INFO~: 自由度高め、ふふ
[1108.500] 昼さん: へぇ
[1109.625] o_Yamato_o: 自分も自由ゲーム苦手
[1148.320] 摩利支天尊: 素材集め奴隷の素質ある
[1160.627] カズヤ5963: だいぶさっぱりしたね
[1165.670] 昼さん: ただでさえ終わらないのにDLC絡むと本当に終わらない
[1183.677] あそこの折れたエンジェル: まずはトッピング無しで
[1207.451] カブキング4: ramuzuYa
[1209.031] manyyao: もーだいぶつるつる
[1213.638] mandsomone: Build a house
[1225.572] 昼さん: サンクチュアリは広い！！
[1234.361] likei999: そりゃそうやろ
[1236.814] ~MISSING_COMMENTER_INFO~: おふっ
[1237.059] gamouomag: やべーじゃん
[1250.341] 昼さん: サンクチュアリヒルズですね～
[1294.386] 昼さん: ２０人分は働いてる
[1310.290] ~MISSING_COMMENTER_INFO~: 無理はだめだよ
[1328.941] カズヤ5963: わかるよ 一旦全部消したい
[1341.772] tadafu: スキルであった気がする
[1341.978] ぱどめ: パーク取ればできる
[1343.722] 昼さん: そういうスキルがあります.....！
[1361.828] 昼さん: かしこー
[1385.390] hyaku4k: 要らない壊れた家具とか分解しまくるとマジでかいてきなのよね
[1447.979] PEACE_MashI: 不在着信きてたわ
[1450.243] 昼さん: さあ いくか！
[1456.831] 摩利支天尊: 自分で考えて建設するのと、「これ取ってきて」って言われて探しに行くのどっちが好き？
[1457.612] ~MISSING_COMMENTER_INFO~: いきますぞ
[1459.141] カイくん1010: ワンっ！
[1475.233] 親になるということ: 効率厨
[1481.907] あまにゆ: 場所回る
[1493.070] 昼さん: 戦闘 探索 作成 etc.....
[1497.896] カイくん1010: 冒険して敵倒すとかかなあ
[1498.852] yatogami04: マップ探検しまくるだけで経験値貰えるぞ！
[1516.588] PEACE_MashI: 最初は何かしらやっときゃ上がる
[1521.327] tadafu: ランダムで獲得経験値２倍になるパーク取っておくといいよ
[1534.536] 昼さん: ４んじゃったら戻されるからマメなクイックセーブオヌヌメ
[1541.593] yatogami04: チェックポイント山のようにあるから探検しまくっちゃえ
[1566.588] ~MISSING_COMMENTER_INFO~: ココよさそう
[1577.929] ぽちとり: お、フォールアウト
[1587.133] minoon0078: フォールアウト４？
[1613.161] PEACE_MashI: 4
[1623.114] mokourist8: チャレンジクルーって何
[1623.161] homelander029: ボストン舞台だからかな
[1628.222] manyyao: でたわね
[1628.283] PEACE_MashI: でたわね
[1633.106] ~MISSING_COMMENTER_INFO~: ふひ
[1647.064] PEACE_MashI: タイプ音きもちいい
[1653.310] 昼さん: いわゆる コードブレイカー
[1661.347] mandsomone: Exit on last to retry
[1677.382] 昼さん: ５文字は結構ムズイ........
[1697.462] うら猫: どういう仕組みや
[1708.896] 昼さん: うおおおおお
[1711.520] minoon0078: おめ
[1713.581] カイくん1010: やるやん
[1714.944] o_Yamato_o: いけるんかいｗ
[1715.301] サイオンは神: 天災
[1718.890] ~MISSING_COMMENTER_INFO~: やるじゃん
[1725.922] カイくん1010: ハッカーの素質あり
[1726.634] gamouomag: 才能の塊
[1738.551] サイオンは神: アノニマスらむ
[1739.392] mandsomone: Power armor time
[1754.902] 昼さん: A型の才をいかんなく発揮できてる
[1759.417] KAMEsaburo: 大事な奴
[1762.229] mise3214: アイアンマンのアークリアクター見たいなもの
[1770.063] ~MISSING_COMMENTER_INFO~: これ何系のゲーム？
[1786.062] みしぇる_: スパイして捕虜になっても大丈夫だね
[1789.037] PEACE_MashI: 世紀末系
[1798.508] ~MISSING_COMMENTER_INFO~: RUST？バイオハザード？
[1818.323] 昼さん: PARKはほーーんとほしいのおおい
[1819.700] minoon0078: ヨドバシwww
[1835.992] PEACE_MashI: ぬかっ！
[1846.062] (S)maro134r: 新宿西口駅の前〜♪
[1849.912] 昼さん: たまぶそくわかる～
[1873.387] ~MISSING_COMMENTER_INFO~: ぬかこぉら
[1886.663] 昼さん: 主観も苦手？
[1887.702] PEACE_MashI: ベセスダなので
[1889.802] カイくん1010: わかる
[1909.334] ジャックと豆の木: TPSだと
[1911.282] 昼さん: おもしろグループ
[1912.253] manyyao: 三人称視点は特に酔うかも
[1914.793] ayanosuke11: タイトルびびった
[1938.434] カイくん1010: こーすけだ
[1966.506] 昼さん: 長文ｷﾀｰｰ
[1979.347] ジャックと豆の木: ミニッツメン。実在した自警団みたいなやつ
[1983.093] PEACE_MashI: マママーフィー
[1990.475] 昼さん: まままま
[2041.682] pepepecha: すみません不在着信があったようなのですがどうされましたでしょうか？
[2046.541] 昼さん: ９年間修正されない会話バグですぞ！震えろ
[2050.904] ヨーコはやきの熟練奴隷豚: ここバグなのかセリフ食い気味なんだよね
[2051.822] (S)maro134r: 会話が混線するのどうにかならんのかねこれ
[2075.235] カイくん1010: 字幕バクは趣がある
[2080.288] marcobugenhagen: w
[2083.407] PEACE_MashI: 英語と日本語で文章の長さが違うんやろな
[2098.039] gamezamurai: ｗｗ
[2098.727] KAMEsaburo: さっき拾ったぞ
[2099.341] ジャックと豆の木: ここの字幕はよくバグる。ほかのとこではあまりないけど
[2103.187] カイくん1010: 混線してます？
[2103.914] minoon0078: さっき手に入ったな
[2105.700] wonderboy_9: これがベセスダクオリティー
[2106.191] wakame52300: いつもの
[2106.904] ~MISSING_COMMENTER_INFO~: ひょうじゅんふゅーじょんこあ
[2122.460] 昼さん: こいつら欧米人やなア
[2122.806] taka8caso: いいゲームやってますね～
[2125.246] カイくん1010: 先回り
[2130.848] mandsomone: Power armor time
[2133.265] PEACE_MashI: 既プレイ
[2136.748] カイくん1010: パワーアーマーきたあ
[2137.504] 昼さん: A型なめんな！！
[2150.061] ジャックと豆の木: 屋上へＧＯ
[2153.682] PEACE_MashI: PAの背中にグリッとするんやで
[2160.374] カイくん1010: 天にかざして合言葉を
[2165.812] KAMEsaburo: じゅん！？
[2172.462] 昼さん: よっしゃあああ
[2178.525] 怠惰クン: 藤原竜也もいます
[2179.210] カイくん1010: ふとんちゃん
[2186.135] PEACE_MashI: ゲームじゃねえんだぞ！
[2193.590] 昼さん: 日本のゲームみたいに行儀良くない
[2195.051] mandsomone: Hoarder
[2210.292] 昼さん: マーカー出てます
[2220.636] カイくん1010: 屋上って言ってなかった？
[2240.939] PEACE_MashI: ん？
[2246.328] 昼さん: そう
[2248.602] n31lunaa: はろらむ〜
[2268.395] oka_people_: Modいれないとロード長い
[2269.288] PEACE_MashI: ｷﾀ━(ﾟ∀ﾟ)━!!
[2269.738] 昼さん: バコン！！
[2291.305] PEACE_MashI: 似てるな
[2291.525] 昼さん: ロボだぁこれ
[2299.711] minoon0078: ジャガーノート？
[2303.318] PEACE_MashI: ちなみに電池食うから気をつけろよ
[2310.437] カイくん1010: 長押し
[2313.227] 昼さん: やっっちゃえ
[2329.052] カイくん1010: どりゃいああああ
[2334.075] mandsomone: Jump down
[2335.408] 昼さん: 落下に耐えれる
[2336.303] purutoro: 懐かし
[2336.309] minoon0078: そりゃあ、ミニガンだもの
[2341.413] カイくん1010: もう後戻り出来んぞ！
[2378.695] ジャックと豆の木: わくわく
[2388.687] 昼さん: 人がゴミ
[2391.081] カイくん1010: バックの容量とかあったよな
[2399.606] PEACE_MashI: まずい
[2401.109] カイくん1010: まずち
[2401.641] ヨーコはやきの熟練奴隷豚: デスクローキタアアア
[2405.421] PEACE_MashI: デスクローはまずい
[2412.555] 昼さん: 怪獣対決
[2413.345] ステンレス天功: うまい
[2416.976] wakame52300: 犬ｗ
[2431.091] ヨーコはやきの熟練奴隷豚: 瞬殺
[2436.823] manyyao: 爆破うっま
[2442.823] PEACE_MashI: えっど
[2444.177] カイくん1010: 犬つよ
[2446.859] marumarurinkota: えっど
[2448.767] ~MISSING_COMMENTER_INFO~: ひとまず脱いどく？
[2450.204] 昼さん: ぱわーあーまー最強！
[2465.926] ヨーコはやきの熟練奴隷豚: ドッグミートは無敵
[2469.571] PEACE_MashI: いってら
[2471.098] 昼さん: かわいそ
[2481.173] めっちゃ67です: やぴ
[2483.361] サイゴー: 目は大切に！
[2489.481] asbuppa893: ramuzuKao
[2543.487] anksya: デスクローもう倒したのか 来るの遅れたなあ
[2546.230] PEACE_MashI: おかえり
[2552.613] ~MISSING_COMMENTER_INFO~: ですな
[2591.919] ジャックと豆の木: 犬の名前はドッグミート。犬肉て。
[2604.132] Ippo360: 羅 生 門
[2609.514] 昼さん: 漢の全はぎ
[2614.954] minoon0078: ショットシェル持ってたな
[2635.687] PEACE_MashI: ガソリンじゃなくてフュージョンコアな
[2646.965] minoon0078: 犬肉
[2679.341] ジャックと豆の木: 呼んだらすぐ来るからミニッツメン
[2684.584] カイくん1010: 金しかいらん！
[2694.650] Ippo360: マママ
[2696.822] ~MISSING_COMMENTER_INFO~: さんくちゅあり
[2701.093] mise3214: スピリチュアルババア
[2703.067] ゴミニート4577: BBA
[2703.781] 昼さん: 細木
[2712.253] anksya: ガンギマリババア
[2715.105] PEACE_MashI: 地獄に落ちるわよ
[2717.615] (S)maro134r: 最後殺されるやつだw
[2737.301] twi1208: ｗ
[2746.879] 昼さん: ただエナジーはあるの
[2747.027] Jesse_Omega: LUL
[2748.345] ジャックと豆の木: スーパーでやられるやーつ
[2749.294] PEACE_MashI: シュガー
[2758.499] anksya: 物語の根幹に関わるのでネタバレは出来ないマママ
[2771.466] ~MISSING_COMMENTER_INFO~: コココ
[2774.874] カイくん1010: サイトマシまできもちいよ
[2775.397] コンソメあいく: 今日も元気で助かる
[2779.448] anksya: マママ ま？
[2781.492] KAMEsaburo: 薬厨かよ
[2783.017] 昼さん: マジでゼロからなんよな
[2786.594] minoon0078: やく中
[2791.871] カイくん1010: サイトまじで気持ちいいからおすすめ
[2800.969] ~MISSING_COMMENTER_INFO~: ぽこぉ
[2801.786] とんかつそーす: 役立たずが！
[2803.746] Ippo360: 薬厨だよ
[2815.772] 昼さん: サイトって５チャンネル的な？
[2820.511] 摩利支天尊: 薬中当てずっぽう婆
[2820.906] ~MISSING_COMMENTER_INFO~: すちゃ
[2824.538] PEACE_MashI: マママママ
[2832.634] ヨモギ田モギ代: 声でっかくて鼓膜しんだ
[2845.261] 昼さん: こいつら全員４にそう
[2846.016] カイくん1010: サイトは所謂やく
[2854.561] anksya: ジュンロングずっと萎えてる
[2873.889] ジャックと豆の木: ミストでは最終的にババアの側が生き残るが。
[2901.311] 摩利支天尊: 一瞬ばあさんがドア予約してたな？
[2901.776] PEACE_MashI: ミスト覚えてねえ
[2907.494] anksya: さあ実家へ帰ろう
[2920.770] 昼さん: みかんみたいのたまだからひろっとこ
[2934.178] minoon0078: ミストサブスクで見れる？
[2952.832] とんかつそーす: 私エネルギー切れ気を付けて
[2953.700] 昼さん: なんか踏みつぶしたw
[2960.873] PEACE_MashI: ＶＲ Pip-boy
[2971.270] 昼さん: じかに映るんかね
[3021.718] PEACE_MashI: こいついつもスティムパック使ってんな
[3029.070] 昼さん: スティムパック暴発ｷﾀｰｰｰ
[3042.528] PEACE_MashI: RaMuで読めねえ
[3065.797] marumarurinkota: おれの隣
[3068.526] mandsomone: Power off
[3070.635] 昼さん: いいんじゃないでしょうか！
[3070.917] anksya: 寄り道が楽しいゲーム
[3073.297] とんかつそーす: 右上？
[3075.863] paypay_ok: みぎうえ
[3089.467] dsfasfsf: ワイプデカくね
[3104.787] 昼さん: ワイプ大きめ助かる
[3108.041] Ippo360: ガービー達に付いていかなくても平気よ
[3109.534] PEACE_MashI: 🦀
[3117.724] 昼さん: いったれいったれ
[3131.483] 昼さん: 全然自由ですよー
[3138.926] Ippo360: あいつらは勝手にサンクチュアリに移動する
[3146.839] dsfasfsf: グンロズ
[3147.995] paypay_ok: overkill
[3155.339] ジャックと豆の木: あいつらは勝手に目的地行くからおｋ
[3155.384] anksya: ミニガン気持ちええけどすぐ弾無くなるんよな
[3194.338] 昼さん: パワアマの許容量も上回ったか
[3197.876] 左利きのエレン: これってストーリーゲーですか？
[3201.808] groovelivegroovelive: ういーす
[3203.433] tadafu: アーマー捨てれば
[3209.378] ジャックと豆の木: いらない装備は捨てよう。アイテムはいずれ使う
[3211.812] PEACE_MashI: 酒あるなら 酒のめば一時的にStrengthあがって重量あがるぞ
[3213.876] dsfasfsf: 被ってる武器とか防具とか捨てて良いよ
[3221.837] groovelivegroovelive: あれパワーアーマー着てる
[3231.693] 昼さん: 重量に困ったら 酒！！！
[3239.243] PEACE_MashI: やっぱり酒だよな
[3251.481] 昼さん: ｗｗｗｗ
[3251.952] dsfasfsf: 🦀
[3261.633] PEACE_MashI: うまそう
[3263.779] groovelivegroovelive: VATSは？
[3267.713] (S)maro134r: ヤシガニみたいなの出てきた
[3269.676] anksya: 地味に硬い子強いんよなこいつ
[3270.147] 昼さん: 死闘です
[3288.598] PEACE_MashI: こいつは近接じゃねーとキツイか
[3299.856] 昼さん: よくハメられますねえw
[3311.497] anksya: 死因がヤシガニに殴られて死ぬの悲しい
[3315.264] チクビネラウノ: 相手も気使ってます
[3317.558] manyyao: 近距離スコープw
[3321.893] metamons2: こわいな
[3323.001] groovelivegroovelive: 止めよう
[3323.552] isudaisuki0141: wwww
[3326.684] gamouomag: パニック
[3326.690] PEACE_MashI: 草
[3330.423] ジャックと豆の木: 強いやつにあたったな
[3335.966] kobanikohu3536: ワイプでかすぎ
[3335.986] 昼さん: 新鮮で良い
[3337.523] isudaisuki0141: あぅ
[3353.074] 昼さん: かませ！
[3357.035] PEACE_MashI: セーーーーフ
[3361.260] anksya: やーーーーーーっぱミニガン
[3364.197] 昼さん: いっすね～～～
[3364.664] wakame52300: アーマーはげた
[3368.834] Ippo360: 🦀
[3369.562] suspex_junky69: 犬にアイテム預けられなかったけ？
[3370.094] にゃるぷー: かえろう
[3375.362] kokohan4: 🦀
[3379.532] PEACE_MashI: 脱ごうぜ
[3387.753] kokohan4: 草ｗｗｗｗ
[3391.922] anksya: falloutあるあるの迷子
[3396.793] 昼さん: 別の出口さがすか
[3420.142] PEACE_MashI: あ
[3420.927] (S)ミズタニ: あ
[3425.183] kokohan4: あ
[3435.113] anksya: だれよその女！
[3439.167] dsfasfsf: も、こう
[3444.788] (S)maro134r: もしもしー？RaMuさん？
[3444.824] PEACE_MashI: んん～まかｧｧウｯｯ!!!!🤏😎
[3449.215] marumarurinkota: もこうだね
[3454.059] PEACE_MashI: ニヤニヤしてら
[3462.869] kalumaso: DarkMode
[3476.991] groovelivegroovelive: VATS使わんとキツいな
[3496.403] isudaisuki0141: 男さんと遊ぶ約束してます
[3510.282] dsfasfsf: あ
[3511.861] PEACE_MashI: ﾌｧｯ!?
[3513.584] Ippo360: 今日！？
[3515.880] kokohan4: 今？！
[3519.673] groovelivegroovelive: マジ？
[3521.693] 昼さん: ほへ～～
[3522.344] (S)maro134r: おめでとうございます
[3522.582] ひびちゃん_ぽにお: もこうと結婚？おめでとうございます
[3532.453] marumarurinkota: 明日！？ そんなやつの結婚式行くな！
[3535.207] (S)ミズタニ: BloodTrail
[3541.217] PEACE_MashI: 急すぎる
[3561.885] groovelivegroovelive: 急すぎてワロタ
[3575.364] PEACE_MashI: 我慢しろ
[3581.939] kokohan4: 冷えるんか
[3586.937] ひびちゃん_ぽにお: 腹巻しますか？笑笑
[3586.981] marumarurinkota: らむちゃんはうんちなんかしないよ
[3588.402] カイくん1010: 代わりにうんちするね-` ̗💩🧻
[3600.289] 昼さん: 懲りずにはらだしつづけてくれ
[3600.626] koke_atleti: spygeaUnt
[3618.174] PEACE_MashI: なるほど？
[3623.945] カイくん1010: あー
[3627.888] (S)maro134r: 補欠出席w
[3637.736] 昼さん: うおー
[3637.909] エッグモッズ: キャンセル待ちｗｗｗ
[3643.894] カイくん1010: 合コンじゃあねえぞ！
[3645.551] kokohan4: ご祝儀用意せなアカンやん
[3647.203] PEACE_MashI: 酒のめ
[3649.968] Ippo360: 呼ばれまくってそうなのに意外
[3658.807] カイくん1010: バックの容量オーバー
[3664.270] 昼さん: 花山薫みてえな歩き方
[3676.313] marumarurinkota: うんちしてくれたらいいよ
[3684.788] カイくん1010: スパチャで御祝儀渡すな！
[3685.637] (S)maro134r: リスナー一同より
[3702.605] kokohan4: そしたらリスナーからの御祝儀になるやんけｗｗ
[3708.063] 昼さん: 昼さん is gifting 1 Tier 1 Subs to らむずっきゅん's community! They've gifted a total of 1 in the channel! 
[3708.426] 昼さん: 昼さん gifted a Tier 1 sub to torontoseoul! 
[3708.704] PEACE_MashI: これ帰るまでフュージョンコア持たねえな
[3717.520] manyyao: イッヌなんももってねーや
[3730.829] kokohan4: この犬スゲー
[3751.158] ジャックと豆の木: 犬のどこに収納？
[3758.471] 昼さん: また怪獣でるか？
[3761.325] Mad_b_madness: NotLikeThis
[3774.035] カイくん1010: SMOrc
[3782.714] コメントは音声入力です: 家なき子
[3795.604] Ippo360: ファストトラベルしよう
[3797.904] 昼さん: おいてけぼりくらった
[3801.839] PEACE_MashI: あと３分くらいで電池切れるぜ
[3806.884] ジャックと豆の木: アーマーは捨ててもなんとかなる
[3819.672] Ippo360: そこガソスタ
[3832.346] manyyao: 画面下のコンパスも便利よ
[3833.993] 昼さん: そこにしまっとこ
[3840.795] コメントは音声入力です: フォールアウトおもろいよな全シリーズおもろい
[3852.980] kokohan4: お犬様が持ってるからな
[3860.471] PEACE_MashI: T-４５何個か犬に持たせたぞ
[3882.743] 昼さん: 修理ちょっとややこいんよね
[3917.126] kokohan4: ？！
[3918.202] wakame52300: あ
[3918.549] 昼さん: 自分が所持した状態でクラフトかな？
[3920.938] PEACE_MashI: あ
[3922.894] groovelivegroovelive: 乗ろうとしてる
[3922.941] 摩利支天尊: まずい
[3924.443] kokohan4: バグった？
[3929.931] 堀北まかない: バグです…
[3936.066] PEACE_MashI: 草
[3936.492] gamezamurai: 終わりってコト
[3947.082] groovelivegroovelive: 後ろに回れば乗れる？
[3957.693] kokohan4: 虚無
[3964.356] ジャックと豆の木: 勝手にウォーキングエンド
[3968.156] groovelivegroovelive: クイックセーブだろ
[3972.855] 昼さん: ファストトラベル直前のデータがあります
[3974.451] PEACE_MashI: ベセスダだから
[3979.834] kokohan4: ベセスダはねぇ
[3990.452] 堀北まかない: さんざん直してこれなんだよね、なんならついこないだもアプデあった
[3995.378] PEACE_MashI: このゲームのメーカー
[3995.577] groovelivegroovelive: 開発元
[3999.062] (S)maro134r: ゲーム会社名
[4006.678] kokohan4: 開発元の名前
[4038.662] 昼さん: ベセスダゲーは データ保管との戦いでもある
[4099.759] 摩利支天尊: 100年ぶりのアプデなのにも関わらず散々困らされてたバグを洗いきれてないの逆に安心する
[4102.429] 昼さん: ＰＡステーション選んでクラフトかな？
[4150.954] (S)mimimiumiu1: おれおれ、おれだけど
[4177.552] manyyao: アプデもバグを生むから物量系のゲームはなかなかどうしようもなさそう
[4185.578] marumarurinkota: 正直にもこうって言っていいよ
[4194.610] kokohan4: パワーアーマーステーションで出来るはずや
[4197.960] ~MISSING_COMMENTER_INFO~: もうゲームやる！！
[4252.321] 昼さん: paは材料喰うよね～～
[4273.011] manyyao: 粘着剤武器にも使いたいもんね
[4290.076] 昼さん: おＫ
[4291.793] ふらんさん: ramuzuKao
[4308.134] groovelivegroovelive: また服溜め込んでたのか
[4311.459] kokohan4: ひでぇ
[4315.566] 昼さん: 商人探しの旅に出ますか....
[4319.332] ジャックと豆の木: 服は二束三文。ポイ
[4320.252] (S)mimimiumiu1: バイヤーなみ
[4322.384] gamezamurai: ｗ
[4339.794] 昼さん: さあさあ！
[4343.293] こんすたんてぃん: 服とかマネキンに着せて展示できる
[4347.289] groovelivegroovelive: 個人的にはカリスマ
[4349.305] 昼さん: すきなのあげるよろし
[4369.465] tadafu: ランダムで経験値２倍になるパーク
[4371.882] kokohan4: 出来る
[4389.425] 昼さん: ﾍﾞｾｽﾀﾞといえばスリ
