[10.182] ミュク: よっ
[1685.916] はらまきっ: なるほどな
[1689.304] mogubou: おー
[1691.572] (S)ミカロニ: おじさんは？
[1695.392] ウロ: この「見た」判定もむずかしそうだな
[1698.084] リュダ: 目線高いな
[1717.437] (S)ミカロニ: 異変を見つける系じゃないって聞いたけど
[1728.161] ウロ: 番号ないといけてるかどうかわからんな
[1736.919] ウロ: 普通に物語がある感じなのか？
[1749.893] リュダ: この広告ガチなのか？
[1761.097] (S)ミカロニ: ゾーンはマジである
[1820.113] ウロ: みんなが降りるまで待たないといけないか
[1839.080] (S)ミカロニ: これが満員とか、すなお電車エアプか？
[1859.981] はらまきっ: 謎解き系？
[1864.862] ウロ: ２両編成じゃぁなぁ
[1871.910] wadaryu_ope2: 強制的に異変見せられるのおもろいな
[1885.461] ウロ: ゲームオーバーですか
[1889.284] gurikororo: 目そらしたから？
[1903.195] ウロ: 分かりづらくなってんな
[1918.770] リュダ: ルールが分からに
[1931.480] wadaryu_ope2: 与田大激怒
[1940.953] (S)ミカロニ: え？
[1946.534] gurikororo: 空気読み。得意なんだ
[1948.128] ウロ: すぐ飽きるから苦手だと思う
[1953.896] ninninninjack: なつかしの
[1964.443] ななな7: おーーーい
[1964.576] (S)ミカロニ: ネット社会
[1985.695] wadaryu_ope2: なんか今までで一番よくわからん
[1989.591] ウロ: ルールを教えてくれよ
[1991.337] (S)ミカロニ: これ戻れるの？
[2021.246] ななな7: ちょっろ
[2024.702] ウロ: うっま
[2032.207] wadaryu_ope2: いい人だったのかも
[2034.912] mogubou: なるほど
[2047.057] ウロ: 進んだり戻ったりよりは猪突でいいね 
[2075.825] (S)ミカロニ: 開けて逃げる？
[2078.103] ウロ: 都会の人は冷たいな
[2079.076] ななな7: せーーーふ
[2084.085] はらまきっ: sunaodInsotu
[2090.030] (S)ミカロニ: 最低だなすなお
[2091.545] mogubou: うっま
[2101.194] はらまきっ: 首ないな
[2117.792] ななな7: いったんね
[2119.596] cafelatte99: 一旦な
[2121.717] はらまきっ: sunaodYGCM
[2164.082] wadaryu_ope2: 一緒に首探すべ
[2167.113] ウロ: クリックで走れるの知らないな
[2174.225] リュダ: デュラハンじじい
[2220.152] ウロ: いまんとこ割とだるいゲームか
[2260.555] (S)ミカロニ: 網棚か？
[2261.293] ハルキヨ: sunaodOha
[2261.821] ウロ: フィン・ドメっていう名前かもしれない
[2281.120] 四季烏: こんばんわ
[2306.981] めてい: こんばんは 
[2317.391] (S)ミカロニ: こわ
[2345.291] ab4d__: なんだこれ
[2347.382] はらまきっ: ｗｗｗ
[2348.595] ウロ: 猪突すぎて何が起きてるか分かんねぇ
[2372.241] でこぼこごみばこ: こんばんわ、また怖いゲームやってるｗ
[2374.544] wadaryu_ope2: 結局異変見つけたらどうすりゃいいんだっけ
[2377.228] mogubou: 毎回スタートに戻ってんのかな？
[2404.457] はらまきっ: 行先の数字が増えてく感じかな
[2406.028] めてい: ステイサムもどきも健在ですか
[2415.724] (S)ミカロニ: 駅の名前変わってない？
[2431.023] ウロ: 零山とか一ヶ崎とかで進んでいく感じなのか
[2449.030] (S)ミカロニ: 終点を目指す感じか
[2459.255] mogubou: sunaodInsotu
[2459.870] wadaryu_ope2: はえ～
[2469.458] リュダ: 気づき
[2490.611] ウロ: 普段上見ないから首気をつけてね
[2497.308] (S)ミカロニ: ないですやん
[2514.656] はらまきっ: ＜●＞
[2525.916] ab4d__: リアルZONE
[2537.557] mogubou: 理解した
[2546.710] はらまきっ: でｋｋっか
[2547.323] gurikororo: sunaodGyoee
[2548.776] wasabi_suki: sunaodGyoee
[2556.804] 海老マシンガン: でっかい
[2561.751] wadaryu_ope2: 都営新宿線だとよくあるよ
[2567.704] gurikororo: え
[2568.510] ウロ: デイブのクジラも怖かった
[2569.716] wasabi_suki: こわ
[2576.955] mogubou: こっわ
[2580.690] 海老マシンガン: 聖書に忠実な天使の絵とか怖いよね
[2589.272] (S)ミカロニ: 駅名チェック忘れんなよ
[2590.544] ab4d__: 誰だ風呂にダイオウイカ入れたの！
[2603.218] wadaryu_ope2: https://user0514.cdnw.net/shared/img/thumb/TOMS526509_TP_V.jpg これな
[2612.957] ab4d__: こっわ
[2630.659] はらまきっ: 🐱
[2635.541] ウロ: なるほど
[2664.971] wadaryu_ope2: ガキざっこ
[2665.198] mogubou: おー
[2695.564] mogubou: 巨人だぁ
[2698.640] リュダ: ごつはらな
[2726.601] はらまきっ: ｗｗｗ
[2728.780] ウロ: ｗｗｗｗｗ
[2732.646] cafelatte99: こっわｗ
[2736.917] gurikororo: sunaodGaan
[2739.551] ウロ: むげ〜
[2739.627] wadaryu_ope2: ハゲは歩いてるだけで逃げられるのか
[2741.006] ab4d__: 好きだねぇ迫ってくるシリーズ
[2751.096] ウロ: みんな座れよ
[2763.986] ウロ: メイドインワリオ
[2788.473] wadaryu_ope2: あっかる
[2799.844] はらまきっ: クリア？
[2800.977] ウロ: クリアーです
[2809.092] eda_donguri: すっご
[2810.675] リュダ: え
[2811.342] cafelatte99: EZ
[2812.265] wadaryu_ope2: NO EZ
[2812.654] はらまきっ: う、うおおおおおおおおおお
[2813.124] ab4d__: はや
[2815.225] mogubou: はっや
[2815.721] ぜろこーど: えー、クリアですぅ
[2816.540] taku_4321: はっやｗ
[2817.384] wasabi_suki: はっや
[2818.016] 海老マシンガン: はい勝ち
[2818.763] ウロ: 面白かったね デイブいこっか
[2822.647] wadaryu_ope2: ウォチパまでなにしますか
[2825.794] ab4d__: ピーンポーン
[2828.682] リュダ: sunaodOtu
[2833.592] gurikororo: sunaodOtu
[2834.432] ぜろこーど: Butabakoの続きしますか？
[2836.582] ab4d__: sunaodOtu
[2838.241] (S)おすぅしぃ: まって
[2840.571] wadaryu_ope2: はいな 
[2855.188] ウロ: ここからがマグマなんですか
[2916.276] 激熱演出: 歩数か？
[2921.592] リュダ: 苦しみの9ですか？
[2923.529] ウロ: でも8だから末広がりだよ
[2955.289] ウロ: ドアもそんなにないしな
[2966.007] リュダ: 歩数だとしたらこのゲームで歩数カウントむずくね
[2986.350] isseichels: ・・・？
[2999.259] ウロ: 894に戻した遣唐使しか出てこん
[2999.469] (S)おすぅしぃ: 894−1は…？
[3009.246] 激熱演出: じゃあノック回数か
[3038.559] はらまきっ: ｗｗｗ
[3055.098] ウロ: 8ぃ、でドアまでたどり着いたのおもろかった
[3104.658] ウロ: インタラクトできるとしたら座席くらいかな
[3146.283] ウロ: この電車優先座席無いのカスだな
[3158.163] (S)ミカロニ: 吊り革？
[3162.746] wadaryu_ope2: なんとなくわかったけど言っていいんか
[3203.268] wadaryu_ope2: おじさんの髪の本数だよ
[3207.047] ウロ: このドアみたいなのが…？実はパンドラの箱を表していて？
[3214.541] ウロ: おーーー
[3221.455] はらまきっ: それっぽい！
[3226.989] ウロ: きたあああああああああああああああ
[3226.992] eda_donguri: おおおおお
[3228.238] cafelatte99: sunaodInsotu
[3228.711] はらまきっ: sunaodInsotu
[3231.518] mogubou: おー
[3238.744] wadaryu_ope2: sunaodInsotu
[3239.392] mogubou: sunaodInsotu
[3241.544] eda_donguri: ｗｗｗ
[3277.701] はらまきっ: こっわ
[3280.479] 激熱演出: こっわ
[3286.662] mogubou: こっわ
[3295.811] wadaryu_ope2: シルエットは野原ひろし
[3299.848] the_neko_tokyo: おはおー
[3306.298] ウロ: すごい迷子になりそう
[3351.285] ab4d__: 座ろっか
[3403.239] ウロ: ナゾ解きたい
[3463.530] はらまきっ: フリですか？
[3485.445] ウロ: いかのおすし
[3490.718] wasabi_suki: あった
[3493.257] mogubou: 火災訓練か
[3496.082] ab4d__: なにそれ
[3499.243] 海老マシンガン: あったあった
[3506.013] ウロ: 煙はなかったけどやった
[3511.377] ぜろこーど: でっかいテントでな
[3517.332] 海老マシンガン: オレンジのビニールハウスみたいなの入った
[3520.131] (S)ミカロニ: けむりくんみたいな名前のやつ
[3530.388] ab4d__: みんな経験しててうらやま
[3584.540] はらまきっ: sunaodInsotu
[3585.966] (S)ミカロニ: scpじゃん
[3598.895] ウロ: ネコ膨らみ過ぎじゃない？
[3620.063] ab4d__: 困った時の電光版
[3629.234] ウロ: ねこあざらし薬店ってなんやねん
[3649.206] ウロ: みちゃったんだ
[3652.664] mogubou: www
[3658.473] wadaryu_ope2: TRPGの広告の絵少し変だったか
[3684.569] ウロ: なんか書いててくれ〜
[3708.963] ab4d__: ヒントないか？
[3714.801] ウロ: ありそう
[3729.392] mogubou: お
[3736.046] ウロ: どゆこと〜
[3740.324] はらまきっ: いけたああ
[3746.778] 激熱演出: 前は見落としてただけか
[3751.111] (S)ミカロニ: 駅名チェック
[3781.671] はらまきっ: sunaodUooo
[3785.842] mogubou: sunaodUooo
[3797.588] ab4d__: そして8番出口へ
[3799.582] ウロ: はじまった！
[3809.458] wadaryu_ope2: ここからが本当の地獄か
[3835.984] ウロ: 呪術廻戦０みたいなこと？
[3859.525] ab4d__: ドラクエ理論だと左
[3868.639] cafelatte99: おおー
[3868.872] mogubou: おーーー
[3869.706] wadaryu_ope2: おおおおおおおおおお
[3874.801] 海老マシンガン: 言い終わり方だな
[3876.847] ウロ: ジョウトからカントー地方行くときの感じだった
[3880.466] 激熱演出: 主人公不憫すぎるだろ
[3884.233] mogubou: そう繋がるのね
[3889.603] (S)ミカロニ: また起動したのかと
[3892.358] ウロ: あのおじさんが一番不憫
[3900.142] ab4d__: なんかやらかしたのかな
[3932.152] wadaryu_ope2: 最初からか
[3935.764] eda_donguri: ８８８８８８
[3939.220] はらまきっ: ８８８８８
[3940.638] mogubou: 888888
[3988.403] ウロ: さくっとインスクリプションいくか
[3992.411] ぜろこーど: 終わります
[4001.594] (S)おすぅしぃ: またまた〜
[4002.626] ab4d__: さくっとデトロイト？
[4008.385] wadaryu_ope2: (はいな… 
[4019.354] おもち好き: おもち好き subscribed at Tier 1. They've subscribed for 15 months! 
[4057.284] (S)ミカロニ: 8番のりば買ったんだっけ？やらないの？
[4059.954] wadaryu_ope2: あと2時間なにするか
[4071.726] wadaryu_ope2: Butabakoの続きで巣もいいですよ
[4072.647] ぜろこーど: 1dayでちょうどいい時間になりそう
[4077.847] ウロ: 無限ループって怖くね？
[4083.496] (S)ミカロニ: これからだろ？
[4096.130] ab4d__: 8番出口ってゲームあるらしい
[4112.630] ウロ: unityも始めたら終われなくなりそう
[4123.070] (S)ミカロニ: 8番のりばやるって言って8番出口やり始めたすなおが怖かった
[4127.082] eda_donguri: ｗｗ
[4134.388] mogubou: はっや
[4144.365] ab4d__: 配信みてる〜？
[4145.251] wadaryu_ope2: 配信見てたな
[4155.482] ウロ: 全ての異変は見つけた？
[4179.594] gurikororo: ファンアート書く？
[4193.438] ウロ: 全部見ても実績載らないのか
[4200.671] wadaryu_ope2: 書けるもんなら書いてほしい
[4203.241] ウロ: モニカちゃんのファンアートでもいいよ
[4208.360] (S)おすぅしぃ: 一個やったら一個ファンアートの約束だもんね
[4223.107] wadaryu_ope2: モニカとかいたなそんな女
[4253.967] gurikororo: 文芸部のファンアートも出来そうね
[4261.293] ウロ: デトロイト途中で投げたデータの分かりきった結末だけ見たら１時間くらいか
[4267.991] eda_donguri: え
[4270.892] はらまきっ: ｗｗｗ
[4272.501] gurikororo: え
[4273.493] (S)ミカロニ: えええええええ
[4275.758] wasabi_suki: え
[4276.367] gurikororo: sunaodGaan
[4282.592] mogubou: sunaodGyoee
[4282.838] (S)おすぅしぃ: って言うのはうっそーww
[4295.113] はらまきっ: クリーチャーと恋してもいい
[4297.680] tatsu7727: 昨日音信不通だったのに
[4303.978] gurikororo: イヤホンも外してる 
[4320.918] ウロ: カピバラのオンリーアップやりませんか
[4345.993] ウロ: ついに温泉シャークが公開されるらしいぞ！
[4347.015] gurikororo: かわいいw
[4361.839] (S)ミカロニ: まじで終わる感じ？
[4391.613] wadaryu_ope2: さようなら…
[4391.842] (S)ミカロニ: やだ！！
[4396.606] gurikororo: まずいまずい！
[4399.340] ウロ: ９時までどうすりゃええんじゃ
[4409.533] ぜろこーど: 支店も本店と同じぐらい稼げたはず
[4418.699] gurikororo: デトロイトは？
[4434.070] ウロ: セキロ買ってみませんか
[4443.869] はらまきっ: OWしてもいいですよ
[4445.206] wadaryu_ope2: 終わるならUnityで改変やることになっちゃうんだけどどうする？
[4446.163] ab4d__: おもろいゲーム教えないと終わっちまうぞ
[4449.592] ウロ: オーバーウォッチはいいや
[4467.859] wadaryu_ope2: OWやるなら早く終わってほしい
[4476.593] (S)yucassh: sunaodOha
[4498.494] ぜろこーど: SEKIROは今も8千人がプレイするぐらいの大人気ゲームです
[4514.819] ぜろこーど: ｗｗｗ
[4516.840] eda_donguri: sunaodPien
[4519.349] ab4d__: そんなことある
[4520.090] (S)persinette821: sunaodOha
[4524.830] gurikororo: sunaodGaan
[4531.166] はらまきっ: ニンジュツォ；；
[4544.272] gurikororo: すなおちゃんがフロムゲーするの見てみたい
[4547.251] ウロ: 酢豚バッチつけたからUnity頑張って豚箱に飾ってほしい写真上げるね よろしくお願いします
[4550.538] tatsu7727: なんでマウス用の使わないの
[4552.957] ウロ: 買ったから、だ
[4553.717] ぜろこーど: レシーバー繋いでるケーブルで充電してねって事だよ
[4592.181] ウロ: そりゃそうだ
[4598.869] ab4d__: 独占きたねぇよ
[4603.316] gurikororo: sunaodInsotu
[4641.106] ぜろこーど: SEKIROやりますか！？”
[4645.874] ab4d__: ええやんええやん
[4645.970] gurikororo: ？
[4648.583] gurikororo: お
[4661.177] gurikororo: sunaodYeah
[4664.771] cafelatte99: いいね
[4671.096] wadaryu_ope2: ラウンジやるか
[4672.378] はらまきっ: らうんじ
[4681.921] gurikororo: 朝までそれ正解
[4684.879] eda_donguri: sunaodUkiuki
[4685.994] ab4d__: 豚と遊ぶコーナー
[4686.427] ウロ: ここまで一人の配信者を観ている仲間たちだから以心伝心ですぐ終わっちまうよ
[4751.418] (B)sunao_desuu: https://loungegamejoin.site/enter/dG9rZW49YVdROU1qZ3dOelUwT1NadVlXMWxQVTFVWTNoT2VrbDZUbXBGZUU1Mw
[4764.903] (S)persinette821: sunaodUooo
[4847.029] ウロ: 定員超えても満員電車みたいに押し込めば入る
[4899.347] gurikororo: 定員数越えても出来てたもんねw
[4930.919] wadaryu_ope2: 自分が本当に参加できてるのかわからに
[4951.542] ウロ: あれ、いねぇや
[4957.522] eda_donguri: よーーーし
[4966.090] wadaryu_ope2: できとらんかったわ
[4977.484] eda_donguri: え；；
[4979.749] ab4d__: 笑
[4981.189] eda_donguri: ｗｗｗ
[4983.776] gurikororo: え
[4999.426] gurikororo: シェフ👨‍🍳
[5044.330] wadaryu_ope2: ｗｗｗｗｗｗｗ
[5047.236] eda_donguri: ；；
[5051.165] (S)persinette821: 10越えたらリセットｗｗ
[5056.731] ウロ: リセットされても待ってたらいいんだよね
[5076.388] ウロ: よくなさそうか
[5113.369] ウロ: 開始してしまえば１０人以上入れるっぽいし
[5132.795] gurikororo: sunaod2
[5148.810] eda_donguri: 開始までこの画面でお待ちくださいって出てる
[5173.235] eda_donguri: ；；
[5173.358] (S)persinette821: ｗｗｗｗ
[5183.716] cafelatte99: きた！
[5196.354] gurikororo: 4人？
[5199.753] 海老マシンガン: きたよ
[5202.013] (S)persinette821: 入りなおしていけた！
[5202.102] eda_donguri: きた！
[5213.420] gurikororo: いけたか！
[5226.831] gurikororo: sunaodUkiuki
[5242.843] はらまきっ: ｗｗｗ
[5243.323] eda_donguri: ｗｗｗ
[5243.661] ウロ: 前回もやったお題だし流石にな
[5245.761] wasabi_suki: ｗｗｗ
[5249.725] gurikororo: 増えてるw
[5250.239] wadaryu_ope2: そもそも何人いるんだ
[5250.835] cafelatte99: さすがにな
[5266.020] gurikororo: 14人？
[5272.832] ab4d__: 合法で10人こえたぁーーー
[5281.302] eda_donguri: ｗｗｗ
[5286.557] (S)persinette821: せめてスケートｗ
[5287.352] cafelatte99: sunaodBanana
[5287.564] gurikororo: あ
[5287.978] はらまきっ: ｗｗｗ
[5293.701] しーけー345: ww
[5297.368] wadaryu_ope2: 経験者かもしれない
[5299.298] ウロ: BAN
[5300.637] gurikororo: 今度こそw
[5300.912] ab4d__: やってんね
[5328.703] (S)おすぅしぃ: 人生賭けてるかもしれないだろ！
[5332.356] wadaryu_ope2: 世の摂理から外れてる
[5347.061] gurikororo: スケートではなくスピードスケート
[5380.994] gurikororo: 墨かと思った
[5415.999] (S)persinette821: 墨汁がいちばん黒い
[5421.493] gurikororo: イカ墨w
[5439.945] ウロ: すなおが回答する前に脊髄で答える
[5443.186] gurikororo: これはいける
[5445.447] ぜろこーど: これは難しい
[5460.477] はらまきっ: うっま
[5491.662] gurikororo: ロックかと思った
[5501.504] ウロ: 前まですなおの後ろにいたやつとか
[5512.932] ab4d__: 落ちました
[5527.324] ぜろこーど: ノ・マーズいたああああ
[5532.362] wadaryu_ope2: いるいる
[5548.702] (S)persinette821: むずすぎ
[5551.627] gurikororo: 濡れ衣w
[5553.045] wadaryu_ope2: 漫画か
[5554.124] はらまきっ: 漫画
[5555.305] (S)おすぅしぃ: これはむりや
[5564.809] ウロ: ノマーズはやってる
[5580.075] eda_donguri: ｗｗ
[5583.947] cafelatte99: ｗ
[5587.832] gurikororo: 異端者いたw
[5588.854] wadaryu_ope2: シェフチェンコなら先にブルーノマーズ出てくる
[5598.682] (S)おすぅしぃ: ベリーは女の子過ぎ
[5599.857] cafelatte99: ベリーおもいつかんかったｗ
[5605.165] ウロ: ベリーはないわ
[5622.836] ぜろこーど: 難しい
[5625.013] mec314: 年齢ばれそう
[5626.680] gurikororo: ムズくね
[5635.445] ウロ: めたもん
[5668.832] gurikororo: ホットドッグかな？
[5671.869] mec314: ホットドッグかと思った
[5675.542] cafelatte99: みすったかも
[5684.247] (S)persinette821: グリーンブックでホットドッグ大食いしてた
[5687.203] (S)ミカロニ: ホットドッグは早食いかも
[5693.459] ぜろこーど: たしかに
[5714.196] eda_donguri: おちてます；；
[5716.074] gurikororo: 大食いではないかなぁ
[5725.294] ab4d__: チクチク
[5743.068] はらまきっ: ｗｗｗ
[5744.735] (S)persinette821: ｗｗｗ
[5746.099] (S)ミカロニ: わんこそば！
[5750.037] gurikororo: w
[5751.709] mogubou: www
[5756.018] (S)おすぅしぃ: すきな総菜発表しちゃった
[5758.927] (S)persinette821: わんこそばは王道の回答だ
[5775.986] (S)おすぅしぃ: やばいミスった
[5777.292] gurikororo: これはキツそう
[5790.463] はらまきっ: 🍵
[5804.076] (S)persinette821: ヤンヤンつけぼーの容器みたいな構造の湯飲み
[5818.929] gurikororo: sunaodGyoee
[5819.190] アメーダ: 緑か紅かと思った
[5828.805] wadaryu_ope2: 加藤茶はやってる
[5831.745] gurikororo: 加藤w
[5849.673] ぜろこーど: なんだあ？
[5856.369] gurikororo: 南
[5868.667] ぜろこーど: 結構いろいろあるなあ
[5880.231] ぜろこーど: それは見たことないかも
[5885.055] アメーダ: 東
[5886.290] (S)ミカロニ: 〇〇茶
[5893.685] (S)persinette821: 松が衝撃すぎる
[5895.278] wasabi_suki: 林
[5896.416] はらまきっ: 松たか子くらいしか知らないな
[5899.642] mogubou: www
[5904.046] gurikororo: 松っている？
[5906.991] eda_donguri: ｗｗ
[5908.604] (S)ミカロニ: 一文字か
[5909.325] cafelatte99: あー林か
[5913.935] (S)ミカロニ: にのまえ？！
[5915.010] wadaryu_ope2: 関だったな
[5918.950] ウロ: 松て おらんやろ
[5924.544] (S)persinette821: 松たか子か
[5929.549] ぜろこーど: 関だったなあ
[5939.174] ウロ: ニノマエのほうが松より思いついた
[5949.120] ぜろこーど: 難しいなあ
[5962.267] アメーダ: 3択
[5964.824] gurikororo: ムズくね
[5988.886] (S)ミカロニ: 普通のジャム
[6000.681] (S)persinette821: これは普通のジャム
[6008.914] gurikororo: w
[6009.908] cafelatte99: 普通のジャムｗ
[6011.171] はらまきっ: ｗｗｗ
[6015.103] (S)おすぅしぃ: 普通のジャムは普通のジャム
[6016.230] wadaryu_ope2: 普通のジャムは普通のジャムです
[6017.820] アメーダ: 普通のジャムってなに？？？
[6019.193] (S)persinette821: ジャム=普通のジャム=いちごジャム
[6022.694] ab4d__: 普通のね
[6026.066] ぜろこーど: 普通のジャム知らんかあ
[6026.979] mogubou: 普通のジャムだよ
