[5.367] da1marrrr: うおおおおおおおおおおおお
[29.312] (S)yumeichigo: radaoHi
[29.343] hito_ninn: わこらだ
[29.546] 柗原: radaoHi
[29.613] kuromonnn: radaoHi
[30.068] (S)つむじのきもち: がんばえーー
[30.203] (S)gyouzachann: わこらだー！
[30.283] あや2003: わこらだ
[30.465] べクター: radaoHi
[30.972] おれおお食べ: radaoHi
[31.653] owl317: radaoHi
[31.725] you_28: radaoHi
[32.133] 唐辛子ガール: radaoHi
[32.277] (S)壱代目: ~MISSING_MESSAGE_INFO~
[32.279] mnkw_1122: わこらだ！
[32.339] おしゃけしゃけ: radaoHi
[32.379] ほのぼの: わこらだ 
[32.410] まいーー: わこらだ 
[32.452] コア21: わこらだ
[32.506] shino0909: radaoHi
[32.567] (S)なゆーた: radaoHi
[32.606] (S)hibo_san: radaoHi
[32.718] honehone_2: radaoHi
[32.799] _りおん: わこらだ
[32.896] (S)朝顔もーにんぐ: わこらだ
[32.914] ぽんこつなもぐら: radaoHi
[32.970] Soratandao: radaoHi
[33.017] MIKU_J0311: わこらだ！
[33.108] あんまんん: わこらだー
[33.338] natubatch: わこらだ〜
[33.547] (S)kagami_10_14_: わこらだ
[33.673] もにゅぷぷ: radaoHi
[33.782] soyokaze1212R: わこらだ
[33.878] goma_satsuki: わこらだ
[33.905] はくまい_45: わこらだ
[33.929] feyurar: わこらだー
[34.008] あげだし丸: radaoHi
[34.084] てぃやんでい: radaoHi
[34.226] ruupi0312: わこらだ
[34.342] (S)あるみ屋: radaoFight
[34.426] (S)aira_rrr: わのらだ
[34.454] omomo67: わこらだ
[34.465] ottottopuro: わこらだ
[34.598] (S)ログリア: わこらだ
[34.608] koyaren: わこらだ
[34.661] lapan720: radaoHi
[34.688] (S)tyaimai: わこらだ
[34.759] 十愛: わこらだー！！！
[34.799] サトヲ: わこらだ
[34.800] taiki_s: radaoHi
[34.818] sashisashisabi: わこらだ！
[34.825] konoooka: radaoHi
[34.827] 1020t: わこらだ
[34.858] mirano0205: わこら
[34.885] mai161116katatumuri: radaoHi
[34.897] (S)shinooo_n: radaoHi
[34.899] yuuuga36: radaoHi
[35.310] kanikamadesu: radaoHi
[35.415] serika0823: わこらだ 
[35.454] (S)sora_mameee: がんばれ！！！
[35.518] miringo_4723: radaoHi
[35.655] キラキラボシ: radaoHi
[35.702] a_rinrin: radaoHi
[35.712] omuraisu_nana10: わこらだ
[35.732] osi_sini: radaoHi
[35.749] t0_ukq: radaoHi
[35.798] (S)mrgrtpsr: わこらだ
[35.838] しょうろんぽウ: わこらだ
[35.872] yume_1103: わこらだ
[36.952] 1__rui__: radaoHi
[36.956] guraku1: わこらだ
[37.014] (S)ドミノくん: わこらだ
[37.079] kanon_nnn: radaoHi
[37.138] koromoti1219: radaoHi
[37.149] lightreft1250: radaoHi
[37.190] (S)sunsun_deshi: radaoHi
[37.222] (S)hotarusuki: わこらだ
[37.232] ooo_oo00: radaoHi
[37.341] (S)awayuri: わこらだ
[37.366] 髭ピー: ~MISSING_MESSAGE_INFO~
[37.429] nasu651: radaoHi
[37.459] ~MISSING_COMMENTER_INFO~: radaoHi
[37.577] lara_3o: radaoHi
[37.648] oramuchyan: radaoHi
[37.786] (S)とまときゃんでぃー: わこらだ
[37.810] あしゅ228: radaoHi
[37.817] キョロちゃん: がんばえー
[37.817] (S)kagami_10_14_: radaoKitya
[37.906] ginger_1202: radaoHi
[37.996] 1010tento: わこらだ 
[38.003] kuruto__: radaoHi
[38.005] himikokichi_06: radaoHi
[38.045] (S)恭華: わこらだ 
[38.061] (S)manon_0203: radaoHi
[38.139] 犬ﾚ: radaoHi
[38.199] mope716: わこらだ
[38.223] syachoo_: わこらだ！
[38.236] ruupi0312: radaoHi
[38.239] ポテチの子: わこらだ 
[38.753] tadanohituzi: radaoHi
[38.802] (S)とりまる__: radaoHi
[38.825] a__oo22: わこらだ
[38.845] rei_0610: わこらだ！ 
[38.847] 66はなぶさ: radaoHi
[38.865] norato041197: わこらだ 
[38.882] コア21: がんばれーまじで
[38.889] 和なし: わこらだー
[38.895] arc_ct1409: わこらだー
[38.903] rave1031: radaoHi
[38.907] hotaru_uy: わこらだ
[38.915] hanana_122: radaoHi
[38.916] popii104: わこらだ
[41.749] haku1512: わこらだ
[41.857] (S)ねぎーら: ~MISSING_MESSAGE_INFO~
[41.861] (S)Shime_2: わこらだ
[41.897] まここま: わこらだ
[41.925] もにゅぷぷ: がんばえ 
[41.985] (S)ゆにゆにゆにーく: わこらだｓ
[41.996] (S)たまごガチアンチ: わこらだ
[42.073] プラず: わこらだ
[42.086] (S)さえだ: わこらだー
[42.152] piroropiro: radaoHi
[42.155] (S)kyooooo_2525: radaoHi
[42.211] (S)ｻｧｻ: radaoHi
[42.388] (S)a_mondoKojio: がんばれー！！！
[42.439] toumyou_2525: radaoHi
[42.638] Pantobox: わこらだ
[42.829] (S)mimitabu_92: わこらだ
[42.845] (S)sour_72: radaoHi
[43.915] (S)みら_1125: ~MISSING_MESSAGE_INFO~
[44.080] (S)羽心_: わこらだ
[44.083] mikankan693: radaoHi
[44.083] komatsuna_neko3: radaoHi
[44.106] 天宮龍斗: わこらだ
[44.154] urusuka: radaoHi
[44.242] syachoo_: radaoFight
[44.362] mirumiru_h: radaoHi
[44.394] (S)Shime_2: radaoHi
[44.469] kakyouin0726: radaoHi
[44.489] (S)Ruria00: わこらだ 
[44.530] てとてと: radaoHi
[44.532] ゆかりんりん: わこらだ
[44.533] rigore_napoli: radaoHi
[44.643] rafalec2013: rafale10241 subscribed at Tier 1. They've subscribed for 17 months! わこらだ
[44.995] たいやっき: わこらだ
[45.196] あまえび02: radaoHi
[45.227] suibotu_: わこらだ
[45.234] halcloud: わこらだ 
[45.246] キョロちゃん: radaoOtaku
[45.293] (S)まいなこ: radaoHi
[45.305] nya_san0829: わこらだー
[45.420] naaaa_chin: わこらだー
[45.426] rapi104: わこらだ
[45.428] NanasinoNana0308: わこらだ!! 
[45.432] (S)nobume0v0: radaoHi
[45.434] xoo_0805: radaoHi
[45.533] harukunimotoki11: わこらだー
[45.632] daison0415: わこらだ〜 
[45.633] とぬ: わこらだ
[45.713] mnkw_1122: radaoHi
[45.752] (S)ゆずシフォン: わこらだ 
[45.846] aruto_33: わこらだ
[45.877] 心春_: radaoHi
[45.884] reaaaaan: わこらだ
[47.131] 蒸し人参342: radaoHi
[47.159] ookami_rudi: radaoHi
[47.180] (S)るちのー: radaoHi
[47.189] ayumu_18: わこらだ！
[47.313] (S)amedama_0525: わこらだ！
[47.328] kurumidesunnnn: radaoHi
[47.347] (S)明日花ちゃん: わこらだ
[47.370] chiharu1212: わこらだ 
[47.378] kawapii0175: わこらだ~頑張れ！
[47.425] radaosuki: radaoHi
[47.544] kannnazuk1: radaoHi
[47.566] chia_amu: わこらだ
[47.596] はたの: わこらだ
[47.630] おじょーー: radaoHi
[47.647] (S)ばんぐも: わこらだ
[47.742] mope716: radaoFight
[47.767] rikurikubo: わこらだ
[47.832] okami0704: わこらだ
[47.904] goma1301: わこらだ
[48.049] naaaa_chin: radaoHi
[48.190] コア21: でも無理はするな
[48.228] mogmog73: radaoHi
[48.238] (S)羽心_: radaoHi
[48.241] nanoha5201: radaoHi
[48.258] 数式記号: radaoHi
[48.271] ﾊﾅﾁｬﾝだお: わこらだ
[48.278] sakananohappa: radaoHi
[48.521] あきぬこ: radaoHi
[48.651] バナナチ: radaoHi
[48.667] siondaifuku: radaoHi
[48.714] slimyfishy_k1ng: わこらだ
[48.738] みりむ_423: わこらだ
[48.765] nanaponn0702: わこらだ
[48.814] ろしぃ: わこらだ！
[48.910] (S)kyooooo_2525: わこらだ
[48.921] reokun0802: radaoHi
[50.291] ぽちゃぽちゃにゃんこ: わこらだ、
[50.355] toumyou_2525: わこらだ
[50.374] janreno369: わこらだ
[50.442] mikazuki_100: わこらだ
[50.568] ayumu_18: radaoHi
[50.664] soshiro_11: radaoHi
[50.795] azucha_z: radaoHi
[50.831] (S)レロキャン: radaoHi
[50.916] monaka_ssa: radaoHi
[51.017] misuzuuuuuuuu: radaoHi
[51.025] gaiantufan: わこらだ 
[51.033] (S)kuro_0921: radaoHi
[51.060] キラキラボシ: がんばれ
[51.096] sorazora2525: わこらだー 
[51.221] kokoa0914: わこらだ
[51.290] halu261524: わこらだ〜！
[51.472] ai0902: radaoHi
[51.488] evacoler: まじ頑張ってくれ
[51.542] mi_tyan562: わこらだ 
[51.627] okami0704: radaoHi
[51.715] LULU_0501: わこらだ
[51.719] atugarisan: わこらだ
[51.721] (S)sour_72: radaoFight
[51.874] とどせ: わこらだ
[51.990] miruchooo: radaoHi
[52.124] yoyoyonoyo1231: radaoHi
[52.346] you_28: radaoKitya
[52.399] (S)Rabbit_cat0: radaoHi
[52.469] (S)sakushi_: radaoHi
[52.604] (S)るーむくん: わこらだ
[52.784] ﾐﾗ: radaoHi
[52.836] yuuchan219: わこらだー
[52.894] (S)霞ちゃん: radaoMoney
[53.432] (S)economic_cube3: radaoHi
[53.455] くるむ1111: radaoHi
[53.511] rairai_0107: わこらだ〜
[53.536] ayumu_18: radaoHi
[53.585] minto13579: radaoHi
[53.599] えんま: ~MISSING_MESSAGE_INFO~
[53.607] yuingyui: わこらだ
[53.622] nanamekuji: わこらだ
[53.652] raru25: radaoHi
[53.693] yakinn8011: わこらだ
[53.716] nadringo: radaoHi
[53.718] kurumi0108: radaoHi
[53.720] chashibu_310: radaoHi
[53.777] haaaruna_: わこらだ
[53.781] alicia1532: わこらだ
[53.843] mochi_00v: radaoHi
[53.912] ususiochips16: radaoHi
[53.913] まゆだま: radaoHi
[53.939] (S)にゃるぷ: わこらだ 
[53.989] tomo331: radaoHi
[54.049] さなもろ: radaoHi
[54.106] sorazora2525: radaoHi
[54.236] nuko_no_namerou: わこらだ 
[54.248] kapi_0830: わこらだ
[54.625] もろこっし: もろこっし subscribed at Tier 1. They've subscribed for 32 months, currently on a 32 month streak! わこらだ頑張れ！！！！！
[54.716] (S)ゆみかだよぅ: radaoHi
[54.770] ayumu_18: radaoHi
[54.899] ただの草0131: radaoHi
[54.904] zenqlot: わこらだ
[55.590] 切屑: わこらだ
[55.652] (S)mi_toxu_: radaoHi
[55.818] ぱる_071: わこらだ
[55.838] みみミみ: radaoHi
[55.912] (S)びーみや: radaoHi
[56.013] 愛の林檎: わこらだ
[56.036] しなりだよ: わこらだ
[56.055] makaroni_78: radaoHi
[56.060] だだそ: わこらだ
[56.062] milky_0_: radaoHi
[56.400] asafuzi8077: asafuzi8077 subscribed at Tier 1. They've subscribed for 12 months! 
[56.546] answer523: わこらだ 
[56.571] mikankan693: 待ってたぞ！！！！！！
[56.764] ののののん: わこらだー
[56.779] (S)いくらのおにぎり: radaoHi
[56.790] mamemamehu: radaoHi
[56.807] コア21: まじで頑張って
[56.943] アザラシっ: radaoHi
[56.951] CuRuteru: わこらだ 
[56.986] suipi___: わこらだ
[57.009] yume_1103: がんばえー
[57.297] snow__forest: わこらだ 
[57.336] magiku: わこらだー
[57.528] cham_1112: radaoHi
[57.565] haruruuuuuuuuuuuu: わこらだ 
[57.579] radami_s: わこらだ
[57.632] やくとみ: がんばれぇぇ
[57.650] きょぴ: きょぴ subscribed with Prime. They've subscribed for 29 months! わこらだ
[57.805] ぺいんしすこ: わこらだ
[57.842] noa01051: radaoHi
[57.897] sakananohappa: radaoHi
[57.968] amakaya_15: radaoHi
[57.990] めろぱんまん: radaoHi
[58.046] アストモ: わこらだ 
[58.138] だだそ: radaoHi
[58.181] ru_ta59: radaoHi
[58.221] koyaren: radaoHi
[58.324] rakkodaga: radaoHi
[58.384] umatyonn: わこらだ
[58.562] ーれんこんちっぷすー: radaoHi
[58.571] (S)ssatouka: radaoHi
[58.607] tomatosarada_29: わこらだ
[58.679] 猫又01: radaoHi
[58.767] poto472772: radaoHi
[58.902] ssss_mudkip: radaoHi
[58.949] ヴィヴィ0123: わこらだ
[58.986] yon_2525: わこらだ
[59.038] えむたろうさん: わこらだ♡♡
[59.103] kinakinapi: radaoHi
[59.126] honoji_: radaoHi
[59.211] にわすずめ: radaoHi
[59.212] shakekan0701: わこらだ
[59.259] yu_2424: radaoHi
[59.327] (S)emazkirin: わこらわこらだ
[59.373] mamemamehu: わこらだ
[59.384] (S)nacha_86: nacha_86 subscribed with Prime. They've subscribed for 7 months! 
[59.957] (S)るちのー: るちのー subscribed with Prime. They've subscribed for 6 months, currently on a 6 month streak! radaoHi 
[60.117] まき627: radaoHi
[60.204] (S)セレちゃ: わこらだーー
[60.216] (S)なんでもいい: わこらだ
[60.303] miyamiya138: わこらだ
[60.393] ssi__kk: radaoHi
[60.397] minase_ui: わこらだ
[60.819] nail3011: わこらだ
[60.984] koyaren: !uptime
[61.173] melon__006: わこらだ
[61.241] (M)Nightbot: らっだぁ が配信を始めてから 1 minute 8 seconds 経過しています。
[61.380] (S)フュ: わこらだ
[61.409] yousei010: radaoHi
[61.526] (S)sakushi_: がんばえー
[61.648] kingukongo: わこらだ！
[61.674] kua1222: わこらだ！
[61.709] ｱｵｲﾊﾙ: radaoHi
[61.802] (S)redooosannn: radaoHi
[61.853] でにぃ: radaoHi
[61.950] kinugoshi_douhu: わこらだ 
[62.009] kurumi_miruku_: がんばって！応援してる
[62.113] (S)yuki_empty: わこらだ
[62.167] magiku: radaoHi
[62.357] huton_9: わこらだ
[62.370] kedamanoma: わこらだ
[62.557] 醜_しゅう: わこらだ 
[62.594] kikuchinochi: わこらだ
[62.816] shiron0310: わこらだー 
[62.821] fujieno: わこらだ
[63.003] wofuda: radaoHi
[63.157] ponharu: radaoHi
[63.182] コア21: radaoHi
[63.401] sakananohappa: 頑張れー！！
[63.439] nico_527: radaoHi
[63.608] ヴィヴィ0123: radaoHi
[63.665] nuichan_dayo: 山田涼介がいるって聞いて来た
[63.789] おれおお食べ: がんばれぇぇぇぇ💪💪💪
[63.831] (S)ゴミ以下でごめん: 無限リロード着いてないんか
[63.855] aruto_33: radaoHi
[63.894] kaaz019: わこらだ
[64.041] (S)aporoo_: radaoHi
[64.073] tudame_1060: わこらだ
[64.198] オレオおおおおおお: 頑張れー！！
[64.395] (S)emazkirin: radaoHi
[64.412] kurumineko963: radaoHi
[64.647] s1__m: radaoHi
[64.875] huton_9: radaoHi
[64.925] xxo_os: わこらだーー
[64.954] azisai1111: 頑張れ
[65.069] yakinn8011: radaoHi
[65.098] azinoringoo: わこらだ
[65.115] shiron0310: radaoHi
[65.312] toyu315: わこらだ
[65.316] コア21: radaoHi
[65.503] (S)セレちゃ: radaoHi
[65.533] みずはる: radaoHi
[65.562] tomotomo134: RitzMitz
[65.642] mijyu_711: わこらだ
[65.732] saketyaduk25: がんばえー！
[65.852] poto472772: radaoHi
[65.855] yamada749: わこらだ
[65.940] waon_point: わこらだ
[65.973] (S)シオマル: がんばえー
[66.048] serina_1125: わこらた
[66.079] _ヴォク: radaoHi
[66.189] aina___10812: radaoHi
[66.212] yottuka: わこらだ 
[66.338] night029: わこらだ
[66.364] rerere__nkon: わこらだ
[66.462] nokos__: radaoHi
[66.576] あきぬこ: radaoOtaku
[66.609] rakkodaga: わこらだ
[67.026] くるむ1111: がんばれー！
[67.090] ﾐﾗ: がんばれー
[67.380] なっちゅん77: なっちゅん77 subscribed with Prime. They've subscribed for 32 months! 
[67.867] mxesan: ワコラダ
[67.921] haroo0n: radaoHi
[67.985] kurumi_miruku_: radaoHi
[68.100] rhysalis: わこらだ
[68.337] takudas: radaoHi
[68.596] asafuzi8077: わこらだー！ 
[68.878] milk_2_7: わこらだ
[68.900] purima: radaoHi
[69.131] (S)kyooooo_2525: 頑張れーーー！！
[69.233] yhyuto: わらこだ
[69.636] かんこ: わこらだ
[69.707] kurober244: radaoHi
[69.828] miu_u0212: わこらだ
[69.910] たらこ男爵: わこらだ
[69.916] 愛の林檎: radaoFight
[70.027] mxesan: わこらだ
[70.280] poozoo_15: たま無限したら
[70.519] sae1318: 頑張れー！
[70.742] nukowasa__: radaoHi
[70.906] (S)こっスィー: radaoHi
[70.944] コア21: がんばれ
[70.987] (S)なんでもいい: radaoHi
[71.007] (S)如月もか: わこらだ
[71.075] (S)nobume0v0: がんばれえええええええ
[71.086] mattoresu111: らっだぁ最近ホラゲーばっかだったのにどうしたの？
[71.259] mo_coa: え
[71.336] haruru3896: わこらだ今北
[71.548] kua1222: radaoOtu2
[71.791] (S)purin_31: わこらだ
[72.012] nyana_71530: radaoHi
[72.176] (S)どこかの島から来ためめ: わこらだ
[72.395] Miriotta: radaoHi
[72.747] bachi_5: わこらだ
[72.927] まだら25: え
[72.994] ゆわち: わこらだー！！
[73.011] sutera_917: わこらだ
[73.031] CuRuteru: 頑張れー！
[73.604] riku0572: わこらだ
[73.789] すいろ: 大会待ってたぞーーーーー！
[74.341] mimimi_016: わこらだ
[74.456] kua1222: radaoHi
[74.707] (S)あるみ屋: え
[74.760] mochi82323: わこらだ
[74.769] (S)kyouka0913: radaoHi
[74.932] (S)ゆずシフォン: がんばえぇ
[74.934] ssi__kk: がんばれー
[75.142] fujieno: はややさや
[75.222] 縮緬雑魚: 情弱さん
[75.361] 小夜海: がんばれー
[75.688] dokukinoco: なにー
[75.704] (S)よーーひ: わこらだ
[76.020] (S)ran_0807: radaoHi
[76.255] haruruzu: え
[76.299] ル入: radaoHi
[76.427] wasa04bi: わこらだ
[76.646] mi_tyan562: え
[76.781] milk_2_7: がんばれーー！！！
[76.899] ギンナン: radaoHi
[77.101] あきぬこ: そうなんだ
[77.265] くるむ1111: わこらだー
[77.453] kurumidesunnnn: わこらだ
[77.488] doriokun: わこらだ！
[77.532] anko_mochi0319: わこらだ
[77.547] (S)sora_mameee: ｗｗｗｗ
[77.627] (S)レロキャン: え
[77.908] 鯉々: わこらだ
[78.044] amakaya_15: え
[78.152] yue_107: わこらだーーーー
[78.328] みかのたべ: まじ頑張って
[78.387] (S)雪狐0143: え
[78.551] (S)あるみ屋: wwwwwwwwwwww
[78.650] ひょーり: なにー
[78.702] アールル: アールルル subscribed at Tier 1. They've subscribed for 27 months! わこらだ!!
[78.979] raru_0308: わこらだ！！
[79.394] びす3180: わこらだ
[79.415] 愛の林檎: 知らんかったんかい
[79.752] tyontyon: radaoHi
[81.545] gawrib: わこらだー！頑張れ！！
[81.765] shii_1104: radaoHi
[81.774] so_ioyu05: わこらだ
[82.765] (S)あるみ屋: 壊したwwwwwwwwwwww
[82.991] (S)あかね0313: わこらだ
[83.005] ゆわち: がんばえーーー！
[83.032] aromamoon_: わこらだ
[83.533] tamago_09: radaoHi
[83.629] haruru3896: がんばれー！
[83.821] toriyooo: わこらだ
[84.105] (S)aporoo_: radaoHi
[84.325] toumyou_2525: へー
[84.368] ぺぁんつ: わこらだ 
[84.742] にわすずめ: すげぇ
[84.786] taimeshi3: taimeshi3 subscribed with Prime. They've subscribed for 12 months! 
[84.791] miu_u0212: 頑張れよ
[85.004] fujieno: うわー
[85.029] taramomo_: radaoHi
[85.305] あちゃぽろ: わこらだ
[85.548] おさけチャン: にわかだ
[86.010] yua__o0: radaoHi
[86.113] とうふ様: わこらだ！！！！
[86.205] nn2407: わこらだ！！
[86.482] kazihn_hwm: ふぁいとぉ〜
[86.503] (S)ｻｧｻ: そうなんだ
[86.624] ぴっくる: radaoHi
[87.508] rona0525: わこらだ
[87.521] えりさ_: へー
[88.459] nn2407: わこらだ
[88.640] yousei010: 頑張れマジで
[88.686] ーれんこんちっぷすー: radaoHi
[89.312] yogetu: yogetu subscribed with Prime. 
[89.363] kareiaaa: radaoHi
[89.561] コア21: wwwwww
[89.564] nae_051: radaoHi
[90.074] (S)mameko_7: radaoHi
[90.246] fujieno: わこらだー
[90.270] 猫又01: おー
[90.276] 愛の林檎: すごい変わったよね〜
[90.511] ぬぬま: わこらだ
[90.572] (S)なんでもいい: へー
[90.945] tamago_09: わこらだ
[91.234] ~MISSING_COMMENTER_INFO~: わこらだ
[91.254] (S)ころちょん: radaoHi
[91.449] sarusaru3636_z: すご
[91.885] おばけ_さん_: わこらだ 
[92.394] soraha00: ふぁいとぉー！
[92.602] ばんぺいゆ: ばんぺいゆ subscribed at Tier 1. They've subscribed for 37 months, currently on a 37 month streak! 
[92.706] kingukongo: radaoHi
[92.736] itachi_0423: radaoHi
[92.896] (S)nacha_86: radaoHi
[93.056] xxkuuxx: xxkuuxx subscribed at Tier 1. They've subscribed for 42 months! わこらだ 
[93.269] (S)NARUnoa: わこらだー！
[93.536] (S)ツ_818: radaoHi
[93.763] aruto_33: がんばえ～
[93.916] さなもろ: にわかwww
[94.423] 愛の林檎: わこらだ
[94.647] raruaaa: わこらだ 
[94.717] 春色いろき: 若子らだな
[94.857] (S)Ruria00: すげぇえ
[94.928] sirokuma___: radaoHi
[94.980] ember_1981: わこらだ
[95.185] むろ_: わこらだ
[95.226] fujieno: らだらだー
[95.268] iwachan0907: radaoHi
[95.521] yuhi_kg: radaoHi
[96.414] 半分赤い: わこらだー
[96.473] コア21: あまいな
[96.664] ruayu0710: radaoHi
[96.907] eimaru_kun: radaoHi
[97.270] ほ__の_: radaoHi
[98.300] (S)sora_mameee: ふぁいとー
[98.440] kurumidesunnnn: radaoHi
[98.471] しあわす: わこらだ
[98.617] (S)rascal_techonol: radaoHi
[98.940] ももえ_: radaoHi
[99.500] (S)NARUnoa: 頑張ってー！
[99.540] yume_1103: 本番でヘマすんなよー
[99.548] doll20180111: わこらだ～
[99.807] tsugu_0: わこらだ 
[100.051] karen0046: radaoHi
[100.099] ra1two: radaoHi
[100.361] omoti1208: radaoHi
[100.678] Rada_lop: わこらだ
[100.739] 甘酒大好き: すっごい
[101.081] amane73: わこらだ
[101.334] mo_coa: つんよwww
[101.386] (S)み_____: radaoHi
[101.989] charlotte0ra: www
[102.393] naki_516: わこらだ
[102.819] (S)あるみ屋: あーらら
[102.895] (S)そらえもん: そらえもん subscribed at Tier 1. They've subscribed for 10 months! 
[102.896] むろ_: radaoHi
[103.106] mozu056: mozu056 subscribed with Prime. They've subscribed for 5 months! 
[103.564] 愛の林檎: wwwwwwwww
[103.783] jmwgja: わこらだ
[104.122] (S)きのここ: wwwwwwwww
[104.304] (S)ログリア: つよ
[104.342] amane73: radaoHi
[104.350] (S)kanan2525: radaoHi
[104.389] するがんも: 弾も無制限にできるぞ！
[104.420] maya_896: maya_896 subscribed with Prime. They've subscribed for 17 months! 
[104.538] yousei010: ふぁいとー
[105.551] (S)なんでもいい: www
[105.972] fujieno: つよwww
[106.097] (S)Ruria00: つっよ
[106.219] uta_0713: radaoHi
[106.983] 1__rui__: www
[107.236] tamago_09: www
[107.723] とうふ様: わこらだだ
[107.777] dokukinoco: はい
[107.862] (S)やねかすさん: だめだぁ笑
