[8.629] unlimited_teddy: おかえり
[962.052] (S)ほっきょく: 今方南通りね
[964.297] (S)neogreenlife: 人は皆、下校してたのじゃよ
[964.477] あかがねタスク: かれこれ結構歩いてません？
[973.429] hinokihinoki: LOVEの看板あるとこだっけ？違う？
[980.106] ~MISSING_COMMENTER_INFO~: 下校からのゲーセンで２試合して塾行ってたなー
[990.659] x_abu_xx: LOVEのとこはだいぶ前に通り過ぎましたね
[1000.418] (S)v_harumi_v: すごい。ｗ
[1002.885] まじなさん: 2万は余裕ですか
[1003.903] (S)ほっきょく: 真っ直ぐだと高円寺から少し離れるね
[1006.722] だいこん_: 令和の伊能忠敬
[1007.630] 穴入亭快楽: 一万歩って割とすぐですよね
[1007.800] (S)クラクラ777: 散歩職人
[1011.136] ポンポン: 半袖の人そこそこおるやん
[1013.285] あかがねタスク: まだイケる足
[1014.366] すずき鮭: あれ、遠回りしてる？
[1020.902] (S)uwamonq: 足腰「敗北が知りたい」
[1040.465] (S)ほっきょく: 南台あたりで右曲がればいいよ
[1044.938] マキャフリーミッシェル円: iPhoneのヘルスケアに母数あるじゃん
[1049.980] やきにくマン: 毎度思うけどクロックスで数万歩あるくのすげえ
[1052.426] よもぎです: そうでもない＞遠回り
[1061.647] (S)hiroyoshi_052: 目的地あるんですか？
[1063.216] (S)ima_son: クロックスで2万はすごい
[1064.058] (S)suzuki_we: 今どこ向かってるの？
[1074.245] まじなさん: クロックスなの！？
[1077.264] (S)ほっきょく: 暫く歩くと思うから弁当買ってくるー
[1079.343] kitsune_margiela: そこらへんにいつも行列してるラーメン屋ありますね
[1084.814] (S)v_harumi_v: なびられｗ
[1106.421] hinokihinoki: わんちゃん鞄に入ってた？
[1106.551] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます → https://bit.ly/2YE2nLB
[1114.151] (S)ほっきょく: 高円寺は環七ぶつかったら北上すれば野方ホープありますよ
[1114.725] danny_love_danny: もうすぐ中野区だよがんばれー
[1122.709] 5don: 視聴者さんが自分用に買うということかな
[1125.492] (S)mochico0141: 何分ぐらいで着くの？
[1125.521] ちいトラ: umeGuile
[1135.036] ganmatiojisan: ganmatiojisan subscribed at Tier 1. They've subscribed for 35 months! 
[1135.082] (M)Moobot: @GANMATIOJISANさん、35ヶ月目のサブスク登録更新！ありがとうございます！
[1137.897] (S)v_harumi_v: ありがたいですけどお
[1141.704] (S)suzuki_we: 今新宿駅なんだけどスナイプしてぇ
[1147.658] ~MISSING_COMMENTER_INFO~: ウメさん飲み物受付中です
[1159.036] kaigaizei: ダイエット中におにぎりとジュースいらんからな
[1160.301] (S)imokun888: 自分のために買ってきて食うという事では…
[1161.492] balthazar000: mou
[1166.584] (S)v_harumi_v: もうちっと近かったら、飲み物もっていくんですけどねー
[1173.661] balthazar000: もう、ほしい物リスト首から下げて歩こう
[1174.129] ちいトラ: ラーメン散歩
[1187.005] (S)v_harumi_v: 首から下げてもみれないよ？
[1207.076] x_abu_xx: 方南通りをそのまま進んで、環七のところで右折ですね
[1232.880] 坐骨: スフィアの通りはもっと右じゃない？
[1233.302] katsuo73: 日本の道めちゃめちゃきれいですね
[1238.895] leonhard_mage: この辺懐かしいけどもう住んでたの15年前だからだいぶ変わってそう
[1239.045] hinokihinoki: 昔住んでたとこの近所だぁ。この辺便利だった割に家賃安くて助かった
[1240.805] x_abu_xx: 中野駅前からはかなり離れてます
[1241.805] junichitanaka: 新宿駅近くの「味噌屋八郎」のトマト味噌がオレ的ベストラーメン
[1245.885] attyan21: ファンの方誰か来ましたか？
[1262.460] ダブルやっくん: 青葉食いてぇ
[1264.636] osirisoft: 葛西臨海公園散歩良くないですか
[1269.350] katsuo73: ここ何通りです？
[1273.246] hinokihinoki: ちょっと行って左折すると金色不如帰とかあるよウメちゃん
[1279.162] x_abu_xx: 方南通りのはずです
[1282.324] nanakusan793: 今日暑いわー
[1300.051] notero_jp: 不如帰名店やん！
[1300.168] urinomo: ここ方南通り。環七より前の南台で中野通りに右折したほうがいいと思う
[1309.742] shiro_risu01: 木陰いいですね
[1318.640] ~MISSING_COMMENTER_INFO~: わんころ
[1319.102] (S)v_harumi_v: わんちゃnn
[1323.463] shiro_risu01: いぬーーー
[1327.692] (S)v_harumi_v: きゃわー
[1328.769] ちいトラ: ご主人様待ちーぬ
[1330.964] nanakusan793: イッヌ
[1333.218] danny_love_danny: わんわんお
[1352.404] ぷーぬ: いつか北海道から来て偶然散歩配信と会ったら噂のお腹触らせてもらえますか！？
[1357.749] まじなさん: とんがった建物やなぁ
[1380.045] katsuo73: 環七の手前？
[1414.078] hinokihinoki: もうちょっと行くと左に学校があるはず
[1417.588] x_abu_xx: ホープ軒跡地が環七にあるんですよね
[1425.305] まじなさん: 水分だいじょうぶ？
[1425.980] hiaaru: もう夏だよ
[1431.897] x_abu_xx: 中野通り行ってもいいと思います
[1442.072] ~MISSING_COMMENTER_INFO~: 夏は暑いね〜
[1449.825] (S)ゆっくり2121: 今日めちゃ暑いすね
[1454.883] nanakusan793: 歩くんなら半袖でいいレベル
[1458.652] ぷーぬ: 西日は強いねえ
[1460.653] Campo246: Hello Daigo 
[1466.620] Acieltv: daigo IRL Pog
[1489.215] leonhard_mage: まだ山手通りにもぶち当たってないのかな？もうすぎた？
[1508.063] Kadosann: ......
[1539.539] (S)v_harumi_v: ですね
[1540.328] balthazar000: まあそうだね
[1541.062] ぷーぬ: です
[1541.613] kitsune_margiela: そう
[1545.383] hinokihinoki: 貸倉庫みたいなもんです
[1546.355] みそらの: そうです
[1548.264] (S)neojapan01010: そうですね、コンテナみたいの借りれる
[1550.078] hiro_chan: カワノ君が今からバンジージャンプ飛ぶみたいです
[1551.163] だわさワサワサ: 貸し倉庫
[1553.567] rm_rf__: そう、便利だよ
[1553.914] nanakusan793: 倉庫部屋
[1555.938] balthazar000: サイズはまちまち。
[1557.366] すろろ: Hi Daigo, where are you walking?
[1559.925] leonhard_mage: 貸しコンテナ
[1561.503] guruguruwan: ルームとはいいつつイメージ的にはでっかいロッカー
[1562.565] pandascal: 住んでる人もいる
[1564.801] katsuo73: ホープ件て野方じゃなかったっけ？
[1569.875] shiro_risu01: 住んでる！？
[1571.474] qq_taro: エアコン付きもあるらしいね
[1572.654] balthazar000: ロッカーだね
[1573.130] ぷーぬ: タイヤとかゴルフばっとか滅多に使わないものとかね。
[1573.246] まじなさん: 住んでる人もいる…？
[1577.327] (S)v_harumi_v: しまってるの忘れちゃいそうだけども
[1580.107] 1NachS: goro nya nya
[1584.418] Acieltv: storage facility ? hmm
[1596.746] HirocoT: えｗ
[1600.980] ocha_1211: ウメハラさんはバンジージャンプしないの？
[1606.412] メピパラ: どういうことw
[1611.368] 穴入亭快楽: 不動産扱いですからね
[1625.391] (S)v_harumi_v: 住んじゃいけないけど、住む人いるみたいですよねー
[1628.953] x_abu_xx: ホープ軒はチェーン店なんでいろんなとこにありますね
[1630.821] まじなさん: 夏だねー
[1634.604] nanakusan793: 太陽が主張している
[1640.582] sakuramana_: ネカフェ難民的な
[1643.773] junichitanaka: 新宿あたりに、コンテナだけで作られたサウナある
[1664.453] x_abu_xx: 土曜日は13度まで下がるって話ですね
[1672.870] (S)ヤギー: 今どの辺？中野は過ぎた？
[1680.771] まじなさん: また気温ジェットコースターかぁ
[1685.170] ~MISSING_COMMENTER_INFO~: ウメ前ステ
[1686.989] (S)v_harumi_v: でも、自分が利用してるスペースの隣の部屋に息を殺しながら誰が居たら、めっちゃこわいんですけど。
[1689.316] orange88: すごい体力だ
[1689.723] rm_rf__: 過酷さが増してきた
[1693.092] すずき鮭: これから外で仕事だけどそんなにか・・・
[1698.732] x_abu_xx: 中野過ぎたくらいですね
[1698.846] nanakusan793: 日で焼けるね
[1709.591] sakuramana_: 日傘ほしい
[1712.157] メピパラ: 気持ちよさそう
[1726.163] hinokihinoki: そこ東大の中学校じゃなかったかな
[1727.518] (S)ヤギー: @abu1600c ありがとうございます
[1734.132] sarami2550: 日陰にね、前ステだね
[1757.027] ryo19850206: 暑い日の散歩は小さい頃の真夏のゲーセン巡りとか思い出したりしますか？
[1804.470] hinokihinoki: ここの近所で昔ワンルームで家賃5万の神物件に住んでた
[1810.697] x_abu_xx: もうちょっといくと中野通りなので、そこ右折でもいいです
[1814.130] スーパー玉出: ここ筑駒中か
[1839.472] balthazar000: 一番行くのが大変だったゲーセンどこですか？
[1841.438] (S)imokun888: umeYung
[1852.244] ぷーぬ: 今は配信中だから当たり前だけど普段から全然信号無視しない人と平然とする人って何が違うんだろ
[1893.584] balthazar000: 距離とか、辺鄙な場所で迷ったとか
[1900.774] franzrakoczi: :|
[1907.508] (S)tabibitox: あの
[1908.932] x_abu_xx: 横浜ですからねぇ
[1909.163] leonhard_mage: ギルティでも大船きてたね
[1910.748] balthazar000: やはり距離はネックですね〜
[1920.385] あかの: ゔぃじょん☆
[1926.498] スーパー玉出: 足立からVISION遠い
[1935.875] HirocoT: ヴィジョン～
[1943.870] balthazar000: 3rdの遠征は闘劇予選のため？
[1949.043] cicada_moons: KSKさんに50先申し込んで10戦で帰ったときですか？
[1977.912] twitcher234: 昔ヴィジョンでピザ食べながら配信してなかった？
[1987.029] balthazar000: 流石に疲れてます？ ブレが大きくなってきたような
[1987.627] oinari6: 3rdは遠征しないと相手いなかったの？
[2004.939] x_abu_xx: ジンバルの電池がね
[2006.364] (S)neojapan01010: いうて移動手段ないころにみんながんばって遠征して遊んでたよね
[2024.790] balthazar000: w
[2025.123] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[2030.160] ぼーぼー: ぼーぼー subscribed with Prime. 
[2030.230] (M)Moobot: @BOO3122 with the Prime sub!
[2032.818] balthazar000: 負ける要素が欲しかったのか
[2051.416] leonhard_mage: 3rdは3on3の時か
[2065.933] (S)hiroyoshi_052: 初めて生でウメ散歩見るけど凸ってあまり来ないのかな？
[2068.136] 1108044k: 近くでサード流行ってるゲーセンあったら続けてた？
[2071.405] スーパー玉出: パチンコの回転プロみたいな立ち回り
[2077.250] (S)ほっきょく: コレ右かと
[2081.904] balthazar000: 特定の店が盛り上がっていたわけではないは意外だなぁ
[2094.675] x_abu_xx: いま中野通りなんで右でもいいですね
[2106.881] (S)ほっきょく: 真っすぐ行けば青梅街道に出れます
[2110.308] loran_t: だいぶ下町な感じになってきましたね
[2112.023] temprayatsu: そだねー
[2119.895] pandascal: 正直死ぬほど流行ってなかった
[2120.771] balthazar000: 流行らせたのは梅原ってひとがブロったからと聞いた
[2127.728] 1108044k: そんなにいなかったんだ
[2156.149] temprayatsu: 大体はSNKに行ってたかな
[2159.114] x_abu_xx: 3rdのころはSNKゲーのほうが強かったですね
[2161.194] 泣き虫サクラ: 感覚的にわかる
[2162.630] あかの: 他にも格ゲーたくさんあった時代だったしね
[2179.687] あさつき教: 3rdからだったんだ
[2189.521] wildbunny19: Hello Daigo-san! Will you try new fighting games? Love from Cambodia!
[2206.254] balthazar000: へぇ
[2232.251] tataktkr7: あるふぁ
[2233.266] cabjalangabriel: Hola pá conoces a Pablo en Japón ? 
[2238.972] x_abu_xx: ネモさんがいってたアルファ
[2247.540] junichitanaka: カワノきゅん今100mバンジーしてるから梅さん凸してほしい（場所知らない）
[2247.639] (S)ほっきょく: ネモさんの住処
[2252.799] tataktkr7: あそこ安かった
[2263.584] すずき鮭: 新大久保アルファ、まだある頃に行きたかった・・・
[2276.468] oinari6: カプエス1って微妙な出来だった？
[2283.836] 1108044k: 石井プロ的な
[2285.922] massaaan: ウメ散歩待ってた
[2290.780] balthazar000: もはや石井プロと張る？
[2294.179] (S)uwamonq: ウメちゃんの時代ってファイナルファイトはゲーセンにあったの？
[2310.356] leonhard_mage: あの頃の梅原オシャレに気を使い始めてたな。髪染めはじめたりして。
[2314.897] tataktkr7: ジョーとダンが追加がプロ
[2324.726] wildbunny19: FamilyMan
[2329.081] (S)ほっきょく: その時期マブカプずっとやってたなぁ
[2337.128] x_abu_xx: ベルトスクロール全盛期だから、ファイナルファイトみたいなゲームは何かしら置いてありましたね
[2351.678] 風来のリュウ: ミート邸凸的なメちゃんの自宅凸とかみたいなぁ！
[2368.961] tataktkr7: vsシリーズよかった
[2371.134] leonhard_mage: マゲだよ、気づかないかと思ってた
[2378.195] balthazar000: また一人当時を知る人が
[2380.470] だいこん_: umeYay
[2387.649] balthazar000: 本田使いの方ですか？
[2388.145] hiaaru: ！？
[2400.278] (S)teruharu_: BegWan
[2403.769] yogai2paopao: RyuChamp
[2408.189] 冷製カミス: FamilyMan
[2425.991] massaaan: 今日は画面揺れてんね
[2435.992] leonhard_mage: 一応、元かなあ
[2441.838] (S)uwamonq: ウメちゃんが選ぶゲーセンで騒々しい５神は誰ですか！
[2475.305] x_abu_xx: アイイイイイイイイ
[2483.334] (S)neojapan01010: 唯一神
[2483.715] kaigaizei: 力丸がかなりひどい
[2491.642] erukima: こくにい！
[2493.052] 1108044k: ヌキさん声通るからなぁ
[2496.057] hukohuko: 金さんうるさいのか
[2498.370] 泣き虫サクラ: 声のでかい奴配信で伸びる説
[2500.863] あさつき教: やっぱこくヌキなんだよなあ
[2501.519] A135alfa: 名古屋2人
[2507.134] (S)hiroyoshi_052: マゴさんもうるさそうだけど
[2510.809] guruguruwan: 3rd勢強すぎない？
[2512.150] HirocoT: 1強！
[2516.726] スーパー玉出: 体格いいやつばっかだな
[2525.070] x_abu_xx: チンパン時代のマゴさん
[2528.400] yogai2paopao: ヌキさんは普段からあんな声量なんですかね
[2534.686] (S)uwamonq: ゴンタさんは昔からずっと同じかんじなんだ・・ｗ
[2536.218] manasvin13: うるせぇやつら
[2536.442] ~MISSING_COMMENTER_INFO~: 金デヴすごい
[2544.545] kaigaizei: ヌキこくじん力丸CASAが揃う3rdの大会は大声大会よ
[2545.326] (S)ほっきょく: スタグラ２とかも被ってた気がする
[2546.183] cicada_moons: みんないっぱい食べる人
[2560.078] kajiryoji3310: やっぱり東京だと車より自転車で送り迎えする親御さん多いんだな
[2562.070] A135alfa: あの人らに後ろ立たれて笑われたら畏縮する
[2562.924] 八極盗撮個展: 店内をチャリで走った豪傑は？
[2567.531] oinari6: マゴさんは？
[2572.040] ぷーぬ: あれ、一瞬映った靴クロックじゃなくない？
[2584.563] ぷーぬ: クロックス
[2591.124] x_abu_xx: 新青梅まで出たら左折です
[2601.278] (S)tabibitox: バーチャ勢は頭オカシイのが多い印象。鍋やったりｗ
[2618.316] 1108044k: ふ～どの話してたバーチャ勢の話はやばかった
[2629.136] スーパー玉出: 高円寺まで歩けるのすごい
[2636.128] まじなさん: いさぎよい
[2639.105] x_abu_xx: ラ
[2643.099] ちいトラ: ラ
[2657.061] ふときよし子65歳です: 新宿からだと約5キロくらいありますからね
[2659.987] HirocoT: ラ
[2661.802] まじなさん: う
[2665.321] (S)hiroyoshi_052: どういう流れで高円寺のゲーセン跡地に行く感じに？
[2687.718] the_blow02: なおちゃんらーめんのとこか
[2691.930] x_abu_xx: ゲーセンじゃなくてラーメン屋なんす
[2707.355] (S)ほっきょく: 野方ホープ目指してるんやってさ
[2714.047] (S)hiroyoshi_052: なるほど、あざす
[2747.353] (S)ほっきょく: あそこ車停めにくいからなかなか行けないｗ
[2759.170] ぷーぬ: 女子を映さないようにする王の配慮
