[18.310] ねこのけだま: selly55Lurk
[43.598] omoti1208: はっや
[43.844] yuu_1010: radaoHi
[43.851] miin0915: radaoHi
[44.081] fizzu_2: radaoHi
[44.087] つりねこ: わこらだ
[44.092] syake0801: わこらだ！早いね
[44.121] 네오ちゃん: radaoHi
[44.138] lick0114: 早番わこらだ 
[44.148] eirontya: わこらだ
[44.256] vash_246: 早番すぎ
[44.287] ちゅたちゅた: radaoBanzai
[44.722] りふりふ: りふりふ subscribed at Tier 1. They've subscribed for 12 months! わこらだー
[44.723] pei_56n: わこらふぁー
[44.804] ryokutya1616: radaoHi
[44.858] ra_m008: わこらだー！
[44.876] kono1110: わこらだ
[45.101] あきのね: radaoHi
[45.397] ~MISSING_COMMENTER_INFO~: radaoHi
[45.417] すかあと: 早番いいね
[45.506] norris_tuckerd: わこらだ 
[45.616] honohono104: radaoHi
[45.641] らの015: radaoHi
[45.751] シオマル: radaoHi
[45.758] creamy1019: 今日も23日目だ
[45.853] lacus_34: わこらだ
[45.895] よもぎモチモチ: radaoHi
[45.996] tmnkatu: radaoHiradaoHi￼￼ 
[46.063] beni_kikyou: わこらだ
[46.069] enwasabi: 早番警察！！
[46.267] rekrex_09: radaoHi
[46.291] (S)봄_ぽむ: わこらだ〜
[46.298] (S)るぅゆ: radaoHi
[46.311] (S)Soudako___: はやいねぇ
[46.404] tassan10: ワコラダ はやいね
[46.430] nekodama2155: 早いな！
[46.608] マヒちゃま: わこらだー
[46.616] azusa0627: radaoHi
[46.815] 2katatsumuri5: radaoHi
[46.832] Ciel4949: わこらだ！！はや
[46.834] いなり_41: radaoHi
[46.855] みるく301: はや
[47.305] あじさ: radaoHi
[47.380] mimimi710: わこらだー
[47.428] muru1113: わこらだ
[47.542] Kulihuto: radaoHi
[47.547] にな_27: はやくね？！
[47.649] miochan_0804: radaoHi
[47.887] piyota41: radaoHi
[48.051] 7233san: 早番警察だー！
[48.058] multiinu: わこらだ
[48.128] wimpe75: 今日早いね
[48.347] ko_do_1123: わこらだ
[48.351] tira_hima: radaoHi
[48.393] (S)laziness0721: わこらだ
[48.415] (S)やすぽーん: radaoHi
[48.424] waniwa1124: わこー
[48.436] 心1203: 早いね
[48.457] 宇宙に浮かぶひつじ: わこらだ
[48.471] zuzucco_zu: radaoHi
[48.558] ぎゅうどんとぎゅう: 早わこらだ
[48.576] yuu_1010: 早番か
[48.617] るゼン: わこらだ
[48.711] azuriiine: radaoHi
[48.715] ぷるぷるぽ: radaoHi
[48.846] merochi_k: はやー
[49.095] (S)いんど: radaoHiradaoHi￼￼ 
[49.349] hijiki_0209: わこらだ
[49.698] (S)キャ口ﾉﾚ: 早番じゃーー
[49.868] su_ruru: radaoHi
[49.973] 二年前かららだ民です: いつもよりはっやい!
[50.055] surenku: わこらだ
[50.066] hamumu_hamu: 早くね？
[50.110] udonsan_08: radaoHi
[50.127] ~MISSING_COMMENTER_INFO~: ワコラダー
[50.144] emitsin: radaoHi
[50.212] Uni_bb0: radaoHi
[50.372] toyopip: わこらだ〜 
[50.620] 名西遁念: わこらだ
[50.949] m1s4k1_09: わこらだ！
[51.310] asdfgxccf: はやいねー
[51.560] lewis_craine: 早いな
[51.569] rimyu5: radaoHi
[51.736] すのーのの: radaoHi
[51.869] machikuruchan: わこらだ！！！
[51.892] yarimasu_ne: radaoHi
[51.962] nekodama2155: ういー
[52.135] riren_92: わこらだ
[52.242] ユキノワグマ: わわこ
[52.274] momokann: 早番や
[52.299] fuu_0926: radaoKitya
[52.541] mhiiragi42: 早いね
[52.756] らう57: はやいねー
[52.786] kohana0d06: 今日早いね
[52.789] reon2565: わこらだー！
[52.889] kibunya_sun: radaoHi
[52.895] merochi_k: radaoHi
[52.983] honehone_2: radaoOtu2
[52.985] まめくらげ: わこらだー
[52.995] (S)pocobokei: 🐶わこらだ
[53.001] ragumaltutyo: radaoHi
[53.008] ツミキ3: はんや
[53.081] (S)ーれんこんちっぷすー: わこらだーー 
[53.241] ここねり: 今日は早番か
[53.396] (S)nukosan_: nukosan_ subscribed at Tier 1. They've subscribed for 5 months! 
[53.568] (S)hiro_116_hero: radaoHi
[53.594] uta_0713: radaoHi
[53.715] kinkun0323: radaoHi
[53.773] シオマル: 早番じゃー！！
[54.183] ぎゅうどんとぎゅう: radaoHi
[54.207] ユナク: radaoHi
[54.354] わるぷるぎしゅ: 早番きちゃー
[54.423] surenku: radaoHi
[54.446] hamumu_hamu: radaoHi
[54.514] donmaru2242: わこらだ！ーーー
[54.564] wanmaru0410: 今日早いな
[54.788] hijiki_0209: radaoHi
[55.028] とーふにこにこ: わこらだー！
[55.033] waniwa1124: radaoHi
[55.226] saltsalmon029: わこらだ
[55.349] seira_omochi: わこらだ！
[55.410] えぬあい: radaoHi
[55.559] ピポ助: radaoHi
[55.643] (S)kohaku1379: わこらだ
[55.674] tsuyuiro: radaoHi
[55.850] らりす: わこらだ 
[55.913] ぽーたこ: radaoHi
[55.946] dokukinoco: 早番たすかる
[56.086] 心春_: わこらだ！
[56.154] (S)ぶるねった: わこらだ 
[56.293] えいえいおーーー: radaoHi
[56.296] suikam0n: 今日早ない？
[56.317] rozika3: わこらだ
[56.339] asahi__s: わこらだ！
[56.696] tukasa1003: わこらだ
[56.818] kohakoha921: 今日早くに見れて嬉しい〜
[56.880] iusuki20100: はやいね
[56.892] yoichimu: radaoHi
[56.947] ちまきもち: わこらだ
[57.010] おがくずん: わこらだー
[57.045] ankoro0825: わこらだ
[57.197] buuuuusuka: radaoHi
[57.287] so_cha_26: radaoHi
[57.293] (S)epopopo_i: 早番やー
[57.609] kuratch14: radaoHi
[57.799] miru_fwiyu: radaoHi
[57.844] (S)Soudako___: もう23日目？
[58.015] よわはと: 早番か
[58.641] えぬあい: わこらだ
[58.773] あんまんん: わこらだー
[58.852] miduki1: わこらだ
[58.988] marurineight: わこらだ！
[59.141] MIKU_J0311: 23日目？
[59.158] finn_otonami: radaoHi
[59.165] (S)yuzuyuuuuu: わこらだ
[59.201] merochi_k: radaoHi￼ 
[59.266] maacha621: radaoHi
[59.381] (S)orita28: 今日ないかと思ってた
[59.473] (S)minami4869: こん
[59.662] touhikou_: わこらだ
[59.881] (S)めらのあ: 17時くらいに始まるの助かる
[59.983] minto13579: radaoHi
[60.219] sainkudasaaaaaai: radaoHi
[60.298] touyig: 早
[60.389] hime_ki: わこらだ
[60.439] yume_1103: わこらだ
[60.489] ユナク: 早番ですか？
[60.526] Ciel4949: はやいね
[60.673] jyomu__: 19はやい
[60.681] azusa0627: わこらだ！
[60.705] tomako_0309: 早番〜
[60.724] ﾑﾂｷ: わこらだ
[60.743] とーもです: わこらだ
[60.831] (S)dainamon99: radaoKitya
[60.889] minomusi0611: radaoHi
[60.964] kokutchi_: はやいね
[60.973] tamamec: わこらだ
[61.076] peperonn17: 早番きちゃ
[61.146] batapiiiiii: 今日早いね
[61.238] asahi__s: 今日早いねー
[61.346] nana_sasa_: radaoHi
[61.581] __あお: radaoHi
[61.641] lemondaifuku: 早番きちゃあ
[61.819] mimitabu_92: わこらだ
[61.898] らんぱに: 早番じゃーん！
[62.047] miryu_0412: わこらだ
[62.071] ankolatte25: radaoHi
[62.341] ssi__kk: 早番？
[62.663] つりねこ: ないす早番
[62.886] nanashico27: 早番だね
[62.947] (S)1しずく1: shizushizu_20 subscribed at Tier 1. They've subscribed for 10 months! わこらだー！
[63.224] ゆめきり: わこらだ！
[63.367] mirumiru_h: radaoHi
[63.373] poru1010: わこらだ
[63.375] 音吐朗々: radaoHi
[63.747] もかこーひーー: わこらだ
[63.952] ﾏﾙﾏﾙ: radaoHi
[63.962] minimia_119: わこらだー
[63.977] カローリー: わこらだはっや
[63.983] めたた: radaoHi
[63.992] (S)nira_ra: 早番
[64.019] touhikou_: radaoHi
[64.211] yume_1103: めっちゃ早くね？
[64.222] しおざとう: 早いねー！
[64.240] すいぺりあ: わこらだー
[64.730] やたけや: radaoHi
[64.878] kose0103: 早番だー！！！
[64.921] (S)arare241524: わこらだ 
[65.008] (S)るきこちゃ: わこらだ！
[65.135] とぬ: わこらだ
[65.208] ﾑﾂｷ: radaoHi
[65.255] dai2syokudou: わこらだ
[65.707] maryu0521: radaoHi
[65.777] ぽぽぽぽぽぽぽぽ: radaoHi
[65.919] しとらぼ: わこらだー
[65.945] minomusi0611: わこらだ
[65.955] 雪華0830: radaoHi
[66.025] magiku: わこらだー
[66.028] (S)たかひろくん: わこらだー
[66.166] あやとちん: radaoHi
[66.504] レロキャン: radaoHi
[66.711] めたとろ: radaoHi
[66.756] miruchooo: 早いね
[66.863] gencharionx: radaoHi
[66.941] merochi_k: radaoHi
[67.166] miznohanabana: わこらだー
[67.435] mizore_87: わこらだ
[67.662] taichimai: radaoHi
[67.857] ﾏﾙﾏﾙ: おk
[67.903] すいぺりあ: 早番だー
[67.921] とりこさん: 今日早いね
[68.046] gorimattyo_syokityou: radaoHi
[68.104] seto_suzu2515: わこらだー
[68.188] kibunya_sun: 早番きちゃー！！
[68.355] nyarin_0302: わこらだ
[68.483] memento_kanae_mori: わこらだ
[68.521] (S)キャ口ﾉﾚ: おｋ
[68.612] おいしいりんご: わこらだ
[68.821] ikanana2525: radaoRainbow
[69.374] ててさーん: radaoHi
[69.409] ただのハロ: radaoHi
[69.519] (S)かたくなったわたがし: radaoHi
[69.721] shota_shoyan: わこらだ！
[70.094] __あお: おk
[70.139] 何も知らないクラゲ: 早番やー
[70.144] kohana0d06: おｋ
[70.189] machikuruchan: おけ
[70.820] ankolatte25: わこらだー！！ 
[70.828] ぽちゃぽちゃにゃんこ: radaoHi
[71.047] せきつい: りょ
[71.272] まさ2013: radaoHi
[71.319] baberuboburu3939: radaoHi
[71.475] しとらぼ: おけ
[71.492] ruterute_016: おk
[71.573] donmaru2242: はやいね
[71.586] konduki02: わこらだ〜
[71.593] harukiti0213: radaoHi
[71.788] osiruko912: radaoHi
[71.935] monmon09060: おk
[72.020] yume_1103: おk
[72.352] kan_rdm: radaoHi
[72.352] peperonn17: そうね
[72.428] merongo_1023: おけ
[72.432] iusuki20100: おk
[72.606] まあく: radaoHi
[72.641] finn_otonami: 早め
[72.662] (S)わらびもち_11: おk
[72.923] uta_0713: おk
[72.931] mira_bell5: 早番きたーわこらだ
[73.247] mumadoo: radaoHi
[73.339] とりここ: わこらだ
[73.447] magiku: 早番だー
[73.491] takoyaki0917: おk
[73.592] skkmrsaki: kon
[73.709] Ciel4949: おk
[73.936] よわはと: おけ
[74.023] memento_kanae_mori: radaoHi
[74.115] hiromi131: わこらだ
[74.170] 宇宙に浮かぶひつじ: おk
[74.527] dokukinoco: 把握
[74.581] しゃしゃも_: おk
[74.896] qqg0: おk
[75.137] wanmaru0410: おk
[75.142] MIKU_J0311: おけ
[75.143] t__0296: わこらだー
[75.166] ここねり: はーい
[75.210] kohakoha921: おk
[75.320] nekodama2155: なるへ
[75.593] おるかす: おk
[75.797] ユナク: おk
[75.801] batapiiiiii: おけ
[75.803] memento_kanae_mori: radaoHi
[75.824] 角角家: おk
[75.825] 326_hisizu: わこらだ 
[75.899] (S)romiwooo: おk
[76.024] (S)Fukenn59: radaoHi
[76.081] せっきくん: 早め(6時間)
[76.268] kyassssssss: 24日目じゃないのね
[76.269] 白桃639: ぽけ
[76.339] (S)鶯餅: radaoHi
[76.799] mintisarada: おk
[76.800] nekomaru927: おk
[76.813] ゆーのです: radaoHi
[76.908] syooron: おk
[77.021] merochi_k: おk
[77.027] peace2024: わこらだ
[77.036] ただのハロ: 今日早めに終わるんか
[77.551] taichimai: おk
[77.601] urullowo: おk
[77.775] miryu_0412: おk
[77.790] zu_yu2: radaoHi
[77.901] mhiiragi42: おけ
[77.989] szki_0225: radaoHi
[78.284] ratarly: おk
[78.424] yona_0724: radaoHiradaoHi￼￼ 
[78.436] はたの: おk
[78.560] にくのじん: おk
[78.750] シェリー_: radaoHi
[78.775] wata_mitsu: おけ
[78.842] りにょーん: ふん
[78.903] miru_fwiyu: りょ
[78.966] ra_m008: おけ
[78.979] (S)huuyu_Hy: おk
[79.059] にな_27: おけ
[79.708] 棚畑: 人生初コメ わこらだ
[79.861] しょーーーん: おけ
[79.997] urullowo: radaoHi
[80.233] lemondaifuku: おk
[81.150] ~MISSING_COMMENTER_INFO~: おk
[81.267] かりんりんだよぅ: 今日24日目ね
[81.520] miochan_0804: おけ
[82.425] ゆめきり: radaoGJradaoGJ￼￼ 
[82.484] 弥紅: radaoHi
[82.746] kizunayukari: 今日めっちゃ早い
[83.296] kuroha_778: はーい
[83.355] surenku: おk
[83.929] Ritsu1211: わこらだ〜
[84.705] corrupt_sjel: radaoHi
[84.983] suta_8: わこらだ
[86.007] blackfjz710: なんで最近マイクラしてないけど、どうしたの？
[86.138] (S)るぅゆ: るぅゆ subscribed at Tier 1. They've subscribed for 6 months, currently on a 6 month streak! 
[87.106] creamy1019: 逆にやらないと思ってたわがんばれ！
[87.823] memento_kanae_mori: radaoHi
[88.081] (S)みーさん0459: わこらだ
[88.106] toubun__: radaoHi
[88.307] ayooone: radaoHi
[88.397] 佐野ちャん: radaoHi
[88.578] (S)るきこちゃ: radaoKansya
[89.695] (S)秋月える: おはよー
[89.816] まだら25: わこらだ
[90.078] ayn_112: おけい
[90.728] yahho_kanaria: わこらだ
[90.764] haruse55: radaoHi
[91.085] 暗黙の緑茶: わこらだ
[91.262] 琥珀です: わこらだ〜 
[91.473] (S)あっひょ: わこらだ
[91.744] mizuhusen_aq: radaoHi
[91.969] peace2024: radaoHi
[93.351] momopina_: わこらだ
[93.441] hiziki_510: おはよ
[93.751] (S)substance0405: radaoHi
[94.200] すみねこ2525: わこらだ〜 
[94.218] mikann1014: わこらだ
[94.461] tanu_1017: radaoHi
[95.041] さくばん: 早いね
[95.153] あるみ屋: あー
[95.287] チュチュンバー: radaoHi
[95.560] (S)sour_72: radaoHi
[95.865] hiragi_114514: わこらだ
[96.017] kennn0930: どれぐらいで終わるって言った？
[96.138] nuichan_dayo: わこらだバイト前にちょっとだけ見る
[96.566] baceneKo: なるほど
[96.589] ﾏﾙﾏﾙ: なるほど
[98.638] 雨傘ライ: あー
[99.729] リムヲ: radaoHi
[99.890] (S)おにゃんこぉ: radaoHi
[99.958] Hana_305: なるほどね
[100.465] kohana0d06: ほう
[100.487] むろ_: わこらだ 
[100.611] ユナク: なるほど
[100.734] ratarly: なるほど
[100.843] 03_yuki: わこらだ
[100.956] (S)chiki_fami: radaoHi
[100.974] yuu_1010: なるほど
[101.054] (S)もちも良い: わこらだ
[101.078] iusuki20100: なるほど
[101.296] わるぷるぎしゅ: なるほ
[101.405] にくのじん: なるほど
[101.534] 雨傘ライ: おk
[101.680] __あお: なるほどね
[101.742] 佐野ちャん: なるほど
[101.776] karen2_: radaoHi
[101.911] 白桃639: 生活リズム！？
[102.004] (S)秋月える: radaoHi
[102.232] 雪猫105: radaoHi
[102.835] ruterute_016: なるほど
[102.987] miru_fwiyu: なるほど
[103.443] nanashico27: 了解
[103.606] dokukinoco: 無理すんなよ
[103.679] かりんりんだよぅ: 昨日23日目だから今日24日目だと思うよん
[103.873] lemondaifuku: えらい
[103.942] miruchooo: もうちょっとでシグナルやね
[104.058] nekomaru927: なるほど
[104.129] 宇宙に浮かぶひつじ: なるほど
[104.207] よわはと: 24になってないぞ
[104.297] ゆーのです: りょー
[105.278] すいぺりあ: おけー
[105.279] おいしいりんご: 前入りするんか？
[105.436] せっきくん: めちゃ楽しみにしてる
[105.678] (S)わらびもち_11: なるほど
[106.084] らんぱに: えらいね
[106.272] 白桃639: まじか
[106.618] たかぎ3: わこらだー 
[106.645] あるみ屋: 何時くらい？
[106.779] machikuruchan: り
[106.849] ささみんくん: radaoHi
[106.862] (S)tiroru202: 了解
[107.025] miochan_0804: ほう
[107.283] mizuhusen_aq: なるほど
[107.309] (S)らいちょむ: わこらだ！
[107.319] kojimanominato: わこらだ
[107.531] china2525: radaoHi
[108.089] リムヲ: おけ
[108.314] yuu_1010: 大事だ
[108.909] tomako_0309: はーい
[109.174] roikn: なるほど
[109.484] えぬあい: おけ
[110.255] さくばん: おけ
[110.770] asuka_zcrsh: はーい
[111.143] roikn: おけ
[111.376] fuyukeshiki: あまりにはやいな！？
[112.150] roiro_0: 了解
[113.148] ユナク: 気にし始めたのか、、
[113.376] まつ: radaoHi
[113.683] 床_: もうあさってやん
[114.021] むろ_: おけ
[114.267] kohakoha921: なるほど、ゆっくり休んで
[114.452] mo_mo_yo_: たすかる
[115.176] yuranasu: わこらだ
[115.295] 和食定食: radaoHi
[115.597] ookami_rudi: radaoHi
[115.821] wanmaru0410: なるほど
[116.955] nononon061111: わこらだー
[117.190] lastma01: アプリないやん
[117.200] 雨傘ライ: 俺らの生活リズムも整いそうだね
[117.208] nekodama2155: イベントに身体合わせてけ
[117.502] amaikazitu: 了解
[118.941] ベニマル: radaoHi
[119.017] 湊ソラ: どうせしぐなる終わったらまた壊れる
[120.663] eggfforia: しぐなる大事
[120.846] takabuuu: はやめって何時だ？
[120.874] merochi_k: おk
[121.387] らんぱに: しぐなるもたるからね
[121.406] many7575: わこらだー
[121.472] (S)heuchera_617: わこらだ
[121.617] yakkooo630: radaoHi
[121.886] 03_yuki: radaoHi
[121.976] shota_shoyan: radaoHi
[122.116] 棚畑: radaoHi
[123.437] rins1d: なるほど
[124.669] つきあかり: radaoHi
[124.899] nagi7354: おけ
[125.137] (S)nekonaaa: わこらだ 
[126.161] taru_taru_k: radaoHi
[126.357] でんぶ: 台風くるね
[126.664] merochi_k: radaoHi
[126.927] むつき7777: はっや
[127.183] sakuramochi46: radaoHi
[127.194] miruchooo: もうちょっとだな
[127.370] kairo_ej: 無理せずね
[127.529] kanade_81: radaoHi
[127.801] snow__forest: radaoHi
[128.097] saki_3656: わこらだー
[128.310] わるぷるぎしゅ: たのしみ
[128.333] mashuuuuuuu22: わこらだ
[128.407] soshiro_11: radaoHi
[129.931] (S)かわたぱの: radaoHi
[130.143] anko_normal: わこらだ、暇を極めてたからこの時間助かる
[130.711] かりんりんだよぅ: ないす
[130.922] hakataro3567: radaoHi
[131.161] reipia0415: 今何かお知らせしてた？
[131.494] peperonn17: へえ
[131.939] ユナク: ほぉー！
[132.280] 2008miyu: わこらだー
[132.293] (S)キャ口ﾉﾚ: ゾ
[132.409] nekodama2155: お
[132.433] many7575: へー
[132.576] erunekd: わこらだ
[133.314] lewis_craine: 歪んでんね
[133.636] ruterute_016: ゾ
[133.644] kohaku_rd: わこらだ
[133.875] せきつい: お
[133.915] 03_yuki: おお
[134.165] (S)em21__: oお
[134.405] 雨傘ライ: へー
[134.604] mizuhusen_aq: ゾ
[134.771] (S)epopopo_i: radaoBikkuri
[135.001] 白桃639: 僕は起きるのは早くても寝るのは遅い
[135.248] (S)わらびもち_11: へー
[135.250] yuu_1010: ほう
[135.278] ここねり: ほぉ
[135.381] emitsin: ほう
[135.452] とーふにこにこ: ほー！？
[135.469] omizugokugoku3: 弟さんは今何してるのー？
[135.533] (S)heuchera_617: 少ないな
[135.775] Hana_305: お
[135.787] adwdbv: 今日早いね 
[136.007] Ciel4949: へー
[136.165] MIKU_J0311: へー
[136.399] peace2024: radaoOtu2
[136.424] dokukinoco: で、しぐなる終わったらまた生活リズムしぬんよね
[137.129] nekodama2155: ゾ
[137.315] lemondaifuku: お
[137.404] nanashico27: ゾ
[138.084] wanmaru0410: しぐなるぜろ終わったらすぐに元の生活に戻ると
[138.171] nekomaru927: へー
[138.291] miryu_0412: 3人しかいないんだ
[138.292] 宇宙に浮かぶひつじ: お
[138.301] suzuyayaya: ゾ
[138.992] ayunosioyaki0223: radaoHi
[139.263] mashuuuuuuu22: おお
[139.488] origin0329: へー
[139.526] (S)minami4869: 3人笑
[140.128] むろ_: へー
[140.398] hallsatan: わこらだ〜
[140.641] iusuki20100: へー
[140.657] 雨傘ライ: お
[140.873] pasta0916: わこらだ
[141.007] urullowo: お？
[141.750] (S)1しずく1: お
[142.604] rui__33: わこらだー
[143.148] anko_normal: ゾ？
[143.407] カローリー: へー
[143.494] ばじる: ばじる subscribed with Prime. They've subscribed for 40 months! 
[144.076] ゅう_: わこらだ
