[3.967] 4444446666: 滑りすぎておわった
[575.378] (S)mogetasan: ちわー
[575.917] Ceciltaisa: こんにちわぁ！
[575.965] balthazar000: げんき！
[576.363] GelidiumJellyCat: ユーチューバー
[576.499] takeiteasy55: 子供にはかなわんｗ
[576.524] eremin_39: ユーチューバー
[576.744] (S)hinemosu4: こんにちはーーーー！
[576.945] lun__01: こんちは（怒）
[577.107] (S)noboooooooooru: ウメちゃんだよー
[577.197] forthemoment_elt: YouTuberだーーーー
[577.299] tomitakun: oooo
[577.391] nullpopon: キッズ！
[577.524] 戸愚呂妹: チルアウト飲むか？
[578.273] (S)machakyuro: かわええｗ
[578.501] qq_taro: 元気が良い
[578.810] shifoncafe: きっず
[578.907] sakai_jin2020: ゆーちゅーばーだー！
[579.365] (S)shinobuchan4649: 同じテンションで返してやれよｗ
[579.826] _まどれーぬ_: 今どこらへんですか？
[579.853] ぐぐっす: ゴン"ニ"ヂワ"ア"ア"
[580.009] (S)foo_twitch: ユーチューバーです！
[580.313] 芋之山: ええなあ
[580.547] taroumaruh: 元気や
[580.989] (S)tilia211: ゆーちゅーぶ！？
[582.005] ~MISSING_COMMENTER_INFO~: ユーチューバーだよ〜
[582.306] (S)n242f45aa: ゆーちゅばーだよ〜
[582.428] (S)まとご: モダンキッズか
[583.127] (S)ｾﾀﾒﾝ: 元気でよろしい
[583.512] chin_56_: なにしてるんですかー！
[583.558] (S)gftakataka: 和むぜえ
[583.948] (S)aki__aki: 元気だなぁ！
[584.029] kiichang: ユーチューバーのウメハラダイゴです！
[584.509] おーとん: かわよ
[584.600] wonderhit1: ダイゴだよー
[585.744] gakkaripanda: ｗｗｗｗ
[585.994] taroumaruh: ユーチューバーｗ
[586.135] az1283: ｗｗｗｗｗ
[586.154] みつまめ728: 元気な地元キッズ
[586.441] masarin763: お父さん世代なんだよなぁ
[587.173] porcupinepine: ユーチューバーでーす
[588.060] chachachakoma: ｗｗｗｗｗ
[589.541] hanao_t: これはいい前ステだったか
[591.271] enuemu3: wwwww
[591.411] yougen1124: ウメハラ企画
[591.873] (S)tilia211: ウメハラです！！！！！
[592.076] np2np: ｗｗｗ
[592.186] ModernCurryRiceOOmori: 知らないやろうな
[592.222] 反省済2: ｗｗｗｗ
[592.814] banjo_03: ｗｗｗｗｗ
[592.977] Phenomer: wwwwwwwwwwwww
[593.190] neon_d99: 草
[593.275] (S)afuring: ｗｗｗｗｗｗｗｗｗ
[593.435] ebikatsu39: ｗｗｗｗ
[593.578] nabe_labo: ｗｗｗ
[593.601] ddb365: ｗｗｗ
[593.622] (S)vungo_mr: ｗｗｗｗ
[593.629] (S)黒光り肉の: うける
[593.798] jojojoy001: ｗｗｗｗｗｗｗｗｗｗｗｗｗ
[594.002] (S)メタルぱんだ: ｗｗｗ
[594.562] habutaedango: 岩手の子供にゆめを！
[594.638] くろりんだよ: ｗｗｗｗｗ
[594.656] こがや: wwwww
[594.925] gannaranna: wwwwwwwwwwww
[595.049] (S)achieichi: ｗｗｗｗｗ
[595.097] Coedawg: umeYay
[595.101] Phenomer: ｗｗｗｗｗｗｗｗ
[595.600] (S)gazesd: すまんｗ
[595.926] (S)tilia211: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[596.040] バーバー谷口: いい不遜さ
[596.266] myodent21: w
[596.311] tama_zx61: wwwwww
[596.466] ModernCurryRiceOOmori: ww
[596.818] 水増し: 事案
[596.823] (S)mogetasan: www
[597.204] (S)tom236n236p: キッズｗｗｗｗｗ
[597.552] (S)uwamonq: ｗｗｗｗｗｗｗｗｗｗｗｗ
[597.631] ロイヤルロッホ那賀: wwwwwwwwww
[597.715] (S)kkshkk: ナイス少年
[597.810] mahiro_8: イライラしてないか？
[597.835] JeniXO: ｗｗｗｗｗｗｗｗｗ
[597.937] hinokihinoki: 辛辣
[598.047] (S)binbougachiyaba: www
[598.248] (S)hinemosu4: wwwwww
[598.258] nosveral: Ohayo
[598.399] 森本ライアン: wwwwwwwww
[598.609] ごまさんです: 正解！
[598.656] (S)のら村長: wwwwww
[598.805] chachachakoma: きびしいｗ
[599.922] (S)rm_rf__: 良いですねえw
[599.989] (S)afuring: いいｗ
[600.000] garu735: wwww
[600.162] teruharu_: キッズつよw
[600.302] (S)nakao1976: ばれたw
[600.516] lun__01: 子供の反応wwww
[600.545] chamomile21: ｗｗｗｗｗｗｗ
[600.671] porcupinepine: 岩手の子は純真だったなぁ・・・
[600.789] icyblue1985: 不遜
[600.865] (S)vungo_mr: 悪口一閃
[601.353] 新ころりん: 不遜キッズｗ
[601.436] (S)yukke85: ｗｗｗｗｗｗｗ
[601.529] neon_d99: 岩手キッズきっちーｗ
[601.851] よもぎです: w
[602.175] genosaurer0228: 王だぞ！！
[602.294] tw_numa: ついに言われる側になった
[602.512] あまる_333: ｗｗｗ
[602.620] weeep1: 不遜キッズ
[603.485] largsrn: ばかが！
[603.498] mozu_882a: 素質アリ
[603.955] mifune1046: 排他
[604.795] balthazar000: 田舎のクソガキw
[604.964] momochan6: ｗｗｗ
[605.313] erukima: ばかwww
[605.394] (S)黒光り肉の: 格ゲーのノリわかってんじゃん
[605.577] hanao_t: ナイスガード！
[606.425] (S)maya_g01: 見破られてた
[606.561] ohigekujira: 手厳しい
[606.747] (S)shinobuchan4649: ひどいｗ
[607.632] (S)afuring: 岩手キッズ最高すぎる
[607.650] もきち555: ちゃんと教育されてる
[607.878] (S)hinemosu4: いい返しだ
[607.941] (S)wankoro_moti: ｗｗ
[608.515] az1283: こわいな～ｗ
[609.505] toro0524: 子供「岩手なめんな！」
[610.111] myodent21: キッズの煽りw
[610.436] tw_numa: 不遜
[611.063] kiichang: 聡明なお子さんたちだあ！！
[611.229] towai8: 教育行き届いてるな
[611.467] yuki_aion_aion: w
[611.858] ssGRiDM4N: 手厳しいな岩手県ww
[612.538] np2np: 子供ならすべてが許される
[612.848] (S)mart_00_: ｗｗｗｗｗ
[613.173] 45tm83: 知らない大人に着いていったらだめ！
[613.266] 4jou_half: 気合入ってるな？格ゲーマーにならないか？
[615.448] (S)DancingSheep1119: 教育◎
[615.584] forthemoment_elt: リバサ歩き投げくらったwww
[615.716] ライム_: 嘘に負けない
[616.452] chin_56_: 怪しい不審者だからね
[617.034] 閃光の: 岩手のくせに
[617.940] shifoncafe: いいしつけしてある
[618.632] (S)tilia211: そらこんな集団危険すぎるよ
[618.656] wonderhit1: 野田ざまぁ
[619.093] tabibitox: 健やかやなぁ
[619.292] porcupinepine: 「本当にいたんだ！」は名言
[619.387] dai920: 格ゲーは罵倒から始めないとネ！
[619.831] 記入漏れ: youtuberの人権問題が浮き彫りに
[621.112] GelidiumJellyCat: 賢い
[621.155] (S)のら村長: バカがよぉ〜w
[622.161] neon_d99: youtuberを名乗られる事案
[622.574] えすぱーくす: ひぐちボーイ
[624.247] (S)n242f45aa: うるせーばか〜
[624.366] _まどれーぬ_: 今どのあたりですか？
[624.546] taroumaruh: 「迷惑系だろ！うるせえばか！」
