[5.572] (S)gogopimimi: ウメちゃん
[392.180] (S)anagram646: とっきーは選ぶ方が大変まである？
[394.714] krtwitch2013: 今日ってスト5やります？？？
[398.403] (S)山田たろう太郎: 今までプロゲーマーのスポンサードしてない日本企業とかがときどのスポンサーになってほしいな
[401.913] (S)shopynis: ときど支援も必要なさそうだしなぁ
[405.183] (S)zakkn: じっくり編成しよ
[413.028] avmajvm: アピールする製品が海外のだとなかなかね
[413.401] keroggu1: 格ゲーのスポンサーってそんな多いのか
[417.876] papuyan: サイゲビーストはぷーんこ採ってください
[418.129] (S)yunyun_ada: BEASTときどはないの？
[421.447] (S)contami_san: ブルみたいに応援している層が商品買いやすいとええなあ
[422.945] (S)durandal72: 海外回るのは採算合わせるのが厳しい気はする
[425.545] tololo86: スカルプD・・・
[425.614] (S)une3333: スト5はトラキアがスイスイ進めばできるはず
[429.771] (S)zyagamon: 新入り強いって
[429.887] (S)recycle4: 不思議ちゃんの新入りシスター
[432.757] (S)山田たろう太郎: サントリーときど、マゴ見たい
[432.917] (S)kurataro: MaritaTheBeast
[438.127] playatlas: 格ゲーは稼げなかったか
[441.141] (S)zakkn: この面すいすいは流石に？
[448.594] SawayakaFaraday: GivePLZ
[459.802] plutomori: Liquidとか吉本あたりの芸能関係は欲しがりそうだけど
[460.435] (S)toshioj: 長い戦いになりそうだな
[465.201] ~MISSING_COMMENTER_INFO~: いまだにEcho Foxがなんの会社なのか分からんわ
[465.635] balthazar000: 新入りどうなるかね
[468.291] juicestand: omg Xavier hahahahahaha
[474.469] (S)harahara02: グラブル格げーあるしサイゲがとりそうな気がする
[481.246] (S)une3333: とっきー見た目いいしリキッドのユニフォーム似合いそうだよね
[481.438] rm_rf__: この辺の章から難易度がガチで異常になってくる
[487.084] (S)zakkn: かわいい
[489.536] (S)icyblue1985: トラキアをスイスイはキツイ！
[504.147] DD_AKT: 駿河屋ときど応援するなら今がチャンスぞ！
[517.452] SawayakaFaraday: GivePLZ
[522.855] avmajvm: フージョンしてメンバー半分にしてもいいレベルだな・・・
[545.415] (S)toshioj: アスベルが弱いｗ
[556.606] (S)zakkn: アスベル神を弱いという人もめずらしいねｗ
[558.457] yukihiro3417: アスベルがへたれるの珍しい
[559.713] shiroyashazd: おはよう
[576.112] shiroyashazd: GunRun
[588.546] playatlas: TSUTAYAももちまだか
[589.934] (S)kurataro: 風の剣つかってないね
[599.045] RavenXtone: お早うございます
[609.480] SawayakaFaraday: the hardest stage is here
[616.752] (S)zakkn: お昼のウメキア
[619.213] playatlas: 後ろの貼りもの多くなってきたね
[621.937] (S)tukioni: 書を入れ替えてもいいな
[622.135] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[649.570] (S)zakkn: とりまノーヒントで行く感じだ？
[688.265] SawayakaFaraday: GivePLZ
[733.449] (S)cocolo33322: おはようございます!
[768.619] void_Falke: Sakoさんも配信外でやってるトラキア
[782.657] 黒虎えびお: うめちゃんおはよう
[804.673] (S)zakkn: 屋内で槍をつかわせないという意志を感じるゲーム
[822.872] (S)nagilay1: とりあえずシーフがレベル上がるときはネールもたせよう
[828.897] 黒虎えびお: 今日は何時までですか？
[848.015] きのとのり: KonCha
[861.239] ~MISSING_COMMENTER_INFO~: マリオの飾り結構あったんだね。ジュゲムとかブロックとか
[868.832] (S)Sorachan1144: オルエンかわいい
[871.866] yukihiro3417: 魔法すくねーｗ
[882.849] Ganondorf_nulvi: play sfv
[887.302] (S)zakkn: 大量のヨツムン！
[900.557] (S)zyagamon: ゴミ
[924.979] (S)une3333: 詰み？
[926.973] ぱーーまん: ついにこの面に来てしまった
[937.384] (S)juuuunation: タグがスト５
[938.563] (S)zakkn: とりあえずね
[943.268] (S)recycle4: やってみよ
[957.632] (S)avmajvm: つんだら最初からなんかな・・・
[961.201] (S)小室友里: 職場のデスクからウメちゃんお疲れ様です
[964.386] MazicMozaic: ここからずっと簡単だよ
[964.470] ぱーーまん: よく見る顔に似てる人
[965.868] SawayakaFaraday: GivePLZ
[969.280] (S)zakkn: 見捨てていこうぜ！
[969.925] yukihiro3417: カンニングなしで18章はほぼ無理でしょｗ
[995.538] (S)nagilay1: 無理だな
[995.814] (S)une3333: 簡単という人もいればクソむずいという人もいる...
[1000.840] asayan1257: この面はゼーベイアを仲間にしようと思うとめちゃ難しい
[1001.919] (S)LeoLeo_123123: 無理すね…
[1008.517] rm_rf__: マリ姉頼みすぎる育成なんよなぁ
[1015.003] (S)xystm: おはようございます
[1018.164] (S)avmajvm: ああ、うわさのこれか
[1019.776] (S)zakkn: シーフなしでやってキレタね
[1022.722] ryuka1983: この面で投げたわ俺
[1035.967] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1037.564] (S)Sorachan1144: おっさんやん…
[1039.552] (S)nagilay1: アンロックもってきてる？ないときついぞ
[1043.181] ぱーーまん: 仲間に出来るけど条件がむちゃくちゃ面倒
[1043.927] (S)zakkn: おっさんいるう？
[1049.474] (S)avmajvm: チャックノリスじゃん
[1052.134] yukihiro3417: 仲間にはなる なるとはいったが我々が
[1055.699] (S)snake7575: ここ完全クリアはまーじきれっそうになるねー
[1057.192] popoi35: 場内で斧槍Aのいい人
[1059.191] MazicMozaic: この先
[1073.712] (S)zakkn: 槍Eじゃね
[1082.274] (S)nagilay1: 槍はe
[1089.086] playatlas: 城の中に入られてるとか実質もう負けやん
[1107.606] ぱーーまん: 長年レンスターに使えてて槍E
[1110.511] ryuka1983: 書くの大変ｗ
[1112.737] yukihiro3417: 条件はここを完全打開する
[1113.379] (S)zakkn: 顔つき兵8名を市民で説得
[1114.954] (S)snake7575: 捕虜を顔つきのアーマーナイトと会話させる
[1118.607] SawayakaFaraday: all leinster soldier alive
[1125.693] Jaguar_kick: ウメちゃんこんにちわ
[1132.054] (S)oheya36: ゼーベイアの下の8人
[1135.182] (S)nagilay1: 市民8人とレンスターアーマーを解放させる
[1135.847] (S)ruku16: レンスターの将軍の癖に槍Eとか恥ずかしくないのか
[1138.322] pipwtf: ときどおめでとう
[1139.325] honeta39: 人質開放→将軍の前にいるアーマー８人の人質を話しさせる→将軍説得
[1142.088] (S)varoshi: 顔グラの敵と、子供を話させて、そのあと、ベーゼイアと会話
[1142.341] (S)xenys3: 仲間を信じることそれがまず最初の条件だ
[1143.140] gregward: just kill xavier; its not worth spending 1 hour of your life for 1 leadership star
[1146.115] rm_rf__: わかりやすい説明
[1148.135] (S)zakkn: パズルやっていこ
[1156.669] (S)zakkn: いたぁ
[1156.711] (S)icyblue1985: ァジデw
[1159.452] (S)Sorachan1144: むずそう
[1161.251] (S)harubou1123: aの市民はAのアーマーでしか説得できない、みたいな
[1161.822] tololo86: ふええええ
[1162.026] (S)varoshi: 子供は勝手に向かっていくよ。
[1163.017] ryuka1983: しかも担当市民が決まっているという
[1163.058] (S)hkmirin: めんどくせーw
[1163.452] (S)yoinio: めんどくさあ
[1171.333] (S)nagilay1: レンスター兵は捕らえてもいいけど、殺さないほうがいい
[1172.721] (S)Sorachan1144: 乗り越えていこ
[1176.609] honeta39: 当然組み合わせは一人ずつ違う
[1177.868] MazicMozaic: そんなん無理やろ
[1178.303] ボロぞうきん: しかも市民はそれぞれ対応するアーマーが違う
[1179.180] SawayakaFaraday: hardest stage
[1180.976] (S)oheya36: カードも取ろうとすると・・・
[1182.047] (S)yoinio: ｗｗｗ
[1184.286] yukihiro3417: ここをどうするかがトラキア最大のポイント
[1185.364] (S)avmajvm: しかも組み合わせ決まってる
[1186.632] (S)山田たろう太郎: きちー
[1191.042] (S)nagilay1: 殺すのはフリージだけ
[1191.102] (S)山田たろう太郎: 加賀ぁ
[1191.774] tololo86: きっつｗｗ
[1192.092] ryuka1983: メンバーカード欲しい？
[1192.296] (S)zakkn: 同じ顔がいるという罠
[1194.214] (S)zyagamon: 組み合わせ一人ずつ違うw
[1195.921] (S)元気な変態おすぎ: ここはまじやばいｗ
[1195.948] beehive3: 加賀さんさぁ
[1199.101] (S)yoinio: もうみんな殺そうぜ！
[1199.509] (S)テムおじ: メンバーカードいらんいらん
[1201.951] (S)Sorachan1144: 似てるとか
[1202.815] friedebi: LUL
[1202.905] musouzankouka: ゲーム史上最も仲間にしにくいまである
[1204.644] ぱーーまん: アーマーと市民の対応って分かるっけ？
[1206.464] (S)icyblue1985: まじキチw
[1207.467] SawayakaFaraday: GivePLZ
[1208.673] (S)クズ220: FE史上一番めんどくさい仲間よゼーベイア
[1216.430] (S)あと1983: ねるとん方式
[1218.559] (S)yoinio: ハンマー顔
[1219.514] rm_rf__: 顔に厳しい
[1221.687] ぱーーまん: ハンマー顔ｗｗ
[1225.198] honeta39: 最難関ステージその１だから仕方ない
[1226.934] (S)une3333: 名前はまだないw
[1230.766] (S)nagilay1: レンスター兵とフリージ兵がいる
[1233.165] (S)zakkn: そっとじ
[1236.515] (S)ruku16: 市民はレンスターアーマーに攻撃されないけど、説得後のレンスターアーマーは攻撃されるっていうね
[1238.902] (S)テムおじ: 組み合わせは完全ノーヒント
[1243.131] (S)zyagamon: Sドリンク惜しんでる場合じゃない
[1244.974] ryuka1983: レンスター兵一人も殺さないといいことあるよ
[1245.040] (S)avmajvm: 聖戦でみたような気がする顔だな・・・
[1246.662] sasakumadrops: 取り敢えず名前とトークのメモがいるのか？
[1246.962] (S)ぐぐっす: 捕虜おみくじ始まったな
[1258.845] (S)zakkn: メンバーカードもとるとくそげーが加速！
[1266.954] (S)zyagamon: 捕虜の組み合わせだけ聞いちゃえば？
[1272.254] (S)punitaman: ちょりーっす
[1278.138] (S)avmajvm: 8x7x6x5x4x3x2x1パターン試すってマジ？
[1279.530] MazicMozaic: 810万回かかるな
[1285.373] (S)kiku1133: きっつ
[1289.016] ~MISSING_COMMENTER_INFO~: おっすおっす
[1292.706] asayan1257: 宝箱も開けるとなるとアンロックの杖も欲しいかな
[1306.402] ~MISSING_COMMENTER_INFO~: １８章かあ
[1307.650] (S)icyblue1985: 狂気の沙汰
[1309.004] SawayakaFaraday: GivePLZ
[1309.019] (S)zakkn: 市民は勝手にうごいて話すよ
[1309.592] (S)テムおじ: 捕虜は自分で話しかけに行ってくれるから渋滞しないように交通整理だけすればおｋ
[1318.241] (S)あと1983: 天国に行く方法って感じ
[1318.668] (S)zyagamon: なるほどね
[1319.965] (S)ruku16: 盗賊が左右になるように調節しないと
[1334.949] (S)nagilay1: 市民が勝手に会話相手によっていくから大丈夫、ただし即死する
[1337.433] (S)Sorachan1144: ワクテカしてきた
[1341.811] ~MISSING_COMMENTER_INFO~: とんでもなくめんどくさいんだよな
[1345.611] (S)tukioni: 聖戦士バルド/黒騎士ヘズル/剣聖オード//大司祭ブラギ/弓使いウル/斧戦士ネール/竜騎士ダイン/槍騎士ノヴァ/聖者ヘイム/魔法戦士ファラ/魔法騎士トード/風使いセティ
[1350.200] tololo86: ただし即死するやばい
[1350.370] (S)icyblue1985: 即死w
[1356.629] ryuka1983: 出撃位置イジれないのほんとクソ
[1357.059] (S)zakkn: メンバーｃはおしえんでいいかｗ
[1359.976] (S)une3333: ただし即死するw
[1360.418] rm_rf__: 3日くらいかかると予想
[1361.158] ~MISSING_COMMENTER_INFO~: ネタ知っててもめんどくさくて仕方ないっていう
[1364.030] (S)avmajvm: 市民さんどうしてすぐ死んでしまうん
[1364.563] sasakumadrops: さらっと即死とかワロタ
[1366.768] (S)zakkn: いてみましょー
[1374.807] (S)kurataro: 三日で終わったらマシなのでは
[1376.432] (S)テムおじ: 初期位置の調整が難しかったらレスキューとワープ使った方が早い
[1384.585] (S)une3333: 道をあけーい！市民さまのお通りじゃー！ってしなきゃダメなのね
[1394.857] (S)call49: むんっ！
[1398.688] (S)avmajvm: この状態で頑張るより、やり直して万全にするほうが早いんじゃないのｗ
[1399.074] ぱーーまん: ここはアーマーを担げる体格の人がいると便利だった気がする
[1423.688] ~MISSING_COMMENTER_INFO~: こんだけめんどいとゼーベイアって周回やりこみ勢には切り捨てられまくったそう
[1429.382] ryuka1983: はやくもさよならマチュアしそうｗ
[1435.661] sasakumadrops: これでターン制限あったら俺なら投げるな…
[1451.438] (S)zakkn: 評価Aとるには仕方ないよなぁ！
[1452.935] (S)nagilay1: 相手の体格ランダムだから、体格20引いたらオワ
[1455.573] (S)売れないバンドマン41: 今回は心もとないメンツで出陣だね
[1465.854] ~MISSING_COMMENTER_INFO~: アウグストの戦力分断の計発動してる・・・
[1480.972] SawayakaFaraday: no
[1482.157] (S)売れないバンドマン41: タニアおったか
[1484.958] (S)ruku16: 前回が主力全投入だったからなぁ
[1488.650] (S)call49: 最強のアーチャーを抱えた梅原軍
[1500.142] (S)zakkn: 戦力がいるとこじゃない気はする
[1501.775] (S)icyblue1985: 英霊タニア
[1505.769] (S)LeoLeo_123123: まあ倒しちゃうよね…
[1507.445] ~MISSING_COMMENTER_INFO~: 頑張って説得しても大して強くなかったような・・・
[1508.037] SawayakaFaraday: BibleThump
[1514.482] (S)売れないバンドマン41: 後の英霊わろたわ
[1514.613] SawayakaFaraday: nooooooo
[1520.853] (S)nagilay1: タニアは回避すごいからな
[1527.001] (S)zakkn: アーチャーか
[1527.201] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[1527.409] (S)ruku16: まあ稼ぎしてなけりゃメンバーカードは別に
[1537.168] (S)nagilay1: 仲間にしても使うことはないな
[1547.919] (S)zakkn: ねぎりおじもおらんしなあ
[1556.553] ryuka1983: サラ手ぶらじゃねーかｗ
[1574.266] (S)icyblue1985: 肉壁の彼
[1575.236] (S)nagilay1: 確かに金なかったらメンバーいらんか
[1576.021] (S)pikachupikac: hello boys
[1577.020] (S)zyagamon: これ扉開けると勝手に動くパターン？
[1589.693] (S)nagilay1: サラ武器なしかよww
[1593.820] (S)ruku16: さすカリ
[1603.534] (S)call49: こーれはうざい
[1603.878] ryuka1983: 開通するまでは動かなかった気がする
[1609.387] (S)売れないバンドマン41: 今エース級ってマリータタニアカリオンフェルグス以外にいる？
[1612.620] SawayakaFaraday: GivePLZ
[1613.984] ~MISSING_COMMENTER_INFO~: ワープじゃないと無理なやつじゃね？
[1622.157] ~MISSING_COMMENTER_INFO~: 中身なんだっけあれ
[1627.787] (S)nagilay1: アンロックないときついぞ
[1633.456] (S)zakkn: オルエンはびみょいかまだ
[1636.444] biyabo: Daigo, buy and stream Wargroove tomorrow! 
[1642.825] ~MISSING_COMMENTER_INFO~: ボディリングか
[1645.148] showsbsp: トラキアあった
[1649.524] (S)pikachupikac: anibady wont play jackbox on my chenal afther this ?
[1651.175] (S)nagilay1: 左上は書だな
[1653.641] (S)call49: 音が怖い魔法
[1665.612] (S)売れないバンドマン41: あーそういえばオルエン活躍してるね
[1670.956] ~MISSING_COMMENTER_INFO~: ワープ使った方がいいな
[1675.302] (S)nagilay1: ボディも書もめっちゃ欲しい
[1683.418] ~MISSING_COMMENTER_INFO~: ひとごろしー
[1690.081] (S)ilm0806: ときどの話はすでに出た？
[1695.135] ryuka1983: 踊り子の持ち物見てｗ
[1700.313] (S)oheya36: 踊り子のもちものｗ
[1700.802] (S)zakkn: 最重要アイテムボディリング
[1705.121] (S)LeoLeo_123123: おどりこいいもんもってる
[1708.040] (S)ilm0806: サイゲ入りはあるのかな
[1709.347] (S)売れないバンドマン41: ときどどうしたん
[1711.261] 一窝小鸡: この道を進むのみ！
[1715.510] (S)zakkn: いいもんもってんな！
[1716.617] でりすこ: ウメの配信で聴きすぎて最近この曲が仕事中脳内で一生流れてる
[1717.878] ~MISSING_COMMENTER_INFO~: 踊り子も戦闘員と見なされる世界観こわ
[1717.985] (S)toshioj: へー良いもの持ってんだな
[1724.116] (S)punitaman: 一回リセして再確認して
[1725.179] (S)zyagamon: ボディリング
[1743.501] sasakumadrops: ワープももってこ
[1745.993] SawayakaFaraday: GivePLZ
[1747.650] (S)ilm0806: ときど、ＥｃｈｏＦＯＸとの契約終了
[1749.372] (S)toshioj: あいつらが踊るせいでこっちが危ないからね
[1755.373] (S)oheya36: このゲーム、位置別れるマップの調整しづらいよなー
[1770.095] ryuka1983: レスキュー
[1770.233] (S)むらちゃん: この面はまさに、ハラハラって感じだな
[1771.746] MazicMozaic: いいもんもってんじゃん（ゲス顔
[1771.795] (S)zyagamon: バニラときど
[1779.479] (S)売れないバンドマン41: エコフォと終了か。まぁそういう会社だったっぽいし・・・
[1780.023] gyahhaa: 海外勢がアンロックの杖を使えと言ってる
[1782.184] (S)oheya36: 奇数← 偶数→
[1784.034] ドア裏最高: topangaにユニフォーム着てこなかったし明白
[1789.432] ~MISSING_COMMENTER_INFO~: アンロックなるほど
[1791.748] (S)nagilay1: アンロック使ったほうがいいぞ
[1798.707] (S)zyagamon: なんか続々とエコフォやめてるね
[1806.647] (S)zakkn: エコフォどうして・・
[1810.072] (S)nagilay1: むしろないときつい
[1811.598] (S)punitaman: Use Unlock wand
[1813.373] (S)クズ220: 位置調整出来ないのがクソいよなこのゲーム
[1819.460] showsbsp: ときどは、自分で株式会社マーダーフェイスつくって自分をスポンサードしよう
[1820.273] (S)zakkn: ティナっち
[1824.350] (S)ilm0806: エコフォは格ｹﾞｰ興味なさそうだね
[1824.593] LuizEduardoMB: ThankEgg
[1825.682] ryuka1983: 宝箱も開きますよ
[1832.232] ~MISSING_COMMENTER_INFO~: トラキアそんな杖あったんだなあ 忘れてた
[1833.803] (S)toshioj: アンロックの説明わかりづれえよな
[1838.290] gyahhaa: 宝箱の中身をゲット
[1839.329] (S)oheya36: 宝箱も遠くから取れる
[1839.504] honeta39: 中身をとる
[1846.407] (S)zakkn: ゲッツ
[1851.398] (S)call49: とんでもねぇ時空転移魔法だ
[1851.521] (S)nagilay1: 宝箱あけれる
[1856.327] SawayakaFaraday: use unlock wand to open northwest box and east box
[1861.116] showsbsp: 盗賊プリースト
[1863.418] ~MISSING_COMMENTER_INFO~: ティナも公式チートだなあ
[1884.848] ~MISSING_COMMENTER_INFO~: パーンに捕まえられるわけだ
[1888.700] asayan1257: この面は何回も試行錯誤が必要
[1891.535] jiaozijiaozi: かわいい顔してえげつないことやろなあ
[1891.904] (S)nagilay1: ボディリングを一番体格いい盗賊に使うといい
[1900.820] (S)売れないバンドマン41: 前回仲間にしたシスター誰だっけ。超強いらしいね
[1903.045] (S)toshioj: ティナいるかで戦況変わるっしょｗ
[1904.635] (S)harubou1123: まさかころしあうなんて
[1909.654] honeta39: ナイスサンダー
[1916.868] でりすこ: このステージマジで何回もやらされたわ
[1937.941] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1941.834] ~MISSING_COMMENTER_INFO~: サラは強くなきゃ逆におかしい枠だからなあ
[1947.846] (S)nagilay1: サラはちゃんと育てて、hp上げれば最強
[1948.001] (S)zyagamon: なぜ一人スルーした
[1953.955] (S)toshioj: サラ怖くて使えねえわ
[1954.020] (S)punitaman: 強い魔導士いたらリワープで雑魚一層しにいけるのになぁ
[1957.161] (S)売れないバンドマン41: サラか、サンクス
[1968.116] juicestand: holy crap so many ads recently. hard to continue watching the fire emblem stuffff
[1977.663] SawayakaFaraday: BibleThump
[1982.189] ~MISSING_COMMENTER_INFO~: あのロリは化け物揃いの世界観の中でもＳ級妖怪
[1992.000] KaLam1ty: PogChamp
[1993.889] (S)punitaman: yep. So you'd better to subscribe this channel!!
[2013.000] (S)売れないバンドマン41: 男性陣もがんばってほしいなぁ
[2034.338] MazicMozaic: でもサラは係数0じゃなかった？
[2035.348] SawayakaFaraday: soldier 
[2035.505] (S)nagilay1: 守備と体格以外20になるぞ、守備も14くらいはいく、それで再行動しまくりの射程1-2
[2037.494] showsbsp: オー神
[2075.975] grblkun: このステージほんと嫌い
[2086.909] (S)toshioj: 何があるかわっかんねーからドーピングアイテム取っとく主義なせいで、当たったら死ぬサラ使えねー
[2092.162] (S)zyagamon: サラぶっ壊れなのか
[2099.412] (S)punitaman: オーシンとハルヴァンも結構強くなるはずなんだけどな
[2108.820] musouzankouka: やばいです
[2109.790] ~MISSING_COMMENTER_INFO~: 一回使えばわかる
[2112.369] ぱーーまん: サラは成長率すごい
[2112.780] (S)toshioj: 俺のサラLv20で守備0だよ？確か
[2113.087] (S)call49: ドーピングアイテムは好きなキャラに使うにかぎる
[2114.520] ~MISSING_COMMENTER_INFO~: マリータ並みの優遇措置がある
[2114.627] (S)nagilay1: エリート持ってるからすぐ育つしな
[2114.775] honeta39: サラはマリータ並の公式チート
[2116.581] yukihiro3417: サラはスキルがね
[2116.774] ぱーーまん: スキルもすごい
[2123.015] honeta39: スキルがやばい
[2126.148] showsbsp: たたずまいｗ
[2130.488] (S)oheya36: 再行動率もすごい
[2133.078] (S)llflyingfish: スキル見てー
[2135.344] sasakumadrops: スキルみよう
[2137.693] SawayakaFaraday: GivePLZ
[2138.090] Jaguar_kick: サラはここでもすごい便利
[2139.514] (S)売れないバンドマン41: 再行動すごいよなぁ
[2142.695] 카키모노: jeonddEye3
[2143.276] (S)zakkn: 再行動５ッケイ
[2145.033] (S)元気な変態おすぎ: 佇まいは初めて聞いたｗ
[2153.705] ~MISSING_COMMENTER_INFO~: 登場章が遅いっていうハンデを苦にしない珍しいタイプ
[2154.935] rm_rf__: いぶし銀のフェルにい
[2197.183] (S)売れないバンドマン41: フェルにぃは魔防上がれば相当良さそう？
[2211.042] (S)gasuto696: おはようございます 
[2234.391] ~MISSING_COMMENTER_INFO~: ウメちゃんに光当たってる？
[2249.989] (S)zyagamon: アンロックつえー
[2250.759] (S)zakkn: リフィにい体格なんぼだっけ
[2253.490] SawayakaFaraday: GivePLZ
[2254.540] フラワーライト: おはよーそしておやすみなさい(´・ω・`)
[2255.217] asayan1257: ボディリングはシーフに使いたい
[2258.800] (S)toshioj: このステージせめて出撃場所選べればな・・・
[2260.175] gyahhaa: ボディが甘いぜ
[2260.903] (S)売れないバンドマン41: うめちゃん焚き火の前みたいだな
[2262.989] (S)ttp_hayato: 体格うまお
[2282.329] MazicMozaic: ボディリングしってた？
[2302.784] (S)zakkn: 気づきの
