[3.050] (S)Seiran7343: radaoRainbow
[32.528] baceneKo: radaoKitya
[32.550] しょぉ: radaoHi
[32.554] (S)pro_arc7: radaoHi
[32.658] re0mi1283: radaoHi
[35.131] いのりさん: radaoHi
[35.134] (S)みみミみ: radaoHi
[35.134] (S)Itsuse_5: radaoHi
[35.151] truthdayo: radaoHi
[35.202] zabuton5mai: radaoHi
[35.333] (S)ぽちゃぽちゃにゃんこ: radaoHi
[35.334] sqchq_n55: radaoHi
[35.354] snow__forest: わこらだ 
[35.416] keren_fox: radaoHi
[35.450] (S)rinpo0412: radaoHi
[35.536] (S)ねこねこお嬢: radaoHi
[35.546] (S)nasu_nameko: wakorad
[35.554] niranin12: radaoHi
[35.562] (S)suzunone_: radaoHi
[35.562] 銀杏歩: radaoHi
[35.719] niabygg88: radaoKitya
[35.725] (S)ほりいしなぁる: radaoHi
[35.758] Manyuppe: radaoHi
[35.882] (S)hao_0001: radaoHi
[35.920] (S)minmin_cheese: radaoHi
[36.271] (S)kanose217: radaoHi
[36.316] yurun_62: radaoHi
[36.318] (S)sirose__o: radaoHi
[36.429] hoozuki05: radaoHi
[36.498] morry1063: radaoHi
[36.512] (S)あいら0626: radaoHi
[36.528] (S)koko55557373: radaoHi
[36.532] (S)まるちゃんるね: わこらだ
[36.619] (S)tmkhawk: radaoHi
[36.674] (S)キャスニキの杖: radaoKitya
[36.708] りあるやめる: わこらだ！！！
[36.721] (S)前原渚: radaoHi
[36.750] ayunosioyaki0223: radaoHi
[36.874] ゆずシフォン: radaoKitya
[36.885] enwasabi: radaoHi
[36.908] (S)anko_mochi0319: radaoHi
[36.918] (S)灰崎狂葵: まじか
[38.155] (S)d___rose: radaoHi
[38.275] すんちゃん_0777: radaoKitya
[38.360] るんぱっぱ12: ないと思ってたw
[38.370] (S)ぱぐぞぅ: radaoHi
[38.375] (S)ですねく: わこらだ
[38.398] ~MISSING_COMMENTER_INFO~: radaoBanzai
[38.407] (S)ririca03: radaoHi
[38.454] (S)samu_hikan: わこらだ！！
[38.455] (S)rukan_x3: ないと思ったらあるんだよ
[38.484] (S)あっひょ: radaoKitya
[38.488] (S)yami_kyourou: radaoHi
[38.535] non_non_0607: radaoHi
[38.568] なっち: radaoHi
[38.578] (S)ねこねこお嬢: radaoHi
[38.600] (S)osato_azi77: radaoHi
[38.716] スパーズ: わこらだ
[38.733] (S)フロント受付: radaoHi
[38.778] なんでもいい: radaoHi
[38.792] リムヲ: radaoKitya
[38.881] mizu_ha__: radaoHi
[38.917] (S)rarara93: radaoHi
[39.330] 未那人: radaoHi
[39.522] 苺ましゅまろ: わこらだ
[39.540] (S)こっと_: radaoHi
[39.544] yamanotannbo: radaoHi
[39.546] attui_ice: radaoHi
[39.549] (S)iruneko: わこ
[39.551] kyoutya: radaoHi
[39.600] you__________u: radaoHi
[39.670] ficsiom: わこらだ
[39.740] くずらふじ: radaoHi
[39.750] naovv: radaoHi
[39.767] (S)みなと37: radaoHi
[39.788] piroropiro: radaoHi
[39.845] ポテチの子: わこらだ 
[39.895] (S)ねひと: radaoKitya
[41.191] こばゃし: わこらだ 
[41.237] chura6666: radaoBanzai
[41.240] tanan15: わこらだ
[41.259] (S)イオカ: radaoHi
[41.260] it_makimasa: radaoHiradaoHi￼￼ 
[41.270] 大宮瑞樹: radaoHi
[41.299] (S)ユーミア: radaoHi
[41.448] (S)hisuiiiiiiiiiiin: やるんだ
[41.498] るおはゲーム下手: radaoHi
[41.505] roy_rag: ないと思ってたわこらだ
[41.520] n0413taro: radaoHi
[41.592] sierra2526: radaoHi
[41.654] mathneko29: radaoHi
[41.686] (S)toura_me: radaoHi
[41.690] (S)karamiii_715: radaoHi
[41.754] (S)みんとだよ: radaoKitya
[41.758] (S)on_mame: radaoHi
[41.770] 痲芽: どした！？
[41.872] (S)ねこねこお嬢: radaoKitya
[41.879] (S)azuimmo: radaoHi
[41.887] ちったむ: radaoHi
[41.893] (S)rarannge: radaoKitya
[41.901] 名無し333: radaoHi
[42.409] るんぱっぱ12: radaoHi
[42.489] れもんちぃ0: ご飯食べたか
[42.491] aosun_: radaoHi
[42.524] (S)ももはる_: あるんだよ
[42.531] rekrex_09: radaoHi
[42.551] re0mi1283: radaoBanzai
[42.570] (S)roni_0624: radaoHi
[42.759] らくだちょこ: radaoHi
[42.795] おはぎちゃん_: radaoHi
[42.808] (S)みりぃもち: radaoHi
[42.812] (S)にびびび: radaoKitya
[42.848] wofuda: わこらだ
[42.859] 宮菜: radaoHi
[42.882] リムヲ: radaoHi
[44.293] uki_1358: わこらだー
[44.300] (S)名無しｻﾝ: radaoHi
[44.321] なすんび: おはよー
[44.368] まっかっだっみっあ: やったー！！
[44.509] skr_46: radaoHi
[44.511] peskapes: radaoHi
[44.530] (S)matyateya: わこらだ！
[44.642] suzu_o3o: radaoHi
[44.816] ねるいさん: radaoHi
[44.905] aka0907: radaoHi
[44.954] (S)ねこねこお嬢: radaoKitya
[44.960] (S)ai0902: radaoHi
[44.998] (S)nakaringo: radaoHi
[45.041] (S)yukimaru_777: radaoHi
[45.089] (S)しろきる: わこらだ
[45.156] with4159: radaoHi
[45.209] (S)シナナナ: radaoHi
[45.227] (S)ゆう1151: radaoHi
[45.280] ko_ko_rabi: わこらだ
[45.295] oldish_widow6: わこらだ
[45.330] (S)まるちゃんるね: radaoHi
[45.452] (S)reireireire: わこらだ 
[45.478] (S)rimaru10: radaoHi
[45.731] ｻｧｻ: radaoHi
[45.786] kinon00: やったあああああ
[46.257] orio_2005: わこらだー
[46.373] (S)gyaimo: radaoKansya
[46.374] yua_nanod: コメント制限してないよ！！！
[46.471] noru8575: radaoHi
[46.536] (S)ももはる_: radaoHi
[46.582] (S)haru_chan92: radaoHi
[46.591] 夢現: ﾅｶｳｰ？
[46.632] あるみ屋: よかったです
[46.767] choko325: radaoKitya
[46.790] mimipaadesu0428: radaoHi
[47.399] pontaaaa000: きたーーー！
[47.446] (S)charon0413: radaoHi
[47.457] ﾏｲﾁｮ: やるんだよね
[47.544] raya_0416: radaoOtu2
[47.560] sakumaru0706: radaoHi
[47.578] (S)ayashi_aaa: radaoHi
[47.597] (S)ramune_sky: わこらだ！ 
[47.603] (S)linne_222: radaoHi
[47.606] (S)sakusakurano: radaoHi
[47.615] (S)magiku: radaoHi
[47.619] 暗黙の緑茶: わこらだ
[47.673] waakari2003: radaoKitya
[47.777] poru1010: わこらだ
[47.986] mintos3: radaoKitya
[48.082] (S)halcloud: 2回行動 
[48.114] (S)salyu__: きちゃああああああああ
[48.201] (S)ユーミア: きたー！、
[48.229] (S)halu0622: radaoHi
[48.230] ポテチの子: ないと思った
[48.244] reo_014: わこらだ
[48.307] (S)hnnnnnk173: radaoBanzai
[48.458] 名無し333: 何食べたの
[48.544] 滑鶏: radaoHi
[48.560] (S)osato_azi77: 何食べた?
[48.629] kasannoda: radaoHi
[48.721] あっすー_: radaoHi
[48.739] tanaka_chann: radaoHi
[48.761] (S)kusopann: マジで配信感謝！！！
[48.779] hima_norita: 何食べた？
[48.784] 明日花ちゃん: 2回行動感謝
[48.785] (S)봄_ぽむ: radaoHi
[48.796] (S)ひなしろ: わこらだ！！やったー！！！
[48.834] waterdragon131: radaoHi
[48.912] すぶた184: radaoHi
[49.093] (M)ur4n_002: 「〇〇したら？」「〇〇する？」等の指示コメや鳩コメ禁止。他者への暴言下げコメは即BAN。BAN＝視聴不可
[50.473] omiz77777: うおおおお
[50.511] (S)magiku: radaoBanzai
[50.512] (S)poohsanoshi: やると思ってなかったわ
[50.640] soso_yuruyugu: radaoHi
[50.672] (S)yomoyomoyomochan: わこらだーーーー！！！！！
[50.704] (S)クリームソーダ301: radaoHi
[50.831] ameneko64: radaoHi
[50.848] (S)冷凍みかん3: ありがっとおおおおおお
[51.334] bb18yb: radaoHi
[51.578] 茶々眠: radaoHi
[51.579] (S)べる29: るん！ 
[51.790] kurai_6: radaoHi
[52.025] (S)南雲ン: 待ってたよー
[52.143] with4159: やるんかい
[52.167] kohaku1379: radaoHi
[52.249] kobu_da: radaoHi
[52.254] (S)キャスニキの杖: 待っててよかった 
[52.335] (S)ぴとぶる: わこらだ
[52.347] ひなづき0712: radaoOtaku
[52.582] many7575: さっきぶり
[52.765] u_cha_n: なにたべたの？？
[53.264] (S)aria345: radaoKitya
[53.492] よわはと: radaoHi
[53.577] (S)なーとんとん: radaoHi
[53.797] manakaito: ないと思った〜〜！！
[53.947] (S)Gerugerumanimani: radaoHi
[53.982] (S)re_rito: radaoHi
[54.522] (S)なち222: 2回行動感謝
[54.617] (S)鮎の開き: radaoHi
[54.999] pirunn: radaoHi
[55.244] (S)Natsuuuunn: わこわこ
[55.470] kenmaron23: 今やばいぞ笑
[55.686] あるみ屋: radaoHi
[55.838] あだちたろう: あだちたろう subscribed at Tier 1. They've subscribed for 48 months! 
[56.608] (S)明日も頑張ろう: おはよー！
[56.623] (S)ぱるふぇさん: わこらだ 
[57.202] (S)かーな: わこらだ
[57.475] mochi_00v: radaoHi
[57.498] とまときゃんでぃー: radaoHi
[57.500] 柳りう: radaoHi
[57.696] (S)xonaaox_: radaoHi
[57.909] (S)wancoon: radaoHi
[58.180] baceneKo: radaoBigcry
[58.462] many7575: あるんかーい
[58.884] (S)haru_0niko: radaoHi
[59.127] (S)rukan_x3: 何食ったん
[59.129] (S)マロン_: radaoHi
[59.299] ayunosioyaki0223: radaoGJ
[59.562] (S)uriper88: radaoHi
[59.650] (S)ねけめれ: radaoHi
[59.787] michiru0808: わこらだ
[59.848] (S)KAN4GI: radaoHi
[60.140] (S)こゆび_: radaoHi
[60.218] (S)安岐: radaoHi
[60.234] (S)えぬドット: 満足でなりより
[60.346] egve2576: radaoHi
[60.889] (S)salyu__: 今日もうないかと思ったァ〜
[61.100] (S)烏ﾉ尾羽: radaoHi
[61.332] potetyo_: radaoHi
[61.465] (S)choco_79425: radaoHi
[61.825] (S)harapeko911: radaoHi
[62.020] (S)瀬那ち: あるぇ？？ないとおもってた、、
[62.056] (S)come_pan_: なにくったん
[62.456] ne___mu: やるんだよ
[62.509] (S)だうな九五一: radaoHi
[62.573] (S)未来から北鮭: radaoHi
[63.040] (S)破滅のミトコンドリア: radaoHi
[63.273] (S)blbblbblbblb: わこらだ
[64.092] (S)tak_7228: ないと思った
[64.329] (S)らら茶: radaoHi
[64.444] (S)桜楼花: radaoHi
[64.506] many7575: わこらだー
[64.573] (S)Hyper_ringo: え
[64.599] (S)dgiwicmat: radaoHi
[64.605] (S)ｼｷ_: radaoKansya
[64.657] (S)aibou0511: radaoHi
[64.764] (S)sakusakurano: 配信きちゃあ
[64.991] m_taku: radaoHi
[65.175] (S)にびびび: いっぱい
[65.217] mobtom1310: radaoBanzai
[65.237] るこるる: 満腹か
[65.369] れもんちぃ0: え？
[65.758] (S)あつこ_0609: おはよー！
[65.893] (S)るりあげは: わこらだ
[66.104] (S)kiiroitori41: わこらだ
[66.690] あっすー_: え？
[67.015] ちゃゃの: え？
[67.261] Takeko_da: radaoHi
[67.441] (S)komatuna_pipipi: radaoHi
[67.488] (S)にびびび: え
[67.494] (S)ねひと: え
[67.503] きおるん: おか
[67.701] jeremiah_9s: え
[67.777] ko_ko_rabi: radaoHi
[68.010] ankoro0825: わこらだ
[68.125] hima_norita: え？
[68.151] (S)あっひょ: え？
[68.158] (S)ねけめれ: e
[68.402] (S)oggiooo: ないと思ってたわ
[68.424] (S)未来から北鮭: え？
[68.880] (S)えぬドット: え
[69.098] (S)suzunone_: え？
[69.199] (S)halcloud: いきなりなんだ？
[69.304] (S)hatt_u: え？
[69.504] (S)kurageru: radaoBanzai
[69.598] (S)red_S10: どうした？？？
[69.706] ゆずシフォン: え？
[70.418] (S)tmkhawk: ？？？
[70.539] nekodama2155: 何事？？？
[70.569] (S)破滅のミトコンドリア: わこらだだーー！
[70.584] (S)璃喜: 何事起きてるwww
[70.639] (S)osato_azi77: え？
[70.680] (S)matou_06: 何事＿？＿＿？？？
[71.942] わらびもち_11: え？
[71.984] ~MISSING_COMMENTER_INFO~: え
[72.086] (S)maro__ma: え？
[72.113] (S)鮎の開き: え？w
[72.153] emazkirin: わこらだ
[72.369] (S)nanoka_piyo: わこらだ
[72.616] ひのした: え
[72.639] (S)えぬドット: 警察???
[72.925] (S)ｼｷ_: wwwwww
[73.077] baceneKo: www
[73.275] (S)コンさん: え
[73.763] (S)yomoyomoyomochan: 何事wwww
[74.513] chashibu_310: ええええええ
[74.559] cha_ti: radaoHi
[74.634] ayunosioyaki0223: え
[74.843] みえのえ: わこらだ
[74.901] れいるさん: え
[75.012] tanuki_pan: 大事件？？
[75.068] (S)ritoxx12: え？
[75.534] itonemushi: こん
[76.096] (S)blbblbblbblb: え
[76.177] (S)suzunone_: なにごと？
[76.193] 紗弥0926: え？
[76.811] (S)ねこのみー: わこらだ
[77.012] baceneKo: え？
[77.039] (S)fukun_3651: わこらだ
[77.107] _まいまいちゃ: radaoHi
[77.666] yuki_empty: え？
[77.718] (S)鮎の開き: ポリいますやんw
[77.902] るこるる: ？？？
[77.931] れもんちぃ0: 気まずwwww
[78.245] (S)破滅のミトコンドリア: ん？？？
[78.296] (S)kurageru: あれ？？
[78.341] リムヲ: え？
[78.763] あるみ屋: なにごと？ww
[78.985] (S)rukan_x3: え
[79.009] からたべ: radaoHi
[79.015] (S)kiiroitori41: え？
[79.367] _イオ_: radaoHi
[79.396] (S)Hyper_ringo: なにごと？
[79.567] さかあお: radaoHi
[81.840] (S)えぬドット: ズズもいるw
[82.689] (S)さわタイ焼き: radaoHi
[83.435] はっる坊: radaoHi
[83.895] (S)kanae2004: wwwwwwwwwww
[84.301] ゆずシフォン: どういう事？
[86.132] (S)irumi_h: 笑笑笑笑笑笑笑
[86.498] muiisgod: radaoHi
[86.726] シュウ米: radaoHi
[87.135] あるみ屋: よいしょww
[87.187] tarabaaaa: 開始早々なにこれ？？？？？？？
[88.118] (S)ドラ吉: radaoHi
[88.217] (S)otooto_: radaoHi
[88.217] とり肉: 情報量何？
[88.240] (S)arisa_184: ？？？
[88.837] baceneKo: こんにちはw
[88.865] (S)towa1228: radaoHi
[89.030] (S)pe1c0Nu: radaoHi
[89.055] (S)破滅のミトコンドリア: radaoHatena2
[90.221] (S)依田三雲: radaoHi
[90.430] (S)halcloud: なんでズズがいるｗ
[90.807] (S)seiasama: radaoHi
[90.894] (S)akaigori: なにこれwww
[90.957] (S)kanae2004: ナニコレ
[91.058] kanariatobu: わこらだ
[91.130] (S)ささみみさん: radaoHi
[91.907] あっすー_: radaoHatena2
[92.166] kotutuki_: radaoHi
[92.440] 紗弥0926: え？？？
[92.972] (S)hisuiiiiiiiiiiin: ？
[93.058] frogflingpstfst: radaoHi
[93.565] ぬちゃん: radaoHi
[94.271] (S)えぬドット: 起きたらカオス
[94.938] (S)maro__ma: 何事だ？？
[95.369] (S)kanae2004: radaoHi
[95.962] (S)suzunone_: え？
[96.000] ゆずシフォン: ん？
[96.170] minibanbi: radaoHi
[96.429] (S)ねこねこお嬢: ？？？
[97.039] (S)suuchaaa: radaoHi
[97.304] ゆき_りな: radaoHi
[97.504] (S)ももあられ: radaoHi
[97.983] (S)buruguri: radaoHi
[98.733] (S)新田です: radaoHi
[98.741] baceneKo: wwwwww
[98.849] ichigomilk_252: カオス
[98.997] (S)たけじ: radaoHi
[99.092] ゆめきり: radaoHi
[99.397] くるくく: radaoHi
[100.645] のありす: radaoHi
[100.797] (S)鮎の開き: もめてる？
[100.826] (S)go_yan54: radaoHi
[101.366] (S)ねけめれ: www
[101.481] (S)salyu__: 歓迎会
[101.605] (S)suyuta05: radaoHi
[101.775] (S)dash_1324: なんだなんだ
[102.005] (S)みう____: radaoHi
[102.313] ryotamk_2: radaoHi
[102.474] (S)huu0609: radaoHi
[102.530] (S)さねまる: radaoHi
[102.544] (S)破滅のミトコンドリア: radaoHatena2
[102.970] (S)未来から北鮭: なんでwww
[103.705] (S)komatuna_pipipi: wwwwww
[103.710] (S)Rio__44: radaoHi
[103.753] hima_norita: wwwwwww
[103.892] emazkirin: え？ｗｗ
[104.031] (S)yunyun7171: radaoHi
[104.164] (S)たけのこ88: radaoHi
[104.432] あおなつ: radaoHi
[104.745] (S)momi3374: きたー
[104.993] れもんちぃ0: なんでやねんwww
[105.078] (S)aibou0511: 情報量えぐいw
[105.178] みさお婆ちゃん: www
[105.199] ichigomilk_252: www
[105.298] nqta_coconut: radaoHi
[105.497] (S)halcloud: えwwwww
[106.580] ryou2432: radaoHi
[106.840] ゆずシフォン: なんで？w
[107.218] 佐野ちャん: radaoHi
[107.367] (S)あっひょ: wwwwwwww
[107.537] (S)ねこねこお嬢: えっ？
[107.953] るこるる: えw
[108.333] (S)ねけめれ: え？www
[108.357] アルカイド: radaoHi
[108.439] (S)suuchaaa: なんで？
[108.623] あるみ屋: なんで？ww
[109.194] (S)しょーゅぅ: radaoHi
[109.289] (S)刺し身の蒲焼き: radaoHi
[109.317] frogflingpstfst: わからんｗ
[109.702] emazkirin: radaoHi
[110.656] (S)fuki_5: わこらだ
[111.181] (S)hoshi_54: わこらだ
[111.434] sunomono8: radaoHi
[111.642] (S)maro__ma: え？www
[112.091] (S)リリシア013: radaoHi
[112.476] mamo_tarou: radaoHi
[112.895] (S)しめったチワワ: wwww
[113.882] lycoris8: タイミングよwww
[114.269] (S)yunyun7171: ドタバタしてるw
[115.294] (S)akaigori: なんもわからんwww
[115.392] (S)nico_kk_mp: い、今じゃない
[115.596] (S)himaleo: radaoHi
[115.672] (S)yui1yui: radaoHi
[116.137] ichigomilk_252: え？
[116.342] (S)破滅のミトコンドリア: radaoW
[116.747] sotono213: sotono213 subscribed with Prime. They've subscribed for 21 months! 
[117.397] (S)鮎の開き: 寝起きコントやんw
[117.593] (S)tsugumi_maigo: radaoHi
[117.775] (S)omuricemogumogu: radaoHi
[117.828] (S)yomoyomoyomochan: なんかやってますねwww
[117.830] るこるる: もめごと？
[117.978] kurose_i: え？
[119.415] (S)hisuiiiiiiiiiiin: え？
[119.633] (S)mikami_70: radaoHi
[119.676] imoyoukanmaru: radaoHi
[120.925] hima_norita: え？？
[121.165] (S)ky0to23: まじでおもろいw
[121.208] 佐野ちャん: 来て早々なにｗｗｗ
[122.663] (S)suzunone_: なんで？
[122.726] るこるる: え？
[123.808] (S)sakura51867: radaoHi
[124.042] (S)さわタイ焼き: radaoHi
[124.349] (S)ねこねこお嬢: なーにやってんだー
[125.200] emazkirin: なんで？ｗ
[125.408] (S)破滅のミトコンドリア: もめもめ
[126.762] key_0031: radaoHi
[127.016] るこるる: なになに
[127.190] (S)pepechi80: タイミングがすごいんだよもうｗ
[127.230] (S)salyu__: 舐められてね？
[127.696] (S)やしろーる: radaoHi
[128.053] (S)yunyun7171: 問答無用か？w
[128.266] ベニマル: radaoHi
[129.178] ほのぼの: radaoHi
[129.273] 銀杏歩: 起きて早々カオスw
[130.299] (S)miringo_4723: radaoHi
[131.250] tyontyon: radaoHi
[131.758] 猫雪: 起きてくるタイミングおもろすぎなんだけどww
[132.245] れもんちぃ0: なんで？www
[132.425] さつまいもおいしい: radaoHi
[132.637] ichigomilk_252: あー
[134.324] (S)篠影: radaoHi
[135.027] (S)未来から北鮭: 指名手配かw
[136.490] (S)いつは_: radaoHi
[136.750] (S)ｼｷ_: あら
[136.989] (S)えぬドット: イチャついてるだけならまぁ…
[138.044] (S)kumaqoo: radaoHi
[138.292] ryo_ngz: radaoHi
[140.043] ゆずシフォン: ww
[140.067] koromoti1219: radaoHi
[141.403] (S)karakar3: 指名手配はしゃーない
[142.521] るこるる: うぐ
[150.142] evacoler: radaoHi
[150.763] ゆんふぁ1123: radaoHi
[150.967] (S)Gerugerumanimani: 大型始まる前に逮捕者出そうだが？
[152.268] (S)てっちゃん115222: わこらだ
[153.157] (S)suuchaaa: 特に？
[153.778] jeremiah_9s: ズズwww
[153.992] sotono213: radaoHi
[155.169] (S)1nu_wnwn: radaoHi
[155.546] kakimoti3092: kakimoti3092 subscribed at Tier 1. They've subscribed for 23 months! 
[155.715] (S)potetoday: radaoHi
[156.985] hima_norita: wwww
[157.355] れもんちぃ0: wwwwwwwwwwwwwwwwwwwwwwww
[158.442] (S)篠影: www
[159.202] みさお婆ちゃん: wwwwww
[159.422] るこるる: ｗｗｗｗｗ
[159.521] まぐろミカン: radaoHi
[159.648] (S)suzunone_: wwwww
[160.103] itoyu_62: radaoHi
[160.818] あるみ屋: wwwwwwwwwwww
[162.118] (S)しめったチワワ: www
[164.276] (S)伽羅46: わこらだ 
[164.479] (S)maro__ma: www
[164.966] (S)yomoyomoyomochan: radaoW
[165.026] (S)murasaki24violet: 保護者ｗ
[165.156] るこるる: ｗｗｗｗ
[166.700] (S)えぬドット: ご要件はああああ
[169.427] ringo_11_11: radaoHi
[169.875] mamiyan0926: radaoHi
[172.313] aoneko_san: タイミングえぐいww
[175.831] (S)あっひょ: wwwwww
[177.047] さつまいもおいしい: wwwwww
[178.657] ichigomilk_252: ほなちゃうか
[178.810] _まいまいちゃ: wwwwww
[178.860] (S)yunyun7171: ならけーりなw
[179.385] ayunosioyaki0223: www
[180.049] hima_norita: wwwwww
[181.092] emazkirin: wwwwww
[181.105] ゆずシフォン: wwww
[181.709] (S)しめったチワワ: wwwwww
[181.713] tarabaaaa: ｗｗｗｗｗｗｗ
[181.788] あるみ屋: wwwwww
[182.399] isaco135: www
[182.416] るこるる: ｗｗｗｗｗ
[182.764] のありす: wwwwwww
[183.868] (S)kurageru: すごいタイミングｗｗｗ
[183.932] (S)laitea1124: wwwww
[184.069] (S)yomoyomoyomochan: 🍄
[184.274] 紗弥0926: ？wwww
[185.405] (S)kanae2004: きのこいじりｗ
[186.202] (S)ｼｷ_: wwwwww
[186.282] (S)yutankonasu: ？？
[186.332] あるみ屋: きのこさあw
[186.427] (S)hisuiiiiiiiiiiin: きのこw
[187.429] (S)otooto_: wwwww
[188.205] (S)破滅のミトコンドリア: きのこw
[190.241] 井田: radaoHi
[192.096] (S)ihiru_1: radaoHi
[192.866] kurose_i: ｗｗｗｗｗｗｗｗｗｗｗ
[193.298] uki_1205: ｗｗｗｗ
[193.411] (S)Rio__44: wwwwww
[195.013] (S)未来から北鮭: ちょっとまってね
[195.022] asabangohan1945: wwwwww
[195.159] nqta_coconut: wwwwww
[195.606] (S)suzunone_: wwwww
[195.706] (S)さわタイ焼き: wwww
[196.075] many7575: www
[196.963] jeremiah_9s: wwwwww
[197.162] kuugay0905: wwwwwwwwww
[197.162] (S)halcloud: wwwwww
[197.265] ryotamk_2: wwwwwwwww
[198.046] あるみ屋: wwwwwwwwwwww
[198.718] ゆずシフォン: wwwwwww
[198.805] (S)kokone0927: wwwwww
[198.932] ichigomilk_252: www
[199.839] sunomono8: wwwww
[200.046] (S)maro__ma: wwwwwww
[200.240] (S)Gerugerumanimani: 大富豪？
[200.300] (S)ｼｷ_: ちょっとまってねwww
[200.621] (S)seiasama: wwwwww
[201.109] (S)マロン_: wwww
[201.292] くるくく: wwwwwww
[201.784] ぺぺまる_0727: 指名手配確認中www
[201.963] 痲芽: 指名手配あるかなっとｗ
[202.278] (S)或ト: 警察からの～…
[202.478] roy_rag: 指名手配確認すなw
[203.010] (S)y0r1n: 指名手配チェックか
[203.222] わらびもち_11: wwwwww
[203.407] tarabaaaa: wwwwwwwwwwwww
[204.305] (S)夏吉: wwwwww
[204.504] frogflingpstfst: ｗｗｗｗｗｗ
[204.591] (S)arisa_184: 指名手配ｗ
[204.614] みさお婆ちゃん: wwwwww
[204.645] isaco135: wwwwwwwwwwwwwwww
[204.724] (S)akaigori: 指名手配されてたらヤバいwww
[204.775] aoironanairo: 指名手配チェックｗｗ
[204.801] れもんちぃ0: wwwwwwwwwwwwwwwwwwwwwwwwwwww
[205.027] ryotamk_2: 指名手配ねw
[206.278] (S)reiki_1220: radaoHi
[206.416] (S)suuchaaa: wwwwww
[206.451] (S)murasaki24violet: 確認ｗ
[206.585] karokaro23: 指名手配あるか確認してる？www
[206.669] hima_norita: wwwwwwwwwwww
[206.684] (S)未来から北鮭: 指名手配www
[206.800] (S)Hyper_ringo: wwwwwww
[206.809] 藍代: 指名手配か？ww
[206.825] (S)ranju83: 確認中ねw
[206.834] いのりさん: 指名手配チェーック！
[206.900] (S)pepechi80: ｗｗｗｗｗｗｗｗｗｗ
[207.071] リムヲ: 指名手配あるかなーw
[207.524] (S)たかなしはな: wwww
[207.741] baceneKo: wwwwww
[208.002] あるみ屋: 指名手配あるかなっとw
[208.247] hunting_nimo: 指名手配がね？
[208.294] (S)salyu__: radaoW
[208.473] (S)suzunone_: 指名手配かなwww
[208.744] (S)omuricemogumogu: radaoW
[208.766] (S)しめったチワワ: wwww
[208.856] ベニマル: 指名手配確認すなwwwww
[208.957] (S)dash_1324: wwwwwwwwww
[208.970] (S)maro__ma: 指名手配確認してるwww
[209.018] cokeraita: 指名手配
[209.188] siro_wara: wwwwwwww
[209.701] (S)さめい: radaoHi
[209.900] (S)あっひょ: wwwwwwww
[209.976] kurose_i: ｗｗｗｗｗｗｗｗｗｗ
[210.007] (S)kurageru: ｗｗｗｗｗｗ
[210.262] (S)oggiooo: 確認してるwwwwww
[210.294] kon0703: www
[210.345] purinn_w: 指名手配wwww
[210.560] nqta_coconut: wwwwwww
[210.630] (S)さわタイ焼き: 指名手配確認するなw
[210.690] (S)halcloud: wwwwwww
[210.715] れなぽんぽん: 一旦指名手配みて、、、、
[210.795] emazkirin: wwwwwwwwwwwww
[211.031] yurun_62: wwwwww
[211.045] nekodama2155: 指名手配を…w
[211.150] (S)璃喜: wwwww
