[15.831] MUFIN46: よ
[799.317] ゆやーーん: 3回までリロードせずに倒せるんか強いな
[813.856] lemiko0919: ね
[816.324] ぐりーむ6: 今日遂にハセシンがフルパでやるからなwww
[816.643] lemiko0919: うびび
[816.869] kubo_takefusa: 先生！？
[830.573] (S)新人おじさん: 顔面に張り付いてると思うと普通に怖いんよ
[840.855] arigatou_C8: あのクモのアビリティ強すぎじゃね
[853.108] punoco: ボタン配置カスタムはやく実装してほしい
[863.799] ゆやーーん: 案件ふりまくってほしい
[878.965] lemiko0919: つよ
[879.386] ケダ: P90いいね
[898.139] (S)新人おじさん: 弾数は正義
[901.306] ゆやーーん: わんちゃんリロードなし4体いける？
[902.052] lemiko0919: 辛勝って文字出るのウケるね
[905.242] 育久: からい
[910.581] takoyakizamuraiyuu: アリーナやっぱ爽快感あって良いわ
[922.565] lemiko0919: ねいす
[926.241] (S)新人おじさん: KD3ナイス
[932.241] あれっくすたん: すげ〜
[950.180] t3trc: つよ
[963.386] ゆやーーん: あえて敵陣とらずリス刈りつよい
[979.093] iguni_ru: 狭いマップなら強そう
[1007.400] a8mahman: ホロとリフレックスは好み？
[1011.823] からちゃんです: 29
[1012.131] ztineasfareqd: 水曜
[1014.016] ajifly9518: 29までかな
[1017.047] takoyakizamuraiyuu: 水曜やなかった
[1019.016] あれっくすたん: 29日
[1019.768] ぐりーむ6: 水曜の朝3じ
[1022.640] (S)桜鏡月: そこのマークスマン大好き
[1029.173] mercenary_ol4f: マガジンにカスタム枠使わなくても良いからマズルブースターと速射バレル付けやすいのも強い
[1032.147] nata000109: とりあえず50くらいまであげとけばいいんだっけ？
[1034.662] swingbyblackhole: 武器育成はcodみたいなかんじ？
[1035.025] ajifly9518: 盾多め
[1039.052] ジョーです: このゲームって無課金でも武器全部手に入る？
[1041.420] ゆやーーん: mp7にゴリ押しされるんよなたまにp90
[1043.261] lemiko0919: びっぐうぇーぶにな！
[1046.928] kaha3s: マジで乗ってるな
[1069.804] kappa78785: @切れ痔のジョー 手に入る
[1079.823] nata000109: このゲームって同じ勢力でも違うキャラで性能違うの？
[1099.591] takoyakizamuraiyuu: でも見よう見真似でぴょんぴょんするだけの奴もいるね
[1110.295] mugi_58972: オキュパイ1番好き
[1119.928] ajifly9518: 煮詰まったら相当むずそう
[1128.946] じゅでぃです: ハードポイントとは違いあるん？
[1135.521] kaha3s: 紹介動画じゃんw
[1142.233] lemiko0919: こういうゲームしぬほどやってきたボドが言うなら相当いいんだな
[1146.900] x9cer: エスコートくそつまんなくない？
[1149.046] ぐりーむ6: ハーポと全く一緒 @judyred
[1149.114] ケダ: フルパでやったら絶対おもろいじゃん
[1164.010] (S)新人おじさん: 戦略性あるな
[1177.604] valture_6969: P90かっけぇな
[1190.466] じゅでぃです: @ぐりーむ6 
[1190.856] swingbyblackhole: codのノウハウ活かせそうやな
[1200.249] ajifly9518: 攻守が入れ替わりやすいのいいね
[1248.833] the0chan15: このゲームの連続ストレイフ強すぎる
[1269.899] おもチ: 案件来ましたか?
[1279.983] (S)soku_c4: ストレイフできんの！？
[1288.218] valture_6969: ストレイフに味しめてバッタ勢が増殖中
[1290.060] ゆやーーん: 壁抜きたまにできるとこあるよね基準わからんけど
[1309.044] realpizza2: これcodと何が違うん
[1316.192] キンドル: CODは次ポイント出たっけ？
[1344.939] valture_6969: CODと違うところ……キルストリークがない。チーデスがない
[1346.405] Gran77: でますよ
[1361.686] vg7wr: なんかこのゲームsmg強いやつ多いん？
[1365.228] vovovoovovo__74: 迷彩チャレンジとかあるんですか？
[1372.424] nishikawa_kun_: リスポーンが1秒でテンポがいい とかいろいろ
[1372.818] takoyakizamuraiyuu: このゲームなんとPadでもホライゾンみたいに曲がれます
[1379.661] nemu0010: 敵ほぼ見えっぱなしなんだな
[1381.933] ケダ: レベルさくさくあがるな
[1394.684] vg7wr: 結構いろんな武器強そうに見える
[1400.505] ぽむぽん: がおっす
[1401.217] exkl_: あ
[1412.432] ぱんの助丸: 一方的に撃てるの強い
[1418.022] valture_6969: ジブドームうざすぎる
[1418.392] z_eden_: EMPグレネードめっちゃ強いよ
[1423.185] (S)新人おじさん: 盾ありきでスキャン
[1424.640] ゆやーーん: キルストあるモードとか分けられて出そう
[1452.128] the0chan15: ハッカーもめっちゃつおい
[1461.576] (S)soku_c4: うますぎるな
[1462.835] sakata_desu: p90つよ
[1464.764] vg7wr: あーもうくそおもろそう
[1468.524] nishikawa_kun_: 盾マンの弱いところ ウルトがチームメイトいないとカモ
[1471.686] takoyakizamuraiyuu: 圧勝ですね
[1471.860] SHUNbo0: 昨日やって見たらスナイパーが無双してるマッチが多かったけど、そこまでスナ一強ではないですか？
[1474.361] valture_6969: スパイダーボットがもううざい
[1482.222] イカティィ: このゲームpadつよいん？
[1489.559] swingbyblackhole: ホロp90見てるとmw2,3あたりを思い出す
[1493.000] ゆやーーん: adsジャンプ撃ちクソむずいて強いの分かるけど
[1494.021] sakata_desu: 砂クソ強いけどモードによって変わりそう
[1512.707] the0chan15: Padでやらん意味ないくらいpad強い
[1520.300] valture_6969: 立ち回りうっま
[1528.516] sakata_desu: うまいねー
[1529.437] ajifly9518: うまい
[1529.827] ももん_0215: gg
[1533.139] aiudesu: うんま
[1533.460] shiwasunohi: うますぎ
[1533.687] sennin_11: うっま
[1534.097] matsu202: おおー
[1535.943] (S)新人おじさん: つっよ
[1537.335] nishikawa_kun_: 経験値ブースト最大のつけてるの？
[1537.595] (S)soku_c4: gg
[1538.986] めちゃねむい: うまw
[1540.036] (S)kazaha_zazazaxf: うまいんよ
[1540.098] valture_6969: さすがすぎる
[1542.651] ぱんの助丸: うっま
[1543.099] お気にのワンピ: ホットショットおもろいよ
[1553.825] vg7wr: リスすぐ変わらんの好き
[1554.403] koiken530: つよ笑
[1554.613] matsu202: ガチキャリー
[1555.307] ゆやーーん: まあ論争したい人はキーマウ専用のモードもあるんで
[1557.173] the0chan15: サスボド
[1557.281] sakata_desu: サーチ出して欲しいなぁ
[1557.702] れも2525: めっちゃ参考になります!!!!
[1559.800] stylishneet46: チーデスやりたい
[1560.527] silabe6: たのしそう
[1562.959] ajifly9518: いいねで経験値もらえるんだ
[1567.333] ハイパーエアー: キルカメ無いの？
[1582.777] valture_6969: キルカメは今後実装予定
[1586.561] takoyakizamuraiyuu: 武器XP2倍中にブーストって意味あるんかな？
[1586.717] ガラスノ: キーマウは25レベルあたりでエアストレイフしてくるよ
[1587.923] aiudesu: POTGみたいなほしい
[1601.403] ハイパーエアー: ty
[1601.513] swingbyblackhole: 立ち回りで畑が透けるな
[1602.837] vovovoovovo__74: 迷彩チャレンジとかある？
[1617.502] クロチル: AKとP90どっちがつよいとかある？
[1619.956] the0chan15: 迷彩は武器レベルで解除
[1624.732] vg7wr: p90ええなぁ
[1625.008] グランツ77: 既に金迷彩持ってる人いたね
[1630.056] 戦車: 昔のCODプロが生き生きしててちょっと嬉しい
[1633.000] (S)soku_c4: 無料でできるのでかいか
[1633.481] 鷹くん0000000: 途中参加で突って死んで繰り返してたらリザルトの評価 走り回る にされたわ笑
[1634.278] (S)soku_c4: な
[1638.875] dlr0w: p90 距離減衰エグすぎる
[1645.382] realpizza2: 実銃名なの？
[1646.645] the0chan15: ハセシンがやらないと日本で流行らん
[1653.541] ぱんの助丸: MP7とどっちが強い？
[1654.880] sakata_desu: このマップ砂クソ強いよな
[1656.486] ゆやーーん: このゲームの配信者フルパ見てみたいな絶対おもろいやん
[1659.669] ちーーーすけ: IDなっっっつ
[1660.427] vovovoovovo__74: ラブズッキュンしにいくか
[1662.534] (S)venven8: ボドお疲れ様ー
[1663.313] 8beats77777777: 今時の子はcodって経験するのかしら
[1672.160] subarururururu: ここの砂めちゃ楽しい
[1673.495] キンドル: 今年BO6なんですね
[1683.335] お気にのワンピ: ４
[1683.997] subarururururu: 4人
[1684.864] valture_6969: 炎2人要らんな
[1684.993] miityyy1234: 久々にこの手のゲームで面白そうなやつだな
[1687.306] ajifly9518: 四人じゃなかった？
[1687.513] sakata_desu: ランク今の所4だね
[1693.891] benecry: 炎のウルト他と比べたら弱いよな
[1693.895] ゆやーーん: まあ今んところは4
[1713.616] valture_6969: 1人デッドセックいると厄介
[1725.123] ちーーーすけ: ID懐かしすぎて涙出たわ
[1762.041] 乳房检查人: ようボドカ
[1762.237] kaha3s: これ強すぎ
[1792.367] valture_6969: うっま
[1795.487] sakata_desu: うまいw
[1811.314] SHUNbo0: 上手すぎる笑
[1819.664] simsmo: ボドカさん上手すぎ
[1837.111] ぱんの助丸: ｗｗｗ
[1842.738] (S)ほっそーー: ｗｗ
[1845.886] ただのともや: ｗｗ
[1848.300] あれっくすたん: うますぎる
[1849.176] ぱんの助丸: あるある
[1852.256] rikkymaru8: 上手すぎてたまきれてもうてるやんww
[1853.941] SHUNbo0: 勝ちすぎて弾切れた笑
[1855.056] うぇるしー: 勝ちすぎて
[1885.977] valture_6969: 解説も完璧なんよ
[1912.517] ゆやーーん: m4ほんまによわい
[1926.395] (S)lkvab: www
[1927.620] realpizza2: ｗ
[1927.856] シュバイソ: w
[1930.249] taran8922: みんなさがってくｗｗ
[1934.905] royal_frsh: さすがっす兄貴
[1943.959] realpizza2: ニュークあるんかな
[1950.486] ちーーーすけ: AKとACR異常に強い
[1952.496] rikkymaru8: これハセシンやってる？
[1963.059] ゆやーーん: お
[1967.747] ぱんの助丸: やってんね
[1971.749] (S)新人おじさん: 芋ってら
[1972.821] ちーーーすけ: ハセリリースしてからやってないかな
[1975.795] 8beats77777777: 砂きた
[1977.031] (S)ほっそーー: あ
[1977.497] jackass0012: ほんまやｗ
[1977.636] valture_6969: これはUBIゲーのマップオンリーじゃね？
[1979.518] ぱんの助丸: あるｗ
[1980.269] めちゃねむい: あ
[1985.807] mew3v: あ
[1986.684] (S)ほっそーー: あるｗ
[1987.353] lhye_: あ
[1987.839] ゆやーーん: そーなの？
[1988.063] (S)あしゅぼい: あるわｗｗ
[1989.218] (S)soku_c4: まずい
[1991.930] キンドル: キングスロウの第３？
[1993.552] c6erry: キングスロウかｗ
[1994.227] シュバイソ: まずいなー
[2001.217] realpizza2: 確かに
[2001.227] jin2148: あ
[2001.428] 8beats77777777: うぃ、どう
[2002.048] うぇるしー: たしかにｗ
[2005.242] royal_frsh: にてる、なぁ
[2007.092] matsu202: 似てるw
[2007.895] スワンプ: マップ配置に著作権ないから
[2008.659] aiudesu: ウィドウえぐいって
[2009.574] misuto_sun: ペイロード押す奴だっけ？
[2010.165] 育久: まずい
[2015.876] s1rasag1: 見覚えあるなぁ
[2021.722] (S)ほっそーー: めっちゃペイロ押せそう
[2022.904] (S)venven8: うみゃ
[2024.020] caskid_lauren: うっま
[2025.582] drscwt: チョークポイントあるとそれっぽくなるよｗ
[2027.127] asparagusbacon: 最終のとこか
[2028.499] ゆやーーん: まあまあ似てるゲームなんていくらでもありますし、ねぇ
[2030.650] taran8922: どっちが先か
[2035.716] うぇるしー: マップって著作権ないんや
[2040.551] KETUBEN_1WEEK: フィーダーの血が騒ぐ
[2044.066] jin2148: この手のゲーム砂しかおらん
[2045.142] さやえんどう_: うますぎ
[2072.792] ハイパーエアー: 普通に面白そう
[2078.094] キンドル: ニュークタウンも真似しよう！
[2082.128] Ciyfhr: こんにちは
[2083.056] miityyy1234: 砂の覗き込みは速いんか
[2084.087] shiwasunohi: 3砂
[2084.470] うぇるしー: 慈悲
[2084.780] おしんまる: お、なさけ
[2089.277] ゆやーーん: ニュークタウンほしいな
[2095.738] (S)新人おじさん: 1日1砂
[2098.035] benecry: 味方砂3やんけ
[2099.625] jin2148: でもこのゲーム流行って欲しいね
[2107.100] nata000109: tac50って育てたら覗き込み早くなるんか
[2114.071] まよあん: あ
[2114.288] スワンプ: 楽しそうｗ
[2116.393] 8beats77777777: くっそ
[2117.047] さやえんどう_: リスキルｗ
[2121.481] jin2148: BibleThump
[2123.889] うぇるしー: ぎょっさんｗ
[2126.682] 海老マシンガン: w
[2126.926] drscwt: 不愉快キル
[2127.062] kaki0000: アンインストールしたよ
[2129.587] jackass0012: ｗｗｗ
[2131.995] taran8922: ｗｗ
[2132.105] shishi_hitsuji: こんちは。29日の武器経験値アップ中は武器レベル上げ頑張る感じ？
[2132.664] ちーーーすけ: クイドロまでアンロックできればまじ凸れる
[2133.243] psyduck_cu: ｗｗｗｗ
[2135.417] からちゃんです: WWWW
[2137.932] jin2148: www
[2139.958] まよあん: アンインストール
[2140.679] 海老マシンガン: おもろいw
[2141.362] (S)soku_c4: w
[2142.170] decoy_55: ww
[2147.606] ゆやーーん: これでほんとに抜けてたらおもろい
[2147.783] 銀ろう: tac50だけはほんまにキレる笑
[2151.264] kusastu: こーれしたいうちです
[2155.141] kaki0000: うま
[2165.606] (S)新人おじさん: 難しい方が当たる現象
[2173.131] アムロルイ: うま‼
[2176.830] さやえんどう_: うますぎて敵がかわいそうｗｗ
[2179.506] ajifly9518: ぎょっ三、強く生きろ
[2191.323] 海老マシンガン: おいおいおいうますぎるよw
[2222.653] さやえんどう_: スナイパーにしたところで強いんよ
[2241.423] wf_1000xm4: srってワンパンじゃなくなったら産廃になる？
[2246.549] 8beats77777777: このゲームpadにどんなアドあるん？
[2250.050] artificial_prayer: ｗｗｗ
[2286.441] まよあん: ぎょっさん…
[2288.140] 凜315: www
[2289.770] jin2148: ギョッ3www
[2291.791] さやえんどう_: まだスナイパー諦めてなかった？？
[2294.584] (S)soku_c4: まーだやってるよ笑
[2300.161] kusastu: ぎょっす✋🐟
[2313.800] ケダ: ｗｗｗ
[2318.042] kokoro39ra: これでボドカスやろ
[2322.869] (S)kazaha_zazazaxf: w
[2323.875] 凜315: ずっと見てるｗ
[2327.618] さやえんどう_: いやいや、うますぎｗｗｗ
[2328.758] artificial_prayer: 実質ニートｗ
[2330.974] なっしー0812: 🐴
[2333.011] スワンプ: ぼっさんうますぎ
[2372.495] (S)soku_c4: 砂増えたくね？
[2372.700] oyayubi_rank: ピカピカライト再来
[2399.166] gekilo2ro: モンタゲ用回転
[2403.717] うぇるしー: うま
[2409.535] drscwt: 上下も行けます
[2410.334] さやえんどう_: ｗｗｗ
[2411.784] largo__3: うますぎ
[2416.188] ケダ: うますぎ
[2416.560] さやえんどう_: グレで確実に飛ばすのやばｗｗｗ
[2422.778] スワンプ: ガチでうめえ
[2423.069] ぱんの助丸: おっしい
[2426.012] うぇるしー: みてて気持ちいわ
[2428.060] flagfightermk2: うますぎだろ！
[2430.170] うみうしくん: うま
[2433.721] 8beats77777777: 古の記憶が
[2440.501] mochimal_oo: エイムが慣れてきてる
[2443.931] oohisuioo: ほぼワンパンやから楽しいよねーあー
[2444.402] gekilo2ro: ここのマップ特に砂おもろい
[2447.081] 海老マシンガン: 出自が物を言ってるな
[2453.888] Fqke168: vdkのbo3昔見てたから砂みれてうれしい
[2454.160] さやえんどう_: ぎょっさ～～～ｎｎ
[2467.213] うぇるしー: ストレイフあるんですか？
[2471.734] kaki0000: どやぁ
[2482.765] ちーーーすけ: cod元プロ強すぎて公式からチートやめてねメール来てるのおもろすぎる
[2492.352] akihito_e: ava勢もうまそう
[2493.476] artificial_prayer: CODのQSしてる人見かけるけど覗き込みのレティクル収縮じつはアクションより早かったりします？
[2495.752] shishi_hitsuji: VDKのキャラ名なっつ
[2503.517] ajifly9518: マリオのジャンプみたいに慣性変えれるよね
[2510.359] fk_0903: 暴言ぺんぎんを、思い出す
[2513.887] high_tivli: ホットショットの足速い時のストレイフやばい
[2528.384] andaseizounin: スナイパーのスコープなしとかできるんかな
[2533.074] miiiiiiiitsuba: 初めてこのタイプのFPSやったけどめっちゃ面白いですね
[2542.965] ponyonosioyaki_: スナってワンパン？
[2589.161] benecry: それ
[2601.367] フェニックスヤスオ: サブで結局移動したるするからなんとも。。。こんばんわ
[2606.364] ヤサイマシアブラカタマリ: リスした時にエリアと逆向いてるの直して欲しい
[2608.408] (S)激ローメタモン: おいす！
[2623.567] ちーーーすけ: オブジェクトルールばっかやから砂使いにくい
[2625.621] (S)新人おじさん: 飽きちゃう
[2626.419] herushia1: やあ
[2627.780] dlbia58: ACRいいよ
[2637.000] sansunson: ずっと同じキャラ武器は飽きるよね
[2645.449] めいぷる㌨: MP7おすすめ
[2667.307] shitohatenan: これ無料ですか？
[2682.943] dlbia58: なんと無料です
[2687.984] gekilo2ro: 無料や
[2689.941] 8beats77777777: ﾌｧｯｷﾝ無料だよ
[2690.233] 48kenn: ファッキン無料
[2701.786] shitohatenan: ほんとですか？やってみよ！
[2707.282] (S)新人おじさん: 無料が故に「CoDで良くない？」が通用しないゲーム
[2714.974] arutoda: 個人な感想だけどＣＯＤよりやりやすい。
[2716.419] kynaike: ひさびさに見たけど、やっぱCODライクだしボド上手だね
[2722.518] yosi1218: ps4ってこれできますか？
[2724.243] miqitoto: ふつうにcodよりおもろい
[2731.721] ちーーーすけ: ps4むり
[2732.891] 1010tu: スライディング無いのかこのゲーム
[2737.723] yosi1218: まじか
[2738.007] arutoda: あるよ
[2741.036] (S)新人おじさん: スライディングあるよ
[2743.911] (S)匿名チャン: あるよ
[2745.943] うぇるしー: CSと鯖は別？
[2746.719] あれっくすたん: あるよ
[2748.437] キンドル: 昔のCODよりだから楽しい
[2752.299] あれっくすたん: クロスプレイ
[2752.849] ohnishisho: つよすんぎ
[2753.783] さやえんどう_: まともに撃ち合いしてたら絶対ボドに勝てない
[2756.350] k8_milano: 要求スペック高い？
[2756.634] めいぷる㌨: つよ
[2762.353] 脇の夜蘭: 低い
[2764.552] thduby: マウスとキーマウで別だよクロスプレイもある
[2764.740] あれっくすたん: そんなに
[2765.046] gekilo2ro: そんなやで
[2765.231] stillgoatman: bo4みたいだよなー
[2778.792] 48kenn: bo4だよ
[2779.633] thduby: パッドとキーマウか
[2784.116] herushia1: キルストないの寂しくもあり嬉しくもあるな
[2792.166] kynaike: 結構軽かったよ
[2800.327] (S)新人おじさん: ゲーム容量もだいぶ抑えられてるしな
[2803.608] shishi_hitsuji: BloodTrail
[2803.764] arutoda: ＰＡＤやるときアシストありか無しか選べる。多分
[2808.460] あれっくすたん: 純粋に撃ち合えるって気持ちいいよなこのゲーム
[2830.556] さやえんどう_: うますぎる
[2835.227] artificial_prayer: 確かにw
[2835.699] うぇるしー: 浅いか
[2853.142] さやえんどう_: つええええ
[2856.041] うぇるしー: ｗｗｗ
[2859.495] めいぷる㌨: www
[2860.751] まよあん: ゴリラ
[2860.782] kynaike: これずる過ぎるｗｗ
[2864.062] さやえんどう_: 圧がやばい
[2864.500] gekilo2ro: おいす
[2866.244] (S)匿名チャン: WWWWWW
[2866.339] あれっくすたん: つよつよww
[2872.674] thduby: このキャラ壊れだよな
[2873.276] (S)新人おじさん: おいすおいすおいす
[2888.803] さやえんどう_: ウルト関係なく敵潰してるけどね
[2891.049] artificial_prayer: ジャガーノートみがあるｗ
[2896.536] dlbia58: マジでこのキャラきしょい
[2899.839] kynaike: きた時の取り合わない以外の択が無いのほんと気分悪いｗ
[2926.424] benecry: このエージェントマジで必須キャラよな
[2929.063] thduby: なんでこいつだけHP120なの？
[2930.961] dlbia58: それうっま
[2939.184] leblol23: どの武器が強く感じます？
[2944.896] arutoda: ＡＰＥＸよりうめぇ
[2949.756] キンドル: パッシブスキル
[2959.228] moyattobowl: 現状ACRがメタ
[2964.343] kynaike: ハイスケ？
[2966.927] (S)新人おじさん: タマタマ抜け抜け
[2968.830] d4nma_desu: たますけやめてね
[2977.754] neet_or_rable: wwww
[2979.529] まよあん: あ
[2986.219] thduby: マイン持ってるやつ陰キャ
[2989.107] realpizza2: ボドカが出てきた
[3000.381] nata000109: ak派だったけどacrの方が強いんや
[3014.526] (S)新人おじさん: ｗｗｗｗ
[3015.782] herushia1: 🦗
[3047.559] (S)新人おじさん: AKは制御がね
[3050.852] psyduck_cu: 味方ぼこられてるｗ
[3058.732] 段ボール: ハマってます？
[3072.196] かしわぎ2: ボド、そのゲームはおもしろいのか？
[3094.899] thduby: 撃ち合い好きでFPSやってる人はハマる
[3102.340] oh_men13: このゲームはPadゲー？
[3106.632] かっちゃんんん: このゲームpadってボタン配置変えれないの?
[3107.387] ぱんの助丸: 裏にセンターマイン置くといいよ
[3111.647] andaseizounin: 味方同じところ3人で見てるの草
[3111.973] (S)kazaha_zazazaxf: 誰も入らんなw
[3139.977] (S)匿名チャン: ボタン配置カスタムはできないからいくつかあるうちから選ぶ感じになる
[3140.872] leblol23: エイムめっちゃきれい
[3153.578] 段ボール: PADゲーだけど、キーマウオンリーのマッチも可能。PADのボタン配置は変えれない
[3171.091] まよあん: ｗｗｗ
[3171.592] あれっくすたん: SGやSMGはpadが強くてARとかSRはキーマウがつよい
[3172.711] 段ボール: ｗｗ
[3172.898] あるか12: wwww
[3174.272] ただのともや: ｗｗｗ
[3175.337] joooss123: www
[3176.230] (S)新人おじさん: 今日つながXDでコラボ配信するって言ってたけど誰とやんだろ
[3176.860] tanaksan: www
[3177.170] ぱんの助丸: ｗｗｗ
[3180.753] あれっくすたん: ww
[3183.013] tabobo_h: 一応ボタン配置替えは開発中なのでいずれできるようになるよ
[3184.924] dlr0w: STEAM介して起動すればボタン配置変えれるよ
[3186.062] n4siki: 無料だから実際にプレイしてみようね〜
[3192.430] joooss123: 胴体ワンパンきしょいて〜！
[3194.658] largo__3: ボタン配置カスタムできないのちょい困る
[3198.564] あるか12: ﾏｼﾞﾃﾞｷﾓｲｽﾅｲﾊﾟｰｼﾈ
[3202.347] ぐりーむ6: @newbieojisann ハセシンのTwitterに載ってるよ
[3216.071] benecry: これで負けるの可哀想やな笑
[3224.299] (S)新人おじさん: @ぐりーむ6 thx
[3231.707] gfuxfh: ボト的にはどの武器が一番強い？
[3232.272] thduby: ソロどんだけキルしても目標とっても勝てないからおもろい
[3263.460] kaki0000: 死ななくなるのつえー
[3264.370] high_tivli: 最強ウルト
[3265.821] n4siki: おばはんのウルトやばいよな
[3268.552] artificial_prayer: NF
[3274.972] youki222525: エイムアシストの数値っていじってます？？
[3279.775] あれっくすたん: あのウルト硬すぎぃ
[3281.937] rodiura: 忍者ぽい
[3284.924] はるまき5966: これ無料なのえぐすぎだろ
[3293.452] 段ボール: HP200まじで多すぎる
[3301.633] あれっくすたん: 敵も強いなぁ
[3302.075] (S)激ローメタモン: すしろよく戦ったか
[3304.929] nata000109: 54レベはやりすぎや
[3305.177] frake716: 対戦ありがとうございました
[3305.607] ちーーーすけ: オキュパイ元プロ多いマッチしたらフルボッコにされる
[3325.590] gon0141: これ無料？
[3342.157] aviciii44: 16強くね？
[3357.752] 戦車: いなばURが載せてたよ
[3364.888] ちーーーすけ: フロントレールはレザーコート
[3393.870] benecry: 今日までだっけ?武器二倍
[3395.425] iguni_ru: マズルブースター、速射バレルで連射速度ガチ上げ
[3411.598] leblol23: p90もあんま
[3417.781] (S)新人おじさん: 初心者の入口武器が弱いのは良くない
[3433.779] high_tivli: 射程あるしな
[3439.025] neet_or_rable: MP5ベータ版の時結構強かったイメージあったけどカスタムしてたわ
[3443.696] leblol23: mp7のほうが個人的には好きです
[3445.031] 段ボール: 50発でゴリ押し
[3453.454] herushia1: 初期武器カスだと新規お断りになるよな
[3457.822] あれっくすたん: 武器の解放はそんなに難しくないからまぁ初期武器は多少弱くてもね
[3471.889] tabobo_h: mp5は中距離もいけるのが魅力だけどARで良くねってなる
[3472.428] gekilo2ro: 最初に使えるar弱すぎて一生ショットガン握ってたわ
[3475.310] n4siki: 初心者マッチあるし
[3482.731] 8pnes: sens!
[3487.196] allraula: 初期マークスマンは結構強いよ
[3515.448] n4siki: プリセットもあるから別に戦えないわけじゃない
[3526.212] 3monji: こんなゲームぽんぽん出てたらそりゃBFなんて売れんよな
[3532.728] n4siki: w
[3535.851] めいぷる_0715: 草
[3537.759] shishi_hitsuji: 豆まきオンライン
[3553.930] d4nma_desu: やりたなってきた入れようかな
[3569.756] koyamyon: 無料だから入れとけー
[3581.194] tkc0616: これPCオンリー？
[3582.904] 段ボール: ｗｗｗ
[3585.845] joooss123: wwww
[3587.116] まよあん: ｗｗ
