[13.960] hachi8ee: :(
[1353.821] (S)v_harumi_v: 12：37
[1355.537] lunasolnars: 揺れで酔う
[1356.994] 宮藤ｨｨｨ: そうね大体ねぇ～
[1357.243] ~MISSING_COMMENTER_INFO~: おやじ
[1358.483] akiaki0612: 12:37
[1360.457] jagajaga1943: 12時40分
[1367.617] だいこん_: 何個買うのよｗｗｗ
[1371.749] donekofg: ジンバルかいすぎぃ
[1376.481] mmiiacha: 買いついでにレクチャーも受けよう
[1376.785] nikukuisugi333: 何回買うんだよｗ
[1377.725] enuemu3: 12:37です！
[1381.503] helicom: ジンバルは今度のチャリティーで出してもろて
[1383.036] papipopon: そんな何個も買うものなの？ｗ
[1384.044] (S)gyu_nyuu_pann: 買いすぎww
[1384.691] lapistaxx: 破産てwww
[1385.068] enuemu3: ジンバル破産www
[1385.458] kame277: 専門店いこう
[1385.613] qwertyu4769: ジンバル屋になる？
[1386.922] dxhx521234: そうね大体ね
[1387.593] 宮藤ｨｨｨ: いらなくなったらTOPANGAに売りつけよう
[1387.755] (S)imokun888: 新しく買うより説明書読み込んだ方がいい気がするけども…
[1388.206] fffpt119: ジンバル
[1388.399] user81023: ジンバルコレクター
[1388.822] みそらの: 新宿に行くなら、そのまま買うのもありでは？
[1389.889] mako6912: wwww
[1390.799] (S)シミズム: スポンサー探そ
[1394.199] (S)若鶏の唐揚げ: www
[1394.873] 5don: 店員さんに相談して、使い方も聞いちゃいましょ？
[1397.001] une3333: 普通は一個あれば十分でしょw
[1399.707] (S)kanjaneko: 未来人居る
[1400.509] (S)v_harumi_v: 使い方あってるか見た方が良いかも？
[1400.786] akiaki0612: ちゃんと店員さんに使い方とおすすめ聞きなー
[1404.651] (S)gyu_nyuu_pann: そうだね 使い方聞くのいいかも
[1406.491] ememeume: 店員さんにセッティングしてもらいましょう！
[1407.923] sdy_hs: 年三個買う人
[1410.125] helicom: 店員に使い方聞けば？
[1412.454] だいこん_: ひかるにぃ助けて
[1415.780] 太陽のタルタルソース食堂: フェイユーは1人1個までよ
[1417.069] massaaan: ガフロ兄なら自分で作るよ
[1417.864] あかの: マネーチューチュー
[1418.052] enuemu3: 不利だねぇ
[1418.760] balthazar000: ジンバルの当たり引かないんですか？
[1418.764] るぅの: 電気屋で少しテスト出来ないの？
[1429.883] 5don: Amazonのジンバルは、たぶん手練れ用
[1435.882] une3333: 人智を超えたw
[1439.510] (S)gyu_nyuu_pann: 簡単なやつ選んでもらうんだよ！
[1440.349] balthazar000: 多分配信して初めてわかるんじゃない？
[1444.210] lapistaxx: 難しいのはやめよ
[1446.409] prosciu: すげー喋る
[1447.020] suhifire: それこそ店員に聞いて難しいの買わなきゃ良いじゃん
[1448.738] mmiiacha: 4マンは伊達じゃない
[1450.648] fffpt119: ジンバルないと酔うから画面みれない・・・
[1452.234] (S)かりんですよ: avtuber_karin subscribed with Prime. 
[1452.356] (M)Moobot: @AVTUBER_KARINさんTwitch Prime登録ありがとうございます！
[1453.674] 宮藤ｨｨｨ: 文明の利器がよぉ
[1454.572] 5don: そもそも「カンタンなの買います」って伝えてw
[1456.149] akiaki0612: 激ムズのは買わない簡単なのがどれかを聞くのよ
[1456.294] (S)gyu_nyuu_pann: たとえていくぅ
[1457.645] るぅの: www
[1458.017] qwertyu4769: ジンバル道
[1462.210] (S)imokun888: ゴープロ買ってそっから生配信したほうがええんちゃう
[1467.483] nikukuisugi333: 安めの買ったほうが使いやすかったりすんのかね
[1468.528] papipopon: おじいちゃんでも使えるやつ買おう
[1469.810] ememeume: 配信はプロなのに…
[1473.400] ame512: 前のやつは壊したの？
[1473.795] (S)v_harumi_v: 4万のは本当に難しそうでしたね
[1475.527] kame277: 前と同じシンバル買おう
[1476.552] aki164: クソジンバル列伝できそう
[1477.400] 宮藤ｨｨｨ: ゴープロ楽そうよね
[1477.936] ~MISSING_COMMENTER_INFO~: セッティングを保存出来たらねぇ
[1480.954] (S)gyu_nyuu_pann: せっティンさんが簡単なのをお願いしますっていいな？
[1486.023] (S)gyu_nyuu_pann: セッティング
[1489.879] akiaki0612: そっち買えよw
[1491.958] massaaan: わかる
[1494.033] raurakd: w
[1495.067] ねこざけ: そこ攻めたの 
[1495.999] ememeume: セッティングしてもらってるところを動画で撮っておくとか笑
[1497.056] 宮藤ｨｨｨ: なお
[1497.278] une3333: じゃあウメちゃんのせいじゃないですかw
[1497.689] たぬきおん: 最大狙ったのか
[1498.309] (S)v_harumi_v: なるほどー
[1499.330] kaigaizei: 使えないのに？
[1501.871] だいこん_: umeFail
[1503.340] (S)gyu_nyuu_pann: なんでよw
[1504.388] balthazar000: その程度の拘りは捨てよう
[1504.646] enuemu3: なぜ!!!
[1505.205] えこえこ: 大は小を兼ねる
[1505.215] mmiiacha: おとなしく安定買いなぁ？
[1506.128] メタルぱんだ: ｗｗ
[1507.371] chinnen1: ルーク安定だけど、他に何かいけるのないか？を探す精神
[1507.949] ~MISSING_COMMENTER_INFO~: そういうのあるよねー
[1508.468] るぅの: umeCatSleep
[1510.649] enuemu3: wwwwww
[1512.048] dons2020: 攻めすぎでしょｗ
[1512.202] 太陽のタルタルソース食堂: 裏乗れば跳満みたいなやつ
[1512.439] GalleriaRow: 高みを目指した結果w
[1513.169] (S)tabibitox: いらんことして遠回りｗ
[1515.999] massaaan: リスクに対するリターン
[1516.796] (S)neogreenlife: リスクとっちゃったかー
[1516.927] qwertyu4769: 買い物難しいね
[1517.700] one596: 10：0でウメちゃんが悪いやん
[1518.062] 5don: そういうときは２本とも買っちゃいましょ！
[1520.040] lunasolnars: 基本出来てないのに難しいコンボは流石に？
[1520.161] user81023: ふぇい
[1521.297] (S)v_harumi_v: あいごーｗ
[1522.160] だいこん_: ｶﾞｼｬｰﾝ
[1523.592] lapistaxx: 間違いなかったのに、間違っちゃったかぁ
[1524.092] miruujyu: 笑われとるやんw
[1524.201] (S)imokun888: ジンバルは調整必要だけどgoPROは調整いらんから楽よ
[1526.300] une3333: あいごぉー
[1526.757] suhifire: あんた機械駄目なんだからさぁ、、
[1527.288] (S)teruharu_: umeSnooze
[1528.425] diego_ohunabara: umeYay
[1530.824] るぅの: リスナーのためにハイクオリティな配信を
[1531.213] kaigaizei: 映画で一番仲間の足引っ張るキャラじゃん
[1533.066] balthazar000: 昇天じゃん
[1533.732] burisuke: ウメちゃんのこじらせ
[1536.263] 太陽のタルタルソース食堂: ソフトクリーム補給
[1536.591] 5don: ww
[1537.753] akiaki0612: 石井にあげよう
[1540.750] (S)gyu_nyuu_pann: www
[1542.159] (S)さいふぁ123: umeYay
[1543.517] kame277: "高み"
[1546.471] ねこざけ: ミニップ
[1548.111] raurakd: 格ゲーならいいよ？
[1548.353] yui_tang0307: こたかくん...
[1548.366] YvDhFvmLvyxi: ミニストップって店舗減った？
[1550.303] enuemu3: ﾔﾘｽｷﾞﾀﾞｧ〜
[1550.611] みそらの: ハイクオリティはいいんですが、無くさないでくださいｗ
[1557.948] checker_od: Where is Lawson
[1561.585] une3333: 移動サマーできる人ならいいよ？でもウメちゃんジンバルに関してはブロンズじゃんねぇ
[1564.127] (S)ヤギー: どこに向かっているのですか？
[1567.237] (S)kanjaneko: 石井にあげて使いこなしてたらムカつくよね
[1568.209] ememeume: マンゴーソフト
[1569.995] えこえこ: チャリティで出せば
[1570.882] (S)neogreenlife: 安定コンボで良かったのに
[1573.435] akiaki0612: 失敗したのは全部石井に投げつけよう
[1584.586] nikukuisugi333: 名前書いておこう
[1590.707] ねこざけ: 初心者帯なのに難しいコンボ挑戦するのやめよ？
[1592.401] helicom: なんでって持ち出さないから
[1593.168] akiaki0612: チャリティーだそう
[1593.197] chinnen1: あげる代わりに石井から何か良いのもらおう
