[0.436] nihonsyu_: kskｗｗｗ
[85.860] poapo13: 毎回違うNPC
[89.174] (S)n242f45aa: 絵葉書どうなったの？w
[89.255] もきち555: かーえいた2時間行けたのになー
[93.889] だいこん_: 危険
[100.153] feel2525: ウォーキングハイ
[100.725] kame277: 絵はがき届いて終わり？
[101.385] (S)madaraomi: 最後の命の灯火
[106.450] (S)laponta: umeYay
[114.575] (S)成吉大: 危険な兆候
[117.422] (S)n242f45aa: いや〜五時間いけたんだけどな〜かーっ
[125.450] Lite909: トンネルで歩道ないとことか困るよね…
[126.085] (S)~MISSING_COMMENTER_INFO~: このまま歩道なくてホテルついたら面白い
[130.897] potesaraudon: 止まった瞬間一気に寒くなるからね
[132.114] はーげんだっつ: あれ？人減ってない？
[135.184] icyblue1985: ぼったち
[135.762] ememeume: 止まると動き出しキツい
[144.806] nosveral: 少しの音楽は決して傷つかない
[153.484] ウダガール: さっきの話の続きお願いします
[154.586] (S)rm_rf__: 過酷やなぁ
[165.865] imokun888: 絵葉書どうなったんだよ！！
[169.914] (S)~MISSING_COMMENTER_INFO~: 絵葉書なんだったの
[172.431] akindo08: 絵葉書で止まってた
[173.421] sora_1906: 絵葉書の話が皆気になってる
[173.885] chinpocor: 途中で切れたのよ
[174.212] ochayan: 絵葉書の続きどうなってんだよ！！
[175.120] ememeume: ほんとそれ聞きたいのに
[177.290] lun__01: 切り札
[179.513] lutz001: 絵葉書の話教えて・・
[180.814] アベ0206: 修学旅行感
[183.265] balthazar000: 修学旅行
[183.902] Hikaru_256: しりとりの時点でｗ
[185.924] zyangara2: サブスク限定
[188.605] embercleave4rr: えいた、ありがとう
[192.521] akindo08: いいねそれ
[199.079] (S)~MISSING_COMMENTER_INFO~: BibleThump
[199.382] ememeume: 見ててくれたのか
[199.732] neon_d99: ポケモンのNPC
[201.556] sora_1906: ほっこりする話
[203.273] zyangara2: ZERO3チャンプ
[204.846] chachachakoma: 見てたのかぁ
[210.194] chin_56_: おーっす未来のチャンピオン
[210.298] HirocoT: へぇぇ
[211.726] kame277: うんうん
[216.469] pokumin2: おいいいい
[216.530] v_harumi_v: あら～
[217.329] akindo08: また
[217.427] zyangara2: またｗｗ
[217.572] chinpocor: え
[217.647] potocki1810: またｗｗｗ
[217.692] muji_na: え
[217.836] neon_d99: またｗ
[218.158] lun__01: またwww
[218.167] もきち555: またｗ
[218.240] (S)ys120: そして止まる
[218.515] natu_sann: えっ
[218.616] はーげんだっつ: あっ
[218.616] (S)yorime_3: おいいい
[218.776] (S)vungo_mr: あっ
[218.937] potesaraudon: ｗｗｗｗｗ
[219.286] kame277: え
[219.404] poposuke: え
[219.586] balthazar000: おーいｗ
[219.985] feel2525: ええええええええええ
[220.202] (S)ishiwata1234: wwwww
[220.303] hanzou3: ？？？
[220.336] bikibiki999: おいｗｗｗｗｗｗｗｗｗ
[220.396] (S)dj0d4y4k4: おい
[220.434] クェイ: おいｗｗｗ
[220.509] imokun888: ふざけんんあ！！！
[220.547] LEE4646: いいところでｗ
[220.694] bobby_yano: またｗｗｗｗｗｗｗｗｗｗｗ
[220.963] ememeume: またwww
[221.057] (S)junjamaica: 泣きそう？
[221.437] oimo: おいｗ
[221.497] kagamind: あ
[221.658] (S)adamsky111: ｗｗｗｗｗｗｗ
[221.678] ddsato316: おいいいい
[221.809] matumatu777: おい
[221.819] momiji4431: ｗｗｗｗ
[221.855] chinkalahoi: おいｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[222.033] tw_numa: また
[222.050] yoshikawa_yo: wwww
[222.163] sam21111: おいｗｗ
[222.392] kiichang: ｗｗｗｗｗｗｗｗｗｗ
[222.552] (S)~MISSING_COMMENTER_INFO~: またｗｗ
[222.745] muji_na: おいいいいいいいいいいいいいいいいいいいいいい
[222.875] lutz001: またいいとこでｗｗ
[222.896] mmiiacha: うおお・・・・
[222.959] (S)chihaya0407: ｗｗｗ
[222.967] tamagon_: ｗｗｗ
[223.171] demonbane_twosword: ｗｗｗｗｗｗｗｗｗｗ
[223.194] mamimemou: え！？そんなことある！？
[223.317] poposuke: とまった
[223.453] punch_n: おい！
[223.743] chinpocor: まじかよおおおおおおおおお
[224.003] ememeume: BibleThump
[224.101] (S)_ぷっちょ_: いーいところで
[224.407] KTR_trashbox: またっっっっｗ
[224.531] onigiri21: 草
[224.555] (S)成吉大: 言いたミング過ぎるやろｗｗｗｗ
[224.625] 不渡哲也: まーたwww
[224.866] (S)one_ch123: まーたいいとこでｗ
[225.359] 風来のリュウ: ｗｗｗｗｗ
[225.618] chikkyboo: たいみんぐｗｗｗｗ
[225.964] (S)n242f45aa: wwwwwwwwwwwww
[226.051] (S)相田俊介: えええええええええ
[226.161] borkh3js: WutFace
[226.276] chachachakoma: おいｗｗｗｗ
[226.426] poapo13: ちょｗｗｗｗｗ
[227.274] momochan6: こわｗｗ
[227.945] Papapadad: わざとか？ｗ
[228.648] (S)leox_oxq: ｗｗｗｗｗｗｗｗ
[229.081] (S)n242f45aa: わっかんね〜
[229.213] パイモン狐村: 何故www
[229.738] poposuke: セーフ
[229.759] blackie_1988: 聞けたー
[230.490] akindo08: うおお
[230.612] balthazar000: なーるほど
[231.750] ランメルモールのルチア: えええええええ
[233.200] PUCHU7788: 闇
[234.417] (S)inkgran: こっわ
[234.629] (S)相田俊介: まじで
[234.926] chinkalahoi: またオチｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[235.182] sora_1906: ！？
[236.466] Nonchico: いいとこで止まったｗ
[237.825] kame277: あっそうか
[237.919] HirocoT: タイミングｗｗｗｗｗｗ
[238.933] ememeume: 最後オチきた
[239.117] Hikaru_256: おいｗ また切れて聞けなかったぞｗ
[239.328] tw_numa: なんだってぇぇぇ
[241.586] kame277: ww
[242.399] もきち555: また連絡してくれー
[243.821] lutz001: 幽霊だろ・・・
[244.006] (S)adamsky111: セーフ
[244.459] (S)成吉大: オチが切れたぞ！！
[246.851] chin_56_: 呪われてんな
[246.868] (S)n242f45aa: また時飛ばされたんだけどw
[247.337] bobby_yano: はがきのところからやりなしてくれｗｗｗｗｗｗ
[248.736] (S)shikiso49: 稲川淳二かよ
[250.633] rxz_2017: 実在していたんですかねぇ
[252.511] ddsato316: こわいオチだった
[254.667] HirocoT: えいたさーん！ｗ
[254.827] zyangara2: 夜逃げやな
[254.979] low_single: オチ聞けない呪いｗ
[255.184] umesecond: こわ
[256.254] renoarenoa: なんでこんなに不安定なんだよ
[257.681] tw_numa: すごいオチだった
[257.930] tokiomari: なんか念が電波してるぞｗ
[259.020] (S)yukaring: monkaS
[260.482] syugi3: 怪奇現象
[261.288] Roze1019: ｗｗｗ
[262.173] mamimemou: こえ～んだけど
[264.828] ochayan: こっわ
[265.730] (S)~MISSING_COMMENTER_INFO~: 電話のあと
[265.950] (S)katuo3_: えいたやったな
[265.957] クェイ: こわｗｗ
[266.068] imokun888: それは貴方の頭の中の存在ではありませんか？
[266.079] tw_numa: マジで
[266.436] feel2525: まじよ
[267.156] (S)くえんち: ｗｗｗｗｗ
[267.212] zyangara2: ホラーなんよ
[267.559] lun__01: しかもいいところで
[268.186] ふるおりん: あっ・・・
[268.264] (S)景彡才支: KSKの方で聞いた
[268.843] ochayan: ホラーじゃん
[269.936] アベ0206: ほんとにオチだけ
[270.712] chachachakoma: なんかあるんか？
[271.379] blackie_1988: 聞こえたよ
[271.540] umesecond: なんかいるね
[271.921] パイモン狐村: 怪奇現象w
[271.986] syagami: 妨害されてんねぇ
[272.244] balthazar000: ちゃんちゃん
[272.310] (S)成吉大: ホラーやん
[273.026] Coedawg: umeYay
[273.172] kame277: 電話番号かいててかけられなかったの？
[273.220] mmiiacha: ウメちゃん怖がっちゃうからぁ
[273.268] tamagon_: こわぁｗ
[273.594] chinpocor: どうなってんだあああああ
[274.086] (S)n242f45aa: オチわっかんね〜
[274.331] もきち555: しないほうがいい話
[274.978] tw_numa: やめておけと言うことか
[275.255] ememeume: 聞けたよ！
[275.258] (S)やすぽこ: やばいやつ
[276.058] chin_56_: ビビってる？
[276.538] evimayo88: こわいよー
[276.748] tategami: WutFace
[277.030] (S)brutal9998: 呪いよ
[277.093] にとう夢の: でんわ
[277.264] kaigaizei: 「電話したらー」で止まった
[278.739] toropuni: 稲川淳二ｗ
[279.165] anaguma3: KSKの方で聞こえてたわｗ
[279.320] (S)kkshkk: ホントにオチだけ
[279.409] クェイ: これホラー？
[279.541] neon_d99: まあバブル弾けたころだからなぁ
[279.598] (S)くえんち: umeYay
[279.763] tw_numa: こっわ
[279.891] アベ0206: やめよっか
[280.101] tabibitox: 闇を感じる
[280.192] chinkalahoi: 電話してそれからわからんｗ
[280.786] はーげんだっつ: 学校に行ったらみんなその子の事誰も知らなかったってオチは？
[280.934] bikibiki999: 顔ｗｗｗｗ
[281.326] demonbane_twosword: 念能力か？
[281.407] ememeume: 大丈夫よ！
[281.428] potocki1810: なんの顔やねんｗ
[281.707] (S)dj0d4y4k4: 止まったけど聞けたよ
[281.839] blackcoffee0821: 聞けたよ
[282.263] balthazar000: KSK配信で上手く聞けたよ
[282.863] HirocoT: 「電話したら」
[283.005] momochan6: 音だけシュート配信しとくといい
[283.834] zyangara2: オチを言う瞬間だけ止まるｗ
[284.616] embercleave4rr: 電話したとこまで
[284.757] muji_na: そしたらまで
[284.926] (S)くえんち: 電話すると
[285.054] (S)成吉大: 電話したらー
[286.122] akindo08: もしかしたら今見てる可能性も
[286.665] (S)mogetasan: はい
[287.074] inori1929: こわいなー
[287.411] (S)~MISSING_COMMENTER_INFO~: 電話したらから
[288.439] poposuke: 大丈夫だった
[289.598] (S)junjamaica: でも魂でも会いたかったんじゃね？
[289.609] loran_t: これは聞こえてた
[291.219] mmiiacha: ｗｗｗｗ
[291.307] balthazar000: 電話番号が載ってた～まで
[292.738] kame277: まじでやばいな
[292.966] パイモン狐村: こっちで聞くわw
[293.016] blackie_1988: 使われてなかったのも聞けたよ
[293.350] familycomp: 呪いがKSKに
[293.521] zyangara2: また止まるぞ
[294.438] メジャーリーガー: これいますね
[295.098] (S)泣き虫サクラ: 何度話すんだよｗ
[295.771] lun__01: 3回目w
[298.393] osman_kotarou: 「10年後ー・・ブツ」って
[298.693] potesaraudon: もう一回起きたら確定だな
[302.609] rxz_2017: オチを２回言わすなｗ
[303.705] nabewata21: やさしいw
[304.674] アベ0206: さあ電話
[305.359] bobby_yano: はがきのところからお願いしまうsｗｗｗｗｗｗｗｗ
[307.984] yoshikawa_yo: 止まるのか？また？
[313.536] chanmipoin: 止まった？
[314.353] (S)n242f45aa: 怖
[314.400] yamanashi_sp: きけた！
[314.584] chin_56_: 止まった
[314.999] アベ0206: ﾋｯ
[315.748] balthazar000: うーんホラー
[316.264] Roze1019: 大丈夫
[316.398] (S)hiaaru: kowai
[316.580] (S)~MISSING_COMMENTER_INFO~: どういうことだ・・・
[317.212] demonbane_twosword: 大丈夫ｗ
[317.511] zyangara2: 止まんないのかよ！！ｗ
[317.677] anem_ai: ええ…
[317.709] (S)成吉大: とまんなかった
[319.461] aranami0: かなしい
[319.746] (S)n242f45aa: こわい・・・
[320.254] crownpecis: 怖い話やん
[321.112] inori1929: 完走した
[321.355] chinpocor: きけた
[321.800] パイモン狐村: 残念ながら大丈夫だわ
[323.067] kame277: 大丈夫！
[323.142] osman_kotarou: おー、、
[323.333] poposuke: 聞く度に詳細になっていくんだけどｗ
[324.807] imokun888: 市外局番とか書いてなかったんちゃう？
[328.129] (S)成吉大: 成仏した
[328.455] HirocoT: 成仏達成
[329.777] bikibiki999: ころすなｗｗ
[332.562] lun__01: 配信成仏
[333.025] (S)rm_rf__: なんなら止まって欲しかったな
[335.581] もきち555: 勝手に殺すなｗ
[335.939] (S)katuo3_: 色んな家あるしね
[336.507] (S)junjamaica: それぐらい会いたかったんだよ
[337.605] kame277: 結局話せなかったのか
[338.287] ペプシ男: かなしいな
[339.356] Hikaru_256: まさかホラーなのか
[341.320] (S)mogetasan: どこ行ったんだろうね
[341.901] akindo08: そういう友達ってなかなかできないからね
[342.897] zyangara2: 足立だからな
[345.441] 無心に: 成仏リーサル
[345.484] (S)n242f45aa: 電話番号間違ってたとか?
[346.709] nosveral: www
[351.872] chinkalahoi: 住所が気になるな
[352.447] (S)n242f45aa: 成仏してクレメンス・・・
[355.987] daruma2597: 後ろのおじさんが怖い
[357.137] Hikaru_256: この部分切り抜いて見てもらおう
[368.212] クェイ: ・・・・
[370.107] パイモン狐村: 弘前にいるオチ…無いか
[370.152] nicolchan1212: あら、また車？
[372.849] bikibiki999: 家ではしんどいけど友達とは明るいとかかな
[375.702] akindo08: たしかに番号間違えてたはワンチャンあるね
[377.940] もきち555: 元気にしてるといいなー
[383.305] HirocoT: かな～
[383.398] lunasolnars: お母さんダイゴが真っ白な絵ハガキ見てブツブツ言ってるよ
[384.352] poposuke: 歩道があるエリアまでワープ
[385.152] (S)~MISSING_COMMENTER_INFO~: ウメさんが言うんだからかなり面白い奴なんだろうな
[390.576] yamanashi_sp: ひろまえ・・・
[390.888] (S)junjamaica: NPCでも元気だから大丈夫よ
[391.245] (S)kkshkk: ひろまえって
[392.428] renthe_invorker: まじかよ
[393.405] nagilay1: ひろまえｗｗ
[394.296] (S)成吉大: hiromae
[395.130] (S)wankoro_moti: ひろまえ？？？
[395.576] poposuke: ひろまえ
[395.961] zyangara2: ひろまえｗ
[396.016] chachachakoma: ひろまえｗ
[396.828] (S)_ぷっちょ_: ひろまえ・・・
[397.012] HirocoT: ｗ
[397.055] imokun888: ひろまえ？？
[397.550] tw_numa: ひろまえな
[398.137] もきち555: ひろまえｗ
[398.206] familycomp: ひろまえ
[398.365] aranami0: ｗｗｗ
[398.909] (S)brutal9998: ひろさきな
[400.046] 不渡哲也: ひろまえ
[400.205] (S)n242f45aa: わかる
[400.440] はーげんだっつ: ひろまえｗｗｗ
[400.506] balthazar000: ひろまえ？
[400.812] chamomile21: ｗｗｗｗｗ
[400.855] (S)~MISSING_COMMENTER_INFO~: こわいなこわいな
[402.688] onigiri21: ひろまえな～
[403.017] (S)kkshkk: 興味無さすぎだろ
[403.058] (S)tilia211: ひ・・・弘前
[403.821] potocki1810: 大切なとこぉｗ
[404.918] (S)~MISSING_COMMENTER_INFO~: それが一番怖い
[405.175] (S)leox_oxq: えいたー？
[405.319] lun__01: ながたひろまえ
[405.410] balthazar000: 締まらんなぁ
[406.501] (S)ryabegaming: www
[407.413] パイモン狐村: 皆ヒロマエ読みやめちくり～
[407.982] tw_numa: ひろまえなー
[408.558] kame277: w
[409.460] Hikaru_256: えいた、さては狙ったなｗ
[409.494] (S)junjamaica: そこやぞえいた！
[410.641] tooyasan1: ひろまえｗｗｗ
[411.867] (S)n242f45aa: ちょんぼにぃ〜
[412.213] (S)~MISSING_COMMENTER_INFO~: それがいっちゃんホラー
[413.370] tabibitox: どこへ向かってるか知らない男
[415.265] syagami: えいただけひろさきへむかっている
[416.259] kimie_white: えいたそういうとこやぞ
[421.551] (S)tilia211: NPCありがと～
[421.702] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[424.184] rxz_2017: えいたリタイア
[426.489] balthazar000: ５分くらいか
[427.192] (S)brutal9998: この軽さ
[428.956] low_single: マジであとちょっとのとこ
[431.931] evimayo88: 脳内で漢字が見えちゃうんだろうな
[432.536] naina717: ひろゆきがひろさき間違うかね
[440.294] (S)pgr33: 結構ワープできたな
[445.146] (S)泣き虫サクラ: たぬかなっていった？
[445.655] もきち555: ちょうどいいワープだったね
[447.551] right_8: ラスト区間？
[451.570] (S)mogetasan: あと何キロなんだろ
[452.238] pascal171012: FamilyMan
[453.085] balthazar000: 1~2kmくらいかね
[456.648] akindo08: 寒いなら低体温症には気を付けて
[460.041] Roze1019: momochocoGonsukezenbu
[460.869] (S)pgr33: もうすぐ着くね
[462.506] ememeume: 雨きつい
[462.527] ~MISSING_COMMENTER_INFO~: OhMyDog
[467.913] familycomp: ジンバル壊れるんじゃないの
[468.342] ememeume: 濡れた犬ww
[469.134] shifoncafe: すぐやなー
[470.864] (S)kkshkk: ワープでっか
[472.868] NagOutSide: 皆がんがれ〜
[476.777] ddb365: がんばー
[483.340] renthe_invorker: え？もうすぐゴール？
[483.879] (S)ninjin125: お気をつけて！
[484.563] (S)junjamaica: 今日の晩飯何？
[484.949] balthazar000: 18:00そろそろ。暗くなってくるぞ～
[486.330] donekofg: もうすこしー
[487.888] aranami0: がんばー
[489.156] tokiomari: 頑張れ～
[489.375] right_8: 雨、結構降ってますね
[490.274] rxz_2017: ラストスパートいってみましょ～～～
[490.362] pascal171012: NPCは早く持ち場にもどれー
[491.152] ~MISSING_COMMENTER_INFO~: ここにきてみんな余裕だな
[493.392] かふぇらて_: あとちょっとがんばれ！
[496.178] norishio523: がんばれー
[496.183] jojoxxxxxxxx: これって罰ゲーム？
[496.422] daruma2597: あと30分くらいかなぁ
[498.495] (S)ryabegaming: 頑張れー 
[500.562] sora_1906: 東北は日暮れが早いんですよね〜
[502.462] balthazar000: ガソスタでっか
[503.333] kebiisi: 草
[505.803] だいこん_: ひどいｗ
[508.999] (S)_ぷっちょ_: いない人のリアクションじゃん
[509.683] icyblue1985: ひでえｗ
[515.108] rim_muri: がんばえー！
[518.733] imokun888: 青春だよな
[520.483] (S)~MISSING_COMMENTER_INFO~: いたるくんね
[521.421] (S)junjamaica: ふ～に聞いてほしいな
[525.362] akindo08: 身体が震えだしたら低体温症の前触れだから注意して
[528.323] ~MISSING_COMMENTER_INFO~: ラストスパート Cheer100
[528.946] wonderhit1: ガンジャ
[531.409] (S)tilia211: こんな友達いねぇよぉ～
[560.330] imokun888: 雨で濁ってるだけじゃね？
[561.678] (S)maruto2023: maruto2023 subscribed at Tier 1. 
[562.407] (S)景彡才支: KSKが感謝ないと愚痴っております
[586.018] balthazar000: 追加10万希望か
[593.020] megantes2: 今日は最初風呂か
[593.339] (S)brutal9998: 「余裕ないんだろうね」とも
[593.958] さっぽさんぽ: 40.313461, 140.747265
[596.502] osman_kotarou: 今日はドライブイン多いな
[601.027] chin_56_: チル飲んどけ
[604.108] (S)patriot_ryoma: 雪代（ゆきしろ）、山の雪解け水で増水するからね。この時期は
[606.309] NagOutSide: 愚痴るのはチルアウトの宣伝になるからな
[606.860] syagami: 感謝（封筒）
[608.488] (S)成吉大: 感謝は強要されてやるものではない
[608.949] aranami0: さすがに？
[609.772] (S)kkshkk: 当たり前の仕事なのに…
[610.172] poposuke: 形にしろってこと？！
[612.157] はーげんだっつ: 感謝（マネー）
[612.197] umesecond: 晩飯いらんのかな
[612.584] merkava_mk2: 感謝？それがお前の役割やろがい！
[613.031] mememe10: 義務だろ
[615.309] koumonsama: 彼の感謝はお金
[615.521] tw_numa: 感謝の封筒
[617.634] right_8: KSKは、欲しがるからなぁ～
[618.016] syugi3: イラチルかあ
[618.368] balthazar000: 確かに
[618.636] lstang: チルアウト
[619.388] daruma2597: 感謝は言葉でなく封筒
[619.531] (S)tilia211: 愚痴ってからのチルの宣伝だぞ
[620.387] junkypot: 仕事だろ
[621.843] (S)dj0d4y4k4: おわってんな
[623.128] はーげんだっつ: チップがないってこと！
[624.844] Hikaru_256: デジタル封筒投げないと
[624.881] だいこん_: チルチルしてきた
[625.577] chamomile21: 感謝とはお金
[625.851] まさきち0924: あんまり鳩きにすんな
[626.136] (S)hone253: ここにきて内紛wwww
[632.722] (S)maruto2023: 草
[635.364] zyangara2: 好きなもん人の金食べてるだろ！！
[641.159] (S)hone253: 誠意とは言葉ではなく金額www
[641.209] 勤務中: チャーシューいれてくれてありがとう
[644.133] osman_kotarou: いうてもう18時だしすぐ真っ暗になるな
[644.356] ペプシ男: 正論ではあるｗ
[646.271] (S)~MISSING_COMMENTER_INFO~: 公衆電話！
[647.653] kame277: 最後に仲悪くなるなw
[656.043] chinpocor: 日没ぎりぎりだね
[659.365] (S)rinfi22: rinfi22 subscribed with Prime. 
[660.204] みょんみょんあかみ: 電話ボックス！久しぶりだな
[677.817] (S)まとご: あと何キロ？
[688.268] (S)junjamaica: えいた頑張ってるよなぁ
[689.083] (S)ダチュラの助: ダチュラの助 subscribed with Prime. 
[696.161] uguisupan1192: えいた口数減ってない？
[696.260] pascal171012: 桂～、あとなんきろ？
[696.887] (S)kkshkk: 名古屋メシだな
[706.378] Hikaru_256: なお 本当に言ってたのかは不明
[710.280] nail06k: 雨にも負けず
[710.378] HirocoT: へぇ
[718.177] tatyuhiko_2525: 雨の中お疲れ様ですほんと
[725.069] みょんみょんあかみ: このえ
[729.636] (S)~MISSING_COMMENTER_INFO~: 野田さんギアあげてるね
[735.693] megantes2: Dの話でもええど
[736.917] (S)junjamaica: てめぇの配信じゃねぇんだよｗ
[737.415] sora_1906: 風強いと傘つらくないですか？
[741.624] chinpocor: すげえ前にいるね
[743.172] donder112: 長崎来ればトルコライス食えるで～、散歩もすごいおすすめだし来て～
[753.031] 風来のリュウ: え？
[762.247] gajonaori: オードブルだと普通にある
[782.395] shamisen0704: 桜すげえ
[788.566] balthazar000: 日本広いな～
[791.618] anaguma3: 長崎坂道多くない？
[802.419] shifoncafe: ファンボ
[803.912] ememeume: 右側の何？
[803.942] (S)tilia211: 応援ｯｹｲ!
[805.800] kebiisi: ありがとー
[806.463] ddb365: ダッシュｗ
[807.188] chin_56_: めっちゃっ頑張ってる
[807.742] maddy2623: GM
[808.020] chamomile21: 走ってるｗ
[808.805] bikibiki999: ｗｗｗｗ
[810.214] chinpocor: おお
[811.203] aranami0: 頑張りｗ
[811.272] HirocoT: ｗ
[811.504] embercleave4rr: めっちゃダッシュしてて草
[811.671] (S)shinobuchan4649: 応援バフ
[812.189] balthazar000: ダッシュ凸
[812.674] 動画勢0: 応援団ｗｗ
[813.986] neon_d99: は知っとるｗ
[814.466] syugi3: すげえ
[814.794] potesaraudon: がんばったｗ
[817.582] (S)まとご: サボテンダー
[818.134] ochayan: 元気良すぎだろｗｗｗ
[818.135] neon_d99: ダッシュにぃｗｗ
[819.714] zyangara2: ダッシュにぃ～～
[820.061] Mrk111: ダッシュ兄w
[821.525] chachachakoma: ダッシュにぃ！
[821.536] syagami: ダッシュにぃ
[823.703] ememeume: 走ってるw
[823.789] KTR_trashbox: ダッシュにぃ
[823.896] eru_yabuki: 墓地
[823.915] (S)tilia211: 元気だったなぁ
[824.082] xxxmach: ダッシュにぃ！
[824.401] icyblue1985: ダッシュにぃ
[826.673] kiichang: 兄’
[828.940] (S)maruto2023: ダッシュにぃ～
[833.220] syugi3: ダッシュ性能ええな
[834.970] xxxmach: 一瞬でカメラアウトしたｗ
[835.772] pascal171012: この寒空の下で待ち構えていたNPC
[841.316] (S)shinobuchan4649: ふりかけ
[842.141] chinpocor: こんな道に凄いな
[842.327] balthazar000: ウメハラが東北横断は中々ないもんなぁ
[842.424] natu_sann: はみぱん！
[844.030] Hikaru_256: いつかターボにぃも出てくるのか
[849.602] (S)junjamaica: トラボのゴールテープあるんか
[861.705] LEE4646: 雨の中の行軍は体力減るなぁ
[863.788] (S)まとご: クツの中ビショビショでしょうね
[864.020] ememeume: ポテトチップスパンあったなぁ
[871.764] (S)~MISSING_COMMENTER_INFO~: でりへるばーど
[877.286] GelidiumJellyCat: オメガルガール？
[880.606] HirocoT: へぇ
[890.601] (S)kkshkk: ベーコンエピか
[896.813] (S)senseiabcd: 八甲田山みたいになってきた
[898.147] chamomile21: ベーコンエピいいね
[899.909] umesecond: パン屋うますぎてマクド行く価値が薄い
[901.043] uguisupan1192: ベーコンエピ
[901.993] ライム_: ベーコンエピ
[902.972] King_Fuudo: 完全ずぶ濡れやん
[904.365] 芋之山: ベーコンエピかな
[929.006] kirakiracat331: スイートブール
[929.865] Mrk111: スイートブール
[929.893] poposuke: 小麦アンド小麦
[930.267] (S)ishiwata1234: スイートブール
[930.960] yamanashi_sp: スイートブール
[933.547] sora_1906: スイートブール
[934.417] 芋之山: スイートブールね
[943.275] (S)junjamaica: チーズプールもある
[944.958] (S)vungo_mr: ブールな
[949.243] tokiomari: デカイもんね
[955.140] ememeume: うわ、空暗くなってきた
[960.089] 503_win: あれカロリー凄い
[960.690] (S)ishiwata1234: 板チョコデニッシュばっかり食ってたな
[966.313] evimayo88: コスパいいやつ
[968.931] tw_numa: 学生はデリコッペ
[969.227] shifoncafe: 鉄板
[970.590] ~MISSING_COMMENTER_INFO~: マロンマロンばっかり食ってた
[984.352] porcupinepine: しゃれてんねー
[987.818] pascal171012: 山崎のウィンナーにマヨネーズのっけたパン
[989.519] umesecond: 蓮根パンかなりうまい
[990.799] 芋之山: 銀チョコもいいよ
[992.578] (S)junjamaica: 今日の晩飯何？
[993.110] besser_org: スナックゴールドなし？
[1005.326] Frasco006: クイニーアマン最強
[1014.987] 0208h: 5本入ってるチョコチップのパン
[1016.181] yamanashi_sp: コーンマヨ最強
[1019.206] ninpoko13: あれ最近打ってないんだよなぁ
[1027.077] しいたけもぐもぐ: 野田くんはいる？
[1033.731] (S)ishiwata1234: コスパはナイススティックよなー
[1052.132] (S)junjamaica: 安くついていいね
[1053.429] chanmipoin: 吉野家
[1055.287] (S)kkshkk: 民家で食うか
[1055.329] (S)マルい: うんこ！！！！
[1055.352] chin_56_: 菓子パン
[1056.026] porcupinepine: 今歩きながらパン食うと泣くほどうまそう
[1057.085] feel2525: 鍋で行け
[1062.307] pakapakabuu: 雨の中どうして散歩ですか？
[1062.665] HirocoT: しかもホテルのレストランはラストオーダー19:30ってコメントも・・
[1064.090] pascal171012: 鍋系いいね
[1064.132] mitu56: KSKが嫌な顔する
