[7.670] もきち555: こんうめちゃん
[83.447] てべす1103: 高木と飯まじかw
[84.049] (S)miruko003: カフェインや
[84.869] teruharu_: お大事に
[85.013] ももしろてゃん: ビーストカップおつかれさました！
[89.256] jagajaga1943: ビーストカップの現地どうでした？
[89.457] モタリケ君: スト6 、28万人見てたぞ
[90.928] aiueo_zzz: ハイゲ良かったよ！
[91.533] bokaaan: 顔死んでるｗ
[91.797] (S)イエール: Dの兄貴頑張ってたよ
[91.810] 地球最弱を継ぐもの: 2時からだっけ
[93.788] gyu_nyuu_pann: Cheer100 ビーストカップお疲れ様でした！お疲れの中一緒に写真撮っていただいて嬉しかったです
[93.867] 犯人やす: 少年兵と飯食ったときいて
[96.289] garouakira: うめちゃん寝起き？
[96.616] chanmipoin: 蛇足すげえ処られてたよ
[99.523] あかの: 何時まで見るかな
[102.333] (S)軽く捻るか: 風邪ですか？
[102.574] 箸くれ: 箸くれ is gifting 5 Tier 1 Subs to DaigoTheBeasTV's community! They've gifted a total of 43 in the channel! 
[103.557] ピヨさん: こんばんは
[103.696] 箸くれ: 箸くれ gifted a Tier 1 sub to kalel_0421! 
[103.726] 箸くれ: 箸くれ gifted a Tier 1 sub to カブトシロ! 
[103.728] 箸くれ: 箸くれ gifted a Tier 1 sub to nutsberry1701! 
[103.783] 箸くれ: 箸くれ gifted a Tier 1 sub to nt_chikuwa! 
[103.835] 箸くれ: 箸くれ gifted a Tier 1 sub to inari_tencho! 
[104.401] (S)ichione111: Cheer100
[105.876] どこどこ60: んぅ？
[107.966] ピヨさん: 顔
[111.046] madcofffeee: ハイゲ現地民だけど、まじでスト6が1番盛り上がってた
[113.793] aiueo_zzz: わあ！？
[113.823] (S)カブトシロ: こんばんは。
[113.953] (S)イエール: 二日酔いがすごそうww
[114.631] giguok: ほんとモダン操作があってよかったよ
[117.659] ヨコグシ: おはよう～
[118.421] (S)4444446666: 蛇足兄貴、たいじに初られてたけど、ウメちゃんにおしえてもらった前ステ２回からのバクステできてたよ
[120.644] norumon: マジか
[121.886] wonderhit1: 二人で？
[122.096] おじキッズ兄: まじかよｗ
[125.563] bokaaan: 高木めっちゃうれしがってたｙｐ
[125.800] (S)firefly860130: こんばんは
[126.355] もこうゅ: たいじvsこくじん熱すぎた
[129.027] haicro_zm: あの高木と
[129.748] (S)イエール: ww
[133.892] 地球最弱を継ぐもの: おじさんと18歳て会話するのか？
[136.011] 狐爪: ミラー何時からですか？
[136.202] (S)miruko003: 休んでくれ
[136.623] 箸くれ: 無理しないほうがよくないですかｗ
[136.706] 5don: 気になる
[140.986] 1108044k: 何時間寝たの？
[143.560] balthazar000: もう少し寝れば？
[144.342] pyamaaaa: 薬飲んで
[146.559] gyu_nyuu_pann: 休んだ方がよくない？
[146.970] (S)イエール: 水がぶ飲みすれば時間経過でデバフ解かれそうw
[147.063] norumon: お
[147.700] cafe_gondo: こんばんは
[148.006] だいこん_: たいじさんは流石に異次元だったね
[148.791] chinbinmax: おー
[149.494] potocki1810: Beastカップお疲れ様でしたー
[150.353] (S)キングレオ222: バファリン飲んだ？
[153.085] gyu_nyuu_pann: おー
[153.375] aiueo_zzz: 練習しないの？
[154.454] abo_gorilla: 寝起き即ランクマｗ
[154.630] bec118_japan: そうですよねー
[155.493] ピヨさん: カナダに向けて
[156.124] n242f45aa: リュウさよなら・・・
[157.416] 箸くれ: 勝手に見るから座って寝てていいよ？
[157.675] 5don: 体づくり
[158.412] Ceciltaisa: やっぱケンよなぁ
[159.413] (S)軽く捻るか: は～い
[159.494] lucky7404: またケンなのね
[161.569] teruharu_: 頭痛いのはつらい
[162.250] balthazar000: 高木さん？
[162.573] (S)イエール: ケンも好きよ
[162.948] matsu_zalem: キャナダ
[169.760] gorogorogorn: カナダケンなんだあ
[170.066] だいこん_: カナダ大会ファイトです
[171.261] 地球最弱を継ぐもの: 薬がわりのレッドブル草
[178.552] danny_love_danny: でも今日はジェイミー
[178.919] すぎた_のり: こんばんは！
[180.904] 鉢植: umeRyukichi
[182.030] lucky7404: 強い？
[182.510] bokaaan: しんじてええんか？
[186.544] y_proto: CABAガイルもジェイミーにやられてた
[187.663] gorogorogorn: 早く乗り換えて欲しいな
[191.841] ピヨさん: これだけ触るという事は本当に可能性感じてそう
[194.113] ぬーぼー2: 光のジェイミー
[194.803] Ryota_theCAREN: こんばんは！昨日はビーストカップおつかれさまでした！
[195.133] だいこん_: 調整内容によっては"ある"
[202.814] gyu_nyuu_pann: ウメジェイミーもまた良き
[203.061] maddy2623: ウメちゃんこんばんは
[217.473] (S)a_isana: こんばんはー！ビーストカップおつかれさまです
[224.218] (S)イエール: ウメちゃん、ジェイミーの使い方いろいろ考えてそう
[225.374] yorigirl: カナダからかな？
[229.863] yorigirl: こんな時間ってことは
[235.938] (S)miruko003: ジェイミー増えた気がする
[237.172] johndoe6523rp: いずれにせよ大型調整次第って感じすか
[237.240] n242f45aa: ジェイミーで酒飲んでると相手攻めてくれるの良いよなあ
[251.129] (S)askrra: ウメちゃん二日酔いで格ゲーできちゃうなら俺らごまかしできないじゃん
[256.065] 地球最弱を継ぐもの: ジェイミー増殖するでこれ
[264.882] 上腕に問う菌: 高木くんとご飯行ったみたいね
[275.916] n242f45aa: 高木くんの前ステ力すーごい
[279.974] potocki1810: ジェイミーとリュウがランクマに増えたそうですね 
[286.167] yorigirl: ごはん後のすと６ですか
[297.734] tugaru_san: 高木くんとご飯いってきたそうですね、彼はどうでしたか？
[304.528] 超パンダ: ウメちゃんこんばんわ！！愛してる！
[305.709] ブラッドリンク: 時間たっぷり使って相手と思考のやり取りしてるのがハマってるんですかね？ジェイミー。焦る必要ない立ち回りッスよね
[309.079] hassou_tobi: PogChamp
[317.194] 箸くれ: ビーストカップでジェイミーの話したがるウメちゃんおもろかった
[321.300] masayan0618: こんばんわ
[327.669] (S)4444446666: 高木と飯ってどういうつながり？
[334.085] playatlas: １８？だっけ一回り以上違うな
[334.288] ~MISSING_COMMENTER_INFO~: 高木がガチ感動してる
[335.755] jagajaga1943: どこが面白かったんだろう
[335.808] (S)イエール: ウメちゃんの面白いは「変わってる」である可能性高いw
[340.608] gorogorogorn: 誰？
[343.261] johndoe6523rp: アフロの子か
[345.285] danny_love_danny: さんちゃんも一緒じゃなかったの？
[350.807] booby_one: ウメちゃんの変な奴コレクションに入りそう？
[352.698] 超パンダ: そんなどこの馬の骨かもわからんやつとご飯行ったの
[354.711] Ryota_theCAREN: ハイタニさんとかかるびちゃん？
[355.831] suez_stupidpro: riddleの？
[356.395] n242f45aa: 格ゲー始めて一年経ってないのに速攻レバレス移行しててすごい
[360.828] eiganojaiann_: リドルだよ
[368.947] une3333: ハイタニさんの教え子で、強いブランカの人ですね
[370.425] bec118_japan: ミラーは何時から？？
[372.358] (S)イエール: いやー、川村くんがいる棚には早々入らないだろうw
[377.358] 5don: ３たろさんが配信中に約束しようとしてたやつですかね
[386.555] shomarusan: にしきんさんとかに教わってた高木くん
[395.964] lucky7404: レッドブル組み手は何時から？
[401.627] johndoe6523rp: メナとフレンドの高木くん
[404.499] (S)Tha_Rat_King: Tha_Rat_King subscribed with Prime. 
[405.469] 新ころりん: 確か高木君レバーレスに変えてからあんま日にち経ってないよね？
[406.051] gyu_nyuu_pann: 組み手2時から
[406.172] 箸くれ: 組手は2時
[410.326] v_harumi_v: ミラーは２時頃～とか言ってたような
[413.525] yur4ki: 高木は前ステ凄いっぽいな
[414.538] bec118_japan: 2時あざ
[415.961] mm2351: こんばんはー
[416.955] 上腕に問う菌: 高木くんにみんなメロメロっす
[419.395] potocki1810: 2時。。。
[421.850] lucky7404: ありがとう、日本人は誰が出るの？
[423.495] tsubame0614: 高木はまじで天才だと思ってる
[432.444] gyu_nyuu_pann: ときどボンガチひびき
[433.031] gorogorogorn: 本当に２時かな？
[439.343] johndoe6523rp: ガチくん、ボンちゃん、ときど
[442.744] nan4mi66: カナダはケン一本でやるの？
[444.620] johndoe6523rp: ひびき
[445.801] toratoratora3: HeyGuys
[446.122] maddy2623: やる
[446.358] lucky7404: あざす！やさしい
[446.879] (S)イエール: 高木くん、ヌキさんにハマってるらしいね
[452.730] hassou_tobi: SeemsGood
[454.026] sn0wf0x3: 深夜ウメちゃん久々
[455.689] mako_oswald: 高木はウメちゃんあえてモチベ爆上がりしてウキウキで練習してる
[459.857] gularain: ２時までやるの？
[465.230] incorocon: 低スト強いね
[465.426] gyu_nyuu_pann: カナダ行くんだ いつごろ？
[468.270] (S)shimao00: shimao00 subscribed with Prime. 
[468.280] lucky7404: ケンまだ全然強いよね
[469.449] gondawaragon: 2時から金網の長い演出やる感じ？流石に寝るかな
[469.543] n242f45aa: リュウさん・・・
[469.622] ピヨさん: さすがにまだ間に合わないですか
[471.896] 箸くれ: 頭いたそう
[474.465] 5don: ザンギどうですか
[479.155] v_harumi_v: カナダはいつ出発予定ですか？
[490.633] masayan0618: 破産しててもカナダは行ける
[496.369] Ryota_theCAREN: ふーどさんがガイルやたら推してましたけどどうですか？ｗ
[497.855] johnnyppas: 仕上がったらジェイミーで大会に出るんすか
[498.785] gyu_nyuu_pann: てかカナダで大会あるんだね
[500.403] 新ころりん: オープニングセレモニーが１時からっぽいかな？
[504.607] 5don: umeSalute
[510.134] n242f45aa: 今日こくとよしなまがギリギリの戦いしてるの見ましたか
[510.912] flashbacks18: カナダから来いよ
[513.410] gorogorogorn: カナダの情報は解禁済み？
[513.619] gyu_nyuu_pann: ひびきさんまじ楽しみ
[514.308] manyunyu: ガイル推しおもしろかったw
[514.995] 憂う者の弟子: だ・・・だいごがこんな夜中に起きてる
[520.854] 箸くれ: ウメちゃんが破産しないようにみんなサブスクしよう
[527.827] いがぐりころころ: こんばんは。大会お疲れ様です
[528.221] (S)dadadai17: コンボコンテストとかまたあるのかな？
[533.301] やわら72: ガイル使ってほしそうだったなーｗ
[545.757] gyu_nyuu_pann: ガイル推しおもろかったねw
[553.605] maddy2623: ネモさんもウメさんはやくガイル使ってくれって言ってた
[554.295] shomarusan: ウメガイルもみたい気持ちある
[563.042] manyunyu: Tシャツ届きましたー☺️
[570.066] gajpmwtdpw: ウメちゃん眠くない？
[576.142] maguro66: ウメちゃんハイゲって見てた？
[580.640] gorogorogorn: 自分も今日届いたー
[585.846] toratoratora3: 見てるわけねえだろw
[590.717] (S)funkyratty: funkyratty subscribed at Tier 1. They've subscribed for 6 months! 6 months!!
[593.490] 新ころりん: 気付いたら 高木君も配信やってた
[597.470] bec118_japan: プンレク入れてるかも怪しい
[606.874] 地球最弱を継ぐもの: 飯行ってたなら見てないのでは
[613.571] 憂う者の弟子: 愛されボディか！？
[617.870] shomarusan: こくじんが負けたことを知ってるのだろうか
[618.186] gyu_nyuu_pann: Tシャツ私も届いた！めちゃ良かったわ
[621.943] ~MISSING_COMMENTER_INFO~: 見てたらしいよ。もこうすきらしい。
[622.051] n242f45aa: こくが土気色の顔してて面白かった >ハイゲ
[623.659] tyapa95: fuudoGood
[632.424] うじさと: 見て欲しかったなー
[637.554] pansollo: 組手みたかったけど涙を呑んで寝ます
[637.788] manyunyu: 良かったですよね！色違いも買えば良かった…
[641.360] une3333: 5と6のガイルってそんなに同じなのかしら、まぁ基本は一緒か
[641.692] 新ころりん: ハイゲはこくの声援デカすぎて笑った
[663.615] maguro66: 見どころ多かったな
[663.675] une3333: 相手のコマ投げつよーい
[671.590] ~MISSING_COMMENTER_INFO~: ああいう場でストファイできるのってモダンのおかげだなって思った
[676.428] kazurock69: kazurock69 subscribed at Tier 1. They've subscribed for 48 months! 
[688.983] (M)gameinntwitch: ミラー中もゲームしそうとなると、帰宅したら配信パソコン側でミラー視聴組まんとやな。ゲーム画面も小さく出すか。帰ったら準備するからその際はテストご協力宜しくお願いしますー
[693.802] うじさと: 半分くらいモダンだったからね
[707.619] gondawaragon: リリー戦どうしても好きになれないなぁ
[711.372] gyu_nyuu_pann: メンおじさんお疲れ様です〜
[713.455] elduderino7528: Legend
[722.245] だいこん_: もこう先生メチャクチャ上手くなっててビックリしたわ
[722.641] jigokunonekomatu: こくにいってほんとに数字持ってるんだね。すごいよ
[723.958] maddy2623: ｗ
[724.620] (S)幽闇ゆゆ: 幽闇ゆゆ subscribed with Prime. 
[725.996] une3333: メンおじさんありがとー、もはやここが家
[726.860] v_harumi_v: @gameinntwitch メンおじさま、お疲れのところありがとうございます。
[730.369] y_proto: 浴びるように飲んだ
[730.846] pensador28: diego
[739.249] 憂う者の弟子: さてはリリー・・・強いな？
[741.471] teruharu_: メンおじありがとう〜
[749.989] nifrith_cl: Yapo Daigo ponte vio
[752.570] (S)軽く捻るか: メンおじさまありがとうございます！
[753.664] ~MISSING_COMMENTER_INFO~: 髪の毛すごい
[753.932] gyu_nyuu_pann: もこうさんこんなにスト6続けると思わなかったから嬉しいね
[757.772] _とね_: リリー戦好きになれる人はスゴイよ
[759.187] n242f45aa: メンタルコーチつよい
[762.887] bec118_japan: コマ投げすこ
[767.719] sn0wf0x3: バレてるー
[769.619] Dorakuma3: ジェイミーってケンよりもいけそうなキャラいますか？
[775.238] (S)askrra: ウメちゃんの二日酔い対策は？
[776.499] 地球最弱を継ぐもの: 髪の毛で殴れねーかな
[776.724] bikibiki999: そりゃ数字稼げるゲームは続けるっしょ
[779.199] だいこん_: つええと思ったら朝倉にぃか
[779.362] sumo_amo: すももさんも頑張ってた
[787.281] 憂う者の弟子: ザンギとか・・・
[789.236] 新ころりん: すももさんも惜しかったなぁ
[792.375] 箸くれ: 次の調整でもう一声あれば
[800.354] Dorakuma3: マリーザはいけそうかな
[805.498] une3333: かっこいいリュウがきた
[813.489] ピヨさん: 逆にあと何が欲しいですか？
[814.869] mukimukipanda: はっきりはしてないけど何かを感じるみたいな
[817.576] Daigo_Rider: yo
[819.890] 箸くれ: 洗いざらしデニム胴着
[822.146] jigokunonekomatu: 肘がサプぐらいの性能ならワンチャン？
[829.290] bec118_japan: 酒飲んでDゲージ回復するのおもろいけど4杯飲まんといかんのがなー
[839.195] bikibiki999: ケミカルウォッシュたかし
[844.881] gyu_nyuu_pann: デニム草
[851.856] miruujyu: なんでガイルやらんの？？
[855.069] une3333: ヒトボジェイミーの動き気持ち悪いw
[861.147] jigokunonekomatu: ダンガリー胴着
[862.664] v_harumi_v: 色物とお洗濯して色移りしちゃった可能性も。
[863.855] (S)イエール: 吉田栄作モデル道着
[866.225] ~MISSING_COMMENTER_INFO~: ガイル弱いもん
[870.785] nifrith_cl: Yapo Daigo ql
[877.496] masayan0618: 昭和中段
[887.823] だいこん_: 9ヶ月連続マスター帯勝率最下位さん… 
[894.232] 憂う者の弟子: ガイル５とやること同じやん！
[895.226] une3333: スト2だとこの色もうちょっと爽やかじゃなかったですっけ
[895.555] gomesu: gomesu is gifting 5 Tier 1 Subs to DaigoTheBeasTV's community! They've gifted a total of 928 in the channel! 
[896.320] gomesu: gomesu gifted a Tier 1 sub to saitasp! 
[896.349] gomesu: gomesu gifted a Tier 1 sub to 9taro_09! 
[896.357] gomesu: gomesu gifted a Tier 1 sub to はおすけ! 
[896.384] gomesu: gomesu gifted a Tier 1 sub to hiroto93! 
[896.413] gomesu: gomesu gifted a Tier 1 sub to yuuuuuuunno! 
[897.524] (S)TestaRossa_SF6: ガイル下方こなかったら一強になりそう
[901.693] gajpmwtdpw: わぁ！？
[902.780] (S)イエール: ごめにい
[903.226] bec118_japan: そうだったのかたかし、、、
[904.176] bikibiki999: お金ありがとー
[904.204] ミジンコ隊長: ごめにぃ！
[906.071] gyu_nyuu_pann: ごめにぃ〜
[908.601] miri_magi: ごめすぁ！
[911.673] sn0wf0x3: ごめにぃ〜
[912.971] canariasan: canariasan subscribed with Prime. They've subscribed for 13 months! 
[921.678] KANTATATA: ハイゲ終わった後にウメハラさん見るの最高だろ
[922.854] v_harumi_v: ごめにぃさま、いつもありがとー
[923.077] ~MISSING_COMMENTER_INFO~: 金持ち
[925.723] nigoh2525: nigoh2525 subscribed at Tier 1. They've subscribed for 20 months! 
[927.013] twitchyarutch: 何で人に言われてキャラ決めないといけないの
[930.052] ~MISSING_COMMENTER_INFO~: 俺にくれ
[942.417] v_harumi_v: そんなに！？
[943.070] (S)suzan_star: 生活リズムなかなかなことになってますね
[944.021] 憂う者の弟子: さては・・・二日酔いやな
[945.430] masayan0618: ごめさんも気づいてあげて！
[947.228] (S)イエール: 血色は悪くなさそう
[947.568] だいこん_: 打ち上げお楽しみでしたね
[949.430] adachikujin: 酒飲みすぎた?
[949.736] skgch_you: 大丈夫ですか？？
[952.675] potocki1810: すーはーすーはー言ってるｗｗ
[953.153] (S)a_isana: お酒のんだなら水分不足？
[958.134] gyu_nyuu_pann: ようこの時間に配信始めたなぁ
[961.075] mukimukipanda: ウメちゃんがガイル使うとガイル人気して使用率上がりナーフされそう
[961.836] teruharu_: メンおじ頭痛薬を…
[965.581] une3333: まぁ昨日は死ぬほど飲んだでしょうしw
[965.853] (S)カブトシロ: 飲み過ぎたか。
[967.517] 箸くれ: 頭痛こわい
[968.098] gorogorogorn: 花粉？
[968.467] (S)askrra: 顔むくんでる感
[973.201] karaagepanman: 高木とご飯いったらしいですね！！
[973.778] (S)nanakusan793: ゲームで飲んでリアルでも飲む
[977.417] bec118_japan: ゲームでも酒を飲み続ける男
[978.619] kanatazx: バファリン効きますよ
[982.139] ~MISSING_COMMENTER_INFO~: 息荒いけど大丈夫
[982.373] 三郎です: 頭痛だったら正直ゲームどころじゃないけどな
[983.624] v_harumi_v: そんなに二日酔いが続くって凄い
[991.500] ゴン攻め: 2時からスタートか。ウメちゃん大丈夫？
[1001.155] 地球最弱を継ぐもの: ガイル村は小さな村でいてください
[1024.580] だいこん_: ゴリラ
[1029.141] bamboo0802: ラッシュ強Pカウンターの後２中Pより弱PTCのほうがいい感じです？
[1033.951] (S)onifu: onifu subscribed with Prime. 
[1042.191] バージル4260: もしや打ち上げ以降も飲みまくりか
[1054.625] 憂う者の弟子: ウコンのチカラをコンビニで買ってこよ
[1063.373] (S)nanakusan793: ジェイミーは飲んで強くなるけどウメちゃんは飲むと弱くなる
[1073.418] shomarusan: 調整が来て最強キャラにならないとガイルは触らない？
[1073.758] (S)askrra: リュウは中足もう少し長ければいける？そういう問題ではない？
[1076.392] (S)イエール: ウメちゃん、ごめにいがサブスク結構配ってたぜぃ
[1084.660] 地球最弱を継ぐもの: 飲んだあとによくランクいけますね
[1099.580] asumi_K29: コマ投げめっちゃうつー。
[1102.644] jigokunonekomatu: ジェイムズかっけえな
[1104.656] (S)moanafula: Daigo,drink water
[1123.315] souli1982: Hi, fully back to Ryu? 
[1143.336] bec118_japan: Ken sadly
[1145.050] apacheconf: he's using jamie
[1148.104] 超パンダ: 飲んだら配信しちゃいけないってしのさん止められてなかったっけ？
[1150.944] CrimsonSpark6: daigojamie is best
[1154.095] (M)gameinntwitch: パソコン調子悪いのに配信中に遠隔するの怖いけどしゃーない。落ちたらごめんなさいね
[1160.757] (S)askrra: もう酔いはないんでしょ
[1161.755] 地球最弱を継ぐもの: やっぱ弾無いキャラってそれだけで弱いなぁ
[1167.102] bikibiki999: 飲みながら配信がダメなだけじゃね
[1170.685] une3333: いま酒レベル1だから
[1171.104] nyata1234: ウメジェイミーの画面端インパクト見たこと無いけどそういうプレイ？
[1178.677] だいこん_: メンおじ様お疲れ様です
[1184.185] v_harumi_v: メンおじさま、了解ですー
[1188.865] 三郎です: daigo wa saikyou!
[1204.892] gyu_nyuu_pann: メンおじありがとー
[1210.508] twitchyarutch: 二日酔い配信は大丈夫とか？ｗ
[1211.963] うじさと: す、すいしっぽがあるよ...
[1215.038] (S)イエール: メンおじおつおつ
[1216.817] firefistdb: jamie Pog
[1241.193] ましゅダヨ: うめちゃんこんばんは！
[1259.017] (S)てんつくてん: このジェイミーは味見ですか？
[1260.813] une3333: 1900周辺で停滞してるけど、どこがつまずきポイントなんだろう
[1264.837] ekakinoken: ウメちゃん
[1264.847] 何も知らないジョンスノウ: 酔った状態の会話が危ういから止められただけだよw
[1267.795] masayan0618: ジェイミーは酒、ウメちゃんはレッドブルで強くなる
[1267.994] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[1268.060] v_harumi_v: ヘパリーゼとか飲んで頑張るしかない
[1271.036] ましゅダヨ: 飲み過ぎですかい？
[1279.069] (S)イエール: ジェイミーは可能性感じるとのこと
[1285.127] moriy07: コマ投げこぇー
[1287.839] 新ころりん: Red Bull（水）
[1295.388] だいこん_: あ
[1296.098] (S)キングレオ222: 前投げ→酒4変身即インパクト これ強いです。（カワノ談）
[1300.808] (S)イエール: umeYay
[1301.870] ピヨさん: ジェイミー使いが二日酔いという妙
[1303.087] gyu_nyuu_pann: 大会で酒がぶ飲みするウメェイミー見てぇよ
[1313.638] Dorakuma3: ウメさんあんまり立ち大K使わないね
[1327.412] shomarusan: 体調悪そうだね
[1327.536] セェェェェイ: ウメジェイミー大会に出たら全俺大歓喜ではある
[1332.041] だいこん_: 二日酔いに中段はしゃーない 
[1346.076] ましゅダヨ: 二日酔いには何がいいんだっけw
[1349.862] lclc98765: ハイゲスト6で乱入でウメさんくるじゃないかって言われてたな
[1367.470] bikibiki999: しじみ汁？
[1371.115] une3333: すごい勢いのあるラシードだぁ
[1383.853] 箸くれ: 水で薄めて…
[1394.636] だいこん_: え？
[1396.083] ましゅダヨ: え！？
[1396.318] (S)木佐0079: 風邪ひいた？
[1398.737] typegrande: かふんだー
[1399.897] fbhjkl: ScaredyCat
[1400.223] ピヨさん: 飲んでないの！？
[1400.749] 2youyou2: む、それは気をつけて
[1401.192] (S)askrra: 花粉症かな？
[1401.436] librabird: 花粉
[1402.174] ねりまん: 風邪でしょ
[1402.209] mm2351: 寝不足じゃなくて？
[1403.923] ましゅダヨ: 疲れたかな？
[1404.673] gyu_nyuu_pann: 花粉じゃね
[1405.605] 三郎です: のんでねぇまさかのw
[1406.008] 憂う者の弟子: ロキソニンかじろ
[1408.035] Hiraki16133: 休みな？
[1408.738] (S)軽く捻るか: 風邪かも
[1409.235] 箸くれ: 疲れ
[1410.632] 新ころりん: 首肩の血流が滞ってるとか？
[1412.483] bikibiki999: のんでないんかーい
[1412.552] skgch_you: 風邪じゃないですか？？
[1413.875] (S)木佐0079: 低気圧かも？
[1415.497] bec118_japan: え？？飲んでたんだと思ってた、、、、
[1416.663] (S)yougen1124: 寝不足か寝過ぎか
[1416.825] shomarusan: 近年体調崩すようになったね
[1417.755] shiro_sabafugu: 偏頭痛
[1419.148] ましゅダヨ: 花粉ありえる。。。
[1419.359] dumpgori: 片頭痛？
[1420.137] v_harumi_v: ロキソニンあったら飲むと良いですよ
[1423.643] (S)askrra: 低気圧は着てるね
[1424.399] masayan0618: 睡眠時無呼吸症候群とかなってないやろな
[1425.509] librabird: 周りの人熱っぽいって言ってる人多いし花粉
[1426.464] ハチ8: 大丈夫？
[1426.530] osirisirii: 流石に高木の前では飲めず
[1428.534] ピヨさん: 脳の血管が心配
[1432.207] (S)イエール: 今日（昨夜）はってことだよね
[1432.885] wananaki: 薬飲もうよ
[1437.755] (S)nanakusan793: ウメちゃんもおじいちゃんになってきたから…
[1440.552] ケンケンだよ: 水でものんで
[1442.259] une3333: 花粉って頭痛なったりするんか...
[1444.394] 小覇王: 気圧低いからじゃないかな
[1447.838] だいこん_: さすがに打ち上げは行ったっしょ？
[1449.634] (S)てんつくてん: 低気圧？
[1457.286] (S)イエール: 寝過ぎて頭痛くなることは結構ある
[1457.449] (S)カブトシロ: 酒じゃなかったのか。
[1461.116] Coedawg: くも膜下出血
[1462.588] mm2351: ビーストカップに合わせて生活リズムずらした影響とか
[1464.106] bec118_japan: 風邪引いたんちゃうか
[1464.694] une3333: ウメちゃんって格ゲーマーの中でも割と虚弱よね...
[1468.459] twitchyarutch: 寝すぎも体調悪くなることあるな
[1468.742] 新ころりん: 鼻孔周りが炎症起こすから間接的に頭痛は起こるね 花粉症
[1480.012] dumpgori: 首のストレッチすると少しは良くなると思うよ
[1482.881] gyu_nyuu_pann: 寒さには強い
[1487.244] 地球最弱を継ぐもの: ウメさん花粉症持ちなん
[1495.478] v_harumi_v: 花粉症なのか二日酔いなのか
[1500.972] une3333: 耐えたぁw
[1504.769] firefistdb: Rashid be running
[1508.740] masayan0618: うお
[1509.139] てつか: ハイゲームの感想は？
