[14.222] (S)mimoru_385: wako
[40.557] ｼｮｳﾕ: わこらだ
[40.576] 雪都: わこらだ
[40.592] さくら0210: わこらだ
[40.601] rai2109: わこらだ
[40.622] yo_u_0115: わこらだ
[40.687] shibati: わこらだ
[40.769] 角角家: radaoWakotu
[40.796] (S)なつおよ: radaoWakotu
[40.814] (S)sjindoa: radaoWakotu
[40.825] cocoa2828: わこらだ
[40.915] 夜絃: radaoWakotu
[40.988] いぶき2525: わこらだ
[41.013] (S)かんな2: radaoWakotu
[41.025] (S)shinano72: radaoWakotu
[41.039] (S)てことっく: わこらだ
[41.169] (S)せらな: わこらだ
[41.197] ebiebleb1: わこらだ
[41.246] sizukutya_ra: わこらだ！
[41.324] Pear10257: わこらだ
[41.569] mizukurage_: mizukurage_ subscribed at Tier 1. They've subscribed for 29 months! わこらだ
[41.693] am4kumo: radaoWakotu
[41.818] (S)エフ_38: radaoWakotu
[41.862] hatiti88: わこらだ
[43.244] aren_crow: わこらだ
[43.438] (S)ポテチの子: 逃げるなよ
[43.438] (S)おふじくん: radaoWakotu
[43.439] (S)sumomo_08: わこらだ
[43.463] (S)しょう7: わこ
[43.475] ぴっち: radaoWakotu
[43.477] yurun_62: わこらだ
[43.479] oja_290: わこらだ
[43.479] tmgg_0925: わこらだ
[43.666] omame47453: わこらだ
[43.672] mikan_san: 浮くのか…？
[43.689] (S)エフ_38: radaoWakotu
[43.708] つばき_: わこらだ
[43.881] (S)hisoka_HyskoA0606: radaoWakotu
[43.907] (S)karen0046: radaoWakotu
[43.924] azuriiine: わこらだ
[43.957] 来世は机になるゆうか: わこらだ
[44.049] jt6jpagdtw: わこらだー
[44.068] あめまう_: わこらだ
[44.124] ayunosioyaki0223: 出たそのゲームwww
[44.258] r0_0Ru_ruru: わこらだ
[44.299] arayone: わこらだ
[44.367] (S)shiozaki_a: わこらだ
[44.509] midotan0055: わこらだ
[44.530] (S)bobubibobu: radaoWakotu
[44.538] choco3143: わこらだ
[44.738] nokki_____: わこらだ
[44.863] mily0208: わこらだ
[44.997] (S)enwasabi: わこらだ
[45.118] (S)chitan0: わこらだ
[45.146] shapu_meg: shabu_meg subscribed with Prime. They've subscribed for 27 months, currently on a 27 month streak! 
[45.276] mirumiru_h: radaoWakotu
[45.296] chuwann: radaoWakotu
[45.308] (S)べるな_: べるな_ subscribed with Prime. They've subscribed for 8 months! わこらだ！！
[45.356] spiceee601: わこらだ
[45.457] ｻｧｻ: わこらだー
[45.469] rk_ne4rl: わこらだ
[45.537] tasogare__: radaoWakotu
[45.750] kata1me: わこらだ
[45.861] (S)urullowo: わこらだ
[46.380] 琴ノ葉: わこらだ
[46.442] (S)雪代: radaoWakotu
[46.487] yoko__0702: わこらだ
[46.510] おぼーん: わこらだ
[46.581] yaaanagi_09: わこらだ
[46.604] sparrow__7__: radaoWakotu
[46.684] おりお: わこらだ！
[46.763] H2Oqx: わこらだ
[46.774] にぃぃぃ: わこらた
[46.800] あおは_: わこらだ
[46.821] (S)tomei0833: わこらだ。
[47.481] riooooo_0815: わこらだ
[47.516] moka___21: わこらだ
[47.543] なるか3: わこらだ 
[47.595] seto456111: わこらだ
[47.692] (S)ミスパトリ: radaoWakotu
[47.693] rara_2024: わこらだ
[47.709] megu0412: わこらだ
[47.738] みーるさん: わこらだ
[47.750] syura1945: わこらだ
[47.812] Disco_11: わこらだ
[47.922] nibosichan_0403: わこらだ
[47.954] maromaro222: わこらだ
[47.985] nisikimochi: わこらだ
[48.164] ritomu: わこー
[48.176] sota0802: わこらだ
[48.241] ちゃんそん_: radaoWakotu
[48.448] 인터뷰1007: わこらだ
[48.656] vvakan: わこらだ！
[48.738] moka_0322: radaoWakotu
[48.869] (S)みるきい: radaoWakotu
[48.871] icoa1024: わこらだ
[48.962] kanineco25: わこらだ
[48.998] korilla29: わこらだぁぁぁぁ
[49.012] うぃんたぁー: わこらだ
[49.056] kero_ppi1: タイトル訳分からんくて草
[49.308] くまの__: わこらだこれ待ってた
[49.309] kazushan: わこらだ
[49.346] kae_eeee: わこらだ！
[49.412] (S)maco_mako: わこらだ
[49.434] 枯木です: わこらだ
[49.534] fuwaru_4128: わこらだ
[49.541] wakkanado: わこらだ
[49.656] toriniku_ryuto: わこらだ
[49.826] アーユン: わこらだ
[49.892] (S)サシモ0626: radaoWakotu
[50.704] ryuhe37: わこらだー
[50.759] SUMAsuuumaaa: わこらだー
[50.848] ayaka__9: わこらだ
[50.856] (S)シモ0803: radaoWakotu
[50.897] bana517: わこらだ
[50.900] a__res: radaoWakotu
[50.919] mitio4742: わこらだ
[51.052] たらふく2815: わこらだ
[51.105] (S)てぃやんでい: 聞こえてるよー
[51.143] (S)bababababa1016413: radaoWakotu
[51.271] (S)Gomichandovuti: わこらだ〜
[51.341] (S)aina___10812: aina___10812 subscribed at Tier 1. They've subscribed for 10 months, currently on a 10 month streak! わこらだ
[51.352] sunomono8: radaoWakotu
[51.494] 暗黙の緑茶: 墓作り配信やめろ
[51.542] (S)ShiRo1822: ShiRo1822 subscribed with Prime. They've subscribed for 6 months! わこらだ
[52.224] miya07016: わこらだ
[52.447] アストモ: わこらだ
[52.614] milu_1728114: きこえます
[52.669] si6tuk1: わこらだ
[52.678] 都さむらい: わこらだ
[52.859] Da1_ChaN1026: わこらだ
[52.915] komasannsann: わこらだ
[52.931] しぺぺぺ: なんこれ
[53.119] naru0122: わこらだ
[53.168] (S)aoi423: radaoWakotu
[53.230] ラボア: なんだこのゲーム
[53.313] neu_rose: わこらだ
[53.541] マチュ: わこらだ
[53.612] owl317: radaoWakotu
[53.725] azure_nekolife: わこー
[53.955] (S)tomei0833: radaoWakotu
[54.140] Suima2525: わこらだ
[54.258] まここま: ツイ見れなかったけど何呟いた？
[54.285] (S)Yukimaru__31: わこらだ 
[54.505] tarou_kakio: わこらだ
[54.617] 海びちゃん: radaoWakotu
[54.733] 野菜の力: わこらだ
[54.741] AnkoMothithi: わこらだ
[55.285] rei5566: わこらだ
[55.534] toriniku_ryuto: radaoWakotu
[55.782] (S)冷や茶: radaoWakotu
[55.890] つばき1219: つばき1219 subscribed at Tier 3. They've subscribed for 15 months, currently on a 11 month streak! 
[55.910] すいぺりあ: きこえるよー
[56.231] pigman_0617: わこらだ
[56.427] 0秒: きこえませーん
[56.431] ruricchi_11: わこらだ
[56.513] kaede_2121: わこらだ
[56.614] (S)あまぐ: わこらだ
[56.641] マルコフ1317: わこらだ
[56.652] ayunosioyaki0223: 聞こえませーん
[56.769] もにゅぷぷ: わこらだ
[56.935] れいるさん: れいるる subscribed with Prime. They've subscribed for 21 months! わこらだー
[57.204] rincho22: 聞こえるよー
[57.486] (S)もぎ: radaoWakotu
[57.556] ドミノくん: はーい
[57.592] アーユン: 聞こえる
[57.668] (S)urullowo: radaoWakotu
[57.728] shiroa1019: わこらだ
[57.802] masaba014147: わこらだ
[58.067] (S)cloverya: わこらだ
[58.295] sizukutya_ra: わこらぁだ！
[58.500] kure_o12: kure_o12 subscribed at Tier 1. They've subscribed for 15 months, currently on a 15 month streak! 
[58.522] drem_chan: 逃げるは恥だし浮くんだな
[58.573] waffle815: わこらだ
[59.098] 沙央: radaoWakotu
[59.138] katsukichi09: もう面白そう
[59.184] puyopuyokun: 聞こえません
[59.331] kurumiru_miru: わこらだ
[59.337] 鮎の水煮缶: わこらだ
[59.376] chiharu1212: わこらだ
[59.547] 贄ﾁｬﾝ: radaoWakotu
[59.618] jt6jpagdtw: なにそこトイレ？
[59.648] mimipaadesu0428: わこらだ
[59.783] (S)uw_azu_wu: radaoWakotu
[59.825] (S)torikera0124: わこらだ
[59.976] akagane_1205: わこらだ
[60.012] foxy1003: foxy1003 subscribed at Tier 3. They've subscribed for 28 months, currently on a 28 month streak! わこらだ
[60.461] とろとろトロリ: わこらだ 
[60.466] みおん3078: わこらだ
[60.515] (S)gogo_pm5: radaoWakotu
[60.645] (S)さらんらん: 座禅のやつか
[60.875] drem_chan: よお
[60.891] あくろぉ: わこらだ
[61.274] osato9654: 聞こえる
[61.536] (S)ふらすま: わこらだ
[61.678] potato__kingdom: potato__kingdom subscribed at Tier 3. They've subscribed for 29 months! 
[61.683] (S)aozora1717: radaoWakotu
[61.762] konnit: わこらだ
[61.783] nananan0801: 昨日配信なくて寂しかった(  •̥ࡇ•̥ )
[61.976] hua_uoxou: わこらだお
[62.042] yozakura874: わこらだ
[62.193] ぶるねった: わこらだ
[62.209] (S)キラキラボシ: 聞こえる
[62.237] しろんめし: radaoWakotu
[62.244] mikan_san: お前はいつも教室で浮いてたよな
[62.263] Da1_ChaN1026: わこつ〜
[62.347] (S)眼鏡3: radaoWakotu
[62.355] riku0572: わこらだー
[62.520] さぼてんダー: わこらだ
[62.940] (S)kokochi_: kokochi_ subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! 
[63.068] panndaman1: radaoWakotu
[63.075] (S)supuringu5140: わこらだ
[63.091] nazonoma: わこらだ
[63.331] odesi4869: わこらだ
[63.521] ryu2626: わこらだ
[63.658] (S)sapichaaan: radaoWakotu
[63.709] ryuu_ryu: わこらだ
[63.736] t_fugu_0116: きこえたー
[64.013] radda52525: おし
[64.477] (S)とろみっくす: わこらだ
[64.705] (S)こけしやん: わこらだ
[64.709] (S)kano__2525: radaoWakotu
[64.732] 暗黙の緑茶: きこえる
[64.772] (S)retomin0901: radaoWakotu
[64.937] (S)わらびモち: はーい
[65.248] きのここ: わこらだ
[65.338] setu_6237: わこらだ
[65.449] drem_chan: うん
[65.460] hua_uoxou: きこえる
[65.538] ZeNoN_GAHAHA: わこらだ
[65.570] nacch1_77zz: わこらだ
[66.061] 惰性さん: わこらだ
[66.171] oyazigarisan: わこらだ
[66.509] kazushan: kazushan subscribed with Prime. They've subscribed for 44 months! 
[66.652] (S)ずつうがいたい: radaoWakotu
[66.878] yakumo_higan: わこらだー
[66.894] kurumiru_miru: きこえるよー
[66.926] (S)もぎ: きこえた
[66.996] ゆきとよ: 壺みたいなゲーム？
[67.071] roiya0203: わこらだ
[67.103] oja_290: 聞こえるよー
[67.283] namiki_: わこらだ 
[67.307] 137massa: 聞こえます
[67.315] (S)sinahalo: radaoWakotu
[67.442] (S)ふれーく: radaoWakotu
[67.488] とろとろトロリ: 聞こえるー
[67.505] (S)toumyou_2525: 聞こえるよ〜
[67.704] yukki7969: わこらだ
[67.949] komasannsann: きこえたー
[68.164] rara_2024: はーい
[68.165] ai0902: おひさー
[68.398] anko_mochi0319: わこらだ
[68.473] (S)nonaru4637: radaoWakotu
[68.632] ふむふる: わこらだ
[68.691] しぺぺぺ: 久しいこのブサボ
[68.701] si6tuk1: 聞こえる
[68.725] (S)shige__maru: radaoWakotu
[68.757] (S)orio_1024: きこえるでー
[68.855] あくろぉ: きこえるよよおおおおお
[68.967] omame47453: きこえる
[69.375] azure_nekolife: 聞こえるよー
[69.415] (S)kano__2525: わこらだ
[69.598] cara_meru: わこらだ
[70.013] をぺ: radaoWakotu
[70.037] oja_290: 聞こえるよ
[70.203] haku1512: わこらだ
[70.401] neko_nekomaru: わこらだー
[70.833] あめまう_: 聞こえまーす
[70.985] 砂ザトウ: きこえる
[71.107] (S)ren_hosizuki510: radaoWakotu
[71.198] (S)pao_pink_: わこらだー
[71.216] (S)うがら: わこらだ
[71.512] コミヤ: ため息助かる
[71.522] nazonoma: 聞こえるよー
[71.829] さらしゃ: わこらだ
[71.907] 灰色_灰色: わこらだ
[72.251] neu_rose: 謎ゲー枠きちゃー
[72.423] ラボア: 聞こえるー
[72.478] pigman_0617: 最初から凄い光景
[72.563] re_na017: radaoWakotu
[72.890] nanadefo: わこらだ
[73.099] ばなばなな: きこえませーん
[73.241] kend56562: わこらだ
[73.436] Shiraki1013: わこらだ
[73.658] おかりー: わこらだ
[73.879] くまの__: このゲーム気になってた
[73.954] a__res: 絶対に逃げるな
[74.070] phawo_suke: きこえるよー
[74.264] 胡桃柚子: radaoWakotu
[74.313] (S)和食定食: わこらだ
[74.609] おはぎちゃん_: radaoWakotu
[74.757] ちょこみんとあいす: わこらだ
[74.788] (S)シモ0803: きこえるよーーー
[75.009] きのお: わこらだ
[75.040] rado0624: わこらだ
[75.223] nekomrnn930: わこらだ
[75.325] (S)なん69: radaoWakotu
[75.350] まりもころころ: 今まで今日の動画見てたわ
[75.724] (S)torikera0124: トイレに座ってる人にしか見えん
[75.950] ぴなちまん: わこらだ
[75.953] (S)pao_pink_: うわー
[76.165] ウブル: わこらだー
[76.182] (S)かんな2: 聞こえるよー！
[76.382] bokuratch: わこらだ
[76.384] pyonn_1012: わこらだ
[76.393] aya_ramin: わこらだー
[76.422] 神崎立夏: わこらだ
[76.637] runa_0415: わこらだーーー
[76.700] queenae86: わらこだ
[76.854] 抹茶のゴルゴンゾーラ: わこらだです
[76.898] Akojonny: BGMこっわ
[76.908] 1051_33: わこらだ
[77.087] 1111momo: わこらだ
[77.113] (S)RyvnD_rein: わこらだ
[77.118] みかんの佃煮: わらこだ
[77.314] meme0_0han: わこらだ
[77.316] (S)黒グミ: わこらだ
[77.321] ﾓﾁﾓ: わこらだ
[77.352] kyanna_0202: わこらだー
[77.536] Divogigante: わこらだ
[77.558] はいどろだむ: わこらだー
[77.576] 白玉のハルハル: わこらだー
[77.578] (S)たゆう_はね: わこらだ
[77.736] gahaha_www: ﾜｺﾗﾀﾞ
[77.877] (S)poncho_popo: わこらだ
[78.123] gomoku1012: わこらま
[78.142] re_katyan: わこらだ
[78.566] kocobn11: わこらだー
[78.753] らてちゃん: わこらだ
[78.791] liz_288: わこらだー
[79.041] teraran2009: わこ
[79.202] ZeNoN_GAHAHA: ZeNoN_GAHAHA subscribed at Tier 3. They've subscribed for 3 months, currently on a 3 month streak! きちゃああああああああああ
[79.398] yui_1109: わこらだ
[79.960] suzukadesu2: わこらだー！
[80.066] shana_suke: わこらだー
[80.186] (S)kotori_py: わこらだ
[80.211] tubugu: わこらだ
[80.409] imoyoukanmaru: わこらだ
[80.418] nun__00: わこらだー
[80.431] 6atorokunen6: わこらだー
[80.606] ｿﾙﾄ: わこらだー
[80.614] tororosoba1219: わこらだ
[80.625] (S)pao_pink_: ワーク
[80.637] ken_ken346: わこらだ
[80.777] (S)ユイ_11: わこらだ
[80.819] 花もち: わこらだ
[80.840] kinotarooooo: わこらだ
[81.021] cyaso_desu: わこらだー
[81.120] rekuron379: わこらだ
[81.340] kimiga_disuki: わこらだ
[81.545] rain_12221: わこらだ
[81.566] nenemuishi: わこらだ
[81.622] kanikamadesu: わこらだー！
[81.700] もふもん: わこらだー
[81.728] remona1: わこらだ!
[81.765] ちょーみん: わこ
[81.768] (S)zawdard: わこらだ
[81.994] sabakan__25252: わこらばー、
[82.217] remiiiii_28: わこらだ
[82.229] mitarashidaifuku: わこらだ
[82.419] momo___ka: わこらだ
[82.609] rikari_1023: わこらだー
[82.642] siosio1222: わこらだ
[82.666] makomu_: わこらだ
[82.865] 0zero029: わこらだー
[82.866] ゆきちだよー: わこらだー
[82.911] karage210: わこらだ
[83.000] どこぞのカノン: わこらだ
[83.001] (S)ookami_rudi: radaoWakotu
[83.076] magurodukushi: わこらだー
[83.095] (S)ジリリン_: radaoWakotu
[83.132] azukiaisu: 初見ですこんばんは
[83.280] ねむの木: わこらだ！
[83.300] asuka_061: わこらだ
[83.338] rihohori: わこらだ
[83.376] 狐日和2014: わこらだ
[83.405] kosu_mosu: radaoWakotu
[83.466] 1113654: わこらだー
[83.591] ゆかりんりん: わこらだ
[83.706] あやｻﾝ: わこらだ
[83.794] surume_rwn: わこらだ
[83.915] キョロちゃん: 逃げるな
[83.927] おじき_2525: わこらだ
[84.608] そら22: そら22 subscribed at Tier 3. They've subscribed for 23 months! 
[85.235] rapi_0001: わこらだ
[85.263] shiho_1109: わこらだ
[85.344] family857: わこらだ
[85.414] yukke_26: わこらだ
[85.421] waaaaafu: わこらだ
[85.440] kurumiru_miru: なんのゲーム？
[85.478] emazkirin: わこらだ
[85.487] siroheiho: わこらだ
[85.488] kimuti1018: わこわこ
[85.508] Orufe_0: Orufe_0 subscribed with Prime. They've subscribed for 21 months! 
[85.536] 蒼演がろ: わこらだー
[85.541] minami__2525: わこらゃ
[85.593] kuu0934: わこらだ
[85.612] conbinitenin: わこらだ
[85.648] peperonchi_no0127: わこらだ
[85.724] bun_syo: わこらだ
[85.749] waroro27: わこらだ
[85.858] r_guilty: わこらだ
[85.930] 鯉々: わこらだ
[85.940] kakozooora: わこらだ
[86.090] chun_taro2004: わこらだ
[86.205] mirumiru_h: トイレ？
[86.327] happy_1125: わこらだーーーーー
[86.429] おしゅしのさぶ: わこらだー
[86.440] suun_418: わこらだ！
[86.470] (S)shilas_1231: やこらだ
[86.627] yamatonun: わこらだ
[86.655] zawawa525: わこらだ
[86.700] のぎやさい: わこらだ
[86.797] mudaraki: わこらだ
[86.832] shavuto3: わこらだ
[86.848] (S)rosemary0920: わこらだ
[86.856] yuzu_mikan0125: わこらだ
[86.913] ath_yeu: わこらだ
[88.354] anksya: どういう状況
[88.360] karage315: わこらだ
[88.386] あくっち: わこらだ！
[88.422] michuo0: わこらだ
[88.424] yamato_otintin: こんばん
[88.457] anchor_0309: わこらだ
[88.464] saku_048: わこらだ
[88.506] mitakeshan: わこらだ
[88.548] yukeboka: わこらだ
[88.573] 一举两得: わこらだ
[88.590] yutaro10122525: わこらだ
[88.621] 饂飩ちゃん: わこらだ～
[88.645] (S)magaos_753: わこらだ
[88.796] 風呂上がりに雪はね: わこらだ
[88.817] ーももー: わこらだ
[88.905] sss_m: わこらだ
[89.030] 一人称_: わこらだ
[89.033] l0vx_y: わこらだ
[89.040] papipo25: わこらだ
[89.147] monesama1218: わこらだー
[89.166] 藤之助: わこらだ
[89.236] ユーニ2: わこらだ
[89.267] soranon1019: らだ
[89.273] rarima_3: わこらだ
[89.303] ruato_1945: わこらだ
[89.317] わたあめ3: わこらだ
[89.377] (S)でにぃ: radaoWakotu
[89.454] まいちゃ0101: わこらだ
[89.740] ひまりまり: わこらだ
[89.853] (S)ゆずかちゃん: わこらだー
[91.396] sumidagausen: わこらだ
[91.413] アマノジャクだよ: わこらだ
[91.418] (S)chito246: わこらだ
[91.419] masuo112200: わこらだ
[91.431] 似々似蟲: わこらだ
[91.439] akito_931: わこらだ
[91.509] riru_rururu: わこらだ
[91.526] (S)レだん: radaoWakotu
[91.528] Torimakore: わこらだ
[91.577] とーる0: わらこだー
[91.623] はるーむ: わこらだ
[91.636] hanadango823: わこらだ
[91.654] rerei4242: わこらだ
[91.675] (S)Riondam0626: わこらだ
[91.708] (S)yoneto_: わこらだ
[91.785] ひょーり: わこらだー
[91.910] satouwaamai: わこらだ
[91.975] (S)morry1063: わこらだ
[91.975] bukubukutyagama0713: わこらだ
[92.136] 金平糖_2525_: わこらだ
[92.195] gorillameronpan: radaoWakotu
[92.202] (S)そおお: わこらだ
[92.217] naotooo_0816: わこらだ
[92.225] ru_ruuu: わこらだです
[92.317] ajatai: わこらだ
[92.367] galasunosekai: わこらだ
[92.403] 薩摩芋太郎32: わこらだ
[92.540] kainn_1114: わこらだ
[92.899] ちくわぶ22: わこらだ
[93.011] binsen_0707: わこらだ
[93.042] anber1230: わこらだ
[93.095] yukinyanko926: わこらだ
[93.105] (S)n0413taro: わこらだー
[93.117] kairi_namakemono: わこらだー
[93.125] syumawok: わこらだ
[93.132] Akojonny: わこらだ
[93.134] (S)merongo_1023: わこらだー
[93.256] (S)ぽーてっと: わこらだ
[93.343] tunotaro: わこらだ
[93.393] dolphin_shachi: わこらだー
[93.466] 1nyoki: わこらだー
[93.485] 義務教育の敗北者: わこらだー
[93.487] ぷゆーー: わこらだ
[93.722] ainob: わこらだ
[93.724] pettobotto: わこらだ
[93.780] (S)ほしちゃ: わこらだ
[93.928] nyakku0720: 逃げるな
[94.994] muutyo_io: わこらだ
[95.029] hino725: わこらだ
[95.042] bicycle_tyari: わこらだ
[95.107] sui__2525: わこらだ
[95.116] oja_290: トイレのゲーム？
[95.245] yakilemon: わこらだ
[95.246] gaogao66: わこらだ
[95.259] nichan1004: わこらだ
[95.331] uchichan_p: わこらだ
[95.337] nanamitomousu: わこらだー
[95.341] ねま_: トイレ？
[95.413] milk__lemon: わこらだー
[95.462] すたあぷらちな: 今日わなんだあー？
[95.466] (S)強仙人中野剛: わこらだー
[95.592] (S)せなこ2525: わこらだ
[95.771] ロムネ: わこらだ
[96.215] dai_ito: わこらだ
[96.302] ちあらちゃん: わこらだ
[96.469] tsuyuki77: radaoWakotu
[96.506] turning___: わこらだ
[96.530] けい介: radaoWakotu
[96.548] (S)kuensa: radaoWakotu
[96.620] syuri111126: わこらだ
[96.702] Bachiru66: わー
[96.718] つるつれつね: わらこだ
[96.926] rrr_rion__04: わこらだ
[96.935] maroni_kun: わこらだ
[97.119] そらそうかな: わこらだ
[97.130] muginkon: わこらだ
[97.258] (S)ogapaka: わこらだ
[97.384] satela_A: わこらだ
[97.502] uziro0836: わこらだ 
[97.629] yuutan2005: わこらだ
[97.788] kakko_kari: わこらだ
[97.848] karuta2110: 今度は男ですか?
[97.859] tukasa1003: わこらだ
[97.912] maguro_tunakann: わこらだー
[97.941] rodemdayo: わこらだ
[98.070] elmyr_56: わこらだー
[98.079] toubun__: わこらだー
[98.088] c_kuma76: わこらだ
[98.127] チョコに溺れろ: わこらだ
[98.220] umomo_66: わこらだ
[98.284] こっぺ4569: わこらだ
[98.328] 紗弥0926: わこらだ
[98.387] (S)naniha_0728: わこらだ
[98.518] (S)merongo_1023: radaoWakotu
[98.630] bunbaboon_ra: わこらだ
[98.711] aika_0317: わこらだ
[98.723] mizore_87: わこらだ
[98.729] midotan0055: 開幕トイレしてるおっさん
[98.765] お嬢さま: タイトル訳わかんなくて草
[98.766] ごんぎつね_: わこらだー
[98.775] yume0215: わらこだ
[98.792] syake1228: わこらだ
[99.229] プラず: プラず subscribed at Tier 1. They've subscribed for 22 months! わこらだ
[99.959] re0mi1283: わこらだー
[99.992] ikuradondonpo: わこらだ
[100.013] yura03090: わこらだ
[100.040] (S)えりさ_: radaoWakotu
[100.043] asanomi_: わこらだー
[100.053] satela_A: 逃げるな
[100.114] mary611: radaoWakotu
[100.127] yamato_otintin: がはは
[100.249] ling_mu9: わこらだ
[100.264] あしゅ_1127_: わこらだ
[100.284] haruh_0531: わこらだ！
[100.305] kyousuke114514: わこらだ
[100.362] (S)kasii2525: わこらだ 
[100.478] tehih: わこらだ
[100.483] mao2918: わこらだ
[100.712] taramo_52: わこらだ
[100.728] (S)orio_1024: らだおの実家やん
[100.833] 17ititonana: わこらだー
[100.835] Shiki_742: わこらだー
[100.876] arashihiroshi: わこらだ
[100.939] vivi_0914: わこらだ
[100.957] アリーガちゃん: わこらだ
[101.032] battertost: わこらだー
[101.058] pikurusupiku: わこらだー
[101.074] unihisiwo: わこらだ
[101.102] ねぁ: わこらだ
[101.201] denden_08: わこらだ
[101.203] (S)ほしちゃ: このゲームおもろそう
[101.235] negiroku: わこらだ
[101.308] (S)けーつぐ: radaoWakotu
[101.706] とまとかれー: わこらだ
[101.733] (S)ごみぱ: ゴミパーセント subscribed at Tier 1. They've subscribed for 2 months, currently on a 1 month streak! わこらだ
[101.791] under_tow: よぉ
[101.804] benisyake_ibuki: わこらだーー！！！
[101.864] sirokuzira52hz: わこらだー
[101.869] ながたくん: わこらだ
[101.882] yagen0915: わこらだ
[101.921] kumada111: わこらだ
[101.934] cul1071: わこらだ
[102.986] hotallu_42: radaoWakotu
[103.047] akutako_5: わこらだ
