[9.939] king_katsuhisa: ん
[695.549] makebuta: あっ・・・・
[695.816] kousitekou: みんな、とは？
[695.938] sataraito22: やられたな
[696.172] fukuzawa1manyen: 賞金欲しい感じだ？ｗ
[696.682] (S)spring__thief: だまされた形
[697.214] taru9999: ダチョウ
[697.319] (S)takeo_onakasuita: www
[697.343] (S)tohofuhai: icyblue1985さん、マジ？それオレ信じるよ。信じるからなw
[699.476] (S)なたぱん: 以外と出場してた
[701.343] (S)blankey3104: EVO Jaan オワタ＼(^o^)／
[701.860] (S)harahara02: 情報戦
[702.826] (S)ttp_hayato: ウメ出ないなら出るわなｗ
[704.525] ガイ長: 策略や
[708.910] (S)ememeume: 確かに最初そんな感じだった
[710.422] makebuta: その程度 
[712.261] tep00: あまりに出ないから急遽お呼びでもかかったんじゃない？
[714.798] kousitekou: 裏切り
[715.167] (S)lobelia_c: ”やった”か
[718.318] (S)shomarusan: 勉強しないって友達に騙される奴だ
[718.400] (S)heterotopia3: でも国内の大規模大会出ないって珍しいよね
[719.058] higashimurayama: Rageの逆パターンww
[719.580] ~MISSING_COMMENTER_INFO~: トパンガのみんな出ない感じだったのに
[719.820] (S)桜風かなた: ダマテンみたいな感じ
[720.407] (S)yakimocchi: 国定の件の発端
[720.625] 栢木メイ: ゲスト解説とかで出て欲しい
[721.098] burupapu: 0回戦熾烈
[721.902] mailgoo: 読みあい負けた？
[722.481] kooooge: 国定とおなじかんじか
[723.341] saikosaito: バラされて困る事をコソコソ裏で話してる方が悪い
[723.584] (S)ememeume: 国定さん事件
[724.121] Kaname_Tachibana: 国定スルーはない、からの
[726.821] (S)jony_avion: 権謀術数うずまいてるな？
[727.226] (S)ﾔﾐ: でないけどevojapan散歩配信どうですか？
[728.263] (S)harahara02: 俺でないわーからの出場
[730.207] 023023: でもね、EVOに恩があるんだから出なきゃだめだよ
[730.518] matuzawa826: 国定
[732.251] (S)urojin: 出てほしかったなー
[732.792] woodmud: 最初は出そうにない動きだったのに時期近づいてきたら出るって言った人多かった
[733.196] musouzankouka: 福岡でまたウメちゃん観たかった
[733.393] kousitekou: あんなのEVOじゃないしな
[736.107] (S)spring__thief: テスト前の勉強やってないって言う奴
[737.617] (S)メピパラ: トーホーフハイさんサブスクしてるw
[737.947] baku2miser: ゲーマーが大会でる理由なんてそんなもんよな
[743.022] goejglsdf: プロゲーマーがほとんど来なかったら、次の開催ないだろうからな
[743.213] (S)junskup: パイナポー特集はやらないの？
[743.862] asdfiodadfs: いいよ別に出なくて
[744.941] (S)山田たろう太郎: りゅうせいとは の あの告知画像誰が作ったんだろ
[745.505] donchan012345: それなら獣道3見たいw
[745.509] (S)junichitanaka: できたら国内ファンにリアルの勇姿を見せてあげてほしかった
[747.215] helicom: リーグが４節まで進んだ。パイナポーが負けた
[748.840] (S)lobelia_c: ほかの人は割と身軽ですね
[752.801] (S)エリ_10: オニキ、褒めてー！って顔してウメさん見てたねw
[754.140] (S)kurataro: 36か月マジか
[758.009] (S)yakimocchi: 36！すごい！
[758.059] goejglsdf: へー
[759.903] (S)chinkalahoi: ３ねんさぶすくは不快
[760.416] inaninnja: なんで福岡なん？
[762.162] solidvisual: ahh daigo on his walk to jail 
[762.779] goejglsdf: ポイナポーとは
[764.777] pfl2: 単独では厳しそう
[765.155] (S)tamachan0530: 36か月！すごい
[766.907] (S)ememeume: オニキくん嬉しそうだったねー
[767.340] nonnon1990: あっちも企業案件とかあるかもしれんしなあ
[768.109] (S)junskup: 期待してます
[768.424] (S)jony_avion: パイナポー好きになって来た人多いんじゃない？
[769.462] (S)chinkalahoi: 不快て深い
[770.597] woodmud: チームメイトとはよく会ってるの？
[772.454] (S)tohofuhai: マジ、サブスク継続できてないのショック過ぎた
[773.548] (S)iakira777: サブスク動画再送お願いします
[778.118] (S)さくらうめきち: 3年サブスクすごい！
[780.382] (S)cccyd: ＲＡＧＥが４節まで放送されました
[781.114] ~MISSING_COMMENTER_INFO~: パイナポーが勝たないとなんか盛り上がらない
[781.422] kousitekou: パイナポー、とは？
[781.593] (S)takeo_onakasuita: 講演会の話す内容とかもう考えてますか？
[781.600] (S)orange88: パイナポーは滑り芸なんだね
[784.672] (S)miso__aji: パイナポーやるなら早めにやってほしい
[784.680] (S)blankey3104: 最近、ゴザ見ないんだけど、生きてるの？
[785.623] (S)kurataro: 不敗さん、どんまい
[787.399] goejglsdf: パイナポーは強くなってんのかね
[790.285] 栢木メイ: リーグ面白いね、録画だからサクサク見れるし
[792.308] (S)エリ_10: オニキも呼んであげよう！
[792.421] 先日助けてもらった鶴です: ３年続けないとな
[793.669] (S)ememeume: ネタ100連発
[796.704] higashimurayama: そういえば、ギャグ初披露だったね
[797.250] ~MISSING_COMMENTER_INFO~: ネタバレ絶対やめてね
[798.506] masagoro51: 秋葉原のゲーセンとかプライベートで行ったりしますか？
[801.163] (S)ﾔﾐ: 折笠さんとパイナポーは似たものがある
[804.581] xenys3: フレミングの頬杖また見れますか？
[804.655] pyamaaaa: 講演の準備は順調?
[807.504] (S)matsu_zalem: ほおづえ。
[810.464] kooooge: ネタが滑るのは定着してる
[813.469] (S)kinpren: ちゃんと更新しろよなぁ～
[813.538] (S)メピパラ: アマゾンプライムは更新がいるからね 自分で払ってたら自動更新だけど
[814.158] (S)oinari6: 再送の話何回聞くんだよ
[815.431] (S)blankey3104: メール来たよ！
[823.916] (S)icyblue1985: 自動更新あるといいんだけどね
[825.679] (S)小室友里: ウメちゃんお疲れ様です
[828.383] (S)iakira777: ウメハラさん生放送やらないとツイッチにログインしないですもの
[828.589] (S)ojisan222: 折笠とジョビン、結婚するならどっち？？
[828.757] konbu123: うめ散歩きた
[829.429] (S)Rector0675: 検討ありがたや
[832.560] (S)icyblue1985: ありがたやー
[833.569] (S)はとぽっぽ: メール通知切れてたから前後版合わせて再送してほしい・・・
[833.641] (S)hachipochi: 結構切れるタイミングが同じなんだよねー
[835.743] (S)harahara02: 何回も言わされてかわいそう
[837.949] (S)ememeume: 足並み揃わない
[838.407] 東北のスロカス: 自分の落ち度なのにねぇ
[838.662] (S)なたぱん: 何回も言ってるのにねー
[839.674] (S)tohofuhai: 更新忘れちゃう。。
[839.973] askman85: メール届かない設定とかいらないよな
[840.120] (S)ﾔﾐ: 忘れる人は高い方で入るしか
[841.063] (S)nagilay1: ちょうど土曜日だけ、サブスク切れてたんだよ、悲しい
[841.907] (S)kurataro: 持ち物交換したら、解放。これ大事。
[847.619] (S)xxzoids: Amazonは手動更新、心に刻みましょ
[848.633] (S)ememeume: コメントのみんなで言い合おう！
[852.407] (S)samohata: 一週間後に再送じゃないの？
[854.649] さそび: 肝に銘じます
[855.300] (S)seven_goat: rageの収録って現時点で何節まで終わってるんですか？
[856.137] (S)Rector0675: 更新忘れるわぁ
[859.129] (S)wakametarou: あ
[859.441] (S)tohofuhai: サブスクって配信日が決まってるんでしたっけ？
[860.190] (S)山田たろう太郎: そうだね。通常のサブスクはそれあるからなぁ
[861.586] ちょーーー: プライムの更新は意識しないと忘れるね
[865.117] (S)エリ_10: それが良い
[865.442] (S)chinkalahoi: こういうのは100回言って100回書いてもわからない人っているから・・・
[867.517] しきやん: アールさん検討よろしく案件やね
[867.693] (S)jony_avion: ごもっとも
[869.080] (S)kurataro: そこはアンバサダーのチカラで
[869.438] kooooge: 1年分とかね
[869.612] asdfiodadfs: 自動更新固定じゃないのは良心的じゃん
[870.303] (S)nagilay1: 自動更新にする設定欲しいわ
[870.721] (S)桜風かなた: 配信見てる最中に更新チェックするから配信が無かったりタイミングが合わないと更新忘れるという罠
[872.076] goodriser: プラスかな？
[872.912] _こぺ_: アンバサダーの仕事
[874.245] (S)えーひろ: 今回初サブスクだったから17歩の前編見たいほんと
[874.577] (S)blankey3104: 確かに！
[875.552] (S)ttp_hayato: アンバサダーパワーすげー
[875.883] (S)乱火隊長: 何ヶ月単位とかでもいいからやってほしい
[876.677] (S)tamachan0530: ＰＣからだけどサブスク贈るってとこ押すとサブスクがいつ切れるはわかるよ！
[877.125] (S)miso__aji: さすがツイッチアンバサダー
[877.142] (S)なかしょう: 野田氏見てる～？
[880.703] (S)エリ_10: アンバサダー
[880.903] recycle4: Amazonプライムの更新しない仕様はわざとでしょ。有料は自動更新なんだから
[884.552] nonnon1990: 野田氏よろしく
[886.664] (S)ﾔﾐ: 俺はグーグルカレンダーに登録してる
[887.269] (S)blankey3104: そうだね
[890.599] (S)takeo_onakasuita: 野田さん🙏
[890.657] (S)ememeume: 確かにー
[892.518] (S)iakira777: ウメハラさん放送しないとログインしないからチェック忘れる
[896.355] h2hiroyuki: プライムでのサブスクはtwitch側に儲けがあるわけじゃないからたぶん駄目だともう
[896.478] woodmud: 忘れるのが基本悪いと思うけどね人だから忘れることもある
[898.496] (S)エリ_10: それやって！
[899.045] (S)caruvi: サブスクは自動でよい
[900.078] asdfiodadfs: 野田氏～設定早くして
[900.273] ~MISSING_COMMENTER_INFO~: エンジニアが睨んでるよ
[901.508] (S)gnm1616: amazonが関係してきちゃってるからなー
[906.796] (S)shomarusan: 自動にしたいなら有料にしろってことじゃね
[907.256] (S)wakametarou: 左にラーメンついたらサブスクできてるってことでおk？
[910.510] kooooge: アンバサだから言ってこ
[911.121] beastbeast: 普通のサブスクは自動更新。amazonプライムが手動更新
[912.930] (S)junichitanaka: 他のチャンネルを検討させたいデザインなんだろうけどね
[913.055] NaNaNaiL: 活性化の為でしょう 毎月サブスクさせるのは
[914.741] hadogamosenpai: 寒いのにご苦労さまです。 
[915.959] (S)kinpren: 普通更新忘れない
[917.871] yamame: Twitchに限定動画上げられたら楽なのにね
[918.122] (S)ttp_hayato: ラーメンサブスクおｋ
[918.623] (S)uncle_yam: ここ以外サブスクしてないから自動で全然いいのよね
[919.946] hayame_game: 飯田橋五差路かな？
[932.660] (S)miso__aji: ゆっくり歩いて飯田橋
[934.459] kooooge: おおおお
[935.029] ~MISSING_COMMENTER_INFO~: え？
[935.689] fukuzawa1manyen: え！？
[936.127] 東北のスロカス: へぇ
[936.128] (S)kurataro: ラーメンでＯＫです
[936.160] woodmud: あ
[936.510] (S)tamachan0530: へー
[936.556] (S)tyco_kia: SHIBUYA?
[937.339] (S)jony_avion: へー
[937.503] (S)orange88: まじかｗ
[939.432] gettyozi: ブックオフあるところか
[942.338] (S)gomeeeeeeen: なんで
[943.309] (S)chinkalahoi: すげえなｗ
[944.136] (S)ememeume: 配信のたびにラーメンをチェック！
[946.473] (S)junichitanaka: スパイすら容認
[946.817] (S)blankey3104: まじか
[947.857] (S)ttp_hayato: マジかｗ
[948.317] yamame: ｗ
[949.155] (S)zerozero_00: 自分以外にも忘れてる人けっこういたのかー
[949.632] (S)kumatedd: のみとも！
[950.904] (S)orange88: 意外すぎるわｗ
[951.871] h2hiroyuki: ハイクラスの若手との交流が進むのはいいね～
[952.142] ~MISSING_COMMENTER_INFO~: ときどのとこの
