[24.626] 桜子ちゃん: こんちはー
[1136.102] ikamimi23: 九州では伝わるよ
[1163.860] みみみ223: え？これ沖縄でも言うと思うけど
[1176.533] ikamimi23: たぶんふぁんたには伝わるよ
[1190.819] かけちょ: 多分関西以西は使う
[1194.917] inufu: 東北では使わないかなあ
[1203.951] (S)rat0_7777: 「しにちばちよ」とかわかんないか。
[1207.358] (S)じぇにん: ヘンディーはいつもやろがい
[1246.814] (S)rat0_7777: まちがえた「しにちばりよ」とかわかんないか。
[1255.326] papillon779: なにそれ
[1272.803] (S)わしのしわ: イントネーションが韓国語www
[1284.315] inufu: 韓国www
[1285.319] (S)rat0_7777: 死ぬきでがんばれ
[1290.694] (S)rat0_7777: 的な意味
[1311.241] (S)あずきです: 今日はるなちゃん、きゅーちゃんのぶいすぽと一緒なんやね！
[1323.707] inufu: こっちでは｢けっぱれ｣て意味か
[1325.409] daikichi_831: スロットのチバリヨって頑張れって意味なんかw
[1359.211] Juicewisdom: axeumBlush
[1370.691] (S)rat0_7777: 痛いのことを「アガー」とかもいうしｗｗｗ
[1413.609] (S)yuuya_k: お酒最近よく飲むのね
[1429.622] (S)rat0_7777: お酒おいしそうに飲むよね
[1429.696] ikamimi23: えら
[1462.684] (S)yuuya_k: 用法容量やな
[1466.008] mesukillyou: tabでキルログ開いたら相手が何人ダウンしてるか確認出来ますぜ！
[1498.169] (S)rat0_7777: ｗｗｗｗ
[1502.807] (S)yuuya_k: www
[1528.527] ネコとパン: 大学生やん
[1538.180] (S)yuuya_k: いいやん
[1539.538] (S)rat0_7777: 四宮さんがバーボンとか飲んでたらギャップ萌え
[1561.743] inufu: 青森県民です、りんご消費ありがとうな
[1581.878] (S)yuuya_k: え？
[1600.894] inufu: www
[1603.169] (S)rat0_7777: ｗｗｗ
[1604.316] (S)わしのしわ: ヘンおじ
[1605.864] みみみ223: ナチュラルおじ出たな
[1626.600] (S)yuuya_k: レスポンス○
[1631.831] taroimo7590: 紫宮は洋酒ロックで飲むし煙草も吸う
[1642.272] (S)みなも370: おいたんｗｗ
[1644.238] 湯屋0425: マルシカ 徳之島産無農薬シークニンリキュールおすすめ
[1649.478] (S)yuuya_k: www
[1655.381] さくぅ_: tonaka2Faito
[1657.567] (S)はおちゃ: tonaka2Faito
[1658.409] cocoamilk24: 酔ってるでしょw
[1660.638] ふか_321: tonaka2Faito
[1661.690] (S)yuuya_k: tonaka2Faito
[1671.278] inufu: 自分に酔ってるかも
[1688.313] sanmo2: 最近、酒呑みアピールと自分語りが凄いな
[1709.471] (S)はおちゃ: 酔ってるか
[1710.728] (S)みなも370: ｗｗｗｗｗｗｗｗ
[1712.259] (S)yuuya_k: tonaka2Wwwwww
[1720.801] cocoamilk24: 酔ってるやんw
[1851.060] taroimo7590: ヘンディさんってゲームまじで上手いんだな
[1980.029] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[2087.275] (S)光の戦士とわっち: こんばんわー
[2123.387] (S)yuuya_k: ないす
[2162.380] (S)光の戦士とわっち: うま
[2168.368] (S)yuuya_k: いいね
[2200.173] (S)光の戦士とわっち: www
[2201.921] (S)yuuya_k: ええ
[2203.164] (S)けーーま: tonaka2Wwwwww
[2208.964] (S)はおちゃ: wwww
[2209.194] (S)わしのしわ: 利敵行為 
[2232.256] (S)あずきです: ないす！
[2233.329] (S)けーーま: tonaka2Ggggggggg
[2235.081] (S)はおちゃ: つよー
[2235.363] (S)zakiyoka: tonaka2Nice2
[2235.604] papillon779: ないす
[2237.583] bamboo3q: ないすー
[2237.800] (S)yuuya_k: tonaka2Ggggggggg
[2237.836] (S)光の戦士とわっち: なあいす
[2237.917] (S)あずきです: tonaka2Nice2
[2238.788] (S)annindo__fu: tonaka2Ggggggggg
[2240.225] (S)シャケ猫: tonaka2Ggggggggg
[2240.324] (S)わしのしわ: tonaka2Ggggggggg
[2240.760] さくぅ_: tonaka2Nice2
[2241.467] (S)はおちゃ: tonaka2Ggggggggg
[2242.086] cocoamilk24: ないすー
[2243.202] (S)kyubeisan: tonaka2Nice2
[2246.810] inufu: GG!!
[2248.429] ふか_321: tonaka2Nice2
[2251.914] papillon779: つよーい！
[2253.284] (S)nakayu61: tonaka2Nice2
[2259.036] (S)シャケ猫: ぱくぱく
[2260.001] inufu: 一旦、酒のおかげか！
[2261.099] (S)yuuya_k: tonaka2Nzyuuago
[2264.527] ふか_321: tonaka2Wwwwww
[2265.721] (S)じぇにん: https://clips.twitch.tv/BenevolentAcceptableCheddarMoreCowbell-HXOXQvscie8Fv04-
[2269.215] (S)シャケ猫: 酒がうめー
[2273.856] (S)kazuchi_628: tonaka2Nice2
[2287.809] (S)yuuya_k: 酒がうまいね
[2306.701] (S)けーーま: シスコバター
[2315.882] inufu: www
[2317.818] (S)yuuya_k: しすこまー
[2319.803] (S)シャケ猫: やめたれー
[2327.026] bamboo3q: さっきの時点で総合順位3位だったよがんばれー
[2327.539] (S)光の戦士とわっち: 近接かな?
[2343.760] (S)yuuya_k: www
[2348.681] みみみ223: 神‥
[2353.881] (S)シャケ猫: 昨日あんなドヤ顔してたのにな
[2360.122] (S)はおちゃ: Qさんがえぐい強い
[2368.831] (S)yuuya_k: さすがやなぁ
[2376.242] daichaaan12: ヘンディーのコールあってじゃない？
[2391.394] (S)yuuya_k: おじさまさぁ
[2394.557] (S)はおちゃ: ｗｗｗｗｗｗ
[2397.539] (S)シャケ猫: ガソリン入れてますw
[2398.660] (S)kyubeisan: wwww
[2399.101] (S)光の戦士とわっち: NotLikeThis
[2408.161] (S)yuuya_k: tonaka2Nzyuuago
[2408.868] (S)はおちゃ: NotLikeThis
[2409.366] らずきち: ｗｗｗ
[2417.490] (S)わしのしわ: 酒、タバコ、ゲーム
[2422.148] inufu: www
[2450.911] daichaaan12: きっ
[2452.170] (S)シャケ猫: きもいなーw
[2453.041] (S)わしのしわ: NotLikeThis
[2453.702] (S)はおちゃ: きっ
[2455.680] (S)けーーま: きっっっ
[2456.683] しぴぴ: www
[2458.870] (S)光の戦士とわっち: tonaka2Nzyuuago
[2464.050] (S)けーーま: WutFace
[2464.490] (S)rat0_7777: 言い方きついな～ｗｗ
[2465.362] inufu: きしょwww
[2467.437] daichaaan12: 最近マジでおじさんムーブ多いよなw
[2468.243] yosuke131259: DansGame
[2470.302] (S)はおちゃ: 酒に飲まれてるなあ
[2474.959] cocoamilk24: 酔ってるからねw
[2479.249] (S)わしのしわ: そろそろ一旦燃やしとくか🔥
[2486.517] (S)シャケ猫: 父性や
[2498.865] yosuke131259: 母性は母しかでない
[2506.829] (S)シャケ猫: ママ出さんといてw
[2507.556] (S)はおちゃ: カシャw
[2512.975] (S)光の戦士とわっち: ママではあるか
[2518.512] (S)シャケ猫: スクショできない人？
[2524.398] (S)rat0_7777: セクハラの証拠写真とられた？
[2529.353] chatmon24: パパって読んでもらおう
[2531.669] しぴぴ: スクショですよね？w
[2536.749] daichaaan12: ヘンディーばいばい
[2547.353] (S)わしのしわ: 今までありがとうな、ヘンディ
[2547.479] (S)シャケ猫: 一旦脅迫か
[2562.924] osyou987: おかしい人をなくしてしまった
[2578.836] (S)光の戦士とわっち: FF終わるまで観れなくて残念だよ
[2582.533] (S)シャケ猫: ふっか
[2587.495] (S)じぇにん: 年齢に比例してプライドはなくなっていくよね
[2609.393] (S)rat0_7777: ＸＱＱさんていくつなんだろう？
[2611.522] しぴぴ: 大人やね
[2627.688] (S)zakiyoka: あれ？
[2629.736] (S)rat0_7777: ｗｗｗｗ
[2636.376] (S)kyubeisan: wwww
[2636.435] らずきち: ｗｗｗｗｗ
[2643.615] (S)かなるな: www
[2644.869] しぴぴ: おかんwwm
[2646.384] (S)rat0_7777: 昨日の配信
[2650.886] inufu: www
[2651.108] yosuke131259: おかんやなぁ
[2655.376] (S)zakiyoka: あんな事もこんな事も
[2656.107] (S)光の戦士とわっち: 愛か。。
[2658.255] osyou987: おかん泣いてないの？
[2665.331] inufu: きっついwww
[2667.952] (S)かなるな: お母さんいつもお世話になっておりますm(*_ _)m
[2672.075] yosuke131259: めっちゃいいタイミングで草
[2679.972] (S)シャケ猫: バカな息子を？
[2685.262] しぴぴ: 頑張って〜
[2688.148] cocoamilk24: めっちゃ強いよ！
[2693.603] (S)シャケ猫: ふぁいとー
[2701.756] yosuke131259: ちゅてね
[2720.663] しぴぴ: おいしいところをね
[2739.013] inufu: 昨日のあの人はやっぱりバケモンてことか
[2750.191] (S)光の戦士とわっち: スキンえぐ
[2753.568] xLaMuu: え
[2755.891] (S)シャケ猫: ええてー
[2758.127] yosuke131259: え？
[2759.300] (S)kyubeisan: ええええ
[2761.308] しぴぴ: www
[2761.495] (S)わしのしわ: ん？？
[2766.813] (S)rat0_7777: ｗｗｗｗ
[2768.204] (S)わしのしわ: 酒で手元狂ったから
[2768.788] しぴぴ: やったなw
[2769.551] yosuke131259: まえにいきすぎ
[2803.385] (S)じぇにん: https://clips.twitch.tv/RamshackleMuddyPeppermintBrokeBack-lcM2gofN6SP33xlT
[2816.789] yosuke131259: うわー
[2824.532] (S)シャケ猫: まぁまぁ
[2837.988] しぴぴ: とりなおしてね
[2996.300] yosuke131259: ないす
[2998.890] (S)シャケ猫: ないすー
[3005.557] (S)かなるな: ないすー
[3008.829] しぴぴ: ナイス〜
[3217.047] (S)zakiyoka: 頑張れ！
[3239.070] daichaaan12: これ取れたらデカい
[3261.979] (S)わしのしわ: うまい
[3264.037] みみみ223: うま
[3266.684] (S)シャケ猫: うまい
[3276.345] (S)かなるな: ぅま
[3288.979] ridtyud: うま
[3295.001] (S)わしのしわ: おっほ
[3298.961] daichaaan12: おー！
[3301.726] bamboo3q: ないすないす
[3303.160] (S)光の戦士とわっち: うまあ
[3307.393] (S)かなるな: 間に合うか？
[3307.418] papillon779: うまいー
[3309.446] (S)rat0_7777: ないす
[3312.378] inufu: うまい！
[3314.943] ふか_321: うま
[3315.046] しぴぴ: うま
[3330.151] (S)zakiyoka: おー
[3330.306] (S)わしのしわ: うおおおおお
[3336.593] (S)かなるな: ないす
[3339.748] ridtyud: あっつ！
[3339.824] daichaaan12: アツすぎwww
[3343.163] (S)annindo__fu: tonaka2Nice2
[3345.271] (S)シャケ猫: ないすー！！！
[3345.496] (S)annindo__fu: tonaka2Ggggggggg
[3345.959] あたー: あっつｗｗｗｗ
[3347.740] bamboo3q: ないすー！！
[3348.053] (S)zakiyoka: tonaka2Nice2
[3348.173] xLaMuu: ナイスすぎwww
[3348.276] (S)シャケ猫: tonaka2Ggggggggg
[3348.333] papillon779: おおおお！！
[3349.237] (S)はおちゃ: tonaka2Ggggggggg
[3350.676] (S)わしのしわ: DinoDance
[3350.816] mika___zuki: ナイス好き！
[3351.048] (S)かなるな: tonaka2Nice2
[3352.009] ふか_321: ないす！ 
[3352.364] (S)けーーま: tonaka2Ggggggggg
[3353.644] (S)けーーま: tonaka2Nice2
[3353.665] (S)yuuya_k: tonaka2Ggggggggg
[3353.883] (S)rat0_7777: 逆転勝利すぎ
[3354.182] (S)noah0053: tonaka2Gg
[3355.094] (S)シャケ猫: 大逆転や！
[3355.376] しぴぴ: ナイス〜👍
[3355.801] (S)zakiyoka: つんよ
[3357.314] inufu: ナイスー！
[3357.427] (S)けーーま: うおおおおおお
[3357.511] (S)光の戦士とわっち: つよお
[3358.043] saladman33: gg
[3359.094] (S)hanana___: tonaka2Nice2
[3359.164] (S)はおちゃ: つよすぎ〜〜〜〜
[3360.110] (S)かなるな: く 
[3361.849] タノア: ｇｇ
[3362.916] (S)nakayu61: tonaka2Nice2
[3363.766] aikosukisuki: すげー
[3366.127] papillon779: つよすぎ！
[3366.369] しぴぴ: やっば！
[3368.103] (S)natu0713: あっつ
[3375.338] inufu: GGwinー！！
[3379.097] しゆう_: tonaka2Nice2
[3383.025] さくぅ_: tonaka2Nice2
[3384.485] (S)かなるな: くっそあちぃ
[3386.462] (S)わしのしわ: ヘンディーさんどのゲームでもサポート性能高いな
[3387.215] (S)yuuya_k: でけぇ
[3388.595] (S)はおちゃ: Qさん10キルえぐwwww
[3390.108] (S)zakiyoka: マークがキツくなりそう
[3395.388] しぴぴ: 最強やね
[3399.985] (S)noah0053: Qさんすげえｗ
[3404.836] inufu: キル数えぐwww
[3406.792] (S)わしのしわ: 10キルwwww
[3409.317] (S)yuuya_k: すごっ 
[3412.773] (S)jaso1020: かわいい
[3413.409] xLaMuu: iPhoneでね😂
[3414.761] (S)光の戦士とわっち: 強すぎてまずいかw
[3417.464] (S)yuuya_k: かわよ
[3423.074] (S)かなるな: かわい
[3423.771] (S)シャケ猫: めっちゃ喜んでるやん
[3426.147] (S)noah0053: ｗｗｗｗ
[3432.897] しぴぴ: www
[3433.145] (S)yuuya_k: www
[3434.327] (S)zakiyoka: やめてあげてww
[3441.358] (S)かなるな: 前カイトくんもしてたやん
[3443.717] inufu: wwww
[3452.651] 你这个弱者: !member
[3452.749] (M)Nightbot: ヘンディー、ととみっくす、なるせ、如月れん、AlphaAzul、わらぶい、 らいじん、ひのくまらん、花芽なずな、NIRU、なちょ、まるーん
[3454.856] (S)yuuya_k: やるやんw
[3456.610] しぴぴ: 現役ですw
[3464.842] (S)かなるな: フーディーで撮ってる
[3478.134] (S)rat0_7777: これってトーナメント制？
[3479.259] (B)(S)ヘンディー: メンバー→XQQ、しのみやるな
[3487.185] daichaaan12: wwww
[3490.458] cocomaaru: wwww
[3495.255] bamboo3q: www
[3498.951] しぴぴ: www
[3502.524] さくぅ_: www
[3502.877] (S)rat0_7777: ｗｗｗｗ
[3506.085] (S)シャケ猫: お茶目も出ます
[3511.648] しぴぴ: 初手は想定外w
[3513.375] nangokuice: ちくちく
[3519.925] (S)yuuya_k: www
[3521.008] (S)シャケ猫: キツいカウンターきちゃ
[3534.178] inufu: 敵を騙すには味方からだから！
[3539.020] (S)yuuya_k: なんかじゃない？
[3546.450] (S)光の戦士とわっち: あの遅れが良かったんよな?
[3552.695] しぴぴ: 結果が全てやね
[3557.599] (S)シャケ猫: 優勝賞金何使う〜
[3598.598] (S)natu0713: QさんのIGLがすげえ
[3622.555] (S)yuuya_k: ふむ
[3623.304] inufu: 北署でダンスしてた人とは思えんな
[3645.175] daichaaan12: 優勝して肉食うべ
[3680.545] (S)yuuya_k: 強いか
[3694.597] (S)じぇにん: 可哀そうにシスコ神
[3707.737] (S)シャケ猫: 神かカモか
[3736.330] inufu: スタンしてたやつ？
[3768.007] (S)yuuya_k: がんばるんやで
[3772.152] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[3788.379] (S)かなるな: るなって呼ぶか
[3898.555] (S)かなるな: www
[3904.379] (S)rat0_7777: ｗｗｗｗ
[3912.138] inufu: すぐ調子のるwww
[3924.675] (S)かなるな: チクチク
[3932.840] (S)光の戦士とわっち: tonaka2Nzyuuago
[3932.845] 湯屋さと: これは誰と通話繋いでるんですか？
[3940.046] cocomaaru: しのみやとqさんの飴と鞭
[3940.061] しぴぴ: www
[3945.345] (S)かなるな: ボトッ
[3966.298] (S)noah0053: @湯屋さと 紫宮とXQQ
[3972.575] (S)かなるな: おもろ
[3977.794] 湯屋さと: ありがとうございます！
[4011.713] inufu: 何回もこすられるwww
[4110.859] (S)かなるな: カッコがwww
[4122.573] (S)zakiyoka: こわいよー
[4125.014] しぴぴ: エグいなw
[4131.122] inufu: 怖いwww
[4162.142] ザック05: 宇宙人？w
[4169.621] (S)わしのしわ: より化け物に
[4214.094] しぴぴ: インパクト大
[4230.963] ザック05: 一族やんw
[4259.181] inufu: こんな人達居たら逃げるな全力で
[4280.829] (S)rat0_7777: 鬼一族？
[4385.379] ザック05: ロビンマスクの親戚かなコレ
[4393.526] (S)わしのしわ: 金色の白鳥一族だ
[4421.823] (S)かなるな: せーの
[4443.463] (S)かなるな: せーのON
[4458.112] ふか_321: tonaka2Nice2
[4459.201] (S)かなるな: 毎回なんなんwww
[4480.085] (S)じぇにん: めとこもりおるやん
[4483.830] inufu: ホントこのやり取り毎回めんどいなwww
[4580.843] (S)かなるな: 1人で無双してたもんな
[4710.402] しぴぴ: Qさんわるいなw
[4738.880] しぴぴ: 見た目ねw
[4747.809] (S)zakiyoka: ゴルフ場の写真とかね
[4850.977] (S)noah0053: 背景が...ｗ
[4867.905] (S)かなるな: 昔はウジ虫わかしてたけどな
[4923.218] (S)わしのしわ: NotLikeThis
[4942.040] (S)かなるな: www
[4946.357] (S)わしのしわ: 生ゴミそのまんま
[4961.301] (S)zakiyoka: 命のサイクルが
[4962.207] kiloyyyyt: 最悪だ
[4962.959] しぴぴ: うわー
[4970.386] sinoxxxxxxxx: 真顔ｗｗｗ
[4981.346] (S)かなるな: マネージャーに掃除させてたよ？
[4983.211] (S)わしのしわ: しのみやさん？！
[4989.920] しぴぴ: あぶないあぶないw
[5019.833] (S)わしのしわ: え？
[5022.799] inufu: 掃除できない子なの？しのみやさんは
[5024.913] (S)わしのしわ: 流れ変わったな
[5026.509] しぴぴ: えっ
[5030.236] daichaaan12: 逃げべ
[5057.272] しぴぴ: ん？w
[5061.572] (S)フ工ﾉﾚ: 意外とね
[5061.705] (S)かなるな: 意外とね？
[5068.499] (S)zakiyoka: www
[5088.097] inufu: www
[5094.866] しぴぴ: www
[5097.644] (S)kyubeisan: www
[5120.210] ヒビニチ: このげーむめちゃすき
[5130.547] ヒビニチ: こんばんｂんは
[5136.331] (S)かなるな: www
[5137.991] (S)わしのしわ: これで一つ博識になったわね
[5138.785] halhitmama: たまご産みつけてるんやで
[5146.809] しぴぴ: 共存w
[5147.062] (S)zakiyoka: なんちゅー会話ww
[5151.101] (S)シャケ猫: ご飯持ってきたらびっくりなんだがwww
[5154.555] (S)kyubeisan: 一つ学べたか
[5156.949] (S)noah0053: ハエが腐ったもの好きだからね
[5168.581] ヒビニチ: 軽量級まじすき
[5183.864] (S)シャケ猫: まだ本気じゃなかったか
[5205.659] daichaaan12: ほんでいつ始まるんw
[5259.004] (S)かなるな: わたしは小説で知った、ウジ虫がハエになるの
[5260.512] (S)シャケ猫: キッチンで知るんだよ、しのみや
[5316.541] (S)haruy_14: それ流れ星じゃね？
[5320.525] (S)かなるな: なかれぼしやね？
[5323.424] suyu_namin: それ土星の輪じゃない？
[5337.286] (S)はおちゃ: 土星やね
[5358.489] (S)noah0053: 木星も一応輪っかはあるけどね
[5369.500] (S)zakiyoka: おっと
[5370.776] (S)かなるな: なんでぇ！？
[5378.107] inufu: しのみやさん？
[5382.783] ヒビニチ: 太陽の光は？
[5383.152] (S)noah0053: 太陽みたいなものよ
[5389.506] (S)シャケ猫: 反射光や
[5395.573] xxhide0820xx: 恒星惑星
[5395.575] daichaaan12: 雑学勝負になってるw
[5408.082] (S)はおちゃ: あまりにも強すぎる
[5413.445] bamboo3q: 圧倒的1位
[5417.757] (S)かなるな: 太陽の光の反射やなかった？
[5432.362] (S)かなるな: 結構あるよな
[5445.255] ridtyud: www
[5450.592] (S)シャケ猫: 直立した状態でつま先見えないのは、巨乳
[5455.265] ikamimi23: それ雑学なん？w
[5462.967] (S)はおちゃ: トレビア？w
[5465.238] halhitmama: トルコ石はトルコ産ではない
[5465.908] muru_uu: ww
[5469.196] daichaaan12: トリビアww
[5471.130] (S)はおちゃ: トレビの泉かw
[5471.626] (S)zakiyoka: へぇ〜
[5471.935] (S)お野さい: wwww
[5473.285] (S)かなるな: 石川県民はあまりのどぐろを食べない
[5473.589] (S)シャケ猫: トーリービア〜
[5480.130] ザック05: タモリさん？
[5480.738] さくぅ_: へー
[5485.406] ユウ02: 30へぇ～
[5509.580] (S)かなるな: 最近飲み始めてん
[5514.098] ridtyud: タモリさんとQさん隣に一回並んで欲しいな
[5516.435] (S)シャケ猫: アナにデスソースは激痛が1週間続く
[5560.230] inufu: 尼通と書いて、ニュートンと読むとか？
[5575.746] (S)かなるな: そのエピソード好き
[5579.835] daichaaan12: うーん
[5580.280] (S)シャケ猫: うんー
[5580.705] みらげ: うーん
[5581.295] (S)noah0053: ｗｗｗ
[5582.807] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[5585.045] muru_uu: うん
[5587.936] (S)rat0_7777: う～ん
[5589.222] daichaaan12: ニアミスか〜
[5590.462] (S)kyubeisan: うーーん
[5593.261] (S)シャケ猫: おかんが言うならそうか
[5596.283] inufu: www
[5599.594] minejaaa: エミネムラップしかない
[5601.202] みらげ: あと10分くらいあるよ
[5606.301] (S)kyubeisan: www
[5610.340] (S)rat0_7777: 雑学じゃなくてネタやん
[5618.100] (S)かなるな: 髭の脱毛は激痛とか？
[5623.745] ridtyud: 感情によって涙の味が変わる
[5633.102] inufu: 最近得た知識なら犬の知識あるんじゃないの？
[5657.114] xxhide0820xx: サイの角は毛
[5669.935] (S)シャケ猫: 1番高いカードはMTG
[5685.702] (S)かなるな: シロクマはいっぴき残らず左利きとか？
[5696.245] halhitmama: アンパンマンは昔カレーパンマンの服を強奪したことがある
[5714.846] kurma96: みりんは20歳過ぎてからじゃないと買えない
[5725.646] (S)noah0053: パンダは実は肉食
[5735.336] (S)シャケ猫: 美味しい雑学w
[5737.837] (S)かなるな: みりんはお酒だからお酒売れる店じゃないと売れないんだよ
[5770.821] inufu: コアラは毒をずっと分解してるから動かない
[5772.428] (S)シャケ猫: 物知りよな
[5789.903] (S)rat0_7777: ちゃんとボケにも対応してくれるｗｗｗ
[5790.580] nelu_popo_whichii: ドラゴンボールの話したったらええねん！
[5793.231] (S)かなるな: ダチョウの卵は4時間かけないとゆで卵にならない
[5814.931] (S)zakiyoka: 風評被害ww
[5821.878] (S)かなるな: ドラゴンボールの名付けの話はめっちゃへぇってなった
[5824.453] (S)kyubeisan: www
[5825.169] inufu: wwwwww
[5834.844] (S)シャケ猫: 私たちは平均して、生涯92日（2,208時間）もの時間を便座の上で過ごす。
[5835.067] チュパチャプス: へぇ〜
[5848.346] vovovod: 種類によってやね
[5850.308] (S)noah0053: 成分にはよるけどね
[5857.570] (S)kyubeisan: へぇー
[5870.501] 姫神くろね: ヘンディの電車の落とし物の話好き
[5875.925] (S)かなるな: それはバターや
[5883.633] (S)かなるな: 塩やし確か
[5900.624] minejaaa: ファン太さんとか色々知ってそう
[5905.067] さくぅ_: カッテージチーズだね
[5906.344] (S)かなるな: レモンもはチーズや
[5918.996] kamaboko0001: 主婦もビックリ
[5921.714] tsukki_bebe: IQが20くらい差があると会話が弾まないとか…成立する時はIQが高い人が低い人に話を合わせてるみたいな聞いたことある
[5926.897] (S)rat0_7777: ヘンディは雑学を話すよりネタを話すほうがおおいかもね。
[5950.717] (S)かなるな: レモンとお酢はチーズの作り方やなかった？
[5959.313] inufu: バン中村さんは赤い服が好き
[6003.531] daichaaan12: ...
[6005.105] (S)はおちゃ: ？
[6007.761] (S)natu0713: え？
[6008.736] muru_uu: ？
[6008.965] kurma96: え、
[6009.419] リゅい: え？
[6009.651] ふか_321: え？
[6009.683] (S)rat0_7777: えっ？
[6011.271] (S)zakiyoka: 飲み過ぎ？
[6013.243] さくぅ_: え？
[6018.186] チュパチャプス: WutFace
[6018.739] inufu: ？
[6021.631] muru_uu: www
[6022.292] (S)わしのしわ: 今はない？！
[6024.203] (S)rat0_7777: なんで古代？
[6024.956] ふか_321: www
[6027.849] (S)かなるな: 滅亡した？
[6033.199] (S)わしのしわ: 現代には存在しないと
[6037.175] (S)rat0_7777: 山が滅亡したｗｗｗ
[6038.696] (S)zakiyoka: 時空が
[6044.189] daichaaan12: 国？
[6052.031] inufu: 勝手に世界作らないでwww
[6052.482] (S)natu0713: なわけないだろｗｗ
[6052.563] daichaaan12: wwwwwww
[6056.540] (S)かなるな: ヒマラヤ山脈は山の名前
[6058.561] kurma96: 山脈
[6074.926] (S)rat0_7777: ブータン、中国、インド、ネパール、パキスタンの5つの国にまたがる。
[6078.417] (S)シャケ猫: ドヤ顔が
[6083.505] (S)わしのしわ: 全員あやふやなままで話進んでるよ草
[6083.713] daichaaan12: ネパール付近
[6107.007] チュパチャプス: ネプリーグ
[6112.290] kurma96: チベットとネパール
[6114.213] さくぅ_: ネプリーグ
[6119.240] リゅい: w
[6127.087] (S)フ工ﾉﾚ: イギリスなんて島国やぞ
[6128.199] (S)わしのしわ: イギリスは地続きだった…？！
[6131.776] inufu: www
[6151.089] daichaaan12: 神話来た
[6171.208] (S)zakiyoka: 何人兄弟？
[6171.430] (S)シャケ猫: 神をタイプ分けしないでw
[6174.452] daichaaan12: ゼウスの妻は？
[6174.987] inufu: 三兄弟やねんな
[6195.279] makisimasu: カイトをフォローしてるから
[6196.715] mintia0118: 公式で順位でてるー
[6202.298] kaisoku0101: ミリオンゴッドで覚えた
[6203.812] (S)シャケ猫: クトゥルフ神話とかね
[6203.851] (S)かなるな: 日本の神はわかるん？
[6208.467] (S)シャケ猫: かわよ
[6208.722] inufu: ギリシャ神話は話し破綻してるけどwww
[6223.682] (S)noah0053: ゼウスが三男だったような
[6231.637] daichaaan12: 切り替え大事よー！
