[33.317] arare_1567: こんこんこん
[414.256] (M)墾田永年私財砲: 鉄拳Ver.1.05.00パッチノート：https://www.tekken-official.jp/tekken_news/?p=131
[416.686] レベルゼロ: しかもその後微歩き昇竜
[424.286] (S)やぎう氏: cagdogBugi
[424.355] acis3983: 2フレ歩きとか言ってて戦慄したよね
[428.660] (S)godog02: いやーきちー
[430.670] joxright: 7フレか8フレ遅らせでできる
[447.197] iiwakehito_sion: 令和に2フレ…
[456.157] frost_0275: どういう原理で最初のヤツはあんな感じには冷めるんですか…？
[457.269] 上杉朝顔: 2F歩き…???
[467.182] (S)美濃屋善兵衛: 2フレって見えるもんなんか？
[472.404] レベルゼロ: 2回目か3回目をキルステ派生
[473.678] おぎん_: むっず
[481.968] (S)raincoat214: こんちは 今日同時配信なんですね
[483.976] (S)hal_247: MicroWalker
[486.279] unimel1x: 2回大アッパーした後がキルステ派生っすね
[486.672] OldTypeOji: Dream過ぎて実戦投入は危険まである
[489.299] タチャンカ先生: 男キャラの最推しが出てくるの最高すぎて鼻血止まらなかったよ、、、
[500.901] アルにゃん: 安定してできたらすごそう
[508.165] joxright: ももちの開発力すんごい
[523.022] (S)美濃屋善兵衛: 微ラグですらズレそう
[537.762] (M)(S)ぱぱすぬわ: むかーしの格ゲーのコンボのようなアナログ感
[546.833] munt_hihi: ドリーム新しくなっつるー！
[549.168] sanka8492: ほぼビタ？
[553.604] unimel1x: SA1までやったら6200減ります
[556.120] (S)mori_123: SA1締で6200とかだっけ？
[560.586] tkgnotamago: カプコン「こんなコンボ知らない、、、」
[562.437] frost_0275: 動画見たら6240
[569.776] joxright: エドの最大更新らしい
[573.781] (S)美濃屋善兵衛: たかっ
[587.979] mayonaka_no_masingan: どぐにゃん、ハイタニさんこくにいと同じ隠居の面白おじさんかとおもってたんですが、全然普通に各方面から一目おかれる現役バリバリ一流プレイヤーだったと知ってびっくりした
[588.467] unimel1x: 現実的なフルコンがこれか
[596.028] tenkas10: ドリームではあるけど難易度に見合ってない・・・ｗ
[599.774] hakkkkk___: あまりにドリームすぎる
[600.106] warotyphoon: でもカッコいいよ
[602.918] joxright: sa2だけで5600減るんよ
[603.250] (S)ta3z_: ドリームだから・・・
[613.447] 上杉朝顔: ( ﾟ∀ﾟ)o彡゜えーりん！ えーりん！
[615.721] (S)kinokogidora: YouTubeとまよってこっちきたぜ
[617.697] iiwakehito_sion: でも画面端から画面端カッコイイし…
[620.190] レベルゼロ: ゲージ回収+ドライブ回収がね・・・
[624.265] tsukuyomid: ゲージ回収はすんごいよね
[627.252] (M)(S)ぱぱすぬわ: EVO壇上ぞ
[627.703] アルにゃん: 夢を追い求める男たち
[634.957] おぎん_: SA1締めを考えないほうがよい？
[637.114] (S)うちま_: ドリームコンボってドライブゲージは2本だけ？
[637.998] queuhcs: でもかっこいいから
[642.788] ririascarlet: sa3溜まってなかったときに狙いたい的な感じか？
[643.202] yosyatu: あとゲージ回収もあるしなあ
[644.563] チョッニキ: 漢はロマン！
[647.381] beretta_ninamori: でもドライブ効率もあるよ
[649.432] (S)mori_123: 運びゲージ回収がえぐい
[658.222] (S)godog02: ほうほう
[658.340] (S)kinokogidora: そのコンボってモダンでもできるやつですか？
[659.874] unimel1x: 初心とは
[662.454] (S)美濃屋善兵衛: あ、今日か
[662.904] いのたく: 鉄拳パッチノートきたぁ
[664.446] frost_0275: これって入れ替えてるのは必須なんですか？普通に端から端までではダメなんすかね？
[665.461] zackz_fair: こんにちは〜
[665.782] (S)kinokogidora: ほう
[667.606] unimel1x: なるほどね？
[669.731] queuhcs: つまりドリーム
[672.060] (S)ta3z_: 普及のお仕事
[674.997] hakkkkk___: ほう
[675.061] beretta_ninamori: 体験版やる?
[677.378] ケツ洗い坂48: お？
[683.281] tkgnotamago: つまり宣教師
[688.263] unimel1x: 親善大使のお仕事
[688.380] frost_0275: おうおう？
[689.519] toto3210119: うおおおおおおおおおお
[690.105] gorugorugorugo: 本田を消せってコト？
[693.190] (S)siegfried_lenoid: 現状に満足せず向上心を持ってね
[693.905] dorinkuhoru: 商人
[696.959] (M)墾田永年私財砲:  ひまじん： 配信初見です 最近PCも持ってないPS5もないガキなのでスイッチのアニコレで初めてストに触ってみて3rdをやって100時間丁度たったんですけど今だに豪鬼の弱昇竜→滅殺豪波動が全く出来ないんですけど昇竜からのスパキャンのコツってありますか？
[704.349] moowwzz: たかしが出てくると深読みしてしまいました
[711.897] h1ran0p: こんちわ、あのー新キャラでコラボが2枠取るのって割と否定的なんすかね？
[716.979] (S)ta3z_: 半額セールで買った人多いみたいね・・・
[717.809] けんちゃんなぁ: 昨日からスト6を
[718.520] hakkkkk___: セールやってるしね
[718.743] お酢プレイ: リリーと本田削除？
[724.231] atoz428: 商人(あきんど)ぐら
[726.142] TOUMA_TAKA: スト6からまともにはじめたけど動画とか盛んではじめやすかったわ
[743.976] (S)nyamorine: プロとして超基礎練やるのかと思った
[745.421] (S)美濃屋善兵衛: 複合コマンド 複合コマンド
[748.021] (S)shi_a__: おぉ〜！
[751.443] (S)godog02: おー
[751.985] えすらぶ: わいも半額で買ったで
[752.174] frost_0275: ありがたや～～～～～！！！！！
[753.832] (S)kinokogidora: うおおおおおおおお！
[755.655] tetu_ao: おー！
[758.074] h1ran0p: 昇龍からのsa3苦手っすわぁ
[760.639] beretta_ninamori: アツい
[761.666] けんちゃんなぁ: 昨日からスト6を始めた初心者です…クラシック難しいですが楽しいっすね
[762.281] (S)shi_a__: たすかるぅ！
[763.645] チョッニキ: 助かるよ〜
[779.272] ケツ洗い坂48: 需要を的確に見極めていくぅ！
[786.885] kaeruseijin1008: くっさ
[792.298] margarita_217: もわっ
[802.343] dr_too_much: こんばんは、どぐらさん。AKIを使っていて豪鬼の阿修羅閃空に対してSA3で切り返したところ、見事にSA3をかわされたのですがこれってどういう原理で避けられたんですか？あと阿修羅閃空の対策って
[805.823] (S)美濃屋善兵衛: 1に入ってません？
[807.095] baked_phone: ほへー
[808.329] h1ran0p: なぜ…？
[817.656] unimel1x: なんか1に入ってるとこあるね
[817.699] MaedaBaison: よくわかる複合入力
[833.134] baked_phone: 昇竜コマンドで既に真空コマンド半分入ってるのね
[838.262] tkgnotamago: 一度で二度と美味しいってコト！？
[838.997] whiteface811: これ他の格ゲーでも使えますよね
[850.170] 匿名小僧: ちなみにどぐらさん、波動から真空竜巻コマンドはそういう簡単な出し方あります？DJのソバSA3超苦手です。
[858.733] kaeruseijin1008: えぇ…
[863.398] (S)あおじし: 阿修羅、画面端だと後ろに回り込むしね
[865.980] frost_0275: かぷんこ直して～～～（´・ω・｀）
[867.804] hakkkkk___: ええ....
[872.033] aki5568: 切り抜ききたあああ
[895.260] (S)shi_a__: A:ばぐ
[899.241] h1ran0p: コマンド関係だとクラシック使い始めてから波動しながら歩こうとしたらめっちゃ昇龍に化けますわ、あれ原因ありますかね
[903.342] unimel1x: 波動の最後の6から
[912.851] TOUMA_TAKA: 阿修羅たまに技かわしてくるように見えるのそういうことなんか
[917.271] minimamukametaro: あとOD昇竜系もタイミングですかっちゃうからな
[921.596] ぱうーちゃん: 結構練習したなぁ
[923.851] beretta_ninamori: ムズいよね
[931.719] iiwakehito_sion: 起き攻めにパリィを仕込みって見たんですがどういう原理でDリバをパリィできるんでしょう？
[932.606] (S)美濃屋善兵衛: @h1ran0p 歩きで前が入ってるから
[933.585] (M)(S)ぱぱすぬわ: 八乙女だ
[941.018] unimel1x: 八乙女...?
[943.879] Nikumannju_p: 2363214コマンドはKOFか
[944.423] 匿名小僧: ほー参考になります。ずっとマシンガンアッパーからで逃げてました
[944.564] 上杉朝顔: 根性でやる俺は一旦異常か
[959.384] h1ran0p: ちゃんと止まらんといかんのか〜感謝です
[1004.399] (S)美濃屋善兵衛: @h1ran0p 後ろを一瞬入れれば大丈夫 前歩きからヨガフレでいける
[1018.994] naryuhama: オギャが
[1021.531] 上杉朝顔: オギャるな
[1021.849] 匿名小僧: ｵｷﾞｬ！
[1024.653] h1ran0p: あ〜なるほど
[1028.421] unimel1x: ｵｷﾞｬいらなすぎて笑う
[1031.807] ぱうーちゃん: そんな仕込みあったんだ
[1045.701] 上杉朝顔: 連キャン 連キャン
[1051.645] (S)godog02: なるほどなー
[1054.556] Nikumannju_p: これがあるからオギャ消してほしいほんと
[1056.610] おまきん: ほー
[1057.301] zenosc9: リュウの不破三連撃は救われたのに
[1059.562] tkgnotamago: だからコパからコパが繋がるってわけか
[1072.207] mouhuu: はえ〜
[1085.190] (S)godog02: これは今から使える知識
[1089.178] iiwakehito_sion: あーそういう事なんですね！ありがとうございます
[1090.211] 匿名小僧: あーこれもしかしてスト４のエミリオもこれ？
[1091.399] お酢プレイ: 空キャンドライブラッシュは漏れないんです？
[1091.686] kaeruseijin1008: おぉ～
[1091.850] ebidondon: どぐらさん的には、ランクマ何割、トレモ何割くらいで、マスターいけると思いますか？
[1095.537] (S)shi_a__: キャンセルのうむか
[1105.091] gmg_kn: これ消されそう
[1106.819] tkgnotamago: 知らなかった、ありがとうございます
[1108.495] (S)shadowchiefzed: おはでーす 枠取って数分後に鉄拳パッチノート来たんですけどもしかして癒着ですか？
[1110.081] (S)godog02: 強が優先っすね
[1121.023] kagato116: キャンセルってどう言う意味なんですか？
[1121.319] TOUMA_TAKA: めちゃわかりやすい
[1126.014] odenn_dao: sasaNOTED2
[1130.619] pakorepukins: こんにちはす
[1135.977] toto3210119: 助かる
[1137.549] hakkkkk___: パリィ>コパンって事か
[1149.497] (S)shi_a__: たすかる
[1154.759] pakorepukins: ありがとう
[1156.779] (S)美濃屋善兵衛: インサイダー野崎
[1162.069] hamham9999: ベ、ガ
[1163.576] (M)(S)ぱぱすぬわ: サンドイッチ野崎
[1167.702] 徳ちゃん0910: こんばんは～ツイッチ配信始めて来ました！
[1168.282] parka_01: 新ドリーム見ましたか？
[1171.579] odenn_dao: 対策うおおおお
[1175.729] aki5568: なるほど、それでカプコンの株を
[1185.157] hakkkkk___: ぷげに矯正されたやつ
[1185.357] ちまちまちま: 当て投げに仕込む時は同時押しじゃなくて順番に押せばいいからそっちだけやってるなー
[1194.416] (S)kinokogidora: ルーク対策うおお
[1222.707] (S)ta3z_: やってきます
[1229.490] hakkkkk___: この連携だけでプラチナまでは行けるし
[1234.371] tkgnotamago: うおおおおお！
[1244.281] naryuhama: 細書の飯の種
[1244.536] あかもず: 123から弱ブラストされたらどうするの
[1249.476] iiwakehito_sion: ODサンブラだとインパクト返されちゃうんだっけ
[1254.195] (S)shadowchiefzed: 無学で申し訳ないんですがインパクトのアーマー発生って1Fからですか？
[1266.237] (S)美濃屋善兵衛: インパクトは1から
[1316.241] (S)でぃるじゃ: 強フラ溜めで昇竜避けれなかったっけ？
[1323.653] naryuhama: やれんのぉ？
[1323.676] dr_too_much: が？
[1327.070] あかもず: うおおおおお
[1339.705] h4gechaso: モダン無理じゃん
[1340.886] のねむ: 腕が短くなっちまぅた
[1341.672] makaosan: モダン...
[1358.073] お酢プレイ: ルークの通常技みっちり弱くなってる…
[1361.963] (S)godog02: 草
[1362.253] 激動のマタドール: レベル１やな
[1368.109] zenosc9: モダンは技少ないから仕方ないわね
[1379.468] (S)godog02: これでいくかぁ
[1382.175] hakkkkk___: ルークの通常滅茶苦茶弱くなってるから...
[1390.661] parka_01: でもゲージ無くなっちゃいますよ...
[1405.184] frost_0275: まぁ有利取ってるし、歩いて投げに行っても良い感じ？流石に遠い？
[1408.412] minimamukametaro: モダンはもうそこが最大のデメリットだからなー
[1432.850] (S)美濃屋善兵衛: 投げは流石に遠いな
[1451.930] (S)hal_247: ODブラストしてきたら？
[1457.652] minimamukametaro: ワンチャンシミー狙えるかもな
[1459.543] kaji0131: モダンなら中フラだろうしな
[1475.520] frost_0275: 汗飛ばしてる
[1476.006] tkgnotamago: 速い分の弊害か
[1481.049] (S)yuan_81: めんどくさくなかったらどう対処すればいいですか？
[1504.481] (S)美濃屋善兵衛: ザンギはもう必要経費で前歩きしてくる
[1504.988] (S)いわたん_: こんばんは 今日YouTubeの同接なんか高いっすね（自分もYouTubeのほう先に気がついた
[1508.219] dorinkuhoru: パリィは微妙っすか
[1512.549] moowwzz: 4回食らっても一回飛び通ればいいと
[1521.749] tkgnotamago: 弾だ！とべえええええ！
[1530.402] lucky7404: ルークの弾とリュウとかの波動って総じてどっちが強いんすか
[1554.309] hakkkkk___: このゲーム飛びのリターンはまじででかいからね
[1578.576] minimamukametaro: リュウの波動は弱だとジャンプタイミングによっては対空間に合うのが強いんよなー
[1595.406] (S)鉄板: こんばんは
[1620.372] けけ瀬戸内モンスターズ: こんばんは！初めてコメントします。
[1645.837] (S)yuan_81: 安全弾がないってとこ？
[1653.701] anemoi_thyellai: 珍しいね、つべでも配信してるの
[1664.301] lucky7404: ルークが安全弾撃てる瞬間はないんですか？？
[1670.526] かたまろ: これやられるのすごい辛い
[1675.222] (S)godog02: 対空猶予があります
[1677.283] zoykun: 服部半蔵「飛び道具はいいぞ」
[1678.381] (S)田中脊髄剣田中: 意外と今ホットな安全波動きたな
[1686.980] (S)gmg_kn: 弱じゃないと安全波動できないの？
[1687.737] dorinkuhoru: へー
[1694.864] minimamukametaro: 斬空はこれを狩れます
[1698.034] (S)ta3z_: 話題の
[1702.655] lucky7404: 安全波動撃たれたらどうする...？
[1714.283] (S)美濃屋善兵衛: 垂直 垂直
[1721.118] (S)yuan_81: へー
[1725.379] (S)田中脊髄剣田中: 歩きパリィ
[1730.670] アル__: こんばんわ
[1733.340] ゆるっさん: ルークの弾はジャスパ取りやすいとかね
[1748.234] (S)鉄板: ジャスパして飛ぶしかねえ！
[1751.570] otosakanakano: インパクトはどうですか?
[1752.302] lucky7404: なるほどー
[1753.194] (S)yuan_81: ジャスパ後の行動何するんすか？
[1780.210] けけ瀬戸内モンスターズ: スト6から格ゲーを初めて10ヶ月かかり先日ようやくケンでマスターいけました…。道着で基礎を学べたと思うので次は溜めキャラ使ってみたいと思うのですが中々感覚が掴めず出ないことが多いです…。何か意識する事や出来ることはありますでしょうか？？
[1783.478] zenosc9: ケンはスカることもなく
[1788.445] dr_too_much: SA3で切れ返されました
[1793.848] mori_123: でもSA3があると～？
[1805.389] (S)田中脊髄剣田中: ただSA3ある時はインパクトをSA3で返されるの注意したい
[1814.061] (S)やぎう氏: ファジーインパクト
[1817.039] minimamukametaro: 飛び道具ジャスパ後はこっちがプラスだから近づける
[1817.279] lucky7404: 初心者にとってルークの弾は強すぎるw
[1841.597] raven__621: プラチナまでは気にしなくてもいいかな
[1841.893] mori_123: 相手がうまかったで
[1857.700] tkgnotamago: それはもう相手が初心者ちゃうわ
[1858.947] lucky7404: やってくる人は多分マスター行ってます
[1864.925] damuino_mark2: 僕はバックジャンプ大当ててる
[1865.475] zoykun: 「相手が上手いから」の精神は大事
[1866.144] dr_too_much: なるほど!
[1870.647] TOUMA_TAKA: おー垂直でもいいんか
[1877.850] (S)yuan_81: その辺抜けてること多いから基本的な対策ありがたい
[1881.921] pikochan_: こんばんは、スト6始めて6日目の初心者ですが、どれくらいできるようになったらランクに行って戦えるようになりますか？どぐらさんに憧れてエド練習中です！
[1883.353] minimamukametaro: ダイヤまで行ってからやっとモダンがやるイメージ
[1890.497] tkgnotamago: でたわね
[1891.475] (S)kinokogidora: ぶん！ぶん！
[1900.502] tomato_sinpu: 2中P未だに強くないですか...?
[1920.792] zenosc9: ダメージ下がって短くなってるから許した
[1930.415] hakkkkk___: 未だに振りやすくはある火力は滅茶苦茶低いけど
[1939.816] myokosuke: 昔は最強の技だったが、今は割とあるレベルの技になってくれて本当に助かる
[1941.694] (S)ルミナ_: 絵面が面白い
[1945.205] moowwzz: うーんｗ
[1947.430] (S)godog02: つよ
[1948.789] TOUMA_TAKA: ストリートジャンケンはじまった
[1948.854] (S)田中脊髄剣田中: しゃが中Pのルーク強すぎなんだけどまじで
[1950.780] tomato_sinpu: リュウ→餅←ルーク
[1952.359] lucky7404: もしかして今は豪鬼のしゃが中の方が強い？
[1953.381] (S)やぎう氏: 大Pとか？
[1970.434] (S)ルミナ_: マリーザだったらグラディウスでいい？
[1978.064] neon_sign__: 元主人公と主人公とは思えない絵面
[1984.754] こすもどりっぷ: 男は黙って大ゴス
[1986.528] zenosc9: 中級者なんだからキャラ対しましょうねえ
[1989.060] hakkkkk___: 豪鬼のしゃが中は有利フレームないし流石にルークの方が強そう
[1995.097] minimamukametaro: マリーザなら立大kちゃう？
[2000.970] aki_tr21: 中級者ってどのランク？
[2003.378] (S)yuan_81: ケンやったら立大K使いやすい
[2008.709] (S)gmg_kn: 相性いい技見つかったら必殺技しこむの？
[2019.403] (S)やぎう氏: プラチナダイヤ帯のイメージ
[2022.172] aki_tr21: ダイヤもキャラ帯いるのかー
[2023.828] まっとですけど: プラチナ〜ダイヤくらい
[2026.145] aki5568: 弱P投げ連携？
[2031.592] yaaun: 自分がよくやってたのは中パンさんぶらやりまくってたなあ
[2031.701] いぬきち1: マスターから上級者？
[2036.969] (S)kinokogidora: プラチナって中級者なのか、勇気出た
[2044.857] cpzaonori: プラチナスタックしてるルーク民ですけど当て投げはメッチャ通ります
[2051.636] (S)ルミナ_: やだやだプラチナだけどキャラ対策のしかたわからん
[2057.578] こすもどりっぷ: あんなキャラ追加すんなw
[2066.267] (S)やぎう氏: プラチナから急にレベル上がる感じする
[2066.751] tkgnotamago: ジヴァートマ.....
[2068.924] lucky7404: 男は黙って旋風脚
[2092.804] まっとですけど: プラチナって上位50%くらいのはずだから中級者といって差し支えないと思う
[2099.383] zenosc9: プラチナから連勝ボーナスなくなるんで…
[2101.613] zunoji: されたら癒着を疑う
[2104.243] iiwakehito_sion: 弾ってつよい
[2105.036] (S)ルミナ_: プラチナで50なの！？
[2111.717] tkgnotamago: 差し返し不可！弾強え！
[2122.414] こすもどりっぷ: そのラウンドで初めて見せた弾に飛びが噛み合って…夏…
[2124.412] らいとん13: リュウやってますやん！勉強させていただきやす！
[2129.292] hakkkkk___: 大パンと弾の連携とか？
[2132.825] ひろけん: 初心者なんでm豪鬼の波動波動昇竜が大変
[2136.780] iiwakehito_sion: プラチナは普通に生ラッシュしてきますね
[2137.932] yaaun: 自分がプラチナの時は生ラッシュしてなかった笑
[2146.239] (S)田中脊髄剣田中: サプレッサーもたまに来ます
[2147.950] lucky7404: ルークラッシュ早くてキツイ
[2154.710] ph110aki: ガン待ち、ケン、ルーク、ガイルが厳しすぎるのですが、、、
[2156.506] hakkkkk___: 距離次第よね
[2164.750] TOUMA_TAKA: プラチナからラッシュから攻めてくる人増えた
[2172.917] zenosc9: サブで潜ったら最近のプラチナダイヤ昔より遥かにレベル上がってる
[2180.272] (S)やぎう氏: インフィニティノーブル インフィニティノーブル
[2229.302] tkgnotamago: 読み合いするにしてもその距離って中段技届かなくないです？
[2258.272] yaaun: コパ中P大Pタゲコンめっちゃ使ってくる気がする
[2308.557] TOUMA_TAKA: 親の顔より見た
[2309.882] くりっくん: 中段ｳｯ頭が
[2331.657] iiwakehito_sion: 投げと打撃同時発生は絶対打撃が勝つんだっけ
[2338.332] hakkkkk___: まぁルークの中段は見やすいし...
[2339.678] lucky7404: 大龍尾から投げとかも割れるよね？
[2340.533] (S)美濃屋善兵衛: 同時だと打撃優先なんだっけか
[2343.245] zunoji: 割れるの知らんかった
[2346.220] えふみつ: ルーク丸裸にされてるやん...かなしい
[2348.432] (S)でぃるじゃ: 暴れ潰しの連携は強いんだ
[2361.622] TOUMA_TAKA: これ割れんのか
[2362.099] tomato_sinpu: おおー
[2375.960] ng350000: 逆にプラス1を取った場合の強い行動は何かありますか
[2377.271] こがや: プラチナくらいのルーク戦、後ろ受け身ちゃんととってるかも確認してもよいかもです、なんとなく
[2378.412] くりっくん: 初知り、タメになるます
[2392.802] yaaun: 中段ガード後相手がコパだったらくらうよね？
[2404.854] tomato_sinpu: モダンリュウを使っているのですが2弱P無いので2弱Kでも良いですか...？
[2410.166] tkgnotamago: つまり読み合いってコト
[2418.663] Bloom_Haduki: コマ投げは同時だと投げより弱いと聞いた 試してない
[2424.819] zenosc9: 4Fの技が最速
[2427.323] lucky7404: 大龍尾とかも全く一緒の読み合い？
[2429.641] (S)やぎう氏: リュウの小足は5Fじゃなかったか？
[2453.942] まっとですけど: モダンリュウだと立ち弱Pになるんじゃない？
[2456.573] ng350000: プラス何フレームから強いんですか？
[2464.874] yaaun: 大パンキャンセルラッシュ遅らせしゃが中Pとかは？
[2474.780] (S)しゅがーすたー: じゃあ遅らせグラは悪手なんですねぇ・・・
[2475.802] おまきん: ルーク‥
[2477.552] のってる: 大りゅうびはしゃがみガードすると硬直増えるからそこは注意
[2483.059] tomato_sinpu: 立ち弱なるほど！
[2488.562] (S)やぎう氏: プラスは基本多ければ多いほど強いぞ。
[2493.690] (S)コムコムぽん: コムコムぽん subscribed at Tier 1. They've subscribed for 8 months! プラ2最強～
[2495.767] こすもどりっぷ: これはムリ
[2495.803] (S)yuan_81: ルーク強い
[2500.882] hakkkkk___: まぁこれはしゃーない
[2510.665] lucky7404: 大ゴスのプラ3の意図は何？w
[2512.265] iiwakehito_sion: これはルークが強いだけ
[2512.490] tkgnotamago: さす主人公
[2516.238] gg_anji: 小技で割込みした後にコンボ行くの難しいのですが、暴れたらヒット確信で入れ込んでもよいのでしょうか
[2520.850] ゆるっさん: シミーされるとしてもバクステくらいになるのかな
[2523.450] (S)コムコムぽん: よし、バクステ！
[2525.079] acis3983: 主人公補正
[2526.159] エヌジイ: 初中級者ってそもそも４Ｆ技の意味わからないんじゃない？
[2530.656] yukimax5819: 弾ジャスパラッシュかねえ
[2534.272] frost_0275: こーれ動画になったらありがたすぎる
[2548.083] モドキ: こんどぐ〜
[2548.864] 激動のマタドール: 中パン中パンが3発目連ガやから押し得とか？
[2550.477] 吉田じんぎ: 旋風脚歯？
[2551.697] アル__: リュウさん…
[2554.577] hakkkkk___: おそくない？
[2556.580] こすもどりっぷ: ラッシュ格差がここにまで…
[2559.872] (S)やぎう氏: リュウのラッシュはたかし
[2560.834] tomato_sinpu: リュウ足おそない
[2563.103] tsubuchoco: レジェ上位（リュウを除く）
[2563.519] kometenmasako: おっそｗおっせぇｗ
[2566.679] tkgnotamago: たかし......
[2568.232] hakkkkk___: ｗｗｗ
[2569.835] (S)shi_a__: www
[2569.847] くりっくん: リュウさん...
[2573.086] gokoussgss: たかし・・・
[2573.577] acis3983: た、かし
[2576.572] (S)美濃屋善兵衛: リュウ・・4
