[29.783] yatomn55: うす
[264.181] トムケイシー: ほんまにお得かどうか確認用やね
[267.212] amiya_1223: Ankerって出た当時は中華とか言われてたけど今信頼度すごいよな
[275.844] (S)sas4m_: 中国製っていうか中国のよくわからんブランドね
[276.556] ikarosu_3: セール直前に値上げしてセールで◯％OFFに見せたりとか
[280.667] Classyjp: https://amzn.asia/d/293y6mWこのUSBハブいいよ
[282.196] iamive6: Ankerいいよね
[283.403] hoooysghj: Leica Q3を買いましょう。
[286.416] svvy124: セール前に値上げしといてセール時めっちゃ安く見せる
[288.541] pudding229: Keepaっていう拡張機能入れたら過去の値段も見れる
[292.410] Azure4le: 逆にぼどが使ってるおすすめデバイス教えてほしい
[293.303] qadoro: Amazon多いよそれ
[294.014] a9oro: あるよ
[294.229] ikarosu_3: アンカーは大丈夫だと思うけど
[294.953] anai000: 結構ありますよ
[303.458] (S)mao_o9: 楽天であったよね
[303.589] a9oro: 拡張機能あるよ
[307.459] svvy124: 正規店でもあるよ
[312.299] 阿蘇黄土: ちょっと前の価格が分かる拡張あるよね
[318.621] (S)sas4m_: 4口くらいのやつ？
[320.866] a9oro: それわかる拡張機能あるよ
[321.191] (S)96san_788: 磁石便利
[323.569] ikarosu_3: マグネット的な
[326.268] qadoro: 正規なら大丈夫てこともない
[329.194] トムケイシー: でも最近はクーポンで対策してくる店舗ある
[342.748] (S)sas4m_: 金あるしええやろ
[346.063] qadoro: w
[347.802] (S)96san_788: 金あンだワ
[349.878] アズリッド: USBはやっぱり電源セルフがほしいよね
[354.100] ナミ木: USBハブはコンセントで電源取るヤツがいいっすよ
[357.508] とうぶんかた: 全部も使わんやろｗ
[358.996] fear3324: つよ
[362.630] qadoro: 多すぎるw
[363.192] (S)sas4m_: 7個とかすぐ足りなくなる
[363.579] RinLinP: Ankerのマグネット式 ケーブルホルダーいいぞ
[370.913] Classyjp: rosonwayのやういいよ！
[371.598] (S)sas4m_: 使い方にもよるけど
[371.945] amiya_1223: これは流石に良い気分
[374.986] みん0804: オススメのモバイルバッテリーあったら教えてください！
[384.820] (S)sas4m_: ある
[389.164] トムケイシー: https://amzn.asia/d/bYEKWZ7 サンワのこれつかっとる
[389.388] iamive6: モバイルバッテリーとかAnkerおすすめ
[392.978] RinLinP: 充電するかどうか
[397.843] ikarosu_3: かわいい
[400.214] shoki_40: かわいい
[400.534] (S)sas4m_: 外部電力供給できるやつとか、通信速度が早いやつとか
[401.232] (S)sinkakei: かわいい
[405.034] arcadiax00: たこまるさんの
[407.281] kbsksk: 安いの買ったら発火しそうなくらい熱くなった
[409.732] tomtommy624: 5g 10g
[417.889] ikarosu_3: バスパワーかACかかな？
[419.037] (S)96san_788: サンワは割と信頼
[419.269] (S)mao_o9: 転送速度とかね
[424.054] arcadiax00: たこまるさんのガジェット系の動画オススメなのいっぱいありますよ！
[433.222] こうす: たくさんつけるなら電源付きのやつじゃないとパソコンで認識しないと
[441.999] kane8n_sub: アンカー、三和は信頼してる
[445.732] iamive6: たこまるさんの動画いいよね
[445.938] Aug_Leaf: KonCha
[448.107] みん0804: @iamive6 ありがとです！やっぱりAnkerですか
[449.582] pudding229: そういえばボドカってぶいすぽキーボード買った？
[456.442] godosaruchan: godosaruchan subscribed at Tier 1. They've subscribed for 17 months! 
[465.901] a9oro: 商品の画像とかで雷とか付けて編集するのは規約違反なので、やってる商品は信用しないほうが良い
[466.337] ikarosu_3: クランプいいね
[468.952] kane8n_sub: サンワきた
[469.109] キューブってる: たこまるかスーパー猫パンチだね
[471.699] トムケイシー: それいいよ
[472.847] ta1yo_tv: type c欲しくないすか
[473.015] (S)sas4m_: そのタイプだと大体4口まで
[477.554] ssssssssszx: あ
[478.053] とうぶんかた: www
[478.687] (S)sas4m_: たいよーさんだ
[478.753] (S)96san_788: サンワなんよ 
[491.981] ikarosu_3: TyoeCいいね
[500.258] キューブってる: たいよーくんも見てます
[536.733] mamimumemome: TypeCほC
[542.413] hiziri_v: DIYしようぜ
[543.763] yuzupondering: 横それで並べよう
[557.876] トムケイシー: 充電したいのか？何に使いたいんだ？
[558.521] (S)sas4m_: 磁石とかマジックテープで留めるのがまぁ楽
[565.427] (S)はむはむ_: 両面テープで・・・
[571.365] naka248: 調べたらさくらばっかだよ
[571.939] (S)96san_788: マグネット式のほうがいいんじゃね？
[573.540] arlingtonnnnn: 据置だとドックとかになるのかな
[582.902] ikarosu_3: オリコかわいいなあ
[587.235] (S)96san_788: ｗｗｗ
[588.344] ogico20113: ｗ
[592.319] syuu_lost: すきーら
[592.387] とうぶんかた: 桜以外から買わないでくれ
[592.617] (S)kobakobaaaaaa: ｗｗｗｗｗ
[592.804] deejaypj123: ｗｗｗｗ
[593.432] きゅうり31: wwww
[593.900] ssssssssszx: いけ
[594.120] RinLinP: ｗ
[597.075] (S)sas4m_: デバイス自体がUSBで給電するタイプだと、電力足りなくなることあるよ
[597.283] ry10968: SwiftRage
[600.964] アズリッド: 物がいいかどうかでみてほしい
[601.261] ikarosu_3: 公式から買うな
[603.028] (S)sinkakei: すねちゃった
[603.759] (S)96san_788: さくらに貢ぐ配信
[603.962] hiziri_v: 一番綺麗な桜を選べ
[605.007] ogico20113: 逆に桜
[605.357] とうぶんかた: wwwww
[605.464] supermen_5022: いいね
[613.044] tanaksan: すきーらに貢ごう
[615.778] こうす: クランプ式のやつ、リドルでグッズ化したら買いたい
[616.942] RinLinP: サクラチェッカースコア低いやつからいこう
[627.615] tomtommy624: サクラでも使えれば問題ないねん
[628.184] ikarosu_3: ディスプレイ下につくんアツいな
[634.010] アズリッド: べんりそうだね
[634.958] ディスタンス津田: ボドカのよく使う端子なんなの？
[637.711] arcadiax00: 遅延とかないんですかね？
[642.211] (S)96san_788: いいね
[643.811] きつね__: こんばんは
[650.855] 友達の弟の友達が優しい: 3Mで貼り付けるのはなしか
[654.712] ogico20113: 買う前にちゃんと桜かちゃんといるか確認しろよ
[666.410] saka_2020: 設置場所とケーブルの長さが気になります
[673.499] けいてぃ_: セルフパワーのハブが安定だと思うけどどう？
[674.900] (S)sinkakei: ちゃんとサクラか確認
[676.784] ikarosu_3: あとはつけたい場所次第やな
[680.007] pudding229: サクラいるか確認するからURLくれ
[685.860] (S)96san_788: あ
[686.062] ogico20113: よし
[686.313] あきぴろりん: お買い上げぇ
[686.661] ikarosu_3: こーれ佐倉
[688.182] yuzupondering: ｗｗ
[688.315] (S)sas4m_: いいね
[689.783] RinLinP: ｗｗｗｗ
[690.028] きゅうり31: ww
[693.437] アズリッド: これは満開
[694.154] (S)sas4m_: サクラいくべ
[698.059] きつね__: ｗｗｗ
[698.958] こうす: セルフパワーが安定して良いよ
[711.017] こうす: バスパワーは認識しなくなる
[717.845] RinLinP: これは桜だな
[721.050] (S)sinkakei: 読み方わからんメーカーきちゃ
[721.983] 友達の弟の友達が優しい: ゲストモードだからさくらチャッカーないのか
[723.997] syuu_lost: 2.0ポートいらね
[725.384] Aug_Leaf: おいオリコ、あのたこまるがyoutubeで紹介してたから大丈夫や！w  
[725.919] あきぴろりん: 強そう
[728.389] ikarosu_3: SDは・・
[729.779] deejaypj123: 邪魔になりそう
[740.656] きつね__: 9on1
[742.792] けいてぃ_: もうドッキングステーションまで行こう
[746.116] トムケイシー: 電力不足なりそう
[748.127] Classyjp: ROSONWAY USB ハブ10Gbps 11ポートこれいっぱいさせていいぞ
[758.217] ikarosu_3: それ両面でつけるべ
[758.972] (S)はむはむ_: よさげ
[764.969] 友達の弟の友達が優しい: 電源はパソコンから取るん？
[766.771] ogico20113: もっと高いの買わないか
[768.234] アズリッド: おしゃれだな
[771.819] blanc0_0p: usbポート全然使わんのやけどそんなに使うんや
[775.528] わもん: 評価見たほうがいい
[776.757] (S)sinkakei: 電源大丈夫なのかな
[793.150] トムケイシー: いっぱいつけるならセルフパワーにしろ
[795.943] こうす: 電源付きのやつが良いよ
[796.280] りょーちゃん4253: PDあるの良いね
[799.011] Juicewisdom: axeumBlush
[807.329] あぷあぷえる: www
[808.232] (S)sinkakei: あ
[808.419] きつね__: ｗｗｗ
[808.564] (S)96san_788: あ
[808.840] ikarosu_3: ん？
[809.677] syuu_lost: あ
[809.906] yuzupondering: ｗｗｗ
[809.924] わもん: きたｗｗ
[810.343] shirona0303: wwww
[812.694] ogico20113: さすが満開
[813.269] deejaypj123: ｗ
[814.179] mci_foden: 見た目は良い！
[814.411] ソナチネ_: wwww
[815.735] naka248: エレコムの奴の方がいいんじゃない？
[816.771] pudding229: ｗ
[816.916] けいてぃ_: Anker PowerExpand 13-in-1 これよ
[819.757] とうぶんかた: すきーら確定演出？
[822.036] ikarosu_3: こいつが買ったの５GBｐｓだから・。・・
[822.968] きつね__: あやしくはある
[824.785] arlingtonnnnn: これじゃん
[825.051] R1haku_: 日本語怪しくないか確かめよう
[828.136] tomtommy624: vodkav2Angryvdk
[828.775] アズリッド: バスパワーでつなげてだめなのやばそうだな
[829.395] ikarosu_3: ｗ
[832.008] 友達の弟の友達が優しい: アマゾンのレビュー参考にしたことある？
[832.199] syuu_lost: NotLikeThis
[833.120] あぷあぷえる: 危な
[841.192] (S)sas4m_: セルフパワーね
[845.530] りょーちゃん4253: っぱUGREENよ
[851.779] けいてぃ_: 天才
[855.678] きつね__: いいね
[860.920] (S)めら_39: 天才
[860.940] (S)sas4m_: UGREENのセルフパワーよいですよ
[873.193] こうす: 良い！
[873.284] アズリッド: おしゃれ
[875.241] 友達の弟の友達が優しい: その部屋にコンセント何個あるの？
[876.108] あぷあぷえる: おしゃれ
[877.712] (S)venven8: かっちょいいいのがいい
[877.912] (S)96san_788: https://www.amazon.co.jp/%E3%82%B5%E3%83%B3%E3%83%AF%E3%83%80%E3%82%A4%E3%83%AC%E3%82%AF%E3%83%88-%E3%82%BB%E3%83%AB%E3%83%95%E3%83%91%E3%83%AF%E3%83%BC-%E5%80%8B%E5%88%A5%E3%82%B9%E3%82%A4%E3%83%83%E3%83%81%E4%BB%98-AC%E3%82%A2%E3%83%80%E3%83%97%E3%82%BF%E4%BB%98-400-HUBA23GM/dp/B0CKDN4Q3N/ref=sr_1_2?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&sr=8-2
[885.797] deejaypj123: スパムかよ
[886.678] とうぶんかた: なっが
[891.423] ディスタンス津田: くそながURL
[892.618] Kollc1233: ドッキングステーションがいいかも
[892.813] わもん: なんでUSBハブ求めてるの？
[898.851] (S)sas4m_: 短縮うｒｌしてね 
[899.921] きつね__: ＵＲＬの日本語削ってくれ
[900.378] あぷあぷえる: スパムかと思うぐらい長いリンクやな
[905.338] (S)ほっかほっか亭: vodkav2Gotouchi2
[915.007] momoringon: ankerのがええで
[920.730] (S)若いキツネと淫らなタヌキ: 若いキツネと淫らなタヌキ subscribed at Tier 1. They've subscribed for 6 months! 
[921.658] mattun_o_o: 瀬戸弘治
[932.629] (S)はむはむ_: それはいいものですね
[933.656] けいてぃ_: URL張っても大丈夫？Ankerのがおすすめ
[936.259] きつね__: サンワいいね
[945.004] りょーちゃん4253: こういうのはAnkerとUGREENの感じが強い
[945.253] バヤシコフ: url怖いから商品名頼む
[948.100] アズリッド: 案外斜めざしっておしゃれだけど紐だるそうだな
[949.194] きつね__: やばいもの買ってるん
[949.780] iris_fps_1224: https://amzn.asia/d/5foJL8s
[951.374] 友達の弟の友達が優しい: 写ったらやばいか
[953.026] aoba36: https://www.amazon.co.jp/gp/product/B081H153FY/ref=ppx_yo_dt_b_asin_title_o06_s01?ie=UTF8&psc=1 ハブならこれ使ってるけど特に不満はない
[953.272] あぷあぷえる: サンワおすすめ
[962.088] りょーちゃん4253: みえてへんよ
[962.251] (S)sas4m_: いいと思います
[965.065] (S)sas4m_: 映ってないけど
[965.129] (S)96san_788: サンワまじ神
[967.097] 友達の弟の友達が優しい: かつくら
[969.663] きつね__: 画面くっろ
[971.219] WtYnT: ugreen
[986.033] (S)sas4m_: それ最高だよ
[986.886] fara0308: mmまた1位とりましたよ
[989.955] ikarosu_3: いいね
[998.996] りょーちゃん4253: ブランドから見に行かないか
[1000.179] yuzupondering: デザイン拘るとないねぇ
[1002.353] きつね__: たこ足コンセントかよ
[1006.870] (S)96san_788: ORICOにたどり着く
[1010.542] (S)sas4m_: UGREENのやつまぁまぁオシャレですよ、業務感はなくなる
[1011.535] (S)はむはむ_: サンワダイレクトは性能は悪くないけどデザインが・・・
[1018.141] ikarosu_3: オリコのセルフパワーかな？
[1023.026] (S)sas4m_: 大は小を兼ねますよ
[1023.659] 友達の弟の友達が優しい: とりまアンカー買っとけば失敗はしない
[1026.546] RinLinP: そんなに繋ぐ？
[1026.745] tarako188: デバイス系YouTuberに聞いた方が早くね笑
[1028.178] 桜鏡月: そんなにいるの？
[1029.788] ogico20113: 大は小を兼ねるぞ
[1030.201] きつね__: ヨクバリス
[1042.557] りょーちゃん4253: 用途は何ですか？
[1051.563] 友達の弟の友達が優しい: 赤と青の違いは？
[1056.402] ikarosu_3: これセルフ両対応ってなってるな
[1066.920] トムケイシー: 何に使うか次第
[1078.729] アズリッド: 最近のマウスレシーバーはバスパワーだと不安定になる
[1079.410] (S)ぎあちゃん: ロゴでかいのやだな〜
[1082.085] 7tk4: Cはいらないの
[1095.012] コサンジです: 34ド！？
[1096.706] deejaypj123: ｗ
[1097.376] yashix222: fnatic focus3 maxめっちゃよかったです
[1100.781] ikarosu_3: 丸いとこの左と右どっちかかに指す感じだ
[1102.589] reu2501: マック(笑)
[1105.860] クロマメアリ: ほどさん
[1111.816] 友達の弟の友達が優しい: 用途教えてー
[1118.561] arlingtonnnnn: スマイルセールだ
[1120.264] iamive6: いいと思います
[1122.738] (S)96san_788: いいね
[1125.276] きつね__: 買ってから考えるか
[1127.947] わもん: なんの用途なんだろね
[1130.126] (S)はむはむ_: 良いと思います
[1130.871] アズリッド: 見た目がいい
[1131.920] ~MISSING_COMMENTER_INFO~: アプリのツイッチアプデしたらクソほど使いにくくなったわ
[1132.699] トムケイシー: レビューしてね
[1135.231] アズリッド: いいじゃん
[1138.123] (S)sas4m_: ｗ
[1138.501] (S)sinkakei: ｗｗ
[1140.504] とうぶんかた: wwwww
[1140.711] progamer_kk: BloodTrail
[1141.035] heart_less_jp: ｗｗｗ
[1141.397] あぷあぷえる: www
[1142.170] たおああ: サクラか？
[1143.214] きゅうり31: wwwwwwww
[1143.576] reu2501: ☆一つのレビューみたほうがいい
[1143.596] heart_less_jp: 他社
[1143.748] あぷあぷえる: BloodTrail
[1145.683] pudding229: でも見た目の話しかないぞ
[1145.797] kachitoma: でも最新だぞ
[1145.846] (S)96san_788: アンチ
[1149.791] クロマメアリ: ww
[1151.678] smidgezzz: 逆さくら
[1153.383] トムケイシー: www
[1156.938] tomtommy624: サクラ大乱闘
[1158.315] iamive6: 星1とかも見たほうがいい
[1159.411] RinLinP: 星１が13%は多いな
[1159.507] アズリッド: じゃぁそいつのオススメはなにってはなしｗ
[1159.681] きつね__: ｗｗｗ
[1164.155] (S)96san_788: 2が多い 
[1166.122] (S)はむはむ_: 正直、アンチばっかりだよ
[1166.403] ディスタンス津田: 問題ないって言ってるほうがサクラかもしれない
[1176.797] reu2501: ☆１１３％はあやしい
[1179.092] ふくむ: 今アマゾンサクラだらけだよ
[1179.781] (S)96san_788: あ
[1180.463] そこら辺のヒグマ: サクラチェッカー見てから買うべ
[1180.977] あぷあぷえる: あ
[1182.727] ikarosu_3: こういうのって違う種類のレビューも載ってるんだよな
[1182.910] きつね__: 充電しないならよさそう
[1187.249] aoba36: そもそも充電とデータ転送を一緒の用途で考えることあるか？
[1199.995] yuzupondering: 結局なに買っても不具合ある場合あるし
[1201.532] (S)なちょがすきー: nyossu
[1203.038] sdxse: 配達のレビュー書くやつもいるし
[1211.286] ロイヤルロッホ那賀: 不良品を星1にするやつも邪魔
[1213.197] (S)ぎあちゃん: オシャレとし高評価ないw
[1217.142] りょーちゃん4253: 物に四l理想な感じやね
[1218.338] トムケイシー: 配達レビューほんま無能
[1218.344] _のあまる: 有名メーカーの買えば大丈夫じゃないか
[1225.476] きつね__: せやな
[1225.755] (S)96san_788: うん
[1230.025] aoba36: 逆に星5全部のほうがあやしいよ
[1231.574] yuzupondering: いちかばちかで買うんや
[1233.099] (S)96san_788: あ
[1233.250] とうぶんかた: 手当たり次第ポチっていこう
[1235.413] ikarosu_3: ｗｗ
[1236.350] reu2501: ひでええ
[1237.468] アズリッド: ｗｗｗ
[1237.801] きつね__: ｗｗｗ
[1238.840] アズリッド: はずれ
[1239.140] らふすけ: ww
[1239.734] tomtommy624: えぐ
[1240.306] りょーちゃん4253: 好きなブランドから選ぶといいよ
[1241.676] ikarosu_3: 不良個体
[1243.784] iamive6: 星4.2以上じゃないと買わない
[1245.230] アズリッド: あぁ
[1247.060] ディスタンス津田: いちゃもんやんけw
[1251.947] reu2501: 草
[1252.008] syuu_lost: いちゃもんもあります
[1252.594] (S)sinkakei: ！？
[1253.105] (S)96san_788: えぐ
[1253.227] アズリッド: ｗｗｗｗ
[1253.761] きつね__: え
[1253.957] ikarosu_3: ｗ
[1255.175] heart_less_jp: ！？
[1256.401] あぷあぷえる: え…？
[1257.073] ロイヤルロッホ那賀: ！？
[1257.563] deejaypj123: ｗｗｗｗ
[1257.788] shirona0303: なんだそれw
[1259.273] iamive6: やばw
[1260.304] reu2501: やばすぎだろこれ
[1261.038] R1haku_: レビューよりｃ企業チェックしてる
[1261.146] コサンジです: 星一おおｗｗ
[1269.472] (S)sinkakei: 段々不安になってくる
[1271.073] tomtommy624: 画像つきあると不安になってくるね
[1272.379] りょーちゃん4253: 送ってくるのがちゃんとAmazonからなのが大事
[1273.013] iris_fps_1224: https://amzn.asia/d/5foJL8s
[1273.229] きつね__: 出荷元みないか？
[1276.570] ikarosu_3: まあそう
[1277.272] psyduck_cu: oricoって糞じゃなかったっけ？
[1277.549] valkbebebe: 釈迦が伊織もえとVALO観戦ムキー！！！！許せなぁい！！！  
[1287.633] math_english: Amazonはもう桜レビューと中華製品多すぎるから
[1289.176] ディスタンス津田: 勝手だめなら返金してもらえばいいねん
[1290.135] 山月記の虎: 海外は日本人より高評価しがちしてくれる
[1290.533] トムケイシー: ボドがレビューしたらええねん
[1301.591] (S)sas4m_: ORICOだと信販会社になります
[1306.647] reu2501: 大体シランメーカーはは中国企業だから怪しい
[1307.932] 友達の弟の友達が優しい: サクラチャッカーってやつありますよ！
[1308.635] らふすけ: めんどいよね
[1310.017] あとらすです: だるい
[1311.585] dippzy____: わかる
[1320.094] dippzy____: サクラチェッカーあんま信用難なくね
[1324.764] ikarosu_3: やっぱクランプ
[1332.659] 桜鏡月: ガジェットの外れ引いたときまじ萎える
[1336.825] きつね__: 時代はクランプ
[1346.535] ikarosu_3: でかい
[1358.152] reu2501: これでいいやん
[1363.198] きつね__: いいね
[1366.199] ezoharunobu: モニター裏が曲面だと外れるけど大丈夫？
[1366.256] Aug_Leaf: それでいこう
[1366.779] iamive6: いいですね！
[1367.548] トムケイシー: これ良いよ
[1368.851] reu2501: 安定の日本企業
[1370.979] (S)96san_788: 決定！
[1378.582] (S)はむはむ_: 良き
[1382.601] progamer_kk: サンワなんよ 
[1387.230] 友達の弟の友達が優しい: 自分しか使わないならダサいとか気にしないなー
[1389.024] reu2501: 天才か？
[1392.209] ikarosu_3: 場所微調整できるし
[1393.223] とうぶんかた: タコ足でたくさんつけろ
[1396.423] (S)はむはむ_: て、てんさいか？？
[1399.024] きつね__: でっか
[1399.846] 桜鏡月: いいね
[1415.403] らふすけ: しかも2個変えば、
[1421.363] らふすけ: 左右につけれる
[1423.122] アズリッド: よさそうだったらかお
[1424.068] dippzy____: モニターライト
[1425.298] きつね__: 時計
[1428.182] 7tk4: バッテリー
[1430.174] iamive6: モバイルバッテリーって
[1430.737] (S)sinkakei: 届いて使ったらレビューしてね
[1437.399] WtYnT: モバイルバッテリー
[1438.356] 友達の弟の友達が優しい: オーディオ系じゃない？
[1438.364] tomtommy624: ノートpc
[1441.103] kachitoma: オーディオインターフェース
[1441.350] トムケイシー: レビュー動画待ってるで
[1441.394] きつね__: しげき
[1441.854] りょーちゃん4253: スイッチボット
[1442.769] (S)96san_788: 電源タップ
[1443.091] (M)tennkoh: 借りパクしたから
[1443.941] progamer_kk: 駄菓子
[1446.309] ikarosu_3: ｗ
[1446.354] えもかけ: 野菜
[1448.786] sdxse: バッテリーならAnkerでいいや感
[1450.127] sugarbaronjp: モニターライトはbenq使ってるぞ
[1452.107] とうぶんかた: www
[1452.121] reu2501: HPのPC今エグイセールしてる
[1464.952] a_b_c_d_e_fu: 画面の唾を拭き用アルコールシート
[1467.108] (S)96san_788: PR
[1467.462] 友達の弟の友達が優しい: ぶいすぽキーボじゃない？
[1469.225] iamive6: あっw
[1469.982] きつね__: ｗｗｗ
[1472.614] えもかけ: 野菜ジュースだろ
[1473.736] ikarosu_3: ｗｗｗ
[1473.864] deejaypj123: ｗ
[1474.439] dippzy____: 対抗CO
[1476.650] WtYnT: !pc
[1476.739] (M)Nightbot: https://www.pc-koubou.jp/pc/game_riddle.php
[1476.791] とうぶんかた: スポンサー様のね
[1477.666] (S)sas4m_: キャプチャーボードでも買っとくべ、いらんかもだけど
[1479.805] reu2501: やっぱインフィニティーか
[1480.688] progamer_kk: hpってオーメンでしょ？
[1480.717] ikarosu_3: 敵
[1482.513] わもん: ゲーム配信者にPC系は進めれん
[1486.977] りょーちゃん4253: スマートホームデバイスは？
[1492.572] (S)96san_788: おー
[1494.040] kachitoma: お
[1500.272] sugarbaronjp: おすすめの１万～２万くらいのマイク教えてくれ
[1503.778] (S)はむはむ_: やっぱレベル インフィニティよね
[1506.451] kachitoma: フェイスカム
[1528.943] 友達の弟の友達が優しい: なにそれ
[1536.212] とうぶんかた: へー
[1537.667] (S)96san_788: さ、くら
[1539.988] progamer_kk: www
[1541.291] dippzy____: 変換器的な？
[1541.375] きつね__: ｗｗｗ
[1541.453] MrET507: それパチだよ
[1541.750] ikarosu_3: mwin
[1542.359] reu2501: 配信者用か
[1542.363] Aug_Leaf: ｗ
[1543.539] (S)sas4m_: パ、クリ
[1543.569] sdxse: 検索入ってないし
[1545.314] らふすけ: ww
[1545.790] わもん: 中華^^
[1546.978] きつね__: パチモン
[1547.228] reu2501: 草
[1547.248] とうぶんかた: Mwinっす
[1547.841] iamive6: 中華か？
[1549.965] ikarosu_3: 指定してないから・・・
[1550.665] deejaypj123: ｗｗｗｗｗｗ
[1554.161] syuu_lost: ちゃい
[1555.038] dippzy____: たっっっっっｋ
[1555.786] MrET507: エルガトの4K：https://amzn.to/4e18EZf
[1556.306] きつね__: たｋｋｋｋ
[1556.521] yuzupondering: たっかｗ
[1557.529] アズリッド: ２個いらんやろｗ
[1559.484] ssssssssszx: のれや
[1568.535] tomtommy624: elgatoのショップページいったほうがいいのでは？
[1569.012] とうぶんかた: たっっけぇ
[1575.718] _のあまる: それやね
[1579.710] dippzy____: それでもするな
[1582.514] sdxse: 高いなあ
[1595.177] 友達の弟の友達が優しい: カメラ止まるのってそれが原因だったりする？
[1596.388] MrET507: ていうかこんな高いならふつうのキャプチャボードでよくないか
[1603.876] (S)ぎあちゃん: ブラックマジックの製品に手は出さないの？
[1618.768] ikarosu_3: そういう日本語安心するな
[1625.197] きつね__: 強力すぎだろ
[1626.682] ezoharunobu: マザボに直刺しするやつは？
[1636.141] (S)raaa882: raaa882 subscribed with Prime. 
[1637.506] psyduck_cu: 余計な機能ついてないもんね
[1651.835] (S)96san_788: シンプルでいいね
[1653.415] (S)sas4m_: PS5使わんならいらんやつ
[1653.510] (S)はむはむ_: いいね
[1654.286] とうぶんかた: 解き放たれたｗ
[1655.496] わもん: すっご
[1656.089] きつね__: 解き放たれてる
[1666.371] ikarosu_3: 次世代コネクション
[1668.232] アズリッド: リフレッシュレートとパススルーがいいだけだからカメラ用ではない
[1669.578] sdxse: ｗ
[1670.337] きつね__: ｗｗｗ
[1672.242] yuzupondering: いらんのかいｗ
[1677.097] クロマメアリ: www
[1678.343] 友達の弟の友達が優しい: アマゾンのベストセラーって在庫一番あるやつらしいから気をつけてねー
[1680.111] (S)sas4m_: カメラにつなぐならCamlinkでいいでしょ
