[18.879] kom110jp: きた
[4363.817] (S)mimimiumiu1: 奇遇ですね、激辛麻婆食べて今トイレで配信みてます
[4374.799] gushsy: お腹痛いです、助けてください
[4433.030] timiyonion: チキンミートね
[4485.654] (S)mimimiumiu1: 不死身ミート
[4543.032] timiyonion: レイダー虐待じゃん
[4597.614] (S)mimimiumiu1: 実話ナックルズ
[4624.986] timiyonion: クエストの情報がもっとくわしく見れるはず
[4734.061] うし君です: 泥棒！
[4778.727] (S)mimimiumiu1: ものすごくハロウィンしてる
[4948.051] うしとら_: トリックオアトリート！
[4949.971] timiyonion: そういうのを想像するとおもしろいね
[4990.240] akazukin_san: 地下？
[5054.957] (S)mimimiumiu1: 1-4
[5064.334] (S)mimimiumiu1: 2-3
[5090.546] (S)mimimiumiu1: 3-4
[5115.357] (S)mimimiumiu1: 4-6
[5348.634] (S)mimimiumiu1: おー！ww
[5349.626] 1111_kou: www
[5400.023] timiyonion: 思想強め
[5440.496] (S)mimimiumiu1: 豆腐やん
[5464.762] akazukin_san: 反資本主義のヘルメットしてるからか？ｗ
[5535.856] oka_people_: 坊主にするってこと？
[5537.678] (S)mimimiumiu1: ドラマ化したしボルトスーツ
[5562.399] timiyonion: 光し者の仮装してー
[5662.637] akazukin_san: 映画泥棒？
[5701.500] domri_fool: スト６ですか(´▽｀)
[5719.952] doppelxxganger: MercyWing1
[5740.860] timiyonion: 天尖輪覚えないとな
[5767.958] nanasedaoo: こんばんみー
[5852.866] (S)mimimiumiu1: けっこう多いな
[5886.365] (S)mimimiumiu1: die!
[5892.803] うしとら_: そのマスクいけてる
[5999.809] oka_people_: まずい
[6010.370] timiyonion: レールロードのハゲ？
[6134.555] timiyonion: ラック上げてクリティカルざんまいは？
[6254.611] timiyonion: 味方に攻撃があたらないやつとか
[6336.498] joejpn: 良い姿勢こころがけたほうがいいですよ、一定超えると痛いの治らなくなります
[6337.676] (S)mimimiumiu1: その前兆があるときに荷物もつとぎっくる
[6392.692] timiyonion: 背筋つけるといい
[6424.711] IK4MARU: コルセットまじでいいよ歩きやすくなる
[6474.040] domri_fool: コルセットつけすぎると背筋落ちるかも
[6480.899] 1111_kou: 伝説ちっちゃ
[6562.269] (S)mimimiumiu1: 路上の伝説のレイダー★
[6640.770] timiyonion: 最近暑いわ
[6698.592] (S)mimimiumiu1: 壁に金庫あった気がする
[6808.682] timiyonion: ２００年後にもヨドバシカメラはあるか
[6818.943] groovelivegroovelive: なに、フォールアウト復活しとる
[6864.801] (S)mimimiumiu1: ヨドバシカメラメタバース新宿東口店
[6955.719] 海老バーガー: 率直に言って穴だけど
[6965.632] (S)mimimiumiu1: ハエが持ってた
[6967.819] timiyonion: 悪ない
[7020.630] timiyonion: そういうトンチキセリフがある
[7023.283] chiharu1988: ボーナスステージじゃん
[7157.113] うしとら_: サウンドもすばらしいfo4
[7203.645] yan1919191919: アベマでてました？
[7209.278] (S)mimimiumiu1: 慈悲ゼロ
[7224.662] timiyonion: パークのレベルを上げると命令できる
[7298.701] タロウ揚げモノ: 水もらっただけかよ
[7306.661] timiyonion: 天気的に焦ったほうがいい
[7321.570] oka_people_: カルマシステムが4にもあればなぁ
[7436.878] akichi21: 最初は嫌がってたけど今じゃパスワード好きに
[7439.719] timiyonion: ＩＮＴを上げると文字が少なくなるぞ
[7440.545] タロウ揚げモノ: ＾＾
[7447.479] うしとら_: ^-^
[7529.846] timiyonion: ＨＯＭＥＳ
[7576.147] 1111_kou: ここのレイダー達いろんなクエストでシバき回されてる気がする
[7606.072] timiyonion: そーいうパークあります
[7626.268] タロウ揚げモノ: 代わりにトイレ行っときます
[7693.379] dszchi: 持ちすぎw
[7715.329] timiyonion: アルファベットは下だべ
[7730.402] oka_people_: 一番上のじゃね
[7853.190] shawnu: え？
[7889.935] (S)mimimiumiu1: ハッカー
[7889.991] shawnu: ｗｗｗ
[7923.409] タロウ揚げモノ: wwwwwww
[7923.615] dorako27: 草
[7929.219] domri_fool: ハッキングされてるｗｗｗ
[7931.219] タロウ揚げモノ: ハッキング中
[7947.545] (S)mimimiumiu1: ミーヤ会の天才
[8045.085] タロウ揚げモノ: ドラマのFalloutどうなんだろ
[8069.814] 20210813: かわりに解いてたよ
[8071.347] タロウ揚げモノ: 天才ハッカーがいたから
[8072.932] daiyankei: ＠おして
[8074.945] うしとら_: あぅ
[8095.260] kidcapt12: こんにちは！委員会出てましたね
[8111.889] daiyankei: エンクレイヴのミッションやってるのか
[8122.632] kidcapt12: fallout4進んでますね
[8124.006] タロウ揚げモノ: くる〜〜
[8202.014] cvndgplan: 犬
[8241.383] soatakaaki: いい弾拾ったな
[8263.784] kidcapt12: 銃は何使ってますか？
[8350.574] kidcapt12: ヌカランチャー。強いけど重い
[8371.660] kidcapt12: パートナーは？
[8396.026] kidcapt12: でも売却したら高そう
[8403.365] (S)mimimiumiu1: たしかにヌカラン邪魔になる
[8418.875] kidcapt12: いっぬにヌカランチャー持たせたら？
[8583.134] kidcapt12: 俺もヌカランチャーは今、最初の居住地に置いてきたらからなあ
[8608.096] kidcapt12: 一旦、撤退して荷物入れて再調査してみては？
[8695.403] kidcapt12: ヌカランチャー、強いけど重いからなあ
[8709.624] daiyankei: ビッグボーイが一番強い
[8710.617] (S)mimimiumiu1: 部屋の気密性高いとポコポコ鳴る
[8726.693] kidcapt12: 今日やってました委員会どうでした？
[8759.906] kidcapt12: 意外にお酒は荷物になりやすい
[8836.137] kidcapt12: ビックボーイって。ピップボーイでは？
[8887.880] kidcapt12: 犬の荷物も忘れずに回収してワークショップへ
[8899.476] daiyankei: ビッグボーイはダイヤモンドシティに撃ってる威力２倍のヌカランチャーだよ
[8956.537] 愛染愛染: この世界の食い物腐らないのか
[9010.539] kidcapt12: 食い物は腐らないように案外、ワークショップで冷凍保存されてそう
[9144.563] 濃厚魚介つけ麺: DLC買いましたか
[9149.668] kidcapt12: 嵐だとRADが
[9195.578] (S)mimimiumiu1: 一匹ししゃもみたいなやついたな
[9222.579] 愛染愛染: 美味そう
[9238.244] kidcapt12: 子持ちししゃも好き？
[9259.536] daiyankei: 現地人によるとモールラットの肉は不味いらしい
[9269.956] g4sm4n2: うまそう？おい！わらえる
[9270.079] gatmwj: なんか最近辛いんや。みんな元気？
[9314.071] chiharu1988: おぉ！
[9317.694] kidcapt12: 新しいアーマーだ
[9318.044] daiyankei: エンクレイヴや
[9327.012] oka_people_: ED-Eもいます
[9372.973] chiharu1988: アプデ前しかやってないから初めて見た
[9422.503] daiyankei: これ実は停止させたほうがアイテムもらえるんだよね・・・
[9437.574] omotechan: これどうなったらクリアなん
[9453.724] kidcapt12: 10ミリ弾薬は？
[9469.239] oka_people_: 残党ではなく名残
[9601.314] daiyankei: 雑魚が沸かないからX02のアーマー全然集まらん
[9665.148] (S)mimimiumiu1: おつんご
[9676.952] oka_people_: 乙
[9677.572] kidcapt12: お疲れ様でした
