[23.824] わらじは多い方がいい: 待ってた！！！！！！
[35.881] lemondaifuku: gutituHi
[36.075] (S)suzuki6625: gutituHi
[36.084] yukeboka: gutituHi
[36.195] (S)siitake_0955: gutituHi
[36.254] ゆえりあ: gutituNyoki
[36.265] ぽっとまむ: gutituHi
[36.283] ゆりいか66: 猛者さんサイド
[36.289] (S)りっちゃん227: gutituHi
[36.300] (S)ゆーぐりっど: おはよう
[36.388] satou_036: gutituHi
[36.392] qalca: gutituHi
[36.415] にうな: おはよう
[36.436] Omino_OxX: gutituHi
[36.641] nina_radaaosi: gutituHi
[36.745] かれめ: gutituNyoki
[36.838] omoti_0325: gutituHi
[36.842] ukkiy_922: gutituHi
[36.861] あきひまる: gutituHi
[36.918] すずた: gutituBurn
[37.068] ゆうもひ: gutituHi
[37.096] misuke_hz: gutituHi
[37.139] jiro711: きちゃ
[37.176] おととか: gutituHi
[37.209] アリメ: おはよー
[37.282] (S)_花_: わーーー！！やったーー！！
[37.287] 6捨8入: ~MISSING_MESSAGE_INFO~
[37.397] saisai_tmc: gutituHi
[37.411] (S)ねむむいむい: おはよー
[37.643] (S)chiiichan1430: gutituHi
[37.718] (S)rima_0128: gutituHi
[37.740] Late1120: おはよー
[37.748] (S)ぱおるん: gutituHi
[37.755] lariar: gutituHi
[37.835] さくらぁ: gutituHigutituHi￼￼ 
[37.836] zyoukigen: キタァァーー
[37.850] (S)といなみ: おはよう
[37.890] ongyao: gutituHi
[38.671] (S)渾天: ~MISSING_MESSAGE_INFO~
[38.854] おがだらー: ~MISSING_MESSAGE_INFO~
[39.116] (S)ykeclair: gutituHi
[39.163] (S)翠晃冠: 待ってた！！！
[39.235] ましろたゃん: gutituHi
[39.257] オメルス: おはよう
[39.311] yu5j: gutituHi
[39.347] セコﾁｬﾝ: gutituHi
[39.410] ぶんぶく_27: gutituHi
[39.492] efferu_t: gutituHi
[39.522] (S)_ビビ_: gutituHi
[39.633] vegetab1e0831: gutituHi
[39.690] miina317317: おはよう
[39.723] ゆんみさい: gutituHi
[39.728] はまくね: gutituHi
[39.741] うさきみん: gutituHi
[39.847] リリシィ: gutituHi
[39.875] ざっそー: gutituHi
[39.892] こるて: gutituHi
[39.912] ゆんふぁ1123: おはよう
[40.397] latch18: gutituHi
[40.502] しゃこばサ: gutituHi
[40.552] 秋刀魚食べたい: gutituHi
[40.627] (S)nakihado: gutituHi
[40.898] 夜虹_: gutituHi
[40.910] こちょこがみ: ~MISSING_MESSAGE_INFO~
[40.923] 薮坂: おはようございまーす
[41.016] (S)きた喜多: おはよー
[41.061] Halu0401: gutituHi
[41.106] reia_893: gutituHi
[41.144] れんまゅ: おはよ
[41.281] (S)ウサミマ: gutituHi
[41.433] ロックピジョン: gutituNyoki
[41.846] みたらしいなり: おはよう
[42.058] r_rreiki: gutituHi
[42.060] (S)ゆいにゃん_: きちゃー！！
[42.066] (S)さめざぁ: おはよう
[42.279] karinnnnn: gutituHi
[42.371] pawma0922: おはよ
[42.423] dandaka__dandan: gutituHi
[42.497] ゆえりあ: おはよ～
[42.502] (S)おくみな: gutituHi
[42.529] fooler_7: おはよおおおおお
[42.897] rgwn27: gutituHi
[42.944] (S)rion2510: おはよう
[42.990] まちあ41: gutituHi
[43.017] mimoza_a: gutituHi
[43.044] レアミナト: おはよう
[43.071] uzura7373: uzura7373 subscribed with Prime. They've subscribed for 19 months! 
[43.081] めんるい_: gutituHi
[43.167] すすのき: おはよう
[43.178] s1__m: gutituHi
[43.202] vegetab1e0831: あざまーす
[43.366] fuuki_01: gutituHi
[43.573] (S)またたびゆかちょ: gutituHi
[43.591] fair_0141: gutituHi
[43.595] qalca: おはよー
[43.643] まめっちゃ: gutituHi
[43.719] ギンバリ: gutituHi
[43.728] (S)ピザパん: gutituHi
[43.730] (S)小火_: おはよう
[43.797] 神代あのラジオ: gutituHi
[43.799] (S)ramen_mattya_0141: gutituHi
[43.873] がふうろ: gutituHi
[44.453] (S)96saumechan: gutituHi
[44.479] (S)anshin_onigiri: 待ってたーー！！！！！
[44.489] (S)瑞々_: gutituHi
[44.676] puch1111: おはよ
[44.683] (S)tototsu: gutituLetsGo
[44.718] zakuzakuya: gutituHi
[44.822] komaru8825: gutituHi
[44.944] pioneer1001: gutituHi
[45.026] あいりゅー: ~MISSING_MESSAGE_INFO~
[45.184] みけ猫0141029: gutituHi
[45.219] のかちゃん_: おはよう
[45.237] (S)とつぜんげんき: おはようございま〜す
[45.267] せあぶらマシマシ: gutituHi
[45.342] うりやちゃん: gutituHi
[45.422] うゆ__: おはよう
[45.450] こるころ: gutituHi
[45.579] 茶ﾁｬ: gutituHi
[45.767] 腹痛: gutituHi
[46.041] yq27: yq27 subscribed at Tier 1. They've subscribed for 21 months! 
[46.124] らずべりーたいむ: gutituHi
[46.334] (S)翠晃冠: おはよう
[46.390] ぅどんん: gutituHi
[46.426] (S)second_san: gutituHi
[46.446] usotsuki_chang: わーい！ gutituCheer100
[46.761] tondengaku: gutituHi
[46.806] (S)ねねねねねねねねねねね: gutituHi
[46.875] わばぬん: gutituHi
[47.037] (S)せんだこ: gutituHi
[47.097] akasira23: !member
[47.191] _トリコ_: おはよー
[47.200] (S)rea3104: gutituHi
[47.269] (M)Nightbot:  今日のメンバー(敬称略・順不同)：ぐちつぼ, げんぴょん, たらこ, んそめ, ごんかね
[47.301] omoti_0325: おはよう
[47.448] しぇえれぐ: gutituHi
[47.567] らるか_: gutituHi
[47.656] mmoepp: gutituHi
[47.662] (S)ちょこあーもんど: おはよ〜
[47.802] __たう__: 寝すぎて眠い系か
[47.885] 1__いずみ: gutituHi
[47.959] sosko3260: おはよ
[48.178] (S)6shinon9: おはよー
[48.212] 梨一: ｗｗｗ
[48.360] taiga10006: gutituHi
[48.755] (S)MOUTYUUUU: gutituHi
[48.755] (S)_花_: おはようございます！
[48.762] (S)ikottocorn: gutituHi
[48.995] 冷や茶: おはよう
[49.197] (S)準強力粉ベーグル: gutituHi
[49.225] ゆりいか66: ？
[49.249] (S)ぱおるん: おはよう
[49.260] (S)kuuugasan: gutituHi
[49.275] (S)エズシュト: おはよう
[49.286] むネオ: フルニキの声
[49.374] kogiin009: gutituHi
[49.449] (S)nano0000o: gutituHi
[49.466] (S)saaya_24: やったー楽しみ！！
[49.484] ___こなもん___: ~MISSING_MESSAGE_INFO~
[49.772] ki_tsuna: gutituNyoki
[49.963] potesophia: gutituHi
[49.964] furan___k: gutituHi
[49.980] 一般通過リスナー: gutituHi
[49.986] (S)アバジン: gutituHi
[49.997] (S)トリア: おはよー
[50.000] nousagi2525: おはよー
[50.051] 濃香めろん: gutituKnife
[50.110] リサリサ: gutituHi
[50.305] (S)ニョキ: gutituHigutituHi￼￼ 
[50.482] (S)raro12346: gutituHi
[50.532] かめりあ: gutituHi
[50.686] rosie_9400: gutituHi
[50.686] 三日ぼう主: gutituNyoki
[50.690] みたらしいなり: 寝足りてない
[50.809] かさ増し: gutituHi
[50.912] なのね__: gutituNyoki
[50.918] minibanbi: おはざす
[51.005] taiga10006: gutituHi
[51.026] (S)magaos_753: gutituHi
[51.229] flower_3456: gutituHi
[51.260] (S)きくおきく: gutituHi
[51.428] (S)shino0523: おはよ
[51.462] galoudto_3982: gutituHi
[51.649] (S)翠晃冠: wwww
[51.862] レイト_: gutituHi
[52.020] ナスおれ: ねむいか
[52.077] nekotanu65: gutituHi
[52.087] あまとう__: おはよう
[52.317] cccla: おはよう
[52.354] まっとこ: おはよう
[52.401] (S)suto_salad: gutituHi
[52.574] たこせん: gutituHi
[52.590] にうま: gutituHi
[52.752] ぅどんん: 魔王復活？
[53.240] 戒吏: wwww
[53.466] ha7aBoo: gutituHi
[53.492] ハトハトハト: gutituHi
[53.549] (S)つむりこた: つむりこた subscribed with Prime. They've subscribed for 3 months, currently on a 2 month streak! 
[53.695] 猫太_222: gutituHi
[53.892] potesophia: gutituHi
[53.915] (S)みらベル: gutituHi
[54.121] (S)ねーど_: gutituHi
[54.133] hosizmrb: gutituHi
[54.140] zaza_kun: gutituHi
[54.252] yuidayo2_ab: 待ってた
[54.300] (S)スバ: gutituHi
[54.318] うゆ__: 待ってたぞおおおお
[54.442] sosko3260: 二度寝する？
[54.517] (S)ばる男: gutituHi
[54.809] solt_mix: gutituHi
[55.290] (S)えぃみみ: おはよう
[55.330] marubouzudesu: gutituHi
[55.819] zyoukigen: gutituHi
[56.118] syuka188: おはざます
[56.174] 1205omoti: gutituHi
[56.484] komaru8825: おはよーーござまーす 
[56.667] あかさささ: gutituHi
[56.910] (S)maple__1019: gutituHi
[56.912] 逢碧はる: gutituHi
[57.059] Tsunamon: きちゃ～～！ 
[57.405] ことうげ: gutituZzz
[57.528] (S)トロヒカ: gutituKP
[57.652] kirisame_92: gutituHi
[57.772] らーびす: gutituNyoki
[58.024] 三日ぼう主: gutituKP
[58.176] 1__いずみ: おはよーー
[58.241] goo813: gutituHi
[58.264] (S)さめざぁ: たしかに寝起きの声してるwww
[58.785] (S)トリア: gutituKP
[58.833] toki_0925: gutituHi
[58.958] harisu08: harisu08 subscribed with Prime. They've subscribed for 49 months! 
[59.194] ぺんのやま: gutituHi
[59.368] こるて: うっそ寝てたん
[59.492] yutchqq: gutituHi
[59.696] miromiso: gutituHi
[59.792] ざらめめ: gutituHi
[59.974] (S)足し湯: gutituHi
[60.087] (S)rea3104: あ
[60.196] oyasai_: gutituBurn
[60.289] 泡目: gutituHi
[60.550] (S)_ビビ_: gutituKP
[60.740] __たう__: gutituKP
[60.878] こちょこがみ: gutituKP
[60.890] (S)sapimi_chan: gutituHi
[61.094] (S)エズシュト: gutituKP
[61.530] yoropoko: gutituHi
[61.568] taiga10006: gutituHi
[61.579] oh_ohhhh_yeah_: gutituCheer100
[61.581] ゆりいか66: さずける！？
[61.688] 梨一: レッドブルか
[61.727] (S)do_donpa: gutituKP
[61.936] shimizu__uxu: gutituHi
[62.164] mirin_rinririn: gutituHi
[62.257] (S)フロント受付: gutituHi
[62.368] 神代あのラジオ: gutituHi
[62.436] (S)0ㅏ아: gutituKP
[62.489] ka_su_mi_27: gutituHi
[62.905] 1nv2: gutituZzz
[63.048] (S)96saumechan: おはざーす
[63.089] ねじペン: gutituHi
[63.159] (S)ウサミマ: gutituKP
[63.256] (S)ふらぐな: gutituHigutituHi￼￼ 
[63.268] ぽつかれ: gutituKP
[63.472] taiga10006: gutituHi
[63.749] nerg71: nerg71 subscribed at Tier 1. They've subscribed for 33 months! 
[64.207] (S)といなみ: gutituKP
[64.273] nagidooon: gutituHi
[64.314] N0korimono: gutituHi
[64.335] うさきみん: おはよう
[64.363] (S)小火_: gutituKP
[64.399] (S)きた喜多: gutituKP
[64.508] yotuki_ren: yotuki_ren subscribed at Tier 1. They've subscribed for 48 months! 
[64.680] (S)1たチョコ: 1ta_choco subscribed at Tier 1. They've subscribed for 11 months, currently on a 11 month streak! 
[64.905] (S)アルクトゥルス: gutituHi
[65.122] debu_pizza: おはよ
[65.341] (S)恭司: gutituHi
[65.358] (S)みらベル: gutituKP
[65.377] なめくじ3: gutituHi
[65.546] みたらしいなり: gutituKP
[65.716] 戒吏: gutituKP
[66.389] ゆもち_: gutituHi
[66.780] 琴ノ葉: gutituHi
[66.838] (S)瑠雪: gutituKP
[67.520] yu5j: gutituHi
[67.948] 薮坂: gutituKP
[68.513] ペルシャ猫: ペルシャ猫 subscribed at Tier 1. They've subscribed for 47 months! gutituBits
[68.668] あるん_: gutituHi
[68.697] (S)matsurichan1118: gutituHi
[69.000] (S)karinnn_777: gutituKP
[69.040] (S)にんじんかんぱにー: gutituHi
[69.084] (S)ねむむいむい: gutituKP
[69.096] (S)ジョリヤヤ: gutituKP
[69.171] ぬこはっく: ぬこはっく subscribed at Tier 1. They've subscribed for 52 months! 
[69.190] yuk1neko16: gutituHi
[69.210] パンをたべるにゃ: gutituHi
[69.298] pawma0922: gutituHi
[69.608] ruterute_016: ruterute_016 subscribed at Tier 1. They've subscribed for 44 months, currently on a 44 month streak! 
[69.935] ねけめれ: ~MISSING_MESSAGE_INFO~
[70.504] yumeji404_astrono2: gutituHi
[70.688] mk_masado: gutituHi
[70.806] (S)アオギリ: gutituHi
[71.344] (S)rea3104: gutituKP
[71.535] アリメ: gutituKP
[71.618] sunny_eevee: gutituHi
[71.705] (S)last_pino: gutituHi
[71.973] (S)とつぜんげんき: gutituKP
[72.182] うもうくん: gutituHi
[72.619] nacl_931: gutituHi
[72.636] (S)アメヤマ: gutituHi
[72.722] shigure0141: gutituHi
[72.840] taiga10006: gutituHi
[72.931] (S)おつゆん: gutituHi
[73.172] ゆりいか66: gutituKP
[73.292] なつみや: gutituHi
[73.902] (S)なすび_2525: gutituHi
[74.000] (S)gdkingu: gutituHi
[74.492] (S)nasugon0141: gutituKP
[74.989] kunio_ask: gutituHi
[75.085] yuharu__: gutituHi
[75.119] ねこはむし: ねこはむし subscribed at Tier 1. They've subscribed for 12 months, currently on a 12 month streak! 
[75.327] りらるら: gutituHi
[75.424] 三日ぼう主: 無礼講だー！！！
[75.888] ki_tsuna: 飛べそう？
[75.904] samidare_1222: gutituHi
[75.981] mofu0224: gutituHi
[76.376] はめつのねがい: gutituHi
[76.497] anmitu_kinako: gutituHi
[76.621] (S)gdkingu: gutituHi
[76.670] さんぼんがわ: gutituHi
[76.742] beikudomotyotyo3067: gutituHi
[77.553] (S)いちごむすび: gutituHi
[78.510] ざらめめ: まってた
[78.576] takeno_cococo: gutituHi
[78.583] まぐま: gutituHi
[78.593] __たう__: 楽しみにしてた
[78.832] (S)_ビビ_: gutituCheer100
[79.035] (S)omusubi_puff: gutituHi
[79.393] おととか: gutituLetsGo
[79.962] ぶラッく: gutituHi
[80.107] yu5j: gutituHi
[80.740] (S)といなみ: gutituLetsGo
[80.982] rasu_18: gutituHi
[81.039] (S)レばにら: gutituHi
[81.228] n_yuuuna: gutituHi
[81.368] 島人3: gutituHi
[81.711] えびれど11: gutituHi
[82.046] みたらしいなり: gutituLetsGo
[82.454] aisu5121: gutituHi
[82.487] taiga10006: gutituHappy
[82.553] うゆ__: 嬉しいいいい
[82.660] 戒吏: gutituLetsGo
[82.678] ドレイン: gutituHi
[83.382] (S)とりまる__: gutituHi
[83.679] (S)rea3104: gutituLetsGo
[83.717] taiga10006: gutituGG
[84.150] (S)つぼこじ: ゲムマで疲れたか
[84.152] bebe874: gutituHi
[84.181] __たう__: gutituLetsGo
[84.228] アリメ: gutituLetsGo
[84.521] anmitu_kinako: ないす
[84.529] (S)エズシュト: gutituLetsGo
[84.576] なーちき: gutituLetsGo
[84.693] (S)すうじー: gutituLetsGo
[84.729] (S)きた喜多: gutituLetsGo
[84.740] (S)saaya_24: やったー！！
[84.821] (S)みらベル: RUSTだ〜〜〜 
[84.904] 梨一: gutituLetsGo
[85.047] taiga10006: gutituHappy
[85.267] (S)matsurichan1118: gutituHi
[85.291] miina317317: gutituLetsGo
[85.318] yu5j: gutituHi
[85.482] さけぼー: gutituHi
[85.552] もとか: きたー！！！
[85.558] こちょこがみ: やったーー！！
[85.622] shuriii0110: 待ってた
[85.675] おもちねこ: gutituHi
[85.794] penta8888: 久々
[85.983] (S)小火_: gutituLetsGo
[86.014] zen_to_aku: gutituHi
[86.052] こるて: gutituHappy
[86.247] (S)さめざぁ: gutituLetsGo
[86.461] ル入: gutituFlag
[86.660] taiga10006: gutituBye
[86.681] さんぴく: gutituHi
[87.088] yumeji404_astrono2: gutituLetsGo
[87.131] (S)翠晃冠: gutituLetsGo
[87.143] (S)shibako1843: gutituHi
[87.296] あおみきどり: gutituHi
[87.296] (S)カルパス牛タン: gutituBits
[87.548] にうな: やったー
[87.946] (S)ﾓﾓﾀﾛ: gutituLetsGo
[89.005] たゆたや: gutituHappy
[89.181] nyapody: gutituHi
[89.263] (S)ゆーぐりっど: gutituLetsGo
[89.289] (S)とつぜんげんき: gutituLetsGo
[89.391] ゆりいか66: gutituLetsGo
[89.414] なぁさんゞ: やったーーーー
[89.470] 薮坂: たのしみだぜ
[89.617] ぽんずーん: gutituHi
[89.619] (S)ねむむいむい: わーい 
[89.712] beikudomotyotyo3067: gutituHappy
[89.840] pipu_bare: gutituHi
[89.878] (S)noise8010: gutituHi
[90.678] (S)_ビビ_: gutituLetsGo
[90.862] uzura7373: やったー！
[90.927] すすのき: gutituLetsGo
[91.125] komaru8825: たのしみにしてた！！！
[91.282] (S)rea3104: gutituFlag
[91.707] (S)haruka____kd: やたーーー
[91.709] (S)sky_dragon963: gutituHi
[91.838] (S)むぎもっち: gutituHi
[91.907] natsu2326: gutituHi
[91.979] (S)せんだこ: gutituHi
[91.982] (S)_花_: gutituHappy
[92.174] うゆ__: gutituLetsGo
[92.367] むネオ: 楽しみにしてた
[92.428] (S)とり肉: gutituHi
[92.933] 1nv2: gutituLetsGo
[93.109] nek0wood: gutituHappy
[93.159] sisonige: gutituHi￼ 
[93.491] (S)なみを: gutituLetsGo
[93.606] おまるさんﾝﾝ: gutituCheer100
[94.342] 濃香めろん: gutituKnife
[95.148] anmitu_kinako: ラスラスー
[95.313] うきひな: gutituLetsGo
[95.377] 豆の木_: gutituHi
[95.719] yume0210: gutituHi
[96.016] あおとら_: gutituLetsGo
[96.631] とくん: gutituHi
[96.684] ささざら: gutituHi
[97.598] __なつめ__: gutituHi
[97.808] zakuzakuya: gutituLetsGo
[98.454] (S)turu_yume: gutituHi
[99.389] タクトン: gutituHi
[99.595] ル入: 楽しみがすぎる
[99.614] ram_nia: gutituHi
[100.460] (S)やえやま: gutituHi
[100.754] 多々良359: gutituLetsGo
[101.147] vegetab1e0831: 友達なんていらねえrust
[101.796] yu5j: gutituHi
[102.119] (S)むぎもっち: gutituLetsGo
[102.539] (S)てし_: gutituHi
[102.684] oyasai_: 抱き枕めざして
[102.733] raidondx: gutituHi
[102.891] davallia_: gutituHi
[103.411] twinkle_doll: やたあああああああああああああああ
[103.418] loxoln: gutituLetsGo
[103.624] (S)おでっぷ: gutituHi
[103.741] cccla: cccla is gifting 1 Tier 1 Subs to ぐちつぼ's community! They've gifted a total of 7 in the channel! 
[103.839] うゆ__: 優勝賞品見た？w
[103.849] (S)あきぬーゔ: gutituHappy
[103.901] (S)月餅93: gutituHi
[103.945] ぱぴぴぱ: gutituHi
[104.074] cccla: cccla gifted a Tier 1 sub to むーぎ! 
[104.117] (S)トリア: gutituLetsGo
[104.598] __たう__: やたーー
[104.677] 孫の手ソルジャー: gutituHi
[104.791] taiga10006: まってたぞー 
[104.797] うりやちゃん: gutituHi
[104.836] (S)すうじー: ゴールデンウィーク明けといてよかった
[105.957] (S)azusawa_1020_suzuha: テンション低いな
[106.469] mukuroji6962: gutituHi
[106.830] (S)しおりんりんかべー: バチバチのRUST楽しみ！
[107.139] Last_Edamame: gutituHi
[107.342] (S)とつぜんげんき: 楽しみ 
[107.409] ささざら: だきまくら貰ってくれ
[107.418] yu5j: gutituHi
[107.467] (S)raro12346: gutituLetsGo
[107.507] miina317317: ガチPvP楽しみ
[107.510] (S)turu_yume: gutituLetsGo
[107.689] 福茶丸: 福茶丸 subscribed at Tier 1. They've subscribed for 34 months! 
[107.720] ゆりいか66: gutituRaid
[107.856] nousagi2525: gutituHappy
[107.970] にこぜろ: gutituHi
[107.975] とくん: gutituLetsGo
[108.276] gorinchu: gutituHi
[108.437] puch1111: gutituHappy
[108.558] なみのりを覚えない: gutituLetsGo
[109.019] うさきみん: gutituHappy
[109.074] レイト_: gutituFlag
[109.271] (S)みらベル: gutituLetsGo
[109.276] (S)エズシュト: gutituHappy
[109.359] しぇくと: 抱き枕もらおう
[109.494] 宮倉_: gutituLetsGo
[109.497] ぽつかれ: gutituLetsGo
[109.577] (S)クロりぬ: gutituHi
[110.791] kamonohashihamigi: gutituHappy
[110.912] yuidayo2_ab: 優勝して抱き枕もらってくれ
[111.194] yu5j: gutituHi
[111.414] (S)亜鉛0604: gutituHi
[111.633] sibshu: gutituHappy
[111.658] ぐっちーつぼつぼ: gutituHappy
[111.837] __たう__: gutituLetsGo
[111.945] ル入: gutituDance
[111.952] おととか: gutituFlag
[111.978] pawma0922: gutituHi
[112.064] momoyuru: gutituHi
[112.331] (S)まこト: ルールが楽しみすぎた
[112.509] 戒吏: gutituLetsGo
[112.594] みたらしいなり: PvPだー！
[113.027] ぽてって: gutituHi
[113.029] うゆ__: gutituHappy
[113.051] suw252: やたーーーーーー
[113.411] (S)REEEEeee_spect: gutituLetsGo
[113.456] (S)karasuzaku: gutituHi
[113.468] (S)といなみ: gutituHappy
[113.722] (S)さっちょす: gutituLetsGo
[113.975] しろぺんくん: gutituHi
[114.340] パンのアレ: PVPがんば
[114.362] (S)いぬスキー: gutituLetsGo
[114.421] りらるら: やったぜ
[114.534] (S)zazo70: gutituHi
[114.558] satou_036: gutituHappy
[114.625] mitikake0822: gutituHi
[114.790] うさきみん: gutituLetsGo
[114.922] ギンバリ: うおおお
[115.615] shuriii0110: 優勝賞品楽しみねw
[115.822] (S)グローリーローリー: gutituHi
[115.858] misokain: gutituHi
[116.035] co_i_me: gutituHi
[116.240] karume_yaki: gutituHappy
[116.305] にこぜろ: gutituHappy
[116.779] __たう__: gutituDance
[116.981] (S)クロりぬ: たのしみー！
[117.013] 7233san: 抱き枕を奪い合うと噂のRUST
[117.050] ナンジャマリィ: 結構ルール難しそうだった 
[117.082] 多々良359: gutituHappy
[117.097] しろぺんくん: 待ってた
[117.210] (S)miru__102: gutituHappy
[117.286] (S)ねむむいむい: gutituFlag
[117.407] うりちゃ: たのしみ
[117.505] (S)_ビビ_: 抱き枕！！
[117.763] eiei_ooo: wwwww
[117.887] Hinakong717: gutituDance
[117.935] (S)eiya_soiya: gutituLetsGo
[117.936] lemondaifuku: 最初卵がけご飯かと思った
[117.950] (S)つぼこじ: 抱き枕ゲットだぜ！！！
[118.010] うゆ__: 抱き枕wwwww
[118.051] Asterontium: 卵かけ丼？
[118.421] (S)とり肉: 抱き枕〜〜
[118.582] taiga10006: gutituBye
[118.730] ka_su_mi_27: gutituFlag
[118.763] shimizu__uxu: 優勝商品バカ笑った
[118.983] (S)なすび_2525: gutituLetsGo
[119.106] 1nv2: 抱き枕目指そう
[119.257] (S)あひるごよ: gutituFlag
[119.290] kamonohashihamigi: wwwwwwww
[119.344] (S)せがわちゃん: 高田健志等身大抱き枕のためにがんばれ
[121.798] (S)小火_: ｗｗｗｗｗ
[121.928] ｶﾆﾁｬﾊﾝ: gutituFlag
[122.011] 256番: www
[122.109] nonosuke3: wwww
[122.130] うゆ__: 高田さんのwwwwwww
[122.142] saisai_tmc: wwwww
[122.143] オメルス: wwwwww
[122.158] yumeji404_astrono2: wwwwww
[122.164] gorinchu: ww
[122.267] すすのき: wwwwww
[122.273] とや_: wwwwwwwwwwwwwwwww
[122.343] わらじは多い方がいい: いらねえｗｗｗｗ
[122.380] cccla: www
[122.424] miina317317: wwwwww
[122.430] (S)0ㅏ아: wwwww
[122.878] (S)noa_fuyuki: gutituHi
[122.935] (S)はしち: wwww
[122.945] アリメ: ｗｗｗｗ
[123.035] (S)cotakashi: gutituLetsGo
[123.231] うさきみん: wwwwww
[123.332] たゆたや: ｗｗｗｗ
[123.345] __たう__: 抱き枕！？w
[123.345] こちょこがみ: wwwwwwww
[123.419] (S)クロりぬ: 抱き枕www
[123.440] なーちき: wwwwwwwww
[123.443] (S)ねむむいむい: wwwwww
[123.452] ぽつかれ: wwwwwwww
[123.508] (S)べんべむ: www
[123.538] loxoln: らしいねwwwwwwww
[123.540] (S)Tubaki0000: wwww
[123.759] (S)memorima: gutituHappy
[123.854] 戒吏: wwwww
[123.860] パンをたべるにゃ: www
[123.873] ゆりいか66: あwwwwwwww
[123.898] (S)まこト: wwwwww
[123.913] ル入: gutituNobahatena
[124.650] でどすた: うっま
[125.051] (S)さめざぁ: wwwwwwwwwwwwwwwww
[125.095] みずはる: www
[125.107] (S)second_san: wwwww
[125.162] (S)とつぜんげんき: www
[125.164] (S)アオギリ: www
[125.181] kranke_571: wwwwww
[125.264] (S)いぬスキー: wwwwwwwww
[125.301] eri000001: 高田さん抱くか
[125.432] (S)_ビビ_: wwwww
[125.437] バブちゃん太郎: ｗｗｗｗｗｗｗ
[125.472] まちあ41: wwwwwwww
[125.604] (S)ずーーーーみん: wwwww
[125.616] miromiso: wwwwwwwwww
[125.637] (S)いこまななち: wwww
[125.655] (S)あさり2525: gutituHi
