[27.069] pettan_omochi: かっこいいの着てるねぇ
[146.533] ドス_: ZERO3勝てる自信何%くらいですか？
[149.206] どみのん: 棒は久しぶりに使うと筋肉痛になりそうw
[151.669] furu13: zero3って特に早くない？
[163.796] Skylord39: Hi daigo fine ?
[177.117] shinjinius: NewRecord
[182.609] のってる: スト6と混ざらない？
[182.686] サルクモ: なにがそんなに違うんですか？いい変化ですか？悪い変化ですか？
[182.709] jagajaga1943: スト6もゼロ3まで棒でやろう
[190.508] 第四宇宙速度: 関係者全員、ウメちゃん勝つだろうって言ってるけどマジ？
[194.047] goozy009: ますみさんがウメさんが勝つと言い切ってましたよ
[207.084] market_fujisaki: そういえばウメさんのビニール袋の開き方、介護職なんでめっちゃ重宝してます、手間取ることなくなりましたわw
[213.576] どみのん: ゼロ3は改めてやってみて良ゲーです？
[221.819] salifuas: モダンのプレイヤーとやってみたくない？
[223.622] tsubame5204: umeSalute
[225.824] (S)jinkun80: こんばんは
[231.343] バチ0628: 正直さすがに現役勢が勝つと思ってる
[233.847] Daigo_Rider: Cheer1000 Cheer100
[233.984] (S)koudai715: ウメさん、こんばんは
[235.994] (S)n242f45aa: ｗ
[237.239] shinjinius: BigPhish
[244.244] market_fujisaki: リップ入ってそうだな
[245.906] サルクモ: ウメちゃん
[248.166] ジェノサイドカッター吉田: ビワセでやってるんでしたっけ?
[252.405] (S)pondenring0930: ウメちゃんが他の格ゲーやるの久方振り過ぎて楽しみだ
[252.652] une3333: こんばんはー珍しいジャケット
[254.634] (S)gold_power1969: こんばんは～
[258.368] カブトシロ: こんばんは。
[259.190] thunderbolt0422: なにが本当なんだー。はやく当日になってほしい！
[263.321] imamu25: 古い格ゲーやるの新鮮ですね
[263.953] momochan6: zero3楽しみだ
[266.063] jigokunonekomatu: 俺はきゅうりの食べ方参考にしてるよ。やっぱ味噌だよ
[270.714] diego_ohunabara: umeYay
[276.560] thunderbolt0422: ｗ
[279.964] (S)nikukuisugi333: ｗ
[280.296] one596: www
[281.137] hoehoeR: 2キャラやんの？
[281.870] blueplanet96: ジャスティンがツイッターで英語ミラー配信したいって言ってたね
[283.583] サルクモ: 誰と誰？
[284.119] (S)憂う者の弟子: 地味に不利！
[284.135] 第四宇宙速度: それはそうｗ
[284.363] (S)Lakku78: umeCatGlare
[284.422] (S)nihonsyu_: ウメちゃん今回のトパチャン誰が勝ちそう？
[284.891] (S)n242f45aa: 2キャラやるの？！
[285.386] sistersguitarreplica: 2キャラやるのかい
[286.371] une3333: 2キャラやるんですか？
[289.216] thunderbolt0422: それは正論
[289.857] marcusbarber: Yo what you playing today?
[290.599] one596: 同キャラとナッシュ
[291.090] market_fujisaki: え、Zリュウだけじゃないの？
[291.977] いがぐりころころ: 2キャラなの？
[294.366] 000105: リュウナッシュなぁ
[295.869] aranami0: 逆だなｗ
[297.077] サルクモ: 梅原ですし
[301.610] momochan6: 確かに負担でかい
[302.018] itijiku111: ｗｗｗ
[303.581] べーこん118: 王の配信きたー 
[303.770] xxyba_: umeFail
[306.161] (S)n242f45aa: んっ重い
[306.418] Ceciltaisa: ほんそれ
[306.559] niwakanoppo187: ZERO3練習すると聞いて
[307.115] market_fujisaki: あーナッシュもか
[309.433] maddy2623: 王
[311.461] imamu25: 神ですから
[311.789] (S)黒魔: umeNirami
[312.778] どみのん: ますみさんがウメハラ君なら3日で感覚取り戻すよって言ってたよw
[313.233] takahashiseigi: いやいや、貴方が現役勢を挑発したからですよーw
[313.837] une3333: あ、そういうことね
[314.111] tsubame5204: umeNirami
[317.018] jigokunonekomatu: お客さん扱いしろっていってんの！
[317.061] mako6912: 神です
[321.857] right_8: リビングレジェンド
[323.115] thunderbolt0422: １キャラじゃ枷足らんかの精神
[323.756] une3333: 2キャラ分の対策をってことか
[333.329] pereznick: Hola, Daigo!!! 👋
[341.781] aranami0: 血が騒ぐ
[344.718] (S)yoyo_443: yaoyue443 subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! 
[345.378] une3333: 懐かしさ？
[345.446] (S)tonyudx2025: zero3楽しい？
[348.415] chandio2251: 懐かしかった感じが
[351.278] しびれ: 俺とお前と
[352.245] サルクモ: ますみさんって方は現役勢なんですか？
[352.530] ドス_: わかる
[352.544] べーこん118: 今でもたばこのにおいするのん？
[354.416] (S)raurakd: ゲーセンの空気感たまんねぇ
[354.695] market_fujisaki: 血が騒ぐ？
[356.358] spring__thief: ノスタルジー
[357.033] everaltar: ゼロ３のナッシュってガイルみたいな感じなの？
[357.168] right_8: 懐かしの空気感
[359.317] tw_numa: あるよねぇ
[359.783] (S)n242f45aa: 匂いって昔の記憶を引き出してくるよね
[361.046] こうき51: わかる！
[361.879] thunderbolt0422: いまどきあんなにタバコの臭いするのはゲーセンくらいなもんだよね
[362.476] yuki_aion_aion: 機械の匂いな
[362.629] (S)kobamihiro: ビッグワン？
[362.718] one596: スト6前にあの頃を思い出す的な感覚は良いのかも
[364.049] 温かいやさむぎ: 梅原さんこんちは 
[365.465] v_harumi_v: 確かにあるかも
[365.872] maddy2623: いいね
[371.594] kahaku91: 今日も行きますか？
[375.816] (S)nikukuisugi333: わかる
[376.731] カブトシロ: 分かる。
[377.678] une3333: ウメちゃん記憶喪失したときゲーセン連れてったら記憶戻りそうw
[377.905] エグバート: 良いねえ Cheer100
[379.085] aranami0: ゲーセン生まれ足立区育ち
[379.125] jigokunonekomatu: 匂いと記憶は密接に関係してるとかなんとか
[379.568] (S)いなりフォックス: ノスタルジー
[382.584] べーこん118: ウメちゃんに思い出補正かけるとはさすがゲーセン
[383.063] ジェノサイドカッター吉田: またビッグワン行くんですか?
[387.322] あかの: タバコとガラスクリーナーが混ざった匂いにキュンとするよ
[387.984] いがぐりころころ: やっぱゲーセンは違うんか
[389.194] どみのん: わかるわぁ
[391.015] market_fujisaki: アケ6出たら触る？
[393.266] (S)wonderhit1: そろそろゲセログ再開？
[398.564] ぐぐっす: ゲセログ復活うおおお
[398.970] どみのん: やっぱゲーセン最高ですよね
[399.569] (S)shinobuchan4649: 昔の鉄火場のパチ屋も独特のにおいあったな
[400.376] (S)nikukuisugi333: 近場でないの？
[401.827] yuki_aion_aion: 池袋のミカド無いのかよ
[403.976] (S)jinkun80: Cheer5000 どうも、ウメさんを養子にしたいジンです
[411.193] niwakanoppo187: 駄菓子屋ゲーセンももう一回ぐらい雰囲気味わってみたいわ
[411.255] right_8: アングラー
[416.025] chandio2251: じんくん来た
[429.261] yuki_aion_aion: ジンさんサブスクください
[431.227] (S)仙ニーン: umeCossack
[432.021] goozy009: 南越谷の頃のビッグワンに小学校2年から通ってましたw ドルアーガやりに umeCheer100 umeCheer100
[432.939] aranami0: じんくんイかれてるよｗ
[432.997] spring__thief: じん兄
[433.155] (S)maya_g01: ｗｗｗ
[433.291] 新福菜館マン: 夏休み朝10時にゲームが一斉に起動される瞬間好きでした
[434.729] thunderbolt0422: ｗｗｗ
[435.018] べーこん118: ウメちゃんその服かっこいい
[436.461] une3333: 自己紹介が強烈すぎるw
[436.761] 極無限: a
[436.870] (S)nikukuisugi333: kokuji3Chu
[437.882] oinari6: ウメちゃんXとZ縛りのZERO3だったらどっちが好き？
[441.562] 極無限: やあ
[442.191] (S)黒猫くん: やあウメさん
[443.823] (S)jinkun80: いいですよw
[446.535] (S)ババシャツ: あまりにも信者
[449.428] tw_numa: うおおじんくん
[451.092] chandio2251: この子どもやべーぞ！
[455.418] jigokunonekomatu: 毎日きゅうり用意できる？
[474.031] カブトシロ: 酒飲んで暴れるよ。
[476.916] market_fujisaki: Xってスパコン1個しかないけど火力高いんだっけ？
[485.982] tw_numa: 気づいたー
[488.675] サルクモ: アニバーサリーコレクションでネット対戦はラグいんですか？
[489.673] (S)れく太: そうだねｗ
[491.764] (S)憂う者の弟子: ついにバレたか
[492.119] 第四宇宙速度: 今更だけど超林真須美って名前面白過ぎない？
[494.378] tw_numa: そんな気はしていた
[496.178] une3333: この子どもトイレットペーパー切らすよ？
[499.553] kihiro_bq: ウメハラさんはハンターハンター好きですか(´；ω；`)？？
[503.545] (S)黒猫くん: 誰と練習してるん？
[507.410] right_8: レギュレーション騙されたのか
[519.852] nibiru_brave: 確かVリュウのイメージしかないな
[523.128] niwakanoppo187: 超林
[523.992] market_fujisaki: トレモもやらない？
[524.499] aranami0: ますみさんとの写真が良すぎるよー
[524.522] バチ0628: 名前ひどすぎるｗｗｗｗｗ
[524.679] sistersguitarreplica: 草
[525.770] jagajaga1943: ラグくてもトレモにはならない？
[526.842] (S)黒猫くん: ww
[526.958] chandio2251: 林真須美はスーパーマスミ？
[528.654] (S)jinkun80: jinkun80 is gifting 10 Tier 1 Subs to DaigoTheBeasTV's community! 
[529.009] (S)jinkun80: jinkun80 gifted a Tier 1 sub to Ka2kun! 
[529.014] (S)jinkun80: jinkun80 gifted a Tier 1 sub to リョーニッツ! 
[529.021] (S)jinkun80: jinkun80 gifted a Tier 1 sub to oojayant! 
[529.033] (S)jinkun80: jinkun80 gifted a Tier 1 sub to 千葉エビぶ! 
[529.039] (S)jinkun80: jinkun80 gifted a Tier 1 sub to fov_180! 
[529.045] (S)jinkun80: jinkun80 gifted a Tier 1 sub to nummmmmmmmm! 
[529.048] (S)jinkun80: jinkun80 gifted a Tier 1 sub to doh__! 
[529.076] (S)jinkun80: jinkun80 gifted a Tier 1 sub to moi2_kf! 
[529.076] (S)jinkun80: jinkun80 gifted a Tier 1 sub to jjjackass! 
[529.171] (S)jinkun80: jinkun80 gifted a Tier 1 sub to eging03! 
[529.444] (S)れく太: 超林にしよう
[530.116] one596: リスク
[533.103] gajpmwtdpw: うわぁ
[534.358] piyopiyomaru555: 旋風拳→昇竜のコンボ出る？
[534.523] tw_numa: 超林さんでいいよ
[534.547] バチ0628: うおおおおおおおおお
[534.907] tsubame5204: umeYay
[535.934] aranami0: 石油王！
[536.798] (S)jinkun80: サブスクさしあげますよ〜
[537.811] v_harumi_v: 確かにきけんw
[539.026] market_fujisaki: V豪鬼→Vリュウ
[540.770] (S)昼さん: umeYay
[541.030] njpw2017: 林さんにしよう、マゴさんとかぶるのはこの際無視
[541.651] たあぼ0126: 爆弾投下！
[541.727] thunderbolt0422: こくもＰＣアニコレの3rdやってもラグ感じてたから、やっぱ違うんだなぁ
[541.795] (S)仙ニーン: umeCossack
[541.930] (S)nikukuisugi333: umeCossack
[542.459] karumememe: すげえw
[543.210] ユタちゃん: マナカさんはビックワンの方ですかね？
[543.724] (S)junjamaica: けんじとおないで、両方アールの先輩
[543.919] バチ0628: クレカ終わっちゃう
[544.850] (S)rm_rf__: ガチで石油王だな
[545.881] tw_numa: まじかー
[545.992] takahashiseigi: 昔マスミさんやモリカワさんとガチをした動画は、昔から出回ってますよね
[546.234] chandio2251: なんなんだいったいw
[546.525] 極無限: 波動拳
[547.924] ﾃﾄﾗﾝ: おぎゃああああ
[548.037] jigokunonekomatu: 養父ありがとー
[549.156] ddb365: スーパーさんでいこう
[549.504] thunderbolt0422: umeCossack
[550.721] hato_pizza: それ言ったらけんじさんも......
[550.775] mitsuyasf6: 石油王ありがとー
[556.579] (S)yoyo_443: パパぁ・・・
[556.628] niwakanoppo187: ｗｗｗｗｗｗ
[557.636] 36mgh: 夫のほうね
[560.883] tw_numa: そうだね
[562.262] 第四宇宙速度: 終わってるｗ
[562.748] (S)jorshika: @jinkun80さん、サブスクギフトをありがとー
[563.595] aranami0: 終わってる二人
[564.773] niwakanoppo187: おわってんなｗ
[568.877] (S)jinkun80: ジン・ウメハラでもいいですか？
[569.053] (S)sistersguitarreplica: ひどすぎるなw
[569.129] tsubame5204: umeYay
[569.728] maddy2623: 名前ググらないでね
[570.657] (S)リョーニッツ: @jinkun80さん、サブスクギフトをありがとう！
[571.299] thunderbolt0422: 自宅で麻雀していたという旦那さん...
[573.217] (S)メトロシティの研究者: そうなんだw
[573.233] tw_numa: 令和にそれはまずい
[574.339] market_fujisaki: マゴさんかとw
[574.417] myaaaaaa123: 初めて林さん見たけど、普通の人なんだとびっくりしたｗ
[574.843] tabibitox: やばいねｗ
[575.427] (S)kobamihiro: けんじさんのプレイみたい
[578.085] yuki_aion_aion: ジンさん外れたけどありがとー
[578.888] バチ0628: 終わってるｗｗｗｗｗｗでも格ゲー勢って感じで好き
[582.735] たあぼ0126: umeCossack
[584.242] tarantarantaran: umeCossack
[585.938] kahaku91: umeNirami
[586.664] v_harumi_v: それ知って驚きました。
[587.547] (S)junjamaica: マスミは野球部でがちアールの先輩
[589.292] tarantarantaran: PrideWingL
[589.327] おっさんまん: 今日元気そうやな
[591.983] 極無限: 格ゲーむずいんご
[592.895] (S)yappa_giants: せめて名字は林だと思っていた
[593.143] あかの: 林はともかくケンジですらないのかよ。。
[593.207] (S)raurakd: 名も無き修羅が
[594.091] フﾄ: ダイゴジン
[596.754] (S)ねぴネピ: けんじさんも練習パートナー？
[596.906] ぷりにゃん: かっこいいウィンドブレーカーですね
[597.065] (M)Moobot: That's a tad too many emotes, @仙ニーン (warning)
[599.190] side_box: 何で超が付いたんですか？
[600.838] (S)jinkun80: ジン・ダイゴ？
[606.741] 第四宇宙速度: 超林真須美
[609.735] thunderbolt0422: 富士そばの精霊さんって激ヤバな人だったんですね...
[610.271] (S)rm_rf__: へーw
[612.843] (S)junjamaica: 今やハゲ
[613.141] aranami0: アールさんが色々教えてくれたｗ
[613.249] (S)れく太: 野球続けろよｗ
[623.198] 36mgh: ジン・サオトメみたいあｎ
[623.944] kinakobuta: サッカーと卓球も部員しょってたらしいよ
[625.148] 000105: 桑田のマスミかな？
[627.175] market_fujisaki: 野球は打てないとなー
[627.176] momochan6: 体つきやばいもんなあ
[630.090] (S)オワオワタ: ウメちゃんの昔の仲間ってやばい人しかいないね
[634.259] (S)jinkun80: 苗字は 
[638.120] balthazar000: おー、やってた～
[638.166] (S)jinkun80: ですが
[640.527] v_harumi_v: アールさんが配信でもおっしゃってましたね。
[642.849] (S)shinobuchan4649: そーいう二刀流か
[650.458] tarantarantaran: 金いい苗字 
[653.305] (S)憂う者の弟子: soushihanKane
[654.715] takahashiseigi: 野田さんが数少ない敬語を使うのがマスミさんと…
[655.553] yuki_aion_aion: soushihanIei
[655.969] べーこん118: KOFに参戦しそう
[657.095] jigokunonekomatu: soushihanChill2
[658.102] (S)wonderhit1: キム・クンヒョン
[659.312] aranami0: アイゴー
[661.017] (S)仙ニーン: 金・DAIGO
[661.176] 新福菜館マン: 柏木さんって見た目若いね
[662.643] そうたマン: Cheer100
[663.128] ドス_: 運動神経いい人は格ゲーも強い説ありません？
[664.609] ジャンクばっち: 王が暇と聞いて
[664.720] bikibiki999: KSKの金スタンプｗ
[665.627] thunderbolt0422: ﾀﾞｲｺﾞｰ
[667.131] tw_numa: 金 大吾
[667.350] 不渡哲也: 金スタンプってKSKのスタンプかよ
[672.316] (S)jinkun80: イイですね。キム・ダイゴ
[672.523] (S)黒光り肉の: 大兄
[673.068] haniwa09: 左手だけ不器用っていってた
[673.177] son_gokutsubushi: キムアイゴー
[675.661] tarantarantaran: umeCossack
[675.712] (S)daichan1200: 最近そういう物まねもライン危ないから・・・
[677.247] (S)junjamaica: 養子に行っちゃうのかぁ
[677.658] spring__thief: キムさんてめっちゃ多いんだっけか
[681.971] (S)rm_rf__: 小学校んときキム君いたなぁ
[682.017] aranami0: カップケーキが無くなったそうたまんさん
[683.052] maddy2623: カップケーキ懐かしいね
[688.021] tabibitox: カップケーキが無い・・・
[688.365] フﾄ: 田中って感じなのかな
[689.568] (S)n242f45aa: わっかんね〜
[690.605] tarantarantaran: きむひょん 
[691.269] (S)4444446666: ウメちゃんお出かけかい？
[691.559] (S)jinkun80: キム・クンヒョンとかw
[695.294] (S)kobamihiro: ギリ
[696.142] thunderbolt0422: コンプラ包囲網キツすぎるｗ
[698.251] 第四宇宙速度: ライン管理わかんない
[698.322] smssssss: マシュマロやらんの？
[702.187] (S)jorshika: umeCossack
[703.309] market_fujisaki: なんだかんだスト6もあと1ヶ月やね
[703.609] (S)sistersguitarreplica: ちょいギリっす
[705.368] nengu4u: nengu4u subscribed at Tier 1. They've subscribed for 11 months! 
[707.125] (S)jinkun80: それっぽい
[709.705] べーこん118: 後ろの白い帽子かっこいいねぇ
[709.830] v_harumi_v: ちょっとギリギリかしら？
[711.273] balthazar000: これからお出かけ？
[711.482] tarantarantaran: umeCossack
[714.030] (S)junjamaica: ３日で間に合いそうなの？
[716.776] dalhi: 正規の発音だったから大丈夫
[716.839] (S)黒光り肉の: イムヒョンヒョンもきつくなってきた？
[719.513] tukumi07: ウメさん、スト５はセット間にコメント打ってたらまあまあ読んでもらえてたんですが、スト６は間がなさすぎて嬉しい悲鳴です
[720.876] 黒鼓ぜろ: ウメさんスト６のロビーで使うアバターとかどうします？
[723.197] おにたろう: zero3感覚戻すの苦戦してるかんじですか？
[724.328] 000105: ゴンタさんいればいいけどね
[726.767] son_gokutsubushi: パタポンやらない？
[727.419] diego_ohunabara: umeNirami
[728.957] jigokunonekomatu: トラボ今だぞ
[730.287] momochan6: zero3の練習配信いつやるんだろ
[732.968] ebibadi: エルデンリングやって欲しい
[736.399] maddy2623: 高速クソマロ食いが見た〜い
[738.077] kobi3070: satete9 subscribed with Prime. They've subscribed for 33 months, currently on a 2 month streak! 
[744.271] triton11519: 息抜きに地球防衛軍やろっか
[748.133] market_fujisaki: おお
[749.337] 墾田永年私財砲: 爆速再戦ありがてえ
[749.466] bufuagi: ZERO3のbgm好き
[751.212] tarantarantaran: PrideWingL
[751.934] thunderbolt0422: アバター楽しみ
[753.787] 新福菜館マン: 大貫のアバターですか？
[757.951] (S)gazesd: umeYay
[757.981] v_harumi_v: おおー、候補。
[758.298] こがたん: ゼロ３リュウ対ナッシュって組み合わせはリュウきつくないですか？
[758.520] 黒鼓ぜろ: アバター楽しみにしてます
[759.700] balthazar000: 開店攻めたのに、これからも行くんですか？
[760.970] (S)kobamihiro: ゴンタ、ケンジさんがちゃんと格ゲーやってる様子を見てみたい
[761.170] 第四宇宙速度: でも勝つ？
[763.265] (S)mogetasan: なんか厚着してるけど寒いんですか？
[767.279] サルクモ: なにがキツイですか？
[767.574] one596: ウメちゃんロビーやらなさそう。結局カスタムに篭りそう
[767.953] (S)ババシャツ: しのさんアバター楽しみにしてます
[768.465] thunderbolt0422: ｗｗｗ
[768.967] oimo: www
[770.675] (S)黒光り肉の: 折笠のアバターとか作りやすそう
[771.672] (S)n242f45aa: ww
[771.742] mako6912: wwww
[772.053] (S)仙ニーン: wwww
[772.112] (S)katuo3_: 塊魂の新作が6/1に出るらしいですね、Steam版も
[772.428] market_fujisaki: Wwww
[772.437] 温かいやさむぎ: wwww
[773.412] mamimemou: ｗｗｗ
[773.934] アヘ丸: w
[773.941] aranami0: ｗｗｗ
[774.169] tsubame5204: umeFail
[774.881] niwakanoppo187: ZERO3はコマンド入力かなり早くないとダメな印象ある
[775.534] (S)gazesd: たしかに
[775.883] (S)憂う者の弟子: 引退日に
[777.139] kinakobuta: ますみさんツイートでウメちゃんのことメイウェザーって書いてるからみんなに見つけてもらえてない
[777.430] (S)jinkun80: アバター楽しみです
[778.079] inkgran: アイイイイイイイイイ
[784.573] goozy009: 引退記念日
[785.104] kihiro_bq: 捉え方次第ですよ
[785.478] (S)nitro_7171: sakoShakeAIIIII
[785.960] (S)latenight000: スト6最後のSFL終わったら、大貫アバターおなしゃす
[786.019] ごきげんパンダ: umeCheer100
[789.639] (S)perfecttakahashi: もう大貫アバターのレシピあるらしいね
[795.180] takahashiseigi: 肉の芽植え付けられたマスミさん曰く、ウメ・ブランドー
[795.742] (S)pensador28: LUL
[796.187] (S)junjamaica: かしわぎぃ〜来るなら折笠も呼んでほしいw
[800.019] hato_pizza: えいたさんが忘れたアケコンは回収されたんですか
[800.742] jigokunonekomatu: 塊魂たのしみだねー
[804.997] thunderbolt0422: えいたとのキャンプの話、進展ありましたか？
[808.518] よたーん: えいたさんがアケコン忘れて家でスト6が出来ないからまた呼んでくれるの待ってるって言ってた
[810.034] べーこん118: さみしくなりますなぁ
[811.744] market_fujisaki: まぁ年齢的にもメイウェザーやなw
[815.198] tabibitox: 無意味
[828.157] furu13: そう、久しぶりにやると全然出ない
[828.412] (S)perfecttakahashi: Zero3 はヒトボでやってるの？
[828.563] maddy2623: 超安価でアバター作り直しし放題らしいから気軽にキャラ作っていいみたいですよ
[829.128] サルクモ: なんで？
[830.197] tw_numa: キャラちっさいよね
[831.273] jigokunonekomatu: スト6の一日前に出るから一日遊べますよ
[833.802] (S)jinkun80: スト6までにエルデン終わるのかしら
[836.344] balthazar000: Zero３懐かしいです？
[837.757] (S)junjamaica: えいたのアケコンほかしとこw
[838.350] 温かいやさむぎ: wwwwww
[841.208] バチ0628: 大貫アバターで埋め尽くされたらどうしよう
[848.993] (S)n242f45aa: ww
[850.715] (S)tonyudx2025: hitboxってps5で使えるんですか？
[851.019] (S)wonderhit1: スト６前にZERO3以外の企画まだある？
[851.823] v_harumi_v: レシピあるのね
[853.056] 吉田ジャスティスカツヲ: スト4で止まってる人でもできそう？
[853.302] (S)hotokemax: えいたの腐った女みたいなアケコン忘れ芸の話は笑った
[860.024] ﾃﾄﾗﾝ: やすきちゃんが作ったこくじんアバター完成度高かった
[862.198] (S)仙ニーン: レシピ共有されたらヤバいことなるぞ
[865.229] balthazar000: Zero３全国時代はどこがホームゲーセンだったんですか？
[866.287] (S)BustaRhymes0014: えいたさんの結婚式行けず？
[866.697] tabibitox: ウメちゃんを作った人はけっこういそう
[869.606] market_fujisaki: まぁスト6発売したと思ったら直ぐにSFLやEVOだもんなー
[871.898] mamimemou: ｗｗｗｗｗ
[874.887] 36mgh: ディスポ
[875.131] tw_numa: と、とら
[875.799] (S)n242f45aa: www
[875.890] ブラッドリンク: ウメハラさんスト6擦りたくて擦りたくてしょうがねぇんだろうなぁと想像したら、ニヤついちゃいましたw
[875.960] (S)gazesd: ディスポーザー
[876.189] thunderbolt0422: ｗｗｗ
[876.604] tsubame5204: umeFail
[876.774] (S)EDN3rd: shutofOdoroki
[877.185] 温かいやさむぎ: なるほど
[878.566] right_8: ディスポーザw
[880.005] jigokunonekomatu: T・・・
[880.247] (S)ババシャツ: と、と、
[880.549] FAV_Ryusei: 俺もいきます
[880.658] tabibitox: ディスポ
[881.666] (S)raurakd: ダストシュート
[882.368] thunderbolt0422: 赤味噌どうして...
[882.562] Ceciltaisa: ディスポーザー呼ぶのはキツいな
[883.259] piyopiyomaru555: 旋風脚の着地キャンセル昇竜とか激ムズだった覚えある
[884.199] myaaaaaa123: 前ステしてこいと
[884.618] goozy009: 6はリュウが濃厚ですか？それとも、とりあえず出たらガイル触ります？
[886.163] tw_numa: トラ…
[886.437] (S)latenight000: コス0のやつ欲しいねぇ
[891.315] いちたすいちわ: マサ呼んであげて
[891.669] (S)n242f45aa: トラッシュボックスとディスポーザー呼ぼ
[892.704] takahashiseigi: XのOBクラハシ、zero3のOBウメハラ
[893.158] (S)nitro_7171: ボッシュート
[893.270] njpw2017: ディスポーザのほうが若手でもやってるしな
[893.764] aranami0: そこは呼んでいいんじゃない？無理なら断るっしょ
[894.050] カブトシロ: 喜んでくるんじゃないかな。
[894.890] くまたく: 何なら梨蘭ちゃんも呼ぼう
[895.349] right_8: ディスポーザは、呼んでもいいのでは
[896.333] (S)meeememe: りゅうせいいた
[897.677] maddy2623: ガチくんがそこに行くって言ってたけど本当ですか？
[898.689] (S)ima_son: りゅうせいいたぁ
[898.880] (S)黒光り肉の: ディスポーザーに自我なんて駄目っしょ
[899.315] sei_6: 投げキャラと溜めキャラもほしかったねデモ
[902.401] kinakobuta: 新着動画見ながら雑談したい
[903.621] sakana_twi: でもさ～無職だしさ～
[906.904] まるいとうふ: りゅうせいいたぁ
[908.209] Papapadad: 製品版になっても家に人呼びます？
[908.737] (S)gazesd: 終わんないかもな～
[911.147] (S)junjamaica: えいたのアケコンメルカリ出す配信しよ！
[916.111] jagajaga1943: もうそろそろクリアじゃなかったっけ？
[916.392] pettan_omochi: りゅうせいも行くって言ってるよ
[925.365] kazuya0213: スト6基本無料じゃない時点で終わってる
