[12.660] ねこざけ: おｋ
[354.969] ggtabtab: そいや折笠さんランクマで関さんに轢き殺されてたね
[355.167] 伸手娘: こんにちは 
[357.318] (S)すれいまん: 今日も感謝の昇竜拳
[363.979] (S)hiro_chan: リボもセンシティブ
[367.098] np2np: KSKは結局きたの？
[367.895] 黒猫くん: まずは昇竜から
[368.047] (S)gorogorogorn: とうにょにぃいたあ
[369.379] rt340: いたぁw
[370.503] (S)gfy_twitch: よっとにぃいたあーｗ
[370.788] (S)kani7321: 10万にぃ
[370.951] d_maeken: リボ
[375.138] proajus: 動画は面白いけど生放送は微妙みたいな・・・
[375.626] seirosu: リボだから負けたの10万いじょうだぞ
[376.574] one596: リボがアウトだったか
[376.660] sei_6: ノーモーションの目的はハネたい
[376.986] ランメルモールのルチア: よっとさん面白かったなー
[377.106] foo_twitch: いずれ音を置き去りにする昇龍拳
[387.123] tabibitox: さすがに買った馬がわるい、地雷臭しかしなかったぞｗ
[390.231] hornetyo: 運が普通の人キター
[391.751] chin_56_: あらよっと
[397.064] akiaki0612: やっと落ち着いて練習な時期に入りましたかね？
[402.125] ukiyo55: 関さんマスター行けそうだよ
[403.539] (S)maeda_sutemaru: 全リボはアーカイブ削除やろなぁ
[405.599] spring__thief: 昨日JRA史上最高配当出てたんでしょ？それ当ててたら神だったのに
[406.330] kaigaizei: 運だけだから
[407.433] (S)sakusakuman225: 運で勝つんだから知識はいらんだろｗ
[407.746] wahaha7788: リボ強要切り抜きされる可能性あるからな
[409.251] (S)kani7321: ガチの運ゲーやったのかw
[409.730] echa_pi: 男塾は帽子が引っかかったんじゃなかったかな
[410.804] sahaha213: 普通に一番人気が勝ったの笑った
[410.898] np2np: いうて２番人気でしょ？
[411.135] x_abu_xx: しゅーくんがラウンジ募集してるみたいです
[415.015] seirosu: リボで競馬は消えてしまう
[416.956] erisuk: １０万のクズにいはさっさと配信を始めろ
[418.673] nikukuisugi333: 糖尿にぃおもしろかったな
[418.959] seiji141141: 今日も昇竜から？
[419.567] よっとです: みなさん優しくてありがたいです🥹
[420.016] sussy_int: 運だけはあるから知識は必要なかった
[427.855] sharks_up: それはそれで面白い
[430.810] (S)volta942: まずは昇竜ウォームアップ
[434.312] ちぇんぷる: よっとさん頑張って欲しい
[438.840] (S)You_nari: 運がなかったのはしゃーない
[441.694] (S)sakubou398: シュート募集中か
[443.502] potocki1810: 俺を獲れ最高でした！今日も今日とて配信ありがとうございます
[443.867] 天然ベニテングダケ: ゴルシ事件よりかは金額安いから平気よ
[446.937] (S)sakusakuman225: あれで知識で馬勝ったら面白くなかった
[447.092] (S)シンノ: 昇龍拳 
[447.977] chin_56_: これぇ
[449.105] よっとです: 配信始めたのとtwitterも始めたんでフォローしてください！
[449.203] kaigaizei: 俺を穫れ開催するたびに10万ぶっこみに来てほしい
[449.805] hayama01: ウメさんスト６の対戦前の演出めちゃくちゃかっこよくないですか？
[449.851] (S)You_nari: 27ふんまで！？？
[450.345] chicken_dumpling: shoryken practice
[451.812] セツリ: twitchギャンブル禁止でぐぐったらヒットしたらこれかも
[452.287] urumax999: 感謝の昇竜。ネテロ会長かな？
[453.158] sh1zuku716: 感謝の昇竜
[454.707] x_abu_xx: リボはまじでやばいから…
[455.370] tabibitox: 30分
[457.152] (S)gorogorogorn: 感謝感謝
[457.155] 黒猫くん: 昇竜を見守るいつものジェイミー
[457.425] (S)kani7321: 30分ショーリュー
[458.214] yayuyoyayuyo: ケンのラッシュから打撃→入れ替え 投げ→入れ替え これつまらないとおもうんですけど
[461.459] market_fujisaki: 30分昇竜の時間だおらぁ！
[461.597] (M)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[462.163] (S)mart_00_: 30分！？ｗｗ
[463.718] (S)yuzubox: 感謝の昇龍拳
[463.769] akiaki0612: 今後はとりあえずガッツリ練習配信ですかね？
[463.802] muck_339: ３０分昇竜耐久
[463.847] sahaha213: よっとって名前なのに競艇じゃない所がもうｗｗ
[466.690] 1108044k: ときどのケンが既にかずのこのキャミィに勝ちまくってた
[467.810] lackesis: 僕もやるか
[468.126] (S)You_nari: いんちき？？？
[470.711] (S)hiro_chan: 1時間！？
[474.577] goozy009: ベースと昇竜は大切な日課
[474.963] tabibitox: インチキやないｗ
[475.783] (S)すれいまん: 試される視聴者
[477.482] (S)じゃっこ_: 醤油受け
[478.073] (S)meat114kg: 感謝来たな
[480.282] (S)volta942: 只管昇竜
[481.731] 墾田永年私財砲: ジェイミーは面倒見が良い
[483.739] chin_56_: 有意義な時間
[484.570] tanu_p: 無限ステージ頼む
[485.406] sh1zuku716: ストイックすぎる
[486.505] 体調不良は背中をほぐせ: 俺もやるかな
[486.802] mm_kos: NotLikeThis
[488.735] takahashiseigi: あきらキャミィとももちケン、昨日ほぼ互角でした
[489.152] (S)You_nari: まさに素振り
[489.214] 辛めのジョニィ: 感謝の昇龍拳
[493.269] (S)romamaloico: 呼ばなかった人で呼べばよかったなって後から思った人いますか？
[494.255] いちのろく: 音もテンポもすごく綺麗になってる…！
[494.533] sh1zuku716: うめちゃんベースはどんな感じ？
[496.386] mokumoku_walking: 音を置き去りにした昇龍拳になるまでやるのか
[500.148] 4444446666: また文字見て酔うよ？
[504.763] macaron_machine: どの運指か気になるな
[506.310] bunbun0880: こくとウメちゃんのガヤ配信のクリップ見てかるび爆笑してたね
[507.937] (S)kani7321: umeMezame
[515.183] (S)You_nari: ベースで指動くようになってるのかしら？
[520.560] (S)yuzubox: ｗｗ
[521.017] mashe1748: ベースは課題曲みたいなのあるの？
[522.874] uyo4442: 昇竜拳と同時間
[523.703] greentea_bot: 俺を獲れのアーカイブどこでみれますか
[524.501] chin_56_: みないで！
[524.784] Jeakfreet: ｗｗｗｗｗ
[525.529] (S)maya_g01: 見ないで＞＜
[525.945] (S)inu_33: みないでええええ
[526.899] piyopiyomaru555: karubisDon
[526.998] sharks_up: karubisDon
[527.075] market_fujisaki: wwww
[527.187] (S)sakusakuman225: うめちゃんこんな人だったんだｗｗｗｗ
[527.363] nyarlbini: wwww
[527.453] (S)You_nari: みないで 
[527.628] (S)luaetoile: w
[528.326] aranami0: 見ないで…見ないで…
[529.454] fbhjkl: WutFace
[530.630] muck_339: 予想屋の時は凄く面白かったよ
[530.658] etorit0: ｗｗｗｗｗ
[530.892] 天然ベニテングダケ: ｗｗｗｗｗ
[531.028] jagajaga1943: 別人みたいって言ってたｗ
[531.061] 4444446666: ときすでにおそし
[531.629] (S)きしー: かっこいいうめちゃんでいたい
[531.658] ちぇんぷる: 見ないでwww
[531.739] prototypeie: 乙女
[532.234] 体調不良は背中をほぐせ: みないで！
[532.318] zyangara2: もうウメちゃんバレてるよ
[532.488] (S)ガブリチュ: ゲーム音もう少し大きくできませんか？
[532.802] sahaha213: ｗｗｗｗｗ
[533.426] wahaha7788: あんな人だったんだねって言ってたよ
[533.620] tabibitox: もう遅い、早食いとかもバレてる
[533.664] (S)johndoe6523rp: あれはマジで面白かった
[534.647] arukaratorazu: それは無理だよ笑
[535.209] (S)鯨飲馬食: umeCossack
[535.752] aryupaka: らめぇ見ないでぇ
[536.164] (S)ノア1844: 今チェック中みたいです
[536.250] spring__thief: かるびはまぁまぁウメのクリップ見てるよな
[536.808] x_abu_xx: 見ないです!
[537.273] erisuk: ウメちゃんですら１時間くらいこんな作業してるんだから頑張らねぇとだなぁ
[539.397] latenight000: かるび「これが本来の姿なら、普段人見知りっていうのわかるなー」
[539.447] icyblue1985: やめろっかるび
[539.659] akiaki0612: 毎日少しでもやってるの偉い
[540.866] seirosu: 「詐欺飛び→安全飛び」に変わる世の中だし、インチキ昇竜も別の呼び名にしない？？？
[541.110] market_fujisaki: ウメかじゅシュート、かるび
[541.193] demaekan_: ウメちゃんの真の姿
[541.665] いちのろく: 本当はやばい人って本当だったんだみたいなこと言ってました
[543.514] (S)luaetoile: ほんとに面白かったw
[544.056] (S)yuzubox: 飲むパスタは笑った
[544.872] terry_man630: またやってくれ
[545.025] porukaoruka: かるび「こんな人だったんだ…」
[545.027] (S)muteking510: 大人には秘密があるんや
[545.196] one596: 1万6千人ぐらいみてたやろあれ
[549.549] (S)puripuri19: レバーレスで真空波動の出し方教えてください、出したいときに全く出ません
[551.983] (S)gorogorogorn: ｃｒでウメちゃん知った人には劇薬
[552.265] tanu_p: ｸﾞﾌﾌﾌ
[556.105] TUBE_MAN: ベース配信しないのはノリノリで弾いてる姿を見られるのが恥ずかしいからか
[556.741] (S)You_nari: カルビはウメチャンの切り抜き見て爆笑してるから....
[559.243] chin_56_: 他所行きハラ
[559.285] なまこすき: 早くかるびと邂逅してくれ
[561.312] hornetyo: 秘密が本体
[562.650] market_fujisaki: ウメかじゅシュートに囲まれて育つかるび羨ましい
[565.112] arukaratorazu: めっちゃおもろかったから来週も楽しみ
[570.459] d0nut08: 俺を取れ第二回期待してます、絶対参加します、フォトグラファーです。俺を撮れって言わせます。
[570.772] (M)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[571.237] (S)hiro_chan: 斜めが抜けがち
[571.362] seirosu: karubisDebu
[572.223] fl0kis: 配信チェックするつってもおなるんはどうするかが問題だね
[573.747] 無心に: ミステリアスで売ってるんです
[579.723] 天然ベニテングダケ: 面白格ゲーおじの部分見逃せは無理やで
[581.994] okureiman07: 空耳アワー
[582.014] (S)kani7321: かるびとスカルおもろそうw
[583.053] spring__thief: かるびとは
[583.370] (S)すれいまん: あの状態を引き出せるのこくにいの他に誰が居るだろ
[585.077] demaekan_: とらぼも呼んでね
[585.660] tabibitox: そのスカルにシュートと立川呼ぼう
[586.434] erisuk: こくじんがブチギレちまう
[587.065] piyopiyomaru555: 雪山とコードネームやって
[587.633] (S)けいしゃん: アモアスもおもろそう
[588.993] arukaratorazu: 大須さん？
[591.777] (S)ruca99: 昇竜連発はルーティーンですか？
[592.426] proajus: ギャンブルは人を狂わせるんや
[593.303] foo_twitch: 大須さん呼ぶか
[593.672] seirosu: 大須さんよんでおかなｋっや
[594.425] (S)gorogorogorn: こくとトラボは必須やなあ
[594.682] tosh_gamekids: ぐふふ～どくろだよ～んｗ
[597.255] spring__thief: 大須が・・・
[600.374] TUBE_MAN: 豪傑と写真対決したらおもろそう
[601.115] goozy009: 大須さん司会で
[603.077] maddy2623: どうする？かるびドクロしかださなかったら
[603.573] (S)hiro_chan: 大須司会にしよう
[604.419] akiaki0612: かるびスカルおもろそう
[605.292] (S)Nagare765: ショートカット使わないのか
[605.611] monti370: たしかに雪山おもろそう
[606.198] one596: かるびならワンチャン今ならウメちゃんに1本ぐらい取れるとか言ってきそうな怖さあるw
[606.202] (S)kani7321: 豪傑フロンタル呼んどくか
[610.042] 野々のの: こくの写真集待ってます
[610.600] numb76: これは昇竜の入力を矯正してるんですか？
[611.112] nikukuisugi333: ウメちゃんカメラどうなったん？
[612.176] sharks_up: 昇龍拳の成功率のデータとってる人いないかな
[613.074] 天然ベニテングダケ: ひぐち君が取った写真…
[613.163] higashimurayama: ウメハラ塾にかるびよんで塾生ボコってほしい
[616.133] (S)けいしゃん: CRカップ出た奴ら全員格ゲーマー人狼に出てほしい
[617.225] triskeal: ひぐち"さん"の写真
[617.525] sh1zuku716: 写真ってセンスだとも思ってたけど知識ゲーって知った
[619.138] moto357: 第二回に豪傑が斧として参戦
[619.418] urumax999: 昇竜は２３２ですか？
[621.684] seirosu: 格ゲーのフォトグラファーはもういるから何appealするか難しいぞ
[621.795] (S)pansollo: 大体12Fくらいで出てますね 最速だとどんくらいですか？
[627.897] naien3: ケンのBGMありがとうございます
[629.647] wahaha7788: ウメちゃんメガネつくったん？
[630.261] akiaki0612: かるびさん売れっ子だからなぁ…
[634.979] tabibitox: しゃがみ昇竜
[637.167] (S)hiro_chan: 323
[637.552] TUBE_MAN: 誰が一番ウメちゃんをかっこよく撮れるか選手権
[640.707] (S)susanooh514: umeHotoke
[644.604] (S)You_nari: ガイルのファッションいけてない人の写真
[651.608] (M)(S)gameinntwitch: アーカイヴ公開設定は夜にでも確認します
[652.027] spring__thief: ひぐちも出てもらわないと
[653.032] youtannwasyougunn: こんな昇龍拳してると、膝壊しそう
[653.842] one596: ウメ撮影とかひぐち優勝じゃん
[654.300] macaron_machine: はじきじゃないのか
[660.367] vungo_mr: 個人ゲーム開発者ですが何も思いつかず見送りました…
[665.300] tabibitox: 2Ｐ側のしゃがみ昇竜練習→1Ｐ側のインチキ昇竜→2Ｐ側のインチキがいつもの練習
[668.092] sahaha213: めんおじありがとー
[668.216] valkbebebe: PokGardevoir
[677.061] (S)muteking510: １万回でモダンを置き去り？
[679.898] (S)jazzyjamboree: なにしてんだw
[682.967] TUBE_MAN: ウメちゃん主人公のRPG作って
[686.401] chin_56_: 大問題X
[690.328] sharks_up: 爆弾不発でよかった
[696.304] 天然ベニテングダケ: アイデア浮かびに、散歩とかどう？
[697.964] (S)ruca99: 素人でおすすめルーティーンってありますか？
[699.627] TUBE_MAN: やるよｗ
[700.618] ちぇんぷる: 怖いよ昨今の格ゲー界隈
[701.215] tama_ko: さすがにやるが？
[701.962] なまこすき: 思ったよりヤバい人大集合にはならなかった
[702.483] une3333: やった～ウメちゃんのスト6だぁ
[704.897] dai920: ときめき格ゲーマーメモリアルあったらやりたい
[706.877] すみ___: やらないなぁw
[707.898] demaekan_: なかまがクズしかいない
[708.217] (S)junjamaica: 職業金持ちなるけどｗ
[709.921] 歩歩歩: たけしの挑戦状みたいの作ってよ
[710.835] (S)hiro_chan: ハッタリ力も重要
[711.700] dswlm: さすがに興味あり
[713.199] (S)echizen2000: ウメハラマンガが成立するならいけるぞ
[715.800] sahaha213: 異世界転生して格ゲーで世界救うかー
[716.415] BigbossJP: 斧側にしのさんおねがいします
[717.400] goozy009: レベルアップに毎日昇龍拳1000本だぞ
[721.031] mutuizumi: 5神クエスト
[722.116] wahaha7788: 簡単にレベル上がるウメちゃんなんて見たくないよ
[722.664] (S)maya_g01: 詩織ポジやぱウメちゃん？
[725.793] mifune1046: ウメちゃんが一般人なら「俺を獲れ」出場してました？
[726.761] fl0kis: そろそろストリートファイターにウメハラってキャラ実装するでしょ
[730.367] (S)hiro_chan: 大海原悟のゲーム作って
[733.663] latenight000: ウメさんの仲間全員足引っ張る行動しかしないとかだったら笑う
[734.868] zackz_fair: ウメハラさんこんにちは。本日猛暑日ですが体調大丈夫ですか？
[735.725] sharks_up: ちゃんと完成させられる人なら期待できる
[735.784] (S)kogejirou: 地主のヌキが仲間になったら勝ち
[740.965] (S)You_nari: 大海原悟
[741.013] seirosu: しのさんも呼んでおいたほうが話速そうは思った
[743.038] (S)kani7321: 出てなさそう
[744.257] (S)~MISSING_COMMENTER_INFO~: ウメハラさん 今日のエアコンは何度に設定していますか
[744.290] mikaze0001: 格ゲーマー殺人事件みたいな推理ゲームおもしろそう
[744.535] (S)もちづきたろうさん: こくにいが魔王枠？
[744.717] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[746.891] jambotanishi: おばあちゃんに500円もらって毎日ゲーセン行くゲームになりそう
[747.438] hayama01: とりあえず最初の仲間は川村君
[748.578] tama_ko: ウメちゃんの配信見ながら俺獲れのアーカイブ復活待つよ
[748.973] ランジェリーバード: ケンの声消せないの？
[755.224] proajus: ウメちゃんは主人公の親友で好感度教えるタイプ
[755.765] なまこすき: 若い時のウメちゃんでも？
[756.733] (S)You_nari: そういえばそうか
[758.382] 歩歩歩: しのさんは外国にいるからすぐ呼べないの
[758.903] okureiman07: 斧側もっと人増えるんじゃない？
[762.389] sh1zuku716: 出る必要ないってこと
[766.522] vungo_mr: ケンの声消せは草
[767.907] wahaha7788: 俺はとられたに出よう
[769.173] kaigaizei: どのタイミングかにもよるだろうな
[770.756] boco_gaming33: 俺は獲られた
[773.147] 海のカツオ: 第2回はいつですか？
[774.542] takahashiseigi: 知り合いが、専用運転手で応募しようか迷ってました、止めましたw
[776.965] セツリ: 醤油受けってコメントのせいでそれにしか聞こえなくなった
[778.111] (S)きしー: うめちゃんってどの業界でも成功するタイプ？
[779.044] latenight000: 俺クラスになると見つけてくれる、まぁ長いこと掛かったが
[790.995] gondawaragon: 初心者がマスターまで行ったら次のキャラ触るのと一つのキャラ触り続けるのどっちが強くなると思いますか？
[793.239] mikaze0001: KSKいるしな
[793.517] valkbebebe: 醤油受け所有権醤油受け所有権
[797.709] mifune1046: 既に見つけられてるか…意味のない質問ですみません
[797.885] oleo0227: 格ゲーするのに最も最適な気温って何度なんだろう
[799.413] kurare2020: 梅原さんが次でる大会はいつの大会ですか？
[800.100] icyblue1985: KSKが居るしな
[801.528] (S)You_nari: ウメチャン苦労してるからな、、、
[802.180] 天然ベニテングダケ: 運転ならksk上手いしなぁ
[802.853] 歩歩歩: 歩くの大好きなウメハラに運転手は弱いわ
[805.388] monti370: そんな人いないと思う
[806.273] demaekan_: そば屋クビになるしね
[808.607] momiji4431: 次回は斧増やす予定ある？
[812.233] latenight000: 超特化型タイプ
[813.470] higashimurayama: コンビニバイトあとりあえず成功しなかった
[813.656] 10orq: 第一回も終わってないしね
[814.048] (S)hiro_chan: ケースバイケース
[814.080] おにくま: どのジャンルが1番苦手なんですか？
[815.054] sh1zuku716: コンビニ・・
[817.761] oinari6: コンビニ店員無理だもんね
[826.490] hayama01: ウメさん仮にディズニースタッフ的なものをやるとして何日持つと思います？
[826.658] hotaro2018: てか仕事ってそもそも相性でしょ
[827.341] oleo0227: 小野、見てるか？
[830.150] tama_ko: ちなみに今昇竜拳はどの入力でやってます？
[830.773] zackz_fair: バイトとかは沢山やりました？
[831.101] rt340: にゃん師とか良さそう
[836.367] sh1zuku716: ｗｗｗ
[839.135] (S)きしー: やってほしい
[840.322] (S)You_nari: しゅーる
[841.567] 天然ベニテングダケ: 斧に腕毛は良さそう？
[841.684] rurururu428: もっとサブカルチャーまで
[841.802] jigen0104: www
[847.489] castle_009: 俺を獲れってアーカイブ無いのかな？
[848.710] セツリ: 0.3斧
[849.592] sahaha213: 斧型の札作るのはどう？
[851.823] (S)johndoe6523rp: 想像して吹いた
[854.061] icyblue1985: 0日
[857.450] fl0kis: じゃあ立川が斧になる可能性もある訳だ
[857.549] mutuizumi: 変顔でクビ
[858.951] おじキッズ兄: ホーンテッドマンション向いてるぞ、笑わなくていいから
[859.010] (S)volta942: ひよこのオスメス仕分けは？
[859.087] たぬきとジャブ: 斧側にfpsプレイヤーとか呼びます？
[859.091] chin_56_: ウメハラミッキー
[861.652] castle_009: ありがとうございます
[862.096] (S)You_nari: 今諸事情で消えてるけど確認中らしい
[862.154] (S)hiro_chan: 格闘家になりたい人枠の斧にジョビン
[863.398] seirosu: USJにマリオエリアあるし、ストリートファイターエリアもできて呼ばれるかもよ
[863.748] tanu_p: スタッフ...?
[866.080] (S)dalhi: 出口に向かって服脱ぎながら帰りそう
[867.084] zackz_fair: ディズニーのキャストは1回体験してみたい
[867.310] (S)gorogorogorn: 逆にＫＳＫさん斧側はどう？
[873.650] urumax999: ヒット確認の時って何処見てます？
[878.788] (S)junjamaica: 今回ＫＳＫシノギ臭しなかったのかな
[879.631] valkbebebe: ディズニーにスタッフなんていないよね？...
[880.582] monti370: ブラックファンタジーやで
[884.116] erisuk: ツイッチってギャンブルにかかわる配信ＮＧなのはガチなん？
[885.517] sahaha213: 自己破産まぁまぁいたな
[886.788] (S)yonkine: SFLのガヤ配信も今見れないです？
[887.217] beastbeast: さっきの振り返りもアーカイブない
[887.829] 日本語かな: しのさんの審査って最後なの？それともはじめにやってる感じ？
[890.998] sh1zuku716: ksk金無いのに斧出来ないだろｗ
[891.047] mako6912: 斧で浜村さん来て欲しいわ
[896.939] mu_chan: SFLどこのチームが強いと思いますか？
[902.004] (S)hiro_chan: kskさんは叩かれるから嫌って言ってた
[903.417] okamasa456: 金出せないと斧の意味ない
[905.088] one596: ガヤはこくのチャンネル
[908.352] okureiman07: そういえばときどがYouTube移行するみたいね
[908.597] taroumaruh: 借金持ちで金だせないのに斧側はさすがに？
[915.726] waiten8888: 次回あるなら参加したいです
[917.914] akiaki0612: その前の配信も消えてましたが、チェック入れるようになったのですかね？
[920.544] shellfish55: 魚群じゃない？
[920.781] medamaoyabun: 魚群
[921.412] latenight000: まだわからないからねぇ
[924.210] mifune1046: 「予想屋」はめちゃくちゃ笑いましたw
