[35.791] tarantarantaran: umeYay
[110.001] cafe_gondo: 引いてるｗｗ
[110.235] mako6912: 封筒www
[110.546] アベ0206: 相当
[110.604] ~MISSING_COMMENTER_INFO~: えいたにギャラよろしく
[110.853] くろき: ？
[111.092] tama_zx61: え？
[111.168] れく太: 誠意が？
[111.282] nihonsyu_: 5枚か10枚かｗｗｗｗｗｗ
[111.698] illJusco: おいおいおい
[111.943] wankoro_moti: 反応がｗ
[111.983] ミジンコ隊長: うおおおおおおおおおおおおおおおおおおおおお
[112.192] HirocoT: えｗ
[112.598] np2np: 封筒がやばいか？
[112.771] madahaya: ガチかｗ
[112.892] Coedawg: naru04Uooo
[113.089] (S)hiro_chan: 金運あがります！
[113.330] egatyan: アマギフ？
[113.508] kaigaizei: 封筒開封
[113.607] maa_skk: 封筒ぜったいそれか
[113.738] friendbakery: 大金やろ
[113.828] v_harumi_v: ？！
[113.879] yuuubin: 50くらいいったか！？
[114.026] ilm0806: すげえ 誠意？？？
[115.874] fuku_hiro: 分厚かったからなぁ
[116.237] iguchiill: はじめてみたｗｗ
[116.441] tabibitox: 誠意すごいな
[116.664] thunderbolt0422: マジか！？
[116.857] げろげろまる: 50行ったか？
[117.223] yut7xot8: ？？？？
[117.842] wakky1114el: ｗｗｗｗｗ
[117.855] metalmomonja: 封筒 封筒
[118.132] potocki1810: どんな封筒だったのかな❓️
[118.354] necomuraneco: ゼウス？
[118.445] rindy08: 帯？
[118.583] みそらーめん: 何人？
[118.605] ohigekujira: そんなに？
[118.754] 何も知らないジョンスノウ: 分厚かったもんなw
[118.774] anaguma3: 10枚だろうねぇ
[118.901] inkgran: えぇ
[119.087] balthazar000: 封筒やめとけって
[119.494] suginaka56: そんなえぐいのか
[120.456] くろき: 束？
[120.695] rm_rf__: 10枚はあるな
[120.940] nitamago33: １００入ってそう
[120.986] ancehutn: こわすぎｗｗｗ
[121.450] nikukuisugi333: 1センチある？
[122.324] peperon17: ガチのしのぎｗｗｗｗ
[122.710] TUBE_MAN: めっちゃみてぇ
[123.006] lm312v04wo: 贈与税にひっかからないの？
[123.035] thunderbolt0422: アカンて
[123.693] gorogorogorn: 引くのやめなｗ
[123.767] usitora707: 誠意すごそう
[124.285] hukohuko: また封筒wwww
[125.164] buretan555: 紙テープでくるまれてるやつか
[125.823] myaaaaaa123: これなんなんだよｗｗｗｗｗ
[125.888] porcupinepine: やっぱアタリヤが最適解か？
[126.250] momochan6: どうしたの？ｗｗ
[126.706] yukke85: 初めて見る！！？
[127.419] krs3737: あかん
[127.516] tomitakun: 100?
[127.858] aranami0: ｗｗｗｗｗｗｗｗｗｗ
[127.958] lucita_lapita: 逆に怖いなw
[128.260] feel2525: ｗｗｗ
[128.280] mako6912: 悪い笑い声が
[129.202] ~MISSING_COMMENTER_INFO~: やくｗｗｗｗｗｗｗｗｗ
[129.337] アベ0206: ｗｗｗｗｗｗｗｗｗｗｗｗ
[129.787] enuemu3: 特大の誠意
[130.914] ukiyo55: 結構厚かったな
[131.480] kaomoji3: はじめてみたぁとな
[132.282] 5don: ｗｗ
[132.470] fahmy0825: Old man energy coughing while laughing lol
[132.865] chin_56_: ウッフウっフ
[133.177] ayataka33: 何人います？
[133.201] tabibitox: 帯じゃね？
[133.394] thunderbolt0422: 誠意
[133.411] redbull_daisuki: 時代劇の悪代官かな？？？
[133.608] enuemu3: wwwww
[136.783] darksiede: それは速かった
[136.832] ~MISSING_COMMENTER_INFO~: プロの売人やんけｗ
[137.031] yoshikawa_yo: ww
[137.071] suzan_star: ジップロックにでも入ってんのか？
[140.198] dswlm: リアクションだけｗ
[140.413] kitori_17: なるほどね？w
[140.979] Esparmansion: ww
[143.385] nihonsyu_: 50いったらヤバイだろｗ
[145.283] 顔面ユッケ: 圧倒的な誠意
[145.744] porcupinepine: パケでいくらって感じだ
[146.737] pondenring0930: ありがたいことです
[147.254] prosciu: 相当いい封筒なんだろうなw
[148.762] maa_skk: あっ・・・
[148.825] rm_rf__: ちょっともう趣旨変わってきてねえかw
[151.002] as6623: 税金掛かっちまう感じ？
[151.662] GelidiumJellyCat: お米券
[153.050] thunderbolt0422: すごい誠意
[153.706] chamomile21: お米？
[154.612] 遼は肉が好き: お代官様かぁ
[155.772] kaigaizei: 大量に見える仕掛けか
[157.603] porcupinepine: おこめ券ｗ
[158.915] (S)hiro_chan: 封筒負けたw
[159.491] そろもん1: 粉？
[160.386] nikukuisugi333: 誠意パンパンだったの？
[161.118] nitamago33: 言っていいんか？ｗ
[161.302] Yaponjin: コレがアレで
[161.493] maa_skk: めちゃくちゃいうやんｗｗｗえいたｗｗｗ
[161.612] tamagon_: ほんとに嬉しそうやなｗ
[162.018] anaguma3: おこめ券ですなぁ
[162.144] げろげろまる: お米券か
[162.232] v_harumi_v: ww
[163.209] yuuubin: 4
[164.288] gokukeshi: ４
[166.016] kitori_17: 越後屋風味？w
[166.131] illJusco: なるほどね
[166.511] れく太: よん？
[167.850] mako6912: 4？
[169.951] shiro_risu01: お米券うおおお
[170.559] アベ0206: 実質金券か
[170.834] ayataka33: おこめ券か
[170.896] porcupinepine: そうそう
[171.216] doomosan: セーフ
[171.588] balthazar000: 商品券
[171.825] feel2525: お米券か
[172.149] taroumaruh: おこめ券あったけぇ
[173.374] kiku1133: お米けんええなあ
[173.541] kaomoji3: 草
[174.646] suginaka56: お米券なら写して
[175.164] momochan6: お米券？
[175.397] illJusco: みせれるやつ？
[176.135] nitamago33: あーギフト券か
[177.464] ohigekujira: お米券か
[177.807] tissuepaper857: いいじゃんね
[177.960] anaguma3: 換金できるんですよねぇ
[178.595] shibaponz: 商品券か
[180.395] shiro_risu01: 安心
[180.619] piyopiyomaru555: ガッカリしてない？
[180.921] toro0524: おこめ犬助かるやつ
[181.577] ~MISSING_COMMENTER_INFO~: 誠意
[182.087] yukke85: お釣り来るの？
[182.272] (S)エメドラ: 金券ショップいくかー
[182.533] nakao1976: すっげー。
[182.716] yut7xot8: シノゲてるね〜
[183.559] Ryotatata: おこめ券ならええやろ
[184.171] njpw2017: 無類の封筒好きがこんなに驚くとは相当珍しい封筒なんだろうな
[187.155] aranami0: ｗｗｗｗｗｗｗｗｗｗ
[187.591] invisible_focus: アケコンバッグめっちゃよかったな
[188.569] スーパー対魔人4: お米農家さんが大喜びだね！！！
[189.191] Yaponjin: え？ｗ
[189.691] peperon17: ｗｗｗｗｗ
[189.719] as6623: ｗｗｗｗｗｗｗｗｗｗｗ
[189.854] feel2525: ｗｗｗ
[190.011] ~MISSING_COMMENTER_INFO~: さっそくパワーきたね
[190.276] gorugoru123: パワー自身ｗｗｗ
[190.452] np2np: ｗｗｗ
[190.566] thunderbolt0422: ｗｗｗｗｗｗｗｗｗｗｗ
[190.715] ukiyo55: ｗｗｗｗ
[190.780] iguchiill: 「パワー」
[190.800] kitori_17: 映してええんちゃうかー？
[192.463] nitamago33: ｗｗｗｗｗｗｗｗｗｗｗｗｗ
[192.538] Coedawg: naru04Doku
[192.716] yukke85: パワーｗｗｗｗ
[192.976] mako_oswald: wwwwww
[193.707] ~MISSING_COMMENTER_INFO~: パワーそのものｗ
[193.711] 5don: パワー自身ｗ
[193.860] feel2525: パワーそのもの
[193.917] enuemu3: wwwww
[194.238] prosciu: パワー自身w
[194.325] balthazar000: パワーチケット
[194.998] hukohuko: これはお米券だからセーフ
[195.150] pooh012345: お米券うつしてー
[195.330] potocki1810: そのものw
[195.603] cafe_gondo: パワーストーン（パワー）
[196.154] kaomoji3: スーパーお米券
[196.258] inkgran: パワー
[197.095] momochan6: ジョビンリスナーすごい人しかおらんのかｗ
[197.256] yuuubin: パワー自身
[198.122] Yaponjin: ゴールドきた？ｗ
[198.776] chamomile21: パワーストーン
[198.951] アベ0206: the power
[199.203] acehirotaka: 夢みたな札束
[199.411] nitamago33: パワーの源
[201.221] ohigekujira: パワーそのもの
[201.231] low_single: 埼玉にぃこんな盛り上がったのに残念だなぁ
[201.600] thunderbolt0422: パワー自身ｗｗｗ
[203.745] pondenring0930: パワーイズパワー
[203.932] ilm0806: ウメチャンパワーやな
[204.670] gorogorogorn: 引き寄せるとかじゃないｗ
[204.860] toro0524: 力そのもの？
[207.666] nyata1234: 今日何人にウーバーしてもらったの？
[210.184] porcupinepine: 寿司は草
[214.407] katsuo73: あれ？復活してる？
[215.762] v_harumi_v: 寿司ってww
[217.109] 顔面ユッケ: ｗｗｗｗｗ
[218.686] アベ0206: kore
[219.488] tansan_cola: 金券は非課税だったと思う
[221.872] buretan555: 王が企画するととんでもないこと起こるなぁ
[222.178] スーパー対魔人4: 美味しいお米でパワーつけてこ！
[224.046] (S)hiro_chan: ありがとうございました！
[224.514] erukima: 一気に東京
[226.652] アベ0206: これハードル爆上がりしてない？
[230.386] suzan_star: switchとゲーセンバッグもいうて10くらいの価値が
[236.552] ミジンコ隊長: ありがとー
[237.990] げろげろまる: これで5件消化か
[238.917] tabibitox: ガチのジョビンリスナーは強いなｗ
[239.665] yukke85: あーそういうのも考えてくれてるのか…
[242.544] haicro_zm: すごかったね
[242.777] hukohuko: 画面止まってる人はリロードしたらええ
[244.563] (S)エメドラ: ハードル爆上がりしたなぁ
[247.463] くういぽ: ジョビにぃありがとー
[248.688] mememe10: ありがとー
[249.879] nitamago33: おもしろすぎる
[254.352] invisible_focus: ジェラルミンケース渡してくる人とか出てきそうだな
[256.684] subaru_bf: :buffering:
[258.382] chin_56_: ブクロサイコー
[259.674] katsuo73: 俺の画面まだ固まってるー、なんでや
[263.108] njpw2017: ジョビナーは覚悟が違うと
[263.511] mack_yy: 池袋だぁ
[268.620] nakao1976: おー。次だ♪ 西池袋 顔出しオッケーす♪
[278.545] ~MISSING_COMMENTER_INFO~: プロレス
[281.834] erukima: 長瀬
[282.748] suzan_star: すごい距離移動するね
[285.054] ナターシャ0083: IWGP
[288.897] あかの: サンシャインのとこか
[289.322] celsior_chan: 池袋なら首都高がいいかも
[289.764] friendbakery: 忘却の空聞くか
[290.193] げろげろまる: 封筒が待ってると思え
[293.352] nitamago33: おお
[294.090] aranami0: すげぇ配信だ
[295.384] takeiteasy55: アラフィフニキ
[298.488] kaigaizei: 何を渡したか後でジョビンがリークするところまでワンセット
[299.610] 黒猫くん: パァン
[300.448] v_harumi_v: おお！
[300.644] erukima: キング～
[301.346] チョコットランド非公式: こくじんのTシャツ？
[303.842] pooh012345: これ今日中に終わるの？
[312.240] shigepedia: ジーボーイズを狩りにいこう
[312.769] mako_oswald: 貰ったカードにサイン書いて渡しとこう
[313.453] kiku1133: 池袋でIWGPのロケの時に加藤あいを見たKSK氏
[313.960] suginaka56: えいたさんの面白いトークで繋いでください
[314.834] triskeal: これ「券」はやめておくべきだったね・・・
[315.006] blackcoffee0821: soushihanKansha
[319.917] iguchiill: ｗｗｗ
[321.861] momiji4431: ｗｗｗｗ
[322.287] TUBE_MAN: ｗｗｗｗ
[325.089] potocki1810: www
[325.630] nitamago33: ｗｗｗｗｗｗ
[325.814] inkgran: 不吉やねｗ
[326.585] enuemu3: wwwww
[326.967] HirocoT: いちいちｗ
[327.463] ~MISSING_COMMENTER_INFO~: 次も封筒期待しましょう
[328.293] sturnzOh: waddup daigo! 
[328.935] hukohuko: www
[329.433] kaigaizei: 引きの強さ
[329.668] morinagasyuya: www
[330.093] ayataka33: もってないねぇ
[331.720] suzan_star: いちいち不吉な男ｗ
[335.490] enuemu3: 呪われてるんだけどw
[336.626] ~MISSING_COMMENTER_INFO~: 総師にィ
[338.796] (S)hiro_chan: おーまいこんぶ！
[340.569] (S)uwamonq: パチンコでもソレ揃えろｗ
[344.400] nitamago33: 逆に持ってるｗ
[344.556] ~MISSING_COMMENTER_INFO~: お菓子！
[347.759] suginaka56: いいなぁ
[353.686] mako6912: お菓子いいなぁ
[359.894] low_single: 2000円分か？
[365.412] NekoPunchKick: 甘じょっぱいの混ぜて食べてあげて
[366.039] Coedawg: yucchoG
[368.793] pooh012345: 映してくれーいｗ
[368.943] 65vr39: ヒ素入り？
[370.468] anaguma3: カレーパンの中に金が入ってる可能性
[370.585] ロンロ: それもいいかもしれん
[374.439] ~MISSING_COMMENTER_INFO~: ウメさんお墨付き
[376.525] emu773: いいなー
[377.823] junjamaica: 無類の封筒好き
[379.620] momochan6: へえ
[380.615] celsior_chan: 水元公園から池袋なら首都高使っったほうが早いかと
[381.601] thunderbolt0422: おいしそう
[382.696] gorogorogorn: ウメちゃんは最後にしよ
[383.132] feel2525: うまそ
[383.332] suginaka56: 美味しいよね
[383.828] yukke85: ７i
[384.346] tama_zx61: ｗ
[385.052] 黒猫くん: そらそう
[385.648] GelidiumJellyCat: うまそう
[385.973] peperon17: 犯人バレバレやしな
[386.274] ロンロ: ｗｗｗ
[386.865] mack_yy: カリにぃは入ってないとみた
[387.828] ~MISSING_COMMENTER_INFO~: まずはｋｓｋさんから
[387.844] hiruanndonn: WutFace
[388.155] softoika: これいいよな
[388.279] suzan_star: オーベルジーヌのやつ？
[389.263] toro0524: カリカリして上手いよね
[389.614] スーパー対魔人4: 毒てｗｗｗ
[389.978] wahaha7788: うまそー
[390.343] クラクラ777: うまそ
[390.457] (S)hiro_chan: その手があったか！
[391.198] 5don: 毒！じゃ！ない！です！よ！
[391.272] ilm0806: 毒見すればええ
[391.274] raurakd: ウッ！
[391.309] nikukuisugi333: 今二個買うと100円引きだよな
[391.340] thunderbolt0422: ｗｗｗｗｗｗｗ
[391.595] メタルぱんだ: ｗ
[391.927] アベ0206: 毒見
[392.837] げろげろまる: 毒見
[393.159] HirocoT: ｗ
[393.304] rxz_2017: ｗｗｗｗ
[393.896] kaigaizei: カレーパンちっちゃくない？
[394.032] ~MISSING_COMMENTER_INFO~: そうだね
[394.482] gorugoru123: 毒見ｗ
[394.738] Yaponjin: 先鋒えいた
[395.601] kitori_17: 順番で
[397.095] tomitakun: あげぱん？
[397.544] v_harumi_v: ww
[397.738] oh_yama329: ｗｗｗ
[397.749] ddb365: 殿様
[397.766] tabibitox: 毒見
[397.801] 万年プラチナ: うまそう
[398.065] Coedawg: 最強の順番
[399.104] hukohuko: カレーパンとおかしでオーマイコンブできるな
[399.519] 泣き虫サクラ: ちょっとした気遣いがありがたいね
[400.191] j_zima: ヌキさんの梅ちゃんは最後で
[400.894] suginaka56: うまうま
[401.782] mako6912: 腹減ってくる
[402.218] taroumaruh: 2人が気絶したらやめとこう
[402.644] tsubame0614: 毒見役ｗ
[402.706] nitamago33: ままま一応ね
[403.374] buretan555: こういうときの肉まんとかうまいんよなぁ
[403.537] raurakd: 遅効性かも
[404.020] momochan6: 遅効性だとどうしようもねえ
[404.622] morinagasyuya: 毒味w
[404.646] aranami0: うまいやつ
[405.334] acehirotaka: それまだ食ったことない
[406.172] chin_56_: ウッ！
[406.312] keiji25nico: KSKさん、さよなら
[408.148] nellright: 完全犯罪ある？
[408.745] くういぽ: カレーパンちっこくみえる
[409.270] pondenring0930: 顔でかいからや
[409.289] egatyan: んまぃ
[409.438] burisuke: burisuke subscribed at Tier 1. They've subscribed for 85 months, currently on a 85 month streak! 
[409.502] (M)Moobot: @BURISUKE with the 85 months re-sub! 
[410.185] 戸愚呂妹: ロシアンカレーパン
[410.934] げろげろまる: 2ライフ捨てれる
[412.691] krs3737: また新しいシノギに
[413.500] gongogon: 最後の取れ高
[414.903] ~MISSING_COMMENTER_INFO~: 御大ですから
[415.774] thunderbolt0422: なんて優しいリスナーさんなんだ
[417.718] nikukuisugi333: めっちゃうまい
[419.607] nihonsyu_: カレーパンは一回温めてから食いたい
[421.124] NekoPunchKick: 大きいのに小さく見えた？
[423.526] prosciu: いい差し入れ
[425.639] celsior_chan: 加平ICから乗ればいい
[425.706] Arcadeghost: THE STAKEOUT 
[428.186] gold_power1969: セブンのカレーパンまじ美味い
[428.925] nitamago33: これもまたシノギ
[433.789] thunderbolt0422: あったけぇ...
[439.462] masabonchicken: ありがたいことです
[441.185] laponta: 食べたことないけどおいしいのね
[441.381] yukke85: 至れり尽くせりすご
[442.109] ~MISSING_COMMENTER_INFO~: シノチャン
[442.370] ハルキ10: シノギズム
[443.207] aranami0: 遅効性か？
[443.817] メタルぱんだ: ｗｗ
[449.083] あさつき教: 普通の方のカレーパンか
[450.406] chin_56_: カリーシノギ
[451.074] junjamaica: カップぬーにぃーのシーフード食った男だぜ？
[456.761] hotokemax: 至れり尽くせり石川セリ
[461.277] (S)redpeppar510: セブンはつよいぜぇ
[463.131] kitori_17: さすがにお腹空いちゃうよね
[463.747] kaigaizei: 痛い痛い痛い！ウメハラに食わされたカレーパンが！
[467.711] 泣き虫サクラ: 小腹空いてるだろの気遣い
[469.960] piyopiyomaru555: レジ横にあるカレーパンね
[471.715] Coedawg: naru04Hifive
[473.482] れんぞね: 今なら2個買うと100円引き
[475.941] 5don: ありがたい
[477.670] gorogorogorn: カレーフェアのやつ美味いね
[482.177] ハルキ10: ありがてー
[492.984] thunderbolt0422: ありがたいことです
[494.806] shigepedia: セブン行って買ってこよ
[497.984] TUBE_MAN: 内カメにしてみんな写してほしいな
[498.357] wahaha7788: 車内いいにおいしそう
[502.207] darksiede: どうなってるの?
[507.214] mack_yy: 今日も生きる
[508.992] chin_56_: 人生逆ウーバー
[509.171] スーパー対魔人4: あったけぇよぉ……( ；∀；)
[509.876] あさつき教: キーマカレーパンの方も美味かったな
[514.165] thunderbolt0422: はやｗ
[517.130] aranami0: 速すぎるｗ
[518.062] nikukuisugi333: 食ってるけーにぃ映して
[519.102] momiji4431: はっや
[519.423] 5don: はやすぎるｗ
[519.757] potocki1810: はややwww
[520.534] rxz_2017: カレー（パン）は飲み物
[521.016] ハルキ10: 瞬殺
[521.284] inkgran: 丸呑み
[522.259] chiyosuke753: 池袋までどれくらいで着きますか？ 何か買って向かいたいです
[522.729] hiruanndonn: ｗ
[523.204] friendbakery: だって？？？？
[523.483] ロンロ: だってｗ
[524.010] nihonsyu_: 味わってないでしょｗ
[524.288] ミジンコ隊長: ないなった
[525.269] suzan_star: よく噛んで食べよ？
[527.232] Coedawg: naru04Nltu
[529.117] onyancoscratch: みたかった
[530.389] junjamaica: もう無類の封筒好きが広まってるのがヤバイ
[530.631] kitori_17: 他2人は遅いからねw
[531.730] thunderbolt0422: たった今、１口目だったじゃん
[533.856] nitamago33: 腹減ってるんか
[534.401] 万年プラチナ: 見せて
[540.207] twitchyarutch: 一時間くらいらしい
[546.888] 5don: 16:48 chiyosuke753: 池袋までどれくらいで着きますか？ 何か買って向かいたいです
[554.390] (S)tibusa8: カレーパンは錠剤
[559.315] pooh012345: 激辛の差し入れ頼む
[559.324] porcupinepine: こういうとこで食う飯いい
[566.377] ビフィダス: 今どこすか？
[577.351] emu773: みんな優しいな
[577.622] celsior_chan: 首都高で45分
[579.704] 万年プラチナ: ありがたいねー
[586.566] nagilay1: 1時間くらいらしいぞ
[587.666] ハルキ10: 温けぇ~
[591.282] 5don: umeYay
[601.579] thunderbolt0422: ｗｗｗｗｗ
[602.347] Pongood: 人が映ってないからかどうでしょう感あるなｗ
[603.132] 我がゴイチ: 草
[607.606] ビフィダス: 水元公園！あざます！
[608.457] ハルキ10: 封筒をね…
[611.965] junjamaica: 焼肉くえなくなるｗ
[615.441] GelidiumJellyCat: umeSalute
[617.424] 5don: 封筒ｗｗ
[619.652] mack_yy: スパチャより現物
[622.222] chin_56_: どもー逆ウーバーでーす
[622.799] cielcloudy248: コーヒー飲みたくなるね
[623.687] celsior_chan: 池袋ならデパート多いからスイーツとかもあるもんね
[625.471] hiruanndonn: FamilyMan
[630.796] nikukuisugi333: あれすごいね
[635.421] taroumaruh: 折笠さんの企画のみこんでこ
[640.790] 泣き虫サクラ: 俺と対戦も出来るよ！もできる
[641.160] HirocoT: VISION復活
[641.543] junjamaica: えいたよりアイデアマンあらわる
[641.831] low_single: ほんまもんの企画生まれた
[643.814] gorogorogorn: けーにぃの背中でやりてえ
[644.885] kkshkk: 封筒か小さな切手を…
[647.349] as6623: 折笠さんの行脚に次ぐ企画
[649.730] anaguma3: 俺より強いやつに会いに行くバック
[655.777] 泣き虫サクラ: VISONはここからはじまる
[657.079] kiichip: 封筒受領シーンはちゃんとカットで
[658.208] ロンロ: 今もわからんよ
[663.066] (S)hiro_chan: モニターはまた別途おくります！
[664.071] low_single: ワンプレイ誠意何枚？
[672.091] wahaha7788: もらいに行くから逆
[674.450] 5don: 別途！？
[674.500] aranami0: ええ！？
[676.105] ハルキ10: 誠意w
[676.318] toro0524: 凄いｗ
[677.500] ilm0806: ウメチャンありきの 逆ウーバやな
[678.056] 万年プラチナ: あったけー
[680.246] 我がゴイチ: すげー
[680.435] keiji25nico: 届けるんじゃなくて貰うんだね
[681.847] momochan6: すごすぎぃ！
[682.772] junjamaica: 無類の封筒好きが広まりすぎた
[683.252] takeiteasy55: 至れり尽くせりじゃねぇか
[684.592] emu773: 太っ腹すぎる
[689.694] 泣き虫サクラ: 第二回目もやらせるのはマジで策士
[689.997] haicro_zm: ジョビナー手厚すぎる
[691.436] mack_yy: Kreygasm
[693.747] 5don: パワーそのものｗ
[694.710] nitamago33: ｗｗｗｗｗ
[695.213] ロンロ: スイッチいれたらいいじゃん
[699.803] redred690: umeZen
[700.536] kaigaizei: ジョビンを推すぐらい人生に余裕がある
[701.709] 猫神寝猫: パワー💪
[701.778] 我がゴイチ: 迫害されてるだけのことはあるｼﾞｮﾋﾞﾅｰ
[702.564] 顔面ユッケ: 素人じゃねえ・・・
[702.849] potocki1810: もうクラウドファンディングしたら3億返せそうwww
[704.848] prawn___: irl do brabo kkk
[706.924] ハルキ10: 力こそパワー
[708.577] 000105: ジョビン野田ときたから吉本の人間だと予想
[714.700] 泣き虫サクラ: パワーストーン（金塊）
[715.156] kaomoji3: パワーストーンではなくパワー
[717.614] akasanz3x: 無類の封筒好きｗ
[720.312] MadEggMania: 封筒好き広まったらこれからも封筒貰えそうだね
[721.007] inkgran: ‘‘パワー‘‘ストーン
[726.870] nitamago33: ジョビナー気合はってんなぁｗ
[736.960] ~MISSING_COMMENTER_INFO~: 次はいくらやろなぁ
[738.301] suzan_star: ETCクレカあるの
[746.306] mack_yy: 雨の首都高配信もいいじゃんね
[747.072] anaguma3: こころなしかKＳＫさんの声が元気になってきた？
[748.517] buretan555: 封筒のスポンサーついちゃうね
[759.365] kaituburi: 正月とかやったらいろんな封筒貰えそう
[759.723] 泣き虫サクラ: お米券させばETC通れる
[760.763] piyopiyomaru555: 雨止んだ?
[768.086] aranami0: 稀代の封筒好き
[776.578] ハルキ10: 誠意がね…いっぱい
[777.489] taroumaruh: 会いに行くだけで封筒がもらえる神企画
[779.900] kaigaizei: 封筒と石をもらっただけなのに
[786.435] nihonsyu_: 【不敗神話】ウメハラPresents、ひき逃げ被害者救済企画「視聴者からバッグに収まりきらないたくさんのお気持ちを頂戴し、はなからこれが目当ての当たり屋疑惑まで出るほど、"持っている"総師範KSK氏による逆ウーバー企画」配信中
[787.508] amaterasdesign: たまらんなw
[789.057] ぐのたお: フートー＆パワー
[790.879] as6623: 一日限定の封筒王
[814.970] ukiyo55: いつか借金返してくれる人現れそう
[819.567] chin_56_: やまない雨はない
[822.106] toro0524: パワー石の効果ｗ
[822.596] buretan555: 王の影響力はあまりにも偉大
[823.974] aranami0: フーリアスほんまｋｓｋ好きやなｗ
[829.535] hotokemax: 封筒王KSKwwww
[830.793] gold_power1969: ナビの下道の到着時間は地雷やでw
[831.448] tenpoint_jp: フーリアスｗ
[833.468] ハルキ10: ksk!ksk!
[861.268] 猫神寝猫: ？？？「道楽で3億払える人と繋がりたい」
[872.306] anaguma3: 確かにナビの下道の時間は魔境ですね
[876.910] kkshkk: 駐車場はね
[878.942] ~MISSING_COMMENTER_INFO~: バーベキュー配信いいね
[881.305] HirocoT: あー、広いですよね
[885.004] onyancoscratch: 肝試しもできそう
[889.645] twitchyarutch: 時間は目安にしかならないね
[893.757] (S)tibusa8: ウメちゃんが生きてるうちに来たいね
[901.164] (S)sinanana1: もうこのハリアーもらってウーバーやればいいんではないかと思えてきた
[903.772] 000105: Dも焚き火好きだから
[906.412] akaao123: kskは休憩しなくて大丈夫なんか？
[906.747] ビフィダス: いいないいな
[909.582] GelidiumJellyCat: し、しないかな
[912.325] as6623: ウメキャンプまだかな
[916.078] amaterasdesign: 稀に謎に盛り上がるよねKsk
[916.853] 泣き虫サクラ: 仕掛ける方ならやりそう
[921.056] 我がゴイチ: 逆ウーバーベキュー
[927.543] suzan_star: 指ちゃん
[928.401] きゃんきゃん: 運気が下がるよ
[930.053] Coedawg: 立川に怒られるけどな
[931.818] chin_bell_: 立川が怒るぞ
[932.357] anaguma3: 200円のしのぎ
[935.064] (S)asksrg: 返ってくる？
[936.753] tomitakun: ｯﾁ
[937.307] (S)redpeppar510: 昔心霊スポット配信やってたよなぁ
[938.148] 泣き虫サクラ: 小銭もしのいでく
[940.120] nitamago33: シノグ
[941.823] porcupinepine: 3億200円
[941.868] burisuke: 返さない２００円
[942.187] ハルキ10: しのいだ
[942.427] shibaponz: お米券通らず？
[944.777] nellright: ハリアーじゃガス代掛かるし無理じゃない？
[945.664] chin_56_: チャリン
[949.928] ロンロ: ｗｗｗ
[950.055] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[950.533] 万年プラチナ: 200借金か
[953.321] toro0524: 貸しｗ
[954.384] ~MISSING_COMMENTER_INFO~: 虚空へｗ
[955.567] ddb365: シノぐねぇ
[956.014] kkshkk: あるあるw
