[10.796] あかの: キター
[248.284] チョコットランド非公式: 自由が丘はオサレ
[250.405] おじキッズ兄: 今日霰降ってきたのに
[251.056] ずんころもち: ま！？
[252.755] tamagon_: 今日も下は半そでですか？
[253.938] (S)めぐみさんだと: 秋葉原行ったことない
[256.610] gaming8898: ここよく通ってたわ
[262.762] 泣き虫サクラ: 東京タワーは通りそうだな
[266.574] (S)4444446666: ゲーセン行ってどーすんのよ
[268.476] 有栖永真: この寒さでも素足クロックスですか？
[276.082] 小室友里: キャッチしかおらん
[278.802] あしゅらキング: 今日は人通り多い方？
[285.545] anzentitai: がさがさ言ってね？
[290.562] konagona_e3gd378934: アキバならウメちゃん知らない人の方が少なそう
[291.196] shingame: 明日はウメはラジオありますか？
[293.260] Ceciltaisa: 人通り割と元通りやね
[294.360] (S)4444446666: 渋谷までで折り返しだぜ 歩くねえ
[305.282] okamasa456: 昔サードが流行ってたゲーセンがあるはず
[311.122] (S)itechmech: 我  只  醉的 拳出
[320.021] sinomori: 自由が丘までクロックスとかバケモノかよ！
[324.450] ぽんです: まずクロックスで歩く距離じゃないｗ
[326.110] mmiiacha: オノデンのCMソング100年ぶりに聞いたわ
[330.749] junichitanaka: 洒落乙の街
[330.801] madawo_: 自由が丘まで約15km、大体3時間半くらいかかるそうです(Google map 調べ)
[330.930] shingame: メイドリーミングの曲笑いましたww
[332.682] (S)dj0d4y4k4: umeSmoosh
[335.818] エスシーハート: まだオノデンの曲は流れてるのか
[336.593] SistemaUno: i want to visit Japan
[340.035] rlngabell: クロックスとか足元寒そう
[347.648] okamasa456: 秋葉原から自由が丘まで歩く発想はなかったわ
[349.212] neogreenlife: 三時間半かー
[349.556] うううぬぬぬ: 雨降ってない？
[354.392] エスシーハート: ウメさんってこの時期でも素足クロックスなのか
[356.728] sombrerovoador: buenos dias Daigo
[362.539] (S)itechmech: だいご どじょ
[363.400] ecell11: 電車でも一時間近くかかりそうな距離
[376.623] okamasa456: 素足？ｗ
[381.145] 泣き虫サクラ: 足に神経通ってないから
[385.647] suginaka56: umeGrin
[390.756] weeep1: 下半身冷気無敵だから
[394.652] prosciu: 足は寒くない、とは
[395.620] rias9121: 格ゲーマー特有の痛覚麻痺
[395.726] sakai_jin2020: 子供は風の子っていうからね
[395.736] ryuto1105k: こんにちは！前にもるとさんになぜもるとという名前にしたのかというと、ウル4のときにもるとさんの友達の実験台みたいな感じで友達の練習台みたいにされていてそこからモルモットが出てきてもるとになったそうです！
[397.828] (S)めぐみさんだと: 冷え性じゃないんだね、いいなぁ
[398.096] gaming8898: まじかｗｗｗｗｗ
[400.845] エスシーハート: 自分も素足クロックスなのでわかります
[402.949] 黒猫くん: 歩きすぎて足が無敵になってる
[403.285] 泣き虫サクラ: じゃんがら行ったら何食べるの？
[404.656] rlngabell: フバーハかかってる？
[405.386] rxz_2017: みんな寒そうだなぁ・・・一人おかしいひとがいるけどｗ
[407.482] madawo_: 足元無敵すぎる
[409.334] enuemu3: ウメさんは下半身無敵
[412.189] okamasa456: 間違いなく寒いねｗ俺は絶対耐えられない
[414.062] (S)4444446666: 大体20時到着くらいか
[414.666] おじキッズ兄: 小学生ならいいよ？
[420.431] (S)v_harumi_v: 本当に素足ですね。
[421.564] よもぎです: 雨止んでるんだ
[425.176] suginaka56: 唐突なもると誕生秘話
[430.530] 有栖永真: もうクロックスすり減って裸足で歩いてる説ある
[432.096] piyopiyomaru555: 足元食らい判定なし
[434.880] APeruvianGuy: Where we going?
[434.935] gettyozi: 20時で近いんかいｗｗ
[436.529] enuemu3: 今日は寒過ぎる
[436.938] (S)nijiojisan: 近い？？？
[437.912] (S)teruharu_: ？？？
[439.347] prosciu: そんな近くはないw
[439.476] Jun_829: え？
[440.740] tamagon_: 3時間半なのに近いってｗ
[442.166] ぽんです: 距離感バグってて草
[442.759] (S)v_harumi_v: そんな近い！？遠いですよ。
[445.807] okamasa456: 近くはないねｗ
[447.826] 泣き虫サクラ: 最短経路で20時着ってだけだぞ
[448.113] 黒猫くん: 感覚がおかしいw全く近くないw
[448.562] gaming8898: 20時で近い…？？
[450.392] (S)teruharu_: 飛脚じゃん
[450.472] renomarukun: renomarukun subscribed with Prime. They've subscribed for 27 months! こんにちは
[450.545] (M)Moobot: @RENOMARUKUNさん、27ヶ月目のサブスク登録更新！ありがとうございます！
[456.238] gettyozi: 狂ってる
[456.804] tawashi00: 秋葉原当たりやん
[458.422] (S)4444446666: 16kmだね
[458.662] enuemu3: 感覚バグっててワロタ
[459.905] kurby301: kurby3Urien301
[461.954] kaigaizei: 今日は音ガサガサしてんな
[463.142] (S)4444446666: しらんわ
[463.979] sstrfd: ルートわからないのやばそう
[465.883] 000105: コメントコンパスはよ
[466.185] (S)itechmech: 2-0
[469.150] おじキッズ兄: リスナビ頼り
[471.284] okamasa456: ？
[476.177] gettyozi: 16ｋｍはめっちゃ近い
[477.397] (S)BaTiTi6969: 3時間で近い？？？？？
[477.837] (S)v_harumi_v: 方向音痴なので道はわかりません。
[478.460] HirocoT: リスナーとの温度差がｗ
[479.037] Wiibal: 犬と散歩してるのかと思った
[481.115] nop64: グーグルマップでルート検索すればいいのにw
[483.650] めがちー: 東京タワーの脇通って三田の方ですね
[483.746] (S)itechmech: 9-2
[485.869] (S)nijiojisan: 徒歩１６ｋｍ＝近い
[487.549] (S)itechmech: 0-2
[487.812] rias9121: 北海道の発想
[488.223] 泣き虫サクラ: まぁ方角は合ってる
[491.885] okamasa456: 16キロは歩けってことでね
[497.712] sinomori: 合ってるけど遠すぎて意味ないw
[498.255] kurby301: Daigo parry 
[499.743] (S)めぐみさんだと: スマホだからマップ使えなかったような
[500.105] 1108044k: ガサガサすごい
[500.556] redemit_hominem: nippon
[502.021] hachipochi: 登山家でも食っていけそうなポテンシャル
[506.729] elmo_s_friend: yyjWiggle
[510.795] gaming8898: ガサガサ音
[512.708] weeep1: どこやここ
[515.425] 泣き虫サクラ: 今は東京タワー向かっていけば正解
[515.603] rxz_2017: 一桁時間は序の口
[515.811] (S)4444446666: 目黒通り都道312号経由が最速で3時間半。20時ごろ到着らしいよ
[518.638] anzentitai: ガサガサやばぁい
[520.245] tawashi00: 秋葉原から自由が丘はやべぇ
[523.401] (S)erisuk: 何かこすってるね
[526.554] mmiiacha: 擦れてる音がするねぇ
[526.992] エスシーハート: 万世橋あたりかと
[527.027] 泣き虫サクラ: やばい程じゃないけどな
[528.013] おじキッズ兄: なんか擦れてる音
[531.844] (S)4444446666: とりあえず浜松町向かいな
[531.948] 黒猫くん: 擦れてる音
[534.298] okamasa456: こすってんね
[538.565] yamayama0520: やすり
[538.914] rias9121: な～るほど それっぽいね
[539.094] (S)めぐみさんだと: ガソリン安いなぁ
[540.647] kurokurro: こんにちわー配信ありがとー
[544.425] weeep1: ケーブルとティッシュが干渉してんのかな
[548.350] (S)erisuk: まぁ風のﾌﾞｳｳｵｵｵより全然問題ない
[551.091] taroumaruh: おりしも折笠さんの配信の時と同じ現象おきてるね
[551.344] enuemu3: なるほど
[560.740] gomesu: gomesu subscribed with Prime. They've subscribed for 32 months! 
[560.789] (M)Moobot: @GOMESU with the 32 months re-sub! 
[570.500] (S)4444446666: 芝公園とか浜松町の方向かってそっから目黒通りぬける感じで歩けば着くよ
[572.420] 黒猫くん: マシになったよ
[574.454] (S)nijiojisan: マシになった
[574.606] (S)teruharu_: いい感じ
[575.342] (S)v_harumi_v: ちょと良くなったかもです。
[575.566] めがちー: Bluetoothマイク…
[575.807] よもぎです: カサカサくらいになった
[576.362] sinomori: 多少マシになった
[577.250] rias9121: ちょっとよくなった
[577.272] (S)erisuk: ちょっと緩和されたからこれで良さそう
[577.476] weeep1: 揺れたときに音してるから様子見
[577.661] okamasa456: マシになった
[578.932] mmiiacha: かなり軽減されたす
[579.144] ほっきょく: お
[579.203] kiraku08: 良くなった
[589.657] (S)めぐみさんだと: ちょっとしてるけど大丈夫です
[591.360] 1108044k: ファサファサ
[592.817] エスシーハート: だいぶ気にならなくなった
[602.879] (S)めぐみさんだと: あ、まただ
[607.946] ほっきょく: やってますね
[611.135] nameless01023: ちょっとマシになったけどまだノイズがある
[616.740] (S)erisuk: 風よりはマシだからさっきのでも良いと思うけどね
[618.273] minimini3223: HeyGuys
[625.072] rias9121: ッケイ！
[626.257] よもぎです: よいです
[627.322] taroumaruh: 解決
[628.419] 黒猫くん: いい感じ
[630.545] 1108044k: かんぺき
[631.051] weeep1: まあ風強くなければ
[631.780] rxz_2017: ガサガサなし！
[633.671] セツリ: アキバで風よけを買うとか
[633.734] 泣き虫サクラ: 風の音はまだしてない
[634.628] 000105: そもそも風がなさそう
[637.645] HirocoT: おｋですー
[640.316] エスシーハート: 今日はそんなに風強くないしね
[640.427] arayama02: 好きです
[647.127] SazaeHair: ガサガサなくなった！
[648.276] enuemu3: OKです
[650.338] (S)erisuk: あとは風さえ来なきゃ
[659.408] (S)nijiojisan: 静かになったよ
[663.609] (S)めぐみさんだと: ガサガサなしです
[675.268] ほっきょく: 秋葉？
[675.397] (M)Moobot: ワイヤレスヘッドセット Cloud ll Wireless 発売！ http://hyperx.gg/3i5czYA
[679.051] arayama02: 都会だー
[680.019] 157655: gori157622 subscribed at Tier 1. They've subscribed for 24 months! 
[680.085] (M)Moobot: @GORI157622 with the 24 months re-sub! 
[683.849] 157655: きたーー
[686.907] enuemu3: 都会ですな
[700.549] ほっきょく: あー雨やんでよあったね
[704.807] 泣き虫サクラ: じゃんがら行ったら何頼むの？
[720.304] cho_mu: umeYay
[721.199] weeep1: 4℃で草
[732.299] 泣き虫サクラ: ぼんしゃんいかないのか
[738.890] gettyozi: さすがやりこんでるｗ
[741.975] Jupiter1207: 今日はさすがに裸足じゃないよね
[745.012] taroumaruh: タレかな
[746.503] (S)将門ゴルゴロ: ウメさん頑丈すぎる
[746.641] mirth31: hello from france Daigo
[746.767] おじキッズ兄: やっぱゴマなんだよなぁ
[752.197] weeep1: タレ
[752.395] madawo_: タレであってるよ
[752.604] ハビー: ジャンガラ以外は食べないの？
[752.861] dswlm: さすがのウメちゃんも今日は寒いでしょう
[756.108] ほっきょく: かえし
[756.675] okamasa456: やりこんでるねえ
[765.807] (S)erisuk: 替え玉は麺メインで楽しむもんと思って何もいれない派
[766.058] Lplp6lkhp: 裸足ｗｗ
[772.605] dswlm: ええ・・・
[773.737] kitsune_margiela: ｗｗｗ
[774.928] taroumaruh: 東北生まれはちゃうなぁ
[778.046] (S)4444446666: 原始人
[779.486] 泣き虫サクラ: 意固地が
[782.170] Jupiter1207: 強靭すぎるｗｗ
[784.040] gettyozi: この気温で裸足で寒くないとかマジ？！
[784.128] セツリ: 雪降っても裸足でいそうｗ
[785.088] (S)BaTiTi6969: ウメちゃんが靴下を履くときはいつなの？
[789.023] okamasa456: 雪降ってもクロックスなの？
[790.408] enuemu3: つええwww
[796.513] rapid_pierrot: カナダより北かな？
[797.674] uridon123: 東京には不可能！
[797.751] dswlm: ヒエエ
[801.504] weeep1: でも雪国でもなければ実際足動かしてたら意外とそんなでもない
[801.532] umesecond: 裸足ｗ
[803.115] taroumaruh: 見てる方がさみいｗ
[806.602] kotatan_twitch: 強キャラ
[810.759] おじキッズ兄: 雪国育ちでも寒いもんは寒いがｗ
[811.413] okamasa456: ｗ
[811.609] 天内崇: ダウンジャケットとか持ってない感じですか？
[812.407] 泣き虫サクラ: 耐寒王も決めろ
[813.704] kitsune_margiela: 結婚式ｗ
[814.195] セツリ: ストリートでははだし
[814.355] (S)めぐみさんだと: ちょうどいい？？？？
[815.491] 1108044k: 南極ならさすがにはくでしょ
[816.760] sunu_p: 痛くならんならいいけど
[822.456] ほっきょく: クーリッシュ凸かなこれはｗ
[826.709] (S)erisuk: 靴下冠婚葬祭男か
[830.311] key_daichi: 靴下＝正装
[831.934] gaming8898: 東北や道民あたりは寒さ耐性強いんやろな
[834.535] (S)teruharu_: 冠婚葬祭ハラ
[835.592] weeep1: 靴下の差し入れきたら履く？
[837.298] 天内崇: ｗｗｗｗｗ
[838.034] おのんスト6: umeCheer100 お疲れ様です！
[838.341] (M)Moobot: Thanks for the support, @おのん (onon58) 
[838.669] madawo_: CPT決勝でも裸足にクロックス？
[842.212] sinomori: リアルに足臭そう
[843.170] okamasa456: ファミマにダウンあればねえ
[845.143] rxz_2017: 家具と一緒にもっていかれた？
[847.225] uridon123: 見当たらないw
[853.655] (S)BaTiTi6969: 靴下は正装なるほどw
[854.080] (S)v_harumi_v: 靴下を履くウメハラさんは、レアなんですね。
[857.479] shige04: 耐寒LV.5
[862.723] (S)4444446666: ダウンジャケットレベルででかいものが見当たらないってどういうことだよwww
[867.517] ほっきょく: 裸足にアケコンをのせそう
[869.761] (S)めぐみさんだと: 引っ越しするんですか？
[869.819] (S)teruharu_: えーらい
[883.757] tora6666: 講演はクロックス？
[887.298] (S)erisuk: 自分だけの問題じゃないからね
[887.730] 1108044k: 結婚式にクロックスででちゃったことある？
[896.002] okamasa456: ハメ〇〇〇では履いてた気がする
[898.145] エスシーハート: 同じ裸足にクロックス派なのでウメハラスタイルと言い張れるな
[899.845] Jupiter1207: ウメちゃんは氷結耐性持ち
[903.033] セツリ: ゲーム部屋つくる？
[910.302] taroumaruh: そういえば散歩企画も物件探しという名目だったね
[916.847] 黒猫くん: クロックスは本物よりパチモンのほうが好きなの？
[918.240] neogreenlife: ダウン着て歩くと体温上がって暑そう
[920.308] 000105: SFLもオフになるしタイミングいいとはお思う
[924.049] no_appetite_22: こういう配信もしてるんだ
[929.260] (S)めぐみさんだと: みるだむのコメント読んで勘違いしてました
[931.381] nameless01023: マフラーや手袋もつけないんですか？
[936.022] shige04: ふーどの新居に凸は？
[940.656] lesxpaulx: 結局引っ越せてないのか？？
[941.229] (S)将門ゴルゴロ: かわむら君しかついていけない
[949.890] madawo_: そもそも手袋買ったこと無さそう
[957.272] latenight000: マフラーや手袋は、女々しい
[959.148] borizoooo: つけるのが嫌なんですよね多分
[961.930] (S)kanasiki_asianboy: 小指が…
[962.115] 000105: 〉
[963.079] okamasa456: めっちゃ寒いだろうな
[963.680] (S)BaTiTi6969: FBBlock
[968.013] enuemu3: 寒そう🥶
[969.396] (S)v_harumi_v: ウメハラさんは手が可愛い
[974.280] 天内崇: カッケェ…
[980.299] gettyozi: やはり一流の人は一般人と感覚違うのか
[984.238] gaming8898: 周りとのギャップ
[985.200] weeep1: 機能不全
[986.156] Jupiter1207: 元々の体が頑丈なんだなあ
[986.329] セツリ: とか言って手袋つけてるんでしょ？
[986.416] (S)めぐみさんだと: 代謝よくて羨ましい
[986.505] kaigaizei: 少しも寒くないわ
[986.623] key_daichi: 王だから
[988.108] enuemu3: 真似出来ないっす
[990.781] madawo_: 確かに個人差こんなにあるの不思議
[991.287] (S)将門ゴルゴロ: 手袋無し！
[991.481] taroumaruh: 平均の体温が高いんだと思う
[991.795] masapaka: マスクしてるからですね
[994.033] borizoooo: エルサなの？
[1000.297] ハビー: また太ってきたのか？
[1002.949] (S)vvvv102: 代謝がやばいとか？
[1003.482] rxz_2017: なんか変な虫でも飼ってない？
[1006.201] エスシーハート: 代謝がいいのかな？
[1007.607] (S)めぐみさんだと: 下半身が強靭だからじゃないかな
[1008.764] (S)v_harumi_v: エルサwww
[1013.144] おすかいと: サナダにぃ
[1013.207] 1108044k: 汗かきやすい？
[1014.718] tora6666: Jがいる網走に面会行っても大丈夫っすね
[1016.825] (S)将門ゴルゴロ: 代謝が良いんだと
[1017.678] MadEggMania: 今から完全防寒してる人はこのあとどうすんだろって思う
[1018.441] prosciu: たい焼き屋って通り過ぎました？
[1021.285] ecell11: 体脂肪アーマー？
[1028.737] b3rg505: ダイゴさん、お元気ですか！ 
[1029.025] 天内崇: Jって網走に居るの？
[1033.738] majin_kato: こんばんわ！
[1045.083] tamagon_: 今日はジンバル無し？
[1048.814] (S)teruharu_: いいことだ
[1049.551] imokun888: umeYung
[1049.556] masapaka: アセーカキ
[1051.362] (S)vvvv102: 電車みえるのいいな
[1056.037] 1108044k: 代謝いいのに痩せないのかｗ
[1057.167] (S)v_harumi_v: 私も汗っかきですが、寒いですよ
[1060.307] kaigaizei: 揺れてるな
[1062.207] セツリ: 確かにちょっと揺れてる
[1064.022] anzentitai: ゆれゆれ
[1064.239] lesxpaulx: 揺れてるねぇ
[1067.211] prosciu: もう神田かな
[1068.896] 天内崇: 少し揺れます
[1070.769] 000105: ケーブルだな
[1078.602] MadEggMania: アル中だ
[1084.799] flashbacks18: umeYung
[1085.285] エスシーハート: 神田か よくまるゲー屋行ったなぁ
[1087.450] kouchan: スロバキアから見てます
[1090.830] (S)teruharu_: なるほど
[1092.351] mmiiacha: 揺れないねぇ
[1095.345] kaigaizei: 揺れんな
[1097.550] gyu_nyuu_pann: こんばんはー
[1101.686] anzentitai: なるほど
[1101.808] lesxpaulx: 揺れてるねぇ
[1103.298] pekusuyada: 体幹効かせた？
[1112.349] 黒猫くん: まあ全部完璧には行かないから
[1112.944] エスシーハート: 落ち着いたね
[1114.064] よもぎです: 日比谷公園と芝公園寄ってく？
[1114.412] (S)4444446666: 揺れて入る
[1117.631] kata_kana_: 一回うめちゃん映してー！
[1118.358] (S)4444446666: 完璧には無理か
[1120.414] tsubame0614: 神田から自由が丘まで歩くのか・・・
[1127.326] despera_lk: もう暗いのか早いなあ
[1129.283] (S)めぐみさんだと: 見られればなんでもokです
[1138.533] (S)BaTiTi6969: ほい
[1142.260] imokun888: ジンバルありでこれならアル中レベルよ
[1143.734] gyu_nyuu_pann: まだ散歩始まったばっかり？
[1155.744] (S)4444446666: 切り分けのウメ
[1155.883] (M)Moobot: レッドブルがアマゾンで買えるよ Get your Red Bull on Amazon! https://amzn.to/3oP9Fcp
[1156.680] ajin2D: LETS GOOO JUSTIN
[1156.935] 1108044k: 揺れない
[1160.232] kaigaizei: 揺れんわ
[1160.921] YuKi__SenSei: hi daigo san 
[1161.122] despera_lk: うーん、あんま変わんないかな
[1162.104] the_xs2490: Hello
[1162.515] (S)4444446666: 上向いてる
[1167.788] prosciu: アキバからスタートで今神田
[1167.855] 壱万円札: ケイ
[1172.549] (S)4444446666: あんま変わらんかな
[1178.100] (S)めぐみさんだと: 良いです
[1181.429] 000105: メンおじに細めのケーブル買ってもらうか
[1191.374] murabito06: 神田きれいになった？ 画面の印象かな
[1194.259] (S)erisuk: フル充電は三歩前に出来ないの？
[1198.277] okamasa456: スロバキア勢
[1199.223] squall_2017: 15km位ですね神田から自由が丘だと
[1204.112] imokun888: あんまり変わらん気がするなあ
[1211.115] sansiki205: 関西から見てます
[1214.286] (S)okaka9999: okaka9999 subscribed with Prime. They've subscribed for 4 months, currently on a 1 month streak! 
[1214.356] (M)Moobot: Thanks for subbing for 4 months, @OKAKA9999 
[1216.152] flashbacks18: 🇸🇰 
[1218.558] lesxpaulx: 自由が丘でなにかがあるのです？
[1219.024] MadEggMania: パチスロヤからみてます
[1222.161] okamasa456: 今日は✖
[1225.540] sinomori: 海老名勢
[1232.264] 000105: iphone充電遅いのがなぁ
[1236.258] junichitanaka: ポーランドから観てます
[1240.475] Sayfr: 🐐
[1248.318] GelidiumJellyCat: 天国から見てます
[1249.084] SeventyTwo_7: 徳島から見てます
[1251.987] (S)4444446666: 目の前の建物から見てます
[1256.506] despera_lk: めちゃくちゃ日本語の名前だけど
[1257.239] Jupiter1207: いま神田で裸足なのウメちゃんだけだと思う
[1258.419] piyopiyomaru555: 登戸から見てる
[1273.424] セツリ: リスナーだけで47都道府県いそうだね
[1276.335] lawson_noswal: 長崎から見てます
[1276.468] (M)Moobot: ワイヤレスヘッドセット Cloud ll Wireless 発売！ http://hyperx.gg/3i5czYA
[1278.768] どんちっち: 武蔵小杉まで来ませんか？
[1279.841] エスシーハート: このまま東京駅から銀座抜けてくルートか
[1282.405] 1108044k: 流石に宇宙から見てる人はいない
[1282.664] binbougachiyaba: さっきまで秋葉原で買い物してたのに…
[1291.393] rxz_2017: トパチャリで、三太郎、sako、餅、チームが出るそうな
[1292.284] ykk19: めっちゃ腹減った
[1294.226] loverou_: 三鷹から見てます
[1302.523] dxhx521234: 藤沢から観てます
[1303.870] yut7xot8: エコー機能はありますか？？
[1315.562] MadEggMania: セルフエコーお願いします
[1317.628] 000105: 同年代チームか
[1324.363] tunnel_hitboxer: 仙台です
[1326.712] ~MISSING_COMMENTER_INFO~: 今日もクロックスですか
[1334.269] (S)めぐみさんだと: 長野からです
[1337.201] (S)v_harumi_v: 武蔵小杉駅は夜景が綺麗ですよ
[1340.785] (S)BaTiTi6969: 熊本から
[1341.531] エスシーハート: 相模原からです
[1342.410] key_daichi: 登戸ノシ
[1346.090] Mendoh: 高円寺から観てます
[1348.654] ~MISSING_COMMENTER_INFO~: 宇都宮で～すｗ
[1353.224] みねた: 群馬から見てます
[1354.534] donnielaud: 0.0
[1355.753] binbougachiyaba: 蒲田
[1360.083] 折原潤: 高崎です
[1364.509] minosan425: 川崎
[1365.226] lawson_noswal: 長崎からみてます
[1365.803] gyu_nyuu_pann: 新宿
[1366.659] miramira_i: 静岡から
[1367.016] neneyyye: 世田谷
[1367.550] SazaeHair: 所沢
[1367.933] majin_kato: 中野でーす
[1368.469] kame277: 町田もおるで
[1369.658] temeknis: 高円寺desu
[1370.487] (S)nijiojisan: 名古屋
[1372.419] 天内崇: 名古屋です
[1373.018] siki323: 茨城県
[1374.678] kata_kana_: 茨城です
[1376.453] ずんころもち: さいたま
[1380.626] tsuba69: 三重
[1383.189] moomin_77: 大阪です
[1384.964] おひとつ: 横浜
[1385.278] yukimelon04: 小岩です
[1390.424] key_daichi: 都内近辺多いんですね
[1393.165] eremin_39: 藤田ニコル
[1395.011] b3rg505: 街は美しいです。 
[1400.755] 000105: なんで近いのにエントリーに来ないのかなぁ？
[1416.069] SeventyTwo_7: 春麗もクロックス履いてるコスありますよね
[1419.208] despera_lk: 藤田ニコルは場所じゃねーんだわ
[1422.853] ~MISSING_COMMENTER_INFO~: このご時世だとねえ
[1427.946] Jupiter1207: 置きニコル
[1439.073] kaigaizei: 話題が人に移る前に置きニコルされた
[1441.800] momotabo: 調布
[1444.443] エイペックス大好き: うちの近くだー
[1446.033] エスシーハート: まっすぐでOK
[1465.031] セツリ: おおおおおおおおお
[1465.984] MadEggMania: マジっすか！
[1466.033] rxz_2017: ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
[1466.739] bunkichi23: おおお
[1466.952] (S)erisuk: ！！！
[1467.447] 戸愚呂妹: おおお
[1468.602] rias9121: うおおおおおおおおおお
[1468.864] tamagon_: おー
[1471.127] yut7xot8: おおおおおおおおおおおおおお
[1472.394] kiraku08: おおおお
[1472.963] kaigaizei: 部外者は部内にいる？
[1473.192] セツリ: 超うれしいいいい
[1473.408] (S)dj0d4y4k4: 久しぶりだなー
[1474.723] 1gochan: 楽しみー！！！
[1474.750] Artemis_Reinhold: evoHeart2
[1475.068] nop64: 何時から？
[1475.299] (S)4444446666: ラジオなし？
[1475.664] 黒ごま塩ン: やったぜ
[1475.859] tamagon_: 誰だろ
[1477.261] rias9121: 召集令状じゃーーーーーい！
[1477.728] moomin_77: わーーーーーい
[1478.522] chikotsu: ありがとー
[1480.969] gunnsou123: やった！
[1481.381] おじキッズ兄: 久々のコードネーム嬉しい
[1482.036] weeep1: トラボここらぞ
[1482.269] (S)BaTiTi6969: SeemsGood
[1483.643] (S)vvvv102: 今日？
[1483.837] gyu_nyuu_pann: やったー！！
[1483.987] prosciu: シュートやりたがってたね
[1485.475] ykk19: コードネーム飽きて来たわ
[1486.368] 黒猫くん: めちゃくちゃ久々やね
