[33.508] (S)クヲーター: わこつ
[68.046] あずきいろ: わこらだ
[68.127] tyan_nabe: わこらだぁ！
[68.219] doledole3: わこらだ
[68.459] kuromandsora: わこらだ
[68.685] しばねこ: わこらだ
[68.698] rikumarun: わこらだー
[68.704] kagerou1918: わこらだ
[68.877] chiru_334: わこらだ
[68.903] ヽ丶: わこらだ
[69.099] (S)しまな: わこらだ 
[69.109] (S)kuwowowo: わこらだ！
[69.110] rairumettoku: わこらだー
[69.113] aya3tori: わこらだ
[69.117] mafry01: わこらだ
[69.135] ponmuuuu: わらこだ
[69.304] tonatona_o: わこらだ！
[69.307] spring_sea0402: わこらだ
[69.352] (S)yuimo_1823: わこらだ
[69.523] 山根: わこらだ
[69.531] saorimu: わこらだ
[69.562] (S)bakura1244: わこらだ
[69.712] (S)イラティ: わこらだー
[69.726] ~MISSING_COMMENTER_INFO~: わこらだ
[69.734] (S)がむ__: わこらだ
[69.738] saki_1216: わこらだー
[69.752] river_1805: わこらだ
[69.760] yuuchan926: わこらだ！
[69.786] のか_: きちゃあああ
[69.931] yozakura0514: わこらだ
[69.932] (S)soi04: わこらだー
[70.173] (S)yukinakomochi: yukinakomochi subscribed at Tier 1. They've subscribed for 4 months! 
[70.413] (S)ぶりゅーねる: わこらだ
[70.465] (S)shiitake0130: わこらだー
[70.572] (S)シヤクナ4897: わこらだー
[70.590] (S)yupe2525: わこらだ
[70.590] (S)yureinoroki: わこらだ
[70.763] rem__09: わこらだ
[70.795] (S)あめたあめ: きちゃあああああ
[70.914] (S)千隼: わこらだ
[72.068] (S)あしややぞ: わこらだ
[72.126] ナイトゥーロビダル: わこらだ
[72.296] maru_aoi: わこらだ
[72.347] (S)dohidoide19: わこらだ
[72.357] さわらぎ: わこらだ
[72.361] (S)美咲林檎: わこらだ
[72.369] kurie0104: わこらだ
[72.383] (S)ramune0920: わこらだ！
[72.486] Yashiki_03: わこらだー
[72.489] rin_2525: わこらだ^-^v
[72.507] (S)yuzuyumochi: わこ！
[72.523] yuzu_307: わこらだー
[72.538] okura______: わこらだ〜
[72.551] shinpaku_: わこらだ
[72.655] (S)hyreina_1207: ﾜｺﾗﾀﾞ
[72.726] こち_8: わこらだ
[72.774] (S)kamiya_ren: radaokunWakotu
[72.809] kinak: わこらだ
[72.852] (S)ずきゅきゅんた: わこらだ
[72.854] yuzz_yuzz: わこらだ
[72.907] awaawa_hiyoko: わこらだー！
[72.946] (S)keeta029: わこらだ
[73.068] bestvinegar: わこ
[73.159] yuzu_1945: わこらだ
[73.196] ragi0117: わこらだ
[73.343] (S)vwxyz2031: わこらだ
[73.349] sinisbi: わこらだ
[73.361] saba_basa_: わこらだ
[73.372] タイなの: わこらだ～
[73.539] (S)もちばし: わこらだ
[73.743] (S)minoto_0312: わこらだ
[73.749] (S)sinann365: わこらだ
[73.753] peanuts531: わこらだ!!!
[73.768] aizvalenstein1: わこらだ
[73.774] (S)sannnami: やたーーーーーーーーーーーーー
[73.782] reirei_1110: わこらだ
[73.795] (S)sunao70_: わこらだ
[73.889] ringo2525_: わこらだ
[73.901] areon2525: わこらだ
[73.903] pecory: わこらだ
[73.925] moka___21: わこらだ
[75.705] rigel_1321: わこらだー
[75.738] (S)spectrum_s14: ワコラダ
[75.784] (S)ぴーやぽう: きちゃああああ
[75.792] 2411115: わこらだ
[75.906] HamuHamuegg: わこらだ！
[76.070] sira_taki_: わこらだ！
[76.116] (S)miloriblue: てんてんてん
[76.120] (S)hisuzuran_: わこらだー
[76.330] chkisaaaan: わこらだ！
[76.331] rakulima_dgvgb_: わこらだ
[76.335] kijibatopeppu: わこらだ
[76.447] (S)mikan_16218: radaokunWakotu
[76.485] SeBurosu_: わこらだ
[76.535] kinokonokonoko814: わこらだ
[76.586] (S)pegasaaaan: わこらだ
[78.291] warazi713: わこらだ！
[78.296] せらな: わこらだ
[78.394] jodan1126: わこらだー！
[78.503] (S)ゆげまる: わこらだ
[78.521] (S)雪都: わこらだ
[78.552] kanade1458: わこらだ
[78.585] あまとう_: わこらだ
[78.588] reikarurin: わこらだ
[78.652] muramasa56: わこらだ
[79.728] あらいぶーん: 新企画楽しみマウンテン
[79.774] (S)arisugar1706: わこらだー
[79.894] shushushu0924: わこらだ
[79.922] kanataww: わこらだ
[79.957] むにゃもにゃ: わこらだ！
[79.958] kujirades1: わこらだ
[79.993] (S)lastma01: わこらだ
[80.081] gumi_tubgumi: わこらだ
[80.104] patrasche_pt: わこらだ
[80.160] iwashi_1105: わこらだ
[80.166] m0g018: わこらだ！！
[80.228] (S)うちこ_: わこらだ
[80.322] (S)はいふぃっしゅ: radaokunWakotu
[80.432] (S)シヤクナ4897: はいどーも
[80.632] (S)arikawamoti: わこらだ！
[80.712] rina1223_R: わこらだです！
[80.870] tamti8: わこらだ
[82.132] nun_2354: わこらだ!!
[82.187] nana_0602: わこらだー
[82.192] sabakan317: こんばんは
[82.213] (S)甘夏0930: きちゃああああ
[82.432] keafuri_71614: わこらだ
[82.433] むん3: わこらだ
[82.639] nonono_2525: わこらだ
[82.829] go_ya5555555: わこらだー
[82.879] itorisiiki: わこらだ
[83.061] annindoufu_tounyu: わこらだ
[83.084] しふぉもこ: わこらだー\( ˆoˆ )/♡
[83.280] 葉巻くん: わこらだ
[83.312] (S)アクシス: わこらだ
[83.502] ネコかも: わこらだ
[83.526] kaito0401: わこらだ
[83.532] Misaki1206: わこらだ
[83.553] (S)みゅまる: わこらだ
[83.558] れんこんまん: わこらだ
[83.674] (S)ゆうの: わこらだ！
[83.731] gw_ab: わこらだ！
[83.770] ki_yan3234: わこらだ
[83.845] thimo2525: わこらだ！
[83.901] ititika: わらこだ
[83.916] r_5rira: わこらだ
[83.916] (S)yumi_0715: わこらだ
[83.926] tekisyutusyuzyutu: 暗くね？
[83.970] akoi_ako: わこらだ
[84.101] ~MISSING_COMMENTER_INFO~: わこらだ
[84.123] aqueeeeeeeeee215: わこらだ
[84.202] AIL_0ks: わこらだ
[84.205] (S)0itimaru: お披露目きちゃあああ
[84.399] gorilllla08: わこらだ
[84.410] (S)alice_0109: わこらだ
[84.437] (S)おいたん45: わこらだ
[84.854] pakuo_: わこらだ
[84.871] (S)ーすいかー: わこらだ
[85.262] apple0703ga: まだ広告
[85.469] (S)シヤクナ4897: radaokunWakotu
[85.490] (S)bontaname2019: わこらだ
[85.494] Ritsu1211: わこらだー
[85.519] (S)sannnami: radaokunNikkori
[85.529] papiko___: わこらだ
[85.561] okaki69: わこらだ
[85.659] (S)ディア_: わこらだ
[85.695] かるめるん: わこらだ
[85.736] nokochanoko_: わこらだ
[85.744] ponzucyan: わこらだー
[85.760] yzx_pro: わこらだ
[85.795] (S)owatativv: わこらだ
[85.803] (S)rarusyi_: きちゃーーーー！！！！！
[85.863] (S)くらいみぃ: kuramuboon subscribed at Tier 1. They've subscribed for 3 months, currently on a 3 month streak! 
[86.125] (S)くいんと: きちゃああ
[86.282] giruodayo: わこらだ
[86.358] 燐だよ: よーし
[86.407] とととろろ: ワコラダ
[86.614] あじさ: わこらだ
[86.627] daigokuyakukai: わこらだ
[86.656] そらたると: わこらだ
[86.829] (S)リライトパンダ: radaokunWakotu
[86.841] kota1225: わこらだ〜
[86.853] curaluwyy: わこらだ
[86.881] (S)dekoboko2111623: わこらだ！
[86.977] 四ノ宮優星: わこらだぁ
[87.028] (S)hatimia: わこらだ
[87.040] マポ酢: わこー
[87.078] teile: わこらだ
[87.122] (S)monburan_0000: わこらだー
[87.160] golem506: わこらだ
[87.266] takiharaaaa: わこらだ
[87.283] (S)ぴーやぽう: はいどもー
[87.329] (S)うめめめめめ: わこらだー
[87.354] tu5ku239mono: わこらだ
[87.409] yuka_drea: わこらだ
[87.794] (S)s1__m: わこらだ
[87.804] Tomohiro127: わこらだ
[87.818] lunaticyuthi: わこらだ
[87.864] soucu_sak: わこらだ
[88.401] yuusuke_sibata: わー
[88.407] (S)かんぱちさん: わこらだです！
[88.603] rou602: わこらだ
[88.603] tunamayo1234: わこらだ
[88.692] kanchan_lion: わこらだー
[88.753] (S)boris94: わこらだー
[88.804] (S)ぶりゅーねる: 期待
[88.822] mirtnb: わこらだ
[89.410] kuroyukidouji: わこらだ
[89.416] (S)i_2ki: i_2ki subscribed at Tier 1. They've subscribed for 4 months! 
[89.591] (S)sky_b340: わこらだ
[89.629] hikarieko: わこらだ
[90.082] (S)chamarunrun0_0: わこらだー
[90.312] coco_0224: わこらだ
[90.316] (S)あでさん: わこらだ
[90.356] sarubanana877: わこらだ
[90.451] (S)Ao_0o0o_: わらこだー
[90.501] (S)夏肆句: わこらだ
[90.527] pipu_bare: わこらだ
[90.599] sou_st: わこらだ
[90.604] masuku0: わこらだ
[90.611] (S)aso_beat: わこらだ
[90.695] (S)yoppi999: わこらだ
[90.762] (S)しおめるぅ: わこらだ
[90.806] omiz77777: きちゃあぁぁ
[90.817] mikan_san: うおおおおおおおおおおおお
[90.822] ponyq_: わこらだー
[90.984] もちもか: わこらだ
[91.105] かなででか: わこらだ
[91.225] neko_mochi_: わこらだ
[91.316] having_harumaki: わこらだ
[91.327] (S)kase_3: わこらだ 
[91.531] hoashika: わこらだ
[91.555] hote3: わこらだ
[91.711] Rum_1412: わこらだ
[91.781] (S)guutyan: たのしみにしてました！
[91.786] (S)たけみーー: わこらだ
[91.930] HamuHamuegg: 初見ですぅぅぅぅ！
[92.068] かびんご: わこらだ！！！！！
[92.137] (S)foxy1003: わこらだ
[92.149] jyacorantan: らだおの配信はじめてみます！
[92.176] matcha46: わこらだ！！
[92.198] こち_8: きちゃぁぁぁ
[92.199] beryl_2525: わこらだ
[92.287] yuuka_0625: わこらだ
[92.332] heibonn0541: わこらだ
[92.348] (S)lastma01: 名前は？
[92.534] (S)rm__chan: わこらだー
[92.601] (S)ゆげまる: いい知らせのやつ？
[92.796] 85nanakusa: わこらだ
[92.908] (S)あおいくらげ風: あおい風 subscribed at Tier 1. They've subscribed for 5 months! 
[92.928] フェネック777: わこらだ
[93.154] soot000: わこらだ
[93.351] rina1223_R: わこらだーーーー！！✨
[93.370] kanthia_: と！いうことでね、どうもみなさんこんばんは、らっ、だぁ、です！ﾋﾟｺﾝ んーね！
[93.520] Gunsei0506: わこらだ
[93.567] (S)つやりん: わこらだ
[93.579] Amag1i: わこらだ
[93.581] kurinezumi: わこらだ
[93.601] miiiichan00: わこらだ
[93.703] kuro_amee: わらこだ
[93.736] honetuki: わこらだ！
[93.802] naryu0929: わこらだ
[93.811] Alpha_5665: わこらだ
[93.836] ねここ716: どもどもども
[93.846] (S)asamin212: わこらだ
[94.003] とゐる: きちゃー
[94.039] (S)futaba_aoi__: わこらだ
[94.084] (S)てと0903: わこらだー
[94.494] (S)rarusyi_: ちゃんとね、化粧してきてるしね！！
[94.536] liber_al_vel_legis: わこらだ
[94.617] catastrophefrost: わこらだ
[94.636] kuromame0749: きちゃぁぁぁぁぁぁーー！！、
[94.662] (S)kitamuuuuu: kitamuuuuu subscribed at Tier 1. They've subscribed for 5 months, currently on a 5 month streak! 
[94.729] あちゃたろうさん: やほ！
[94.769] 仁村: わこらだ
[94.786] (S)ishiha: わこらだ
[94.952] kagerou1918: きちゃあ
[95.262] annko_oishii: わこらだー
[95.321] sinoryo11711: わこらだ
[95.346] (S)すず天: わこらだっだぁ
[95.373] (S)riverfish831: riverfish831 subscribed at Tier 1. They've subscribed for 5 months, currently on a 5 month streak! 
[95.708] ametubu1001: わこらだ
[95.747] (S)いるーじゅ: Cheer100
[95.924] (S)toyn_2057: わこらだ
[95.963] へオン: わこらだ
[96.121] E11yman: テクスチャ入ってないよ
[96.153] Koala_no_Martin: わこらだ
[96.381] remonegi: わこらだ
[96.576] bafarinrin: わこらだ
[96.586] harimikann: わこらだ
[96.587] datekou: わこらだ！！
[96.630] (S)mia_1640: わこらだー
[96.715] bunchaan: きちゃあ
[96.775] kokutenndamashii4000: わこらだ
[96.800] (S)hyreina_1207: radaokunWakotu
[96.936] asa_825: わこらだ
[97.119] hidari_27: ども
[97.160] aiphone10_09: わこらだ
[97.178] (S)れいおん_: わこらだ
[97.355] 海苔820: わこらだ
[97.574] (S)てとてと: わこらだ
[97.742] (S)tairara777: radaokunWakotu
[97.758] (S)テルマエ_オトコマエ: わこらだ
[97.956] zaki14927: わこらだ
[97.977] (S)rekuron379: らっだぁは新企画も作って配信もしてすごいねぇ……
[98.041] shuta7: わこらだ
[98.041] ta_da_no___: わこらだー
[98.766] (S)rrhsmile: わこらだ
[98.790] kota1225: 新企画きちゃあ
[98.971] ponzucyan: お披露目会ってなあにー？
[99.022] (S)rinrin510: わこらだ
[99.097] narukam97087616: わこらだ
[99.521] tekisyutusyuzyutu: テクスチャいれんの？
[99.684] AstRisk2071: わこらだ
[99.767] mgneet5989: わこらだ
[100.011] mamesiba2212: きちゃーー
[100.058] poteti0819: わこらだぁ
[100.227] Fukenn59: wkwk
[100.245] ふろんてん: わこ
[100.314] (S)さゃ: わこつ
[100.678] (S)メザシ: radaokunNice
[100.814] dorinkuba: わこらだ
[100.909] ramensan9: わこらだ
[101.066] agrqua: わこらだ
[101.091] markigurosu: わこつ
[101.152] (S)menatobe: ꉂ(ˊᗜˋ*)ヶﾗヶﾗ
[101.225] シオムスビ: わこらだ〜
[101.282] (S)ぶりゅーねる: radaokunWakotu
[101.285] aka__neko: わこらだ
[101.340] ha_basann: わこらだー
[101.393] 気合い: わこらだ
[101.540] karahiro_128: わこらだ
[101.593] ぱんさく: 初見です!!この企画最高ですね！
[101.640] (S)pikapikamiyabi: わこらだ
[101.750] ginsyu_424: わこらだ
[101.762] (S)chiroru70: わこらだ
[102.356] yutami_pad: 今日も戦犯かましていくんですね分かります
[102.473] (S)yasino1504: わこらだー
[102.680] (S)雪都: 雪都 subscribed at Tier 1. They've subscribed for 5 months, currently on a 5 month streak! 
[102.801] ぷちちゃん: あれ？なんかテクスチャ違う？
[103.018] ruminasu0525: わこらだー
[103.020] st_yomogi324: わこらだ
[103.054] nitroriririritty: はいどーも
[103.150] kgotkgot: わこらだ
[103.579] あや饅頭: わこらだ！
[103.585] neo_2028: わこらだ
[103.799] (S)めるめろん: わこらだ
[104.342] puzz9ra: わこらだ
[104.370] oyayubi__: わこらだ
[104.465] ma_kko: わこらだー！！
[104.523] markigurosu: わこ
[104.536] きゅうけい: ちょうど今Twitterの切り抜きのやつみた
[104.558] kotobuki_twich: 呪鬼みたでー夫婦仲よろしいようで何よりです。
[104.567] ぐるれお: わこらだ
[104.787] (S)peace3511: peace3511 subscribed at Tier 1. They've subscribed for 5 months! わこらだ 
[104.904] tibisuki0236: わこらだ待ってた
[105.363] x_messiah_x: わこらだ
[105.414] maru_aoi: 新企画だー！！
[105.547] beni__k8: まっくら
[105.576] pretami: わこらだ
[105.702] (S)あしややぞ: ちょ今大事な場面だったのに
[105.925] あるにあ182: わこらだー
[106.180] (S)たけみーー: radaokunTyu
[106.385] samibina: わこらだ
[106.904] ryuemu_0615: わこらだ
[106.947] fbi_wasabi: わこらだ
[107.039] きすみさん: わこらだ
[107.465] kiratoragame: わこらだぁ
[107.498] 八百万の神: わこらだ
[107.703] lunaticyuthi: 広告がー
[107.997] (S)ミカヅキモ: わこらだ
[108.152] sa_ch: わこ
[108.222] jin_yuuga: わこらだー
[108.283] chiri_mame: わこらだぁ
[108.357] (S)riko_okansan: わこらだ
[108.516] sarubanana877: わーい
[108.583] aioi011329: わこらだ
[108.720] kagura_kiba: わこらだ
[108.798] 1212456: わこらだ
[109.202] でっく: わこらだ
[109.325] ちゃりドッグ: わこらだ
[109.787] rinn0809: わこらだ！
[110.397] (S)みきな: わこらだ
[110.412] thundergale: わこらだ
[110.683] (S)かんぱちさん: げんき？？？
[110.772] rina1223_R: MrDestructoid
[110.780] mofupero: わこらだ
[110.942] taiyooo: わこらだ
[111.031] seki_5180: わこらだ
[111.192] yodoyoo: わこらだ！
[111.780] laurus_2198: わこらだ
[112.001] redoo_iro: わこらだ
[112.034] matsu_1108: わこらだ
[112.250] jun_ya: わこらだー
[112.393] (S)ぬこ299: わこらだ
[112.437] 離影: Cheer100
[112.534] itsu_12: わこらだ
[113.612] chkisaaaan: わこらだー！
[113.636] みそチョコ: わこらだ
[113.819] kuronoman: わこらだ
[113.844] (S)オーガニック侍: Cheer100
[113.949] aroe117: わこらだ
[114.131] onimaruheddo: わこらだ
[114.212] (S)ran_3127: Cheer100 Cheer100 Cheer1-00
[114.257] wrb_mochimochi: わこらだ
[114.342] mian__n: わこらだ
[114.465] chamaudo: わこらだ
[114.569] i_m_wasabi: わこらだ
[114.698] (S)blue035: わこらだ
[114.730] はやとさん: わこらだ
[114.893] go_ya5555555: 新企画楽しみ
[114.921] mikkenkun0913: わらわら
[114.934] strawberrymacaron1023: わこらだ
[115.317] rinne_____: わこらだ！！
[115.335] 四ノ宮優星: radaokunHeaven
[115.710] hu_hu_mi1011: わこらだ
[115.969] _々: ワクワック
[116.112] aze1228: テクスチャいれないのか？
[116.151] warazi713: radaokunOtu
[116.247] (S)sunao70_: Cheer1000
[116.653] (S)らいらみ: わだこら
[116.676] (S)シヤクナ4897: どーもー！
[116.834] (S)mikan_16218: wktk
[117.188] rem__09: わこらだ
[117.384] (S)mikage110203: わこらだ
[117.390] (S)みきな: kinamo13 subscribed with Twitch Prime. They've subscribed for 4 months! 
[117.398] rena__3678: わこらだー
[117.417] (S)とーもです: わこらだあ
[117.418] crewusss: わこらだ
[117.430] スタフィックシヴ: わこらだ
[117.447] pun_6: わこらだ
[117.952] ryukanext: わこらだ
[118.116] gream0411: わこらだ
[118.185] きなこなこ: わこらだ！
[118.190] kono_ki: わこらだ
[118.197] まむ_: わこ
[118.340] saorimu: すっぴん返して
[118.835] prayer205: わこらだ
[119.057] nagisa115206: わこらだ！
[119.348] 猫ネコ008: わこらだ
[119.704] (S)cha_ti: わこらだ
[119.886] apple0703ga: と、言うことでね！
[119.924] ぐぴぴ: ︎︎
[119.931] mira_rai: わこらだ
[120.099] mamesiba2212: テクスチャ？
[120.146] srsetuna: わこらだ
[120.155] おもて: お
[120.277] (S)テルマエ_オトコマエ: radaokunWakotu
[120.352] あむちゅ: わこらだー！
[120.589] (S)hi_to_0127: わこらだ
[120.681] nebusoku_zz: わこらだ
[120.806] ~MISSING_COMMENTER_INFO~: わこらだ
[120.926] kaito_m_634: わこらだ
[121.281] (S)たらゐ: わこらだ
[121.434] fuyu10_: わこらだ
[121.461] yakitori_ponnu: わこらだ！
[121.650] koamu: テクスチャいれんの
[121.875] Amag1i: テクスチャ違くね？
[122.106] (S)ずきゅきゅんた: きちゃあ
[122.151] nzmsw615: わこらだ
[122.172] (S)シヤクナ4897: イェーイ
[122.579] hidari_27: はいどーもー
[122.592] あやこざ: ついに！
[122.968] melonber: わこらだ
[123.037] あましお: わこらだ
[123.070] neko_mochi_: わこらだ、
[123.258] (S)棄鳥: わこらだ。
[123.274] うずらも: わこらだ
[123.376] taiti117gt: わこらだ
[123.412] yuuuuutaa: わこらだ
[123.578] rock_3102: わこらだ！
[123.842] hamuzawa: わこらだ〜
[124.435] seigenteiri: わこらだ
[124.665] kurisuzu: わこらだー
[124.693] (S)onsen_pengin: わこらだです
[124.791] roosuhamu: わこらだ
[124.809] zaki14927: ついに来たー！
[124.882] muscat_12: radaokunOkane
[124.882] odashi0821: わこらだ
[125.112] marinyan524: わこらだ！
[125.138] (S)gurirabi: わこらだ
[125.140] zyagaimo__: わらこだ
[125.284] kizu0614: わこらだ
[125.329] munimuni_04: 新企画ってマジ？
[125.356] ryuemu_0615: わこらな
[126.241] miharu_tsuki29: わこらだ
[126.361] mitoa_72m: わこらだ
[126.427] venawy: わこらだ 
[126.686] (S)やくぶつ: わこらだ
[126.876] 四ノ宮優星: radaokunHusei
[127.010] aqua_6g7n: わこらだ
[127.118] (S)ぴーやぽう: お
[127.684] Kuu_tamanegi: すっぴんじゃないの？
[127.871] kumi93: わこらだ
[127.923] (S)kero_ppi1: テクスチャ入れてないのね
[128.332] apple0703ga: をい
[128.384] sheepApril: わこらだ
[128.557] ei_okami: わこらだ
[128.779] (S)rarusyi_: お？
[128.902] mamesiba2212: えっ…
[129.195] applecar: わこらだ
[129.405] ginyu_tokusen: スパイダーマンゲームまた配信して
[129.412] oibo_re: わこらだ〜
[129.633] kiratoragame: お
[130.367] (S)kabosuq15: わこらだ 
[130.735] yutami_pad: おぉ(*ﾟ▽ﾟﾉﾉﾞ
[131.008] kanataww: わこらだ
[131.088] riku0572: わこつー
[131.114] なつふか: わこらだー！
[131.360] ryuemu_0615: わこらだ
[131.574] arrow_target: わこらだ
[131.579] みこノ: 新しいやつ！？！？
[131.583] (S)sa8_chan: sa8_chan subscribed at Tier 1. 
[131.615] sutto0221: わこらだぁ！
[131.751] (S)sa_yatooayano: radaokunWakotu
[131.800] (S)kero_ppi1: お？
[131.804] 燐だよ: お？
[131.966] bezella: わこらだ
[132.429] haru_0926: わこらだ
[132.582] ponzucyan: え！
[132.593] (S)そまる: お
[132.649] mono_0114: わこらだ
[132.681] ナイトゥーロビダル: 新企画だァァァァァァァァァァァ
[132.889] 紅葉39: わこらだ
[133.096] ~MISSING_COMMENTER_INFO~: ？？
[133.126] (S)haruuu1031: わこらだ
[133.270] markigurosu: (ｶﾞﾀｯ
[134.120] mahiro25252: わこらだ
[134.139] zaki14927: お
[134.166] (S)lastma01: おお
[134.372] yumiyumi2525: わこらだ
[134.598] ラウコ: お？？
[134.686] (S)みぴょん: みぴょん subscribed with Twitch Prime. They've subscribed for 6 months! 
[134.803] kuromandsora: お？
[135.011] akky4039: わこらだ
[135.012] (S)楓___: お、マジか
[135.094] (S)motuni_day: わこらだ
[135.255] renge_0910: わこらだ！
[135.271] やまちゃん: わこらだ
[135.718] nagirisaro: わこらだー
[135.752] (S)が_じゅ: わこらだ
[135.884] (S)rarusyi_: おおおおおおお！
[135.921] rem__09: お？
[135.952] lunaticyuthi: すっぴん？
[135.957] poteto1x: わこらだ
[135.964] HamuHamuegg: お！！？
[135.965] atya_2525: わこらだ！
[136.100] (S)miloriblue: おおおおお
[136.334] (S)甘夏0930: お？
[136.476] (S)しろくじゃく: わこらだ
[136.546] pe_tabe: おお
[136.744] (S)さくさも: わからだ
[136.796] (S)tomming0714: らっだぁくん。こんばんは〜🌙.*·̩͙.｡★*ﾟ 
[136.829] ponzucyan: かわるの？
[136.969] Fukenn59: ！？
[137.177] (S)salt_w12: おお
[137.282] BENIimo: わこらだ
[137.426] ~MISSING_COMMENTER_INFO~: わこらだ
[137.580] abokado315: わこらだ
[137.649] shiratama_p: わこらだー！
