[16.631] Aelynoth: lirikA
[195.145] 将門ゴルゴロ: スト５ガイル相当稼働して無かったけど大丈夫だったのかな
[196.068] (S)dj0d4y4k4: 発売前に見れるのうれしい
[196.599] Sorachan1144: トパチャン超えるイベントじゃん
[197.293] (S)tetsuwoskt: ももちくるのかー
[197.603] (S)黒魔: だいぶやってねぇなｗｗｗ
[199.458] prisira: 動かなさそうｗｗｗ
[201.028] yutama0502: きたか
[201.139] あやたかたか: 4ヶ月
[201.517] yuhi_N: いらっしゃいませー
[203.037] kinpren: ウーバー？
[204.224] hoehoeR: ガチで卒業してたんやな
[204.357] ヴィヴィ2046: お、きたー！
[204.643] akasanz3x: まるまる4ヶ月だなあ
[205.474] koudou3: オーナー来たか！？
[208.041] (S)れんぞね: だれだ
[212.967] tw_numa: ぴぽぴぽぴぽ
[213.621] librabird: あ、来店の音
[217.686] koro3__: こんにちは
[217.836] BossGorillaaa: んっももち
[218.694] (S)cqc5555: 今日はももちだけ？
[219.049] (S)dorayann: ももち！
[219.520] akasanz3x: ももち以外来ますか？
[219.603] sugarsato_: うおおおおおおお
[220.192] v_harumi_v: ももちさん！
[220.922] ババシャツ: きちゃぁ
[220.948] shifoncafe: 最強来たな
[221.194] kiiiirakila: きたぁぁぁぁ
[221.950] tw_numa: まさか忍びが正面からくるはず…
[222.942] (S)perfecttakahashi: ももち！！
[223.045] ゴン攻め: さっそく！？
[224.264] jtopnbsd: ウメもも見れて俺嬉しいよ
[226.185] bec118_japan: きたああああああああああ
[226.796] krs3737: うおおお
[228.481] 将門ゴルゴロ: ときどさんもよく頼んだね。スパー中に戻ると思ったのかな？
[229.799] akinikuihuku: きたー
[230.786] ludic__: RyuChamp
[232.235] pipitamn: 王と社長
[232.700] bec118_japan: まじでありがとあおおおおおおお
[233.454] (S)れんぞね: 2人きりはレアよな？
[234.613] minimini3223: ウメもも🙏
[234.905] (S)黒魔: 来客ガチャ初手URじゃんねぇ
[236.501] shin_akito: 今日も今日とてゲーセン開店ですね
[237.300] akasanz3x: 少数精鋭だｗ
[239.640] hoehoeR: そいえばいぶし銀と人狼やるんだね
[241.402] rataomecmecbrota: Daigo seu gostoso
[242.210] 墾田永年私財砲: なかよしももち
[243.795] shifoncafe: タイマンなかなかないなー
[244.051] ゴン攻め: 2人きりとかももち大丈夫か？
[245.391] (S)ゆなっこ: こんにちはー！格ゲーマー人狼も楽しみにしてまーす！
[246.247] librabird: なかなかのメンツ
[246.266] matsukaze: 棟梁
[246.278] (S)yamato925925: じゃじぃ君解禁だ！
[246.701] HirocoT: もも、みず、やない、じゃじい
[248.335] (S)tetsuwoskt: じゃじいきたぁ
[256.244] bec118_japan: みたかったあああああ
[257.454] 000105: お笑い担当いない
[257.791] shin_akito: ロケテでガイル最強っつったってまだ半分もキャラ揃ってませんしねぇ
[258.180] akiaki0612: じゃじい、色々あったが頑張れ
[259.213] chin_56_: 玄関から入る忍
[262.620] neon_d99: トパチャンと時間被ってるけど腕毛に怒られない？
[263.327] HirocoT: 楽しみですー
[263.494] tw_numa: 大丈夫？会話できる？
[263.542] (S)perfecttakahashi: じゃじいはなんで謹慎されてたのw
[267.863] たく家: こんにちは
[271.148] spring__thief: ３とは？
[272.116] akasanz3x: さすがのうめちゃんも初狩りできるメンツだったなあ
[272.846] カブトシロ: こんにちは。
[273.810] ガチくんコス転売ヤー: ももち玄関から入ってくるの？
[277.715] chanmipoin: ももちが家に行きたいって言ったんですか？
[278.926] akiaki0612: ガイルはボコボコにされた？
[280.602] (S)nikukuisugi333: じゃじいがんばれよ
[282.509] たく家: この前のベータはやりましたか？
[287.637] 将門ゴルゴロ: ｗ
[288.323] HirocoT: ｗ
[293.657] pekoraa111: VoHiYo
[298.260] (S)Jasminexxx2525: 人狼楽しみだー！
[298.988] ビフィダス: ももちゃんだー！？
[299.136] koudou3: ももちは忍者だから窓からくるよ
[300.057] BossGorillaaa: 覇権配信はじまったな
[300.342] pipitamn: ウメちゃんと石井プロで破壊しそう
[300.641] 将門ゴルゴロ: ウメさんも相当忘れてそうだけどｗ
[301.196] (S)dj0d4y4k4: これは狩りだよ
[301.274] 墾田永年私財砲: ハメやで
[301.278] Ceciltaisa: 王の初狩り
[307.667] cafe_gondo: おはようございます
[310.781] akubi33: akubi33 subscribed with Prime. They've subscribed for 24 months! 楽しみ
[314.929] ビフィダス: カフェさんだ！
[316.878] librabird: まあ、たぬかな的な要因というか…
[319.893] akiaki0612: 次はかずのこ来ないかな
[321.366] (S)2youyou2: お土産持ってくるかチェック
[322.589] がぜじぇいけー: ゲーセンウメハラ開店
[324.001] akasanz3x: らっしゃせー
[324.640] koro3__: ももちがこういうのに参加するのは珍しいのかな？
[325.519] yudedako: 頭領が直々に来ると聞いて
[326.064] kinpren: アマゾンか？
[326.801] tabibitox: だれや！
[329.433] (S)pochefran: pochefran subscribed with Prime. They've subscribed for 7 months! 
[330.618] comment3: 開店
[334.156] librabird: ウーバーか？
[335.254] ババシャツ: 我がももち
[337.190] (S)jigokunonekomatu: きゅうりか？
[337.414] ガチくんコス転売ヤー: ももち話せるの？
[337.787] tw_numa: まさか忍びが正面から来るはずがない
[339.597] dlc84: 頭領？
[340.076] akasanz3x: ももち登場
[343.329] Sorachan1144: ざわ…
[346.698] neon_d99: プロに入ったらとりあえずTwitter全部消すべき
[347.897] Ceciltaisa: ももちは窓から入ってくるよ
[347.899] zinc_carbon77: ももちゃん
[348.473] pipitamn: めっちゃ良いとこすね
[348.666] shifoncafe: うおおおおおおおお
[349.515] ババシャツ: お土産持ってきたかな
[350.235] HirocoT: どんな戦績なんでしょうねぇ
[352.407] (S)しすてむえらー: ザワザワ
[352.741] minimini3223: きたあ
[352.953] (S)tetsuwoskt: じゃじぃ、早めにこういうことになってむしろ良かったんだろうね。リーグ始まった後でなく。
[353.185] (S)yut7xot8: umeCossack
[353.469] akiaki0612: サシはレア
[354.778] tabibitox: メインディッシュから
[355.283] (S)inu_33: 頭領
[355.834] shomarusan: まじでももちウメハラの組み合わせ珍しいな
[356.117] (S)Jasminexxx2525: ももちさん！
[357.043] yutama0502: きたあああああああああああ
[357.711] ゴン攻め: 本物だああああ
[357.916] (S)goto888: クラハシさんYouTubeチャンネル開設してたね
[358.157] いちたすいちわ: 孤高のももち
[358.173] librabird: 正面から来た
[359.133] yukimuko: おお、ついに！
[359.265] BATAKE21: きたあああ
[359.806] akasanz3x: 満を持して頭領来ましたな
[361.055] (S)黒魔: ｼﾞｮｲﾝｼﾞｮｲﾝﾓﾓﾁｨ…
[361.123] (S)koudai715: きたきた
[361.884] ebikatsu39: うおおおおおおおおお
[362.371] 将門ゴルゴロ: きたー
[362.794] (S)nikukuisugi333: うおおおおおおおおおお
[362.955] (S)yamato925925: ももちきたぁぁぁぁ
[363.318] ~MISSING_COMMENTER_INFO~: 格ゲーマーには珍しく時間には割りとちゃんとしてる男ももち
[363.542] (S)gorogorogorn: うおおおおお
[364.252] kosmos5567: うおおおおおおおおおお
[364.472] akiaki0612: ネコ…
[364.487] pipitamn: ももちきたぁ
[364.490] tw_numa: きたぁぁぁぁ
[364.588] mizu0525: uooooooooooooo
[364.988] gettyozi: こんな日が来るなんて
[365.310] jtopnbsd: きたああああああああああああああ
[365.369] (S)Jasminexxx2525: きたあああああああああああああ
[365.753] narakuno69: momochocoOha
[366.024] tachiuo00: きたああああ
[366.043] uguisupan1192: ニンニン
[366.103] (S)れんぞね: きちゃあああ
[366.473] 10kio: このチャンネルにももち出るのってレアすぎるだろｗｗｗｗｗ
[366.944] v_harumi_v: おおー
[367.032] koro3__: ほんとに来た
[368.077] (S)dj0d4y4k4: 覇権コンテンツになっちまう
[368.216] Ceciltaisa: うおおおお
[368.499] hakuchi11: 初手ももちうおおおお
[368.708] sugarsato_: うおおおおおおおおおおおおおおおおおおお
[369.797] spring__thief: なんか違和感ｗ
[369.819] (S)cqc5555: ニヤニヤしてる
[370.906] tw_numa: タイムカードぽち
[371.413] Lplp6lkhp: きちゃああああ
[371.492] krs3737: うおおおお
[371.548] jtopnbsd: 本物！？
[372.176] sakusaku3: すごいなこれｗ
[372.207] bokusatu: ぬるっときた
[373.242] minimini3223: 忍びの者いたあ！
[373.303] あやたかたか: ユニフォームはどうしたももち
[374.175] dlc84: 頭領！頭領！
[374.495] jtopnbsd: にやち
[374.816] HirocoT: ほい
[374.905] いちたすいちわ: ホンモノだ
[374.940] Krizalid99999: wow
[375.277] darisu_k: うおおおおおお
[376.073] jojojo3311: どっちが誘ったんや
[376.192] Ceciltaisa: 大型イベントきたー
[376.852] librabird: やべーぞこの絵面
[377.796] shifoncafe: 二人きりきまずいなｗ
[377.958] ババシャツ: 手ぶらかな
[379.137] 将門ゴルゴロ: 頭領
[379.229] 10kio: 忍者！忍者！！
[379.475] kitkit3: まぢかよ
[379.483] (S)perfecttakahashi: こういうことってじゃじい何があったの？
[379.843] yudedako: ウメもも見れちまうかよ
[382.271] tyapa95: momochocoMOMOCHI
[383.263] takahashiseigi: ももちルークかな
[384.021] odoreminv2: リアルニンジャ！？
[384.421] akinikuihuku: ももちニヤニヤ
[384.998] mizu0525: 最強オーナーきたあああああ
[385.287] chin_56_: デュフ
[385.687] tw_numa: なんか持ってきたか？
[386.710] フﾄ: うおおおおおお
[386.718] Krizalid99999: momochi
[387.107] (S)jigokunonekomatu: やないくんやる気勢
[387.895] sugarsato_: ウメちゃんはユニフォームなんだからももちも着替えろ
[388.417] shuzoz: 15分2人っきり！？
[389.963] triton11519: 今日も繁盛してるね！
[390.517] (S)gorogorogorn: 一番見たかった
[391.033] ガチくんコス転売ヤー: 手ぶら？
[391.245] bunkichi23: 豪華だあああああ
[392.077] (S)yamadatakashi23: umeCossack
[393.456] librabird: 過去ツイート掘られまして
[394.054] (S)dalhi: 「配信してるよ」はいらんこと言うなよの意味ですな
[394.349] (S)黒魔: 「”今は”一人暮らしですか？」…妙だな
[394.449] pepepoon: pepepoon subscribed with Prime. They've subscribed for 33 months! 
[395.231] yotti777: ももちと２人きりは気まずいなｗ
[395.482] (S)perfecttakahashi: ももちきたああああああああああ
[397.444] yutama0502: 超大型格闘技イベントウメももきたああああ
[397.774] prisira: 頭領やっちまってくだせえ！
[399.553] (S)なべを: トパンガに被せてくるとは…
[399.821] takeiteasy55: 本人同士はそんなでも無いんだろうけど、見てると緊張感があるな
[399.861] sei_6: ついにきたかこれがウメハウスにくる最後のチャンスだからな
[400.627] chipstar9: ヌキさんも呼ぶ？
[405.533] minimini3223: ゆうすけなんか話な？
[405.689] Suites_: 気まずいって何だｗ
[405.697] gorilla_osaka: さっそく
[408.160] shifoncafe: ガチスパーやああああああああ
[408.642] pipitamn: ももち結構身長高いよな
[408.798] tw_numa: これは…戦
[409.130] アヘ丸: 裏でスト5起動してない？
[409.146] kinpren: やりますか
[412.549] (S)yamato925925: ももちぃぃぃぃ
[413.065] eremin_39: うおおおおおおおおおお
[413.992] v_harumi_v: ももちさん、こんにちはー
[414.723] (S)jigokunonekomatu: ももちくんきゅうりは？
[414.989] いちたすいちわ: にやち
[415.270] ぢょごぢゃん: umeNirami
[415.431] (S)2youyou2: ももち喋れるか？
[416.250] ebikatsu39: じゃじぃさんはかなり前のツイートがまずかったみたい
[416.469] (S)yut7xot8: ももちももち！！！！！！！！！！
[416.532] sndkzfm1: ももちじゃんw
[416.581] koudou3: リビングザゲーム
[416.714] shin_akito: 「やりますか」
[416.906] akasanz3x: いい絵だなあ
[416.935] あやたかたか: うっわアツ
[417.154] kkkfdf: にやあ
[417.189] Papapadad: うおおももち来たんか
[417.200] akiaki0612: ちなみにウメちゃん自身はももちとは結構仲良いと言っている
[417.239] HirocoT: "01"
[418.027] (S)ごまさんです: 楽しみすぎる
[420.413] sei_6: 道場破りももち
[420.730] librabird: まあ、言葉より格ゲーで語り合うでしょ
[421.385] (S)黒魔: 速攻対戦するのいいね
[422.417] tondemonaiyo: あれももち？
[424.056] koro3__: ももちさんだこんにちは
[424.904] kiiiirakila: これはマジで楽しみすぎる
[425.306] tw_numa: 王の首をとりにきた忍びの頭領
[425.546] Ceciltaisa: 決勝戦始まる
[426.477] (S)れんぞね: デュフってる？
[427.295] chin_56_: 入って５秒でバトル
[427.879] プリズムパワー: 見ない絵面
[428.154] uguisupan1192: ももちに負けたら友達になってあげて
[429.792] ゼンデンおじ: おいおい、これはマスト観覧
[431.556] tabibitox: 店長の座を奪いに来たシノビの頭領
[431.629] shokugo55: ももちきたーーーーーーーーーーーー
[431.729] cafe_gondo: ももちもちももちもち
[432.203] akasanz3x: トパチャンにぶつけてくるかーｗｗ
[432.379] yudedako: ももちのタワマンとどっちが大きいんだろう
[432.462] ゴン攻め: ももち大丈夫か？水飲むか？
[432.805] dlc84: 頭領ありがとー
[432.904] (S)dj0d4y4k4: 1時間くらいタイマン見させてくれんか
[432.941] HirocoT: こんにちは
[433.037] (S)perfecttakahashi: 会話しろよw
[433.884] eremin_39: リビングザゲームなっつ
[434.230] (S)chikotsu: ええやんええやん
[434.407] bluetie9: 100円入れる感覚
[435.039] いちたすいちわ: 喋れるのか？
[435.660] shuzoz: 「………」
[435.855] ogawa3: 金とっていい配信だよなぁ
[436.350] misopotato: うおおももちだーー
[436.821] ぢょごぢゃん: 頭領つよそ〜
[437.500] magoichi_s: ももちー
[437.758] sakusaku3: 何この空気
[437.853] gorilla_osaka: 到着即対決
[439.331] hinokihinoki: この絵面いいな
[441.234] tw_numa: かつてないレベルが来るぞー
[441.630] (S)yamato925925: 久々にウメちゃんボコられるか！？
[443.677] librabird: 格ゲーが会話
[444.757] comment3: 友達の家にいるももち
[446.803] falcanon: こんにちは。
[448.769] aliyome: ウメもも！？
[448.992] sndkzfm1: レア過ぎる
[449.667] triton11519: ついに偲びの頭領が
[450.733] こにし: momochocoMomoji
[451.776] ㅁㄹㅅㅌㅅ: momochi!!
[452.822] apoapo7: ももち緊張してるな
[453.495] shomarusan: ももちつよそうだ
[454.175] shifoncafe: 空気草
[454.841] yougen1124: きたああああああああ
[455.059] pipitamn: ももちは実はすごいしゃべるよ 1人だと
[456.395] bunkichi23: 違和感すげーｗ
[457.121] librabird: こんなん大会しか見たことねえ
[457.212] sei_6: ついにだれが一番強いかきまっちまう
[458.028] zinc_carbon77: 緑カラーのレバーレス
[459.059] ゴン攻め: 01
[459.197] BATAKE21: すげえ絵面ｗｗ
[459.378] ぢょごぢゃん: w
[459.421] tw_numa: ゆうすけ…ちゃんと友達いたんだ
[459.792] narakuno69: momochocoKotaro
[460.268] (S)yut7xot8: ももちょこ！！！！
[460.798] 5don: umeZen
[461.255] comment3: あなたさぁ～
[461.833] buretan555: お～ 貴重なツーショット
[462.720] momiji4431: ももちじゃん
[462.890] yudedako: 店長ボコられるはあるな
[463.083] ババシャツ: ww
[463.828] tabibitox: あせんなってｗ
[463.969] chipstar9: www
[464.022] minimini3223: www
[464.662] nishionn: まじかよ
[464.888] 5don: www
[466.806] gorilla_osaka: ジャンガジャンガジャンガジャンガ
[467.061] ゴン攻め: 緊張してるの？
[467.637] akiaki0612: シルエットが太と細
[467.697] HirocoT: ｗ
[467.849] youchi_ygm: 出会って5秒で対戦きたぜ！
[467.897] tyapa95: momochocoSunechi
[468.497] Ceciltaisa: 焦るなももち
[468.759] (S)SeventyTwo_7: すげー絵面だ
[468.844] (S)dj0d4y4k4: はしゃいでやがる
[469.846] librabird: 大会ぐらいじゃないか？こと絵面
[469.866] v_harumi_v: わくわく
[470.542] yutama0502: スト４以来の画角
[470.730] シミズム: この二人が並んでるの初めて見る
[471.598] (S)perfecttakahashi: w w w
[472.396] (S)ぎゅらん: ゲームがあれば２人きりでも大丈夫
[472.450] (S)2youyou2: はい
[473.406] (S)yamato925925: めっちゃ貴重だな
[473.457] koro3__: 速攻ではじまる
[474.854] ebikatsu39: 動揺する忍び
[475.634] kosmos5567: わくわく
[478.377] chin_56_: ああ焦るな
[478.509] (S)tetsuwoskt: この並び、エモい
[478.823] ガチくんコス転売ヤー: 手元おかしい
[479.349] misopotato: 今日はコンタクトかももち
[483.452] akiaki0612: ももち、うっすらテンパる
[484.069] tachiuo00: ももち～
[484.580] いちたすいちわ: 奇跡の並び
[485.388] renowned_gamer: Yo it's Momochi
[486.122] heppiri: メガネ無しか
[486.260] LogicalDashGG: ももちきてるー
[487.386] librabird: やはりゲーマー
[487.647] (S)Jasminexxx2525: にやにやしてまう絵面
[493.093] Longbow132: Hello guys
[493.790] tabibitox: BNBBN
[494.759] yh_iso: 緊張してる？w
[495.485] izawa2001: サミットって東京でもやるんだ…
[495.994] triton11519: しのびの秘密
[496.797] minimini3223: にやち
[497.275] takeiteasy55: スト5時代はほぼ見ない絵面
[501.302] tw_numa: フーリアス起きろここだぞ
[502.497] Suites_: ・・・
[502.652] sndkzfm1: けいびー…？
[504.702] krs3737: ッケイb
[505.673] Gordstorm: ももちおる
[505.995] agisakun28: 警備員って聞こえて誰かと思ったわ
[506.263] pipitamn: ケイビー慣れなさすぎる
[506.528] ogawa3: Cheer1000
[506.870] (S)ごまさんです: ッケイB
[507.003] いちたすいちわ: スト6は人を繋ぐ
[507.954] TEIKETTO: もももももち！？！？どっちから告ったの？
[508.522] shifoncafe: うおおおおおおおおお
[510.776] yuzubox: 初ももちだｗ
[510.961] (S)perfecttakahashi: うおおおおおおおおお
[512.570] buretan555: この二人が会話してるだけでニヤニヤしちゃうな
[512.839] takahashiseigi: やはりルークか
[513.755] sakusaku3: 背景のせいで別の部屋に見える
[513.994] Ceciltaisa: いってきましょおおおお
[514.721] akiaki0612: 後輩感あるももち珍しい
[515.014] HirocoT: ニヤニヤももさん
[516.503] coconuts3tu: うおおおおおおおおおおおおお
[517.306] gorilla_osaka: にやにやももち
[517.453] (S)Jasminexxx2525: wayaBittu
[518.622] librabird: 俺も警備員に聞こえた
[521.676] tukumi07: なんかレアすぎてやっぱり２つのカメラの映像くっつけたみたいになってない？ｗ
[521.814] (S)黒魔: バンババンでいいっしょ！そのうち戻すよ
[521.991] (S)2youyou2: 我がももち
[522.134] misopotato: まあそのうちなれるさケイビー
[522.157] hitosyura1: うめももうおおおおおおおおおおおおお
[524.432] 将門ゴルゴロ: こういう対戦出来るの明確な日本勢の強みだなー
[525.943] tarami0416: この二人新鮮
[526.182] (S)cqc5555: どきど嫉妬してそう
[527.562] tw_numa: 極大格ゲーイベント勃発
[528.293] tabibitox: フーリアス仕事遅いぞ
[528.546] 吉田じんぎ: 昨日？どっかで対戦してたんでしょ
[529.810] ぢょごぢゃん: 反応スゲ
[535.115] yutama0502: うおおおお
[536.033] sei_6: まずはインパクト確認から
[536.137] (S)tetsuwoskt: 挨拶
[537.085] akiaki0612: いきなりバチバチ
[537.566] nishionn: 見えてるぅ
[539.265] exorcist_nakazaw: いきなり始まった
[545.876] wgoo: 普段音消えてるからわからんかったけど、ももちの打鍵音結構すごいんだなｗ
[547.818] pipitamn: 強そう
[550.704] フﾄ: 最強世代の一人
[552.818] (S)dj0d4y4k4: 聖戦や
[553.705] misopotato: のっけからDゲージ吐きまくり
[559.256] (S)singer_songer: ももちさん来てる！嬉しい！！
[561.425] jtopnbsd: うおおおおおおおおおお
[563.096] shomarusan: 体験版でしか見れない光景なんだろうな
[564.258] yutama0502: やるー
[565.252] tarantarantaran: momochocoMOMOCHI
[567.287] librabird: ほー
[568.424] exorcist_nakazaw: ももちのバチバチ音がヤバいのは有名
[568.780] cafe_gondo: momochocoSunechi
[570.164] (S)perfecttakahashi: レバガチャ意味ないんじゃなかったっけw
[570.995] カブトシロ: ももちさん本体？分身じゃなくて？
[574.166] いちたすいちわ: ボタンうるさ
[574.323] (S)yamato925925: こっから温まってくるか？？
[574.945] pipitamn: バシャバシャ言うてる
[578.022] sndkzfm1: ピアノ
[578.675] hitosyura1: 反応すっご
[579.238] akiaki0612: 体験版だから実現したこのオフ対戦
[581.323] (S)fahmy0825: Momochi!!
[581.531] suupu: 来た瞬間最高の絵面でワイ歓喜
[581.573] librabird: ももち攻めるなー
[582.325] Spike_rod: 昨日もG8部屋でやってたんだっけ?
[583.164] ludic__: DAIGO!!
[585.458] yh_iso: お互い、黙々と•••
[589.608] aranami0: 始まってたあああ
[592.681] (S)ごまさんです: 間に合うんだ
[595.073] librabird: マジかよ
[596.560] (S)dj0d4y4k4: 持続で間に合った
[596.863] 10kio: ももち？？？？
[597.980] jtopnbsd: ももち？
[598.566] takahashiseigi: タイステで昔はよくやってた二人か
[598.643] tukumi07: まにあうのかｗ
[599.079] ebikatsu39: バチバチ
[599.354] sndkzfm1: ももちは影分身で色々なところでスト6やってる
[600.709] magoichi_s: あっさり返す
[600.744] librabird: なぜ間に合う
[601.436] (S)黒魔: NotLikeThis
[601.920] maruino351: うっま
[603.061] shifoncafe: ももち？
[603.130] zyangara2: うおおおおももち！！！！
[603.411] prisira: 頭領？
[603.910] (S)ごまさんです: はい一億
[605.191] 503_win: うおももちいる！
[605.560] (S)2youyou2: ももちタイプライターか？
[605.817] ゴン攻め: へっる！
[607.707] misopotato: まずは店長一本
[608.232] Ceciltaisa: ありがたやあああ
[608.820] いちたすいちわ: ももちは遊ぶ
[611.021] kiiiirakila: バッチバチやなぁ
[611.302] akiaki0612: 店長、ギア最初っから上がってない？
[611.462] (S)latenight000: ん？見間違えかな？ももちに見えるけど・・・誰かな？
[611.793] 将門ゴルゴロ: ６めっちゃ展開早いｗ
[612.123] (S)yut7xot8: まだまだ初戦だからね
[612.490] rxz_2017: ももち素直になれたのか？
[613.384] buretan555: momochocoMetsu
[614.128] (S)gorogorogorn: キレッキレのウメ
[615.274] (S)SeventyTwo_7: 影武者の可能性あり
[615.487] りあ仮称: しゃべったー
[615.991] minaro331: 伊達にして帰すべし
[616.193] tondemonaiyo: 店長つえー
[616.216] (S)黒魔: 店長の気遣い
[616.675] yutama0502: ウメさん仕上がってるね
[618.186] sei_6: 空気感ｗ
[618.596] akasanz3x: これは面白そうｗ
[618.609] Papapadad: ももち緊張してる？
[618.909] Hagimagi_14: ウメ…つよすぎ…
[620.289] yudedako: ももちさん最強って聞いたんですが
[621.406] wahaha7788: もじもじしてるから来ないってみんな言ってたのに！
[622.848] librabird: 展開早すぎてヤバい
[623.591] guest324438: 人見知り×2
[624.539] youchi_ygm: このゲーセン店長つよくね
[624.789] tw_numa: あっっまりにも早い再戦
[625.311] ~MISSING_COMMENTER_INFO~: すごい絵だ
[627.292] sndkzfm1: こっからでしょ
[629.739] tukumi07: ギア上げてきたか？
[631.192] nemomo789: 百地がいる
[631.240] (S)れんぞね: 「うちの店どう？」
[632.994] zyangara2: ももちはウメちゃんが歩みよってくれたおかげで来れたか；；
[634.838] librabird: 攻めるももち
[636.670] sndkzfm1: まだ1戦目だし
[638.450] yuzubox: こっからよ
[639.152] TEIKETTO: ちょこちゃんに連絡してもらったのかな？
[641.027] (S)ごまさんです: P
[641.677] shifoncafe: ｐ
[641.842] prisira: 頭領流石よ
