[65.005] (S)kobayan86BRZ: きたああああ
[1059.514] nozomaro: トーチか松明は必要ないか
[1076.924] (S)るぅの: 猫ちゃん来ないかなぁ
[1082.046] (S)クズ220: 剣とがマジでないなｗ
[1084.019] (S)ソルダ: たいまつほしいね
[1105.881] niva_niva: さすがにこの年になると誕生日はどうでもよくなるのかね
[1141.885] (S)クズ220: リング余りまくりんぐ
[1157.805] ROBO_DX: Love Fire Emblem 
[1158.939] じゃんじゃじゃん: 中断セーブはもう解禁してる？
[1169.183] sayuha1: ウメちゃんステージ味見ぐらいの心持ちで動かしてるな
[1187.482] ilm0806: 祝う習慣ないと、あまり興味ないかも
[1217.308] balthazar000: そういや、ゲームの序盤に石化した人ってまだ生きてるのかね
[1221.845] tw_numa: 音楽会ってないよな
[1222.110] (S)ソルダ: チートキャラ
[1234.627] taroumaruh: ｗ
[1239.100] balthazar000: w
[1252.376] もりお_7: 鍵に翻弄されるプロゲーマーw
[1253.698] (S)ソルダ: ここが石化したエーヴェルを助けるステージ
[1273.569] zerosugar214: ラーラでも開けられるんじゃ
[1273.629] balthazar000: なんとなく質問したのにまさかの
[1282.554] nozomaro: ラーラは使えないっけ？
[1289.102] Jaguar_kick: ラーラもとうぞくのカギ使えるね
[1300.194] juicestand: 24x?
[1317.491] (S)valhalla5555: あと何話くらいなんだ
[1318.573] (S)matsumo2: あったよ
[1320.139] (S)クズ220: あるやん
[1331.068] nozomaro: 扉の鍵あったよ
[1349.143] (S)ソルダ: 次が最終章だよ
[1350.656] (S)sora_neko09: あと２話かな？
[1357.479] tronen: 手癖の悪いティナ
[1358.670] (S)valhalla5555: ありがとう
[1364.747] (S)donpepper_0728: 外出しようと思ったら、みんな配信を始める(´・ω・`)
[1381.528] (S)ﾔﾐ: ヌキさんが足にアケコンのせながらハッピーバスデー歌って欲しい
[1391.087] scottiever06: お仕置き部屋くるか！？
[1414.078] tronen: 何で使えないの？
[1416.352] batorubaa: あーここあの極悪マップか
[1420.214] はらたいら3000: やっとこの章きたー
[1424.959] tronen: ハメ
[1425.150] (S)uncle_yam: そう、ちゃんと強いって表現よねｗ
[1428.303] hachi_mitsu: この面のギミックです
[1429.915] scottiever06: キター
[1431.678] (S)ソルダ: ｗ
[1439.421] (S)るぅの: ももち？
[1439.642] (S)necomuraneco: umeYay
[1441.547] Jaguar_kick: 来たね
[1442.382] kurage88: ？
[1443.698] scottiever06: お仕置き部屋キター
[1453.688] (S)Kanquez05: umeWhat
[1454.667] batorubaa: 加賀さんの新しいギミック
[1461.169] (S)山田たろう太郎: 加賀またやったのか
[1462.474] hachi_mitsu: これは加賀が悪い
[1465.771] balthazar000: 説明など不要！
[1467.256] taroumaruh: すいません・・・
[1469.389] sayuha1: 加賀「プリズンじゃよ」
[1472.131] はらたいら3000: ニヤニヤ
[1473.802] あと1983: 突然のゼルダ
[1473.850] (S)クズ220: 加賀の意地悪マップ
[1475.649] prisira: 加賀さんが説明するわけあらず
[1479.728] tronen: いつもの加賀
[1485.070] diego_ohunabara: Squid1
[1486.371] (S)sora_neko09: よくない。これはよくない。
[1488.405] prototypeie: 説明は甘え
[1488.533] (S)ソルダ: 加賀さん？
[1496.049] balthazar000: w
[1499.760] jikiru6: 説明責任
[1500.251] diego_ohunabara: umeGillette
[1503.922] (S)山田たろう太郎: ウメちゃんが社会人としてってそれはあんまり効かないなぁｗ
[1504.424] (S)valhalla5555: 説明とわ
[1506.847] kireboshibasyato: 説明してクリアされると悔しいじゃないですか
[1508.645] (S)w4m1_54: 昔のゲームあるあるにしても
[1511.703] (S)寝るポイント: 報連相は最低限度ね
[1521.112] scottiever06: トラキア当たると死ぬで
[1533.381] odoruponpokochin: こんにちは、ウメさん！
[1534.897] はらたいら3000: そこ小部屋だからレスキュー必要ですよ
[1535.147] sayuha1: ウメちゃん富野ガンダムの最終回だと思って
[1553.327] dryzalizer: 24x 
[1557.082] (S)MadEggMania: 梅原さんは社会人？
[1561.203] scottiever06: お仕置き部屋です
[1563.528] batorubaa: リワープで飛んでワープでもok
[1563.794] tronen: 加賀ぁ！
[1564.245] prisira: レスキューを強要
[1565.457] (S)ohigara: ふざけるんじゃねぇ
[1565.707] (S)ソルダ: 加賀さん？
[1565.853] hachi_mitsu: ごもっとも
[1566.540] taroumaruh: 草
[1572.379] balthazar000: 寝て起きて元気ですね
[1574.561] (S)shupii097: 加賀みてるか？
[1576.867] squall2017: ここのステージは鬼畜なんよ・・・
[1578.647] diego_ohunabara: umeGillette
[1578.898] kurage88: ふざけるんじゃあない
[1581.190] siuva7: おこ
[1589.883] (S)tm3fan: オニキくん大会出てるのね
[1590.172] (S)小室友里: プンスカウメちゃんこんぬつわ
[1590.633] taroumaruh: ほんま鬼やね
[1596.258] kuchikey_7144: 頭おかしなるで・・・
[1596.517] (S)クズ220: スーパークソマップですよ
[1597.300] niva_niva: ウメさんいつもとテンション違う？
[1597.620] tronen: ポチッとな
[1600.783] prisira: 状態異常の嵐ｗ
[1602.074] (S)ソルダ: 無言ｗ
[1603.250] g3lily: あ
[1609.834] Seria_24: ここほんまクソ＆クソ
[1611.834] batorubaa: 前章から引き続き杖ゲーですよ
[1612.794] scottiever06: ここど真ん中にマージ軍団がいる
[1612.856] はらたいら3000: リワープしてきた敵に囲まれていきます
[1613.115] kireboshibasyato: 加賀「誕生日プレゼント」
[1614.993] kurage88: ｗｗｗ
[1616.457] gengoro1198: これはひどいw
[1628.162] sayuha1: 2ヵ月計画でいくぞ！
[1628.224] nozomaro: とりあえずどうなるかは見ようよw
[1629.618] もりお_7: 誕生日にやるステージじゃねえww
[1647.933] (S)ソルダ: 配置は決まってるけど見えない
[1649.851] (S)クズ220: ワープ床がある
[1651.514] hachi_mitsu: 説明してよければしますがｗ
[1651.535] (S)Sorachan1144: エンディング近いの？
[1663.154] scottiever06: さっきのマス覚えておかないと
[1665.676] woodmud: 対策なしなの？
[1665.950] auvy8: 引き
[1668.207] (S)harubou1123: 見分けがつかない固定
[1670.915] (S)sora_neko09: ドラクエ２
[1672.724] jikiru6: ブチギレ
[1672.985] はらたいら3000: 一応位置は決まってますよ、ワープ床
[1674.157] balthazar000: w
[1679.762] shikauma: イラハラ
[1680.908] (S)寝るポイント: 時代を超えた説教やめて
[1682.376] Jaguar_kick: 決まった床だけど見分けはつかないよ
[1685.104] taroumaruh: 手応いシュミレーションやぞ
[1686.997] batorubaa: 対策はリセット
[1688.033] (S)るぅの: 難しい 
[1690.249] hachi_mitsu: ダメですねｗ
[1691.988] はらたいら3000: 色で判別出来ないワープ床が
[1692.263] (S)asakaze: 加賀ァ
[1692.832] (S)MadEggMania: 作ったやつ誰や！
[1693.610] jikiru6: あなたさー
[1698.326] prisira: そら侵入者に罠くらいしかけるよ
[1701.498] balthazar000: 神経衰弱って言うんだよ
[1705.475] siuva7: 加賀さーん
[1705.613] (S)あさつき教: リトライ前提のような
[1707.792] kireboshibasyato: リセットさせたくてたまらない加賀
[1709.024] scottiever06: 難しくするならこれぐらいやらないとね
[1709.390] popoi35: FEメーカーとかあったらこういうの大量に作られそうな意地悪マップだよねｗ
[1711.691] woodmud: メモとるしかないのか
[1714.254] (S)titilrin: umeCat2
[1715.122] batorubaa: 先につえー奴送り込むぐらいしか
[1729.315] dsadsa454654: 暗いよ怖いよ
[1733.791] (S)ソルダ: マッピングするか、とある対策をするしかないね
[1744.195] tronen: 方眼紙にマップ書いて覚えてこ
[1745.307] kireboshibasyato: 難しいと理不尽の違いを理解してないアホクリエイターもどき大嫌い
[1761.417] prototypeie: シミュレーションは加賀が定義していく
[1769.087] hachi_mitsu: 通過なら大丈夫よ。待機しなければ。
[1772.241] sayuha1: 加賀さんはこのゲーム全員生還できると思うなって気持ちで作ってる
[1776.278] batorubaa: 通過は問題ない
[1777.165] はらたいら3000: イジワルな数のワープ床ありますよ〜
[1781.272] (S)MadEggMania: 詰んだ
[1804.484] tronen: オール剣技発動
[1806.184] scottiever06: トラキアで理不尽なのはワープ床くらい
[1819.373] (S)ソルダ: 杖ｗ
[1822.999] (S)shupii097: どんだけ光るねん
[1824.323] jikiru6: なぜかというとー
[1830.337] tronen: でてきたね
[1831.898] prisira: きっちぃ
[1847.247] scottiever06: ど真ん中にサラを送り込もう
[1850.503] dobakon: なんでかっていうとー
[1854.049] siuva7: こっちをガチで殺りにきてる
[1858.780] peperon1233: スパロボとかよりむずいの？このゲーム
[1862.453] (S)valhalla5555: 不遜時代の大貫
[1874.573] (S)ソルダ: そうそう
[1874.672] hachi_mitsu: そう。
[1883.357] prisira: 通るだけでダメとかやばすぎるｗ
[1889.227] fepro0: 24章外伝はまともにやるとかなりきつい
[1890.172] (S)クズ220: まずトーチで地形把握したほうがいいね
[1890.372] siuva7: スパロボFよりずっとムズい
[1893.997] runtasusu: 久々に来たけどそろそろ後半戦に入ったんか？
[1894.399] (S)Sorachan1144: おこなの？
[1900.474] fepro0: 次の章でラストよ
[1901.998] はらたいら3000: 待機したら飛びます
[1904.831] (S)shupii097: 終盤ですよ
[1907.589] prisira: いたー
[1911.316] runtasusu: おぉ まじかーー
[1917.685] runtasusu: ありがとーー
[1917.873] (S)sora_neko09: ラスト２面
[1922.876] peperon1233: 早くこのゲーム終わってほしい。正直わからんしつまらん
[1923.589] tronen: フォルセティだけはガチ
[1926.823] runtasusu: 終盤も終盤やん
[1927.162] scottiever06: 真ん中の部屋気を付けてねw
[1930.622] シケモクスッパマン: バーサーカーこえー
[1931.864] doragnai: ２３話越えたならいけるやろ
[1935.787] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1956.890] (S)tarako7016: こんなに何ヶ月も楽しめるなんて良ゲーだなぁ（白目
[1969.688] doragnai: 草
[1970.118] hachi_mitsu: SLGの定義を問うていく格ゲー界の至宝
[1974.410] taroumaruh: リアルを追求した結果が これ
[1975.880] prisira: 加賀との真剣勝負だから
[1980.013] シケモクスッパマン: FEおもしろいけどな めっちゃ好き
[1981.013] はらたいら3000: 加賀さんに言ってくださいw
[1985.754] (S)titilrin: umeCat2
[1986.419] sayuha1: そろそろ完全クリア諦めた方がいいよ。気が狂ってしまう
[1989.814] tronen: こっちが見えないのは許す でも敵だけ見えるのは許さんぞ加賀！
[1994.424] batorubaa: まぁ面白いけどわからないと無理だわなぁ
[2006.109] niva_niva: 加賀って誰
[2006.980] prisira: 状態異常つよすぎぃ！
[2014.396] siuva7: ウメちゃんのリアクションが面白い
[2028.275] batorubaa: レスト足りないのでは
[2036.765] auvy8: 加賀見えてるか？
[2041.825] (S)ソルダ: キアの杖をサラに渡してないやん
[2045.090] tronen: ベルセルクオーシン
[2052.001] fepro0: ティナのレストアイテムで梯子するしかない
[2053.734] siuva7: 加賀さんの知名度上がったな
[2061.634] (S)クズ220: 石化してるの確認した？
[2070.702] シケモクスッパマン: あ、外伝出してる
[2070.777] (S)oheya36: このマップの目的覚えてる？
[2077.792] niva_niva: こんな鬼畜ゲー売れたのか？
[2086.701] (S)shupii097: あんま売れなかったらしい
[2092.307] batorubaa: うめちゃんキアの杖もってないの？
[2092.711] scottiever06: サラを思いきってど真ん中に送り込もうw
[2095.368] シケモクスッパマン: 攻略本必須ではあるわ
[2097.419] (S)matsumo2: サラ出撃しないの？
[2100.387] fepro0: まぁキアは末裔にしか使えないってストーリ上言ってるし大丈夫でしょ
[2103.254] tronen: そもそも普通に発売してなかったしな
[2106.267] (S)sora_neko09: 知名度UPとともに悪名も上がってるけど
[2106.437] prisira: サラ出撃しなくてもいいのここ？
[2113.263] はらたいら3000: サラいないと石化治せない
[2114.533] (S)tarako7016: 売れてたらもっと続編でですから
[2115.516] (S)寝るポイント: ウメちゃん、裏で今やってるだいこくのスト５「２０連勝するまで寝れません」企画、アルマスのファンに処られすぎて「寝れません」の文字をタイトルから静かに消したんだけど、これジャスティス案件じゃない？
[2115.984] Seria_24: サラでてないやんｗ
[2116.320] (S)ソルダ: そもそもサラ入れてないｗ
[2120.187] (S)oheya36: Sドリンクなくて出せなかったりして
[2128.372] (S)ソルダ: サラでキアの杖使うんやで
[2132.979] prisira: サラが石化治すんでしょ？ｗ
[2141.578] sayuha1: だいこくは平気で寝るよ
[2141.797] hachi_mitsu: なんでリフィスにｗ
[2141.804] scottiever06: キアは最後に使ってねw
[2142.728] (S)クズ220: サラがキア使えると言ってたやん
[2143.770] peperon1233: もけが精神病んでますけど、助けてあげて。トラキアしてる場合じゃないよ
[2144.919] tronen: あっぶね
[2146.681] (S)shupii097: エーヴェルさん・・・
[2159.716] siuva7: 正直SEKIROよりずっと難しい感じがする
[2164.103] nozomaro: エーヴェル直さないといけないんだったな
[2165.408] (S)tarako7016: もけはいつも病んでるから大丈夫
[2194.546] siuva7: もけはゴボに帰っておいで
[2205.783] (S)sora_neko09: もけ君はガチくんが任せろって言ってたよ
[2220.180] needs0m3l0v3n: Daigo #1 USA USA
[2220.825] simple_geek: bbgoddamn subscribed with Twitch Prime. They've subscribed for 18 months! ウメちゃんおめでとう
[2222.193] sayuha1: 今はもけよりマゴさんのほうがつらい
[2228.118] (S)クズ220: トーチ二手に分けたら？
[2228.337] シケモクスッパマン: てか定期的にトラキアやめさせようとするやつわくけど別に好きなゲームしててよくない？わがままかよ
[2256.209] batorubaa: 相手すんなよ、わざわざコメしてる時点でお察しでしょ
[2261.021] fepro0: ウメちゃん自身めっちゃ楽しんでるからいいじゃん
[2266.098] tronen: ファラの書しかない
[2272.749] niva_niva: 楽しんでる…か？
[2277.271] シケモクスッパマン: すまねえ
[2291.524] (S)sora_neko09: いつも悦びが溢れて絶叫してるやん
[2305.481] (S)クズ220: マリータの武器が充実しすぎｗ
[2306.633] scottiever06: 剣が無さすぎてやばいな
[2319.865] niva_niva: そもそもこのゲーム始めたきっかけってなんだったの？
[2324.663] batorubaa: 一軍出しすぎて次章が困りそう
[2338.078] fepro0: Ｓドリ結構あったし大丈夫じゃない？
[2339.908] (S)あさつき教: 難しいの好きって言ってたんだし楽しんでるだろう
[2346.039] (S)寝るポイント: ウメちゃんがFE好きなんでしょ？
[2361.559] シケモクスッパマン: バーサーカーめっちゃこえーんだよな必殺でるから
[2380.922] fepro0: 一応デフォルトの難しさはFEで一番
[2386.237] scottiever06: バーサーカーに突っ込んでると事故りそうだな
[2389.503] nozomaro: いつでもレスト出来るように固まった方がいいな
[2412.848] fepro0: マリータといえど、デビルアクスバーサーカー反撃必殺は死ねそう
[2415.915] (S)クズ220: 怒り持ちなのわかってないな
[2423.062] scottiever06: スキルは書じゃ防げないで
[2438.414] (S)寝るポイント: この頃が一番難しかったんだっけ？
[2442.736] hachi_mitsu: 必殺だけだっけ
[2451.040] sayuha1: トラキア完全クリアとか普通やらないから
[2458.962] (S)小室友里: ウメちゃんの中で平成最高のゲームはトラキア、ストⅡ以外では
[2464.946] (S)ソルダ: ここはワープがないとかなりきついね
[2470.091] はらたいら3000: トラキアは別次元の詰みゲーム
[2475.737] fepro0: クリア後のプレイング評価見たときの反応楽しみ
[2476.667] batorubaa: 難しさの方向性が今と違う
[2479.341] hachi_mitsu: クリアするだけならゼーベイアのマップより難しからねｗ
[2502.679] (S)おろし大根: グラブルバーサスの対戦動画面白かったです！
[2504.853] tronen: オワベイア
[2506.343] fepro0: ワープ使わずまともにプレイするなら24章外が一番とまでいわれてるくらいに狂ってる
[2510.064] siuva7: トラキアなのかw
[2516.567] niva_niva: このゲーム、キレながらやってるのを見るのは楽しいが実際にやろうとは思わんｗ
[2517.648] (S)ポンポン: ウメちゃん、誕生日おめでとう㊗️
[2552.460] シケモクスッパマン: リセット必須だからなぁ 闘技場でも気を抜くと溶けて死んで終わる
[2552.626] (S)寝るポイント: うしろがハッピーバースデイになってるな
[2562.560] rm_rf__: 最終章よりこの章の方がムズい
[2572.277] (S)domontyan: umeYay
[2586.250] とりあえずちさと: 茶碗の音
[2591.795] fepro0: エルフくらいだもんな終章強いの
[2594.465] batorubaa: 最終章出し惜しみしないから尚更簡単に感じるよね
[2595.008] siuva7: 猫でしょ
[2613.002] (S)lyo0822: umeCat2
[2614.597] (S)sora_neko09: ウメキャットが家事をしてるだけや，気にするな
[2615.925] (S)クズ220: トラキアはラスボスがしょっぱい
[2629.261] fepro0: ストーン・・・
[2630.069] (S)寝るポイント: なんだ。猫か。
[2632.570] tronen: 最終章も聖戦やってないとなんとも思わんよな
[2635.844] lucentsnow: ウメちゃんの動画見てたらウメちゃん放送してた
[2654.350] (S)shomarusan: あえてね
[2664.211] scottiever06: いてぇよウメちゃん
[2664.529] afro888: 毎日皿洗いしてる猫
[2667.537] peperon1233: ウメの彼女ちらっと見えたの静止画にしてみたけど、正直普通や。悪くもないけどよくもない
[2668.989] fepro0: 聖戦のストーリー知らんとそうだね
[2694.667] tronen: 嫌がらせぎっしり
[2700.287] scottiever06: サラを送り込もうぜ
[2700.819] (S)uncle_yam: すし詰め
[2705.374] fepro0: 魔力床
[2706.298] (S)クズ220: 魔力床がきました
[2707.617] (S)shomarusan: EVOまでにはこのゲーム終わりそうかな？
[2711.542] scottiever06: 床見てね
[2730.777] batorubaa: なんの説明も無い魔力床
[2735.907] fepro0: 自キャラの魔力も上がる
[2736.918] (S)寝るポイント: あと２面でしょ？
[2738.355] はらたいら3000: そこの床の仕様
[2744.558] (S)sora_neko09: 地形効果で魔力+10ってこと？
[2746.176] prisira: 聖水パワーでも無理か
[2746.521] (S)redbull_daisuki: いいたいことも言えないこんな世の中じゃポイズン
[2752.452] あと1983: 次のゲーム…なんてコメントたまにあるけど、ほんとにそろそろ終わるのか
[2754.619] scottiever06: 床にサラを配置しよう
[2760.537] (S)ソルダ: 中央の紫の床は魔力が増える
[2760.715] fepro0: そうだよ
[2761.133] mamenoki: 説明ない床は草
[2768.327] grblkun: サラも＋１０されるから余裕
[2776.665] scottiever06: 魔力床は書いてある
[2780.012] fepro0: 脱出ルートのある祭壇みたいなとこは地形効果魔力＋１０
[2788.294] はらたいら3000: 一切説明がないゲーム
[2798.441] (S)クズ220: なんの説明もなしにワープ床と魔力床が現れる加賀マップ
[2811.191] (S)shupii097: いけるんじゃね
[2815.087] (S)sora_neko09: 自分も＋10なら30になるな
[2815.399] (S)ソルダ: ｗｗｗ
[2817.768] siuva7: ww
[2819.743] scottiever06: 説明いらんだろ
[2821.378] シケモクスッパマン: スト５だけになるのもさみしいのう
[2826.838] prisira: 今はまだ偵察段階だから・・・
[2828.081] squall2017: ワープなしは確かに準備不足ｗ
[2835.409] (S)shomarusan: せんけんのめい足らんかったか
[2838.216] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[2839.823] siuva7: グラブルの格ゲーはやるんじゃないかな
[2841.895] (S)あさつき教: いや情報なしじゃ無理でしょー
[2847.273] kuchikey_7144: とりあえずサラを送ってみるとか
[2848.337] rm_rf__: うっかり軍師
[2851.498] はらたいら3000: 自分におこなのね
[2855.265] (S)redbull_daisuki: 次はもうちょっと動きのある配信映えするゲームがいいですw
[2855.444] batorubaa: リワープサラで余裕そうだけど
