[6.497] 5don: uyuyuyuWww
[50.966] sakai_jin2020: 牛耳ってるのはしのさんだから…
[51.213] hairi0610: 写真からアールさん消えちゃう
[52.264] (S)keel_116: ww
[54.799] セメナキャイケナイ: 危険な世界
[54.873] レクター泣かせ: そのうちミサイル飛ばしてそう
[57.514] (S)闘劇のアルベルト: んっ！言論統制
[57.514] アンインストール: カフェさんは梅さんから説教されることえるんですか？
[57.620] sajiseijuro: 卑怯だぞ！
[58.087] (S)くういぽ: ハンサム節
[59.893] blackcoffee0821: 9000いるじゃmn
[61.697] (S)machakyuro: プーさんすら言えない国みたいなｗ
[63.048] gomeeen: 格ゲージャニー
[63.181] chin_56_: 言いたいことも言えないこんな世の中じゃ
[64.329] 記入漏れ: 真実なんて、そんなもんす
[64.925] プロレス王: タイミングばっちりだったな
[66.094] uraraman: ウメどこ？
[66.353] redbull_daisuki: そういえば切り抜きで思い出したけど、最近全然公認切り抜きが仕事してねえな
[66.659] taiyaki_ltd: そうよ
[66.927] 失地王: ハンサムは粛清された
[69.227] tamachan0530: この企画を最初聞いたときのカフェさんの気持ちを聞きたい
[71.653] fliege1515: すげえ暗くなってきた
[72.683] アッサン: 仕事おわった
[74.745] (S)成吉大: 野口英世パターン
[81.187] taiyaki_ltd: ダボ
[82.530] Mrk111: ダボ共wwww
[83.026] (S)憂う者の弟子: だぼが！
[83.192] xojan1: だぼ
[83.215] (S)yukke85: ダボ
[84.413] ddddppppgggg: ダメ男だったと書いておこう
[86.879] mozuk310: 慶応卒の官僚がレイｐで4度目の逮捕とかな
[88.089] しずさん: 甘やかしてるなｗ
[88.174] 杉林幹雄: ダボ
[88.326] muucrs: www
[89.382] katappa45: 久しぶりに聞いたわ
[89.823] 蟹右手: ダレとるんか
[90.126] x_abu_xx: あのダボ
[91.904] xojan1: だぼはぜ
[92.436] hairi0610: わろてるでー
[93.140] (S)hone253: 凄い差がついてるwwww
[93.438] (S)成吉大: うしろから ｷﾞｬﾊﾊﾊ
[94.065] redbull_daisuki: ダボハゼがぁ！
[94.109] v_harumi_v: なるほどー。さすがのカフェさん
[95.206] アッサン: うごいてないぞ
[95.287] Iso_kyoun: アールつよ
[95.830] (S)hone253: ついてこないwwwww
[96.060] yoshikawa_yo: さすが
[96.385] HirocoT: ＞＜
[97.058] borkh3js: BibleThump
[97.456] fliege1515: 悲しすぎるｗ
[98.166] forthemoment_elt: このやろう甘やかしてやれ！！
[98.444] (S)gazesd: たわけ
[98.801] mifune1046: ダボ
[99.056] daruma2597: 笑っとるで
[99.122] dswlm: みんないたってる
[99.479] (S)将門ゴルゴロ: ｗｗ
[99.533] suupu: たわけ
[99.700] (S)mogetasan: よえーやつらだ
[100.414] AtomPeter: なんてこったい
[100.646] (S)hone253: たわけものwwww
[101.034] icyblue1985: たわけ！
[101.425] lun__01: カフェさんが一番体力あるんか
[101.615] syugi3: ペースメーカまで兼任とは
[101.869] balthazar000: 折笠さんレベルに？
[102.192] uguisupan1192: 折笠ペース
[102.264] low_single: もうちょい！
[102.304] こがや: すげー
[102.770] ddddppppgggg: ゴミどもが
[102.922] のぞみくん: んっこない
[102.982] taiyaki_ltd: 暗くなる前に
[105.659] mahiro_8: 約6千人が視聴してますよー
[106.259] や8: えら
[107.239] kizuchi95: ついては来ない
[107.866] omo7144: 予定より早いですね
[108.540] ddb365: ダボらがよー
[108.684] サンシロ: アールさんおもしろい笑
[108.708] LEE4646: もうすぐかぁ
[110.275] ice_teaaaaaaaa: カフェさん元気だなぁ
[110.307] xojan1: 本人の配信で悪口言うの好き
[112.220] あんころーる: 明るいうちにつけそうだ
[112.474] myodent21: ゴール近い！
[113.679] weeep1: はやくNPCに会いたいねえ
[114.255] aranami0: 今日も歩いたなー
[114.440] ラリぶべぼ: そもそもカフェ氏とは？
[116.902] chin_56_: 態度隠しきれなくなってきてる
[117.011] ebifuryai: クビ宣言か？
[117.120] low_single: 農道抜けたらもう余裕よ
[117.993] macaron_machine: アールさんつえーな
[119.037] (S)まとご: こんなことやってる場合じゃないくらい心技体揃った有能人カフェ
[119.931] (S)kkshkk: MVPはカフェ氏で揺るがない
[120.304] 今夜も赤こんにゃく: なにも言わずにペースを作る
[120.397] teruharu_: お疲れ様です
[120.911] (S)junjamaica: 1万人いきそう
[122.080] (S)hone253: 折笠さんのゴミども発言は正しかった…？？
[122.531] fabregas123456789: かわいいなカフェ
[122.945] 1678923482: 今日の忘れ物は誰かな～～？
[124.439] (S)mqdf1987: あいつらは何も汲まないな！
[125.401] baystar9377: だんごさん大丈夫ですか
[125.788] lun__01: 部屋の灯がつく時間だ
[126.737] takabal: 今日の晩御飯は？
[127.860] yonayona04: 96cafeで検索したら出るよ
[127.914] サンシロ: 信頼関係あっての会話だけど、こっちはちょっとヒヤッとしたｗ
[129.291] (S)junjamaica: バグかw
[130.236] hanzou3: カフェ氏は何してる人なの？
[133.125] yoshikawa_yo: カフェ氏しか勝たないヨォ〜
[133.338] hikky722: 視聴者凄い増減してるｗ
[133.824] あんころーる: もともとプレイヤー？
[134.304] nosveral: 基本的に彼は私がずっと速く歩けると言っています =)
[135.987] (S)憂う者の弟子: もいっか
[136.950] (S)闘劇のアルベルト: まあね
[138.242] fliege1515: そこまで想定
[138.935] potocki1810: まねｗｗ
[139.406] weeep1: 俺も3日で終わると思ってたｗ
[139.873] アンインストール: Www
[142.111] balthazar000: 飽きたな
[142.379] HirocoT: ｗ
[142.618] ペプシ男: ｗｗｗ
[144.357] (S)rm_rf__: 分かる
[145.051] taiyaki_ltd: よくね？みたいな
[146.486] (S)hone253: 王舐められていたw
[147.636] (S)gyu_nyuu_pann: ありそうだったw
[148.943] しずさん: というか経験主義？
[150.102] pengetop: 俺も絶対無理だと思ったｗ
[151.204] xojan1: はよあるけやｗ
[152.654] icyblue1985: 俺も３日ぐらいかなと思ってたｗ
[155.056] mahiro_8: 暗くなってきたー
[155.361] fabregas123456789: ありそうやな
[155.515] otorikh: ウメ王国内務大臣：メンおじ外務大臣：かふぇ←NEW
[156.982] (S)kkshkk: 杖がでかいな
[158.871] ラリメモ: カフェさんの名前の由来とか聞いてみたいです！
[159.202] 杉林幹雄: 老人ホームの散歩やん
[159.687] redbull_daisuki: いや〜、さすがに？青森まで歩くのは無謀っしょ
[160.610] kizuchi95: 側近はわかってるね
[160.830] balthazar000: 二日目の山が火を付けた感ある
[163.810] (S)hone253: 先が読めないですよね、良くも悪くも
[166.401] アンインストール: ある意味言い出しっぺだから我慢大会よの
[167.805] (S)まとご: カフェはわんこそば何杯だったの
[168.885] (S)rm_rf__: なんなら2日だと思ってた
[170.101] low_single: ゴール直前で歩くのを止めて「この度終わりたくない』って言うかもよ
[170.566] myodent21: 体験主義者ほんまよー
[171.827] paul1984jp: 歩道ある
[172.848] xojan1: あいつ
[176.097] taiyaki_ltd: 折笠が脱落したことで辞められなくなった
[177.364] Mrk111: あいさつ通り 39.945560, 141.061034
[178.246] (S)ancehutn: ｗｗｗ
[178.803] LEE4646: ｗｗ
[182.182] 今夜も赤こんにゃく: www
[182.501] borkh3js: LUL
[182.742] (S)gyu_nyuu_pann: wwww
[183.280] (S)成吉大: 言ってたｗ
[183.598] embercleave4rr: やめたれｗｗｗｗｗ
[183.623] tokiomari: やめたれ
[184.060] sakai_jin2020: w
[184.188] LEE4646: 動画見たｗ
[184.376] chin_56_: フィクションです
[184.893] ddb365: ｗｗ
[187.612] しずさん: フカシｗ
[187.718] kuniyoshi8: wwwwwwww
[187.786] omo7144: Ｗ
[188.154] koudou3: んっ老化
[188.222] komay38: ツエハラ
[188.599] m_k_style: umeSad
[188.608] daruma2597: 600いけるとまで言ってた
[188.736] ukir02: 絶対に
[188.971] balthazar000: 無理ぃ
[190.498] あんころーる: 体重と年齢がね・・・
[191.091] HirocoT: ＞＜
[191.252] teruharu_: やめたげて
[191.305] forthemoment_elt: 今じゃ杖
[191.574] syugi3: うおおおおお杖ありがとー
[191.884] ライム_: 山なめんな
[191.933] (S)gyu_nyuu_pann: それ見たw
[192.164] (S)しゅごいよ: www
[194.136] renoarenoa: あまりにも太りすぎた
[194.405] flashbacks18: www
[194.730] yonayona04: 山がね
[195.253] x_abu_xx: 紙一重w
[196.169] PUCHU7788: ハンサムの犠牲はでかい
[196.423] aranami0: 紙一重！？
[196.444] (S)mart_00_: wwwwww
[196.982] alienpistoljp: 年齢は考慮してなかったんだろうなぁ
[197.113] lun__01: 言い方wwww
[197.339] しずさん: だせぇとか言っておきながらね
[197.390] taiyaki_ltd: 老化よ
[197.450] neon_d99: 言葉を選ぶの草
[198.554] ddb365: ナイショだよ
[198.747] (S)redpeppar510: アールよくないよ？
[198.889] umesecond: 紙一重かな？
[199.217] herumann: 東京から歩くって言ってたしね
[199.246] のらねこさん: あの腹じゃあね
[199.421] (S)gyu_nyuu_pann: あまりにもw
[199.698] weeep1: アップダウンのダメージが想定外だった
[199.984] feel2525: ギリ杖
[199.999] tsurioji_san: いつの話なん？
[200.239] kaigaizei: 言葉を選ぶ忠臣
[200.260] meganesandesuyo: 年齢と体重が違う
[200.864] omo7144: 年齢もありますしね
[201.232] fliege1515: 変換ｗ
[201.292] HirocoT: 言葉選びｗ
[201.488] kizuchi95: 重りが
[201.580] forthemoment_elt: 紙一重！？
[201.652] (S)maya_g01: 紙一重でね
[202.067] (S)raurakd: 紙一重でね
[202.165] syagami: ウェイトがな
[202.681] (S)yukke85: 紙…
[202.761] icyblue1985: 紙かぁ！？
[203.576] amami3: 草
[203.687] neon_d99: 官僚
[204.353] gomeeen: ウメちゃんどうして・・・
[204.632] mifune1046: めちゃくちゃアールさん馬鹿にされてたもんね
[204.729] 記入漏れ: 随分分厚い紙一重だねぇ･･･
[204.867] (S)ronamu22: ？？
[205.089] xojan1: ツエハラさんさあ…
[205.130] (S)pung_pung_ouji: 消されるぞアール
[205.142] sajiseijuro: 何が紙一重？？？？？？？？？
[205.465] 紅鈴ノ助: 年齢と体重が
[205.626] (S)相田俊介: 山が悪いよー 山がーｗｗｗ
[205.666] kunsuzuki: 忠誠心
[205.726] (S)gyu_nyuu_pann: 紙一重ね
[205.860] muucrs: wっw
[206.304] (S)将門ゴルゴロ: 信者すぎるｗ
[206.391] king_katsuhisa: フカシ野郎がよー
[206.514] suupu: ほらなｗ
[206.836] (S)ys120: 不敬ですぞ！！！
[206.980] (S)mart_00_: あまりにもカフェさんww
[207.241] (S)憂う者の弟子: ほらな
[207.729] (S)hone253: 分厚い紙一重だな～～～～
[207.837] (S)pos888: フォローなってる・
[208.714] chachachakoma: 紙一重だからね？
[208.831] kaigaizei: おいアールまた止められるぞ
[208.916] トネ: w
[209.409] (S)mogetasan: ふかしのウメ
[209.511] sakryan: 一重とは
[209.542] neon_d99: 霞が関文学
[209.970] (S)みはる_雨月: また電波ｷﾚるぞー
[210.108] totokarutyo: 紙・・・一重・・・？
[211.376] vesiter: 体重倍になってるもん
[211.601] KTR_trashbox: 厚紙
[211.626] (S)食用ばるさみこす: 〇〇「東京から行けるでしょ」
[212.532] lun__01: 歴史には紙一重と書いておく
[212.978] softoika: ウメ腹になってたからねえ
[213.158] のぞみくん: まさか山をなめたのか……？
[213.361] こんぽち: また配信切れない？？
[213.366] 4jou_half: 暴飲暴食で蓄えすぎちまったな
[213.406] ddddppppgggg: 紙の厚さは何メートルだ？
[214.080] (S)machakyuro: 表現に気を使うカフェ氏ｗｗｗ
[214.084] (S)brutal9998: カフェのフォローにも限界がw
[214.543] wahaha7788: 増えすぎた体重を考慮できてなかった
[214.610] potocki1810: あまりにも忠誠心
[214.825] (S)simmonfoxy: 俺もほらな派閥
[215.312] ddb365: 配信止まるよ？
[215.483] アンインストール: 早めに気づくとこは流石
[217.113] ペプシ男: 視聴者みんな「ほらな」
[217.190] weeep1: お気持ちDM
[217.441] kaworuko19: 本来は600km予定でしたが
[219.978] baystar9377: 最初600キロだったからな
[221.354] ヨコグシ: あ
[221.830] totokarutyo: 輩
[222.832] (S)gazesd: やから
[223.611] (S)gyu_nyuu_pann: お気持ちね
[223.660] m_k_style: umeWhat
[224.079] triskeal: 誰だよ！こいつを神だなんて言ったやつはよ！！
[225.405] (S)闘劇のアルベルト: DMさあ
[225.596] (S)kkshkk: ありがとー
[225.620] syugi3: おおー
[225.622] LEE4646: おじの肉体耐久散歩だもんな
[225.705] taiyaki_ltd: 無理させるなとかね
[225.761] Natsuri_k: 整理された都会の道と、未整備の起伏がある田舎道では疲労が違う
[226.143] grove0301: ホラ(だ)な？
[227.387] (S)gyu_nyuu_pann: やから
[229.950] fliege1515: すごいなーカフェさん
[230.713] mifune1046: 全員「知ってた」
[230.919] (S)hone253: カフェさんありがと～～～
[231.260] (S)rm_rf__: 無限に歩ける言うてたな
[232.077] balthazar000: 家とか言う最高の回復施設ない、、、
[232.739] redbull_daisuki: DMはやめたれ
[234.111] karimen4: ルート選択マジ大変そう
[234.640] shikakubeats: 貴重なご意見
[235.024] lun__01: "させていただいてる"
[235.244] (S)gyu_nyuu_pann: ありがとー
[235.289] xojan1: 有能中間管理職
[235.453] uraraman: ｗ
[236.020] towai8: やからって聞こえて草
[236.023] yoshikawa_yo: 聖人君子か？
[236.681] だいこん_: Dさんいつもありがとう
[237.202] (S)憂う者の弟子: DMこわい
[238.005] vesiter: 作戦葬式カフェ
[238.590] totokarutyo: つらかったら車つかおうぜ
[239.147] keigunnoikkaku: 言ってたなあ
[239.445] (S)やすぽこ: ありがとうございます
[239.780] 佐藤つばくろ: やか…た
[239.867] kuniyoshi8: ゴールできるなんて誰が想像しましたかｗｗ
[240.088] yonayona04: 優しすぎる
[240.679] low_single: カフェにいアリガトー！！
[241.115] ~MISSING_COMMENTER_INFO~: ウメママの取捨選択
[241.517] fabregas123456789: 歩きのプロとかいそうだもんな
[241.951] のぞみくん: かふぇには手を出すな! 
[243.043] (S)ys120: 大人のカフェさん
[244.698] weeep1: ゴールできそうなのは何より良かったよ
[245.949] neon_d99: いいね
[246.049] pico_za: それでメンタルやられたのか
[246.501] uguisupan1192: 飯の予約大丈夫なん？
[247.245] balthazar000: この後は車？
[248.278] kaigaizei: カフェ外野から色々言われて頑張ってて偉いよ
[248.444] (S)gyu_nyuu_pann: すごいな
[250.585] chin_56_: 助けられて生きてます
[253.281] teruharu_: カフェ氏本当にありがとう
[254.646] ame512: めんどくせえなアドバイス厨
[255.748] muucrs: へええ
[256.738] (S)hone253: ？？？「600いける」
[257.563] jinkosan123: DMの悪魔怖い
[257.908] 記入漏れ: 人に生かされております
[263.779] xojan1: どう考えてもＭＶＰ
[266.650] (S)foo_twitch: 地元と専門家は参考になるでしょ
[268.370] myodent21: みんなありがとう
[268.853] svcchaozu: 画像見ましたが通風ですね
[268.992] 紅鈴ノ助: ちゃんとアイシングとかしてるんかな？
[270.551] アンインストール: ホウカシキエンとかあるからね
[270.832] mifune1046: ウメちゃんの最大の長所はあっさり前言撤回できること
[275.227] (S)成吉大: ここまで来たら成功してほしい
[275.871] レクター泣かせ: 暗くなってきたね
[277.255] 4jou_half: 役に立つDMだけ拾えばええんやで、カフェさんお疲れやで
[277.739] sakai_jin2020: DM来るうちが華よ
[278.923] (S)mart_00_: 心配メール増えるぞ言ったら
[279.602] totokarutyo: 一人だったら２日でリタイアですわ俺なら
[279.952] (S)gyu_nyuu_pann: めちゃくちゃ願ってるよね
[286.812] 芋之山: 全部が全部悪い訳ではないからね
[290.363] lun__01: 折笠…
[291.377] (S)gyu_nyuu_pann: ほんとね
[291.948] (S)kkshkk: それだよねー
[292.319] chachachakoma: そうなんだよね
[292.630] こんぽち: 元気にゴールがいちばん
[293.039] (S)闘劇のアルベルト: それね
[293.587] (S)gazesd: 怪我は寒い
[293.844] (S)rm_rf__: せやな
[294.911] (S)成吉大: 怪我してもいいんだけど 治るレベルで奈
[297.813] vesiter: おじリーグくらいのリスクあるの笑う
[297.969] baystar9377: 急に暗くなってきたな
[298.534] yonayona04: できる経営者とかすぐ言う事変わるからな
[302.464] (S)kkshkk: 気をはるよんrぇ
[302.566] (S)simmonfoxy: 折笠はどうでもいいと
[303.033] kuniyoshi8: ケガをしない無茶ってすごいなｗｗ
[304.772] weeep1: 後腐れないのは絶対条件だよね。
[305.868] v_harumi_v: 匙加減が難しいですね
[306.274] (S)くえんち: ハンサムさん心配🫤
[306.832] (S)gyu_nyuu_pann: うんうん
[308.484] xojan1: ウメちゃんリタイアしたら完全に企画終了だし
[310.939] right_8: カフェさんも無理をなさらないでくださいね
[311.961] LEE4646: 折笠さんは犠牲になったんや…
[312.540] (S)gyu_nyuu_pann: www
[315.498] vesiter: ｗｗｗｗｗ
[318.169] forthemoment_elt: そりゃ精神ダメージ
[319.400] besser_org: 足怪我しても格ゲーはできるやろ
[320.865] taiyaki_ltd: そうよ
[320.927] 4jou_half: 折笠は犠牲になったのだ
[321.464] svcchaozu: それは絶対来る
[321.513] (S)将門ゴルゴロ: 言わないよｗ
[322.283] (S)mart_00_: かわいそうww
[322.506] toro0524: 流石に？
[322.685] numa_o: ハンサムは4んだ
[322.896] (S)マルい: 大剣主義者！？！？
[324.104] kino883: ガーふすぎる
[324.579] yoshikawa_yo: 言われるの確定なのかw
[325.127] yousuke778: それはないやろｗ
[325.249] weeep1: 折笠さんが何もなかったのは一安心
[326.192] (S)gyu_nyuu_pann: さすがに
[326.814] ババシャツ: ｗｗ
[327.477] ~MISSING_COMMENTER_INFO~: お前が始めた物語だ
[327.667] 蟹右手: 最近無茶してないなーみたいなのも動機なんだっけ
[329.194] mememe10: ｗｗｗ
[329.302] pengetop: まじかよ。。。。。
[329.947] vesiter: ｗｗｗｗ
[329.954] chachachakoma: すげえｗ
[330.401] (S)クラクラ777: すごｗ
[330.462] kaigaizei: 完璧かよ
[330.809] (S)メタルぱんだ: ！？
[330.893] prosciu: wwwwww
[330.926] syugi3: まあああああじか
[331.135] taiyaki_ltd: 世間はそう言われる
[331.210] forthemoment_elt: まじかwww
[331.562] (S)mart_00_: wwwwwwww
[331.581] v_harumi_v: おおーーー。すごい！！！
[331.585] yut7xot8: 完璧すぎたwwwww
[331.648] (S)dorayann: ｗｗｗ
[331.756] (S)kkshkk: 有能がすぎる
[331.971] potocki1810: 忠誠心ｗｗ
[331.988] yoshikawa_yo: www
[332.100] borkh3js: WutFace
[332.170] herumann: 有能がすぎる
[332.349] (S)hone253: 半端ないwwww
[332.460] (S)やあああ: まーじ？
[332.462] lun__01: えらすぎんだろwwww
[332.484] (S)gyu_nyuu_pann: www
[332.634] aranami0: ｗｗｗ
[332.870] や8: えらすぎる、、、
[333.101] neon_d99: 官僚
[333.245] sakai_jin2020: wwwww
[333.441] zukkoketa: えーらい
[333.449] muucrs: wwww
[333.455] chin_56_: 至れり尽くせり
[333.465] ヨコグシ: ｗｗｗｗｗｗｗ
[333.612] kurchin: 手厚いｗｗｗ
[333.809] fliege1515: そこまでやってんのｗ
[333.840] mako6912: すご！
[333.861] myodent21: 万全だ
[333.993] kuniyoshi8: 完璧すぎるｗｗｗｗｗｗｗ
[334.183] icyblue1985: 凄すぎる
[334.228] (S)ronamu22: すげー
[334.239] ddb365: やべえｗ
[334.373] jinkosan123: すげぇ
[334.387] こんぽち: カフェさん有能すぎない！？！？
[334.545] HirocoT: ええｗ
[334.631] omo7144: リスク管理やばｗ
[334.932] nikorinko: すげー
[335.102] weeep1: ｗｗｗｗｗｗｗｗｗｗｗｗ
[335.215] (S)mogetasan: wwww
[335.220] ice_teaaaaaaaa: そこまでしてるのｗ
[335.805] (S)maya_g01: カフェさん；；；；
[335.863] (S)brutal9998: カフェwww
[335.875] syagami: 念には念をいれている
[336.357] baystar9377: まじーか
[336.373] (S)rm_rf__: すげえw
[336.891] teruharu_: さすが
[336.939] (S)gazesd: どこまでケアしてるわけ？
[337.004] dagashiya190: すげーわww
[337.220] (S)simmonfoxy: 忠誠度100ってわけ
[337.703] (S)gyu_nyuu_pann: すごすぎるw
[337.728] Nenos4twc: 万全やんけｗ
[337.942] niboshidaiashi: すごいｗｗ
[338.218] (S)食用ばるさみこす: 有能すぎるw
[338.433] msfsa: すごい
[338.709] もすも: 手厚い・・・
[338.944] 戸愚呂妹: 忠誠
[338.981] のらねこさん: 嫁かよ
[339.888] (S)メタルぱんだ: 完全看護じゃねーかｗｗｗｗ
[339.917] lun__01: 忠臣すぎるww
[340.171] (S)hone253: 有能人間wwww
[340.402] や8: すごい
[340.445] (S)keel_116: なるほどw
[340.690] (S)machakyuro: そこまでケアしてやってんのかｗｗｗ
[340.758] degajun: まじですげぇｗ
[340.895] (S)闘劇のアルベルト: どこまで優秀なんやw
[340.930] kiton_taichi: ガチやん
[341.032] (S)inkgran: 有能過ぎんだろｗｗ
[341.282] (S)kkshkk: まじでMVPっす
[341.614] 顔面ユッケ: これは裏方
[341.786] (S)まとご: 見えないところでどんだけ有能なんだよ
[341.975] (S)マンゴスチン: マジで王様…
[342.003] cochi5: 至れり尽くせりやな
[342.024] matsu_zalem: すご！
[342.167] taiyaki_ltd: 切り抜き
[342.342] (S)くえんち: スタッフでしたかない
[342.559] (S)みはる_雨月: アールさんのタゲ逸らし
[342.895] kunsuzuki: 最強すぎる
[343.154] balthazar000: サポート万全か？
[343.368] blackie_1988: どこまで手回してんの
[343.377] icyblue1985: これが忠誠度100
[343.721] フニフニランド: お０おおお
[343.798] vesiter: プロじゃん
[343.865] (S)mart_00_: 有能すぎるwwwwww
[344.175] myodent21: カフェさんすごすぎてすごい
[344.315] ame512: 縁の下すぎるｗ
[344.423] (S)gyu_nyuu_pann: 手厚すぎるw
[344.448] PUCHU7788: 忠誠心の塊
[344.471] akasanz3x: 忠臣だった
[345.824] LogicalDashGG: カフェにぃすごすぎ
[345.849] pengetop: 錦織かよｗｗ
[345.872] (S)めそたん: カフェさんすごすぎるよ…… 
[346.098] こんぽち: カフェさんが神だったんだな
[346.218] トネ: すげえ
[347.358] mamimemou: すーご
[347.544] sanagi55: ありがてええええ
[347.920] v_harumi_v: いつ休んでるの？ってくらいすごい
[348.644] syugi3: 献身的すぎて涙出るわい
[349.219] dagashiya190: 嫁過ぎる
[349.475] (S)m1s4m0: 霞んじまう
[349.917] fumixxxxx: ww
[350.197] rinmu_7: さすカフェｗ
[350.367] hairi0610: 漫画のなかの有能キャラじゃん
[350.469] balthazar000: 甘やかし好きでは？
[350.492] paul1984jp: 忠臣
[350.588] (S)nacci516: この人最強のビジネスマンや
[350.771] besser_org: 今回のMVP
[351.075] lun__01: これが忠誠心ってやつなんだな
[351.311] (S)hone253: 側近が有能すぎるw
[351.369] (S)kasimu0610: すごいなw
[351.545] izawa2001: カフェさんありがと～
[351.629] (S)gyu_nyuu_pann: 神すぎ
[352.343] sakai_jin2020: あまりにもすごすぎた
[352.636] 何も知らないジョンスノウ: 介護じゃんw
[353.168] renoarenoa: 忠誠心っすわ
[353.264] eremin_39: 忠誠心
[353.264] ddddppppgggg: 準備するのよ
[353.359] Planetrollcall: プロマネージャーやんけ
[353.411] hiyokko3: 嫁じゃん
[353.674] ペプシ男: カフェさん、給料もらってもいいと思うｗ
[353.682] (S)ronamu22: あざすw
[354.254] ババシャツ: 王の思いつきの企画とは思えない・・・
[354.727] こがや: マネージャースキル高すぎ・・・めっちゃタスク多いじゃん・・・
[354.754] (S)machakyuro: もう介護士ですやんｗ
[354.786] (S)brutal9998: なにこの忠誠www
[355.601] watanabe0731: 給料もらえるレベル
[355.624] こんぽち: ガツンと甘やかしてるだけある
[355.950] kiton_taichi: 甘やかしの極地
[355.959] m_k_style: umeSalute
[356.123] (S)成吉大: お
[356.177] kino883: ありがてえ…
[356.789] teruharu_: 本当にありがとう…
[357.309] squall_2017: 仕事できすぎるw
[357.451] のぞみくん: 優秀すぎる
[358.511] gowest2018: ありがとー！
[358.759] (S)tilia211: カフェさんまーじでなんでもできるじゃん・・・
[358.857] ラリぶべぼ: その忠誠心はどこからきたの？
[360.560] kaworuko19: なんだか急に暗くなってきたような
[360.730] 閃光の: 完璧超人
[360.892] nikorinko: もっと上行ける方
[360.937] yoshikawa_yo: カフェ神…
[361.389] 記入漏れ: 根回しまでしてるレベルの
[361.520] ame512: もっとアピールして良いぞ
[361.620] towai8: アールさんのスタンス好きですよ
[362.159] weeep1: こんな神にお気持ちDM送ったヤカラがいるらしいな…
