[12.561] momiji4431: おかえり
[917.344] さっぽさんぽ: 先にスーパーあり
[917.611] n242f45aa: おっとお
[918.690] poposuke: えいた必死？
[919.334] kazukitaiga: どういうこと？
[920.411] zyangara2: えいた、お前業界辞めたいんか
[923.143] ~MISSING_COMMENTER_INFO~: ちょっとバクステしたな
[927.338] spring__thief: 対等じゃなくて優しい先輩って感じよな
[928.712] n242f45aa: えいたお前船降りろ
[930.935] suginaka56: 8mの猿
[933.213] (S)mako_oswald: えいたすり替えしてないか？
[935.434] svcchaozu: 格ゲー勢で弄りにくい人とかいるの？
[936.594] dustblowers: いや対等風じゃないよってことでしょ
[936.675] ponyaaan: ああこれが対等風か
[936.806] 宮本燈: うめさんは各ゲーマーなら尊敬しちゃうでしょ
[938.864] (S)daichan1200: ほぼ目上って、タメって意味じゃんねぇ
[939.213] (S)simmonfoxy: 配信はじめたのがでかい
[939.698] れんぞね: いい意味で対等風にしてくれてるってことか？
[941.678] zeisslover: 裸の王様
[947.364] poposuke: 今のやり取りも対等風
[947.548] セツリ: KSK
[951.989] kazukitaiga: 対等風って言ってたやん
[953.495] (S)junjamaica: これで次回えいたとトラボの入れ替わりが決定！
[955.269] ライム_: kskいったな
[956.016] HirocoT: KSKさん
[958.616] n242f45aa: ww
[963.049] np2np: 配信者ってたいてい持て囃されて気持ち良くなってない？
[964.038] かちゅう: 草
[964.994] Truth_function: 対等風おじ
[969.792] prisira: えいたじゃあの
[970.743] ageatuu: こういう感じの社長が友達でいると楽しいよ
[976.602] もきち555: KSKいたんだ
[978.226] towai8: えいたも三太郎さん的なところあるなw
[980.986] 宮本燈: 反逆罪
[981.142] (S)hinemosu4: 風が吹いてるな？
[983.742] iaheunanjda: こういう分かってる風なこと言ってる奴が一番危ないんだよなぁ
[986.420] misosiru: ｗｗｗｗｗｗｗｗｗ
[990.414] beehive3: めんどくさそう
[992.619] n242f45aa: 対等風おじ、わかる
[998.718] kazukitaiga: えいたもすぐキレるやん
[999.030] ageatuu: 海外とか温泉つれつてってくれる
[1001.491] ちいトラ: 対等風に探り入れてくる感じだ
[1010.361] komine58: sakoさんはなにおじか良くわからない
[1017.844] (S)alphabetST: 下が遠慮しちゃう対等風も有るから
[1019.827] habutaedango: え もうすぐ花巻？
[1021.805] (S)hinemosu4: 多人数散歩はほんま永遠に観れるわ
[1022.477] (S)junjamaica: えいたとトラボのうめちゃん取り合い合戦企画もおもろそう
[1024.222] セツリ: ローソンも反対車線なんですね
[1025.892] fdsfdddd: ウメちゃんの場合、なんだかんだ周りが対等風になっちゃうって感じだと思う 仕方ない子kとだけど
[1033.801] totokarutyo: まだ花巻全然遠いな
[1034.181] LogicalDashGG: www
[1037.114] tokage5577: 杖おじｗｗ
[1040.666] ライム_: LAWSON反対皮だけど
[1041.141] 宮本燈: 話が違うおじ
[1043.793] chin_56_: わがままいうな
[1045.198] spica1987: タメぐちでいいよ！も罠だったりするなｗ
[1049.799] セツリ: どこかで信号渡ってくださいね
[1057.288] hinokihinoki: 今日33キロらしいからね
[1060.375] (S)daichan1200: 休憩できると思ってたのにスルーされたらそりゃきつい
[1064.825] サポーぺイデイ: おはようございます
[1070.616] tabibitox: こういう道は横断用の地下道ありそうだけど
[1073.537] あーるわいねっとわーく: これって明確なゴールラインはあるんですか？手繋いでゴールみたいな
[1073.784] asakura921: まだ脱落者いないの意外だった
[1075.242] Jasminexxx2525: 今日どこまで歩くんですか？
[1076.178] sakanin01: そこスーパーあるしわたらなくてもよくない？
[1076.398] komine58: KSK着
[1077.569] サポーぺイデイ: 足の筋肉が徐々に慣れてきたとか？
[1081.322] ぶどうぱん: 本来このスピード感がいいのかな
[1085.999] koudou3: 今日は花巻まで
[1087.739] x_abu_xx: ゴールは弘前です
[1088.401] (S)hinemosu4: 接敵
[1088.531] mogai555: ニュー カマー
[1090.907] akasanz3x: 止まるとやっぱり来るよな
[1090.917] hinokihinoki: ケツに合わせたら本当にしんどくなるから切った方が良い最後まで見るなら
[1092.859] ~MISSING_COMMENTER_INFO~: アベックが
[1094.185] もきち555: 今４分の一くらいかな？
[1094.932] ちいトラ: ニラ！うまそう！
[1095.433] Jasminexxx2525: @koudou3 ありがとうございます！
[1104.321] habutaedango: お ほうすけ！
[1108.789] n242f45aa: ほうすけいたあ！
[1109.541] mogai555: ニラ南蛮ラーメン
[1111.895] chin_56_: HSK
[1112.317] Truth_function: ふうすけ？
[1112.521] habutaedango: おいしいよ
[1112.521] 宮本燈: 休憩は罠
[1113.769] koudou3: そこのラーメンうーまい
[1114.957] バチ0628: HSKいたぁ
[1115.511] papipopon: HSK
[1115.617] (S)yukke85: HSK
[1115.931] dcdryuya404: 🍜
[1117.441] ichi_gatsu: ラーメン食いてえ
[1119.448] furu13: 見てる方も話聞きたいんでゆっくりでいいです
[1120.419] あきル: HSK
[1122.387] にな207: 美味しそう
[1124.043] botamochibouya: 個性的なラーメンきた
[1124.946] underground0714: ええ宣伝やな
[1126.316] toro0524: 広いなぁ
[1126.633] さっぽさんぽ: スーパーアークス
[1129.499] (S)Nao_iwt222: HSK美味い
[1131.440] (S)junjamaica: この旅が終わったら抜け殻になりそうなくらい楽しい企画ｗ
[1133.034] 感動詞: KSKローソンやぞ
[1133.038] もきち555: アークス
[1133.129] suginaka56: 有名なん
[1134.640] mogai555: セーブポイント
[1136.804] muji_na: 広い
[1137.139] mc_cat_and_dj_dog: 宝介
[1139.710] embercleave4rr: 地元の生命線みたいなスーパー
[1140.274] habutaedango: ニラ南蛮
[1142.941] uni_cornet: ローソンに着いてまってるよ？
[1146.497] shiiiiida: big houseからいつのまにかarcsになってるｗ
[1147.043] samuraichampoo: ダイソー
[1147.583] ddb365: ダイソーがでかい
[1147.851] cielcloudy248: 田舎のスーパーの駐車場やなぁ
[1148.277] dcdryuya404: ツルハや！
[1148.464] n242f45aa: 足とか痛いしね
[1149.533] tokage5577: でけ～～なんかアメリカっぽさある
[1150.313] (S)daichan1200: シュートが寄りたいんだってよ
[1151.531] のってる: リスケ大事
[1155.165] simamurer2: 聞いたことないドラッグストアだわ
[1156.400] asakura921: アプデ入ったのか
[1156.409] west_dogs: 今日は何キロですか？
[1158.396] kazukitaiga: 脱落が見たかった
[1160.170] Truth_function: ひーーーろい
[1161.355] suginaka56: 👍
[1161.731] bara_567: 展勝地桜見頃だから行ってほしかったな
[1163.066] (S)simmonfoxy: 1日増やすなら龍ちゃんは途中離脱かさすがに
[1166.237] botamochibouya: ダイソーでサンダル買ったら
[1170.279] poposuke: ツルハは北海道発のドラッグストア
[1176.827] milanor02: ツルハ知らんってマジ？
[1177.315] (S)junjamaica: カフェの早さよ！
[1177.527] 破流巻: 第2弾散歩企画はいつやりますか？
[1178.344] バチ0628: でけぇ
[1178.738] habutaedango: ツルハは北海道発だよ
[1181.122] komine58: KSKがくそったれが！ってキレてるｗ
[1182.274] pecopeko: ツルハは業界2位やで
[1182.565] muji_na: 福岡にもあるよ
[1182.632] simamurer2: へ～＞ツルハ
[1183.893] かめいぬ: ツルハ懐かしい
[1184.323] maximum_konbu: maximum_konbu subscribed with Prime. 
[1186.805] taisa0131: 計11日になったん？
[1188.741] poposuke: そこのスーパーも北海道発だね
[1188.750] ちびみもち: ツルハは都内にもあるよ～
[1189.479] ohigekujira: しかし広いなぁ
[1190.214] naginagi99: 道民きれんな
[1192.503] kazukitaiga: アールはもともと多めに休み取ってる
[1193.254] ichi_gatsu: あだちにあるでツルハ
[1193.801] lm312v04wo: 東京にも一応ある
[1194.696] chin_56_: daiso umehara
[1195.243] (S)junjamaica: あの忠誠心どっからくるんだｗ
[1195.431] (S)~MISSING_COMMENTER_INFO~: 眉間のしわが
[1197.172] もきち555: ハンサムｗ
[1198.288] karimen4: またやせたなーｗ
[1198.491] komine58: 痩せたｗ
[1198.801] たぬきーですね: ツルハは東北からはそこら中にある
[1199.798] (S)ancehutn: ｗｗｗｗｗｗｗｗ
[1200.374] muji_na: ゾンビ
[1200.489] habutaedango: おりかささん！
[1201.292] makebuta: LUL
[1201.815] noboooooooooru: 梅干しみたいになっちゃった
[1202.677] n242f45aa: wwwww
[1202.967] mogai555: 一人だけ汗だくｗ
[1202.998] 水増し: おでこ黒くない？
[1203.253] asakura921: ハンサム〇にそうじゃん
[1204.429] Coedawg: umeYay
[1204.911] (S)メタルぱんだ: え？
[1205.695] dcdryuya404: 老けた？
[1206.812] akasanz3x: もうだめだｗ
[1207.692] PUCHU7788: 神託
[1207.735] simamurer2: やばそうｗ
[1207.880] (S)hinemosu4: wwwww
[1207.951] もきち555: 汗だくじゃない？
[1208.314] Truth_function: こわい
[1208.554] (S)junjamaica: よぉ4WD、いきてたかｗ
[1208.803] shinobuchan4649: ホームレスみたいにやつれてるｗ
[1209.350] kazukitaiga: 弱音か？
[1210.763] (S)daichan1200: 脳に来てるな
[1211.106] (S)hiaaru: 耳にアラレちゃんいる
[1211.621] suginaka56: 落武者
[1211.758] ちいトラ: 耳鳴りの段階ってワケ
[1212.328] ぶじん: おーツルハだ
[1212.410] samuraichampoo: 痩せた？ハンサム
[1212.666] koudou3: 干物になってる
[1212.694] asakura921: 質問に答えてないｗ
[1212.913] n242f45aa: なんかよくわからない事言ってるw
[1213.513] 谷部: こんなやつれてたっけｗ
[1213.901] 将門ゴルゴロ: 死にそう
[1214.622] chamomile21: 4WDヤバいな
[1214.863] じゅに0406: 頭バグってきた
[1215.059] senseiabcd: やつれてるｗ
[1215.433] tokage5577: 脳壊れた？？
[1216.408] donburikanzeu: 修行僧じゃん
[1216.504] zeisslover: 黒いねｗ
[1216.786] akasanz3x: 日焼けしてるね
[1216.883] muji_na: 焦げてる
[1218.165] (S)Nao_iwt222: 大丈夫か？
[1218.221] こがや: 田舎のJKはツルハデートしちゃう
[1218.638] さっぽさんぽ: アークスも本社札幌だし
[1219.994] dcdryuya404: LUL
[1220.234] 破天荒田中: 落ち武者（リアル
[1220.536] 宮本燈: 水分補給大丈夫？
[1220.559] komine58: もはや笑顔はないｗ
[1220.704] (S)junjamaica: 汚れかもよ
[1220.833] tukumi07: げっそりしてる
[1220.927] yuugao0176: 仙人
[1221.143] chin_56_: ノーハンサム
[1221.180] unagimaccha: なんか黒ずんでる
[1221.818] (S)yorime_3: 捕虜やん
[1221.863] プーゴリちゃん: マジで無理はしないで
[1222.145] かに〇: 老けた？
[1222.322] Truth_function: 日焼けしたさくら
[1222.786] ライム_: ハンサム駄目そうならリタイアしてくれな
[1224.519] enuemu3: 大丈夫かハンサム
[1225.113] mogai555: ひとりだけ落ち武者おる
[1225.475] caesa55: 大丈夫か・・
[1226.058] ぶどうぱん: 山王戦の時の三井みたいなこと言ってる
[1226.305] kchyan: ほほコケてない？
[1226.705] senseiabcd: 修行僧
[1227.259] 可視化: 10歳くらい老けた
[1228.454] telecoder1: 栄養足りてる？
[1228.885] karimen4: 首がポッキー並みにｗ
[1229.508] ~MISSING_COMMENTER_INFO~: ハンサム、もう...
[1231.395] shinobuchan4649: 入店ワンチャン断られそうな風貌
[1232.018] ペプシ男: ハンサム、ゴールしたら消えてなくなりそう・・・
[1232.452] chikotsu: やばそう
[1232.598] (S)Kojirou5260: 日焼け止め買ってこ
[1232.740] asakura921: そろそろやばそう
[1233.203] komine58: KSKキレてるよｗｗ
[1233.755] suginaka56: そのまま大河ドラマ出れそう
[1235.174] n242f45aa: ハンサムあかん
[1236.226] ryuya13: 疲労で急死とかやめてや・・
[1236.724] svcchaozu: 会話微妙に噛み合ってないのちょっと怖いな・・ｗ
[1237.526] ロンロ: ハンサムさん帽子かぶったほがいいよ
[1237.777] matsu_zalem: ゴールの頃にはみんな黒くなってそうね
[1238.914] celsior_chan: 今kskここ向かってます
[1240.694] nitamago33: ハンサムが一番きつそう？
[1245.296] samonyan: ハンサム細くなってない？
[1246.789] yas1549: KSK今来る
[1247.125] alemi50: 日焼けは疲労感マシマシになるからケアしたほうがいいかも
