[33.339] kohacha05: こんばんはー！
[1010.844] めてい: こんばんは
[1020.051] カンテんっごろ: オクタンさんリスナーさんだな？ｗ
[1047.426] 常時狂う兄2: モクの時間短くなってるからクールタイム短くした方が便利っちゃ便利
[1153.149] 常時狂う兄2: 実力的にこのランクならマンパワーでゴリ押せそではある
[1254.635] カンテんっごろ: このオクタンさんもサブ垢ですよ絶対
[1420.259] tometome06: そこらじゅうにいるな
[1497.277] 常時狂う兄2: ハボックあるある
[1516.285] トロズワイガニ: アンチ際で人集まるの不毛すぎる
[1578.016] (S)hennaoji: ブラハ
[1580.587] カンテんっごろ: レブが最強です
[1584.946] 常時狂う兄2: マギー
[1596.094] sugofes: バンガはサブマシンガンにデジスコ付かなくなったのが痛い
[1804.167] カンテんっごろ: お尻ｗ
[2060.086] 常時狂う兄2: EVA8とWMとボセックとクレーバー
[2084.712] 常時狂う兄2: 最初のケアパケは金武器出ます
[2129.649] 常時狂う兄2: www
[2615.290] (S)hennaoji: ・・・・
[2739.951] sugofes: シーズン何くらいまでやってたんですか
[2812.799] (S)hennaoji: サブアカの魔窟だ
[2865.145] えっっっくす: fmlchRoll
[2873.718] sugofes: 今20すね
[2941.858] らいずですよん: ヒューズのときね
[2978.012] sugofes: 誰かとやらんと続けれないこれ
[2984.623] らいずですよん: ソロマスは苦行だよ
[3050.822] (S)satoooooooooshi: UKも代々木公園で弾き語りしてね
[3053.643] らいずですよん: 7か
[3096.985] えっっっくす: サクッとチャンピオン…？
[3185.858] sugofes: 2年ぶりくらいに最近やってるけどマジで敵強い
[3192.427] (S)satoooooooooshi: 100は超えてた
[3200.674] ンパールーパー: めちゃくちゃ被ってる
[3265.567] kitakiy: 初見ですYouTubeのギターコーチング動画から来ましたUKさんエペするんですね
[3303.297] えっっっくす: エペの「初心者のフリして〜」みたいな動画よく回ってくるけど、その度なんか嫌な気持ちになります…笑
[3365.950] ンパールーパー: フリする意味がわからない
[3371.891] (S)satoooooooooshi: モニタリングのパクリみたいなね
[3381.854] ンパールーパー: パスファインダー可愛くて好きだわ
[3443.053] ンパールーパー: 起こしてぇ
[3537.072] ンパールーパー: パス強くね？
[3683.174] kitakiy: 99PK使ってるの古のプレイヤーって感じする
[3716.483] ンパールーパー: パス頑張れ
[3717.122] mimizuho: algs見てる？
[3893.902] らいずですよん: きちぃ～
[3900.911] ンパールーパー: 取りに行くのか？
[4014.988] ンパールーパー: 漁夫かな
[4038.123] ンパールーパー: nt
[4067.161] らいずですよん: 相変わらずエイムアシストえぐういな、頑張ってエアストレイフしてもワンマガかよｗ
[4075.481] (S)hennaoji: サクッといこうぜ
[4098.843] ンパールーパー: だいたい、パッド2、キーマウ1とかじゃない？
[4137.087] らいずですよん: そうやね
[4139.246] ンパールーパー: そそ
[4157.793] ンパールーパー: びっくりしたw
[4240.461] らいずですよん: ｗｗｗｗｗ
[4252.807] ンパールーパー: 何も無かったねぇ
[4258.933] たけとんぼ: サクッとチャンピオン取るまで終わらん系ですか？？
[4259.667] ンパールーパー: wwww
[4266.858] えっっっくす: やっぱり時代はローモバですね
[4270.349] ンパールーパー: 今のは、なかったことにしよww
[4312.180] たけとんぼ: サクッと取るまで見続けよう
[4338.961] ンパールーパー: プラウラーも強くなかった？
[4347.616] らいずですよん: 99は反動終わっててgmってきいた
[4354.240] kitakiy: ハボックヘムロックあたり強い
[4359.292] ンパールーパー: 99は最弱って聞いた
[4427.665] カンテんっごろ: ukさん腰撃ちめっちゃうまいですね
[4432.812] たけとんぼ: スピットファイア水色のイメージあったけど知らん間に色変わってた笑
[4483.978] らいずですよん: 俺も久しぶりにしたときストッピングしちゃったｗ
[4499.070] たけとんぼ: あれが緑って色か…学びや笑
[4509.897] ンパールーパー: wwww
[4514.477] カンテんっごろ: ｗｗｗ
[4520.303] ンパールーパー: でも、似てるよね。色
[4526.239] (S)こよ111: クオリアって奴ですよね
[4528.946] ンパールーパー: 緑っていうか…ミント色に近いし
[4590.908] らいずですよん: スナアモと区別あまりつかなそうでつらそうやな色盲アニキ
[4591.609] えっっっくす: えっっっくす gifted a Tier 1 sub to たけとんぼ! They have given 74 Gift Subs in the channel! 
[4610.744] ンパールーパー: スナアモは紫だっけ？
[4620.438] らいずですよん: スナアモは青
[4661.037] ンパールーパー: え、あれ青なの！？w ずっと紫見えてたww
[4698.204] らいずですよん: 色弱を認識する放送となっております
[4706.080] カンテんっごろ: 自分も紫やと思ってました
[4709.244] ンパールーパー: ばって類は、ちゃんと青に見える
[4727.765] らいずですよん: 下手な色弱テストよりukの放送見たほうがいいじゃねぇかなｗ
[4728.297] kitakiy: アーマーの進化ポイント貰えるよ
[4734.586] えっっっくす: パソコンの設定説？笑
[4750.567] (S)たけとんぼ: @x_100348 ありがとうございます！知らん間にサブスク切れてました笑
[4780.533] えっっっくす: fmlchShake
[4793.080] ンパールーパー: 藤の花の色を濃くした感じか…
[4854.143] らいずですよん: ルーキー帯魔境や
[4904.269] らいずですよん: あるよ
[4906.492] ンパールーパー: 仲良ﾀﾋ
[4995.152] ンパールーパー: 初期スキンライフラ久しぶりに見た
[4999.188] えっっっくす: ヴァロといえばTENNNさんfennelにレンタル移籍
[5053.318] ンパールーパー: うると早くなるのはなくなったっけ？
[5058.659] ンパールーパー: 忘れた…w
[5107.384] らいずですよん: グレ2、バッテ3、フェニキ2もてるんだっけな
[5120.227] kitakiy: バッテとキットが3個ずつ、フェニキが2個持てるようになる
[5121.070] ンパールーパー: 1個ずつ増えるのか。回復系持てるやつが
[5175.905] ンパールーパー: 怖、落ちるかと思った。
[5180.714] ape_in_art: UKさんおやすみなさい
[5204.975] カンテんっごろ: ネメつええええ
[5228.281] カンテんっごろ: リコイルがうまい
[5231.562] らいずですよん: 相変わらずの強さや
[5307.011] ンパールーパー: 運転荒いから振られたのか？
[5409.965] ンパールーパー: チャンピョン来い
[5524.195] ンパールーパー: クラフト1秒で終わるよ。
[5631.074] free1284: エースじゃん
[5638.341] ンパールーパー: ないすー
[5649.702] ンパールーパー: w
[5662.738] らいずですよん: いいね！
[5666.453] ンパールーパー: フラグだから転がるのかw
[5694.049] free1284: このランク帯あるある
[5701.523] ンパールーパー: 漁りたいお年頃
[5751.329] らいずですよん: uk見てたらペクスやりたくなってきたからまた再インスコしたよ
[5755.259] えっっっくす: !明日のお昼ごはん
[5791.348] free1284: ぴょーんて飛ぶやつじゃね？
[5792.482] ンパールーパー: レヴって飛びついてくるやつ？
[5801.741] kitakiy: ウルトが変わって体力増えるから対面激つよ
[5804.171] らいずですよん: ぴょーーーーんってするやつ
[5807.967] ンパールーパー: 四足歩行みたいになって飛ぶよね
[5829.045] sugofes: ウルト体力75くらい増えるんだっけ
[5829.264] ンパールーパー: キャリーして貰お
[5830.266] らいずですよん: バッジみして
[5834.950] えっっっくす: プレデター経験者！？
[5838.758] ンパールーパー: 周りに卵飛んでるみたい
[5916.114] ンパールーパー: 見せてくれ、プレデターの実力
[5919.024] (S)たけとんぼ: レヴめっちゃ喋るやん、かっけぇ
[5972.498] ンパールーパー: こんにちはぁ〜
[5976.110] ンパールーパー: え
[5977.248] らいずですよん: あ
[5978.592] ンパールーパー: どこからw
[5990.180] らいずですよん: S10の片スプかな
[5997.131] ンパールーパー: プレデター頑張って
[6035.451] ンパールーパー: しょがない
[6043.906] ンパールーパー: 漁夫りにきたのかな
[6071.772] ンパールーパー: かっこいい
[6093.043] イキイキ乳酸菌: APEXスキンだせえよ；；
[6116.475] ンパールーパー: ヴァロのミニマよりマシな気がする……､
[6150.028] ンパールーパー: もう宗教なのかw
[6170.776] free1284: センチ初動くそつよいよ、プロが使ったらだけど
[6197.742] ンパールーパー: 初動センチ、人によっては、ショットガンよね
[6252.980] free1284: セル巻いて普通に初動なら一発で持って行ける
[6280.320] ンパールーパー: セル巻き巻きだね
[6305.744] ンパールーパー: 覗く人もいるし、覗かない人もいる
[6361.249] えっっっくす: レイスの白目こわい
[6387.283] ンパールーパー: 時空越えすぎて、目玉溶けたんかな。
[6398.891] らいずですよん: 懐かしい
[6433.307] えっっっくす: こんな演出あるんだ
[6433.507] ンパールーパー: レイス、ファイト
[6434.584] (S)たけとんぼ: レイスの坊主怖くてちょっと苦手
[6455.164] ンパールーパー: 少し前、坊主スキン多かったイメージあるな
[6472.617] ンパールーパー: あと、猫みたいなやつ
[6489.898] ンパールーパー: 金色の
[6540.695] えっっっくす: 復活！
[6549.140] ンパールーパー: おかえり〜
[6643.697] えっっっくす: えっっっくす gifted a Tier 1 sub to ツイ廃! They have given 75 Gift Subs in the channel! 
[6677.590] (S)ンパールーパー: サブスクありがとうございます🥲🫶🏻
[6690.572] (S)こよ111: ローモバ時短アイテム無くなっちゃったんですけど、参考までにUKさんいくらくらい課金してますか？？
[6753.376] えっっっくす: 何を買ったら良いか分からなくて最初の160円のセットしか買ってない…
[6782.964] (S)ンパールーパー: かくれんぼして、ランク上げよ
[6815.009] えっっっくす: 城11→12を今18時間待ちしてます…
[6879.289] (S)ンパールーパー: シールド系が…
[6887.011] カンテんっごろ: 今きてるバリスティックのスキン世界一かっこいいですよ
[6941.200] muzjyou: めちゃくちゃハイセンシ？
[6944.478] (S)竹原: ローモバ時間消費待機場はここですか
[6969.351] (S)ンパールーパー: 間に合うか…
[6976.554] かげかつでしょ: おはようございます。
[6978.501] らいずですよん: あ
[7018.558] そーん: batoraRikimuna
[7022.959] (S)ンパールーパー: 1気に減ったw
[7031.604] (S)ンパールーパー: 10部隊から5部隊に
[7056.498] (S)ンパールーパー: 5部隊で10人未満って結構かけてない？各部隊
[7100.153] muzjyou: フラトラはハボックに撃ち負けるんだよねぇ
[7116.343] そーん: いらない
[7120.477] (S)ンパールーパー: ない
[7121.012] らいずですよん: いらん
[7128.495] カンテんっごろ: 金はなかなかやれますよ
[7169.399] muzjyou: モク中でワンちゃんあったかもね
[7194.387] (S)ンパールーパー: ヴァロで培った射線管理で
[7206.332] (S)ンパールーパー: 焦るよね。1人って
[7216.997] カンテんっごろ: バリスティックみてくださいｗ
[7241.701] (S)ンパールーパー: スキンだっけ？バリスティック
[7242.229] muzjyou: メガネかけてるじじいアサルトの
[7247.900] kitakiy: アサルトの一番右
[7261.591] えっっっくす: さくっとチャンピオン取って、ほんの少しで良いのでローモバ道をお願いします💦
[7275.931] (S)ンパールーパー: ww
[7284.326] そーん: 道をお示しください
[7301.498] イキイキ乳酸菌: ローモバの民もいます
[7311.442] (S)ンパールーパー: 今、ローモバの話してるのにぃ…!!
[7318.623] free1284: 味方ちょっとやるっぽい
[7321.765] えっっっくす: 城のレベル上げに18時間待つのはさすがに課金ですか…？泣
[7333.462] そーん: 連打マンや
[7334.889] muzjyou: めちゃくちゃピンならすやんｗ
[7344.217] (S)ンパールーパー: ピンうるせぇよw
[7373.894] イキイキ乳酸菌: ｗｗｗｗｗｗｗｗｗｗｗ
[7376.720] (S)ンパールーパー: ストーカーだわw
[7378.861] (S)たけとんぼ: おもろい笑
[7379.506] kitakiy: wwwwww
[7386.126] (S)ンパールーパー: めちゃくちゃ粘着質やん、相手wwwwwww
[7403.292] muzjyou: めちゃくちゃパッドわかりやすいなｗ
[7413.791] (S)ンパールーパー: エイムアシスト最高〜(脳死)
[7419.009] そーん: ドア閉められず
[7497.039] (S)ンパールーパー: 回復してる時のレヴの指動くの好きなんよね
[7504.620] イキイキ乳酸菌: ｗｗｗｗｗｗ
[7514.068] (S)ンパールーパー: 棒立ちで漁りまくりますwww
[7527.530] (S)ンパールーパー: wwwwwwww
[7532.071] free1284: タルコフより漁る
[7535.417] えっっっくす: 世界変えてこ？
[7550.647] (S)ンパールーパー: なんだよ、これwwwwww
[7556.738] イキイキ乳酸菌: パッド下手でも弾当ててくるの腹立つんだよな
[7567.406] (S)ンパールーパー: 最後の撃ち合いおもろいwwww
[7569.765] らいずですよん: 親指かよｗｗｗって名前
[7575.566] カンテんっごろ: すとあですね
[7624.785] (S)ンパールーパー: ヴァロにpadなくてよかった
[7644.868] (S)ンパールーパー: 俺が来た
[7652.929] えっっっくす: UKさんの「これで最後」が信用出来なさすぎて有難いです
[7681.418] (S)ンパールーパー: オクトゥン？
[7710.916] (S)ンパールーパー: シアだァ〜！
[7742.440] らいずですよん: UKさんって布団ちゃんがアフロさんになるクリップ見たことありますか？
[7744.522] イキイキ乳酸菌: SeemsGood
[7744.605] カンテんっごろ: 一緒に行こうかはおかしいｗｗ
[7749.383] (S)ンパールーパー: wwwwwwwwww
[7756.327] イキイキ乳酸菌: BloodTrail
[7769.823] (S)ンパールーパー: しんどwwwwww
[7785.276] kitakiy: 面白すぎるwww
[7789.458] らいずですよん: wwwww
[7791.425] (S)ンパールーパー: オクタン…シールド巻かないとｼんじゃう
[7795.213] カンテんっごろ: ｗｗｗｗ
[7799.791] イキイキ乳酸菌: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[7800.316] (S)ンパールーパー: オクタン！wwwww
[7806.718] free1284: かわいいじゃんｗ
[7813.580] イキイキ乳酸菌: 流石におもろすぎるｗｗｗｗｗ
[7814.127] えっっっくす: 面白いポイントが分からなくて悔しい
[7821.392] (S)ンパールーパー: オクタン72ダメなの可愛いなwwww
[7844.080] (S)ンパールーパー: それ、誰？フリーザみたいなの
[7845.748] イキイキ乳酸菌: 鉄拳！？
[7848.047] (S)ンパールーパー: レヴか
[7851.008] (S)satoooooooooshi: 紫いい色だよねえ
[7862.327] えっっっくす: 銀魂に出てきそう
[7863.303] (S)ンパールーパー: フリーザ見たいって言っちゃったwレヴのこと
[7877.832] カンテんっごろ: まじでかっこいい
[7887.246] イキイキ乳酸菌: パクリ方が素直すぎだろ
[7897.768] (S)たけとんぼ: これで最後から自然とやり続けてる笑
[7905.102] イキイキ乳酸菌: ラスト、ね
[7905.155] えっっっくす: ラスト(n回目)
[7907.242] カンテんっごろ: グレの直立ふっとび一番おもろいですね
[7915.910] (S)ンパールーパー: ※1言目、ラストから三戦目です
[7923.325] カンテんっごろ: ｗｗｗ
[7923.486] (S)たけとんぼ: UKさんはまだまだ続けてくれるはずや笑
[7952.222] (S)ンパールーパー: プルスウルトラって言った…,?ヒロアカじゃん
[7996.262] (S)ンパールーパー: なんで、オクタンってこんなアホっぽい可愛い走り方なんだろ
[8063.238] (S)ンパールーパー: 伝家の宝刀
[8068.055] らいずですよん: 扱えるのか
[8083.376] i_eki: OASISのフォントしょぼいんだよなあ
[8084.557] (S)ンパールーパー: 古のプレイヤーたちでさえ、手放した99
[8105.533] カンテんっごろ: ｗｗｗｗｗｗｗｗ
[8105.912] らいずですよん: ｗｗｗｗｗｗｗｗ
[8106.649] (S)ンパールーパー: なにしてんのwwwwwwww
[8108.977] イキイキ乳酸菌: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[8109.488] (S)satoooooooooshi: 笑磯崎
[8112.261] えっっっくす: fmlchShake
[8112.281] カンテんっごろ: 最高だわ
[8113.301] (S)satoooooooooshi: 笑笑
[8114.608] (S)ンパールーパー: 急なボクシングwwwwwww
[8115.563] イキイキ乳酸菌: これ負けるまじかよ
[8118.080] らいずですよん: 味方ぶん殴ってたぞこいつ
[8126.806] (S)ンパールーパー: ヤケ起こしてたぞwwwww
[8134.312] カンテんっごろ: 元気でるわ
[8135.757] (S)ンパールーパー: どうにでもなれパンチやんwwwwww
[8141.011] イキイキ乳酸菌: これ勝てないでどこ勝つんだよｗｗｗｗ
[8158.899] free1284: ルーキー帯ってほんとにまだルーキー帯ちゃんとやってるんだな、安心したわｗ
[8177.298] (S)ンパールーパー: wwwwww
[8178.553] (S)satoooooooooshi: いいね！
[8190.318] free1284: 気持ちは見せたけどなあいつ
[8192.343] (S)ンパールーパー: あのパンチまじでなんだwwwwww
[8203.653] カンテんっごろ: 気持ち大事
[8208.598] (S)こよ111: ファイナルラストきた！
[8246.975] (S)たけとんぼ: こんな時間帯まで続けてるくらいやからパンチの子も凄い楽しいんやろな笑
[8282.676] (S)ンパールーパー: 終わったあと少し笑ってんだろなwwさっきの子
[8302.297] (S)ンパールーパー: クリプトぉー
[8329.697] (S)ンパールーパー: 痛い……
[8362.411] (S)ンパールーパー: wwww
[8377.153] カンテんっごろ: ラジコンｗｗｗ
[8377.661] (S)ンパールーパー: 各キルカメラww
[8388.830] (S)ンパールーパー: 大会の神目線じゃないんだからwww
[8436.133] (S)ンパールーパー: 一瞬で見えてんのかな
[8442.304] イキイキ乳酸菌: ？
[8442.763] (S)たけとんぼ: 見れてるんかな？笑
[8443.876] カンテんっごろ: お茶吹いたって
[8444.879] free1284: これがこいつの編み出した生きる術
[8446.207] (S)ンパールーパー: 絶対見えてないwwww
[8447.108] イキイキ乳酸菌: 発作でてるやん
[8449.366] kitakiy: 何も見えんやろw
[8456.961] (S)ンパールーパー: くせでしょwwww
[8487.114] (S)ンパールーパー: あ〜、マービン！！
[8508.985] (S)入浴: おはよう御座います！
[8553.696] (S)ンパールーパー: 拾ってもらお
[8604.393] カンテんっごろ: あプグレでもく回復できますよ
[8711.665] kitakiy: アップグレードの回復は増えたアーマー分だけなので肉は回復しない
[8746.112] (S)ンパールーパー: 瞬どけやぁ
[8763.382] イキイキ乳酸菌: れんと君～？
[8766.006] カンテんっごろ: モク中回復のアビリティがあるって意味です、わかりにくくて申し訳ないです。
[8799.712] (S)ンパールーパー: 闘えない
[8810.452] (S)ンパールーパー: だが、闘う意思はある
[8818.501] イキイキ乳酸菌: ギャン逃げ
[8828.446] kitakiy: そこまで考えれてなかったですすみません笑
[8869.139] イキイキ乳酸菌: FBtouchdown
[8869.298] (S)ンパールーパー: デーす
[8883.234] (S)satoooooooooshi: まだまだだぁ！
[8884.986] カンテんっごろ: アンチ移動きっついっすねえ
[8887.386] (S)ンパールーパー: お手上げ
[8903.791] (S)satoooooooooshi: にゃー
[8905.899] (S)たけとんぼ: お疲れ様でした！！
[8906.610] (S)ンパールーパー: おやすみなさーい
[8907.691] えっっっくす: お疲れ様でした！
[8908.700] kai_yukihiko: お疲れ様でした
[8908.831] (S)satoooooooooshi: おつかれさま〜
[8909.081] イキイキ乳酸菌: ひん
[8910.010] カンテんっごろ: おつです
[8911.289] __ひびき: おやすみなさい〜
[8914.927] (S)竹原: おつです
[8915.164] kitakiy: お疲れ様でした〜！
[8916.321] (S)たけとんぼ: おやすみなさいマシ
[8917.770] らいずですよん: おつう
[8918.172] free1284: おつー！
[8922.354] (S)入浴: お疲れ様ー
