[27.969] ancehutn: スト７！？
[778.378] kuniyoshi8: そうなんすね、ありがとー
[779.509] おやつハンター: PPP
[780.965] 四国エスハ: P
[781.071] perfecttakahashi: すごい試合だなww
[783.075] gin_and_nick: PPP
[783.783] tntnzxcasd: www
[784.181] lutz001: Pが３つ
[785.645] kiton_taichi: マジでじゃんけん
[786.229] meshiuma3150: めずらしい
[787.613] Krizalid99999: ww
[788.834] noritama58g: すげぇ！
[794.048] Moyashi300: スト6らしい
[794.460] 四国エスハ: ウメちゃん散髪は何カットなの？
[795.135] kuniyoshi8: Pやりあいww
[797.733] aranami0: 草
[805.127] pondenring0930: Pの数をかぞえろ
[808.540] (S)oka1984: oka1531 subscribed with Prime. 
[811.900] (S)イエール: ときんすも多分笑ってるな
[812.439] shiemi483: 端背負いで大Kしてもお互いいいこと起こってないですね
[815.787] pepepe393: そういえばなんで白胴着に戻したん？
[818.990] asagiriv: ケン相手だとやり返すが難しいんか
[824.084] raurakd: ときんす何か掴めてるといいな
[828.450] gettyozi: いつものラシード
[834.784] (S)イエール: kzhカップでリクエストあって白ケンにしたよー。ファンサだねー
[844.445] pepepe393: なるほどねー
[861.084] soitan8391: 有識者にお聞きしたいのですがケンの中距離戦って何振ればいいですか？
[864.481] bikibiki999: ウメちゃん新コス使うんだろうか…
[867.495] blackcoffee0821: 新コス明日か
[879.067] shellfish55: 絶対使わないっしょダサいし
[883.401] pepepe393: 中距離は一文字じゃね
[891.527] gin_and_nick: ケンの新コスなぁ・・・JPみたいなのが良かった
[902.187] (S)イエール: 新コスの真っ黒があればニーガンっぽくなれる......。
[905.145] (S)noi2102: ガイルの新コス多くのひと使いそう
[914.799] pepepe393: ケンの新コス髪短ければよかったよねー
[919.294] Moyashi300: 新コスの格差すごいよね
[920.974] shellfish55: リリーが一番増えるだろうな
[928.967] オワオワタ: リュウ以外のコスはおおむね好評な模様
[934.189] (S)イエール: ガイルがやっぱりカッケー
[937.689] bikibiki999: そういや新コスって複数カラーあんのかな
[940.856] blackcoffee0821: リュウは逆に多そう
[941.816] mishi_hakushi: ガイル新コスイケメンすぎてガン待ちされても許せるかもしれない
[945.246] alice_in_jp: あれなら5のデフォコス欲しかったわケン
[950.575] (S)noi2102: りゅう⋯
[950.657] 憂う者の弟子: やったか！？
[955.179] pepepe393: リュウは渋くてよき
[959.748] zyangara2: ケンのコス自分は大好きだけど長髪嫌いな人には大分不評ね
[963.417] (S)イエール: 良い！！
[964.798] shellfish55: リュウは結構あり！過小評価しすぎ
[967.931] 母の日ですお母さんに: 昇竜軒の店長
[972.167] kiton_taichi: リュウの新衣装は脱衣コマンドで頭のタオルが取れることを期待してる
[973.062] bikibiki999: ルークも微妙な反応じゃねデフォコスみたいな感じだし
[974.467] 図ト_和風ゲーム総本山: 新コスって値段けっきょく未発表？？
[984.562] (S)noi2102: そもそも新コス良いのばっかよね
[987.684] gin_and_nick: リリー、ガイル、ザンギ、JPあたりが好き新コス
[990.707] pepepe393: ルークはトラウマが蘇っちゃう
[998.009] shellfish55: ルーク普通に好きなんだが
[1000.739] (S)イエール: JPもイケオジだったね
[1011.285] sobabetterudon: さとるラシードももう高1なんやね
[1027.696] (S)noi2102: ルーク腕のデカさが目立つ
[1029.672] une3333: 明日13時〜17時メンテなんで、今のうちにやっておきたいですねー
[1032.062] (S)osarusan26: ウメさんの今週末のトナメ２回戦でいきなりtasケンと当たるのきついね
[1047.056] オワオワタ: ルークの腕の入れ墨きらい
[1051.407] Hikaru_256: 新コスといいジェイミーは優遇されてるな。見た目が
[1056.829] tsubomaru: ガイルのアレコスは買う
[1058.500] 母の日ですお母さんに: すげえ判断
[1060.735] bikibiki999: ナイス判断
[1066.949] pepepe393: 今週末ってなにあんだっけ
[1078.633] tabibitox: 空中でも派生が重なるんか
[1080.025] (S)osarusan26: tasじゃてくてtsさんか
[1085.215] one596: CPT順当にいけばTOP32手前でボンちゃんだけどルークまだキツい寄り？
[1092.352] naien3: ラッシュ止めまくり
[1096.657] gin_and_nick: リリー使わないけどリリーの新コスは買うｗ
[1097.504] (S)dokuyubi: ラッシュ止めお
[1099.554] une3333: ジャパンプレミア、CC進出への一発切符
[1103.591] takahashiseigi: ts、ボンちゃん、えいたらと当たるかも
[1105.152] pepepe393: ty
[1107.725] ホナウド: クラッシャーも
[1109.459] (S)kkr_l: 1回勝てばtsかな
[1111.831] (S)イエール: しんどいw
[1112.064] one596: 順当ならtsさん→えいた→ボンちゃんでTOP32
[1112.682] kuniyoshi8: きっついねぇ
[1114.697] maruino351: きつｗ
[1115.065] shellfish55: JPいなくてよかったー
[1118.923] Hikaru_256: ６でもラシード戦得意な感じですかね
[1119.975] sn0wf0x3: きつw
[1122.328] tabibitox: まぁ日本は
[1123.125] (S)ちぇんぷる: きつすぎww
[1128.097] une3333: 今のボンちゃんは高い壁だなぁw
[1128.699] maruino351: がんばってえええ
[1129.443] kuniyoshi8: どうせねｗｗ
[1129.697] kiton_taichi: 他にもまだ見ぬ強豪がいるかも
[1131.180] hirokiaaa: きつすぎだろ
[1134.662] ほうじ21: まあどこでもきついわな
[1134.714] aranami0: 地獄っすw
[1135.724] (S)yukikaze083: きつすぎるｗ
[1135.940] (S)イエール: 日本だしねw
[1140.286] aruch_22: どこもきつい
[1140.381] 残り8万: ボンちゃん倒して32かよ
[1140.384] zazzzzzzzn: どこ行ってもキツいな
[1141.453] kurare2020: がんばって
[1143.471] オワオワタ: きついの一人とは必ず当たるからなぁ
[1144.697] tama_zx61: 邪神降臨くるか
[1145.041] miyusayers: ウメプールともけプールがやばかった
[1148.614] kiton_taichi: どこもかしこも地獄ばかり
[1152.412] pondenring0930: 感情が
[1152.692] prisira: 日本は終わってる
[1157.143] takahashiseigi: 最近のえいたはCルーク使い
[1160.768] zyangara2: 日本だけCC優勝候補多すぎるからマジで運ゲー
[1162.200] one596: どうせ皆地獄はそうw
[1171.202] une3333: ボンちゃん確実にtop8入りそうだけど、大会だからなぁ
[1171.880] goroutai: 修羅の地日本
[1172.783] balthazar000: 毎回きつすぎて慣れた的な？
[1178.940] shellfish55: ふーどいなくてよかったよ
[1179.275] 母の日ですお母さんに: 一瞬でバーンアウトしとる
[1180.151] (S)イエール: リュウビ！！
[1181.011] punpunjp_: おりゃ
[1181.401] prisira: 海外プレミアの方がまだワンチャンあるｗ
[1209.255] tama_ko: 高めだと+27で重なんないっす
[1209.482] おやつハンター: 黄回線
[1220.991] 残り8万: 人数多すぎて結局強い人がそのまま残る
[1222.328] tabibitox: 高さか
[1226.980] shellfish55: ラグいな
[1228.754] tama_ko: ちなみに低めヒットだと+26で重なります
[1231.339] ホナウド: ってかリリーとかキンバリーに当たるほうが負けそう
[1234.222] bikibiki999: キンバリーの新コス髪型で台無しになってんのほんま…
[1241.959] one596: ふ〜どさんと同じプールの人達だけは流石に同情するw
[1243.805] hojihojidx: 白胴着つづけるんだ
[1244.642] une3333: ふ〜どさんいるらしいですけどね
[1256.561] une3333: 脱衣コマンドがあるかどうか
[1266.497] takahashiseigi: 翔のプールはリーガー4人いるらしい
[1283.573] (S)イエール: サメプール
[1283.958] shellfish55: ラグいキンバリーやだなぁ
[1289.705] bcontyan: 出ないよねぇリバサ
[1289.819] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[1290.012] LividJaffa: R=2F
[1295.041] ゆっくり2121: こんばんは
[1296.635] donburikanzeu: 前のアプデからラグ増えた気がする
[1300.021] shellfish55: 2Fらぐいのか
[1300.151] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[1300.231] (S)イエール: DinoDance
[1302.787] 憂う者の弟子: カプコン、リバサ出ないぞ！
[1302.832] casita226: リバサでないファイター６
[1305.296] zazzzzzzzn: めちゃくちゃでにくい
[1310.403] tabibitox: 韓国なのに中国よりラグいのね
[1324.147] 残り8万: リバサでないから攻めるのが強いって理論好き
[1338.708] casita226: 起き攻めで遅らせると逆に食らうから困る
[1349.027] (S)goto888: リバサでなさすぎて離し入力onにした
[1360.620] casita226: ガードしてるときは出る
[1372.844] (S)osarusan26: ボンちゃんがこないだのSFL勝利雑談で酔っ払って気持ちよくなって「来年ウメはSFL出るの？ウメと久しぶりに組みてぇなぁ」って言ってたよ
[1382.584] yuki_aion_aion: キンバリーにボコボコやね
[1389.796] (S)イエール: umeCossack
[1395.082] shellfish55: ラグいからまぁ仕方ない
[1398.699] (S)イエール: まーじか
[1402.243] 残り8万: 起き攻めでラッシュ使って無敵技コマンド打てなくするとかいう鬼畜戦法
[1408.870] (S)イエール: うおおおw
[1410.313] une3333: あっちこっちw
[1416.948] sn0wf0x3: すきやりbot
[1418.938] prisira: 来年出る気なくてふーどが説得してるらしいがリーグ
[1419.698] 憂う者の弟子: すきあり！
[1421.328] naien3: reject beastでウメふ〜ときボンおなしゃす
[1422.808] une3333: ww
[1423.916] (S)sakazuki_gensui: sakazuki_gensui subscribed at Tier 1. They've subscribed for 6 months, currently on a 6 month streak! Diego さん道着戻りました？これからもファイトですラシードMR1700ですランクマの対戦リベンジ楽しみです
[1424.097] kiton_taichi: ヤル気満々
[1427.830] pepepe393: ウメさんは離し入力オンにしてるの？
[1428.006] 吉田じんぎ: パリィ押した3f目以降にジャスパする時があって激ヤババグじゃんと思って調べたら別に大して使えなかった小ネタ見つけたけど興味ない？
[1439.021] (S)イエール: 神器兄！！
[1444.968] tabibitox: 武器商人きた
[1447.103] shellfish55: 離しは流石にオフ
[1448.412] (S)フラジャイル: フラジャイル subscribed with Prime. They've subscribed for 8 months! 
[1450.683] (S)のぶとも: 今日の神器のコーナーきた
[1453.124] domontyan: Cheer100  うめちゃあああああああん
[1453.221] kuniyoshi8: 武器や
[1460.761] kawasak1n: 王こんばんわー 
[1464.522] 戸愚呂妹: 喉が…
[1464.791] 吉田じんぎ: 使えねんだなぁ
[1467.083] pepepe393: 離し入力のデメリットってなに？
[1469.170] TetsuoMax76: Hi Daigo!
[1485.419] casita226: 暴発かな→離し入力
[1489.738] tabibitox: もれる
[1492.286] (S)ponponguripon: 色がお揃いだね
[1494.083] muteking510: 来年はREJECTといぶし銀がリーグ出るかもだし楽しみ
[1500.991] shellfish55: 技もれるんよ
[1504.595] heterotopia3: 離し入力はonだと出すぎてoffだと出ない
[1505.737] bcontyan: 離し入力の暴発はスト５でこりごりだよ
[1506.220] (S)イエール: 新日感あるコス
[1511.321] (S)のぶとも: このザンギもよく見るねぇ
[1511.332] hojihojidx: 最上位のＭＲってリセット前に戻ってきた感じかな？
[1520.769] 憂う者の弟子: ついにこくじん参戦やな
[1529.685] 残り8万: リジェクトがリーグってハイタニこくじんぷっさんってこと?
[1533.312] kuniyoshi8: こく、ハイタニ先生、たいじ
[1534.594] pepepe393: オンにしてて全然もれないんだけどそうなんか
[1537.403] bunkichi23: うめぇｗ
[1542.717] une3333: 明日からは紳士なザンギがグルグルするようになります
[1549.805] LGA2011: 漏れるより出ないほうがムカつくからオンにしてる
[1551.159] casita226: コスあしたか
[1556.024] (S)pfl2: 白ケンに戻ってる
[1558.119] takahashiseigi: スト6リバサ出ない問題には皆イライラ
[1559.131] (S)ponponguripon: 明日楽しみだねえ
[1568.796] (S)のぶとも: 紳士なザンギ…おザンギエフってこと…？
[1570.825] casita226: 実際話し入力オンでリバサ出るんか？
[1573.948] une3333: 紳士っていうかフォーマルなザンギか
[1577.104] hayabow_yossy: リジェクトがでるとなるとFAVはメンバーどうするんだろね
[1583.722] pepepe393: 出ないってことは減ったよ
[1590.942] yuhi_N: こんばんわー
[1592.754] 母の日ですお母さんに: こくはリーグに出るだけで相手にリスクを迫れるな
[1608.542] (S)HinaConoKiyo: HinaConoKiyo subscribed with Prime. They've subscribed for 4 months! 
[1622.219] moririka755: ときんすはリジェクトから出そう
[1623.687] オワオワタ: こくは選手として出るよりガヤの方がメリット大きいだろうからなぁ
[1634.668] LGA2011: うまｗ
[1643.171] twitchyarutch: 通常技にもジャスパしてくるザンギが巷で話題だね
[1648.254] shellfish55: こくがリーグでるわけないｗ
[1651.351] 残り8万: ハイタニが想像以上先生として定着してて嬉しい
[1659.684] muteking510: はいたに、ときど、こくじんあと一人か
[1661.467] ippeita: 来年はドラフト復活させてもいいよね
[1666.939] pepepe393: あのザンギにチートじゃないって言ってる人多くてびびったな
[1668.150] (S)日本語かな: さっきの端のODダブラリ2ヒットはボルシチ入らんのか
[1675.745] tabibitox: ギリｗ
[1676.586] Krizalid99999: ww
[1677.181] alice_in_jp: っぶねー
[1677.392] sn0wf0x3: あっぶねw
[1677.695] fbhjkl: PogChamp
[1677.696] ハナノユメ: www
[1680.579] (S)gularain: W
[1680.808] さじま1236: セーフw
[1682.491] chikachikabonito: umeZen
[1683.897] 天哪: LUL
[1704.100] guilegairu: 脳内でなに考えてるか話しながらやってみてほしい
[1708.790] moririka755: 来年のSFLは12チームでやって欲しいな
[1709.717] une3333: ザンギ戦の感じ、5のアビザンギ戦と同じに見えるw
[1726.778] tabibitox: やーみ
[1726.888] casita226: 闇
[1728.038] bunkichi23: 闇
[1728.758] alice_in_jp: 闇
[1729.095] おやつハンター: 闇の～
[1730.182] shichimi10: 闇ぃ
[1730.514] tama_zx61: umeMezame
[1732.046] yuhi_N: 闇のちからぁ
[1735.354] casita226: カプコンみてるか？
[1743.730] 残り8万: ザンギってマジで射程外だと何もできないんだな
[1744.549] tambo567: めっちゃマナー良い
[1754.986] hojihojidx: 来年は闇消えてそう
[1760.789] hayabow_yossy: ときどはまた傭兵になるんかね
[1775.167] gaga_u4x: 白パンか白道着か
[1778.312] bunkichi23: うおおおおお
[1782.222] sn0wf0x3: うまw
[1783.817] polki1340159: PogChamp
[1784.136] kuniyoshi8: そんなのあるんか
[1784.483] gyosan: うめ
[1784.732] pepepe393: すっげ
[1786.215] ryochan_s: かっけえ
[1786.372] 吉田じんぎ: これかっけー
[1789.079] muhi21_: かっけぇ
[1790.628] simatarow: はじめてみた
[1791.557] artri4: そんなのあるんか
[1792.992] (S)meat114kg: うおーまじか
[1798.374] (S)日本語かな: ザンギ今めちゃ弱いけど5のダブラリで対空も弾抜けも楽にしてあげたら流石にヘイト買うんかな
[1805.238] Hikaru_256: ザンギの技見てるといつも体痛くなる
[1805.985] 吉田じんぎ: ただしガードされたらマイナス40くらいある
[1811.441] unriva_2021: かっこいいザンギｗ
[1812.241] casita226: 消した要素を復活させアプデで消す コナミと逆だな
[1820.882] prisira: ザンギを強くしたいならあの技を復活させればいい
[1832.858] 残り8万: ザンギって死に技多すぎない?
[1835.310] casita226: まーた手が光るのか
[1842.072] 母の日ですお母さんに: 今作のザンギの打撃択渋くて好き
[1842.270] yougen1124: sa無敵もod無敵もないなら別にいいけどな ダルシムが無いのは分かるけど
[1847.720] ippeita: ザンギダルシムは弱くてちょうどいい
[1850.230] 兆滅: LUL
[1850.596] bunkichi23: ｗｗｗｗｗ
[1850.691] (S)ponponguripon: ；；
[1850.828] moririka755: ザンギは弱くてイイよ
[1851.039] sn0wf0x3: www
[1851.111] artri4: ｗｗｗｗｗｗ
[1851.138] poe_poe7: ｗ
[1851.143] ryochan_s: ｗｗｗｗｗｗｗｗｗ
[1851.507] オワオワタ: かわいそう
[1852.160] kuniyoshi8: かわいそうｗｗ
[1852.398] shichimi10: ひどいｗ
[1852.732] Krizalid99999: www
[1854.044] 天哪: LUL
[1854.926] pepepe393: w
[1854.957] casita226: ケンて死に技あるんだろうか
[1855.160] さじま1236: wwwwwwww
[1855.980] (S)dokuyubi: 被弾につぐ被弾
[1856.205] (S)イエール: ww
[1856.233] muhi21_: ザンギはのままでいいよ
[1856.269] hayabow_yossy: つらい・・・
[1857.225] (S)軽く捻るか: ｗｗｗ
[1857.978] guilegairu: ww
[1858.634] tabibitox: 竜尾くるとおもって連打かｗ
[1859.095] 3_dots: knxOK
[1861.077] おやつハンター: ザンギきちーｗ
[1862.498] derwace_lifolve: 嫌いなもの波動拳
[1863.825] artri4: ザンギ嫌いだけど今のはかわいそうだった
[1867.375] hojihojidx: ザンギにパリィ歩き追加したら強くなる？
[1868.518] shellfish55: なぜ笑うんだい？
[1869.116] muteking510: ザンギはつよくなくてええよな
[1872.087] 憂う者の弟子: というか弱くないし！
[1875.366] muhi21_: ザンギは弱いからかっこいいから
[1875.669] Eigyotyu440: ひでぇ
[1886.235] zen_828: Nice punishment☕👀
[1895.652] 母の日ですお母さんに: ザンギはこれくらいでいいよ
[1899.221] (S)meat114kg: あら
[1899.448] (S)イエール: うわーー
[1900.880] une3333: 吸うねー
[1900.992] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[1901.439] kuniyoshi8: ダイソン
[1903.598] オワオワタ: もこうやサロメ嬢が使ってたから今作ザンギは愛着あるな
[1905.052] (S)さえぐさたくま: バーンアウトした時に削れる技が欲しいかな
[1905.969] fbhjkl: PogChamp
[1906.203] polki1340159: PogChamp
[1908.019] hayabow_yossy: サロメザンギで人増えるかね
[1908.222] (S)日本語かな: 3本使ってこれだからええか
[1911.075] Hikaru_256: 背骨何回折れたろうかｗ
[1914.199] unriva_2021: 強くなったらどこぞで緊急動画でそう
[1914.328] pekusuyada: ウメさんってsa回す時薬指と中指パタパタってやってるんですか？
[1917.835] takahashiseigi: こく兄が先日、奮迅中段ノーキャンSA3を知りましたが、王はご存じですか？
[1918.655] nobunobu312: ザンギはコスチュームに大幅強化が入るからそれでいいだろ
[1921.790] casita226: 咳なかなか止まりませんね
[1924.163] twitchyarutch: 投げキャラほどよい強さにするのムズそう
[1924.816] moririka755: 劣勢をひっくり返すからザンギはカッコイイんだよな
[1928.309] zen_828: Zangif so jacked💪
[1935.322] bunkichi23: お
[1937.810] (S)日本語かな: ばんばばん
[1938.743] guilegairu: ケンの新コスの感想は？
[1939.578] casita226: ばんばん
[1940.687] kuniyoshi8: バン
[1943.043] kurare2020: けいびー
[1944.388] sn0wf0x3: ばんばん
[1947.305] muteking510: バンバン
[1951.875] (S)日本語かな: バンバンか
[1954.501] shellfish55: 20時からおなるんのトーク番組始まるよ！
[1956.790] cyborgjones_12: KEI.B
[1980.580] 残り8万: いまだにバンバン呼ばれる男
[1982.425] 憂う者の弟子: 愛やよ
[1989.082] ippeita: バンバン渋いカラー使ってるな
[1991.835] moririka755: なるお…遠くに行っちまったな
[1992.863] prisira: バンバン
[1999.353] shellfish55: ゲストはこくとKSK！
[2003.648] (S)日本語かな: jpも明日から増えそうやな
[2008.417] ippeita: そもそもバンバンでもない定期
[2014.155] lare153: ゲスト聞いた途端見る気なくなったｗ
[2025.511] オワオワタ: なるお今ウメちゃん並に視聴者いるからな
[2039.604] twitchyarutch: 濃いメンバーだねえw
[2051.515] une3333: なんかJPぽくない色ですね
[2052.555] (S)日本語かな: やーる
[2058.857] bec118_japan: おかえりなさいませ
[2061.289] muteking510: 海外のジェイミー使いもなるおに集まるからね
[2067.023] どすこい3: なるおはニコニコ時代も数字持ってたから・・・
[2076.412] moririka755: スト6 からの新規が相当ついてるっぽいね
[2087.327] shellfish55: あの釈迦さんもなるおにはまってる
[2098.906] hikky722: なるおは勝ち続けられる？
[2102.471] Mimicdess: Huh. I just realized he's on stick
[2102.737] kuniyoshi8: トークおもろいもんな
[2103.242] 母の日ですお母さんに: この前の裏顔チームおもろかった
[2107.421] kurare2020: ふぁあ
[2109.034] (S)日本語かな: 割れず
[2110.571] sn0wf0x3: ww
[2112.232] (S)イエール: うひーー
[2112.496] (S)osarusan26: ミルダムの時、なるおはニコニコ時代コメントが途切れない位人気あったって聞いて嘘だろって思ったけど今なら分かるね
[2115.632] m1s4m0: ウメちゃんこんばんは！
[2118.198] キンチバ: なるおは対戦しながら喋れるのが強すぎる
[2126.558] Skrichur: @Mimicdess sound makes it pretty obvious yeah
[2147.317] ludic__: DAIGO!
[2152.708] buturin093: ちゃんと強いしね
[2160.468] leftace: 今棒使ってるん？
[2162.274] Mimicdess: I mean I havent seen him on stick since mid season SF5
[2166.980] (S)日本語かな: ヒトボだよ
[2179.757] m1s4m0: スポンサーなんだよなぁ
[2180.475] shellfish55: 音はレバーっぽいね
[2180.989] leftace: なんだ
[2181.447] ぢょごぢゃん: でいやパワハラ
[2189.652] キンチバ: 棒に戻る可能性ある？
[2201.844] shellfish55: あるんじゃね昇竜でてないし
[2207.946] kuniyoshi8: レバー音に聞こえてるのか
[2210.636] オワオワタ: スポンサーが続く限り
[2210.821] moririka755: レバーっぽいかな？
[2230.592] m1s4m0: レバーってもっと鈍い音のイメージ
[2233.533] どすこい3: クロスアップってヒトボから出てるんじゃないの？
[2236.125] (S)ぺりんご: 定期的にレバーの音って言われるね
