[32.049] junichi_pad: 🐮🖐にょっす！
[59.989] ZANYRia: 部屋紹介みたいです
[60.007] 乃木おり: どもー
[60.266] 植木猫: 頑丈だね
[60.309] あいあえおあいあえ: やあ
[60.443] anko0705: めっちゃ久々やない？
[60.493] 芋焼酎パンツ: 色々大変だなw
[60.540] berurin283: にょっすー
[60.545] kakeru32: おひさー
[60.637] monaca1010: おつー。
[60.677] gomi_00: 生きてたか？
[60.808] mizzzncooo: やほ
[60.815] ckappu: スクリム見ようぜ
[60.942] ssk10011: CMなげえ
[61.136] 可愛い子: おつーー
[61.147] nikoitii: 久しぶりやな
[61.385] (S)island_33: やあ
[61.595] xxxstmxxx: よぉ
[61.641] ザーサイふぉい太郎: お前久しぶりすぎじゃねーか！！！！！
[61.716] つけもの石: 疲れてそうだな
[61.781] こなつ723: おつ！
[61.793] monaouda: おひさ
[61.837] kotetsuuuuuuuuu: おつかれ
[61.916] amane_1113: また福岡きてー
[61.931] ronaudon0301: こんばんは
[62.115] shitara_paisen: やあ
[62.632] tonkotsu112: おかえり
[62.646] skumotu: 落ち着く
[62.669] na1245789356: へいへい
[62.689] sinochan_: ミュージックサーカス見に行ったよ
[62.839] (S)アイソンキャリー: djfoyfHYPE
[62.848] pinkuma_foxx_itofoy: やあやあ
[62.860] onikunikunikutaberu: 顔かっけえ
[62.864] kirigami__: 社長の動画見たぜーーー
[62.875] rento1135: こんばんは
[63.045] sosuke0925: 恋愛相談してー
[63.266] yuzuki_repezenfan: 彼女できたぜ
[63.292] tittiphone: へいへい
[63.478] えー眠: おい元気かよ
[63.533] しなちゃんね: PogChamp
[63.763] layyiiee: ふぉいさんや
[63.975] yoshimana712: TwitchConHYPE
[64.228] きあいのタヌキ: unkochanYaa
[64.315] まーと2: unkochanYaa
[64.344] virtual_2000: へいへい
[64.402] ~MISSING_COMMENTER_INFO~: 沖縄は？
[64.438] (S)さち_0421: 雑談？
[64.513] niisamstamanegi: 老けたな
[64.602] mxaxi_v3v: 今日もかっこいい♡
[64.609] saaakis2: 忙しそうだな
[64.639] kazupon0924: やあ
[64.711] kengoppppp: さあやっぽう
[64.839] ひろちか__: 忙しいんだね！
[64.951] キティー: お仕事お疲れ様ぁー！
[65.061] カルパス伊藤: やあ
[65.063] (S)セリーヌ__: 久しぶりやねー
[65.094] minami8686: おつう
[65.190] onobu_papa: お久しぶりだ！ふぉいのすけ
[65.407] i_am_kaorisugahara: サイコー
[65.502] 金髪さん: 元気か？
[65.626] 429429sh: わああああ
[65.641] yuiko212: 好き
[65.853] skm79: おつかれさん
[65.880] みづな: こっちのセリフだ
[66.101] naokidayo1: めっちゃいいけどな
[66.384] ぴろたんぴろたん: 福岡楽しかったよお
[66.507] nozomi2364: GoatEmotey
[66.590] miu6011: 色々おつー
[66.818] timuu_u: やあやあ
[67.078] pupupunc: お前はどうだー!
[67.203] haruto0859: いい
[67.220] corin_foxx0905: やほー
[67.302] nekomakura1: よーい
[67.335] pegu0066: おひさ〜
[67.365] sumisumiasmr: やほー
[67.428] kuroasyurahime: 生きてるよww
[67.429] mats_mikkelsen: おまえさん忙しいな
[67.512] Maple_yyy: ちょうどフォイの話をしよったら配信始まったわw
[67.532] sakurarako: まってたぞ
[67.761] (S)みー油: おっつー
[67.943] (S)イシヘンジンの匡くん: なんか久しぶりだな
[67.983] kakeru32: アーイ
[68.019] acid_284: やーー
[68.207] kimuchi77: ぜつだんな
[68.245] yurachi_111: 久しぶりやね
[68.429] fuku0216: 久しぶりに見れた
[68.460] kurehano: ドームお疲れ様！！！
[68.548] yuco_923: いいよ
[68.565] シンドルジ: おい、よりひとやばいぞ
[68.646] バリカン太郎: お前な！
[68.691] garigeri: スクリム見ようぜ
[68.896] ayapiiiiiii219: 可愛い
[68.903] (S)blood_rose_home_96: 調子良いぞぉ(ﾉ≧▽≦)ﾉ
[68.943] hiko3555: わかるよ
[69.043] (S)aria1208: 調子はどうだHeyHey
[69.095] dudbxijdbdicc: きたあああああああ
[69.124] rocky_0212: やあ
[69.254] yoshimana712: dasokuUgoku
[69.388] saaakis2: 元気してるんか
[69.477] こなつ723: お疲れ様
[69.489] えべっさん7: 今日はケツゲーせんの？
[69.690] chii_fff: おつかれー
[70.263] tonsukemomo: めっちゃ元気よ✋
[70.487] (S)ビオフェルミン: 逆にどうなんだ???
[70.749] jinroooo777: あいむふぁいん！！
[70.914] umekkkkko: こんばんは
[70.924] よしりー: メルトステラ達がスクリム頑張ってるぞ！
[70.946] nahadesu: おめえだよ
[70.963] yuzuki_repezenfan: 最近彼女できた
[71.125] 金髪さん: unkochanYaa
[71.132] makoto__1966: こんにちは
[71.144] s_sunny_39: ちょーしどーよー！
[71.148] 0730shui: まってたよ
[71.156] pado_ma: なんかやっとゆっくりしてるな
[71.300] キティー: ご苦労様です(*_ _))*゜
[71.326] tanukit: おつ
[71.329] dudbxijdbdicc: やあ
[71.348] tuyoshi5654: 動物の森本森森森森森森森森森森森森森森森森森森森森森森森森森森森本くんと久しぶりに風邪何日連続😷😷😷😷😷😷😷😷😷😷😷😷😷😷😷
[71.540] mamasansan030: 大変そうだね
[71.715] skumotu: 話を聞かせてくれ
[71.740] yoshimana712: dasokuUgoku
[71.788] aka_murasaki_luckywanco: ヘイヘイ！！
[71.831] tomo40404: ゃぁ
[71.869] 32gksjg: お疲れ様
[71.911] kuda_rk: いいよ お前こそどうなの
[71.999] 麻婆茄子すこ: おじさんら〜〜🥹🥹🥹
[72.097] yajikazu117: きも
[72.340] (S)katotokato: 久しぶりー
[72.431] namakemono1643: 暑い🥵
[72.507] おにがめ: ありがとう
[72.546] rokudenas: つらぁい
[72.570] foy_xoxo: かっこいい
[72.679] みづな: 調子はどうなんだ松
[73.143] hotiemon: ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位
[73.336] monaca1010: へいへい
[73.351] lana_185: いけめんいけめんいけめ
[73.365] rangelhansu: こっちのセリフな
[73.476] ばんちゃん: やほー
[73.480] rento1135: 待ってた‼️
[73.553] あいまる推し: おつかれさま！
[73.583] zousan888: おっつー
[73.585] yarinosuke: 1.5億円マンやんけ
[73.588] soukainasu: おーつかれさまぁ(*-ω-)ヾ(・ω・*)ﾅﾃﾞﾅﾃﾞ
[73.705] sarry34: まってたー！
[73.918] osakanatenngoku8: ぽこちん！
[73.923] (S)イシヘンジンの匡くん: そっちはどうなんだ？？
[73.960] paninchan: 初めて来ました。
[74.088] ぴり辛: お疲れ様やで
[74.092] (S)island_33: 久々ー
[74.237] (S)a_zuzu_: 前髪可愛くなってるーーー
[74.325] alchuyakuza: 6月29日楽しみ！学園祭！
[74.450] (S)chika_430: chika_430 subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! 大丈夫よ
[74.457] yakuto0324: 色々お疲れ様でした笑笑
[74.575] (S)hire218: 死ぬほど久しぶり
[74.595] xx_Insane_man: yunomi1Hi
[74.685] mami0323: 最高よ〜笑
[74.690] naokidayo1: ちょっと焼けた？
[74.776] 1145666778: あ
[74.900] イノウェル: おつかれさん
[74.937] せのび_: やあ！
[75.073] ZANYRia: しゃちょーどんなんなん？
[75.092] ayu03030303: 元気やで
[75.111] えー眠: そりゃそうだよな
[75.182] まるきち1234128: おつ
[75.245] reo_821: やあああああああ
[75.269] (S)おにぎり丸_: やあ
[75.277] (S)セリーヌ__: お疲れ様だよ
[75.404] huminadesu: お前がいない間に彼女できたよ
[75.626] ankoromoti_koshiann: 五月病継続中や！！！
[76.197] sayuhaoyutoyomu: お疲れ様だよ
[76.277] pasutabejital: なんとか生存しています笑笑
[76.286] nekomakura1: お疲れ様
[76.298] 156816: よう1.5億
[76.304] エルコンドルパサー: やあ
[76.340] ame0oo0: おつかれ〜
[76.361] mane_0325: おつかれやで
[76.411] kao070: お疲れ様です！
[76.479] えべっさん7: お疲れ様
[76.492] かつらどん: おらう
[76.614] せいしょうなごん: 今元気でたぞ！
[76.621] mannhporu: 初見です
[76.660] pelican666pp: 忙しいだろうなw
[76.713] moyasiitamen: お疲れ様です！
[76.895] ayapiiiiiii219: 大丈夫？
[77.095] 黒百合蘇我入鹿: 殿こそ大丈夫すか？
[77.106] あくすと: 顔が疲れてんねえ
[77.114] mamasansan030: 無理しないでね
[77.303] idomin007: ふぉいくんやーん
[77.349] (S)ねこ三匹: RaccoonPop
[77.563] jun_ryuan: 待ってたよー
[77.619] ースターマイン: おつ
[77.845] (S)あみふぉい: あみふぉい subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! サブスク2ヶ月になったよ💜
[78.024] gomi_00: 疲れてる？
[78.179] yuzuki_repezenfan: だよねーー
[78.182] meishou_poichi: エペ部門のメンツエグすぎやろ よく集めたなアレｗ
[78.330] torabutta: やっふぉい
[78.441] つけもの石: ライブの登場シーンみたぞ
[78.647] 皇帝ペンギン_: いいよ
[78.720] nuuuum_: だろうな
[78.993] nnntomacho: 良くない(:3_ヽ)_
[79.132] (S)みょ0000: おつかれ
[79.200] (S)ちりぱ: お疲れ様や
[79.248] ドランプ: えー
[79.494] 106chan: だろうな
[80.686] こなつ723: ふぉいくん無理しすぎだよ
[80.885] jinroooo777: おつかれ
[80.887] haku530: ChewyYAY
[80.990] 可愛い子: 早くゲームみたいぜ
[81.102] kuiijichan: はじめて観れた！
[81.136] えー眠: 大丈夫よ
[81.289] かつらどん: おつおつ
[81.347] hiko3555: そりゃね
[81.488] yoshimana712: dasokuOvation
[81.495] natorium1480: 社長どう？
[81.692] (S)kana19850914: 坊ちゃん刈りやんけ
[81.703] pomemi__: やあ
[81.909] ぴ7: ふぉいもお疲れ様
[81.948] hotiemon: ヒロックTikTok Live日間一位
[82.098] huminadesu: じゃあな
[82.168] mizholic: 久々1人配信だね！
[82.342] soukainasu: それはそう
[82.374] okogehage: 明日結婚記念日！
[82.383] reo_821: やあああああああああああああああああああああああああ
[82.462] yuzuki_repezenfan: お疲れ様だ
[82.467] pipond1: うれしい！
[82.483] キティー: 忙しいのは良き良き(*´꒳`ﾉﾉﾞﾊﾟﾁﾊﾟﾁ
[82.586] i_am_kaorisugahara: 無理せんでね
[82.643] tonkotsu112: ふぉい頑張ってたのずっと見てたぞ
[82.655] berurin283: 顔が疲れてるぞ
[83.201] kanahibi: 生きてたか
[83.309] (S)himedazo: 忙しいままでいてねん
[83.419] (S)イシヘンジンの匡くん: 全然よー
[83.650] (S)mmmmmayu999: だろうね💦応援してる
[83.719] ぴり辛: 無理すんなよ
[83.889] paninchan: こんばんは
[84.115] wolfeclick: こんにちはおじさん
[84.270] hayakenta: 睡眠配信だけでいいぞ！
[84.330] kamex716: やぁ
[84.357] ky__1014: エヴァ三万まけた！！
[84.440] 芋焼酎パンツ: まずお前が元気出せよww
[84.531] ちぴろん88: いいことやー🦊
[84.639] 218080: フォイ無理すんなよ
[84.705] pinoarasippp: 良いことじゃねえか
[84.892] sarry34: おっっつー！！
[84.904] aaa_324: 今何してるの？
[85.344] 毎日楽しい: お疲れ様！
[85.422] makoto__1966: おつかれ様
[85.450] rocky_0212: 初リアタイです
[85.516] tomo0286: 頑張ってるー
[85.535] 1145666778: おつかれー
[85.657] timuu_u: 初リアタイ
[85.715] it_ogn: そうだろうな
[86.019] パープルサワー: ピカピカうさぎさん引いた？
[86.069] xxxstmxxx: 暑くてキレそう！
[86.113] denpa22: おつかれさまぁ！
[86.151] chococandy54: わーーふぉいくん
[86.173] s_sunny_39: 調子どーよー！
[86.645] まみむめもーもー: おつかれ
[86.649] kao070: まさかのどう森笑
[86.747] ami_xoxo_: ほんとに体調だけ壊さないでね😭
[86.842] ゆーらしあん: ふぉいが忙しくて安心
[86.844] (S)naho_xxx: 配信ありがとうございます
[86.952] ひろちか__: うまく回ってて良かった
[87.385] yoshimana712: dasokuUgoku
[87.629] mxaxi_v3v: 身体壊さないでね
[88.135] ayapiiiiiii219: どっちが忙しい？
[88.159] ma_ma411: いいよ
[88.348] rokudenas: えぇ、困る
[88.781] (S)hire218: hire218 subscribed at Tier 1. They've subscribed for 2 months! 大丈夫よー
[88.815] (S)ねこ三匹: PikaRamen
[88.843] 両性バイ: 昨日の動画見たでー
[88.950] taku108_: 初見です🖐️
[88.993] (S)blood_rose_home_96: 無理すんなよぉ
[89.155] コメダ珈琲で朝食を: おつ
[89.189] (S)zuncooo: 大人やね
[89.255] deronnpa: 疲れてるけど、何か太った🐷❓
[89.355] penguini_812: ええよええよ
[89.434] tarouuuuuuuuuuuu: ライブいい感じやったやん
[89.513] louglq: 無理しないで
[89.933] monaouda: 頑張って！
[90.055] ayu_n_03: 無理しないで😭
[90.180] tetsuya0512: え〜レペゼン解散とかやめてね
[90.221] mmmkii: おつかれさま
[90.284] reree0612: やあやあ
[90.401] y221012i: お疲れ様です！
[90.421] saaakis2: 前髪がぁぁぁぁ可愛いことになってるじゃないか
[90.621] asuke2222: お疲れふぉいふぉい
[90.771] 知_とも: 待っとるよ
[90.829] x__xrp: おつかれー
[90.988] キシリトール: 大丈夫です？ちゃんと遊べてます？
[91.072] senseihangeki12: 本当に今がきついだろうけど頑張れ
[91.316] aruma0421: おつかれ！！
[91.521] mizholic: いいんだよ〜無理しないでね！
[91.626] alchuyakuza: zoomまだ？
[91.859] yuzuki_repezenfan: 再来週あいにいくよーーー
[91.928] katalistmaster: おー
[92.045] karo0810: StoneLightning
[92.141] aoi_yu0804: お疲れ様ー！！喉、大丈夫ー？？
[92.157] kamex716: ひさしぶりにみたー
[92.249] (S)おにぎり丸_: 頑張って👍
[92.316] rain_on_friday: どうしたん
[92.338] (S)himedazo: 無理しないでーー
[92.462] 02140508: おつかれ
[93.167] サラダは宝: おつおつ( *´︶`*)
[93.177] みづな: とりあえずタバコ吸えよ
[93.191] 0730shui: 無理すんなよw
[93.204] (S)セリーヌ__: えらい！えらいよー
[93.413] muteki911: あんたが大将！！！
[93.748] mami0323: お疲れ様〜
[93.842] pasta_hormon: miakniLets
[93.921] riirukun: おつおつ
[93.956] nekomakura1: 楽しみにしてます
[93.988] reire_tea: 福岡イベント楽しかったー！！！
[94.046] idomin007: 寂しいやん😭
[94.073] riku5252: 大丈夫
[94.238] (S)aria1208: たまにはゆっくりしぃやー
[94.265] sosuke0925: 恋愛相談！！
[94.352] jun_ryuan: 無理しないでなー
[94.361] saaakis2: おつかれ！
[94.812] ドランプ: フォイ元気してた？
[95.026] sinochan_: ミュージックサーカス最高でした
[95.247] mizholic: おつかれ！
[95.270] しなちゃんね: PogChamp
[95.312] negitoro8801: 謝らないでーーー
[95.518] mane_0325: ほんとにおつおつ
[96.395] まぁんぼぉう: おつ🍛
[96.516] foy_xoxo: 頑張ってるね🥲
[96.636] ぴ7: おつかれ
[96.661] pinkuma_foxx_itofoy: 井戸あったけぇ
[97.134] yan_bo_98: オナってたけど配信来たぜ
[97.145] sk893: さぶすくしといたそ
[97.163] joelanoo: おつかれー
[97.193] かつらどん: おつ
[97.226] yuzuki_repezenfan: おつーー！！
[97.346] syusei0612: 無理すんな！
[97.358] pasta_hormon: miakniLetsmiakniF￼￼ 
[97.381] ザーサイふぉい太郎: Twitch忘れてただろ？？
[97.417] しづく1112: お疲れ様です！
[97.544] kanahibi: うちらの事忘れちまったのか？
[97.546] tomo0286: ライブ凄かったねー
[97.723] reo_821: ＾＾
[97.817] (S)kana19850914: お疲れ様
[98.041] 可愛い子: 尻ゲーも見たいし
[98.054] ースターマイン: なるべくちゃんと寝ろよ
[98.075] lpsxrn: おつかれ！
[98.268] nanmoomoitukan: おつおつ
[98.321] baru2281: おつかれー
[98.461] towa06134: お疲れ様です
[98.558] sosuke0925: お疲れ様！
[98.916] saaakis2: 少し肥えたか？
[98.943] osakanatenngoku8: 雑談から始まりよるやん！
[99.401] pasta_hormon: miakniLets￼ 
[99.684] aaa_324: 大丈夫？
[99.722] aoi_foyland86: 仕事なうー
[99.850] ぃーぐる: おつう
[99.860] yoshimana712: TwitchConHYPE
[99.891] kengoppppp: さあやっぽえ
[99.926] skm79: 無理すんなよ
[100.037] (S)island_33: お疲れ様ー
[100.118] rento1135: お疲れ様
[100.194] na1245789356: 良い奴やろ褒めて
[100.224] rocky_0212: おつかれ
[100.254] kakeru32: おつおつ
[100.265] jinroooo777: がんばれ
[100.301] komai918: 初見ですお疲れ様です NIKKEやって
[100.408] まーと2: おつかれー
[100.421] luchaso78: お疲れ様❤️❤️
[100.601] harami8: ゆっくりしてええ
[100.859] pelican666pp: 1.5億の男だもんな
[101.073] (S)セリーヌ__: 無理しないで
[101.172] s_sunny_39: きょそれなに？
[101.255] samothrace00: お疲れ様
[101.264] tabbycomic: おつかれさまです！
[101.317] riku5252: おつおつ
[101.343] hndagmaes64: ぽこんち！
[101.376] aoaoaoaoaoai: おつー
[101.458] ぴり辛: おつ
[101.472] ryouya3020: つかれてんねえ
[101.533] dudbxijdbdicc: やあ
[101.618] osakanatenngoku8: おつおつー！
[101.696] (S)sk893: sk893 subscribed at Tier 1. 
[101.824] arichaan57: 初めて来ました！！！
[101.874] (S)みー油: ゆっくりいこー
[101.876] (S)イシヘンジンの匡くん: やさしくて泣いちゃうでしょ
[101.993] berurin283: お前なんか顔が大人っぽくなったな
[102.096] ぃーぐる: muraka8Otupiece
[102.346] naomaru08: おつおつ
[102.376] ばんちゃん: おつかれ〜
[102.800] chabin31: また暇になったらゲームしてくれ
[103.064] あんぽんたんでふ: 落ち着くまで待ってるー！！
[103.137] ひろちか__: 前髪かわちい
[103.263] はくあ1460: おつおつおつ！！
[103.276] mats_mikkelsen: おうおう若いのは忙しくてしゃーない
[103.290] ザーサイふぉい太郎: unkochanYaa
[103.355] jojo3305: おつおつ
[103.463] パープルサワー: こっちが泣けてくるが
[103.474] こなつ723: ふぉいたん無理しすぎ
[103.497] s_sunny_39: なにのんどん？
[103.537] のぞみ16: お疲れ様です！！
