[11.762] (S)~MISSING_COMMENTER_INFO~: ｷﾀ━(ﾟ∀ﾟ)━!
[52.876] vash_246: radaoHi
[52.880] にゃんねね: radaoHi
[52.950] yumo04120: radaoHi
[53.038] (S)ratarly: radaoHi
[53.059] (S)_ぽぉ_: radaoHi
[53.127] ahopontan_: わこらだ 
[53.259] (S)247knk: radaoHi
[53.284] (S)reiki_1220: radaoHi
[53.292] (S)さねまる: radaoHi
[53.293] (S)テヲラン: radaoHi
[53.491] (S)ぷぷり: radaoHi
[53.728] たらふく2815: radaoHi
[53.820] すわずし: radaoHi
[54.022] (S)asgs0000: radaoHi
[54.033] mimi1111_kuken: わこらだ
[54.037] masao0203: らだおやーん
[54.074] mamo_tarou: radaoHi
[54.083] kotutuki_: radaoHi
[54.155] (S)yoshitakahh: radaoHi
[54.312] ぬちゃん: radaoHi
[54.318] (S)ぱぐぞぅ: わこらだ
[54.332] (S)月山シエスタ: radaoHi
[54.352] 佐野ちャん: radaoHi
[54.460] (S)よしえ78: radaoHi
[54.474] (S)マロン_: わこらだ〜 
[54.480] (S)pikato047: らだお！
[54.794] nobume0v0: 警察 
[54.918] (S)うじちゃ: radaoHi
[55.247] (S)よわいごりら: radaoBanzai
[55.250] kojimanominato: わこらだ
[55.649] ruterute_016: ruterute_016 subscribed at Tier 1. They've subscribed for 27 months! 
[55.696] shige__maru: radaoHi
[55.775] おはぎちゃん_: radaoHi
[55.809] にゃご崎: わこらだ
[55.890] (S)toronbu: toronbu subscribed at Tier 1. They've subscribed for 5 months, currently on a 5 month streak! radaoHiradaoHi￼￼ 
[55.895] (S)いぶちゃんぶ: らだおやー
[55.897] スパーズ: radaoHi
[56.067] omio0410: omio0410 subscribed at Tier 1. They've subscribed for 24 months! 
[56.119] うにやま: さいこう
[56.310] uta_0713: radaoHiradaoHi￼￼ 
[56.492] (S)ぴぴちゃちゃ: わこらだ 
[56.502] gussann2000: gussann2000 subscribed with Prime. They've subscribed for 38 months! 
[56.575] (S)ｻﾄｱ: radaoHi
[57.037] sisyamo_0316: radaoKitya
[57.189] (S)黒ごまソフト: radaoda-!
[57.193] ペネロペ: radaoHi
[57.259] mameko_7: radaoHi
[57.269] (S)tsuyuiro: radaoHi
[57.309] (S)八坂乃宮: わこらだ
[57.312] (S)ぱぐぞぅ: radaoHi
[57.521] (S)海にぃ: radaoHi
[57.627] (S)hime_25253: わこらだ！！！！！やったあ！！！！！！ 
[57.688] takane0589: らだおだああ！！
[57.727] (S)sIkm_1: radaoBanzai
[58.021] とりのおさしみ: radaoHi
[58.163] なやしろ: radaoHi
[58.406] (S)yuya_kura: radaoHi
[58.444] (S)アーホルン: radaoBanzai
[58.477] にわすずめ: らだおー！！！！！！
[58.640] (S)reireireire: わこらだ 
[58.676] (S)ゔぁゔ: radaoHi
[58.863] (S)のむ_のむ: 警察だー！！
[58.883] torue_p: radaoHi
[58.926] あじさ: ~MISSING_MESSAGE_INFO~
[59.151] mimi1111_kuken: radaoHi
[59.204] (S)みこくま: radaoHi
[59.444] (S)fukut403: radaoHi
[59.624] miki_15g: らだおくんおはよー
[59.742] (S)ayashi_aaa: radaoHi
[59.899] (S)ぽみすけ: radaoHi
[59.962] のありす: radaoHi
[59.975] chiharu1212: radaoHi
[60.090] (S)akaringo424: akaringo424 subscribed at Tier 1. They've subscribed for 4 months! 
[60.114] ゆずシフォン: radaoBanzai
[60.690] (S)komatuna_pipipi: radaoHi
[61.058] のせ太郎: radaoHi
[61.273] (S)right_2359: radaoHi
[61.300] (S)かねだー: radaoHi
[61.420] (S)nyokky55: ﾔｯﾀｧｰ
[61.484] (S)クロイア: radaoHi
[61.504] (S)うみ____: わこらだ！
[61.565] (S)みゆちきんくりすぷ: radaoHi
[61.713] (S)ninzin33: radaoHi
[61.715] (S)yudofu9_: radaoHi
[61.852] (S)らぺん: radaoBanzai
[62.141] あるみ屋: らだおおはよー！！
[62.272] ちったむ: radaoHi
[62.883] (S)mein0730: radaoOtaku
[62.912] (S)7なな_: radaoBanzai
[63.388] sakushi_: やったー！
[63.410] (S)やなちゃそ: わこらだ
[63.430] sunomono8: radaoHi
[63.491] itijiku_0605: radaoHi
[63.719] (S)ぴぴちゃちゃ: radaoHi
[63.930] (S)なたこ: radaoBanzai
[64.165] (S)momonokko: radaoHi
[64.277] koromoti1219: radaoHi
[64.373] リムヲ: radaoHi
[64.401] (S)いぶちゃんぶ: らだおきちゃー
[64.442] (S)こるめ: radaoBanzai
[65.156] sora_mameee: 早番警察助かる
[65.372] tarou_kakio: わこらだ
[65.425] mizuno0624: radaoHi
[65.643] (S)fukun_3651: radaoBanzai
[65.675] (S)kokone0927: おおおおお
[65.883] (S)ゆにるな: わこらだ〜あああ！
[65.981] (S)ぽぽんぬちゃん: radaoHi
[66.062] (S)mekuro2047: radaoHi
[66.149] (S)やなちゃそ: radaoHi
[66.198] (S)yumesawa: radaoHi
[66.230] mrgrtpsr: わこらだー
[66.274] mimimi710: わこらだー
[66.756] (S)すとーぶぅ: ヤッタ！
[66.886] chura6666: radaoHi
[66.989] わらびもち_11: radaoHi
[67.487] (S)agashi2030: わこらだ〜
[67.711] icinose_k: radaoHi
[67.783] _まいまいちゃ: radaoHi
[67.963] (S)sakeoo_0102: わこらだ
[68.182] れもんちぃ0: radaoBanzai
[68.505] (S)しんどい凛音: わこらだ 
[68.586] (S)mashumarohoi: radaoHi
[68.756] やきとりくん: radaoHi
[68.847] (S)らずな: radaoHi
[68.918] humyo: humyo subscribed with Prime. They've subscribed for 22 months! 
[69.838] kanro1021: radaoHi
[70.052] (S)kotoha_05: radaoHi
[70.065] わるた: radaoHi
[70.280] nqta_coconut: らだおーー！！
[70.289] miki_15g: radaoNikkori2
[70.406] (S)su1ryu30: radaoHi
[70.483] kohakuu1123: わこらだ
[70.514] (S)ゆにるな: うおおお
[70.685] なっち: radaoHi
[70.770] (S)らずな: radaoBanzai
[70.960] (S)mekuro2047: らだおキター
[71.182] (S)care_tyan: radaoHi
[71.511] すやすやす: radaoHi
[71.843] (S)toa_sky: わこらだ
[72.323] あおは_: radaoHi
[72.467] (S)lv___55: radaoHi
[72.561] 雨傘ライ: わこらだー！
[73.088] れなぽんぽん: radaoHi
[73.091] kohakuu1123: radaoHi
[73.098] (S)P_I_RI: わこらだ
[73.768] nekoneshi: ﾜｺﾗﾀﾞ
[73.772] (S)よしえ78: Cheer1000
[73.977] (S)tya22maru: 早番警察感謝 
[74.208] (S)shiroi_hakuto: radaoHi
[74.434] (S)nuichan_6: radaoHi
[74.672] (S)honeytoast__73m: radaoHi
[74.703] (S)ゆにるな: radaoKitya
[74.707] rui_sk39: radaoHi
[74.881] (S)のむ_のむ: ロケランの存在感よ
[74.924] (S)mekuro2047: radaoKitya
[75.402] sora991213_: radaoHi
[75.466] yunchan18: radaoHi
[76.031] (S)ちなこぽっぷ: radaoHi
[76.674] (S)aaaaaaayaaaa: radaoHi
[77.423] (S)mekuro2047: radaoOtaku
[77.448] (S)やなちゃそ: らだおだァァ！警察だァァ！！
[78.517] (S)many_meni: radaoHi
[78.682] まこし: radaoHi
[78.754] 御輪: radaoBanzai
[78.916] あっすー_: radaoHi
[79.046] (S)akaringo424: radaoHi
[79.275] (S)トモモチ: radaoHi
[79.371] (S)arisa_184: radaoHi
[79.486] kamonohashi_0619: radaoHi
[79.492] (S)すとーぶぅ: radaoKitya
[79.532] (S)hime_25253: radaoKitya
[79.633] (S)kotarosakata: radaoOtu2
[79.817] (S)Nayuuu_424: radaoBanzai
[80.660] (S)ラウド25: radaoHi
[80.782] しろかすか: radaoHi
[80.883] (S)ren_0107001: らだおだー！！
[81.012] sisyamo_0316: らだお 
[81.027] (S)negitoro_usagi: radaoHi
[81.596] (S)Bey0803: radaoHi
[82.062] ペネロペ: radaoBanzai
[82.644] 大宮瑞樹: radaoHi
[82.855] torue_p: らだおすき
[83.839] ゆずシフォン: radaoKitya
[84.048] yunchan18: radaoKitya
[84.098] (S)kokmaru: らだおだあああああああ
[84.180] azuriiine: radaoHi
[84.311] さかあお: radaoHi
[84.862] gencharionx: radaoHi
[85.512] (S)yui1yui: radaoHi
[85.784] (S)sanae_1109: radaoHi
[85.809] po_pochon: po_pochon subscribed with Prime. They've subscribed for 21 months! 
[85.812] t4keton: radaoKitya
[85.983] osan0307: radaoKitya
[86.056] yuki_empty: 早めの番
[86.086] morry1063: radaoHi
[86.282] (S)ラキ2525: radaoHi
[86.530] (S)tsubakiiiii0113: radaoHi
[86.776] azisai1111: radaoHi
[87.010] (S)shiroro25g: わこらだ
[88.069] (S)さと卯: 配信感謝〜 
[88.184] (S)バザァァァド: radaoHi
[89.256] (S)chan_kuma_: 警察だ!! 
[89.452] れつれつ: radaoHi
[89.952] otux2_0205: otux2_0205 subscribed at Tier 1. They've subscribed for 33 months, currently on a 33 month streak! 
[90.357] (S)おちょはりぼー: radaoHi
[90.627] ichigomilk_252: わこらだ
[90.664] (S)shiorin77: shiorin77 subscribed with Prime. They've subscribed for 6 months, currently on a 4 month streak! 
[90.713] (S)るりあげは: わこらだ
[91.314] (S)mashumarohoi: radaoKitya
[91.551] (S)radaofan: radaoHi
[91.708] アメタマ: radaoHi
[91.854] (S)かめいいんふ: radaoHi
[92.760] re0mi1283: 久々のらだおー！！
[93.427] (S)海にぃ: らだおだ
[93.454] 1しずく1: radaoHi
[93.724] amane_xxxx: radaoHi
[93.923] 藍代: radaoHi
[93.953] (S)とろネギ: radaoHi
[94.137] (S)スズメ_0610: radaoHi
[94.182] (S)kotarosakata: radaoHi
[94.421] (S)ばるさみこす35: radaoHi
[94.472] (S)asakura832: わ  
[94.956] (S)あっひょ: radaoKitya
[95.224] (S)sanae_1109: らだお 
[95.528] (S)すわ0622: radaoHi
[96.136] (S)tatuo252: radaoHi
[96.412] (M)kuruto__: radaoHi
[96.854] okayua: radaoHi
[97.060] nekoneshi: ワオ
[97.592] (S)シクシク: えwwwww
[97.687] なっち: えwwww
[97.960] みえのえ: え
[98.080] (S)ですねく: わお
[98.113] kanna0730: radaoHi
[98.242] ろ一たす: radaoHi
[98.362] (S)komatuna_pipipi: 2人マ？？
[98.728] (S)海にぃ: radaoHi
[98.933] (S)chanhatsu420: わこらだ
[98.998] (S)ni_ha218: 2人だ
[99.045] にわすずめ: ふたり！！？
[99.151] (S)らぺん: 二人ま？
[99.641] 銀河ポテト: わあ
[99.693] リムヲ: 2人？！
[99.876] あるみ屋: 2人wwwwwwwwwwww
[100.078] ゆずシフォン: わお
[100.092] (S)ミートボールセンパイ: わこらだ
[100.300] (S)ちびちゃんん: radaoHi
[100.783] (S)かんでら: radaoHi
[100.889] (S)reiki_1220: えw
[100.943] (S)Rimon_sky: 2人www
[101.076] (S)ぱわ一: えw
[101.310] (S)いのな: え
[101.563] emazkirin: すっくな
[101.564] (S)マロン_: 2人www
[102.117] まだら25: radaoHi
[102.438] an_do121: え？
[103.118] (S)どりんく_397: 2人！？
[103.663] にわすずめ: ゴライアス！
[103.879] (S)dtf417: えw
[104.081] (S)トウディ: ふたり？！
[104.604] sisyamo_0316: 2人まwww
[104.824] (S)らぺん: www
[104.825] さつまいもおいしい: radaoHi
[104.885] ミリこ: radaoHi
[104.963] shi__409: いさせんだけw
[105.083] (S)ラキ2525: すっっくな
[105.507] muru1113: 2人ま？
[105.748] sora_mameee: 二人マ！？
[106.108] isaco135: ごらいあす
[106.137] (S)あっひょ: すっくねぇ！？
[106.336] (S)neue310: radaoHi
[106.339] (S)abara_129: 2オペま？
[106.371] (S)ゆにるな: ゴライアス？
[106.648] (S)白蓮佑1142: ごらいあすwwww
[106.795] のせ太郎: 2人wwwwwwwwwwww
[107.044] (S)トレニア: ゴライアス
[107.467] kyo_kaaa: 少な、！？
[107.527] (S)sakeoo_0102: ゴライアスwww
[107.649] (S)のむ_のむ: 2人きりだね
[107.711] 雨傘ライ: ふたり！？
[108.266] (S)gareki1827: 二人まじか
[108.314] bakagoods: wwww
[109.231] ｻｧｻ: radaoHi
[109.490] (S)usakanono1030: わこらだー！！！
[109.802] れもんちぃ0: 二人まじかwww
[110.034] (S)dreamtake: 2人！？
[110.248] (S)riku0570: 二人まじかｗｗｗｗ
[110.477] いのりさん: ゴライアス
[110.677] なっち: オハヨウゴライアスって誰？
[110.883] しああき: す
[111.901] (S)pochama120: radaoHi
[112.741] (S)よわいごりら: ちるいね
[112.824] (S)yukiinu1195: 2人まじか
[112.865] (S)mijyu_711: radaoHi
[113.519] 御輪: ハナムグリさん
[113.726] リムヲ: なんも犯罪できないね
[114.255] (S)海にぃ: 2人ま？
[114.467] チュチュンバー: radaoHi
[114.761] (S)猫ミントン: radaoHi
[114.823] (S)どりんく_397: ゴライアスまじか
[114.955] (S)かんでら: 2オペ
[115.010] あるみ屋: 鍵w
[115.054] (S)ばにらみるく: ばにらみるく subscribed with Prime. They've subscribed for 11 months, currently on a 3 month streak! 
[115.439] kurono1627: radaoHi
[115.598] ねるいさん: radaoHi
[115.892] (S)gennbaneko: わこらだ
[117.141] (S)nico_kk_mp: 2人は逆にすることないやつや！
[117.370] (S)s95618: radaoHi
[119.882] gu_taranosuke: わこらだ
[119.905] あるみ屋: そりゃそうw
[120.141] (S)くおんじさん: チルい
[120.314] (S)goma_satsuki: わこらだ
[120.367] an_do121: 平和が一番
[120.499] sora_mameee: だろうね
[120.535] (S)dtf417: でしょうなぁw
[121.375] (S)あっひょ: そらそう
[121.543] (S)kanade_1408: わこつ
[121.626] ゆずシフォン: Chill〜
[123.157] にわすずめ: 2人やもんなあ
[123.242] (S)kotomaru318: radaoHi
[123.443] 銀河ポテト: でしょうな
[124.236] seillane: でしょうねw
[124.832] (S)sisimai3110: 最近ずっと少ないよね
[125.061] mizuno0624: 逆に暇なやつ
[125.109] (S)on_mame: radaoHi
[125.654] (S)あかに: radaoHi
[125.948] (S)rukan_x3: なんも起きん
[125.982] (S)SAKu_053: radaoHi
[126.218] (S)マロン_: それはそうw
[126.839] れもんちぃ0: 平和が一番やな
[126.995] よわはと: radaoHi
[127.018] 井田: radaoHi
[127.228] (S)yukimura_22: radaoHi
[128.397] みゅー__15: radaoHi
[129.767] あらんえむかーびぃ: radaoHi
[129.803] 角角家: radaoHi
[129.973] ぬちゃん: 上官2名のみやばいね
[130.008] taiyousinnaporo: 鍵しまってた？
[130.518] はちみつかぶりつきやろう: radaoHi
[131.995] (S)otyaka554: radaoHi
[132.491] (S)のむ_のむ: ちるでい
[132.541] (S)にびびび: radaoHi
[133.023] リムヲ: 一旦Chill
[133.071] nqta_coconut: でしょうねw
[134.316] frogflingpstfst: radaoHi
[135.371] ゆきリン: ゆきリン subscribed at Tier 1. They've subscribed for 38 months, currently on a 38 month streak! わこらだ
[135.431] (S)パラトラ: ねまぁすww
[135.923] (S)こんにゃ: わこらだ 
[136.262] ir0hani: radaoHi
[137.453] mirai_kko: 鍵あけっぱw
[139.664] 湊ソラ: パシフィック来る前には寝なきゃだねw
[140.666] yo1tei: radaoHi
[141.560] うりもち: のんびりいいねー
[142.601] (S)funyoi_2241: radaoHi
[144.537] あるみ屋: 飲食店いくか
[144.684] (S)黒ごまソフト: え？
[144.714] にわすずめ: え
[144.780] (S)ゆにるな: ナタル電話来るかな
[145.650] れもんちぃ0: え？
[146.166] seillane: え
[146.800] hijiki_0209: radaoHi
[146.951] (S)saraniron: え
[148.021] (S)らぺん: え
[148.212] (S)ゆにるな: え
[148.283] (S)Rimon_sky: え
[148.435] azure_nekolife: radaoHi￼ 
[148.544] (S)sakeoo_0102: え
[148.592] ruchi_13: radaoHi
[148.968] ruterute_016: え
[149.134] (S)Soudako___: radaoHi
[149.212] (S)s95618: ずっとロケラン持ってるw
[149.343] ゆずシフォン: え
[149.356] あるみ屋: え
[150.087] (S)khr245: え？
[150.110] an_do121: え
[150.270] ミリこ: え
[150.756] many7575: おはよー
[150.759] (S)シクシク: え
[150.769] sisyamo_0316: 平日でこの時間だから暇かもね
[150.878] わさびじる: え
[150.944] (S)usakanono1030: え
[150.967] sora_mameee: いさせーーん！！
[151.009] (S)マロン_: え
[151.437] (S)すわ0622: え
[151.531] わらびもち_11: え
[151.596] (S)海にぃ: え？
[151.692] emazkirin: え？
[151.801] (S)gyaryi: わこらだ
[151.958] (S)SOKA_HARU35: radaoHi
[152.213] (S)あっひょ: いさせん！？
[152.242] (S)Rimon_sky: まずい
[152.430] sisyamo_0316: え
[152.481] (S)komatuna_pipipi: え
[152.642] (S)akaigori: え
[152.956] (S)dtf417: え？
[153.172] (S)とろネギ: え？
[153.340] にわすずめ: 伊坂〜！？
[153.409] れもんちぃ0: 何してる？wwww
[153.567] (S)reiki_1220: え
[153.874] (S)Torinosu0723: ホットドック空いてないのかな
[154.100] (S)ラウド25: radaoHatena2
[154.355] (S)がぶ1522: ワンオペはいりまーす
[154.496] ko_do_1123: わこらだ
[154.629] an_do121: 事故ってない？w
[155.296] aina___10812: radaoHi
[155.431] hanamaru_0808: radaoHi
[155.822] きょぴ: わこらだ
[156.515] nihu_umeki: わこらだ 
[156.553] ichigomilk_252: 事故った？
[156.652] (S)kotarosakata: ワンオペww
[157.102] hijiki_0209: わこらだ
[157.111] ぺぺまる_0727: wwwwww
[157.114] (S)Soudako___: Soudako___ subscribed with Prime. They've subscribed for 11 months, currently on a 11 month streak! 
[157.215] kinakoohagisan: kinakoohagisan subscribed at Tier 1. They've subscribed for 42 months! 
[157.715] seillane: www
[157.782] (S)かんでら: え！？
[158.718] (S)海にぃ: 平和？？
[158.762] なっち: wwwww
[158.773] ユイ_11: radaoHi
[159.223] (S)ラキ2525: いさせん…
[159.694] (S)あっひょ: なにしとるー？！w
[159.863] めるめ: フラグか…
[160.338] nekoneshi: www
[160.465] (S)おちょはりぼー: 平和とは？！
[160.752] ゆずシフォン: www
[161.284] many7575: いさせーん！
[161.505] yuki_empty: 事故か餓死とか？
[161.593] kurui440: わこらだ
[161.714] まだら25: www
[161.923] (S)シクシク: 平和じゃなかったwww
[162.802] (S)あひる55: radaoHi
[162.910] ぷれはぶ: 平和だって言ってたのにwww
[163.828] (S)みぬ55: radaoHi
[163.985] minippu_haima: radaoHi
[164.059] (S)マロン_: wwww
[165.164] アメタマ: いさせーん！
