[10.418] rioniku1515: うおおおおおおお
[25.254] hoshikkira: radaoHi
[25.630] potinkipotinki: わこらだ
[25.709] ホトトギス: wwwwww
[25.806] dokukinoco: わこらだーーーーーーー
[26.641] miki_15g: radaoHi
[26.700] ぶれいくです: radaoHi
[27.204] きなこもち46: わこらだ
[27.279] gogo_pm5: radaoHi
[27.323] ta_tago: radaoHi
[28.319] あだつり: わこらだ
[28.408] (S)baceneKo: radaoHi
[28.469] aeyuma: わこらだぁぁ
[28.521] kkgmptp: わこらだー
[28.565] ここねり: わこらだ
[28.623] (S)kohaku1379: わこらだ
[28.640] らみせ_0626: わらこだ
[28.853] lara_3o: わこらだ 
[29.614] 涼しげ: わこらだー
[29.851] rinpei1218: radaoKun
[30.078] わんここ: radaoHi
[30.121] (S)ピポ助: わこらだ
[30.805] komitanara: わこらだ
[30.855] kyo_kaaa: わこらだ
[31.135] なぷスタ: radaoHi
[31.295] kagemoegi81: わこらだ
[31.318] (S)yurevmi: わこらだー！
[31.417] aeyuma: radaoHi
[31.443] (S)sour_72: radaoHi
[31.504] nakanishi5656: わこ
[31.540] an_do121: わこらだ
[32.082] ボンレスブス: わこらだ
[32.468] ma_buru_: わこらだ
[32.640] mira_bell5: わこらだ
[32.741] tanaka452_: わこらだ〜
[32.747] きーうぃ: わこらだ
[32.880] 涼しげ: radaoHi
[32.886] 零羅: radaoHi
[32.948] (S)バモスアジャ: radaoHi
[32.979] (S)にわすずめ: APEXだよおいwwww
[32.983] kk09073333: radaoHi
[33.000] yu1_genshin: radaoHi
[33.036] あくしすひかり: わこらだ
[33.344] miyuu0320: わこらだ！！
[33.606] (S)mrgrtpsr: wwwwwwwwwwww
[33.628] まだら25: radaoHi
[33.878] sidemenuhapotatode: radaoHi
[34.005] (S)kohakuu1123: わこらだ
[34.124] (S)sour_72: わこらだ
[34.237] kobu_da: radaoHi
[34.267] 狐日和2014: わこらだ 
[34.296] ei_ae: radaoHi
[34.388] dodomeirooo: わこ
[34.426] さいじゃくん12: わこらだ
[34.663] (S)うすぅーい: わこらだ
[34.718] motizunnda: わこらだー
[34.873] (S)yi_56_: わこらだ
[34.891] (S)kuugay0905: radaoHi
[34.984] (S)arare241524: わこらだ 
[35.098] すいぺりあ: radaoHi
[35.117] end_salt: わこらだ
[35.121] (S)yamada__0521: radaoHi
[35.443] 髭ピー: radaoKitya
[35.655] mistonnn: わこらだ！！
[35.895] honehone_2: radaoHi
[36.096] yn208: わこらだ
[36.114] くまべりー: radaoHi
[36.127] yu_2424: わこらだ
[36.132] 裂きイカの化身: わこわこ
[36.212] (S)00ほのか00: radaoHi
[36.318] りあくる: わこらだ
[36.384] mamiyan0926: mamiyan0926 subscribed with Prime. They've subscribed for 21 months! わこらだ〜
[36.388] まだら25: radaoKitya
[36.444] Amam1ya0000: わこらだー
[36.534] lovephantom178: 神
[36.604] ウノゾー: わこらだ
[36.624] (S)ragumaltutyo: わこらだ
[36.664] (S)niina0127: わこらだ
[36.707] (S)hitogomikowai: わこらだ 
[36.946] (S)96猫3: わこらだ
[37.150] sabakuina: radaoHi
[37.163] そるとはしお: わこらだ
[37.179] y0co_86: わこらだ
[37.181] (S)lapan7200: radaoHi
[37.221] あまりんだ: わこらだまってた！！！
[37.407] sotokino_: radaoHi
[37.424] 胡桃柚子: radaoHi
[37.433] sasa_7280: わこらだ
[37.442] mayu_v_v: わこらだー
[37.479] ~MISSING_COMMENTER_INFO~: radaoHi
[37.638] shiroinuno_roa: radaoHi
[37.640] (S)飴パン: わこらだ
[37.680] Azukikun0v0: わこらだ
[37.810] (S)_みみっく_: radaoHi
[37.849] ナラ抹茶: わこらだ
[37.898] もぎ: わこらだ
[39.110] nanairo_714: わこらだ
[39.137] (S)humyo: radaoHi
[39.139] ichigomilk_252: わこらだ
[39.182] (S)96猫3: wwwwwwwwww
[39.242] おはぎちゃん_: radaoHi
[39.248] (S)ankoro0825: わこらだー
[39.287] なっち: わこらだ！
[39.366] (S)やろたお: radaoHi
[39.379] 胡桃柚子: radaoKitya
[39.410] ふぁる_: わこらだ
[39.437] mope716: わこらだ
[39.499] えぬあい: radaoHi
[39.536] (S)amehune: radaoHi
[39.620] yurun_62: radaoHi
[39.658] (S)necphi45: radaoHi
[39.756] (S)sakidesu_03: radaoHi
[39.781] soshiro_11: radaoHi
[39.858] しまおじ: radaoHi
[39.872] takuann9500: わらこだ
[39.926] (S)ごもくば: わこらだ
[42.141] nn2407: わこらだ 
[42.161] kotatsu_san: わこらだ
[42.189] yukki7969: わこらだ
[42.225] omio0410: omio0410 subscribed at Tier 3. They've subscribed for 11 months! 
[42.230] (S)96猫3: radaoHi
[42.252] yu_2424: radaoHi
[42.442] chamo_chako: radaoHi
[42.478] (S)natu59: radaoHi
[42.500] supi_supi_: radaoKitya
[42.597] もにゅぷぷ: radaoHi
[42.609] (S)あぅら: わこらだ
[42.611] ココナッツ__24: radaoHi
[42.615] mai161116katatumuri: radaoHi
[42.626] (S)amedama_0525: わこらだ
[42.643] (S)はっる坊: わこらだ 
[42.800] ろるべーる: わこらだ
[42.823] ｳﾙ: わこらだ！
[42.840] (S)ニコチャソ: わこらだ！
[42.845] nariki_011: わこらだ
[42.864] nyarin_0302: わこらだ
[42.913] あさみや301: わこらだ
[42.999] らーな: radaoHi
[43.069] ponzu_nomitai: radaoHi
[43.070] えりさ_: radaoKitya
[43.263] ポテチの子: わこらだ 
[43.445] (S)とりここ: わこらだ
[43.461] あーーーち: radaoHi
[43.611] ゆきとよ: わこらだ
[43.640] (S)もねねん: radaoHi
[43.662] ~MISSING_COMMENTER_INFO~: radaoKitya
[43.707] (S)きちゃんきちゃん: わこらだ 
[43.845] toremoro_san: わこらだ
[43.898] nattu__: radaoHi
[43.906] shimeno_n: radaoHi
[43.909] すいかんがる: radaoHi
[44.718] (S)samehurai1028: samehurai1028 subscribed with Prime. They've subscribed for 11 months! 
[45.142] yuinokawa: わこらだ
[45.191] asatonman: radaoHi
[45.218] koooohizeri: わこらだ！
[45.241] ai0902: radaoHi
[45.280] mirumiru_h: radaoHi
[45.280] (S)ドミノくん: わこらだ
[45.313] (S)araracha: radaoHi
[45.326] (S)hamati0511: うおおおお
[45.392] (S)you_28: radaoKitya
[45.399] かんこ: radaoBanzai
[45.405] karen0046: radaoHi
[45.418] ナス忍者: radaoHi
[45.428] (S)okami0704: わこらだ
[45.652] (S)00ほのか00: わこらだー
[45.835] pawdai: わこらだ！
[45.846] aonosuke89: わこらだ
[45.876] (S)nekomrnn930: radaoHi
[45.904] lapin317: わこらだ
[45.935] mono_0114: radaoHi
[45.977] Water_1013: Water_1013 subscribed at Tier 1. They've subscribed for 31 months! 
[46.054] (S)okappameganee: わこらだ
[46.141] 唐辛子ガール: わこらだ
[46.207] (S)シロツメ: わこらだ
[46.311] ぴっくる: radaoHi
[46.374] 角角家: radaoHi
[46.379] (S)Chao_mako: radaoKitya
[46.497] れもんちぃ0: radaoHi
[46.549] あげだし丸: radaoHi
[46.632] n0413taro: わこらだ！
[46.700] 桜並木: radaoHi
[46.704] ryule_rv: わこらだ
[46.715] (S)一五餅: radaoHi
[46.811] (S)uki_1205: radaoHi
[46.862] (S)mrgrtpsr: radaoKitya
[46.862] 1717_17: わこらだ！
[46.897] あまちゃン: radaoHi
[46.918] もえぴーー: きたーーー
[48.133] みずきはな: れもんじる subscribed at Tier 1. They've subscribed for 30 months, currently on a 30 month streak! 
[48.984] natu0624: radaoHi
[49.046] ちったむ: わこらだ
[49.047] kotatsu_san: 俺得メンツ
[49.073] sky_100603: わこらだ！
[49.078] ~MISSING_COMMENTER_INFO~: radaoHi
[49.101] ki_na_kona: わこらだ
[49.161] nako0513: わこらだ
[49.210] micoa7485: radaoHi
[49.217] (S)Manyuppe: radaoHi
[49.228] piisuke0428: よぉ
[49.243] (S)shinooo_n: radaoHi
[49.319] (S)ぴかぴか_: radaoHi
[49.451] (S)寝ろさん: radaoHi
[49.485] yoneRu_: radaoHi
[49.635] hi_fumi_: radaoHi
[49.712] mamemamehu: わこらだ
[49.725] matcha6579: radaoHi
[49.824] miyaman__: miyaman__ subscribed at Tier 1. They've subscribed for 28 months! 
[49.827] mingo__sk: radaoHi
[49.852] かんこ: radaoHi
[49.882] (S)みちこ523: わこらだ
[49.968] (S)96猫3: radaoKitya
[50.050] たはと: radaoHi
[50.201] あかぽこ: わこらだー
[50.233] (S)riiili_: radaoHi
[50.235] (S)you_28: radaoKitya
[50.322] (S)darkmoca331: radaoHi
[50.338] (S)Shime_2: わこらだ
[50.595] pu_tyan: radaoHi
[50.599] yoichimu: radaoHi
[50.749] aotubakikuruminku: わこらだー
[50.756] kawaharaya: radaoHi
[50.769] むんっっ: わここらだー
[50.811] (S)hunting_nimo: わこらだ！
[50.920] (S)tunamayo1234: わこらだ
[51.460] てねす: てねす subscribed at Tier 1. They've subscribed for 35 months, currently on a 35 month streak! 
[52.721] ペネロペ: radaoKitya
[52.737] (S)kagami_10_14_: radaoKitya
[52.779] tetoram: radaoHi
[52.780] welt_1207: わこらだ
[52.782] 葵陽: わこらだー
[52.910] (S)baceneKo: ｗｗｗｗｗｗ
[52.930] (S)shiki365: わこらだ！
[52.932] きのこ番長: radaoHi
[52.956] kagamimochi_mikan: わこらだ
[52.968] (S)みとこんどりあ_: radaoHi
[52.972] mamo_tarou: radaoHi
[53.064] (S)nerikondapan: radaoHi
[53.455] みずきはな: radaoHi
[53.684] hatiti88: radaoHi
[53.695] からたべ: radaoHi
[53.726] kashiwa_ppz: わこらだ
[53.769] banbando: わこらだ
[53.777] (S)raruaaa: わこらだ 
[53.792] (S)saika00002: radaoHi
[53.801] runana_1123: わこらだ
[53.898] itayui5: radaoHi
[53.907] fuzino88: わこらだー！！！
[53.926] poozoo_15: わこらだー
[55.053] konnichina: わこらだ！
[55.075] (S)みさき0224: radaoHi
[55.095] 雪代: radaoHi
[55.140] tukumaro_91: radaoHi
[55.163] shako20539: わこらだ
[55.251] (S)レロキャン: わこらだ
[55.300] howlin_0: radaoOtaku
[55.322] mikannn_0117: radaoHi
[55.327] tudacosu: radaoKitya
[55.331] (S)めろろろ: わこらだー
[55.381] (S)waakari2003: わこらだ
[55.489] mimi_fuwa1489: わこらだ 
[55.540] もにゅぷぷ: 頑張れ！！！
[55.571] (S)mrgrtpsr: wwwwwwwwww
[55.603] (S)shunmin_914: radaoHi
[55.703] ネギ犬: radaoKitya
[55.741] chiharu1212: わこらだ 
[55.756] abokadonoko: わらこだナノでーす
[55.780] moti31056: わこらだ〜
[55.805] まここま: IGLってちなみにだぁれ？
[55.807] terra_rossa_: わこらだ
[55.838] ionatsu: radaoHi
[55.893] nobume0v0: きちゃあああああああああ
[56.032] merongo_1023: わこらだーーーー
[56.120] Koa_1127: わこらだ！
[56.198] かぷかぷ5225: わこらだ！
[56.263] rennkonmann: わこらだ
[56.273] sidemenuhapotatode: きちゃああああああああああああああ
[56.290] h1tom1111111111: わこらだ
[56.522] (S)ayukoro8: わこらだー
[56.750] あやとちん: radaoHi
[56.757] (S)あかね0313: わこらだ
[56.789] (S)心羽空すみ: radaoHi
[56.824] スペルタン: radaoHi
[58.104] kotori_py: わーいこんばんはらっだぁさん
[58.125] sena7723: わこらだ
[58.170] えりさ_: wwwwwwwww
[58.213] たまごぼ_ろ: わこらだ
[58.219] 紗弥0926: わこらだ 
[58.235] miki_15g: radaoOtaku
[58.238] (S)heruniaaa: わこらだ
[58.321] はたの: わこらだ
[58.322] (S)kuuki1214: radaoHi
[58.326] morry1063: radaoHi
[58.333] shi_n_tou: radaoHi
[58.335] kanineco25: radaoHi
[58.397] (S)ーうたうた: radaoHi
[58.483] るきち: radaoHi
[58.678] (S)レロキャン: radaoHi
[58.733] おりおんさん: radaoHi
[58.764] monaka2725: radaoHi
[58.788] honehone_2: wwww
[58.796] Amane__00: わこらだ
[58.828] れたすさんど: radaoHi
[58.848] tomei0833: radaoHi
[58.863] batu_0009: わこらだ
[59.088] yuzu_zuzu: radaoHi
[59.119] (S)a_mondoKojio: radaoHi
[59.164] ringoameeeee: わこらだ
[59.208] (S)セレちゃ: わこらだー
[59.279] だしまきえっっぐ: わこらだ
[59.439] (S)purin_31: radaoHi
[59.593] 4maten: radaoHi
[59.688] 中村おみかん: わこらだー
[61.118] (S)machiru88: わこらだーーー！！
[61.179] batu_0009: radaoHi
[61.203] ヤマギク: わこらだ
[61.217] shiba_Noizy: わこらだー！
[61.318] きのこのこぉ: radaoHi
[61.352] tmakaronn: わこらだ
[61.357] 1__rui__: わこらだです！
[61.365] ruchi_13: radaoHi
[61.412] mg_rafu: わこらだ
[61.415] lobi5656: わこラダー！
[61.428] so_cha_26: radaoHi
[61.453] (S)Alicia3976: radaoHi
[61.531] rimirimi1205: radaoHi
[62.708] lnoazu: わこらだ
[62.738] (S)sora_mameee: wwwwwww
[62.798] ぽこぽ: radaoHi
[62.845] atto224: わこらだ
[62.886] siina_2525: わこらだ
[62.894] れじかる: わこらだ
[62.918] pikopakopoko: わこらだー！！
[64.709] marimoko6231: radaoHi
[64.795] gawrib: radaoKitya
[64.836] (S)ずさん_: radaoHi
[64.946] えりさ_: 急いであげてきたのねwww
[64.955] (S)perurina: わこらだ
[64.981] Pantobox: わこらだー
[65.092] yuu_1010: radaoKitya
[65.103] (S)Mi_zua0: わこらだ
[65.219] ごま塩プリン: わこらだ
[65.335] balsamicsu: radaoKitya
[65.397] (S)ke1koto: radaoHi
[65.502] はるのてゃん: radaoHi
[65.540] (S)asa_rad: わこらだ
[65.593] (S)sunsun_deshi: うおおお 
[65.594] (S)huninorinosyasin: radaoHi
[65.756] (S)セレちゃ: radaoKitya
[65.818] ankoro0324: radaoHi
[65.838] ayunosioyaki0223: www
[66.385] tako_0627_: uta_0627_ subscribed at Tier 1. They've subscribed for 12 months! 
[67.253] urr258: わこらだ
[67.268] (S)惰性さん: わこらだ
[67.289] ryotamk_2: わこらだ 
[67.479] haru_chan92: がんばれーーーーー！
[67.499] tanu_kichi_: radaoHi
[67.499] ajataka66: radaoHi
[67.507] yagen0915: わこらだ
[67.511] zakoteki: わこらだ
[67.514] うみねずみ: radaoHi
[67.658] tetsudohzoi: radaoHi
[67.705] yuzri: わこらだぁ
[67.713] Ritsu1211: わこらだ〜
[67.722] tarosuke_0e0: やったー！
[67.765] (S)17ititonana: radaoHi
[67.876] ペネロペ: www
[67.888] わり: わこらだー
[67.947] (S)バナナ民: radaoHi
[68.033] hisuikana: わこらだ
[68.194] やおにいち: わこらだー
[68.204] pankunnmnm: radaoOtu2
[68.271] am4kumo: radaoHi
[68.422] radesu0514: Cheer1わこらだー
[68.453] arasin2157: radaoHi
[68.467] gurimen_0628: radaoHi
[68.555] (S)yuki_1418: radaoHi
[68.825] (S)ヴィヴィ0123: わこらだー
[69.207] (S)nyanko0522: radaoHi
[69.239] しるりば: radaoKitya
[69.246] (S)Ruria00: わこらだ 
[69.304] 66はなぶさ: わこらだー
[69.325] (S)huninorinosyasin: わこー
[69.413] toyu315: わこらだ
[69.575] にゃるぷ: きちゃぁあああああ
[69.700] monpuchiking: radaoHi
[69.720] marimo1030: わこらだ
[69.721] らんぷ_1004: わこらだ
[69.839] (S)ryou2432: radaoHi
[69.839] kakiageda: radaoHi
[69.859] sjindoa: radaoKitya
[69.892] とむこあ: radaoHi
[70.353] nibosichan_0403: nibosichan_0403 subscribed at Tier 1. They've subscribed for 6 months! 
[70.378] Cactusmaaan: わこらだ
[70.462] marupoti: wakorada
[70.500] tubakisikure: わこらだー
[70.579] ~MISSING_COMMENTER_INFO~: radaoHi
[70.640] (S)セレちゃ: radaoHi
[70.667] mitsukan25: わこらだ
[70.688] eggfforia: きちゃぁぁぁぁぁぁぁ
[70.879] Rada_lop: radaoHi
[71.036] s_i_i_a: わこらだ
[71.174] ta_ka92: わこらだ
[71.608] (S)nekomar_1225: わこらだ
[71.853] uta_0713: radaoHi
[71.898] gurimen_0628: radaoHi
[72.015] (S)_えむち_: わこらだ
[72.018] border_listener: radaoHi
[72.044] てとてと: わこらだ 
[72.164] tako_0627_: radaoHi
[72.244] (S)17ititonana: wwww
[72.441] イエタ: radaoHi
[72.503] あかつき75: わこらだ〜
[72.530] 焼き鳥くんです: radaoHi
[72.709] (S)おかチャン: radaoHi
[72.773] mitarashi0712: わこらだ 
[72.985] rin_nasu: わこらだ
[73.226] Orufe_0: Orufe_0 subscribed with Prime. They've subscribed for 32 months! わこらだ 
[73.256] 96cyam: radaoHi
[73.507] cyarasu: わこらだ〜
[73.745] たまやん: わこらだ
[73.774] (S)奶菜: radaoHi
[73.777] nekodama2155: wwwwwww
[73.945] gurimen_0628: radaoHi
[73.985] nanamekuji: わこらだー
[74.170] (S)chiteneko: わこらだ
[74.181] ワタメル0324: わこらだ
[74.184] (S)Ruria00: radaoKitya
[74.234] 榊原紅葉: わこ
[74.316] (S)tnkmtnr: わこらだ
[74.535] amane73: わこらだ
[74.838] karashi_333: わこらだ 
[75.104] foexeed: わこらだ
[75.425] あきぬこ: radaoHi
[75.659] mogu_rikko: わこらだ！
[75.671] mugisan1221: radaoHi
[75.791] nobume0v0: www
[75.815] dia11313: わこらだ
[75.820] しろらろ: わこらだ
[75.896] (S)huninorinosyasin: radaoKitya
[75.908] (S)にわすずめ: 激盛りだったね
[76.011] んななな: radaoHi
[76.042] のせ太郎: radaoHi
[76.064] Rada_lop: radaoHi
[76.189] (S)mijyu2525: radaoHi
[76.241] pankunnmnm: radaoHi
[76.536] Hinori0228: Hinori0228 subscribed with Prime. They've subscribed for 12 months, currently on a 12 month streak! 
[76.662] haineozZ2: radaoHi
[76.688] 12271008: わこらだ
[76.884] runa0921: radaoKun
[76.906] tatsuzola: わこらだ 
[77.037] えびぴんく: わこらだー
[77.135] vasukodagama: わこらだあああああ
[77.317] lumaguron: radaoHi
[77.319] rinka59: radaoHi
[77.367] shinngouki_567: radaoHi
[77.430] おじょーー: radaoHi
[77.470] スペルタン: プラチナ3！？
[77.594] feyurar: わこらだ〜
[77.613] えりさ_: wwwwww
[77.630] hatuta1113re: radaoHi
[77.753] kotokototoo: わこらだ
[77.838] shiba_Noizy: ありさんとれいーどとチームかあ！！
[77.892] modestender: わこらだ
[78.226] itoyu_62: radaoHi
[78.376] kyurino_asazuke: わこらだ
[78.452] runa_hoshi: わこらだ
[78.478] nekoko28: radaoHi
[78.507] nekodama2155: なるほどねwww
[78.515] アールル: わこらだ!!
[78.528] (S)ねぴん活動休止中: radaoHi
[78.578] drem_chan: うおお
[79.142] (S)itijiku_0605: わこらだ
[79.312] amane73: radaoHi
[79.635] sjindoa: radaoHi
[79.704] あきぬこ: あ
[79.841] (S)まつろわぬ: わこらだ
[79.890] つらりれ: わこらだ
[80.072] Rada_lop: radaoHi
[80.082] universal_studio_alice: 必死？
[80.770] tomiya_f: radaoHi
[80.835] rarukashi: わこらだ！
[80.873] ryojixx: ワコラダ
[80.885] (S)えにー: わこらだ
[81.005] maasyuu: radaoHi
[81.037] sakutennn: わこらだ 
[81.051] (S)seillane: radaoKitya
[81.192] Lycan0174: radaoHi
[81.276] (S)kurono1627: わこらだ 
[81.468] omochi_uma_uma: radaoHi
[81.527] いぶ太郎: わこらだ～
[81.652] ayunosioyaki0223: wwwwww
[81.729] 3939rio: わこらだ〜 
[81.757] rona_713wt: radaoHi
[81.984] merongo_1023: うおおおお
[81.988] ヌコさん: わこらだー
[82.047] dokukinoco: あ
[82.078] まだら25: wwwww
[82.085] (S)itoido: わこらだ
[82.282] (S)飴パン: www
[82.565] hiraharuu: radaoHi
[82.714] yuzu_zuzu: radaoHi
[82.818] sutera_917: わこらだ
[82.887] yuki_snowdrop: radaoHi
[82.963] にゃご崎: わこらだ
[83.057] (S)nnc_1103: わこらだ！
[83.058] okome_011: radaoHi
[83.059] haaaaarutan: わこらだ
[83.247] (S)sora_mameee: ｗｗｗｗｗ
[83.302] えりさ_: wwwwwwwwwwww
[83.310] 唐辛子ガール: wwwwwwwwwwww
[83.332] 月藍ちゃん: わこらだ
[83.356] めらとにん: めらとにん subscribed with Prime. They've subscribed for 15 months, currently on a 3 month streak! 
[83.480] t0zo_: よおぼっち居酒屋おじさん
[83.487] (S)ずっきーーーーに: radaoHi
[83.526] あおは_: わこらだ
[83.802] あいねち: わこらだ
[83.847] zakry_39: radaoKitya
[83.889] もなきあ: おお
[84.093] (S)tnkmtnr: radaoHi
[84.104] shiba_Noizy: 最高メンツ
[84.186] nekomoti1: わこらだぁ！
[84.198] sonata_0225: わこらだー！！
[84.291] magaos_753: radaoHi
[84.369] Azer238i: わこらだ
[84.538] myuu2001: radaoHi
[84.694] (S)壱代目: わこらだ〜
[84.801] んななな: nna73l subscribed at Tier 3. They've subscribed for 6 months! 
[85.088] (S)seillane: wwwwwwwww
[85.238] 希陽_コハル: わこらだ〜
[85.311] merongo_1023: あー
[85.437] ruchi_13: さすがありぴ
[85.463] tanu_1017: わこらだ
[85.464] mirumiru_h: wwwwwww
[85.468] nanomaikuro1994: わこらだ
[85.474] きつね__2525: radaoHi
[85.563] kanna0730: わこらだ
[85.717] なーうぇ: わこらだー
[85.927] (S)たくみん_1: わこらだ
[86.042] tukky1208: radaoHi
[86.209] puuhana: radaoHi
[86.295] (S)ぷにじゃむ7716: radaoHi
[86.316] ペネロペ: wwwwww
[86.401] 胡桃柚子: ありぴw
[86.636] (S)haruneo_s: わこらだ
[86.876] (S)nnc_1103: radaoHi
[86.887] (S)なんどね: わこらだ〜
[87.041] fuu_0926: radaoHi
[87.049] (S)おるがのる: wakorada
[87.873] エルブ: わこらだ～～
[87.977] pasu0764: radaoHi
[88.054] tomiya_f: こんばんは！
[88.100] naehasu_: radaoHi
[88.107] kachiemon0408: わこらだ
[88.123] (S)hiraki_haru: わこらだー
[88.197] (S)itoido: radaoHi
[88.454] (S)nacha_86: radaoHi
[88.490] (S)あじさ: わこらだ 
[88.702] (S)にわすずめ: ほーんwww
[88.768] ぴっち: radaoHi
[89.128] (S)ききるな: わこらだ
[89.352] fun_gori: ほんまか〜？
[89.441] (S)壱代目: radaoHi
[89.526] (S)チィヤン: radaoHi
[89.589] (S)あぅら: radaoHi
[89.600] hiraharuu: radaoKitya
[89.607] (S)Ruria00: あ〜
[89.610] mattya120104: radaoHi
[89.611] (S)しああき: わこらだ！！！
[89.736] revali9419: radaoHi
[89.749] kanna0730: radaoHi
[89.834] りったん_: radaoHi
[89.853] たこわささん: すげーよく頑張ったねらだお
[89.952] perseus7000: わこらだ
[90.084] bijijiaiueo: わこらだ
[90.135] aosun_: radaoHi
[90.215] しあわす: わこらだ
[90.224] kuso_bouzu: わこらだ
[90.225] 霞ちゃん: radaoHi
[90.314] ゴミ以下でごめん: わこらだー
[90.418] shi__409: わこらだー
[90.626] yuukara25: わこらだ！
[90.689] azisai1111: わこらだ
[90.759] karen_cherryblossom2: わこらだー！
[90.867] なうのーす: radaoKitya
[90.869] mememori212: radaoHi
[90.904] (S)やきとりくん: チクチク
[91.236] fu0424: わこらだです!!
[91.318] 0501nao: わこらだ
[91.341] るきち: なるほどね？
[91.481] あまりんだ: 物は言いようだよな
[91.508] (S)haruneo_s: radaoHi
[91.552] ばにら0115: radaoHi
[91.592] 3000bitto: radaoHi
[91.707] スカイウリ: wwwwww
[91.814] gawrib: ありぴーとレイド君だー！！！
[91.911] (S)kairodi: radaoHi
[92.140] (S)seillane: わこらだ
[92.243] (S)dinosaursan: わこらだ！
[92.271] (S)yu_hi3: radaoHi
[92.297] 数式記号: radaoHi
[92.325] (S)mai_mon_20: radaoHi
[92.575] spring114514: わこらだ
[92.730] 白の六号: わこらだ
[92.826] むろ_: わこらだ
[92.858] (S)おるがのる: radaoHi
[92.961] ruchi_13: www
[93.131] yuukara25: radaoKun
[93.199] (S)sora_mameee: ｗｗｗｗｗｗｗｗ
[93.215] (S)gyouzachann: わこらだ！
[93.356] ゆきゆた: わこらだ
[93.426] ayunosioyaki0223: あwww
[93.816] destr0y_de1ty: わこらだ
[93.924] amanatsu_007: radaoHi
[93.980] おはぎ219: わこらだ
[94.010] kanoha_2525: わこらだ 
[94.069] tomiya_f: わこらだ～
[94.195] ゆうの: わこらだ
[94.315] yokoniki: きたぁぁあ
[94.318] hopstepjamp: わこらだ
[94.437] toitoi_526: わこらだー
[94.556] ひゅうが0_0: radaoHi
[94.641] (S)ゆりお君: radaoHi
[94.806] miu1119: わこらだ！ 
[95.246] yetmkr29: わこらだ！
[95.478] runa_hoshi: radaoHi
[95.479] (S)ずっきーーーーに: radaoTyu
[95.622] mariner00043: わこ
[95.896] 紅狼ゆう: radaoHi
[96.129] 卵太郎: わこラダー 
[96.371] ゆちちちち: ~MISSING_MESSAGE_INFO~
[96.383] 琉菜: わこらだ
[96.501] (S)nolea_: radaoHi
[96.510] (S)kitsuneko99: radaoHi
[96.735] (S)zeeebtg: radaoHi
[97.044] evacoler: radaoKitya
[97.123] (S)ebiflya_: わこらだ
[97.152] えりさ_: www
[97.788] (S)しょうへぃ: radaoHi
[97.814] (S)楓_くん: わこらだー
[97.878] muzako658: わこらだ 
[97.997] purima: radaoHi
[98.034] のそのん: radaoHi
[98.063] beek648: わこらだ
[98.367] s1__m: わこらだ
[98.803] greeeen8_xe: わこらだ
[98.808] soraneeeeen: radaoHi
[98.999] kichi810: radaoHi
[99.299] nana_sasa_: nana_sasa_ subscribed with Prime. They've subscribed for 16 months! 
