[2.324] (S)なん69: なん69 subscribed with Prime. They've subscribed for 10 months, currently on a 10 month streak! 
[7.232] (S)上ゆい: こんちわ
[51.537] ルロア: わこらだ
[51.539] くまべりー: radaoWakotu
[51.574] (S)yoneRu_: わこらだ
[51.693] (S)soyokaze1212R: わこらだ
[51.754] 贄ﾁｬﾝ: わこらだ 
[51.793] (S)fuu_maru: わこらだ
[52.001] (S)jima922: わこらだ 
[52.011] (S)uw_azu_wu: radaoWakotu
[52.693] ちょーみん: わこらだ
[52.734] (S)kinari_iro_: わこらだ
[52.812] ta_tago: わこらだ
[53.393] (S)mamiyan0926: radaoWakotu
[53.840] uaru_0706: わこらだ
[54.078] (S)fuu_maru: radaoWakotu
[54.296] 角角家: radaoWakotu
[54.301] ごびょう: わこらだ
[54.483] taran_tan: わこらだ
[55.000] (S)ふぁる_: わこらだ
[55.385] 足し湯: わこらだ
[55.524] アリーガちゃん: わこらだ
[55.752] suibotu_: わこらだ
[55.820] koromoti1219: わこらだ
[55.909] (S)peace6flower: わこらだ
[55.931] (S)furutto110: わこらだ
[56.134] mimitabu_92: わこらだ
[56.196] (S)tanakaaa319: わこらだ
[56.244] hotallu_42: radaoWakotu
[56.354] (S)kopepe_: わこらだ
[56.408] ここねり: わこらだ
[56.483] waa39: わこらだ
[56.573] rin_1139: わこらだ
[56.785] (S)aina___10812: radaoWakotu
[56.789] (S)yoneRu_: radaoWakotu
[56.789] (S)sjindoa: やってないだろ
[57.250] (S)jima922: radaoKitya
[57.475] (S)きのこの炊き込みご飯: Twitterリンク忘れてない？
[57.477] ごぜん_: わこらだ
[57.760] rioapr03: radaoWakotu
[57.987] carbonara10: わこらだ 
[58.028] touya0597: わこらだ
[58.061] (S)のこ汰: radaoWakotu
[58.238] (S)usiuma: radaoWakotu
[58.300] (S)yuna_aaaaaaaaa: わこらだ！ 
[58.352] (S)umineco_0627: radaoWakotu
[58.455] (S)baberuboburu3939: radaoWakotu
[58.777] (S)iamraiku: radaoWakotu
[59.023] (S)yo_u_0115: radaoWakotu
[59.910] mono_0114: わこらだ
[60.199] (S)はるのてゃん: わこらだ
[60.289] きのここ: わこらだ
[60.346] clavis0222: わこらだ
[60.465] ドコサヘキサエン: TwitterURLないけど大丈夫？
[60.495] ヤクシャ: わこらだ！
[60.881] にわすずめ: わこらだ
[60.957] (S)mai161116katatumuri: radaoGG
[61.100] (S)tanakaaa319: radaoWakotu
[61.230] karage210: わこらだ
[61.329] osato9654: わこらだ
[61.339] (S)あみこ0408: radaoWakotu
[61.345] すいぺりあ: radaoWakotu
[61.423] pirarucu_0701: わこらだ
[61.467] puyopuyokun: きちゃー
[61.527] mikan_san: わこらだ
[61.662] (S)evolblackhole555: radaoWakotu
[61.682] (S)jima922: 成長しろ
[62.399] (S)しあわす: わこらだ
[63.107] チュチュンバー: radaoWakotu
[63.464] 冴桜: わこらだ
[63.517] (S)PEI_OwO_: PEI_OwO_ subscribed at Tier 1. They've subscribed for 7 months, currently on a 7 month streak! 
[63.763] (S)ぴっち: radaoWakotu
[64.208] しょうろんぽウ: わこらだ
[64.424] ta_tago: radaoWakotu
[64.495] (S)さらんらん: radaoWakotu
[64.664] yuuuma_s: わこらだ
[64.664] touuhu: わこらだ！
[64.898] kyo_kaaa: わこらだ
[65.882] (S)あおちゃちゃ: radaoWakotu
[66.208] (S)まるこりん: わこらだ
[67.696] (S)nakihai556: radaoWakotu
[68.138] macaroons_3: わこらだ
[68.272] おおたくん: radaoWakotu
[68.340] りざき: radaoWakotu
[68.390] (S)hanpennnnnn: radaoWakotu
[68.543] NORI25252: わこらだ
[68.765] yumushi_1211: わこらだ
[69.138] hakonegi: hakonegi subscribed at Tier 3. They've subscribed for 2 months, currently on a 2 month streak! わこらだ
[69.675] riku0572: わこらだぁー－－
[69.820] kyo_kaaa: radaoWakotu
[69.917] (S)yuu2525: radaoWakotu
[70.875] (S)nezumaru: radaoWakotu
[70.957] もんじゃ焼きたべたい: わこらだ
[71.133] hinakai_46: あんまやってないだろ
[71.762] milky_711: わこらだー！
[71.941] (S)vananua: vananua subscribed at Tier 1. They've subscribed for 6 months, currently on a 6 month streak! わこらだ
[72.173] がむ__: radaoWakotu
[72.216] hotaru_uy: わこらだ
[72.431] (S)ぴっくる: radaoWakotu
[72.779] uni_mm: わこらだ
[72.844] かーりんご: わこらだ
[74.429] yutiy_25: わこらだ
[74.429] (S)眼鏡3: radaoWakotu
[74.971] ru_san0720: radaoWakotu
[75.127] aren1109: わこらだ
[75.276] (S)かわうそのうそ: radaoWakotu
[75.355] 贄ﾁｬﾝ: Twitterにリンク貼れ
[75.589] (S)tsuM6G1_: かじってたのね
[75.694] mikan_san: Twitchのurl貼るの忘れとる
[76.387] よわはと: radaoWakotu
[76.639] wanko_wan: わこらだ
[77.071] hotallu_42: ツイートにリンク載ってないよ
[77.422] mugii__12: わこらだ
[77.667] yukki0321: 昼珍しい
[77.725] (S)aoi423: radaoWakotu
[77.855] _もちもち_: わこらだ
[78.267] ねむいねこ: リンクなかったぞ
[78.745] とみちょび: わこらだー！
[79.202] (S)minibanbi: radaoWakotu
[79.416] しゃしゃかま: わこらだ
[80.788] nr_ripa: わこらだ
[81.675] おれい: わこらだ
[81.731] (S)woontion0013: radaoWakotu
[81.815] (S)chikutaso: radaoWakotu
[82.876] rimirimi1205: わこらだ
[84.854] 哀れな人の子: わこらだ
[85.485] moririnn1103: わこらだー
[85.518] iwori5013: わこらだ
[86.226] (S)gogo_pm5: radaoWakotu
[87.324] (S)yoneRu_: アッシュかわいーん
[87.455] panndaman1: radaoWakotu
[87.560] (S)ぷちょしずか: radaoWakotu
[89.722] (S)もえぴ_: わこらだ
[89.973] (S)saika00002: リンクなかったけど
[93.242] (S)minibanbi: わこらだ
[93.585] sasami_0814: わこらだ
[94.079] tetoram: わこらだ
[94.564] (S)yakuza_isi894: わこらど
[94.707] hatiti88: わこらだ
[94.803] ラムネ味: わこらだ
[94.831] _みっつん: わこらだ
[94.917] kana0723: わこらだ
[95.370] (S)まなえ: わこらだ
[96.211] gaiantufan: わこらだ
[96.359] かける0728: わこらだ
[96.393] Mayoi__31: わこらだです！
[96.779] (S)来世はくらげ: わこらだ
[96.992] りる太: わこらだ
[97.174] 0秒: わこらだ
[97.362] ゆふる: わこらだ
[97.636] ou_sama_: わこらだー
[98.068] (S)ryo_ngz: わこらだ
[98.286] ドコサヘキサエン: 訂正えらいぞ
[98.509] (S)ラボア: radaoWakotu
[98.525] pepeyan: わこらだー
[99.064] rinrl: わこらだ
[99.083] shiokonbu3: わこらだ
[99.189] _イオ_: わこらだ
[99.297] (S)tooya414: わこらだ
[99.382] kohakutou0: わこらだー
[99.700] kibunya_sun: radaoWakotu
[99.926] 贄ﾁｬﾝ: ありがとな
[99.958] aya_1994: わこらだ
[99.974] (S)古橋: radaoWakotu
[100.060] sirata31: わこらだ
[100.188] risa0224: わこらだ
[100.377] つばき_: わこらだ
[100.389] yasurusiiiiiiii: わこらだ
[100.593] ﾓﾁﾓ: わこらだ
[100.795] tubugu: わこらだ
[100.801] 2zuki7: わこらだ
[101.033] aoaosho: わこらだ
[101.057] まいーー: わこらだ
[101.733] みーちゃ__: わこらだ
[101.919] (S)きなこもち46: わこらだ
[101.960] miam_1018: わこらだー
[101.961] Naaaaaa_ABC: わこらだ
[102.042] Earl_Gray901: わこらだー
[102.049] Ai_10013: わこらだー
[102.659] mizuki_613: わこらだ
[102.709] ピピラム: radaoWakotu
[102.756] (S)ra_mon_da_o: わこらだー
[102.909] bicycle_tyari: わらこだ
[102.926] 消化器: わらこだー！
[102.952] naokun112585: わこ
[103.089] Free_Box11: わこらだ
[103.113] kusananoda123: わこらだ
[103.124] shibuya_0830: わこらだー
[103.133] rito1725: わこらだ
[103.297] とむこあ: radaoWakotu
[103.319] toukuuabima: わこらだ
[103.620] ゆずしろ: わこらだー
[104.095] ギンナン: わこらだ
[104.234] waaaaafu: わこらだ
[104.294] lotas_729: わこらだ
[104.351] fusedoumei: わこらだー
[104.461] ニケさん: わこらだ
[104.471] アストモ: わこらだ
[104.502] knowrta: わこらだ
[104.976] miam_1018: わこらだ
[105.170] 琉凪: わこらだ〜
[105.223] 010203arinko: わこらだ！
[105.230] (S)yuuka_0223: わこらだ
[105.388] RyvnD_rein: わこらだ
[105.417] gakuto1007: わこらだ
[105.441] (S)Oyu3255: radaoWakotu
[105.462] ebimayou: わこらだ
[105.611] すいぺりあ: ないす訂正
[105.625] (S)venibear3466: radaoWakotu
[105.643] (S)ra_mon_da_o: radaoWakotu
[105.890] (S)きなこもち46: radaoWakotu
[106.097] hotallu_42: ストッピング難しいバロ
[106.105] magurodukushi: わこらだー
[106.164] yu_2525_: わこらだ
[106.165] sakusaku0113: わこらだ
[106.210] nontan1024: わこらだ
[106.235] mariaaaaacha: わこらだ
[106.322] ayunosioyaki0223: わこらだ
[106.361] momo___ka: わこらだ
[106.561] ゆきちだよー: わこらだ
[106.781] あいむのあ: わこらだ
[106.824] honoka2525: わこらだ
[107.028] パンダビット: わこらだー
[107.053] (S)ぽぷちやん: わこらだ
[107.322] magaos_753: わこらだ
[107.367] ゆずまる46: 柚乃木零 subscribed with Prime. They've subscribed for 10 months! 
[107.493] ぱるぱふ: わこらだ
[107.520] (S)すーちゃんまる: radaoWakotu
[107.703] ezeal: わこらだわこらだわこらだ
[107.750] (S)m1kqn_mimimi: radaoWakotu
[107.765] shirasu0913: わこらだ
[107.945] ~MISSING_COMMENTER_INFO~: わこらだ
[108.167] きまぐれ_: わこらだー
[108.513] 海びちゃん: わこらだ
[108.583] にょまれ: わこらだ
[108.716] hachiiiiiiiiiiiiiii: わこらだしょけん！
[108.722] ウノゾー: わこらだ
[108.738] lrohasu_: わこらだ
[108.781] happasan88: わこらだー
[108.803] くろざき: わこらだ
[108.820] anber1230: わこらだ
[108.952] Utumiiiee: わこらだー
[108.979] 姫世俐: わこらだ
[109.033] r1rw_exe: こらた
[109.162] ると_: わこらだ
[109.172] 生徒会長くん: わこらだ
[109.852] mira_bell5: わこらだ
[109.982] radao_suko_nanami: わこらだ！
[110.038] tasorin1212: わこらだ
[110.083] (S)縊死: radaoWakotu
[110.314] (S)omaru0902: わこらだ
[110.544] あーぞら: わこらだぁです！
[110.561] まに太郎: わこらだ
[110.583] えびぽや: わこらだ
[110.751] (S)MORIYA_37: radaoWakotu
[110.769] (S)おがくん: radaoWakotu
[110.778] Yu_M0620: うpつ
[110.989] riooooo_0815: わこらだ
[111.115] milky_711: 訂正ないす
[111.191] くろやぎちゃん: わこらだ
[111.223] 賭博はやめましょう: わこらだ
[111.435] 海びちゃん: radaoWakotu
[111.521] みきな: radaoWakotu
[111.675] みおん3078: わこらだ
[111.702] (S)cham_1112: わこらだ
[111.908] ロクでなし: わこらだ
[111.927] rapi104: わこらだ
[111.975] さつまいもおいしい: わこらだ
[112.124] sakuyan_0103: わこらだ
[112.159] (S)eniyamaru: わこらだ
[112.293] にゃご崎: わこらだ
[112.513] あしゅ_1127_: わこらだ
[112.740] 08058400422: わこらだ
[112.743] ark1110: わこらだ
[112.963] (S)ふぁう_: radaoWakotu
[112.983] りっとるくん: わらこだ
[113.074] (S)ぴす615: わこらだ
[113.319] だみを: わこらだです（╹◡╹）
[113.608] rona0525: わこらだ
[113.626] なるか3: radaoWakotu
[113.658] kingyo_tabetai: わこらだ
[113.722] ainob: わこらだ
[113.771] sabakunosaba: わこらだ
[113.824] bannzupann: わこらたー
[113.882] らいむです: わこらだー！
[114.116] にゅーん: わこらだ
[114.338] お嬢さま: わこらだ
[114.543] kinote3: わこらだ
[114.552] 椋榎: わこらだ
[114.552] (S)mosu_834: radaoWakotu
[114.565] (S)すーいろ: radaoWakotu
[114.746] family857: 健康トークきちゃぁあ
[114.829] gennoun: わこらだ
[115.122] kazutoro_desu: らこわだ
[115.290] gotsuhe: わこらだ
[116.080] (S)piroropiro: radaoWakotu
[116.115] sulapon58: わこらだ
[116.155] unknown_ra: わこらだ
[116.170] あるみ屋: わこらだ
[116.191] 雪白1228: わこらだ
[116.278] やくとみ: わこらだ
[116.281] しょーーーん: きちゃあああああ！
[116.288] かまどのおこげ: わこらだ
[116.479] (S)ちゃむす: halchums extended their Tier 1 subscription through January! 
[116.500] (S)SoLAnIN_r: わこらだ
[116.616] kaburika: わこらだ
[116.803] (S)ナラ抹茶: わこらだ
[117.022] マナティー06: わこらだ
[117.028] (S)みずいろか: radaoWakotu
[117.045] iamkusai: わこらだ
[117.148] aruto_1015: わこらだ
[117.183] ぎょろっとみかん: わこらだ
[117.254] (S)morry1063: わこらだ
[117.255] てーる: わこらだ
[117.440] irooooon_3: わこらだー
[117.443] poteito__: わこらだあ
[117.494] (S)Elu0417: わこらだ
[117.495] kento1006: ワコラダ
[117.718] wasabi_kinako: わこらだ
[118.050] (S)mint0929: わこらだ
[118.196] atuono: ヴァロラント ストッピング 出来ない 粕
[118.222] すいぺりあ: うおおお
[118.451] yui11270: わこらだ
[118.617] h_yura09: わこらだぁ
[118.637] 叶蓮_かれん: わこらだ
[118.865] しょーーーん: radaoWakotu
[118.891] (S)santaro100: santaro100 subscribed with Prime. They've subscribed for 5 months! 
[118.904] wpj575: わこらだ
[118.995] cyaso_desu: わこらだ
[119.020] mochi_00v: わこらだ
[119.040] (S)ぴす615: radaoWakotu
[119.111] (S)雪代: わこらだ〜！ 
[119.205] てとてと: わこらだ
[119.469] ituki309: わこらだー
[119.715] navyblue___: radaoWakotu
[119.817] k4zupon: わこらだ
[120.021] ぽちゃぽちゃにゃんこ: radaoWakotu
[120.098] (S)yuzu0331: radaoWakotu
[120.121] tokuto_mori: わこらだ
[120.188] るきち: わこらだ
[120.419] chankurokun: わこらだ
[120.772] yuimo_1823: わこらだ
[120.949] ukkiy_922: わこらだー
[121.153] きるた: わこらだ
[121.198] うぃらすと: わこらだ
[121.205] (S)mikuri_mkr20: radaoWakotu
[121.376] shi_n_tou: radaoWakotu
[121.396] (S)天童: radaoWakotu
[121.462] mamo_tarou: radaoWakotu
[121.639] muuuuu008: わぁこらだ！！
[121.854] あじさ: わこらだ
[122.009] negishio___: わこらだ
[122.090] ahopontan_: わこらだ
[122.100] yuzuki0723: わこらだ
[122.111] えぬめろでぃ: わこらだ
[122.229] らら茶: わこらだ
[122.237] kio_1216: わこらだぁ
[122.323] waroro27: わこらだ
[122.404] しろんめし: radaoWakotu
[122.434] からたべ: radaoNice
[122.489] bota111: radaoWakotu
[122.545] kinokonokonoko814: わこらだ
[122.633] (S)mayu_329: radaoWakotu
[122.704] ひなれと: わこらだ
[122.849] (S)siita0712: わこらだ
[123.012] yururano_0: わこらだ
[123.082] おけッけ: わこらだ
[123.095] Riel2525: わこらだ
[123.107] 燐だよ: わこらだ
[123.237] ばんぺいゆ: わーい 
[123.247] neochi_san: わこらだ
[123.289] suzuyayaya: わこらだ〜
[123.331] (S)yoichimu: radaoWakotu
[123.351] 神ちゃん: わこらだー
[123.383] (S)くろごま_: radaoWakotu
[123.418] karinn0323: わこらだ
[123.461] r_udhimaru: わこらだ
[123.639] SUILEN_xxx: wkrd
[123.763] mitakeshan: わこらだ
[123.976] mitudomoe1111: わこらだ
[124.114] omoti08022: わこらだ
[124.185] nyoiamond: わこらだー
[124.626] いぶき2525: わこらだ
[124.710] kibunyasan: わこらだ
[124.761] (S)sjindoa: radaoWakotu
[124.905] (S)rierutantan0800: わこらだ
[125.028] (S)ももなっとう: radaoWakotu
[125.080] yagen0915: わこらだ
[125.116] kaiyou_kun: わこらだ
[125.144] おうへろ: わこらだ
[125.149] gekkabizin0420: わこらだ
[125.227] (S)すんちゅ: radaoWakotu
[125.240] ちくわぶ22: わこらだ
[125.302] んさく: わこらだ
[125.814] (S)dolly_7: radaoWakotu
[125.863] まゃか: 老人会
[125.880] ちあらちゃん: わこらだ
[125.925] hattoriiiiiii: わこらだ
[126.118] cisha_1219: わこらだ
[126.230] (S)タクトン: radaoWakotu
[126.357] arasin2157: わこらだ
[126.493] えいリアン: わこらだ！、
[126.804] (S)もぎ: radaoWakotu
[127.033] (S)イエタ: わこらだ 
[127.075] youkan_umai: わこらだ
[127.106] ishicoro_coro_coro: わこらだー
[127.189] sta510pro: わこらだ
[127.262] kurumi0108: radaoWakotu
[127.302] (S)えりさ_: わこらだ 
[127.494] Niwatori005: わこらだー
[127.533] con_torru_z: radaoWakotu
[127.680] marutinn: わこらだ
[127.760] mafuyu256: わらこだ
[127.939] alice8629: わこらだ
[128.087] (S)yuzu0331: わこらだ
[128.212] からたべ: radaoWakotu
[128.319] ruck_4444: わこらだ
[128.462] mfsiba: わこらだ
[128.525] hitode_05: わこらだー
[128.666] masaba014147: わこらだ
[128.673] stellaAQ: わこらだ
[128.676] family857: わこらだ
[128.683] YATARO13: わこらだ
[128.696] しゃけやろうﾊーﾄ: わこらだ
[128.938] 0秒: がんばれ〜
[129.385] yaruna_dodo: わこらだ
[129.413] pochipo_122922: radaoWakotu
[129.428] (S)westy627: radaoWakotu
[129.994] roki_1115: わこらだぁぁぁぁぁぁぁぁぁぁぁぁぁ
[130.055] (S)sjindoa: wwwwww
[130.306] (S)k1444557: わこらだ
[130.565] komeokun85: いつのまにダイヤいったんや？
[130.646] フーリー: わこらだ
[130.746] (S)a_o3o1_m: わこらだ〜 
[130.759] アオぶる: よぉ
[130.786] misaka2525: わこらだ
[130.801] (S)ココナッツ__24: radaoWakotu
[130.844] tanaka452_: わこらだ〜！
[131.077] らんね: わこらだ！
[131.084] mtsuki0119: わこらだ
[131.230] 猿小判: よおー
[131.314] bun_syo: わこらだ
[131.710] satoushouyu: satoushouyu subscribed with Prime. They've subscribed for 23 months! 
[131.789] (S)ryotamk_2: わこらだ 
[131.791] futunooryo: わこらだ
[132.013] (S)danger_tap: わこらだ！
[132.157] mumadoo: わこらだ
[132.361] mokomakura: わこらだー
[132.760] (S)odenn92: radaoWakotu
[132.862] Worc_Lv8: わこらーだ
[132.863] らむねゐろ: よお
[132.997] mimipaadesu0428: わこらだ〜
[133.132] なうつき: わこらだ
[133.434] プチピカ: わこらだ
[133.940] dokukinoco: radaoWakotu
[134.193] (S)髭ピー: radaoWakotu
[134.201] くらげてん: radaoWakotu
[134.424] (S)かいろすくわがた: radaoWakotu
[134.456] kero_ppi1: わこらだ
[134.683] みずきはな: radaoWakotu
[134.809] (S)sjindoa: wwwwwwwwww
[134.905] あむちゅ: わこらだ
[135.428] (S)yunomi401: radaoWakotu
[135.653] (S)moris1013: わこらだ 
[135.903] (S)naniha_0728: radaoWakotu
[136.025] rutti_san: わこらだ
[136.075] にょまれ: うれし〜
[136.081] siroa2004: わこらだ
[136.144] rihooon: わこらだ
[136.167] しおつ: わこらだ
[136.179] t_maguna: わこらだ
[136.466] yusan913: わこらだ
[136.660] (S)しのんの: radaoWakotu
[136.727] bota111: 最高
[137.951] sugimi0218: わこらだ
[138.083] あじさ: よお
[138.120] いる1023: わこらだ
[138.128] _紺碧_: わこらだ
[138.180] しゃけやろうﾊーﾄ: radaoWakotu
[138.201] roki_1115: わこらだぁ
[138.220] 瀬文: わこらだ
[138.811] kure_neco: わこらだ
[138.948] くろわさび: らだしゅーきたぁぁぁ
[139.009] Rit0_9: わこらだ
[139.149] りむりん: わこらだ
[139.244] エルローライト0302: わこらだ
[139.506] まふふうぃんぐ: わこらだ
[139.671] non_non_0607: radaoWakotu
[139.726] や5: わこらだ
[139.793] kai_0132: わこらだ
[139.868] 1ki1ki_c6h8o7: わこらだ
[139.983] azuriiine: わこらだ
[140.022] mi1sano2: わこらだ！
[140.106] 惰性さん: わこらだ
[140.131] 琴ノ葉: わこらだ
[140.322] nonoha_111: わこらだ
[140.466] manatsuyu0719: わこらだ 
[141.016] 瀬文: すももん！？
[141.036] (S)nekomoti1: radaoWakotu
[141.415] ayunosioyaki0223: radaoWakotu
[141.457] 雪狐0143: わこらだ
[142.398] ふむふる: radaoWakotu
[142.542] omusubityan: わこらだ
[142.739] せふ: わこらだ
[143.020] cyaso_desu: この時間帯めずらしくない？
[143.188] まふふうぃんぐ: この組み合わせすこ
[144.056] magiku: わこらだ
[144.931] hasami_girotin: わこらだ
[145.062] 新君青太: wakorada!
[145.439] (S)moimo_moi: radaoWakotu
[145.740] (S)夜終: radaoWakotu
[145.832] na_klo: わこらだ
[146.207] (S)来世はくらげ: radaoWakotu
[146.454] basebooor: わこらだ
[146.976] (S)Tasudevi_oO: radaoWakotu
[149.223] (S)お手軽炊飯器: わこらだ
[149.413] sopomuisu: radaoWakotu
[149.805] (S)nashu_noike: わこらだ 
[150.233] nichan1004: わこらだ
[150.875] (S)riria0814: riria0814 subscribed at Tier 1. They've subscribed for 9 months! わこらだー
[151.326] (S)chun_taro2004: わこらだ
[154.160] yuimiti: わこらだ
[154.167] あるみ屋: 忘れててビビったわ
[154.350] (S)ぐるぐるいずの: radaoWakotu
[154.405] (S)ここねり: わこらど
[154.841] rioapr03: 出たSP
[155.073] 夢川海月: わこらだー
[155.370] ももしゆ: わこらだ〜
[157.079] かごめさん: わこらだ
[157.206] raia_0711: わこらだ
[157.470] 0時_れいじ: わこらだ
[158.098] sumomo_08: わこらだー
[158.320] 新君青太: わこらだ！
[159.080] simerike0109: わこらだ
[159.096] (S)grapejuzz: radaoWakotu
[159.543] bc_moimoi: radaoWakotu
[159.781] mimimi_1213: わこらだ
[160.329] (S)きっこまん: わこらだ
[161.361] (S)mint0929: radaoWakotu
[161.508] miki_15g: radaoWakotu
[161.764] hondachaan: わこらだー
[162.226] (S)solt0364: radaoWakotu
[162.442] (S)あるとと: わこらだ
[163.617] kurokurone: わこらだ
[163.631] chaonan_23: わこらだー
[164.617] zabuton_fuwafuwa: わこらだ
[165.456] pokesi_: LUL
[165.702] yuki0931: わこらだ
[166.233] mikan_san: おー
[166.316] (S)ここねり: radaoWakotu
[166.550] 薩摩芋太郎32: わこらだ
[166.640] (S)ベムベム: radaoWakotu
[167.134] すてぃんぐ: わこらだ！
[167.211] so_cha_26: わこらだ
[167.397] (S)ker0_pp1: radaoWakotu
[167.406] 五色椿: わこらだ
[167.558] (S)yukichan2525: わこらだ
[168.174] moririnn1103: わこらだー
[169.197] ほたころ: わこらだー
[169.198] ねねねい: わこらだ 
[169.674] 雪狐0143: おー
[169.727] (S)お手軽炊飯器: radaoWakotu
[169.748] mai_parastica: わこらだー
[169.758] tukasa1003: わこらだ
[170.345] alva_aruru: わこらだ
[171.215] (S)abigengen: abigengen subscribed with Prime. They've subscribed for 8 months! 
[171.226] usao_v: わこらだ
[171.628] _もちもち_: あれおもしろそう
[172.453] mope716: わこらだ
[172.931] ねぎま__: わこらだ
[173.198] honoka2525: HeyGuys
[173.627] (S)haamisi: radaoWakotu
[174.279] yanagiyuki20: わこらだ
[174.478] (S)みそギン: radaoWakotu
[174.501] (S)あム: わこらだ
[175.716] hotarusuki: わこらだ
[176.577] hinakai_46: 配信でやれ
[178.407] (S)sjindoa: へー
[178.435] ゆきとよ: わこらだ
[178.778] acha0922: わこらだ
[179.839] rioapr03: ウルトがあるpubgみたいなやつだっけ
[183.432] mugi_ore29: わこらだ！
[183.820] waraashi: radaoWakotu
[185.184] nasu0627: radaoWakotu
[185.191] ニコ丸0429: ニコ丸0429 subscribed at Tier 1. They've subscribed for 18 months! わこらだ
[186.165] (S)あさみや301: わこらだ
[188.119] suna0056: わこらだ
[189.017] ama_hakuma: わこらだ
[190.406] 一举两得: わこらだ
[190.619] (S)そおお: radaoWakotu
[192.334] youkan_umai: たしかに
[193.444] Monmomonmon: わこらだ
[194.800] ayunosioyaki0223: あー
[195.029] (S)abigengen: わこらだ
[195.982] happy_rena: わこらだ
[197.281] rincho22: わこらだ
[197.343] Noa_agapanthus: わこらだー！
[197.904] (S)fuu_maru: あー
[199.089] rioapr03: あー
[199.299] takusan_ra: わこらだ
[199.354] (S)らくだちょこ: わこらだー 配信見たいけど仕事戻らなー
[199.809] mikan_san: 確かになぁ
[200.454] pimoon_15: わこらだ
[200.650] (S)goodfriends02: あー
[200.997] (S)evolblackhole555: あー
[202.176] あるみ屋: あー
[202.427] yuichi14: わこらだ
[203.916] フーリー: あー
[204.606] (S)gztex5: radaoWakotu
[206.371] そー司郎: あー
[206.944] yamugon09: わこらだー
[207.103] mego0946: わこらだ
[207.285] toumyou_2525: わこらだ
[207.952] bc_moimoi: あー
[208.186] ryokuhasan: わこらだ
[209.120] non11_piuzo: わこらだ
[209.752] runa_0415: わこらだーー
