[29.644] shiroseitz: よ
[1161.064] ~MISSING_COMMENTER_INFO~: あるだろ
[1161.413] easpnl: ショックです
[1163.423] takabo124: もこうは生えてしてましたか？
[1164.658] zackz_fair: 個室風呂か
[1165.740] 猫を食む者: タマタマの毛からの人もいるよ
[1168.488] kakaowpgj: あ
[1169.570] unkosan893: あ
[1170.211] ~MISSING_COMMENTER_INFO~: 一緒に風呂入るよなぁ！？
[1172.631] ta9ya_infinity: (⌒,_ゝ⌒)ワイのみたことあるやろ？
[1172.925] kusahuton427: …
[1174.645] ジャルパンク: カミソリ持ってるのRaMu？
[1174.700] 15000324: 草
[1174.867] てれとが: あ
[1184.926] sizemini4869: うん、玉からだね。
[1185.526] kusahuton427: あ
[1185.818] unkosan893: 別に潔癖とかではなく体が気持ち悪いて変わってんな
[1188.214] gd17g: たまがくそでかいんじゃない
[1190.866] dededen7: 確かにくれしんか
[1191.983] ribamoa: たまたまがで解説(^^)
[1192.312] nagi1308: 寒い時まじポークビッツ
[1192.542] 1226yoppy: もこうのどんなんやった
[1194.872] ~MISSING_COMMENTER_INFO~: まずい
[1199.336] どろかつ: RaMuちゃんおはよう今日もかわちいね
[1201.129] 牛人間: ギャハハ！
[1204.782] 猫を食む者: そもそもコンディションでのびのびタマタマの時あるよ
[1205.013] unkosan893: ポーク君 
[1205.054] tabacco_taro: ごちそうさまでした
[1213.218] kusahuton427: 布団のちんちんはそうだぞ
[1215.089] bpsmikaeru: ちんちんがはやく入りたいって言うから仕方ない
[1215.601] てれとが: :(
[1216.106] がしゃゃ: メロちゃん可愛かったです、間違えちゃったけど
[1219.395] watcher_japan: ないよ
[1219.556] unkosan893: ない
[1219.757] どろかつ: ない
[1220.526] ~MISSING_COMMENTER_INFO~: 特に無いな
[1220.663] dededen7: 男はない
[1222.936] gameclubproject: 相手も無いと嫌なの？
[1224.180] zackz_fair: 男はないべ
[1224.333] ~MISSING_COMMENTER_INFO~: 寒いくらい
[1224.905] ribamoa: ない
[1227.528] unkotomitaro: ないぞ
[1227.528] sizemini4869: 男でもあるぞ
[1228.088] 1226yoppy: ない
[1228.419] nagi1308: ない
[1230.531] どろかつ: TINTIN見せるときは恥ずかしかった
[1233.059] thermotogamaritima: 金玉の裏にもこうがいた位かな
[1241.527] kimNit0: 笑いだ、
[1244.954] kusahuton427: 高二？
[1246.324] 猫を食む者: ズボンと同時にパンツも脱いでた奴いたよ
[1249.228] どろかつ: うん
[1249.899] unkotomitaro: なんでよ？
[1250.881] kimNit0: そういうのは思春期の修学旅行のお風呂は嫌だったよ
[1252.675] mousan0555: 内科検診はないけど座高が嫌だった
[1253.898] ribamoa: ないかけんしんで『ないか😳？』
[1256.392] takjwmamw: それな
[1259.329] unkosan893: え？今時女やないの
[1260.251] どろかつ: ごめんね
[1261.487] kusahuton427: それやばいよな
[1264.145] takabo124: 利権だね
[1264.735] ジャルパンク: カラオケ心霊の後？
[1266.915] 1226yoppy: しゃあない
[1269.047] ヨモギ田モギ代: ホルモンがババーンって出たのか
[1271.387] zackz_fair: 昔から診てくれてるとかでしょ？
[1271.768] takjwmamw: 同級生も皆それ言ってたな
[1272.439] どろかつ: でも気にしてないから大丈夫だよ
[1275.106] 猫を食む者: 女医って少ないものな
[1276.299] dededen7: エロいね
[1276.649] gd17g: あれ問題視されてるよね
[1276.698] ~MISSING_COMMENTER_INFO~: おじさん率高いよね
[1281.099] ｶｯﾂﾝ: 女医は少ないからなあ
[1282.288] kusahuton427: ジジイなのマジで何故
[1282.381] takjwmamw: www
[1282.686] どろかつ: きも
[1283.605] tabacco_taro: 最高かよ
[1284.884] dededen7: ｗｗｗｗｗ
[1289.447] ribamoa: へんたいやんww
[1290.516] ヨーコはやきの熟練奴隷豚: きっもえっど
[1293.992] kusahuton427: えっど
[1294.891] unkosan893: マジかよ学生の時見とけば良かった 
[1295.331] どろかつ: きもすぎ
[1295.773] binbinzemi: unkochanFever
[1296.447] kirika0: 健康診断でタトゥーがバレた
[1300.686] t_o_h_otoho_toho: 今日の予定おしえて、？
[1301.469] thermotogamaritima: 最近、ま〇毛確認したおじさん医者いたよね
[1305.549] unkosan893: 全く気にしてなかったわ 
[1306.476] takjwmamw: バストソムリエもいます
[1309.591] ribamoa: 高校😳
[1309.790] 1226yoppy: タトゥー絶対うそで草
[1313.114] ダニエルぅ: 大学の内科検診は女医だった。
[1315.849] ~MISSING_COMMENTER_INFO~: 地域性でますね
[1318.909] zackz_fair: 男女別室だったけどな
[1322.496] unkotomitaro: 校医が担当することが多いから、大体おじいちゃんだぞ
[1332.865] kimNit0: 男の先生？
[1336.416] takabo124: やってますね
[1337.990] kusahuton427: きも
[1339.130] ta9ya_infinity: きっしょ
[1342.941] mousan0555: そこはセクハラ医師やな
[1343.906] 1226yoppy: デカすぎてちゃうん？
[1345.798] ~MISSING_COMMENTER_INFO~: 音聞こえない
[1346.434] unkosan893: そらそうなんやないの聴こえにくいんやないの
[1348.284] tabacco_taro: でかいと聞こえない
[1349.433] 猫を食む者: 東大ですら合格者の割合と男女の学力差の割合が違って、不当に女子が落とされてるってね
[1349.891] ダニエルぅ: ｗｗｗ
[1350.121] kusahuton427: 今では大問題
[1351.892] どろかつ: あ
[1355.748] unkotomitaro: 耳が遠いのかもしれない
[1355.900] takabo124: ビンタしろ
[1355.975] takjwmamw: ガチでキモいやん
[1356.648] courtois8310: 割り増しサービス
[1359.093] ribamoa: ホントに聞こえないだけかも
[1374.315] kusahuton427: 本当に聞こえなかったらかわいそうだな
[1375.137] 左利きのエレン: そもそも聴診器が発明されたのって巨乳の人の心音を聞くためらしいよ
[1376.268] zackz_fair: おやおや
[1376.553] tabacco_taro: まじで聞こえないんよ
[1379.075] ダニエルぅ: たぶんマジで聞こえてない
[1381.387] どろかつ: どろかつ watched 3 consecutive streams this month and sparked a watch streak! それはまずい
[1382.446] unkosan893: 俺らはしたことないからそんなにキレないでね 
[1384.535] takabo124: なんの為の聴診器だよ
[1386.515] emonda_ceo_02: イヤらしい医者だな。ケシカラン。
[1389.082] ジャルパンク: 下からw
[1394.391] bpsmikaeru: おじ？
[1394.410] hanuman_wind: 単に下手くそなのかもね
[1397.203] watcher_japan: 殴っていいよ
[1398.340] ribamoa: 変態なだけかも
[1398.549] どろかつ: 約得って嫌だね
[1401.488] 猫を食む者: ああ、アホウか、聞こえないわけ無いじゃん、訴えたらいいよ
[1401.529] kusahuton427: どこに心臓があるのかわかんないとか？
[1402.137] 1226yoppy: でも気持ちかったからいいだろ！
[1405.948] nattokinmm: おはよう
[1410.577] unkosan893: やらしいと感じたん？
[1427.824] unkotomitaro: うわっ
[1427.953] ジャルパンク: ramuzuNear
[1428.119] どろかつ: 最近は女医いるん？
[1428.263] kusahuton427: うわ
[1431.528] emonda_ceo_02: 呼吸音から肺炎かどうか見るらしいです。でも流石に普通に聞こえるとは思う
[1435.070] ダニエルぅ: ん
[1436.274] ミスタートウジン: 耳に入ってなかったんじゃない
[1437.556] courtois8310: あ
[1438.521] ~MISSING_COMMENTER_INFO~: え
[1440.405] dissydizzy: いいえ
[1440.408] yuyaboy0214: あ
[1442.876] sizemini4869: うそ？
[1443.191] tabacco_taro: w
[1443.514] かたくりこぞう: あ
[1443.974] takabo124: はい
[1444.746] 1226yoppy: え？
[1445.200] unkosan893: 気持ちいいんだろ 
[1447.008] 牛人間: 🤓
[1447.965] 猫を食む者: あい
[1448.525] emonda_ceo_02: さすがに思ってませんw
[1448.994] ~MISSING_COMMENTER_INFO~: 僕は気持ちいいけど
[1449.928] ninngenn4: うおｗ
[1451.802] dissydizzy: え？
[1451.856] 1226yoppy: うそだろ？
[1454.780] courtois8310: あれは迷信
[1456.867] ヨモギ田モギ代: もしかして:話題の医者と同じ医者
[1456.938] どろかつ: 音プツプツするの俺だけ？
[1457.019] かたくりこぞう: く、くる
[1457.100] sasapopoo: 気持ち良くないんですか？
[1458.920] ジャルパンク: ？
[1460.049] 15000324: m
[1461.915] kimNit0: 乳首は感じる
[1464.013] kusahuton427: え
[1466.656] sizemini4869: ラムさんだけでしょ？
[1467.116] makingyousmilesong: 乳首だよね
[1468.194] bpsmikaeru: こっちが気持ちいいんじゃない？
[1469.794] どろかつ: え？
[1470.306] unkosan893: 夢壊すようなこと言うのやめてね 
[1471.964] zackz_fair: 気持ちいいとは聞かんがね
[1473.108] kusahuton427: あ
[1475.153] dissydizzy: MaxLOL
[1475.188] 猫を食む者: 重々お話は伺っております はい。
[1475.693] てれとが: あ
[1476.186] takabo124: 雰囲気作りの一つでしかない
[1479.249] ダニエルぅ: 僕はチ９ビで感じません。
[1481.903] そーた21: 女版ジョージみたいな事言わないで
[1482.850] ヨーコはやきの熟練奴隷豚: 草
[1483.226] nagi1308: 気持ちくないだろ知らんけど
[1485.203] 左利きのエレン: 嘘だぁぁぁぁぁぁぁぁぁ！！！！！
[1487.254] takjwmamw: 危機感もつわ
[1488.644] tabacco_taro: わろた
[1491.287] unkosan893: NotLikeThis
[1491.486] てれとが: もはや助けて
[1498.156] 牛人間: PunOko
[1498.340] どろかつ: 女ジョージRaMu
[1500.874] another_yesman: やめて 
[1501.803] かたくりこぞう: 助けて、、
[1503.070] emonda_ceo_02: tkbじゃなくてお胸は別に、のはず。
[1504.230] takabo124: 脂肪やしな
[1505.273] hanuman_wind: それは人によるからなぁ…
[1506.971] hirosuke0912: え！？そうなの！？
[1507.199] tabacco_taro: 童貞
[1510.368] unkosan893: PunOko
[1511.953] かたくりこぞう: 助けて、助けて、助けて、助けて、助けて、助けて、助けて、助けて、助けて、助けて、助けて、助けて、助けて、助けて、
[1512.137] nattokinmm: なんか声遅れてんな
[1512.671] どろかつ: あ〜〜ん
[1513.966] dissydizzy: FailFish
[1514.034] kusahuton427: え
[1518.179] どろかつ: プツプツしない？
[1520.441] 猫を食む者: はい、はい。ご苦労さまです
[1522.925] ジャルパンク: なんでわかるのよ
[1524.949] かたくりこぞう: 助けて、助けて、助けて、助けて、助けて、助けて、助けて、助けて、助けて、
[1525.144] 牛人間: RaMu先生の性教育
[1526.113] unkotomitaro: 危機感
[1531.166] sizemini4869: 好きな人に揉まれるのは気持ち良いって聞いたぞ
[1532.120] 1226yoppy: 私は気持ちいいわよ
[1532.563] ddtt307: お、おう
[1534.299] 猫を食む者: いつも、ありがとうございます
[1534.330] kusahuton427: 危機感持つます
[1536.525] どろかつ: たまにプツプツせん？
[1537.130] がしゃゃ: メロちゃんかわいいぃぃぃぃぃ
[1541.830] nakajimaf90: 弱いって
[1542.820] ｶｯﾂﾝ: めろたん
[1542.922] takabo124: 正しい性教育
[1543.426] ヨモギ田モギ代: ファンタジーありがとう
[1544.782] unkosan893: それでも誰かも同じこと言ってたなぁ誰か忘れたが
[1545.438] かたくりこぞう: 首に🦖がいる！首に🦖がいる！首に🦖がいる！首に🦖がいる！首に🦖がいる！首に🦖がいる！首に🦖がいる！首に🦖がいる！
[1545.511] takjwmamw: 厳しいって
[1545.651] ~MISSING_COMMENTER_INFO~: この配信に男なんかいんのか
[1546.485] ヨーコはやきの熟練奴隷豚: そういえば前に風俗行ったとき怖いからめっちゃ優しくもみもみしてたら「もっと強く揉んでもいいよ～」って言われた
[1552.201] takabo124: 聞いたってなんやねん
[1553.275] tabacco_taro: ゴッドハンドかもしれない。
[1556.500] かたくりこぞう: 首に🦖がいる！首に🦖がいる！
[1557.058] どろかつ: たしかに
[1557.318] agucyannmann: 感じないって
[1558.500] ~MISSING_COMMENTER_INFO~: 幸せやん
[1561.276] ninngenn4: OPIにアッパーしたら痛いのか？
[1562.126] unkotomitaro: 気持ちが気持ちいい
[1562.249] nattokinmm: なんか電波が良くない
[1563.042] kusahuton427: 気持ちが気持ちいい！？
[1564.332] どろかつ: 分かる
[1564.879] ｶｯﾂﾝ: きもちきもち
[1565.133] unkosan893: 意味わからん何やねんそれ
[1565.929] takabo124: 女は気持ちやからな
[1566.704] 猫を食む者: はい、そうですね。わかります
[1566.717] csgsssj: もちがきもちい
[1570.353] bpsmikaeru: お風呂入った気持ち〜みたいな？
[1570.582] ジャルパンク: 気持ちがキモチいい
[1572.167] 1226yoppy: まん子は気持ちいいの？
[1574.160] Nemu1010: それはそうでしょｗ
[1574.643] どろかつ: 童貞しかいないからわからないよ
[1576.033] ~MISSING_COMMENTER_INFO~: ポカポカするやつ
[1576.648] ｶｯﾂﾝ: きもちがきもち
[1580.179] 753428619: 肩に居るのは猿ですか？
[1581.368] ~MISSING_COMMENTER_INFO~: 綾波方式ね
[1582.093] かたくりこぞう: 恐竜寝てる
[1585.448] どろかつ: RaMuちゃん！コイツラに言ってもなにもわからないよ!
[1588.055] csgsssj: その話やめませんか
[1589.517] テラテラ223: 今来ました おっぱいがなんだって？
[1590.194] dissydizzy: SoonerLater
[1592.067] makingyousmilesong: どういう感情？
[1595.424] ｶｯﾂﾝ: めろちゃんねた
[1597.068] がしゃゃ: 至高な授業だな
[1597.501] かたくりこぞう: ramuzuKao
[1598.492] てれとが: もうHPが
[1599.038] unkosan893: よく見たら肩で寝てるのかわよ
[1599.278] ジャルパンク: なんの講座だ！
[1610.287] どろかつ: danbor1Sheishei
[1613.600] nattokinmm: 声遅れてんるの僕だけ？
[1613.615] unkosan893: なら乳首深追いしたらエエのか？
[1614.162] 牛人間: 痛いからやめなー？
[1622.558] gd17g: 痛くなるんや
[1622.796] 1226yoppy: 下の方は気持ちいい？
[1624.211] テラテラ223: いるよねそういう子
[1624.220] てってんてんしー: 父を深追い
[1626.008] ダニエルぅ: 僕も同じです。
[1626.671] another_yesman: 敏感すぎて痛いのか
[1627.475] どろかつ: 血首は嫌だ
[1628.353] thermotogamaritima: ramuzuKao
[1628.699] sizemini4869: だったら女性は何が気持ち良いの？
[1633.928] ダニエルぅ: ramuzuMello
[1636.625] 左利きのエレン: ならどこ触れと？
[1636.989] emonda_ceo_02: えー舐める的なことも駄目なの？
[1637.324] 猫を食む者: 肌が触れ合うのは気持ちいいですけども、それ以上でもそれ以下でもないです。ハイ
[1640.244] unkosan893: NotLikeThis
[1641.361] かたくりこぞう: ところで、ベットの奥に落ちてるの何？
[1641.834] hirosuke0912: じゃあどこがきもちいんだ？
[1646.213] unkotomitaro: モンスター
[1646.238] dissydizzy: PunOko
[1646.297] テラテラ223: 痛いらしい
[1649.194] ~MISSING_COMMENTER_INFO~: アイアムモンスター！！
[1649.830] ｶｯﾂﾝ: ぼくらは被害者だ！
[1650.642] ジャルパンク: 漫画ww
[1650.962] tabacco_taro: 悲しきモンスター
[1652.086] takabo124: 一緒にすな
[1653.224] どろかつ: yuyutaHakushu
[1654.976] bpsmikaeru: だからか。
[1656.407] 猫を食む者: はい、はい
[1665.179] yybk1t1234: コメント気持ち悪くて草
[1665.465] かたくりこぞう: スマホみたいなの
[1667.464] kusahuton: AVは真似しちゃいけないよな
[1667.670] unkotomitaro: iPhone?
[1667.675] ~MISSING_COMMENTER_INFO~: 僕たちは被害者
[1667.742] ｶｯﾂﾝ: ベッドの奥では
[1668.617] 1226yoppy: 手と棒ってどっちがイイんだ？
[1670.512] hanuman_wind: 毎回お相手に聞く 気持ちいい人はたまーにいる
[1672.649] どろかつ: ところでウマ娘みたー？
[1680.632] 20210813: かものはしは柔道やってたときに柔道着との摩擦のせいで開発されたらしい
[1681.962] ~MISSING_COMMENTER_INFO~: 僕たちは被害者展やるか
[1689.956] karL_jp: らむが不感症なのかも
[1694.370] どろかつ: 聞くのきもい
[1696.586] jiro_087: これから公開の実写邦画作品でオススメありますか？
[1697.028] kusahuton: あ
[1697.241] futonchan893: らむちゃん、Gかぷ彼女いるけど最高だよ
[1699.988] かたくりこぞう: 次髪色なににするの
