[30.309] 卯尾市場: DinoDance
[221.936] (S)美濃屋善兵衛: 歩き遅い感じじゃない？ あれ
[230.688] (S)mukubado2: でも豪鬼よりは遅いんでしょお？
[230.729] saddle_67: サイコクラッシャーで対空ってさぁ。それはSUMOじゃんねえ
[231.806] (M)(S)ぱぱすぬわ: あと2週間もベガの曖昧な話したくないから今日ベガ追加してくれ
[242.736] ありやんさん: 豪鬼と同じ速さらしいっすよ
[243.079] g_dms: ベガも見ないといけないし鉄拳8は大規模バージョンアップもあるしで大変ですね
[244.456] trick0918: マジで4準拠なのか…
[255.503] 養分は非プレイヤー: お誕生日おめでとうございます。
[258.306] minimamukametaro: 初手ラッシュベガ流行りそうでまじでやだ
[262.849] banana_3200: もうコマンドとか出てたよね
[263.516] ritz813: 生駒デビルバースデイ
[271.587] saddle_67: まめスパハッピーバースデー歌おうや
[271.728] (S)mori_123: またしゃぶりますか
[275.514] toto3210119: 生誕祭めでたい
[281.478] (S)mukubado2: 対空も強い、歩きも早い、これどこ擁護すればええんや？
[289.256] psk8102: ジャスティスが先行プレイしてましたね
[291.112] (S)やぎう氏: ダブルニーが入れ込める必殺技っぽくて一安心
[293.324] ありやんさん: 弾がない
[294.557] 優羽さん: 誕生日おめでとうございます！
[296.741] 灰原_: 弾が無いのと無敵技がないらしい
[298.240] MUTSUKI4gpchu: どぐらさんお誕生日おめでとうございます！！ bday1000
[300.054] urumax999: デビルバースデイ
[300.949] minimamukametaro: ついで火力高いしなー
[304.346] onemoch: おめでとうございまーす
[306.238] (S)美濃屋善兵衛: 空対空、減りすぎじゃない？あれ
[306.239] psk8102: ジャスティンだ
[314.617] (S)麦の人: ベガの公式の立ち絵がムッキムキになったジェイスに見えますw
[316.715] gg_anji: 誕生日おめでとうございます！
[317.337] trick0918: OD無敵がないのは救い？
[317.994] (M)(S)ぱぱすぬわ: ZERO３張りのブラストないんか
[322.945] (S)godog02: おー
[324.859] caoss511: お！どくらさんお誕生日おめでとうございます！🎉
[325.553] g_dms: かわゆ
[329.510] 灰原_: 今日の主役
[331.219] konoha___0: 良い絵
[333.124] (S)やぎう氏: お子さんのプレゼントかわいいなぁ
[333.157] (S)ranpub: かわいいー
[334.015] urumax999: かわゆす
[339.849] (S)mori_123: 下に書いてあるのブランカ？
[344.350] trialgabber: 奥さんからはお祝い何かあったんですか？
[345.257] (S)チンヂャヲ: 娘さんの絵ですか
[345.971] see_no547: かわいい
[346.065] saddle_67: 野崎、今日は一段とデカく見える
[357.516] (S)美濃屋善兵衛: ワックワクで貼るパパ
[357.777] g_dms: まめスから何かもらいましたか
[361.920] urumax999: 右の黒いのもしかしてどぐにゃんなのか・・？
[365.219] (M)(S)ぱぱすぬわ: えっ
[365.365] 灰原_: 27！？
[365.443] ありやんさん: 27？？
[366.226] ちぇなたん: おたんおめです〜 Party100
[366.790] (S)mukubado2: 27歳！？
[367.845] trick0918: ？？？
[368.757] toto3210119: わっか
[369.249] (S)acrofiora: サバ
[369.319] (S)あおじし: 若返った？
[372.640] ちぇなたん: えっ
[374.697] trick0918: 10年前で草
[376.317] g_dms: 27歳と120ヶ月
[377.410] 平熱盛: 今回のベガさま肉体のポテンシャルで戦っててすき、前はサイコパワーで戦ってたけど
[378.159] 灰原_: おいそんだけ若いならインパクト返せ！
[382.023] ふにゃ0817: ベガ本人ってお告げありましたね
[384.800] sgo2go: 転生?!
[395.573] しゃうろ: かわよ
[398.461] yukapero_14: Cheer100 お誕生日おめでとうございます！
[400.307] saddle_67: 記憶がないだけで本物のベガらしいね
[400.896] ありやんさん: 本人なら若本ボイスにしちくり
[401.263] (M)(S)ぱぱすぬわ: 27歳のころ、アズラエル頑張ってたんすね・・・
[401.333] (S)mukubado2: ストーリー設定的にはどんなあれなんやろか？
[405.445] ys_1213: 実際10年前は何してましたか？
[413.400] (S)acrofiora: 気持ちは27歳
[427.259] 灰原_: すご
[430.410] trialgabber: そういえばスト6中山DのYear2に関してのインタビューってもう読まれましたか？ https://www.famitsu.com/article/202406/7728
[432.543] (M)(S)ぱぱすぬわ: あのEVO前夜
[438.950] (S)acrofiora: そんな前か
[439.285] (S)美濃屋善兵衛: アズラエル10年前とかマジ？
[440.250] (S)麦の人: 10年前っていうとCP2ですかね
[448.595] (S)mukubado2: 10年経って老化感じたりします？
[454.175] hyperion0123: お子さんからのプレゼントめっちゃ素敵ですね！お誕生日おめでとうございます！！
[454.249] improvedkaine: EVO2014 BBCP GF
[458.208] hax_lv22: どくにゃんって何歳？
[463.338] ありやんさん: 記憶力落ちる
[472.637] trick0918: cp1.1じゃない？
[478.726] unimel1x: いまきますた、お誕生日おめでとうございます〜
[478.846] (S)mukubado2: 油物はまだまだいけます？
[481.692] (S)shi_a__: ３０超えた時くらいに一気にこん？体力面
[493.316] esse245d: 誕生日おめでとうございます！
[493.639] (S)kinokogidora: 12時間配信して体力の低下感じるって全盛期何時間ゲームできてたんやろ
[498.909] ハチミツです: おめでとうございます！
[503.086] (S)shi_a__: わかるぅ
[504.339] onemoch: 30後半はね・・・結構来るよね・・・
[504.716] (S)horikawa_r_i_k: ハラミ一択か？
[507.945] (M)(S)ぱぱすぬわ: BBで一番面白いバージョンだったよあれは
[508.334] ありやんさん: ハラミタンおじさん
[509.519] (S)麦の人: カルビきついで少し笑ってしまったｗ
[509.653] toto3210119: 油、きついっす
[510.585] 上杉朝顔: やっぱハラミっす
[511.609] (S)acrofiora: 正直37には見えない
[512.206] showwhatman: 大学の旧友達とあの絵画の謎を真剣に論議したのですが、結果右がどぐら 下がブランカ 左上がｶｰﾁｬﾝ 左下がにんじんという結論に至りました。
[512.356] unimel1x: タン食えタン
[514.198] (S)ranpub: わかるー
[515.380] g_dms: お昼にカツカレー食ったら夜まで胃がもたれてな
[516.070] improvedkaine: おっさんで草
[518.625] minimamukametaro: やっぱタンだよな
[519.547] (S)美濃屋善兵衛: 夜起きてられない 疲れが抜けない 集中力がすぐに切れる
[519.754] (S)mukubado2: ホルモンが爆弾になりません？実際
[522.095] detushi: ササミで十分になるで
[525.444] (S)shadowchiefzed: お誕生日おめでとうございます！娘さんからのプレゼントあまりにも良すぎました
[526.120] (S)kinokogidora: ツラミもおすすめよ
[527.679] (S)acrofiora: じいさん…
[531.400] ちぇなたん: たんうまい
[532.464] (S)麦の人: 牛タンってマジで偉大ですよね
[533.192] (S)よぞらかげ: たんとハラミが一番うまくね？
[536.745] ヒースシザリン: やっぱ年取るとそうなるんやけ
[537.599] (M)(S)ぱぱすぬわ: サガリに目が無い
[540.850] 灰原_: おっちゃん達が元気になってきた
[541.053] 上杉朝顔: ミノも脂身なくて美味しい
[547.518] (S)青木は: 良い肉は油きつい
[547.863] (S)kinokogidora: センマイどう？
[548.476] unimel1x: 高級部位...!?
[551.836] trick0918: ？
[552.600] oyassan5963: ホルモンあかん？
[553.167] MUTSUKI4gpchu: むつきも22歳やけどタンとハラミとイチボですwwww
[553.423] vilkeisuke: おじは黙ってチョレギサラダ
[555.204] minimamukametaro: ガキの頃からずっとタンが一番うまい
[556.918] (S)acrofiora: ロース食え！
[558.038] g_dms: レバー
[558.627] improvedkaine: ホルモン最強
[560.624] showwhatman: なんなら〆の冷麺が一番美味いまである
[562.941] (S)mukubado2: 油で米をかっくらってたあの頃には…
[563.428] (S)shi_a__: めがね
[565.477] 平熱盛: ホルモンダメっすか？
[567.225] saketoba_0113: カルビは4人で1人前頼むとかが美味しく食べれる限界
[568.415] oyassan5963: わかる
[569.335] (S)麦の人: 牛しゃぶより豚しゃぶの方が好きになってくる
[570.870] (S)shadowchiefzed: ハチノスとかは？
[572.609] detushi: 牛・豚が無理になる。鳥・馬・羊を好む
[573.609] (S)kinokogidora: いいねぇ！焼きセンマイも最高やで
[576.667] (S)美濃屋善兵衛: 大阪は焼肉美味いよね
[578.998] trick0918: どぐにゃん鶏肉食わん？
[579.257] (M)こまっている: アカセンマイ
[587.080] margarita_217: 昨日の賭けで10まんポイント貯められなくてどぐらさんにステーキ食べさせられませんでした、ごめんなさい
[590.051] unimel1x: ワンパン10割
[591.734] oyassan5963: みんな年はとるんやなって........
[594.524] (S)shadowchiefzed: 白ホルとかやばそう
[594.748] MUTSUKI4gpchu: wwwww
[597.127] g_dms: 脂っこいもんねえ
[597.341] minimamukametaro: ザンギのca
[598.041] (M)(S)ぱぱすぬわ: 親と焼肉行っても全員一生ハラミ擦ってた
[598.980] (S)kinokogidora: マルチョウアストラルフィニッシュされる
[600.804] (S)吟目: 関西ならホルモンいろいろ食べてそう
[602.382] trick0918: まるちょうってなんだ
[604.330] (S)麦の人: 焼き鳥でイカダが嬉しくなってくるんですよね
[605.687] 平熱盛: 腹下し直行かー
[610.485] ありやんさん: 背油系もきつくなる
[613.656] Checked_Stock: 胃袋インパクト
[616.394] g_dms: やっぱねぎまよ
[616.689] (S)acrofiora: 一撃準備
[621.914] unimel1x: 二郎系ラーメンとかいけるん？
[622.626] (S)ぶれお: めでたい誕生日に悲しい老いの話せんでも……
[623.555] (S)mori_123: 二郎とかむりっす？
[624.437] margarita_217: 一番きついのはシロ
[625.224] trialgabber: トンカツとか揚げ物系は
[629.945] oyassan5963: マルチョウ1切れ単位で頼めないんかな
[634.587] (S)kinokogidora: どぐらさん胃が強いイメージがある、なんでやろ
[639.280] onyancoscratch: そら太らんな
[640.955] (S)mukubado2: カルビ、ロース＝覚醒 マルチョウ、こてっちゃん＝一撃
[642.839] (M)(S)ぱぱすぬわ: もう誕生日が嬉しい年はとっくに超えちまったんだよ・・・
[644.898] minimamukametaro: 二郎ほんまきつい
[645.266] trick0918: 今好きなラーメンは
[645.857] (S)shi_a__: わかるぅ（でも食べる）
[649.218] g_dms: 亀戸二郎店主さんがスト6やってるって話題がTwitterにありましたね
[649.318] (S)horikawa_r_i_k: 歴史刻みに行くか？
[651.459] 朝比奈カズハ: 天スタとか？
[652.810] (S)麦の人: ペペロンチーノ系もきついっすか
[654.276] (S)美濃屋善兵衛: 二郎は若くても一撃じゃね？
[656.645] saddle_67: もも肉よりむね肉になった、油がきつい
[657.956] (S)shadowchiefzed: 胃どころかどぐにゃん二郎食ったら寝そう
[661.771] (S)raincoat214: こんにちは おめでとうございます
[662.565] ちぇなたん: そもそも油脂が身体に向いてなさそう
[662.586] trick0918: w
[664.184] (S)よぞらかげ: それな
[666.204] trick0918: そりゃあそy
[668.749] oyassan5963: 年取って嬉しいのは20までやで
[673.391] 灰原_: 祝ってくれる人がいるっていいよね
[673.939] (S)acrofiora: 歳とったなってなるだけか
[675.745] (S)よぞらかげ: 20過ぎてからだんだん嬉しくなくなってきた
[681.064] (S)mukubado2: また一つ歳をとった…が大きすぎる
[683.741] (S)raincoat214: 18時からって大会の同時視聴ですか？
[687.497] プロ自宅警備員: いーや、今年も無事に生きれましたの証拠だね
[692.713] (S)vra_oji: 誕プレにレベル7実戦動画来てましたね
[695.744] MUTSUKI4gpchu: 22で嬉しくなかった 
[697.815] (S)mori_123: まめスパから何か貰いました？
[699.819] (M)(S)ぱぱすぬわ: ああ、そろそろ折り返すのか･･･という圧
[709.200] chataro0: そろそろ介護保険の支払いが始まる
[711.703] (S)shi_a__: おぉ〜、楽しんでら
[711.925] vilkeisuke: マクドもセットキツい
[716.518] saddle_67: まめスパは愛をくれた
[719.311] unimel1x: 確かにねぇ
[722.602] minimamukametaro: どぐさんやっぱベガ使いますか
[724.731] toto3210119: 人生まだまだ
[727.562] trialgabber: お子さんの成長とかってやっぱり早く感じるんですか？
[727.677] ちぇなたん: まぁねぇ
[732.076] oyassan5963: 長いようで短いようで長い
[733.401] (M)(S)ぱぱすぬわ: ただ、後半戦は人生ナーフラッシュっす
[736.506] trick0918: 梅さんとかが過ぎたぐらいだもんね
[739.027] g_dms: 年を取ると時間の進みが早くなる
[739.838] 上杉朝顔: 波乱すぎる
[741.982] MUTSUKI4gpchu: むつき80まで生きれへん気がする 
[742.270] (S)acrofiora: 人間50年
[744.208] (S)shadowchiefzed: ベガの開発者インタビュー見ました？あれ記憶喪失のベガらしいっすよ
[745.334] (S)mukubado2: みやびちゃんが成人してもどぐにゃんまだ50半ばとかやない？
[745.740] esse245d: ストでイキる老人になってほしい
[745.969] (S)ぶれお: 80遠いなあ、気が遠くなる
[746.620] (S)raincoat214: 家康もなんかこう荷物抱えて歩く坂道が人生とか言ってた
[751.777] (S)美濃屋善兵衛: 体感は二十歳で人生の半分過ぎてるらしい
[759.147] 灰原_: 後半時間倍速になるから
[763.130] chataro0: アッパー調整はありますか？
[768.384] おのあ: ベガ記憶喪失なんだ…
[769.203] (S)mukubado2: ナッシュ犬死にすぎん？
[770.884] (S)麦の人: どぐらさんの時代には100歳デフォかもしれませんよ
[771.157] (M)墾田永年私財砲: 『FightersCrossover OSAKA』#00  https://tonamel.com/competition/DU0HV  滑り込み参加可能、残りわずか
[773.491] oyassan5963: 光のベガ使い
[775.085] (S)paps0423: 今北お誕生日おめでとうございます！
[775.486] きゃすさん: 海外のプレイ動画見ました？
[775.938] akm_nami: ピュアベガ
[779.941] trick0918: 悪いベガってなに()
[779.980] (M)(S)ぱぱすぬわ: まあ死んだのはナッシュ一人じゃないから仕方ないやね・・・
[780.484] (S)obiheart: obiheart subscribed at Tier 1. They've subscribed for 8 months! どぐらさん誕生日おめでとう、また一緒にベガ頑張ろうな
[781.116] ヒースシザリン: ベガの残留思念とかじゃないんだ
[781.914] detushi: ナッシュも追加あるんじゃない
[783.678] (S)ぶれお: 綺麗なベガ
[784.238] プロ自宅警備員: 光のベガ！？
[785.579] ちぇなたん: ぼく悪いベガじゃないよ
[786.179] 朝比奈カズハ: 劇場版きれいなベガ
[786.382] unimel1x: 純粋悪的な感じなんかな
[786.729] (S)よぞらかげ: 純粋な戦士になりました
[791.794] (S)shi_a__: 悪いベガw
[792.242] ザトミヤ: 馬の説明欲しい
[792.370] (S)vra_oji: おびさんだ
[793.346] (S)mukubado2: 貴方が落としたのは悪いベガ？それともこの綺麗なベガ？
[794.812] ばれっと0079: 声変わってたから身体別だと思ってた
[797.279] shin_akito: 誕生日おめでと〜
[797.881] (S)raincoat214: ナッシュはそもそもギルに利用されてる時点で本人的にはあんまり
[799.416] 平熱盛: ナッシュの力を意図せず吸収した説ありますね
[804.648] (S)美濃屋善兵衛: ベガあれ本人でも、なんかサイコパワーに取り憑かれてないとかはありそう
[804.943] toto3210119: ナッシュも復活したりして
[806.528] (S)acrofiora: ナッシュはアベルも助けたし
[813.104] (S)青木は: ベガ電刃使えそう
[814.909] (S)よぞらかげ: 記憶ないからソウルパワー使えてるんかな
[815.369] vilkeisuke: ただ強さを求めるおじさんになってる
[815.641] (S)kinokogidora: ﾍﾞｶﾞﾍﾞｶﾞ...我悪いベガじゃないよ....
[820.117] 灰原_: おびベガ
[820.481] oyassan5963: 本前兆ステージ
[822.318] (S)ぶれお: ベガ村の人たち嬉しそう
[824.046] あなほりしもん: 試遊の動画観ながら解説お願いしたいです
[828.542] (S)よぞらかげ: 断頭台もあるし
[829.231] saddle_67: もうトラックで轢き逃げするベガはいないってこと？
[830.698] (S)shadowchiefzed: あっちにベガがいたぜ！
[834.775] たまみぃ: ベガ様のレベル7CPU戦見ました？
[835.004] iwap0n: 黒王号
[836.221] minimamukametaro: それもなんだ
[838.388] zackz_fair: 黒王に乗ってましたよねw
[840.279] g_dms: じゃあバスケしないとな
[840.827] (M)(S)ぱぱすぬわ: でも馬の有無ってそんなに気になるか？ｗ
[845.100] 平熱盛: CA笑った
[845.460] プロ自宅警備員: ラオウ！？
[846.342] 上杉朝顔: ラオウ?!?!
[846.477] 灰原_: ラオウ！？
[848.097] (S)麦の人: 今回のラオウｗｗｗ
[848.229] unimel1x: 今回のラオウwwwwwww
[848.285] toto3210119: どぐ語
[848.423] (S)kinokogidora: う...美しい....!
[848.891] (S)あおじし: ！？
[848.922] oyassan5963: 草
[849.026] (S)美濃屋善兵衛: 断頭台はキン肉マンだろ
[849.177] showwhatman: あ
[850.127] (S)shadowchiefzed: ラオウやんけｗｗｗｗｗｗｗｗｗｗｗ
[851.623] (S)shi_a__: ラオウじゃないってw
[851.800] dillle623: またドグリークかぁ
[852.517] trick0918: ラオウwww
[852.733] (S)mukubado2: おじさんの心射止めにきとる
[854.505] esse245d: AC北斗になった
[854.987] きゃすさん: ラオウ参戦！ラオウ参戦！
[855.648] eag1e2003: ラオウ言っちゃったｗ
[857.645] kobar_counter: ラオウリスペクトラオウやめてｗｗｗ
[857.766] ちぇなたん: 今回のラオウ
[858.080] (S)よぞらかげ: 実質北斗コラボか
[860.008] kakugedaisuki: ベガ（ラオウ）
[861.368] (S)麦の人: 北斗にリスペクトしてないラオウも見てみたいｗ
[861.690] unimel1x: もしかしてラオウ追加リークですか！？！？
[862.028] 坂本さかもと: GGSTセール来てたんで初めての格ゲーデビューしました
[862.318] kitori_17: 3社コラボ
[863.861] ちぇなたん: 前回はいずこ……
[863.954] かききしし: これまでのベガはラオウネタあったんですか？
[864.005] chataro0: 実質3人目のコラボキャラってこと！？
[865.029] プロ自宅警備員: まさかまたリークなのか！？
[865.484] (S)vra_oji: 世紀末小足総統
[867.009] ザトミヤ: 現代に馬はめっちゃ目立つ
[867.554] 灰原_: こーれ中身ラオウのネタバレですか？
[868.873] onyancoscratch: メキシコで馬を助けたベガ
[868.983] a21dc812: まさか隠し追加キャラ！？
[872.599] れなまる〇: コパンから永久いけそうな雰囲気が
[872.807] saddle_67: 飛翔白麗ではなくね？
[875.452] iwap0n: う、美しい…ハッ！
[876.789] trialgabber: 北斗の拳って今の10代とかに伝わるんですかね
[878.805] わいなぎ: outfit2の肩当てが黄色くて黒服のやつがめっちゃラオウ色
[879.437] trick0918: 今回のラオウ(ベガ)
[879.751] (S)kinokogidora: ｼｬｵ！っていったら役満
[880.610] urumax999: 一人マッチポンプベガさん
[892.160] g_dms: 一人称が安定してなさそう
[893.732] モドキ: こんこじ〜
[895.196] あやほた: どぐにゃん誕生日おめでとう！
[895.407] sie_ben_27: ラオウコスの前振り？
[895.874] zackz_fair: 剛掌波か天将奔烈みたいな技あったら完璧でしたね
[896.134] (S)麦の人: ｼﾞｮｲﾔｧｰｯ！ﾊﾟﾝﾊﾟﾝﾊﾟﾝﾊﾟﾝ
[903.541] oyassan5963: スマスロスト6来たなこれ
[903.644] (S)よぞらかげ: レ、レイーーーーッ
[904.900] geppei: リュウ達の師弟関係も北斗っぽいよね
[907.221] zooma5240: てことはyear2は餓狼と北斗？
[909.704] urumax999: もう体の傾きからレイにしかみえない
[914.479] れなまる〇: 自分と相手の足に剣ぶっさすベガ見てえ～
[914.479] shin_akito: ブー呼法しながら永パ繋げてくるラオウがスト６に…？
[919.765] モドキ: 誕生日おめでとうございます
[920.882] ザトミヤ: 豪鬼もハーレーとか乗ってて欲しかった
[930.090] (S)paps0423: 悪の帝王ってより力を求める感じの武道家の面が強かったかんじする、そっちの方が好きだ…
[935.851] 闘劇のアルベルト: どぐにゃんたんおめ〜 bday100
[945.322] oyassan5963: 北斗って海外人気とかどうなんやろ？
[947.245] trick0918: 今回のベガの声聞いてると名残雪に思い出してしまう 同志おらんか…？
[948.098] (S)麦の人: ある意味初心に戻った感じですかねベガ
[950.109] zackz_fair: 南斗水鳥拳の使い手だったのか
[953.294] れなまる〇: 豪鬼って普通に飛行機とか乗ってるん？
[956.771] (S)mukubado2: うぬ…この排気音の良さがわからぬか…
[957.779] kaku_0408_: 過去作やってないので分からんのですがベガに無敵技ないのはデフォルトなんですか？
[958.089] (S)raincoat214: 元祖南斗モチーフのスペイン忍者どうして
[965.166] (S)paps0423: 相手が武器を使うなら瞬獄殺を使わざるを得ない
[965.681] geppei: 異世界転生した平八ちゃうの？
[966.446] (S)よぞらかげ: 新ベガの白いオーラは身体がソウルパワー覚えてるってコトなんかな
[973.446] hyperion0123: ベガの後ろ投げかっこよくてスト6のモーション1好き
[975.615] (S)よぞらかげ: ウル4のベガを見てみよう
[977.309] れなまる〇: ベガはアメコミっぽいよねキャラが
[979.231] 平熱盛: ゼン様もやりたそうにしてた
[979.643] onemoch: ＣＡカッコよかったっすね
[980.701] shin_akito: 野望の部分を失ったベガみたいな感じなんですかね
[986.391] (S)raincoat214: そもそもベガはソウルパワー使えたはず
[990.658] (S)麦の人: ソウルが悪に染まるとサイコになるんでしたっけ
[991.132] oyassan5963: か、かっけぇ
[991.720] santaka12: ナニ？！ってミームは北斗からですよね
[998.244] zackz_fair: 日本より海外の方が人気かもとは聞いたことある
[1008.253] モドキ: リュウさんやん
[1008.585] (S)美濃屋善兵衛: デスタワーは昔からカッコいいよねぇ
[1008.909] (S)よぞらかげ: スト2のベガに戻った
[1009.804] iiwakehito_sion: 武人のベガのって本当に久しぶりだしカッコイイですね
[1011.465] (S)shi_a__: 記憶とんで昔に戻った感じ？
[1011.717] れなまる〇: 豪鬼二号やんけ
[1012.065] saddle_67: もう動画されてからにゃんの口から腐るほどデスタワー聞いたがな
[1014.601] (S)raincoat214: 折檻と地獄車とデスタワーあたりが伝統か
[1014.855] きゃすさん: 実質リュウ！？
[1017.537] (S)ニックネーム2303: ほぼリュウ
[1018.437] onemoch: リュウよりリュウらしくなってない？ｗ
[1019.012] sie_ben_27: ジェネリック隆
[1019.849] (S)麦の人: ストⅡの設定が自分を倒せる相手と戦いたいからでしたっけ
[1020.504] (S)mukubado2: 大魔王からバーサーカーにジョブチェンジ
[1020.520] (S)kinokogidora: あ、あれ物理的に腹減ってるわけじゃないのね
[1020.746] (S)あはとぽけ: CA見た？
[1020.973] see_no547: リュウと一緒じゃん
[1023.457] (S)あおじし: 戦闘狂なんすねえ
[1024.087] 上杉朝顔: 元々ベガは強いヤツと戦いたいって設定ですもんね
[1024.553] urumax999: 何処で試遊できるんだ！
[1025.753] neon_sign__: ベガの新情報はどこすか？
[1026.378] onyancoscratch: 投げたあと、おててグッてするのかわいいよな
[1027.765] trialgabber: 新しい画角だと隣座ってる人映らなくなっちゃいましたね
[1028.702] oyassan5963: きさまらな飢えても！
[1030.538] ゆるっさん: 誕生日なのか
[1032.189] 平熱盛: ブラストとかないのいいっすよねー
[1032.764] trick0918: 後ろ投げ5じゃ違ったけどなんでだったんだろ
[1033.456] (S)paps0423: 試験出るぞ
[1034.998] (S)mukubado2: か、かっこいいたるー
[1037.929] kazoo319: 記憶喪失なったけど支配するという欲求だけは心の底から沸いてくるみたいな設定ぽい。
[1039.211] 十山: わが生涯に一片の悔いなしって言い始めるかもしれない
[1039.625] しゃばもん: 貴様の体のなぞはトキが知っておるわ！！
[1040.491] モドキ: 歩きは速くなくて安心した
[1053.419] forest__pixie: シャドウアックス、サイコアックス
[1053.687] (S)麦の人: 今のベガとローズの絡みは見てみたい
[1056.990] saddle_67: 空対空はなんやったかな
[1061.633] (S)よぞらかげ: ベガワープ...
[1062.927] trialgabber: スト5の時にあった弾って強かったんですか？
[1063.556] neon_sign__: Vのベガの腕組み歩きまた見たい
[1072.503] 灰原_: わかる技あると嬉しくなる
[1077.096] (S)godog02: ほうほう
[1078.023] (S)よぞらかげ: へ～
[1080.352] (S)raincoat214: インフェルノとリジェクトないのどう思います？
[1084.800] ちぇなたん: ほぉ
[1084.836] れなまる〇: 214Pっぽい技はインフェルノの代わりかな
[1085.173] モドキ: ヒザやった？
[1088.354] zackz_fair: ほぉ
[1088.386] 灰原_: へー
[1091.688] urumax999: 弱いは無さそうだけど、ちょっと弱い位でも使います？
[1093.148] ばれっと0079: サイコパワーじゃなくなったからとか？
[1094.107] oyassan5963: Vスキル1...欲しくない...?
