[10.996] jSTARszn: tykwonNOWAY
[127.305] lain_the_3rd: 飛ばされるまさ
[127.338] chin_56_: おおおちつけ
[128.032] sh1zuku716: ？
[130.012] (S)蟹右手: こういう時誰を選ぶんでしょ
[130.228] feel2525: 大事なとこ
[130.262] (S)ましゅダヨ: 噛み締める、このopを
[132.670] shifoncafe: ここで悩む
[133.913] もきち555: もうやばい？
[134.295] (S)monpiipop: wwwww
[134.584] (S)箸くれ: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[134.740] (S)switchdv: ｗｗｗ
[134.920] (S)smile9104: ｗｗｗ
[134.950] Ceciltaisa: うむ
[135.603] (S)gularain: ｗｗｗ
[135.679] aranami0: マリーザ使うかー
[135.695] kiton_taichi: え
[135.855] デュララ: まじでw
[136.016] だるま屋ウィリー: 草
[136.282] moyashi117: そうだね
[136.779] すいそう: もう終わるて
[136.822] maddy2623: 私の同級生が昔山崎まさよしと付き合ってたそうです その女は丸坊主でピアスまみれです
[136.844] れく太: もう終わるｗ
[137.030] gyu_nyuu_pann: 悩むねぇ
[137.047] (S)~MISSING_COMMENTER_INFO~: 今年終わる
[137.549] tsubomaru: １２月だよｗ
[137.755] マジでラブ恋愛中: いい時のスクエニ
[137.993] perushi8: わくわく
[138.692] (S)dokuyubi: 年末に？
[139.487] sh1zuku716: ま？
[139.844] ぐるえむ: LUL
[140.486] (S)kakutora_no_o: まじかよwww
[140.760] fuan4444: 長い旅になるからな
[141.447] (S)sai927: くっそワクワクするな
[141.825] Ceciltaisa: キャラ選び
[142.384] しすてむえらー: １２月なのに？
[143.223] キタちゃん: どんな択よりも
[143.568] (S)monpiipop: ケンを選んだときよりも？w
[144.726] moyashi117: 運命きまっちゃう
[144.931] kuniyoshi8: キャラ選びスト6より大事なんｗｗ
[144.962] (S)ponponguripon: 12月です
[145.518] Papapadad: もっとあったやろｗ
[145.563] hatomugi101: @dubz8888 still unknown
[145.650] chin_56_: 転生物よ
[145.720] blackuma: ほんま壮大や
[146.229] gyu_nyuu_pann: 今年1うおおおおおおお
[147.081] (S)ましゅダヨ: 今年1よ？よく考えて
[148.531] (S)箸くれ: この11か月どんだけ選択してこなかったんだよ
[149.728] sh1zuku716: マリーザ
[151.130] uwamonq: ＳＦＬの参戦の是非よりも？！
[151.928] (S)ponponguripon: 斧でしょ？
[153.949] feel2525: ケンを選んだ時よりも
[155.134] gyu_nyuu_pann: マリちゃん
[155.667] aranami0: ちなマリーザ斧っす
[155.838] perushi8: 血がたぎる
[156.612] kiton_taichi: スト６のキャラ選びより真剣
[157.294] tsubomaru: ホークは斧
[157.497] tasuminn: スーファミでやってないやつ？
[159.134] すいそう: ウメちゃんのドラクエをアーカイブで見てたから生でRPG見れて嬉しい～
[159.787] palllight: 最強はクローディアだっけ
[160.325] nameless_774: オノｗ
[161.914] (S)monpiipop: あ、斧一択だねw
[162.115] johndoe6523rp: ウメさん。タグがスト６のままです。
[162.347] gorogorogorn: 敢えてとか要らないからね！
[162.821] (S)kakutora_no_o: スト6のキャラ選びの方が大事だったやろww
[162.991] sh1zuku716: 斧キャラだよな？！
[163.681] 泣き虫サクラ: ゲームを100%楽しむ男
[164.601] tibusa8: ウメちゃんシフ好きそう
[165.468] ぷりにゃん: 俺もミンサガ買おう
[165.694] gyu_nyuu_pann: 斧キャラにしようぜ
[166.191] yusan090: キャラディフォルメへただなあ
[167.010] v_harumi_v: タグ変更しないと
[167.489] (S)箸くれ: 斧だろ？
[168.800] Ceciltaisa: ウメアルベルト
[168.837] blackuma: ぶっちゃけSFCの絵のほうがファンタジー感あったけどな
[169.745] kuniyoshi8: 道着おらんのか
[169.879] zanpei501: やっぱツフ
[172.616] (S)蟹右手: ミンサガ版は見た目でバーバラ選んだなあ
[172.856] kiton_taichi: 曲めっちゃいいなー
[173.057] lain_the_3rd: グレイかっけえ
[173.120] arnhmci: 斧がいたなぁ？
[173.953] (S)switchdv: バーバラ魅力たけえ
[174.140] uwamonq: 斧ｗｗ
[176.136] sh1zuku716: 斧キャラ使わなかったらファン辞めます
[176.369] nameless_774: 斧以外で勝てるのって話
[176.889] hiyokomame0906: 悩むね
[178.837] (S)ましゅダヨ: アルベルト！王道ぽい
[180.646] natoooji: アルベルトが正統派主人公
[180.929] nino_9r: 既に楽しそうで嬉しい
[181.527] chin_56_: 貴族の息子
[182.032] prisira: うめちゃんタグがスト６だよ
[182.072] だるま屋ウィリー: はい
[183.336] (S)ましゅダヨ: ないよね？
[183.464] (S)JGBstudio: あんだけ斧押しなら斧でしょ？
[183.564] gyu_nyuu_pann: はい
[184.107] perushi8: なるほど
[184.391] mikaze0001: なるほどね
[184.499] Ceciltaisa: アルベルト。どうして・・・
[185.023] shifoncafe: それはそう
[185.455] feel2525: なるほどね
[185.606] hunmaturyokuch: 一応主人公はアルベルトやな
[185.877] kuniyoshi8: ハネベルト；；
[186.122] もきち555: ほほー
[186.329] (S)ましゅダヨ: うん
[187.432] (S)kakutora_no_o: ほーなるほど
[188.011] donpepper_0728: 覚えてねーだろ
[188.143] gorogorogorn: 俺グレイだった
[189.223] prosciu: 全員斧装備
[189.401] (S)monpiipop: ホークは斧キャラ
[189.828] yusan090: えちち
[191.498] (S)蟹右手: 最初にカーソル合ってるやつ
[191.959] nameless_774: 魔法使いはねえよなあ
[191.973] gyu_nyuu_pann: なるほどね
[192.133] (S)箸くれ: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[192.260] mikaze0001: 俺はグレイだったなあ
[192.933] (S)meat114kg: ｗｗｗｗｗ
[193.410] (S)monpiipop: wwwww
[194.098] acehirotaka: 私はホークだったなぁ
[194.464] 泣き虫サクラ: 正解！！！！
[194.804] surans: ｗｗｗ
[195.794] akira_s_: このBGMさいこう
[195.951] nikukuisugi333: ｗ
[196.067] すいそう: なるほどねｗ
[196.821] (S)kakutora_no_o: wwww
[197.106] FirstBlood_GG: ｗｗｗｗ
[197.262] デュララ: 逆に！
[197.412] ごまさんです: 逆に
[197.731] uwamonq: 全員斧は硬派
[199.338] gyu_nyuu_pann: wwwwww
[199.522] maddy2623: アイシャは成長性A
[199.652] vFrag: wow, new skins for SF6?
[199.819] (S)pfl2: わかる
[199.946] blackuma: 逆にねｗ
[200.314] perushi8: アイシャか
[200.329] GG_sensay: ww
[201.771] にかいどう: 名言
[202.959] (S)ましゅダヨ: あーーーーー
[203.280] ys120: アイシャ・・・
[203.765] tsubame5204: umeNirami
[204.019] gyu_nyuu_pann: いいね
[204.870] (S)蟹右手: あんなはいてなそうなやつが
[205.864] ZuborackO: わかる
[205.992] Ceciltaisa: ウメバーバラ
[206.133] だるま屋ウィリー: おー
[206.383] sh1zuku716: バーバラぁ！！！！
[206.554] arnhmci: うむ
[207.085] もきち555: 俺ホークだったー
[207.220] (S)meat114kg: アイシャで素手とか楽しいよね
[207.956] oinari6: 泥棒に世界救ってもらおうよ
[208.120] kuniyoshi8: ねぇさんいいよな
[208.598] (S)すれいまん: この選択画面でBPのこと書いてないのちょっと不親切よな
[209.223] GG_sensay: いいね
[209.422] (S)箸くれ: マジ？
[209.462] (S)monpiipop: バーバラも強いよ
[210.381] chin_56_: 深層心理
[210.575] aranami0: こどもの頃はグレイ死ぬほど好きだったわ
[210.666] chikachikabonito: DinoDance
[210.778] (S)~MISSING_COMMENTER_INFO~: こいつにはむりそうだね
[212.613] (S)yoyo_443: なるほどね
[213.547] uwamonq: ホークは斧側
[213.826] (S)箸くれ: 踊っちゃうんか？
[214.329] moyashi117: たしかに
[214.727] tsubomaru: バーバラは普通に強い
[215.098] prosciu: こいつ斧持ってる？
[215.306] teruharu_: タグ変更しましょ！
[215.587] akira_s_: ブルーマリーさん？
[217.009] sh1zuku716: 斧・・・
[217.701] gorogorogorn: 何気に強キャラ
[218.819] yusan090: 有能
[219.659] eljelg: ジャミルとかよくない？盗賊だよ？
[220.011] gnz_for_twitch: バーバラバランスよく強い
[220.948] gyu_nyuu_pann: なるほどね
[222.356] forjc3rd: 中日が優勝するみたいなこと言ってる
[224.719] mukade3: トルネコ使いたくなっちゃう感じだ
[224.836] (S)ましゅダヨ: バーバラマジで
[225.227] nameless_774: ダンサーの戦闘力ってどうなんだよｗ
[225.985] hakujin1231: 斧に頼らないのか
[226.212] (S)ponponguripon: 斧持たせないとな
[226.334] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[227.909] tsubomaru: ホークは斧ですよ！
[228.645] すいそう: お前が？ってキャラが大成したらテンションあがるねぇ
[228.743] blackuma: オリジナルのバーバラアイシャきつかったなぁ
[229.294] Ceciltaisa: バーバラは一番それっぽくないよな
[229.958] prisira: うめちゃんタグがスト６だよ０
[229.989] moyashi117: かっけえ
[230.011] ごまさんです: かっけえ
[230.259] (S)monpiipop: ホークは斧キャラ！！
[230.346] snkfkn: わーロマサガだ
[230.987] (S)ましゅダヨ: 踊り子だもんなあ
[231.408] maddy2623: ゲラ＝ハ
[231.411] chin_56_: キャプテン
[231.644] ペプシ男: 踊り子なめんなし！
[231.946] だるま屋ウィリー: 斧
[232.026] (S)蟹右手: 体幹すごいねんで！
[233.191] mako6912: 斧きた
[233.390] (S)meat114kg: 斧
[233.439] perushi8: わかります
[233.603] デュララ: わーかーるー
[233.738] sh1zuku716: 斧キャラ
[234.948] gyu_nyuu_pann: かっこよ
[235.186] (S)switchdv: かっこよ
[235.325] Ceciltaisa: ホーク
[235.545] ぷりにゃん: ｗｗｗｗｗｗ
[235.742] マジでラブ恋愛中: w
[235.982] tsubomaru: 斧です
[236.918] イガ: わかる
[237.492] tukumi07: tukumi07 subscribed with Prime. They've subscribed for 35 months, currently on a 9 month streak! ミンサガはじまりまーす！！！
[237.634] tama_zx61: 斧きたこれ
[237.922] (S)箸くれ: あまりにかっこいい
[238.184] nameless_774: キャプテン
[238.357] fuan4444: ラシードやん
[238.611] feel2525: おじの貫禄
[239.159] sannpann_twich: ウメちゃん ゲームカテゴリスト6のままだよ
[239.429] yusan090: そうきた
[239.704] kuniyoshi8: キャプテンだよ？？
[239.777] sh1zuku716: 斧縛り？？
[240.184] (S)~MISSING_COMMENTER_INFO~: マリーザ
[241.287] gyu_nyuu_pann: 斧です
[241.484] ys120: 斧はやばい
[241.622] blackuma: 原作絵とかわってもうとるｗ
[242.035] aranami0: 斧っす
[242.081] tabibitox: 斧
[244.684] v_harumi_v: ウメちゃん、タグ変更しなくて大丈夫？スト6のままになってる。
[244.926] eljelg: キャプテンは仕方ない
[246.828] (S)kakutora_no_o: 斧やないか？？
[248.050] (S)すれいまん: や る よ
[248.505] zanpei501: ホークとゲラハはいいよね
[248.546] akira_s_: コンドルダイブしそう
[248.743] ara5588: こいつは救えそう
[249.621] おじキッズ兄: マリーザｗ
[250.089] chin_56_: 名前がいい
[250.456] natoooji: ゲラハもついてきてお得！
[251.952] (S)meat114kg: シフの斧だっけ？
[252.337] lain_the_3rd: ラシー子
[252.959] gyu_nyuu_pann: 救えそう
[253.434] friendorfaux: ウメちゃん、お願い．．．
[254.451] moyashi117: 歴史感じれそう
[254.517] palllight: マリーザ
[254.665] (S)kakutora_no_o: やっぱ斧っしょ
[255.137] そうたマン: bday100
[255.799] hunmaturyokuch: ロマサガ1はグレイやったな
[258.635] prisira: コメントみてないなｗ
[259.815] ぷりにゃん: HPは正義
[261.267] tabibitox: 斧で世界救ってみないかい？
[261.964] (S)蟹右手: シフ×アル
[264.994] sh1zuku716: 武器って固定だっけ？？
[266.312] tukumi07: すでにBGM良い良い
[266.503] uwamonq: いいね～
[268.306] もきち555: もう夢中
[269.924] v_harumi_v: umeYay
[270.051] tsubomaru: ジャミルも強い
[270.632] teruharu_: タグ気付いて…
[272.328] (S)すれいまん: 絵が小物
[274.075] gyu_nyuu_pann: ジャミルいいね
[275.214] kuniyoshi8: ジャミルンルン好きだわ
[277.323] blackuma: ジャミルもう完全に別キャラやな
[277.542] tasuminn: クマ見たい
[278.925] nikukuisugi333: もうミンサガに夢中なんだよなぁ
[280.118] onesolo52: 盗賊オモロそうじゃね
[280.422] ara5588: ウメちゃん、タグがスト6のままみたいよ。変えなくて大丈夫？
[281.607] fuan4444: 子供にウケるつもりのないラインナップ
[282.511] (S)switchdv: ｗｗ
[282.514] perushi8: ほぼいい
[282.634] jambotanishi: クジャラートって足立区っぽいしね
[282.661] kurone_2022: 全員いいじゃんね
[283.979] (S)monpiipop: クローディアつよいお
[284.051] sh1zuku716: 斧・・？
[284.184] teruharu_: 夢中w
[284.347] uwamonq: ミンサガは無限にできるな
[284.426] gyu_nyuu_pann: もう夢中っす
[284.437] しすてむえらー: 全部いいのね
[285.314] moyashi117: クロ様
[285.710] forjc3rd: アルベルト以外いいんじゃねえか！
[285.742] pettan_omochi: ウメちゃん タグ変しよ？
[286.224] nameless_774: 自分はクローディア
[287.158] poposuke: カテゴリー変更をしてね
[287.984] cho0990: タグ杞憂民はそんな心配しなくても大した問題じゃないから大丈夫だぞ
[288.476] snkfkn: クローディア大好き
[290.382] maddy2623: ウキウキ大吾
[292.408] (S)ましゅダヨ: ジャミルいいねぇ
[292.650] nikukuisugi333: 斧っしょ
[292.981] jigojigo: 都会で盗賊はそうとう迷惑
[293.391] saibabasan: ウメちゃんゲームタグかえて〜〜
[294.869] すいそう: おもろいやんおもろいやん
[295.832] (S)meat114kg: 迷ってて楽しそうでなによりですｗ
[297.856] enuemu3: 弓だぁ
[298.104] gyu_nyuu_pann: みんなかっこいい
[299.305] perushi8: ｗ
[299.900] (S)すれいまん: 立派なゴリラに成長するクローディア
[299.958] (S)switchdv: よっわ
[300.024] ミジンコ隊長: よっわ！
[300.124] 残り8万: あ
[300.185] superbillgates360: pick the cuttest one
[300.866] blackuma: おすねぇｗ
[300.946] (S)箸くれ: 37ｋｇだよ？
[301.157] prisira: ウメちゃんタグ変更きづいてぇ
[301.158] uwamonq: キャラ選びの段階から夢中ｗｗ
[301.376] pettan_omochi: 37キロ
[301.517] feel2525: ｗ
[301.617] poposuke: カテゴリーの間違えは軽くはない
[301.748] chin_56_: よわあ
[302.889] nameless_774: 愛やよ
[303.098] (S)ましゅダヨ: あ
[303.230] machakyuro: よっわｗｗｗｗｗｗｗｗｗｗｗ
[303.336] magoichi_s: SFCのときはかっこよさでグレイだったわ
[303.753] v_harumi_v: タグ変更に気づいて～～
[304.441] (S)smile9104: bgm良すぎるなぁ
[305.292] FirstBlood_GG: hp低い
[305.605] chinkalahoi: 伸びしろ
[305.858] gyu_nyuu_pann: よわぁ！！！
[306.449] yusan090: 最初に強いやつはお荷物
[306.473] toripy55: アイシャかわいい
[307.335] (S)ぎんぎらぎん: タグタグタグ気づいて
[308.119] ぷりにゃん: こいつに世界は救えない
[308.885] gorogorogorn: 横えっろ
[308.985] すいそう: 弱いキャラで世界救いたくないか？
[309.794] feel2525: 世界救えんのか！
[309.934] toro0524: HP45 
[309.970] (S)箸くれ: 37ｋｇに世界救えるわけねえだろ？
[310.009] (S)sugi_tree3: そんなこと言わなくても、、
[310.848] Siriaru0520: 斧縛りすんの？
[311.250] (S)~MISSING_COMMENTER_INFO~: タグ
[311.987] (S)蟹右手: とんでもない衣装に変えられた子
[313.007] poposuke: タグじゃなくてカテゴリーね
[314.177] AgeoChoty: そして3年が経った
[316.583] もきち555: 弱さに定評のあるアイシャ
[317.569] saibabasan: ミンサガあると思う
[318.542] gyu_nyuu_pann: こいつに世界救えるか？？
[318.650] tasuminn: 大器晩成タイプなのか？
[318.839] natoooji: アイシャは花より男子みたいなもん
[321.524] enuemu3: 愛やよ
[321.730] v_harumi_v: カデゴリーか
[323.734] (S)ましゅダヨ: よかった
[324.149] prisira: 気づいたぁ
[324.177] zanpei501: カテゴリーも
[328.980] sh1zuku716: 愛は高い？愛やよ
[328.985] gyu_nyuu_pann: お気づき
[330.088] (S)kakutora_no_o: 楽しい時間やなぁ
[330.592] maddy2623: アイシャは後半やべーから
[331.870] tsubomaru: 一生悩めるじゃん
[333.062] hikky722: 初見なのにグレイやってるってミンサガじゃなくロマサガ1は既プレイってことか
[334.050] yusan090: こんなん裸前掛けやん
[334.584] ぷりにゃん: ただのモブじゃんねぇ
[336.135] chin_56_: 遊牧民で世界を救う
[338.751] (S)ましゅダヨ: カテゴリもだそうでw
[341.156] sh1zuku716: 愛ってなんだっけ
[342.677] teruharu_: ありがとー
[342.757] caltropman: 体の横えっろ
[342.843] (S)monpiipop: イトケンサウンドを楽しもう……
[344.327] tibusa8: 痴女やん
[345.917] nobunobu312: ミンサガまじか！
[346.783] tsubomaru: アイシャは殿下のイベント見れるからアリあｄなｗ
[347.687] akira_s_: 脇の生地なかったんか
[350.728] (S)すれいまん: 愛知らず？
[351.105] prisira: イトケンは神
[351.281] kuniyoshi8: 腰こんなエロいんすか、、
[352.790] forjc3rd: 履いてない
[353.858] snkfkn: いい音楽
[357.126] gyu_nyuu_pann: 横すごいな
[357.159] gorogorogorn: 寿司みたいな服
[360.141] maddy2623: ミンストレル
[360.646] tsubomaru: ミンストレルソング
[360.872] kuniyoshi8: ミンストレルソング
[361.027] (S)箸くれ: ミンストレルソング
[361.232] 泣き虫サクラ: 横びんぼっちゃま
[362.160] (S)rt3191: ミンストレルソング
[362.456] いちごえび: ミンストレルソング
[363.386] moyashi117: ミンストレルソング
[363.834] (S)monpiipop: ミンストレルソング
[364.490] natoooji: みんなでサーガ
[365.097] GG_sensay: minstrel song
[365.377] saibabasan: Romancing SaGa -Minstrel Song- Remastered
[366.056] yusan090: みんなで遊ぼうさが
[366.156] machakyuro: みんなのサーガｗ
[366.163] kiton_taichi: ミンストレルソング
[366.896] Opening_Runner: みんなの
[367.328] prisira: ミンストレルソング
[368.023] v_harumi_v: ミンストレルソング
[368.261] わずれす: ロマンシングサガ ミンストレルソング
[368.331] Lukeyoung777ENG: 愛って属性は何？
[368.813] Jam10505: ロマンシングサガ ミンストレルソング
[370.493] mikaze0001: ロマンシングサガミンストレルソング
[373.132] gyu_nyuu_pann: みんなのww
[382.755] (S)すれいまん: 詩人の歌みたいな感じ
[383.872] v_harumi_v: ミンナノサガ
[384.866] hikky722: 杉田の声で聞こえるｗ
[387.518] ys120: 民主主義人民共和国かもしらん
[393.646] tawashi00: ロマンシング佐賀
[395.440] GG_sensay: っけい
[396.859] jijipex0527: みんなのストリートファイター
[400.406] nobunobu312: ｲｸｿﾞｰ
[401.942] prisira: 最初が重要よ
[402.423] (S)rt3191: 名曲だぁ
[405.455] tukumi07: ミンミンサガ
[409.777] pettan_omochi: 小さくて軽い
[410.100] toro0524: ホビット
[412.283] kuniyoshi8: 救えない
[412.755] jigojigo: ミニモニはいれるよ
[412.877] (S)ましゅダヨ: かわいい
[413.241] gorogorogorn: カワノじゃんｗ
[413.358] (S)ponponguripon: ちっこい
[413.695] ペプシ男: 小学生か
[413.882] もきち555: か弱い
[413.963] sh1zuku716: 37きろｗ
[414.402] Ceciltaisa: 身長ディスかぁ
[415.564] nameless_774: 救えないよお
[415.785] blackuma: そこらの中学生にまけるやろｗ
[416.568] aranami0: 37kgに世界は救えねっす
[417.130] chin_56_: 人権なし
[420.989] すいそう: 一見弱いキャラで世界救うんだろう？
[421.280] forjc3rd: 第一印象って大事やん
[422.659] prisira: マリーザいく？
[423.138] (S)ましゅダヨ: クローディア！
[426.081] zanpei501: ホイ！
[426.336] (S)kata_kana_: シフに斧持たせよう
[427.896] tabibitox: 斧
[429.300] (S)kakutora_no_o: 斧が似合うキャラでしょ
[430.303] れく太: シフ軽いな
[433.533] (S)ましゅダヨ: なつかしすぎてなけてくる
[434.281] (S)ちぇんぷる: 斧
[434.442] sh1zuku716: ほっそ
[434.507] prisira: うめちゃん斧だよ
[434.670] gyu_nyuu_pann: 斧もたせるか
[435.074] pugya7: かっるｗｗｗ
[435.859] ayataka33: やっぱフィジカルっしょ
[435.987] (S)switchdv: マリーザやん
[436.159] surans: すでにもと取る勢いで楽しんでない？
[436.322] (S)蟹右手: マリーザより一回り小さい
[437.140] kosmos5567: 軽い
[437.159] (S)箸くれ: もっと重いよな
[437.299] fuan4444: ガリガリやん
[437.445] ごまさんです: ガリ
[437.602] れく太: スト2のサガットやんけ
[437.815] nameless_774: この筋肉で
[438.365] (S)ましゅダヨ: あ
[439.578] GG_sensay: wwww
[439.789] (S)~MISSING_COMMENTER_INFO~: レディですから
[440.032] gyu_nyuu_pann: かっるいww
[441.630] aranami0: 80kgはあるだろ！！
[441.635] magoichi_s: 64ってガリガリやね
[442.114] (S)sugi_tree3: 体重サバ読んでる
[443.760] (S)kakutora_no_o: かるいwww
[444.086] chinkalahoi: シフ、この身長体格で64kgとかガリガリだろｗｗｗｗｗｗ
[444.304] maddy2623: その軽さ、スト２かよ
[444.316] e_shrimp: サガットかよ
[444.454] saibabasan: サガットじゃねえか
[445.466] ys120: サガット
[446.196] ペプシ男: 細いな
[446.403] (S)ましゅダヨ: うそつき！うそつき！
[450.158] Papapadad: 自己申告制なんだよ
[455.388] v_harumi_v: わかる
[455.500] hirokiaaa: クローディアにしよで
[456.921] ごまさんです: 確かに
[457.374] prisira: わかる
[458.175] shifoncafe: そうだね
[458.258] (S)monpiipop: わかる
[458.278] (S)switchdv: じゃあ
[458.615] (S)meat114kg: 絶対選ばないねえ
[458.636] sh1zuku716: じゃあバーバラ行こう
[459.439] 是ヒ: たしかに
[459.579] Ceciltaisa: だよな
[459.685] だるま屋ウィリー: わかる
[460.396] (S)ましゅダヨ: わかるわ
[460.851] chin_56_: おとなになったね
[461.434] ayataka33: わかるわ
[462.165] kuniyoshi8: 大人だから選べる
[462.822] oinari6: バーバラは自由度も高く楽しめるよ
[463.571] yusan090: ８０くらいであんな体ならん
[467.852] zanpei501: いいねぇ
[468.574] maddy2623: 子供、アルベルト、ホークにしがち
[469.909] FirstBlood_GG: ウメちゃん？
[471.424] prisira: 決定は海外準拠
[474.880] skyfeed: むしろ子供の時バーバラ選んだわ
[475.039] tsubomaru: バーバラは一番上級者向け
