[15.229] 熊ビッグベアー: 1gett-!
[477.784] hikky722: インパクト喰らっとるやん
[477.798] (S)gameinntwitch: スピーカー最大にしてたからマイクから結構拾ってるんだけど、みんなあまりに気になるならマイクからのみにして、ゲーム音切ります。少し様子見で
[478.078] tama_zx61: ポップコーン岸田
[478.793] chicken_dumpling: thanks!
[483.330] (S)poto2panapa: 体験版の申し子
[483.377] prisira: ボタンはＡＳＭＲだから・・・
[491.459] hikky722: メンテおじありがとうございます
[494.687] rpgSORA: wow
[496.387] (S)m1s4m0: めんおじすみせん！ありがとう
[496.938] kaomoji3: めんおじおるやん
[499.792] 0314tite: 小kラッシュが機能してる
[506.216] ポンポン: ごめんごめーん
[508.152] mfmf_rabbirin: 気にならんよ
[510.100] sei_6: GO1!!!
[517.923] (S)m1s4m0: たぶんわししかきにしてないすみません
[545.441] nodo1660: どっちがうめさんのキャラなんだ？
[545.611] ichi_gatsu: P
[546.199] prisira: Ｐ
[548.250] (S)yamato925925: つよ
[549.636] balthazar000: お？
[550.256] ポンポン: ボタン音きもちいいや
[552.213] x_abu_xx: やっぱDR多用する感じになるのねぇ
[552.586] (S)くういぽ: あつい
[553.715] wahaha7788: ウメちゃんもかなりの上位の強さなんじゃ
[554.390] xJ1NZ0x: xj1nz0Pose
[554.653] satoukazuma777: P返し
[557.739] (S)m1s4m0: リュウだよ
[559.194] だいこん_: 体験版の時点でレペル高すぎワロタ
[570.698] one596: 体験版をやり込むという新境地
[570.861] ootsukemono: 攻めが強いのはホント気持ちいいね
[573.451] mifune1046: ごーちゃんて棒？レバレス？
[583.833] (S)黒魔: 棒のはず
[585.538] (S)m1s4m0: 棒
[589.499] prosciu: パパンパパパパ
[589.756] balthazar000: 体験版なのにおじリーグよりレベル高い、、、
[590.010] だいこん_: 音的にレバーでしょう
[594.440] rt340: お！やってますねー！
[599.277] (S)gazesd: うおー
[603.307] mifune1046: ありがとー！
[603.603] futoshi77: この距離でか
[605.346] skater112: DoritosChip
[605.386] itokoba11058: ごういちありがとう
[605.478] mako6912: うっま
[608.079] tama_zx61: 人間モダンがここにも
[611.933] sakubunshow: 人間モダン
[620.383] 食用ばるさみこす: GO1のアケコン、静音じゃなくて爆音ボタンついてる？
[621.925] roa_silk: 今日人間モダン2人いるじゃん
[638.115] ギアふっしー: 格ゲー対戦するためにゲーセン遠征行ってた人種にはオフラインのみもなんのその
[640.356] だいこん_: ごーちゃんの手元見たい
[645.088] ポンポン: 今日のウメちゃんの部屋のゲストはごーちゃんか
[655.837] one596: ウメ家初日から人力モダンしてたえいた
[657.303] kaomoji3: 間合い管理うめー
[660.254] ypippi: 音がやべえ
[660.799] sndkzfm1: 黙々と対戦しとる
[668.457] tarantarantaran: nemohand1Pogpgill2
[671.716] tsubame5204: umeSalute
[673.949] skater112: HarleyWink
[674.162] tktkappaking: GO1とウメハラが抜けててえいた席座ること少なそう
[687.179] jojojoy001: うっはｗｗｗｗｗｗｗ
[687.318] ootsukemono: うほー
[688.173] momiji4431: ｗｗｗ
[688.219] ギアふっしー: まってたー
[688.503] mifune1046: え？みてから？
[689.681] kaomoji3: 草
[690.160] tama_zx61: ｗ
[691.509] (S)latenight000: やるっきゃない
[692.961] futoshi77: やるしかなかった
[693.957] だいこん_: めっちゃ回してたw
[694.311] kihiro_bq: 2人とも仕上がってんなー
[694.429] prosciu: ガチャー
[698.254] (S)m1s4m0: ごーちゃんはキャラ何使うのかな
[716.202] (S)brutal9998: 今1番攻略が進んでいるであろうGO1との対戦は面白そう
[716.838] tktkappaking: 差し替えし
[725.358] moricocoa: 大足ｷﾚｯｷﾚ
[725.795] zeku16: 差し返し精度すっげえ
[725.841] sei_6: スト6出たときにはリュウとルーク勢は仕上がってるという、、、
[726.050] hikky722: RyuChamp
[728.831] japonism: スト5パワー
[729.315] shokugo55: 端きつすぎるw
[729.561] one596: GO1ベガ立ち
[730.728] temtemvv: うめはどっち？
[731.806] ギアふっしー: ベガ立ち継続
[732.321] パパゲーノ: 今のところジュリきになってるらしいよ
[733.962] omedetroit: めっちゃいい勝負
[734.912] ポンポン: えいたも相当つよいもんね
[735.399] siuva7: ウメちゃん強いな
[738.625] omedetroit: ウメリュウ
[742.576] (S)m1s4m0: リュウが 
[743.756] joshua_cat: 遠征勢に気を使える
[745.054] tktkappaking: ピヨったとき空中くらい関係なくない？
[745.171] ootsukemono: 面白いなー
[753.160] satoukazuma777: アテンダーえいた
[753.403] ギアふっしー: Go１メインゲストありがとえいたー
[754.118] (S)ivutcha: ベータごりごりやってた相手でも全然いけるんだなもう
[754.881] prisira: ヘイルメリー
[755.683] ポンポン: こんでいいは草
[756.457] (S)メタルぱんだ: ！？
[759.969] 不渡哲也: えいたアウトしゅーとイン
[761.851] (S)brutal9998: お前のじゃないだろw
[762.049] (S)latenight000: GO1の専属マネージャー
[762.114] (S)黒魔: ！？
[762.604] だいこん_: ピンポーン
[764.560] prisira: まぁごーちゃんは遠征だしなｗ
[767.119] balthazar000: ヘイルメリー、、、
[769.282] mukiryoku_mkr: デモ版で遠征してる異常者
[772.183] mmiiacha: ごーちゃん関東制圧の第一歩目
[772.679] emaplusplus: おたやどのセクシーCM男優さんこんにちは
[773.344] (S)gameinntwitch: PS5でも対戦出来る環境最速で用意するか
[777.913] ギアふっしー: このマッチアップ成立えいたのおかげもっと擦ってけ！！
[787.308] quwrof_sb: GO1のゲームか
[788.573] shokugo55: 地上の圧がやばすぎるんだけど
[789.669] sndkzfm1: 遠征勢は優遇せなね
[790.930] kaomoji3: え
[793.676] (S)m1s4m0: おー
[794.309] umesecond: 知ってるのかｗ
[798.408] japonism: 弾無敵ないからね
[800.474] rxz_2017: サンドバッグｗ
[800.491] itokoba11058: ハメ？
[801.400] okureiman07: シュートおいで
[802.862] prosciu: なんかひどい
[803.992] ポンポン: ﾀﾀﾝﾀﾝﾀﾝ
[804.332] (S)gazesd: きっつｗ
[804.365] maddy2623: ｗ
[804.822] (S)黒魔: 保障なし
[807.485] toro0524: 一生殴ってるｗ
[807.700] aiueo543211: 煉獄
[807.800] 国府田: ハメかな？
[808.186] skater112: EarthDay
[808.238] (S)osarusan26: ベータで消された弾無敵
[808.446] だいこん_: 弾無敵ないから割り込めねえか
[809.910] prisira: 無敵ないから無理なのか
[811.707] tentough: うわぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁ
[813.327] jojojoy001: 固めやべぇｗｗｗｗ
[814.868] x_abu_xx: コパTC波動割れないの?
[815.722] (S)m1s4m0: 3連！
[816.680] tktkappaking: でもの削りダメージだけで相手がBO回復したら意味なくね？
[817.854] tama_zx61: きつ
[819.053] ギアふっしー: インパクトは全然使わんのね
[819.290] ootsukemono: ﾂﾒﾀｸ…ﾂﾒﾀｸ…
[820.331] japonism: 打撃無敵は有る
[821.036] (S)楚々: 関西から関東に前ステできる男GO1
[821.377] mukiryoku_mkr: ももちさんとGOちゃんが現状DEMO版の攻略は進んでますね
[828.202] chicken_dumpling: jesus being in burnout, getting beat up in the corner like makunouchi ippo
[831.909] ministerofdefense79: Cheer100 Cheer100 Cheer100 Cheer100 Cheer100 Cheer100 Cheer100
[836.436] dcdryuya404: うおおおおおおおGO1きてる！
[837.389] mikgames2d: GOちゃん来ちゃったか！
[839.841] shiro_risu01: umeCat
[844.201] OKG_TWIN: 割れる連携もバーンアウトすると割れなくなるから…
[844.761] jtopnbsd: GOちゃんマジでうめーわ
[849.316] (S)brutal9998: おじリーグの感想とか聞きたいところだけどそれどころじゃなさそう
[852.041] ポンポン: このゲーム2キャラでいいな
[858.139] (S)メタルぱんだ: どぐら、まだ東京に居るんじゃないの？
[859.181] kaomoji3: かっけぇ
[859.570] emaplusplus: やーる
[860.357] rt340: おお
[860.811] gengoro1198: ゴリゴリドライブゲージ削られるな
[866.725] prisira: 歩き波動か
[870.070] 古宮ミヤです: あんなかっこいいのあるんや
[874.551] justhit123: コンボかっけえ
[874.805] roa_silk: まだ闇の戦士が出てきてないスト6
[876.229] temtemvv: おしゃれ
[876.849] (S)brutal9998: そうじゃんどぐらいるじゃん
[877.155] (S)503_win: 発売してないのにもう泉湧いてる
[880.521] tarantarantaran: nemohand1Monogill
[885.100] Devil_Reapers: DAIGO your ryu is AMAZING !
[886.114] ギアふっしー: Go1カスタム
[887.360] だいこん_: ちゃんとバーンアウトしないコンボ選択えらい
[888.401] yocchan7110: ウメハラさんリュウ？
[895.323] (S)matomona: GO1さん！
[900.605] jtopnbsd: ウメリュウ
[902.146] (S)黒魔: おじリーグの打上げ後だから寝てそう、とよまんさん帰宅朝の6時だし
[903.904] x_abu_xx: ウメリュぅ GOルーク
[904.769] sndkzfm1: どぐらは何しにTOKYOに？
[915.401] prisira: どぐらはパチンコしにきた
[921.523] (S)浅草ガッツマン: GO1東京に遊びにきたの？
[923.384] japonism: スト5つええやつはこのゲームもつええんじゃ
[924.174] x_abu_xx: どぐらはおじリーグ観戦っしょ
[927.444] (S)m1s4m0: ウメちゃんも帰宅は5時だそうです
[928.496] (S)brutal9998: どぐら呼んでヘイルメリー揃えたら笑う
[929.794] moricocoa: 遊びじゃない
[931.591] OKG_TWIN: おじの散り様を見届けに
[932.192] だいこん_: 製品版でもうちょっとドライブゲージ大きくというか見やすくなるといいな
[933.735] tktkappaking: スト6の主人公とストリートファイターの主人公の対決ええな
[934.865] jtopnbsd: ヌキさんとパチやるって言ってた
[934.869] ギアふっしー: レッドブルを一つまみ
[939.100] emaplusplus: マリーザ！
[940.957] roa_silk: どぐらは製品版から本気出すから
[942.634] ポンポン: ウメちゃん夜更かししたんか
[944.464] kihiro_bq: モダンと海外のフライング勢がねえ
[944.726] sndkzfm1: じゃあどぐらはパチンコして帰るやろな
[947.698] tktkappaking: ヌキはパチ
[959.452] japonism: goちゃん緊張しとる？
[970.781] jtopnbsd: ん！ウメが強いだけ！
[971.609] mukiryoku_mkr: 現状でルークのが明らかにキャラ性能は上ですね
[973.517] (S)黒魔: ウメちゃんおじリーグの現場にいないのに打上げ行ってるからな
[976.161] (S)matomona: SFL絡み？
[992.230] kihiro_bq: ウメちゃんを信じろ
[998.829] (S)m1s4m0: 酒飲みたいだけ
[1000.867] (S)エムクロ: こんちわ！コメビュが新しい？
[1003.125] shokugo55: 地上がうますぎて一瞬で端にいってしまう
[1003.728] huxobi: 酒のみに行ってたね
[1015.349] rxz_2017: 打ち上げだけ参加は草
[1016.500] p0408: おじが集まってるならそら呑みにいくじゃんねぇ
[1017.364] kaomoji3: 文字見やすくなったね
[1022.220] x_abu_xx: DR絡めるとあっというまに端に行ってしまう
[1024.312] prisira: 画面端うますぎるｗ
[1025.457] warunekochan: go1くん、すごく小さく見える
[1028.025] ギアふっしー: 壁圧
[1031.409] tktkappaking: ！のフォントえぐい
[1033.475] LGA2011: ごーちゃん！
[1033.507] prisira: 年季の入った鳥かご
[1033.843] ピザ野郎: 苦しい
[1036.533] tarantarantaran: nemohand1Monogill
[1039.028] (S)楚々: zero3の練習なかったら観戦言ってたと思うけどなぁ
[1039.246] chipstar9: つよしゅぎぃ
[1040.936] itokoba11058: ミニGO1
[1042.043] dcdryuya404: えいたどこ・・・
[1044.428] (S)m1s4m0: ほんまやw！！！
[1049.064] zeku16: 壁こっわ こんなんやられて脱出できる気せんわ
[1050.389] japonism: 地上戦うめえ
[1056.651] emaplusplus: GO1さん病院の待合室にいそう
[1058.497] えーひろ: umeCossack
[1059.438] (S)メタルぱんだ: SFL、CAGウメえいたってコトぉ！？
[1062.202] sndkzfm1: 腹話術の人形みたいなサイズ
[1064.391] (S)~MISSING_COMMENTER_INFO~: cirNom
[1073.171] (S)matomona: 遠近法かな
[1079.618] guscotu0: ごういちだったのか、ごいちだとばっかり
[1080.262] dcdryuya404: わろてるで
[1084.567] (S)ida_pon: やっぱり腕組むんやねぇ
[1085.215] ギアふっしー: ｗｗｗ
[1088.027] だんごうお: いつのまにか背後零いた
[1089.372] (S)gazesd: ｗｗｗ
[1089.607] (S)jigokunonekomatu: CAGビーストあるで
[1091.307] (S)P03Nekk0: LUL
[1091.395] kaomoji3: ひぃw
[1095.696] tama_zx61: ｗｗｗ
[1098.761] tktkappaking: これ反応できんか
[1100.792] (S)brutal9998: いつの間にか端に寄せるのうめえ
[1101.009] roa_silk: ずっと仕込んでるのかｗ
[1105.169] ギアふっしー: さあどうなる
[1108.973] trumyolo: Combo 
[1109.552] 国府田: あ
[1109.596] sndkzfm1: ごめーん
[1110.963] ギアふっしー: あー
[1113.234] umesecond: ｗｗｗｗｗ
[1113.805] dcdryuya404: あーーーー
[1114.949] hato_pizza: あっ
[1115.959] kaomoji3: あるある
[1119.584] joshua_cat: BO石井現象
[1120.174] prosciu: おもろい
[1120.243] skater112: EarthDay
[1122.464] tabibitox: とんだぁ
[1122.918] prisira: 誰前で弾うっとんじゃ！
[1123.512] DarkLordSen: Damn that was clean
[1124.597] chipstar9: スト2！
[1125.494] (S)gazesd: umeYay
[1131.279] shokugo55: 波動を打ちながらガンガン歩いてくる本来のウメリュウ
[1133.941] chicken_dumpling: ryu's fireball is so weak
[1134.028] ememeume: ウメハラさんーーー 
[1134.569] guscotu0: あ
[1135.829] emaplusplus: 言葉で誘ってたなーｗ
[1138.215] bosssan3: コンボうめえ
[1140.494] kaomoji3: へるぅ
[1149.072] ememeume: 昨日打ち上げ行って帰ってきたの何時だったんだろ？
[1153.197] ootsukemono: スゲームズそう
[1155.371] (S)barioni954: barioni954 subscribed with Prime. 
[1158.867] (S)ごまさんです: ジャストーーーー
[1161.270] zeku16: かっけーーー
[1167.938] (S)yougen1124: 5時らしい
[1168.007] YTfriendofsquirrel: when's 9road?
[1170.725] gengoro1198: リュウカッケーな
[1174.216] ememeume: 朝！！！
[1180.138] ギアふっしー: あ
[1187.689] towai8: 相手に雑談振ってからインパクトすると通るってハイタニが攻略してた
[1188.027] ememeume: 楽しかったろうなー
[1193.756] tabibitox: ヒットしたのか
[1194.971] kanato_twitch: バーンアウトして壁近くなったら小刻みに震えるの草
[1196.546] sakubunshow: 食らったらピヨらない
[1199.422] bec118_japan: なんでピヨらないの？
[1199.508] (S)matomona: 竜巻旋風脚は素早く寄るために使うのか
[1199.928] icebearnicho: @chicken_dumpling I don't think anyone, save maybe Guile, has a decent fireball
[1201.223] itokoba11058: ハイタニ草
[1204.570] tarantarantaran: nemohand1Monogill
[1215.279] prisira: 安いけど運べるのつえー
[1216.950] (S)grove0301: 対策は雑談パリィか？
[1218.455] ピザ野郎: 盤外パワープレイ
[1224.728] swaemz: who is visiting daigo today?
[1228.509] shinjinius: Messatsu
[1230.391] sndkzfm1: ジャストパリィで補正えぐいのええな
[1232.176] dcdryuya404: たつやの攻略は先をいってる
[1233.727] kaworuko19: 打鍵音が前より聞こえるようになった気がする
[1239.297] emaplusplus: GO1さんボタン音リズミカルでいいね
[1242.667] (S)原子力塩太郎: いま関西で一番体験版をやり込んでいると評判のGO1
[1245.085] (S)jigokunonekomatu: えいたくんいつもありがとうな
[1248.097] (S)m1s4m0: eita go1
[1249.311] ギアふっしー: ｗｗｗ
[1250.863] guscotu0: おじチェック
[1252.570] prisira: やっぱ反応はぴかいちだな
[1254.333] ギアふっしー: えいたありがとーー
[1255.795] 亀仙人: Do Daigo will go to BeePro in Taiwan ？
[1256.145] swaemz: @m1s4m0 arigtaou 
[1262.639] ememeume: きっちり
[1266.362] swaemz: *arigatou
[1272.646] ギアふっしー: ２台目スト６も用意
[1273.513] pengetop: GO1の対戦がみたい
[1274.968] ポンポン: えいたやさしいな
[1275.339] 不渡哲也: さすメンおじ
[1275.492] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます → https://bit.ly/2YE2nLB
[1275.644] skater112: 2 Ltrrrr
[1278.901] spring__thief: シュート、チャンスを逃す
[1283.726] ememeume: 少し喉が焼けてる感じ
[1285.630] hikky722: GO1さん明日もないかなぁ
[1286.170] tktkappaking: みんなGO1とウメ観たくてえいたかわいそ
[1286.410] (S)ババシャツ: ww
[1287.856] ギアふっしー: えいたお前誰だｗｗｗｗ
[1290.072] tabibitox: 監督えいた
[1290.654] kent_8791: 鬼軍曹かｗ
[1291.336] gengoro1198: えいた監督
[1292.489] prisira: なんか偉そうなのおるな
[1292.839] (S)shibaponz: 真ん中の人が一番偉くて強いんやろなぁ...
[1294.972] sndkzfm1: 対戦台2台セッティング
[1308.929] LGA2011: えいたもう帰っていいよ
[1312.157] (S)jigokunonekomatu: 大阪から来てえいたの試合見せられても機会損失が酷いしな
[1312.341] satoukazuma777: 家でベガ立ち
[1313.851] prisira: 偉そうだし後ろのやつもプロじゃね？
[1315.607] hato_pizza: えいた氏の自動モダンも観たいぞ
[1319.964] joshua_cat: 誰も真ん中が無職だとは思うまいて
[1326.210] (S)原子力塩太郎: ヘイルメリーの上下関係ってわけ？
[1327.022] kihiro_bq: えいたはベガ立勢
[1333.233] hattrickn: 中Kカウンター確認ええな
[1349.984] warunekochan: フォント独特だね
[1356.894] poyoyon915: 実際プロで草
[1361.400] emaplusplus: 洗濯物仕上がってそう
[1363.075] ootsukemono: 魅せるー
[1363.691] gengoro1198: ウメちゃん差し返しうめえ
[1366.564] umesecond: やっぱパリィゲーなのか？
[1369.655] shiro_risu01: ぴー 
[1371.031] (S)brutal9998: 東京来てるどぐらも呼んでヘイルメリーでやろうぜ
[1375.256] japonism: 下がって差し返す時のやり易さとリターンのデカさがリュウの魅力よね
[1377.010] skater112: HSCheers
[1377.957] ukiyo55: 乾燥終わったか？
[1382.122] guscotu0: えいたのカウンター、G01のガード、ウメハラの立ち回り、全員見どころあっておもろいド
[1387.539] porcupinepine: これが新ヘイルメリーですか
[1397.577] (S)jigokunonekomatu: どぐらはおじリーグでまだ東京おるんちゃう？
[1399.619] hattrickn: すげーいい試合だ
