[3.336] nito1116: radaoMoeru
[17.469] スミネコ: わこらだ
[17.532] ruruo2929: わこらだ
[17.612] emitsin: radaoHi
[17.658] まだら25: わこらだ
[17.658] riverfish831: わこらだ
[17.709] (S)よーーひ: わこらだ
[17.738] かぷかぷ5225: わこらだ
[17.829] perseus7000: わこらだ
[18.077] (S)エフケル: わこらだ
[18.109] sasami_1018: わらこだ
[18.420] (S)げむ: radaoHi
[18.671] (S)mrgrtpsr: わこらだ
[18.683] fuu_0926: radaoHi
[18.686] kanna0730: わこらだ
[18.829] nashu_noike: radaoHi
[18.873] on_mame: radaoHi
[18.917] 鉛筆びー: radaoHi
[18.946] (S)rat_1029: わこらだ
[19.064] (S)reki_b: わこらだ
[19.110] kend56562: わこらだ
[19.376] kyo_gyu: わこらだー
[19.421] omoti1208: radaoHi
[19.596] shulker214: わこらだー
[19.610] (S)バナナ民: radaoHi
[19.800] (S)96猫3: わこらだ
[20.520] rinchan0206: わこらだ
[20.563] (S)tyaimai: radaoHi
[20.599] zukky13mst: わこらだ
[20.744] 0harusumi: radaoHi
[20.762] (S)ikanana2525: わこらだ
[20.827] (S)まななのだ: わこらだ
[20.913] (S)hotarusuki: わこらだ
[20.924] (S)0__kiri__0: わこらだ
[20.930] kanna0730: radaoHi
[21.044] エユン: radaoHi
[21.055] sai_ironi11: わこらだ
[21.081] panno_mimi: radaoHi
[21.381] chaonan_23: わこらだー
[21.477] にゅーとらる496: わこらだ
[21.609] tanaka452_: わこらだ〜
[21.763] (S)mememe0_0han: radaoHi
[22.025] つぶみかん: わこらだ
[22.032] 愛の林檎: わこらだ
[22.049] (S)ぽりごんのすけ: わこらだ 
[22.067] kagemoegi81: わこらだ
[22.075] 鉛筆びー: わこらだ
[22.290] kukukiki1220: わこらだー
[22.864] raincat41: radaoHi
[23.083] miki_15g: radaoHi
[23.086] pokaburu: 待ってたぞーー！！！！！
[23.107] t0_ukq: わこらだ
[23.151] まだら25: radaoKitya
[23.306] myuu2001: radaoHi
[23.311] hotoginikka: わこらだ
[23.316] 鑑もちもち: わこらだ
[23.363] charlotte0ra: わこらだ
[23.393] 角角家: radaoHi
[23.507] ロロ郎: radaoHi
[23.568] (S)96猫3: radaoHi
[23.666] tsuyuiro: radaoHi
[23.836] (S)koharapi: わこらだ「
[23.919] yoichimu: radaoHi
[23.990] しあーー: radaoHi
[24.049] ホトトギス: わこらだ
[24.068] (S)ななちょまる: radaoHi
[24.093] あらんえむかーびぃ: radaoHi
[24.103] 音吐朗々: radaoHi
[24.124] danger_tap: radaoHi
[24.188] かわさん: radaoHi
[24.423] shi_n_tou: radaoHi
[24.439] おりおんさん: radaoHi
[24.676] ギンナン: radaoHi
[24.875] にぃぃぃ: わこらだ 
[24.951] cloverya: ﾜｺﾗﾀﾞ
[24.986] kuroneko9_6: radaoHi
[25.061] buresou: わこらだ
[25.092] (S)mememe0_0han: わこらだ
[25.095] (S)まななのだ: radaoHi
[25.145] ぶれいくです: radaoHi
[25.273] naetoru0901: radaoHi
[25.346] dokukinoco: わこらだーん
[25.465] (S)nacha_86: radaoHi
[25.589] morry1063: radaoHi
[25.625] (S)96猫3: radaoKitya
[25.676] amaton1202: radaoHi
[26.215] (S)uki_1205: わこらだ
[26.453] (S)miam_1018: わこらだ
[26.597] mikan_san: できるんだ…
[27.098] legenddia: わこらだ
[27.185] えりさ_: radaoKitya
[27.448] Sironoawa_: わこらだ
[27.458] pinatuna_0o26: わこらだ
[27.484] sparrow__7__: radaoHi
[27.512] (S)ゆちょあ: radaoHi
[27.544] yuu4270: わこらだ
[27.689] きつね__2525: わこらだ
[27.757] sjindoa: radaoHi
[27.860] mix_xooo: radaoHi
[27.888] (S)フュ: わこらだ
[27.945] honehone_2: radaoHi
[27.954] oli_liriri: radaoHi
[28.127] jha2_: radaoHi
[28.147] (S)~MISSING_COMMENTER_INFO~: radaoHi
[28.386] tempest0709: わこらだーーーー！
[28.429] だだのひと: わこらだ
[28.613] myugi39: radaoHi
[28.843] yukeboka: わこらだ
[28.894] れたすさんど: radaoHi
[29.151] (S)96猫3: radaoHi
[29.393] mira_bell5: わこらだー
[29.411] (S)chisatooo_87: radaoHi
[29.546] show_918: わこらだ
[29.592] yuu_1010: radaoHi
[29.649] えぬあい: radaoHi
[29.663] ﾊｲﾌﾝ: わこらだ 
[29.918] shorusan: わこらです
[30.003] トマト狩り: わこらだ
[30.039] aoi423: radaoHi
[30.131] すてらいつ: わこらだ
[30.274] rsir12: こんばんは
[30.394] amau_ego: わらこだ
[30.485] わり: わこらだ
[30.496] すいぺりあ: わこらだ 
[30.499] kukukiki1220: ﾗｯﾀﾞｧ
[30.505] nikoniko_2535: わこらだ
[30.578] komitanara: わこらだ
[30.762] yururano_0: わこらだ 
[31.052] (S)00ほのか00: radaoHi
[31.154] tukky1208: radaoHi
[31.291] リトラ: わこらだ
[31.359] 那良坂: わこらだ
[31.399] ruchi_052: radaoHi
[31.411] きょうちゃん01: わこらだ
[31.710] Rayouumami: わこらだー 
[32.222] にゃるぷ: わこらだ
[32.396] にゅーとらる496: わこらだーがんばれー
[32.406] アイスを愛す: わこらだ
[32.428] al1ce_28: わこらだ
[32.450] だだのひと: radaoHi
[32.452] (S)amenbomame: わこらだ
[32.456] mix_xooo: radaoHi
[32.631] white11625: わこらだ
[32.729] モノモライ: radaoHi
[32.767] nyankichi_773: わこらだ
[32.990] あきまる4649: radaoHi
[33.092] fwan2: radaoHi
[33.224] かっぴーと: わこつ
[33.235] Sironoawa_: radaoHi
[33.255] 零00: わこらだ
[33.276] paseri_da: わこらだ
[33.434] kotokototoo: わこらだ
[33.495] show_918: radaoHi
[33.533] rif_chann: わこらだ！
[33.539] ここねり: わこらだ
[33.702] yuka0926: わこらだ！
[33.723] もぎ: わこらだ
[33.731] ichiha_0401: わこらだー
[33.769] Harutitti: わこらだ
[34.101] shirogane_lily: わこらだ
[34.120] 那良坂: radaoHi
[34.122] ルアン2268: わこらだ
[34.230] (S)kuugay0905: radaoHi
[34.374] tanbochann: わこらだ
[34.378] blend523: わこらだ
[34.516] nissy_sabu: わこらだ
[34.597] (S)ramu2322: わこらだ
[34.598] woontion0013: radaoHi
[34.632] mikan_san: うおおおおおおおおおおおおお
[34.636] ~MISSING_COMMENTER_INFO~: radaoHi
[34.841] みとまろ: わこらだ
[34.847] さいじゃくん12: わこらだ
[35.402] shirakabaa: radaoHi
[35.455] 悠_5946: わこーらだー
[35.469] mini_42yoni: わこらだぁ
[35.477] haineozZ2: radaoHi
[35.478] (S)same__kun: radaoHi
[35.629] yukinkooooo3774: radaoHi
[35.675] アリーガちゃん: radaoHi
[35.682] 零00: radaoHi
[35.686] ピピラム: radaoHi
[35.722] (S)natu59: radaoHi
[36.018] (S)itijiku_0605: わこらだ
[36.305] (S)amenbomame: radaoHi
[36.442] nyanoco: わこらだ
[36.607] 犬ﾚ: radaoHi
[36.639] rsir12: radaoHi
[36.672] unauna713: radaoHi
[36.722] windowkaaaa: わこらだ
[36.759] shinten3: radaoHi
[36.929] nunnally_05: わこらだ
[36.942] koyaren: !title
[37.025] yoneto_: radaoHi
[37.114] (S)羽心_: radaoHi
[37.163] (M)Nightbot: @koyaren -> Current Stream Title: CRスクリム最終日ｱｼｭﾗ w/ありさか 白雪レイド
[37.233] 心春_: わこらだ
[37.251] suiha_7: radaoHi
[37.259] (S)raimun6: わこらだ
[37.280] (S)yumeichigo: radaoHi
[37.287] yakari_sk3: radaoHi
[37.368] (S)北宮エクストリーム: わこらだ
[37.540] すぺらんらん: radaoHi
[37.688] kyo_kaaa: わこらだ
[37.705] (S)ねらとま: わこらだ
[37.778] aieuo__: radaoHi
[37.812] (S)そそそそそそそそそそ: radaoHi
[37.918] 俺だよおれ: わこーつ
[38.580] dilofo01: わこらだ
[38.648] _りおん: わこらだ
[38.730] (S)white_moka: radaoHi
[38.804] アストモ: わこらだ
[38.824] ろるべーる: わこらだ
[38.875] Ishio_62113125: わこらだぁ
[39.036] hisakids: わこらだ
[39.085] (S)sora_mameee: えｗｗｗｗｗ
[39.107] sai_ironi11: スクリム最終日ファイト！！！！
[39.235] sayorin25256: わらこだ
[39.257] うたさゐ: radaoHi
[39.258] kinugoshi_douhu: わこらだ 
[39.286] omomo67: わこらだ
[39.291] poru1010: わこらだ
[39.300] henatyo: わこらだー
[39.304] hoshikkira: わこらだ
[39.644] ruriiruru: わこらだ 
[39.712] (S)ramu2322: radaoHi
[39.996] (S)きのここ: wwwwwwww
[40.022] nerogatto13: radaoHi
[40.248] (S)りんねんら: わこらだ
[40.473] suibotu_: わこらだ
[40.479] すずすず: ﾜｺﾗﾀﾞ
[40.641] osio4: radaoHi
[40.720] mary611: radaoHi
[40.784] marimo09: わこらだ
[40.934] taiki_s: radaoHi
[41.032] 小トロ: わこらだ
[41.093] 1205omoti: radaoHi
[41.287] 心春_: radaoHi
[41.314] hukutomii45: radaoHi
[41.383] (S)とあさ: radaoHi
[41.485] (S)imnameak: わこらだです
[41.574] (S)mumadoo: radaoHi
[41.690] yona_0724: wwwww
[41.730] (S)にわすずめ: ほんとにしてくれてるwwwwww
[41.805] am_1685: わこらだ
[41.829] kumvnik_29: わこらだー
[41.879] らいたお: わこらだー
[41.908] muutyo_io: わこらだ
[41.928] (S)めしゅ麻呂: わこらだ
[42.103] (S)baceneKo: radaoHi
[42.165] ゆずしろ: わこらだー
[42.326] めぐを: radaoHi
[42.453] (S)hiragi_114514: わこらだ
[42.541] (S)くろうるふ: わこらだ
[42.598] ちったむ: わこらだ
[42.609] Gomichandovuti: わこらだ〜
[42.678] (S)white_moka: わこらだ
[42.696] haru_anura: radaoHi
[42.798] sunomono8: wwwwwwwww
[42.800] chiii_107: わこらだ
[42.812] mnkw_1122: 待ってたー！！！
[42.814] lara_3o: わこらだ 
[44.016] masaba014147: わこらだ
[44.036] さかのうえ_: わこらだ
[44.041] nyankichi_773: わこらだ 
[44.126] emitsubo723: radaoHi
[44.130] (S)tamatama525: radaoHi
[44.148] 神崎立夏: わこらだー
[44.227] syachoo_: わこらだ！
[44.231] (S)Ral_2525: わこらだ
[44.240] びとら: radaoHi
[44.374] (S)らいちぃ: radaoHi
[44.414] rakunekokun47: radaoHi
[44.444] (S)とあさ: radaoHi
[44.582] nakihai556: wwwwwwwww
[44.630] Hinori0228: radaoHi
[44.666] (S)わらびもち_11: わこらだ
[44.784] にゅーん: わこらだ
[44.845] sjindoa: wwwwwwwww
[44.852] (S)ベニマル: radaoHi
[44.878] ナラ抹茶: わこらだ
[45.201] (S)mijumaru_0228: わこらだー
[45.209] (S)mimipaadesu0428: radaoHi
[45.372] びんとにっく: radaoHi
[45.409] (S)ankoro0825: わこらだ
[45.412] (S)ういろ_: radaoHi
[45.417] (S)shiki365: わこらだ！
[45.446] chito246: radaoHi
[45.586] (S)hiro1106nj: わこらだー
[45.595] ペネロペ: わこらだ
[45.609] ちゃば00: わこらだ
[45.657] (S)lapan7200: radaoHi
[45.749] えむたろうさん: わこらだ！
[45.890] (S)dinosaursan: radaoKun
[45.898] sobayu120: radaoHi
[45.921] redooosannn: radaoHi
[47.051] guraku1: わこらだ
[47.140] anko_mochi0319: わこらだ
[47.265] yunchan18: radaoHi
[47.266] rei_00122: radaoHi
[47.299] (S)ライチ31: わこらだ
[47.334] kurono1022: わこらだ
[47.428] (S)Mi_zua0: わこらだ
[47.501] そらいろえのぐ: radaoHi
[47.527] wottsu: わこらだ
[47.546] (S)ふぉー040: radaoHi
[47.559] (S)aoironaganegi: わこらだー 
[47.732] はたの: わこらだ
[47.772] (S)しょう0117: わこらだ
[47.795] みりむ_423: わこらだ
[48.037] maro_Lv1: radaoHi
[48.308] akamasu4: radaoHi
[48.316] (S)みさき0224: radaoHi
[48.331] きつね__2525: radaoHi
[48.399] スミネコ: radaoHi
[48.514] くまべりー: くまべりー subscribed at Tier 2. They've subscribed for 33 months! radaoHi radaoHi
[48.524] (S)suzunoki_712: わこらだ
[48.550] 十愛: わこらだ
[48.550] youkan_umai: radaoHi
[48.557] kotetsu_yuzu0108: わこらだ
[48.618] (S)ぴかぴか_: radaoHi
[48.638] (S)kohakuu1123: わこらだ
[48.738] zerio1130: わこらだ
[48.816] motizunnda: わこらだー
[48.924] ふじき923: わこらだ！
[48.988] mugisan1221: radaoHi
[49.001] ゆきな62: radaoHi
[49.066] (S)とりここ: わこらだー
[49.177] dokukinoco: なにー？
[49.247] くるむ1111: radaoHi
[49.334] つよいこ: わこらだ
[49.335] みずきはな: radaoHi
[49.458] そふぃ3: わこらだ 
[49.479] えりすぐり: わこらだ
[49.485] hamaguri0726: わこらだ
[49.550] 脳汁ごはん: わこらだ
[49.622] たこやろうう: たこやろうう subscribed at Tier 1. They've subscribed for 35 months! 
[49.706] si2821: わこらだ
[49.791] ura__5: わこらだ！
[49.823] sirogoma_906: わこらだ
[49.860] monmon09060: radaoHi
[49.910] 伊丙カオル: わこらだ
[50.116] すてら583: わこらだ
[50.138] hu_doisii: radaoHi
[50.143] (S)_イオ_: わこらだ
[50.210] fwai_1221: わこらだ
[50.245] t0zo_: よ
[50.326] ペネロペ: radaoHi
[50.339] (S)セレちゃ: わこらだー！
[50.420] tuki_41217: radaoHi
[50.430] (S)romiwooo: わこらだー 
[50.542] (S)zuzucco_zu: radaoHi
[50.783] (S)dinosaursan: radaoHi
[50.799] ボンレスブス: わこらだ
[50.933] えったぁ: わこらだ
[52.137] ﾊﾅﾁｬﾝだお: わこらだ
[52.168] (S)niku_aburami: わこらだ
[52.173] hisakids: ｱｼｭﾗﾌｧｲﾄ
[52.174] RamuneAme1111: わこらだ
[52.318] sabakan_0829: radaoHi
[52.366] さめ36: わこらだ
[52.374] am4kumo: radaoHi
[52.395] narurin0927: ？？
[52.430] こすねこ: radaoHi
[52.493] higureiya: わこらだ
[52.617] gaiantufan: わこらだ
[52.622] (S)surooooooooo: radaoHi
[52.659] gagome0516: わこらだ
[52.707] Ichigo_Strawberry15: radaoHi
[52.716] (S)depon_0401: わこらだ
[52.857] ikamodoki17: わらわら
[52.859] (S)sano_1y0reg: わこらだ 
[52.891] kujajaku: わこらだ
[52.900] ne6mchan: radaoHi
[52.954] ogu_0: radaoHi
[53.188] (S)寝ろさん: radaoHi
[53.271] (S)アオぶる: radaoHi
[53.289] (S)koharapi: radaoHi
[53.323] れもんちぃ0: radaoHi
[53.399] (S)oisiym: radaoHi
[53.430] k1444557: わこらだ
[53.431] merongo_1023: わこらだぁ！！！！
[53.545] (S)yamugon09: radaoHi
[53.755] stu5220: わこらだ
[53.972] (S)ねオン: わこらだ
[54.006] アララギ: わこらだ 
[54.065] たこやろうう: わこらだ
[54.227] 0252564: radaoHi
[54.234] まな板春野: わこらだ
[54.305] ゆちちちち: わこらだ 
[54.411] reimeidesu_: わこらだ 
[54.439] (S)セレちゃ: radaoHi
[54.458] ｳﾙ: わこらだ！
[54.461] (S)syano_a: わこらだ
[54.467] (S)こっスィー: radaoHi
[54.527] rindou_03: radaoHi
[54.666] たかなしはな: わこらだ 
[54.711] ichigomilk_252: わこらだ
[54.731] yuki_snowdrop: radaoHi
[54.787] miamio121: わこらだ
[54.792] tukasa1003: わこらだ
[54.927] raruaaa: わこらだ 
[55.159] 琉菜: わこらだ
[55.174] (S)シロツメ: わこらだ
[55.183] Rada_lop: わこらだ
[55.206] (S)るちのー: radaoHi
[55.226] kojimanominato: わこらだ
[55.256] ボ口: radaoHi
[55.376] こけしやん: radaoHi
[55.419] Azukikun0v0: わこらだ
[55.430] ayumi797: わこらだ
[55.451] みーだん: 何の話？
[55.899] (S)hiraki_haru: radaoHi
[55.921] mamemamehu: わこらだ
[56.952] Oyu3255: anzu_3255 subscribed with Prime. They've subscribed for 17 months! 
[57.063] k_byakkooooo: radaoHi
[57.103] sukeww: radaoHi
[57.112] yuu2525: radaoHi
[57.310] (S)michiru0808: michiru0808 subscribed at Tier 1. They've subscribed for 10 months, currently on a 10 month streak! わこらだ
[57.372] peskapes: radaoHi
[57.494] こけしくん: わこらだ
[57.599] sakuranbo_dayo: わこらだ
[57.615] からたべ: radaoHi
[57.663] ばんぺいゆ: スクラム最終日ー！！！
[57.664] yue_mokasora: わこらだ
[57.766] (S)r_udhimaru: radaoHi
[57.770] ag29999: わこらだ
[57.794] mikannn_0117: radaoHi
[57.817] aika21: わこらだ
[57.863] ht_223: radaoHi
[57.895] mimi_fuwa1489: わこらだ 
[57.971] makura17: わこらだ
[57.987] aonosuke89: わこらだ
[58.001] (S)syano_a: radaoHi
[58.021] fuki_51: わこらだ
[58.055] (S)矢知: radaoHi
[58.163] tadaboshi: radaoHi
[58.272] tako_0627_: radaoHi
[58.400] (S)もねねん: wwwwww
[58.689] (S)つむじのきもち: わこらだ
[58.858] maronn_1105: わこらだ
[58.886] hana1274: なにがー？？
[58.889] shi__yu_: わこらだ
[58.891] halu261524: radaoHi
[58.963] sumomo_9312: わこらだ 
[58.981] きっこまん: radaoHi
[59.074] nousagi2525: radaoHi
[59.254] りょう_0224: radaoHi
[59.327] take_otake_: わこらだー
[59.375] karikko2231: わこらだー
[59.384] paseri_113: radaoHi
[59.458] まとま: ~MISSING_MESSAGE_INFO~
[59.494] kanade_1408: radaoHi
[59.512] ken_ken346: わこらだらだーー
[59.517] rao25252: radaoHi
[59.747] mkn0709: わこらだ
[59.760] ichigomilk_252: radaoHi
[59.800] 薩摩芋太郎32: radaoHi
[59.819] yasino1504: radaoHi
[59.853] apple011527: radaoHi
[59.901] honehone_2: ありさんwwww
[60.402] あおなつ: アオナツ subscribed at Tier 2. They've subscribed for 24 months, currently on a 24 month streak! radaoHi 
[61.148] ponzo_0428: radaoHi
[61.327] (S)purin_31: radaoHi
[61.350] pomeesan: わこらだ
[61.376] miyuu0320: わこらだ！！
[61.582] yuuka_0223: わこらだ
[61.661] 奏樹: radaoHi
[61.726] ももなっとう: radaoHi
[61.972] toubun__: radaoHi
[61.973] (S)~MISSING_COMMENTER_INFO~: radaoHi
[62.007] rari1218: わこらだ
[62.199] ささみみさん: わこらだ
[62.246] mamo_tarou: radaoHi
[62.339] りこ_1130: radaoHi
[62.433] (S)syano_a: わこらだ
[62.470] nobume0v0: radaoHi
[62.475] (S)inuyo: さすあり
[62.508] flower_sayasaya: radaoHi
[62.641] kurumi0108: radaoHi
[62.717] (S)izayoi966: radaoHi
[62.800] (S)かおふぇいす: わこらだ 
[62.803] crow_d27i7: radaoHi
[62.847] おおかみ25: radaoHi
[62.966] のらごま: わこらだ
[63.020] ぴっくる: radaoHi
[63.061] てとてと: わこらだ 
[63.181] kedamanoma: わこらだー
[63.205] hisakids: radaoHi
[63.341] karin_kagami: わこらだー
[63.557] maru_2220: わこらだ
[63.603] marimoko6231: わこらだー
[63.710] (S)nattttttumi: radaoHi
[63.779] 雪狐0143: わこらだ
[64.078] (S)lowsox_ring: lowsox_ring subscribed at Tier 1. They've subscribed for 10 months, currently on a 5 month streak! 
[64.323] きょぴ: わこらだ
[64.781] (S)にわすずめ: え？
[64.798] まチャチャ: わこらだ
[64.842] ruupi0312: わこらだ
[64.848] nyankichi_773: radaoHi
[64.879] mashiro0131: わこらだ
[64.889] monhana1147: radaoHi
[64.982] hiraharuu: radaoHi
[65.113] おるかす: わこらだ
[65.231] uta5213os: わこらだ
[65.301] 白クマ: radaoHi
[65.677] kio_1216: kio_1216 subscribed at Tier 1. They've subscribed for 31 months! わこらだ
[65.822] ratarly: わこらだー 
[65.860] 花くらげ: わこらだ
[65.895] (S)りーふ93: わこつ
[65.909] melonmelo_: radaoHi
[66.050] (S)にょまれ: わこら
[66.067] nyarin_0302: radaoHi
[66.096] kamachi939: わこらだ
[66.115] sayukii32: わこらだ
[66.127] umime: radaoHi
[66.130] (S)抹茶の午後: radaoHi
[66.381] (S)kagami_10_14_: わこらだ
[66.593] (S)nattou0907: radaoHi
[66.636] (S)~MISSING_COMMENTER_INFO~: radaoHi
[66.639] tarou_kakio: radaoHi
[66.809] magaos_753: radaoHi
[66.851] ao1o7: わこらだ
[67.032] nagua022: わこらだ
[67.048] 0501nao: わこらだ
[67.074] 赤月琴音: わこらだ
[67.163] プラず: わこらだ
[67.181] (S)あーしゃん: わこらだー
[67.186] れなぽんぽん: radaoHi
[67.270] hajinouwanuri: わこらだ
[67.355] karin_kagami: radaoHi
[67.532] ぬちゃん: radaoHi
[67.593] koyaren: !uptime
[67.636] maru_1214: radaoHi
[67.799] 22dremn: radaoHi
[67.839] (M)Nightbot: らっだぁ が配信を始めてから 1 minute 14 seconds 経過しています。
[67.889] そおお: radaoHi
[67.911] 元気田: わこらだ
[67.913] (S)セレちゃ: 毎日うれしい
[67.988] yomiyomi_r: わこらだ
[68.054] rokutaaaaan: radaoHi
[68.232] ご機嫌なシャチ: radaoHi
[68.347] mono_0114: radaoHi
[68.457] nanachi__707: っわこ
[68.483] ragoo_n: radaoHi
[68.522] (S)sunsun_deshi: radaoHi
[68.581] スペルタン: radaoHi
[68.587] (S)kusunokitomori811: radaoHi
[68.662] 琉菜: radaoHi
[69.339] (S)はむくんだお: ？わこらだー
[69.386] towase_4031: わこらだ
[69.415] aburikarubi_: なにが？？？
[69.425] morphoneko: わこらだ！
[69.442] katagiriharu: radaoHi
[69.526] ususiochips16: radaoHi
[69.607] えりさ_: wwwwwwwww
[69.614] ryautoro: わこらだﾜｺﾗﾀﾞ
[70.156] りょう_0224: わこらだ
[70.287] だぁだ: radaoHi
[70.287] 銀河ポテト: radaoHi
[70.290] dolphin5926: radaoKun
[70.482] (S)aoiro1130: わこらだー
[70.516] be_tyan: radaoHi
[70.576] maru_2220: radaoHi
[70.584] sakiika0w0: ｱｼｭﾗｳｨﾝ
[70.722] (S)pocobokei: radaoHi
[70.726] ao1o7: radaoHi
[70.794] marimoko6231: radaoHi
[70.809] tarou_kakio: わこらだ
[71.064] (S)にわすずめ: ありさん…！
[71.271] 神崎立夏: wwwwww
[71.369] かりんとお: わこらだ
[71.397] (S)mrgrtpsr: wwwwwwwwwwwwwww
[71.431] tada_2727: わこらだー
[71.524] 悠_5946: radaoHi
[71.533] tsukiha_10: わこらだ
[71.757] nattu__: radaoHi
[71.979] kagura_kiba: わこらだ
[72.161] うもうくん: radaoHi
[72.171] ayunosioyaki0223: wwwwww
[72.266] (S)つむじのきもち: wwwwwwww
[72.395] ibuki1121: わこらだ
[72.467] ホワイトお餅: わこらだ〜
[72.497] mikannn_0117: wwww
[72.610] なっち: わこらだ
[72.845] (S)きのここ: wwwwwwwww
[72.993] みそまる_315: わこらだー
[73.231] あげだし丸: radaoHi
[73.320] 0501nao: radaoHi
[73.471] Ishio_62113125: 配信ツイートか
[73.509] (S)hangyadan_14: radaoHi
[73.516] おのこ: radaoHi
[73.579] ko_ryo: radaoHi
[73.671] sunomono8: wwwwwwww
[73.713] はちみつトマト: わこらだ
[73.719] masate23: わこらだ 
[73.754] アールル: わこらだ!!
[73.809] (S)sakidesu_03: radaoHi
[73.818] (S)なんでもいい: わこらだ
[73.958] saiki0528: わこらだ
[73.971] ぷにマス: わこらだー－
[74.224] りょう_0224: wwwww
[74.442] (S)にわすずめ: wwwwwwwww
[74.779] (S)つむじのきもち: wwwwwwwwwwwwwwww
[75.006] oyunitukaroooo: わこらだ
[75.429] kchan_o0917: radaoHi
[75.434] Rino_238: wwwwwww
[75.562] みみと: radaoHi
[75.693] minmint_1118: わこらだ
[75.916] Malice193: radaoHi
[75.962] tmakaronn: わこらだ
[76.158] kyo_kaaa: wwwwwwwww
[76.170] (S)はむくんだお: radaoHi
[76.191] hatiti88: radaoHi
[76.202] れいおん_: わこらだ
[76.267] tanaka_raiu: radaoHi
[76.454] 愛の林檎: wwwwwwwww
[76.712] marimoko6231: ｱｼｭﾗｳｨﾝ
[76.756] (S)aoiro1130: radaoHi
[76.804] hit_u_gebio: わこらだ
[76.939] 雪狐0143: wwwwww
[76.942] (S)なんでもいい: radaoHi
[77.162] nariki_011: わこらだー
[77.350] (S)nattou0907: わこつー
[77.351] (S)なしのみ: わこらだ〜〜
[77.370] アールル: radaoHi
[77.497] (S)壱代目: わこらだ
[77.855] tanakatarou0501: わこらだー
[77.869] melonmelo_: wwwwww
[78.045] shi__409: わこらだ
[78.318] mikan_san: 多分3日で終わる
[78.595] (S)とりまる__: radaoHi
[78.611] だぁだ: わこらだ
[79.057] nagua022: radaoHi
[79.592] PASTA1256: わこらだ
[79.852] ichigomilk_252: wwwwwwwww
[80.004] じーや: radaoKun
[80.110] baberuboburu3939: radaoHi
[80.115] ryo_ngz: radaoHi
[80.283] macarona_0878: わこらだ
[80.984] (S)hiro1106nj: あしゅら
[81.021] しゃくかも: わこらだー
[81.224] どぎゃ: radaoHi
[81.507] みそまる_315: radaoHi
[81.743] ちゃわん蒸: わこらだ！
[81.866] (S)konon0221: うぉっかさんいるー
[82.391] nyankichi_773: radaoHi
[83.530] (S)ﾀﾂｷ: わこらだ～
[83.811] hr11111111: radaoHi
