[7.348] (S)さいこりてぃ: こん塩～
[54.425] (S)あっと_: ｵﾊﾖｵﾊﾖ
[54.452] stone_river0704: ｵﾊﾖｵﾊﾖ
[55.119] jcarlos090: オハヨオハヨ
[55.665] zakinchaan: ｵﾊﾖｵﾊﾖ
[55.968] (S)はやみん007: おはよおはよー
[56.403] shinchan1234890: 阿羅？？？？
[56.491] (S)tttkooo: ｵﾊﾖｵﾊﾖ
[56.757] yukito127: ｵﾊﾖ ｵﾊﾖ
[56.914] (S)蟹君: オハヨオハヨ
[57.120] (S)oahati9045: fantas22Muscle
[57.555] tatisjrfan23: 王オハヨ、オハヨ
[57.941] (S)nel77_77: ｵﾊﾖ ｵﾊﾖ
[58.157] (S)kouki_ojisan: おはよ、おはよ
[59.914] kazuki4017: おいす
[59.938] (S)ちゃんからゲーマー: オハヨオハヨ
[60.783] (S)じんくん3: ｵﾊﾖ ｵﾊﾖ
[60.983] (S)ろじじ: ｵﾊﾖｵﾊﾖ
[60.996] (S)sou_yyy: ｵﾊﾖｵﾊﾖ
[61.591] (S)moonstone1104: おはよおはよ
[62.481] (S)ケバケバオ: ｵﾊﾖｵﾊﾖ
[62.623] (S)mirimonn_334: ｵﾊﾖｵﾊﾖ
[62.647] kyouji_10: ｵﾊﾝﾖｵﾊﾝﾖ
[62.682] (S)メニらふぃ: メニらふぃ is gifting 5 Tier 1 Subs to ファン太's community! They've gifted a total of 24 in the channel! 
[63.378] とと緑: ｵﾊﾖｵﾊﾖ
[63.623] (S)jimami47: ｵﾊﾖ ｵﾊﾖ
[63.800] (S)_なこ_: こんばんはー
[63.916] (S)midori1017: fantas22No1
[64.166] (S)メニらふぃ: メニらふぃ gifted a Tier 1 sub to m1hawk1216! 
[64.205] (S)メニらふぃ: メニらふぃ gifted a Tier 1 sub to tamitami1228! 
[64.217] (S)メニらふぃ: メニらふぃ gifted a Tier 1 sub to ruka0374! 
[64.230] (S)メニらふぃ: メニらふぃ gifted a Tier 1 sub to konyaga_yamad! 
[64.250] (S)メニらふぃ: メニらふぃ gifted a Tier 1 sub to 電脳バクラ! 
[64.333] wozuxi: ｵﾊﾖ､ｵﾊﾖ
[66.117] ~MISSING_COMMENTER_INFO~: サワサワ
[67.227] (S)べーまる: ｵﾊﾖｵﾊﾖ
[67.318] (S)のるんくん: おいすー
[67.441] plunus_1: 阿羅釣ったの？
[67.787] (S)りくりく114: うい
[68.010] momono99: ういす
[69.293] (S)laki3145: ういー
[69.794] どっかのだれかだよ: ｵﾊﾖ♡ｵﾊﾖ♡
[70.008] butagooon: ｵﾊﾖｵﾊﾖ
[70.236] (S)スカイライン乗り: ｵﾊﾖ ｵﾊﾖ
[71.655] (S)shimanagashi2222: shimanagashi2222 subscribed with Prime. They've subscribed for 7 months! 
[71.810] (S)モルト_416: おはようございますー！
[72.537] taotao114514: ｵﾊﾖｵﾊﾖ
[73.958] tatatatatatsuki: ｵﾊﾖ､ｵﾊﾖ
[74.393] (S)のるんくん: ｵﾊﾖｵﾊﾖ
[76.182] shinchan1234890: あらーーー
[77.037] (S)anchan1152525: anchan1152525 subscribed with Prime. They've subscribed for 9 months! 
[77.964] hondagb350: ムツキ
[78.517] (S)八戸ﾝ: ohayo ohayo
[79.790] hulkantos: おはよ
[79.852] (S)pinkaaablue: ｵﾊﾖ ｵﾊﾖ
[80.609] (S)ccc020202: ｵﾊﾖｵﾊﾖ
[80.895] naetle11: おはよ、おはよ
[81.357] roaming111: うい
[84.954] (S)アジ7864: ｵﾊﾖ
[85.268] (S)ゆずきち00: おいす
[86.395] わかすぎ07: オスオス
[86.474] citation1945: おいす
[87.496] (S)toufu_090909: こんばんは
[87.922] (S)rebecca_76star: オハヨ オハヨ
[89.347] bizonkun19: ｵﾊﾖｵﾊﾖ
[90.089] (S)uminncyu: オハヨオハヨ
[90.322] (S)devimy_: devimy_ subscribed with Prime. They've subscribed for 4 months, currently on a 4 month streak! 
[90.616] (S)ユーサク: おは
[90.912] mustard1636: ｵﾊﾖｵﾊﾖ
[90.917] (S)毛糸7: ｵﾊﾖ❣ ｵﾊﾖ❣
[91.560] (S)べーまる: DinoDance
[91.594] (S)オムご飯: ｵﾊﾖｵﾊﾖ
[92.807] (S)nanachan0617: 阿漕⁈
[93.860] ramiel_9999: こんばんは～
[94.075] (S)はやみん007: 今日もありがとうございます
[95.971] hazime3538: ｵﾊﾖｵﾊﾖ
[96.368] 無料の屍: こんばんは
[97.072] (S)sagiri_nnn: ｵﾊﾖｵﾊﾖ
[97.256] ryoooochan: おいす！
[102.299] 10花: ういー
[103.903] (S)o_pe_pe: 配信ありがとう！
[107.726] (S)o_tiii: ｵﾊﾖ
[107.765] (S)ぺんた326: お疲れ様ねー
[108.393] ペロロロン: ﾑﾂｷ ﾚｵです
[108.799] parupuntte: ｵﾊﾖｵﾊﾖ
[109.044] (S)ぽおんん: ｵﾊﾖｵﾊﾖ
[109.610] (S)earl2socks: ほんものだああああ
[109.719] (S)ムンチャクッパ酢: ムンチャクッパ酢 is gifting 5 Tier 1 Subs to ファン太's community! 
[110.609] (S)ムンチャクッパ酢: ムンチャクッパ酢 gifted a Tier 1 sub to Iz_San! 
[110.643] (S)ムンチャクッパ酢: ムンチャクッパ酢 gifted a Tier 1 sub to おジィちゃん! 
[110.652] (S)ムンチャクッパ酢: ムンチャクッパ酢 gifted a Tier 1 sub to yasun0128! 
[110.664] (S)ムンチャクッパ酢: ムンチャクッパ酢 gifted a Tier 1 sub to higmasa! 
[110.704] karaage398: ｵﾊﾖ､ｵﾊﾖ
[110.758] (S)ムンチャクッパ酢: ムンチャクッパ酢 gifted a Tier 1 sub to jackyleaf123! 
[110.907] (S)~MISSING_COMMENTER_INFO~: ｵﾊﾖｵﾊﾖ
[110.926] (S)サシモ0626: サシモ0626 subscribed at Tier 1. They've subscribed for 9 months! 
[111.624] (S)sasamisan333: ｵﾊﾖｵﾊﾖ
[111.626] (S)kokerita: ｵﾊﾖｵﾊﾖ
[111.744] 閃光のえくえく: オハヨ
[112.850] (S)ひるお: オハヨ、オハヨ
[113.107] (S)Kaen_piar: ｵﾊﾖｵﾊﾖ
[113.121] (S)おかず1210: あつ
[113.490] (S)zerogravity0910: zerogravity0910 is gifting 1 Tier 1 Subs to ファン太's community! They've gifted a total of 55 in the channel! 
[113.572] (S)サイマン: fantas22Kitanai
[113.676] (S)dai9cb1000r: BleedPurpleHD
[113.799] u_tan86: おはようございます
[113.870] (S)zerogravity0910: zerogravity0910 gifted a Tier 1 sub to sontyo_06! 
[113.954] (S)c_world_: きたあああ
[114.089] (S)あや11: おはよおはよ 
[114.129] (S)八戸ﾝ: 八戸ﾝ subscribed at Tier 1. They've subscribed for 9 months, currently on a 9 month streak! おはよ　おはよ♡
[114.185] (S)bonehead51: ｵﾊﾖｵﾊﾖ
[114.364] ze2bayashi: sorapo1BYE
[115.432] 794kokoichi: ｵﾊﾖｵﾊﾖ
[116.089] DOM_nira: オハヨオハヨ
[116.940] (S)あーむん0033: 本物だ！
[116.982] leeresky: ﾌｧﾝﾁｬﾝ ｵﾊﾖ ｵﾊﾖ
[117.148] (S)konpe1: オハヨオハヨ
[117.175] フルパワーアフロマン: ｵﾊﾖｵﾊﾖ
[117.296] (S)ビックスせん: ビックスせん subscribed with Prime. They've subscribed for 8 months! 
[117.363] (S)はやみん007: 生きる糧
[117.599] (S)shiki_maru0000: ｵﾊﾖｵﾊﾖ
[118.096] (S)毛糸7: ほんものｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
[119.016] (S)辛麻婆豆腐: fantas22Muscle
[119.227] (S)taaxa_: fantas22Muscle
[119.411] (S)アィスクリーム: ｵﾊﾖ､ｵﾊﾖ
[119.818] (S)にくれもん: ｵﾊﾖｵﾊﾖ
[121.048] (S)horizonkkfr: オハヨオハヨ
[122.490] terasu25: ｵﾊﾖｵﾊﾖ
[122.638] (S)~MISSING_COMMENTER_INFO~: ｵﾊﾖｵﾊﾖ
[123.073] (S)ふっし一: ｵﾊﾖｵﾊﾖ
[125.899] (S)つちのこ83: ｵﾊﾖ ｵﾊﾖ
[127.065] (S)もーーーたん: ｵﾊﾖ ｵﾊﾖ
[127.592] (S)o_zappa_Y: おはよー
[127.828] びーびー3: ｵﾊﾖ ｵﾊﾖ
[129.082] 4alba6: ども
[129.582] (S)udon_54: 阿羅阿羅♥️
[130.268] (S)guridebi: ｵﾊﾖｵﾊﾖ
[130.468] (S)~MISSING_COMMENTER_INFO~: なんていうかｵﾊﾖｵﾊﾖ
[130.819] (S)真なる我: ｵﾊﾖｵﾊﾖ
[133.227] (S)PINODAY0: ぼしゅ
[134.804] (S)kawataro_: ｵﾊﾖｵﾊﾖ
[135.028] (S)おにぎりポン: ｵﾊﾖ ｵﾊﾖ
[138.452] (S)reika_momo: reika_momo subscribed at Tier 1. They've subscribed for 17 months, currently on a 6 month streak! 
[138.627] rentabarou: こ
[139.251] クックカレー: ｵﾊﾖ
[139.932] ai_0173: ｵﾊﾖｵﾊﾖ
[140.184] (S)kannzaki8: おはよおはよ
[141.410] (S)ayukatono: ｵﾊﾖｵﾊﾖ
[142.625] shinchan1234890: 阿羅阿羅阿羅阿羅
[143.649] plunus_1: オハヨ、オハヨ
[144.019] (S)輪入道: うおおおお
[144.725] (S)心霊君: ｵﾊﾖｵﾊﾖ
[147.097] (S)ちゃんからゲーマー: ちゃんからゲーマー is gifting 2 Tier 1 Subs to ファン太's community! They've gifted a total of 32 in the channel! 
[147.177] (S)ruka0326: ruka0326 subscribed with Prime. They've subscribed for 8 months, currently on a 8 month streak! 
[147.617] (S)ちゃんからゲーマー: ちゃんからゲーマー gifted a Tier 1 sub to sati3311! 
[147.690] (S)ちゃんからゲーマー: ちゃんからゲーマー gifted a Tier 1 sub to しじん! 
[148.396] (S)Crazy_salt: Crazy_salt subscribed with Prime. They've subscribed for 7 months, currently on a 7 month streak! 
[148.564] (S)まぐ12: ｱﾘｶﾞﾄ、ｱﾘｶﾞﾄ
[149.411] (S)メニらふぃ: Cheer1000 配信感謝
[150.424] わかすぎ07: アリガトアリガト
[150.546] (S)overrkills: overrkills subscribed with Prime. They've subscribed for 8 months, currently on a 8 month streak! 
[151.194] shinchan1234890: おはよおはよ
[152.026] (S)cobochan3: cobochan3 subscribed with Prime. They've subscribed for 2 months, currently on a 2 month streak! ありがとうございます
[152.316] mamimumemo123456789: かっこよ
[153.591] (S)~MISSING_COMMENTER_INFO~: 今日はサービスします
[155.324] sekisekisekkiii: 阿羅
[155.446] ゆっくり竜王竜也: ｵﾊﾖｵﾊﾖ
[155.645] respawnfanny: あら
[155.920] (S)ender_ear: タイトルsoul'd out？
[158.449] (S)shacomongo: ｵﾊﾖｵﾊﾖ
[159.671] (S)midincoo: midincoo subscribed with Prime. 
[162.713] ~MISSING_COMMENTER_INFO~: 最近声の調子よさようだよね！
[165.761] 7siuy: おはよございます
[165.972] yamuwdjt: アラ
[166.008] (S)poikm95731: ｵﾊﾖｵﾊﾖ
[166.668] (S)mmmarichan: mmmarichan subscribed at Tier 1. 
[166.907] (S)ururisa: オハヨオハヨ
[167.161] (S)でじたま: ｵﾊﾖｵﾊﾖ
[168.308] (S)darkun_1115: ｵﾊﾖｵﾊﾖ
[169.613] (S)jaaakyyy: ｵﾊﾖｵﾊﾖ
[169.686] (S)shougo135: shougo135 is paying forward the Gift they got from 澪好き to the community! 
[169.704] (S)shougo135: shougo135 is gifting 5 Tier 1 Subs to ファン太's community! They've gifted a total of 5 in the channel! 
[170.325] (S)shougo135: shougo135 gifted a Tier 1 sub to shio628! 
[170.344] (S)shougo135: shougo135 gifted a Tier 1 sub to rrluti! 
[170.363] (S)shougo135: shougo135 gifted a Tier 1 sub to misecolvics! 
[170.369] (S)will_fq: will_fq subscribed with Prime. They've subscribed for 7 months! 
[170.411] (S)shougo135: shougo135 gifted a Tier 1 sub to MakiseKurisu123! 
[170.446] (S)shougo135: shougo135 gifted a Tier 1 sub to 御影リコ! 
[170.484] 暇人1231: ｵﾊﾖｵﾊﾖ
[171.325] (S)クジラァ: おはよ
[171.480] (S)reovivi: reovivi subscribed at Tier 1. They've subscribed for 5 months, currently on a 4 month streak! ﾌｧﾝﾁｬﾝ…ｵﾊﾖｵﾊﾖ!
[175.287] (S)桜乃ちゃそ: わぁ
[176.944] (S)o_zappa_Y: o_zappa_Y is gifting 1 Tier 1 Subs to ファン太's community! They've gifted a total of 6 in the channel! 
[177.363] (S)o_zappa_Y: o_zappa_Y gifted a Tier 1 sub to よもぎよる! 
[178.643] (S)yukky_games_: fantas22Muscle
[182.335] (S)おくららら: おはよ
[183.617] (S)トロッピィー: トロッピィー subscribed with Prime. They've subscribed for 7 months, currently on a 7 month streak! 
[183.770] (S)devimy_: 通知なってないね
[184.009] momoyagi0: ｵﾊﾖｵﾊﾖ
[184.779] (S)rebecca_76star: わぁ
[184.809] (S)yukky_games_: ｵﾊﾖ､ｵﾊﾖ
[185.216] masa_165: ｵﾊﾖｵﾊﾖ
[185.283] (S)蛙田いぶき: ｵﾊﾖｵﾊﾖ
[185.650] (S)udon_54: ｵﾊﾖ duty
[186.648] (S)辛麻婆豆腐: うまい
[187.691] (S)_なこ_: うん
[187.822] (S)tarako_0420: ｵﾊﾖｵﾊﾖ
[188.413] (S)輪入道: SAY♡
[189.222] (S)alkesituhaya: うまいね
[189.462] eronmask508: DinoDance
[189.745] (S)suzu25012: うまい
[189.846] (S)アジ7864: 美味しい
[189.975] (S)桜乃ちゃそ: うまい
[190.001] (S)mochiiida: うまい
[190.096] midutax: おはよー
[190.206] (S)Kaen_piar: 最強
[190.848] (S)キルシュ: ｵﾊﾖｵﾊﾖ
[191.042] (S)モルト_416: おいしい
[191.072] (S)ぺんた326: 焼肉いいなー
[191.199] (S)katton_ex: こんばんわー
[191.227] yukito127: 行ったんか！？
[192.340] (S)gumyarou: gumyarou subscribed with Prime. They've subscribed for 2 months! 
[192.499] (S)rognuts: 修羅！？
[192.503] (S)c_world_: うまい
[192.509] ころころダルマ: おはよ、おはよ
[192.600] (S)honey_boo_chan: あそこ神
[192.780] (S)ururisa: いったことないー1人でいけるらしいやつか
[193.013] nimnim2525: ｵﾊﾖｵﾊﾖ
[193.447] (S)temoteee: 庶民派発言
[193.657] unknown1139: うまい
[193.700] (S)テネット23: tenetto23 subscribed at Tier 1. 
[193.720] liebe28: やすいし
[193.932] k140316: こんばんはー！
[194.191] (S)EggGlay: EggGlay subscribed with Prime. 
[195.061] (S)ayukatono: まじ？
[195.676] (S)lulufette: ｵﾊﾖ ｵﾊﾖ
[196.873] liebe28: きむちうまい
[197.106] ゆっくり竜王竜也: 気になってるけど行ってない
[197.686] (S)buju: オハヨオハヨ
[197.801] (S)vespa0303: vespa0303 subscribed at Tier 1. They've subscribed for 3 months! オハヨオハヨ
[198.685] クオハユ: wwww
[199.008] (S)hiwatarow: ひとりやきにく？
[199.054] Mrdeee_: ｵﾊﾖｵﾊﾖ
[199.078] yukito127: wwwwwww
[199.512] (S)pe1tan: pe1tan subscribed at Tier 1. They've subscribed for 5 months, currently on a 5 month streak! 
[199.914] (S)アジ7864: w
[199.951] (S)alohapon: ｗｗｗｗｗ
[200.460] soramame1210: wwwww
[200.944] 池袋ジム: オハヨオハヨ
[201.232] mimisui: wwwwww
[201.488] (S)スカイライン乗り: wwwwww
[201.537] (S)陥没祈祷丸: LUL
[202.496] (S)しっぷう迅雷: fantas22Muscle
[202.840] (S)rick12237: なんだって！？
[203.472] (S)桜乃ちゃそ: wwwwww
[204.013] yaahiiiii: 美味しいよねー
[204.410] (S)のるんくん: wwwwwwwww
[204.837] (S)bleach_stg: うけつな
[204.991] ヤーマン8: wwww
[205.028] (S)huranohajime: wwwwwwwww
[205.148] jedaiyuki: LUL
[205.199] yukitwitch14: wwwww
[205.889] (S)bonehead51: wwwwwwwwww
[205.939] (S)もーーーたん: wwwwwwwwwww
[207.062] (S)udon_54: 栗原ァァァァァ！！
[207.199] (S)PINODAY0: wwww
[207.383] (S)ぺんた326: ww
[207.411] (S)oshow5656: oshow5656 subscribed at Tier 1. They've subscribed for 5 months! 
[207.929] chinpanmansan: ｗｗｗｗｗ
[208.252] ebitiri135: w
[209.075] (S)earl2socks: ？
[209.467] (S)rebecca_76star: ん？
[209.702] (S)alkesituhaya: うぜー
[209.909] 10花: wwwwwwww
[210.038] leeresky: ホンモノ！？
[210.169] クオハユ: 変なまちょ
[210.621] mimisui: カッスカスww
[210.633] eronmask508: ホンモノだ
[211.795] (S)辛麻婆豆腐: 雨穴もいます
[212.009] tententen333: うけつwww
[212.691] ぞのち: ちいがわ臭がする
[212.742] (S)ururisa: このすべりかたは？
[212.796] (S)uwantea: NotLikeThis
[213.005] (S)~MISSING_COMMENTER_INFO~: まちょ
[213.475] (S)landmark1000: うけつね
[213.615] (S)桜乃ちゃそ: チン？
[213.805] 鯖缶だよ: 窓がなあああい！！！！！！
[214.554] (S)スカイライン乗り: 栗原www
[214.974] (S)suzu25012: 誰？笑笑
[215.110] とと緑: うおおお
[215.138] (S)am1no_3: リビング細いね
[215.353] (S)guridebi: きっちーw
[215.369] (S)bonehead51: まちょ？
[215.376] かるま1248: あめあなさんだ！
[215.456] (S)yuuto0206: 胡蝶しのぶ?
[216.303] till1022: ｗｗｗ
[216.443] tensasasa: 雨穴か
[216.844] (S)ryoseeeei: 窓ない？
[217.409] からあげマシン: ま、ちょ
[217.725] (S)~MISSING_COMMENTER_INFO~: いつもの滑り
[218.817] jedaiyuki: まちょかw
[218.849] poaiue: やめろよwwwwwwwwww
[219.031] (S)一色いろがはま: 一色いろがはま subscribed with Prime. They've subscribed for 8 months! NotLikeThis
[219.100] somo_12: あめあな？
[219.850] (S)tarako_0420: 誇張しのぶみたい
[220.009] (S)べねでぃくと: wwwwww
[220.057] (S)landmark1000: 変な家
[220.240] (S)ごはんよりパンがスキ: www
[220.281] (S)yukidarum4n00: うけつやろ
[220.496] (S)tenmankougi: うけつさん
[220.523] maori9yo: うーん
[221.105] テミト: 雨穴
[221.956] (S)rebecca_76star: ま ちよ？
[222.658] (S)じんくん3: ま、ちょ
[222.894] (S)alkesituhaya: まちょってるな
[223.320] (S)あっと_: 雨穴
[224.034] yukito127: ｗｗｗｗｗｗ
[224.056] ぱもー: wwww
[224.444] プリプリプリン: あめあなぐらんで？
[224.697] 10花: うーん
[224.983] yamuwdjt: まち、ょ
[225.316] jedaiyuki: LUL
[225.396] (S)バロン67: ｗｗｗｗｗｗｗｗ
[225.572] somo_12: うけつでしょ
[225.654] kkuioku: 変な家しらないなこれｗｗ
[225.713] (S)~MISSING_COMMENTER_INFO~: 今日も元気にまちょ
[226.679] (S)temoteee: 誇張しのぶ？
[226.787] とと緑: クソでかい力士いない？？
[228.242] ピナつ: あーwwwwww
[228.699] tententen333: しらないかー
[228.916] (S)bonehead51: wwwwwwww
[230.694] (S)steeee_oki: なにこれw
[230.714] (S)banndana5115: これモノマネほうやwwww
[231.320] (S)べねでぃくと: www
[231.877] (S)PINODAY0: wwwwww
[231.966] (S)ぺんた326: うけつww
[232.097] parupuntte: ｗｗｗ
[232.150] (S)earl2socks: ｗｗ
[232.305] りゆ_02: ？
[232.916] (S)桜乃ちゃそ: wwwwww
[233.360] (S)陥没祈祷丸: おもろいか？
[233.725] (S)バロン67: ダメだｗ
[235.107] jedaiyuki: 間取りwww
[235.241] taku611111: ｗｗｗｗ
[235.465] (S)S4ntaMar1a: ？？？
[236.958] (S)yukky_games_: NotLikeThis
[237.058] fiat_kun: 墓穴の可能性も否めん
[238.086] yukitwitch14: wwwww
[238.958] white25season: こんばんはー
[239.160] (S)元気なデブ: うい～ばんわ
[239.474] (S)arbkj: すべ穴
[240.318] (S)hagaaa666: ミンのドリー？
[241.302] (S)CREVAZF1_496: こんな事するのまちょしかいないな
[241.545] (S)landmark1000: オモコロの雨穴
[241.594] (S)ururisa: なにいってんだ
[243.169] (S)guridebi: 変な間取り
[244.486] jedaiyuki: LUL
[244.771] (S)もーーーたん: wwwwwwwwww
[245.508] (S)kohaku0782: LUL
[245.680] (S)ぺんた326: え？ww
[245.824] (S)suzu25012: wwww
[246.802] (S)ウェア: ウェア converted from a Prime sub to a Tier 1 sub! 
[246.907] (S)sena0730: sena0730 subscribed with Prime. They've subscribed for 8 months! 
[247.403] (S)junneko55: 知ってるんや
[247.705] yukito127: wwwwwww
[248.363] ebitiri135: w
[248.443] (S)bonehead51: え？
[249.123] ~MISSING_COMMENTER_INFO~: おもんなき？
[250.702] (S)バロン67: あ、知ってるのかｗ
[250.713] (S)桜乃ちゃそ: 終わった人のやつやね
[251.931] momoyagi0: 知らねぇのかよw
[252.086] (S)kafuka15: 知ってらｗｗ
[252.339] eronmask508: ネタバレやめてね
[253.631] (S)かぐらんチャン: おお、知ってるのか
[255.034] (S)bonehead51: wwwww
[255.242] テミト: あー
[255.393] 鯖缶だよ: 窓がなあああい！！！！
[255.454] リッカ777: ぶっ◯しゾーン！？
[257.155] (S)suzu25012: 知ってるのか笑笑
[257.975] (S)goheimoch1: 終わってる方か
[258.024] (S)スカイライン乗り: 知ってるんか
[259.039] (S)生のイモ: こん塩
[259.610] (S)landmark1000: そうそつ
[260.575] (S)S4ntaMar1a: 終わった人？
[261.219] (S)シュウ0307: おわり？？
[261.466] ebitiri135: じゃないほうw
[262.233] (S)ぺんた326: 面白いよねー
[262.269] (S)ninnjinnbee: ん
[262.463] (S)ryoji_0422: ？
[262.897] (S)uwantea: この声きついだろうに
[262.954] びーびー3: 外鍵の子供部屋
[263.395] yukito127: ‥‥
[263.549] 10花: ふーん
[263.828] qsyrqyufgurjeqfxchvv: きれていいよ
[264.062] ~MISSING_COMMENTER_INFO~: なにこれ
[264.578] rock_hopper5: オチあるんかこれ
[264.720] オオゼキ: ファン太の声真似の胡蝶感ある
[265.142] (S)wata563: wwwwwwww
[265.185] ぱもー: えw
[265.443] (S)~MISSING_COMMENTER_INFO~: 事故
[265.575] chinpanmansan: 力士すんでる
[265.610] hondagb350: まちょ
[266.363] 魚たく: あ、そう
[266.891] (S)5cd788: 続かんのかーい
[267.517] ダイタ: END
[267.681] (S)jinta135: うんうん
[267.924] (S)kafuka15: ｗｗｗｗｗｗｗｗｗｗ
[267.996] jedaiyuki: はいww
[268.021] (S)アジ7864: wwwwwwwww
[268.123] (S)心君マークツー: ま、ちょ
[268.132] (S)yahoo1192: まちょった
[268.465] (S)辛麻婆豆腐: www
[268.465] (S)earl2socks: はいｗ
[268.615] yukito127: ｗｗｗｗｗｗｗｗ
[268.668] (S)はやみん007: wwwww
