[33.897] mako090717: こんちゃ
[391.976] yaseig777: エンドラ討伐みたいな？
[395.511] (S)nakathao: めっちゃいい！
[413.482] 黒木ステア木: JAVAやりたいですねー
[421.050] (S)イケザエライダ: pc買ってJava版マイクラついてきたけど触ってないや
[427.277] (S)竹原: modたくさん入れたやつ楽しかったな
[449.823] 黒木ステア木: クリエイティブモードで好きなバンドのロゴ作って遊んでました
[458.198] (S)ンパールーパー: JAVA買お
[492.038] (S)ンパールーパー: 期間どれくらい？
[492.416] 絵具: ガキゲーかと思ってたけどうんこちゃんの実況みて一気に変わったわ
[502.157] yaseig777: マイクラマジで10年近くさわってねぇや、見る専になってしもた
[525.091] 絵具: 一生ブラマイしてたわ
[543.059] (S)ンパールーパー: スマホ以外でマイクラするの初だ
[561.913] (S)ンパールーパー: JAVAと統合版って何が違うんだっけ？
[577.624] f_muramasa: マイクラこないだスパホ版300円だったからやってみたんだけど、何したら良いかわかんなくて触んなくなっちゃった
[614.058] 絵具: マイクラはヒントないからな
[631.296] (S)ンパールーパー: スマホは統合版しかないね
[631.504] f_muramasa: あれストーリーあったんだ...
[659.252] yaseig777: 今考えると、セカンドライフ系ゲームの走りみたいなもんだったなマイクラ
[666.925] f_muramasa: なるほどです
[697.904] f_muramasa: 一旦最終目標エンドラ討伐で頑張ってみます
[700.296] (S)ンパールーパー: 自動化した瞬間楽しすぎる
[733.110] (S)nakathao: PCでも統合版とJava版別れてますか？
[736.736] (S)竹原: 豆腐ハウス作りまくりたい
[738.214] yaseig777: えふやんさんのマイクラ動画とかめっさ見てたなぁ、懐かしい
[741.083] f_muramasa: んえぇ...
[751.718] f_muramasa: とんでもないですね
[789.589] 絵具: みんなで海底神殿の水抜きしたのはいい思い出だったわ
[832.416] __ひびき: これ全然勝てない
[839.318] f_muramasa: UKさんの鯖作られたらPC版インストールしてやります
[876.536] (S)竹原: 妖精と小悪魔でなんとかいけた
[893.275] (S)ンパールーパー: マジでやりたい、マイ蔵
[906.885] __ひびき: 小悪魔いないからなぁ…
[913.289] 絵具: そういやk4senさんの鯖で遊んでたな
[919.848] (S)ンパールーパー: MODくらいだよねお金かかるの
[932.847] yaseig777: 某我々だのマイクラ人狼とかも、コマンドネットに転がってるから視聴者とやるのも楽しそう
[971.994] f_muramasa: ここまで話してあれなんですけど、ARKモバイルはやってたんでゲーム内でやりたいことがあれば進みは良いと思うんですよね
[1012.839] f_muramasa: そうです
[1056.479] (S)ンパールーパー: 建築して、とかね
[1065.486] 絵具: 自動化にハマっちゃうとFactorioみたいなゲームにシフトしちゃうんよな
[1077.559] (S)sakuraisatorujp: あのサーバーまた見たい
[1080.879] (S)ンパールーパー: どこまでやったの？
[1082.211] yaseig777: UKさんで視聴者選りすぐってエンドラ討伐は確かに見たいなw昨日の凸者みたいなキャラ濃い人来たら面白そう
[1113.823] (S)ンパールーパー: めちゃくちゃでかい建築物みんなで作りたい
[1131.927] (S)イケザエライダ: なんかツイッチでマイクラのイベントあってスタンプもらった 
[1134.190] (S)nakathao: マイクラはしばらくやると殺し合いになる
[1138.089] yanagiiiiiiiiii_smaaaash: 弾き語り終えました！！たっっくさん失敗したけれどライブハウスの店長も褒めてくれて嬉しかったです！！すごくいい経験でした。
[1142.331] (S)ンパールーパー: 近くの人と喋れるMODとか入れたら面白そう
[1158.634] (S)竹原: SSSsssplode
[1184.480] yaseig777: 多人数でやるとそのうち家燃やし合うのはあるあるだった
[1190.194] (S)イケザエライダ: あとバッジ
[1195.563] (B)エフエムエル: SSSsss
[1203.715] (S)ンパールーパー: ハイプトレインとサブすく以外ない
[1211.144] 絵具: vioSPIN
[1211.631] (S)nakathao: あと寝落ちた人を倒して黒曜石で囲い散らかす
[1214.278] (S)ンパールーパー: BleedPurpleHD
[1223.679] (S)イケザエライダ: SSSsssplode
[1276.620] (S)イケザエライダ: つるはしかな
[1279.022] __ひびき: SSSsss￼ 
[1280.342] (S)ンパールーパー: ハードモードでやってると、最初にネザーはいる人決めるのに少し時間かかったりするｗみんな死にたくないから
[1304.434] (S)ンパールーパー: 耐火手に入れたら、マグマダイブしてたわ。
[1323.520] (S)イケザエライダ: マイクラ15周年らしい
[1342.489] (S)ンパールーパー: マイクラ、いま、アルマジロいるよね、確か
[1347.116] 絵具: 2600円じゃないっけ今
[1374.039] f_muramasa: スマホ版300円だったのも15周年のセールででした
[1387.967] 絵具: 定価5000で今半額
[1394.198] 絵具: 周年だから
[1394.469] (S)ンパールーパー: バージョンが1.20か1.21だと思う確か
[1410.727] yaseig777: 15周年かぁ、意外とまだそんな経ってなかったんだなぁ
[1417.739] __ひびき: ローモバの賞金で鯖借りよう
[1442.459] おふろあがり: こんばんはー！
[1455.024] (S)ンパールーパー: ネザライト装備作りにくくなったの、きつい。
[1480.215] (S)ンパールーパー: そそ
[1511.649] 絵具: あのゴミアプデはビル・ゲイツが酔っ払って追加したらしい
[1534.443] (S)ンパールーパー: ネザライトだけ仕様戻してほしい
[1538.066] yaseig777: ゴミアプデは草
[1549.480] (S)ンパールーパー: エンチャント本棚は神アプデ
[1560.881] 絵具: ウォーデンも倒しても旨味ないし
[1576.500] 絵具: あーエンチャ本もなえるわ
[1591.519] (S)ンパールーパー: あー
[1594.846] yaseig777: へーそんなアプデあったんだ
[1617.764] 絵具: それをなかったことにするMODとか出そうｗ
[1619.813] (S)ンパールーパー: そこら辺からやってないからわかんないや
[1639.605] (M)えっっっくす: 100人で月1.5万円くらいが相場っぽいです
[1660.943] (S)ンパールーパー: 砂岩から欠片掘れるようになるアプデぐらいからしてない
[1693.670] yaseig777: 100人で月1.5万は案外安いのか…？相場がわからんw
[1703.514] (S)こよ111: こんばんはー
[1708.728] (S)ンパールーパー: ブラシかな、発掘系のアイテム増えたとき
[1722.021] 絵具: 100人って相当重いと思うけど
[1724.975] (S)入浴: 治療所解体して、荘園建てましょ！
[1729.183] (S)竹原: 借りるサーバーによりそう
[1761.348] 絵具: みんなで一斉にチャンク読み始めたら一発で落ちると思う
[1800.381] (S)ンパールーパー: かせんさんはあの鯖どうしてたんだっけ？
[1827.210] yaseig777: 流石やなカセンニキ
[1833.463] 絵具: プログラムできるならAWSとかで立てるのもいいと思う
[1847.368] (S)竹原: それでもかなり重かったり落ちたりしてましたね
[1856.300] (S)ンパールーパー: それでも、少しきつかったのか
[1870.665] yaseig777: 建築増えて発展すると尚更重いからなぁ
[1899.694] (S)ンパールーパー: バニラならかせん鯖の時よりかるくなんのかな
[1908.761] (S)nakathao: 100人サーバーって正味100人入れないですもんね
[1960.368] yaseig777: 軽量化MODとかもあるからその辺は案外なんとかなるんかな
[1970.874] (S)ンパールーパー: YouTubeとかでみるガチガチの作業厨の鯖ってどうなってんだろ
[2000.574] (S)ンパールーパー: 三桁チャンク自動で掘ってても落ちてない鯖とか見るし…
[2023.612] 絵具: ちょいムズだけどDynmapみたいなWebで神様視点でどこにどんな建物があるかわかるプラグインとかおすすめ
[2085.743] 絵具: そうそう、イメージグーグル・アース
[2112.851] (S)ンパールーパー: 鯖結構楽しそうだな
[2122.312] (S)ンパールーパー: 考えてるだけで今楽しいｗ
[2124.431] yaseig777: クリーパーに爆殺されるUKがみてぇなぁ
[2166.783] (S)ygarshy: 4時〆切の仕事の追い込み中で吐きそうです！ちょっと配信見れて元気出た。ty
[2178.644] (S)こよ111: 布団ちゃんはマックス200人くらいいる鯖で１３万くらい払ってたって言ってた気がする
[2193.755] (S)イケザエライダ: fmlchShake
[2202.601] (S)ンパールーパー: 頑張って、爆破されるように巻き込むわ
[2244.680] (S)ンパールーパー: 大手Ｖの人たちが使う鯖って結構高級なのかな
[2258.391] (S)こよ111: それでも布団ちゃんとは別でサーバーを定期的に再起動してくれたりする人を用意してやっとみたいな感じでした
[2286.223] (S)ンパールーパー: スタッフ必須かぁ
[2301.998] (S)ンパールーパー: 鯖立てるためにクラファン
[2302.581] yaseig777: 長期でそれこそ一月とかやるならそうなるんやろうなぁ
[2311.478] (S)ygarshy: ありがとうございます。UKさんも明日からの遠征頑張って下さい。仕事戻ります。
[2326.237] 絵具: こんな感じっすねDynmap https://survival.dekitateserver.com/
[2330.687] (S)こよ111: あの化け物は半年やってましたね
[2339.571] yaseig777: 化け物は草
[2358.141] (S)ンパールーパー: スタッフ血反吐吐いてるよｗ
[2373.607] yaseig777: 流石はプンレクの王
[2386.541] (S)ンパールーパー: 鯖の名前はＵＫ鯖？
[2399.204] kai_yukihiko: バトル飛ばさない派？
[2433.115] (S)こよ111: 唯一プンレクを捨てない男
[2437.413] (S)ンパールーパー: 布団ちゃんってプンレクなのか
[2442.081] (S)イケザエライダ: arkだけどVCRの鯖が1日300万とかあったな
[2467.658] (S)こよ111: えっぐ
[2473.762] (S)ンパールーパー: もこ先はどこに生息してるの？
[2488.129] yaseig777: 布団ちゃんがプンレクにいるおかげでハイゲがタダで見れるんだから感謝すべ
[2490.214] (S)こよ111: もこ先は未だニコ生
[2517.675] 絵具: たまにTwitchに来ては覚醒してる
[2535.914] (S)ンパールーパー: ツイッチは覚醒の場なのかｗ
[2544.915] scarf_gardevoir: もこ先はニコ生で公開動画収録してる
[2547.123] (S)こよ111: もこ先のコメ欄荒れすぎてて酷い
[2568.418] (S)ンパールーパー: エペの大会か何かをツイッチでしてたのは知ってる
[2569.877] (S)イケザエライダ: valoだけTwitchにしに来るVTuberみたいな感じか
[2572.992] yaseig777: もこ先と暗黒の2大コメスラム
[2592.823] 絵具: そう、ニコ生で動画用のテンションをすることを「ツベテン」、切り抜き用のテンションをすることを「切りテン」って言われてるｗ
[2616.449] (S)ンパールーパー: ｗ
[2637.193] (S)こよ111: 切り抜かれるところ明らかにテンション上がってるからおもろい
[2638.015] (S)ンパールーパー: かるびちゃんとか常にツイッチいるイメージある。
[2675.335] 絵具: おえちゃん、もこうと普通に絡めるのすごいわ
[2715.837] (S)こよ111: そういえばうんこちゃんのPK見ました？？
[2729.256] (S)ンパールーパー: VCの関係でやりやすいとか、なんかな？
[2738.350] ke_shu_: ヴァロ配信って趣味みたいなもんだからツイッチでやるんじゃない？
[2747.121] yaseig777: wwww
[2749.285] (S)イケザエライダ: 笑顔のおっさん
[2761.365] (S)ンパールーパー: Vの子たちのソロヴぁロってあんま見ない気がする
[2768.111] (S)tsushima_t: こんばんは、僕も研究迷ってます
[2772.049] (S)イケザエライダ: w
[2805.072] (S)こよ111: ツイッチにバロを見る層が多いとかかな？
[2805.265] kai_yukihiko: 軍事は上げれるのないの？
[2810.628] (S)イケザエライダ: りりむもソロでやってるイメージ
[2841.814] (S)ンパールーパー: LOLかぁ
[2860.291] 絵具: 日本鯖ができたシーズン6あたりは盛り上がってたと思うで
[2861.147] yaseig777: まぁ配信やるのもみるのもTwitchが利便性高いって話な気もする、収益もYouTubeより出るしw
[2862.082] (S)tsushima_t: そんな時間かかるようになるんですね
[2882.177] (S)ンパールーパー: スト６とかもここの方が多い気がする
[2907.279] (S)ンパールーパー: ヴァロって他のゲームより少し重い？
[2912.712] ke_shu_: メンバーシップとかYouTubeでやってるからじゃない？
[2914.489] yaseig777: wwww
[2919.199] (S)まーーごめ: UKさんの人生初ゲームって何ですか､遍歴的な
[2921.251] (S)イケザエライダ: 私は遊びってこと！？
[2939.170] (S)ンパールーパー: 弄ばれてたのか、自分たち
[2956.572] kazuk_jpn: やあuk
[2966.917] (S)イケザエライダ: ツイッチのサブ限ってはじめの何分か見れるんやっけか
[2975.029] (S)ンパールーパー: 咳めっちゃ長引いてるね…
[2975.285] kai_yukihiko: ながいごう
[2983.488] yaseig777: YouTubeの利用者数はTwitchと比べたら流石にバケモンやからなぁ…コンテンツの入り口として偉大すぎる
[3002.007] kai_yukihiko: 一回ここで見たけどカオスだったな
[3016.660] (S)ンパールーパー: プロゲーマーとかツイッチのイメージある、ようつべより
[3041.607] yaseig777: 全然わからんw
[3050.860] (S)tsushima_t: 全然わからないですw
[3055.499] (S)ンパールーパー: スーパーマリオのぱくりもん？
[3064.081] (S)こよ111: わかんない(;o;¥
[3099.360] (S)ンパールーパー: みよみよ
[3104.068] (S)ンパールーパー: めちゃくちゃ気になる
[3151.923] kai_yukihiko: 女神転生系は？
[3159.035] (S)tsushima_t: ゴールデンアイなつかしい
[3190.598] (S)ンパールーパー: ポケモンしたことない…
[3197.466] (S)イケザエライダ: 赤or緑
[3203.396] 絵具: モンファみたい
[3204.016] ke_shu_: やったことあるわ
[3206.380] yaseig777: モンスターレースwRTAでみたなw
[3210.029] (S)こよ111: ほえー
[3244.647] yaseig777: ドリキャス系は触ってないかんじか、シーマンとか
[3258.550] (S)ンパールーパー: シーマンは実況で見たことある
[3281.878] (S)tsushima_t: 召喚？みたいなやつですよね
[3286.738] (S)イケザエライダ: 今も遊戯王のゲームってあるんかな
[3333.581] (S)ンパールーパー: カードゲームほぼ知らないんだけど。デュエマと遊戯王は別物？
[3333.851] yaseig777: ↑↑↓↓←→←→BAではなくかw
[3363.175] (S)こよ111: 昔のゲームのそういう裏技のワクワク感異常
[3391.315] (S)tsushima_t: 上下B下下上プラスB B、って出てきました
[3413.846] yaseig777: すげぇなw
[3440.116] yaseig777: タクリミノスw
[3491.653] (S)ンパールーパー: 懐かしいゲーム見たい。マイクラ以外、メジャーなゲームしっかりしたことないから
[3494.617] (S)こよ111: ゆうていみやおうきむこうほりいゆうじとりやまあきらぺぺぺぺもみんな言えますよね
[3501.539] (S)まーーごめ: スト2のためにスーファミ買って個人的に古ゲーブームきてるんでお話聞けて嬉しいです(;o;)
[3530.492] (S)こよ111: ドラクエ3のふっかつのじゅもんです！
[3531.491] yaseig777: ぺぺぺぺは銀魂で知ったなぁ、このパスワードw
[3540.011] kai_yukihiko: ドラクエワンの復活の呪文ね
[3548.455] (S)こよ111: 1だったか
[3560.442] (S)tsushima_t: 3やってたのになんのこっちゃわかりません、、
[3571.359] (S)tsushima_t: 1か
[3582.825] (S)ンパールーパー: マリオとか全クリしたことないや
[3587.204] (S)ンパールーパー: ゲーム下手過ぎてｗ
[3635.595] 絵具: おおバイオ3いいよな。リメイクだと時計塔消されてて泣いたわ
[3640.312] kai_yukihiko: あったなー
[3640.459] (S)tsushima_t: ありましたね
[3641.190] yaseig777: あったねぇ
[3645.446] (S)こよ111: 俺お父さんと一緒にやってた龍が如く2が初ゲームでした
[3647.363] (S)ンパールーパー: プレステ触ったことない；；
[3725.064] tom9566: 9派
[3727.609] (S)ンパールーパー: みんながやってるってゲーム知らなさ過ぎて呪文に聞こえてきたｗ
[3745.870] yaseig777: PS2はキンハー2が神ゲーすぎたなぁ
[3763.655] kai_yukihiko: ぱらっぱ
[3766.400] (S)イケザエライダ: パラッパラッパー
[3790.443] (S)ンパールーパー: ビーリアル！？
[3795.410] ~MISSING_COMMENTER_INFO~: やあ
[3799.853] yaseig777: 話しかけるんだよなw
[3806.049] kai_yukihiko: ときめも忘れてないか？
[3809.183] 絵具: GTAはやらんかったんか？
[3809.455] (S)tsushima_t: あれ気持ち悪すぎて無理でした
[3822.147] (S)こよ111: か
[3828.528] (S)ンパールーパー: 蚊？
[3842.989] (S)ンパールーパー: あーーーyoutubeでみた！！
[3844.899] (S)tsushima_t: 懐かしい笑
[3845.426] f_muramasa: 知ってるそれ実況者がやっててクソ笑った
[3875.502] yaseig777: スーパーギャルデリックアワーはやりました？
[3876.292] (S)こよ111: 蚊2 レッツゴーハワイっていう続編があるらしい
[3888.106] ~MISSING_COMMENTER_INFO~: PRを雑談枠にしていいのか？ww
[3907.050] (S)イケザエライダ: PS2だと無難にグランツーリスモやってたな
[3927.935] (S)ンパールーパー: プレステ、やってみたいな
[3940.403] (S)tsushima_t: がんばってます
[3956.421] __ひびき: 上位層が厚すぎて全然追いつけない
[3962.972] yaseig777: 薄型PS2とかいう伝説のハード
[3970.743] (S)hkmdhkmd: ラストスパート頑張ります🔥
[3970.968] kai_yukihiko: 抜かないでね
[3990.442] (S)こよ111: もう今どこでも5買えるから買ってみよう。合わなかったら売ろう @tuihaichan
[3990.790] yaseig777: がんばえ〜！
[3996.292] (S)tsushima_t: すごすぎる
[3997.383] f_muramasa: 何この桁笑笑
[4059.876] __ひびき: ローモバ配信してるVチューバーの人が、1ヶ月で1億いくには10万くらい課金要るって言ってて怖かった
[4100.426] (S)ンパールーパー: @こよ111 やってみる：：やりたいゲームいっぱいあるし
[4103.319] yaseig777: こよさんw
[4109.606] johndoe_alt7: wwww
[4112.198] (M)えっっっくす: wwww
[4116.901] oudon: こよさんさぼってるww
[4118.470] (S)こよ111: 最初頑張ってたんですけど、ちょっとサボったら追いつけなくなりました…
[4119.069] f_muramasa: wwwww
[4126.548] (S)tsushima_t: きびしい
[4130.063] __ひびき: 監督ー！こよさん全然ログインしてないでーす！
[4153.947] (S)こよ111: 入ってます！！！
[4175.500] (S)ンパールーパー: ローモバ入れてないや。。。まだ
[4207.360] yaseig777: 優勝祈願だけしときやす
[4234.592] (M)えっっっくす: 15/19→20/24→25がポイント跳ね上がる
[4238.526] kai_yukihiko: 頼むから、ランキングUKの上にいさせてくれ！
[4245.181] (S)まーーごめ: ずっと気になってたんだけどFMLってfck my life？
[4271.130] __ひびき: UKさん追い抜きたかった；；
[4277.993] oudon: 5位ボーダーどこまで上がるか怖い
[4296.014] (M)えっっっくす: 優勝したい
[4343.867] (S)ンパールーパー: 十億！？
[4368.525] kai_yukihiko: 俺は正直ここでストップよ、お年玉に手出さないかぎりはね…
[4379.687] (S)ンパールーパー: お年玉ｗｗｗｗ
[4387.062] (M)えっっっくす: 「歯車マーク→右上のランキング→ギルド別パワー」で見るのが早いです
[4431.049] johndoe_alt7: 強すぎる笑笑
[4433.462] yaseig777: wwwww
[4439.607] (S)ンパールーパー: ｗｗｗ
[4441.637] (S)tsushima_t: ぇぇ
[4443.718] (S)こよ111: wwwwww
[4444.163] yaseig777: バケモンで草
[4444.536] oudon: ww
[4447.540] __ひびき: そら勧誘くるわwwww
[4470.081] (M)えっっっくす: その下のページの1番上クリックするとギルド別総パワー見られます
[4513.092] yaseig777: つんよ
[4513.315] __ひびき: 4位じゃん
[4525.537] johndoe_alt7: NVT今弱いな
[4532.934] __ひびき: 今はNVTより上にいるんだ
[4536.772] (S)ンパールーパー: 王越えた？
[4544.025] (M)えっっっくす: NVT強い人たちみんな移住したからですね、、、
[4596.575] (M)えっっっくす: aoitoriさんが貯めててぶっ放したら全然埋まる差ですね、、、
[4805.244] yaseig777: ！？
[4808.858] (M)えっっっくす: 16万ジェムだw
[4816.506] __ひびき: げぇ
[4851.419] johndoe_alt7: 15Mぐらいパワー上がるかもね
[4857.731] kai_yukihiko: ブッパの前に10 ％アップとかのアイテム使った方がよいのでは？
[4879.236] (M)えっっっくす: ゆーて最大でも2,200万パワーくらいですね。16万ジェム
[4921.246] __ひびき: それ系のアイテムめっちゃ余らせちゃいましたw
[5080.548] yaseig777: めっちゃスピードアップアイテム増えて草
[5103.541] (M)えっっっくす: アーティファクトの強化もお忘れなく…！
[5139.080] (M)えっっっくす: 左上で
[5158.634] (M)えっっっくす: 訓練ブーストとか建築ブーストとかつくやつやると良きです
[5194.188] (M)えっっっくす: マーケットって宝箱開けられますか？もしコイン余っていれば！
[5253.331] takashi__takashi: 優勝したら何か貰えるの？
[5411.419] (M)えっっっくす: 蛍光ペン欲しくなってくるな…？笑
[5415.466] (M)えっっっくす: 真っ暗闇です
[5490.181] (S)ンパールーパー: 今ので、アル中カラカラ思い出した
[5491.429] (M)えっっっくす: 自分でやってるとこんなに伸ばすの大変だから勝てるだろうって思うけど、他チームの伸び見るとめっちゃ不安になるの連続
[5557.429] (M)えっっっくす: 召喚獣意味分からんすぎるからネグレクトしてます
[5558.904] __ひびき: まじ無理
[5560.532] johndoe_alt7: 召喚中コスパ悪すぎ笑笑
[5601.361] oudon: 精製スピードアップが出るようになってむしろ邪魔まである
[5892.242] (M)えっっっくす: 与ダメが低いと得られるアイテム渋いです…
[5999.018] (S)tsushima_t: UKさん配信機材はインターフェースからOBSとかに直ですか
[6035.811] (S)tsushima_t: ありがとうございます！
[6077.390] yasudatada: こんばんは！
[6184.546] (M)えっっっくす: 魔獣討伐ダメージアップがあればそれ使うと良いかもです
[6253.859] __ひびき: なんとなく外の方がドロップいいような気がしてる
[6280.829] 絵具: 私事ですが先日、試験に受かってキャリア官僚になれる資格を手に入れました。年末にUKからもらったカポと弦のご利益かも
[6286.209] nagi3141: こんばんはー！
[6295.823] nagi3141: ローモバ懐かしい！
[6342.278] nagi3141: 元カノとやってて良い思い出では無いですが笑
[6365.521] yasudatada: ポイント引き換えで切れた弦とか欲しいな
[6370.932] (M)えっっっくす: えっっっくす gifted a Tier 1 sub to 絵具! They have given 81 Gift Subs in the channel! 
[6390.372] (S)絵具: サブスクありがとう
[6404.180] (S)nakathao: そういえば元カノとマイクラやってたな、、、
[6414.659] nagi3141: でも面白いですよねー！
[6448.247] __ひびき: 今39万ポイントまできた ギター弾いてもらうまでもう少し
[6448.902] (S)ンパールーパー: ukさんもそういう元カノとやってみたみたいなゲームある？
[6537.330] nagi3141: lolを元カノとやるとかかなり良いですね
[6573.930] (S)ンパールーパー: lol、配信で見るけどルールいまいちわかってないｗ
[6593.971] nagi3141: lolやってる人と付き合いたいです
[6615.355] kai_yukihiko: やめてて
[6616.812] (S)ンパールーパー: かいさん泣いちゃう
[6627.282] __ひびき: お年玉があぶない
[6656.688] (S)ンパールーパー: 懐かしいゲーム見よ
[6679.686] piyohiko893: お仕事終了ですか？
[6691.811] (S)ンパールーパー: 明日一元なのに気づいたら三時じゃんｗ
[6696.509] nagi3141: コアなゲームやってる彼女とか最高じゃないですか！笑
[6746.191] (S)ンパールーパー: 二時間通学が待ってる…
[6785.634] (S)nakathao: BGMレトロすぎて涙出てくる
[6848.860] kai_yukihiko: これやったことあるな
[6863.584] (S)ンパールーパー: こんなのあるんだ…
[6867.177] (S)こよ111: 普通に面白そう
[6873.445] (S)ンパールーパー: これは強敵？
[6913.053] (S)nakathao: ギター持ってるってことはほぼUKさんか
[6921.654] (S)ンパールーパー: 距離感掴むの難そう…
[6964.563] (S)ンパールーパー: 足場こわw
[6992.974] (S)ンパールーパー: これ、あしばから落ちたら死ぬよね？
[7050.556] (S)ンパールーパー: この世代(？)のゲームって全クリ結構むずかった？
[7104.898] (S)ンパールーパー: すげ
[7118.993] (S)uta_0929_: 風来のシレンとかも好き？
[7122.746] (S)nakathao: 飛龍の卵万能だな
[7137.909] (S)ンパールーパー: この卵無限に使えるの？
[7178.457] (S)絵具: 俺からはこれを推します「ソロモンの鍵」 https://youtu.be/mMtNKxd75fw
[7179.309] (S)ンパールーパー: あ、回数書いてあったw
[7209.521] (S)ンパールーパー: この鬼…ドラム叩くぞ…
[7227.633] kai_yukihiko: この世代のゲームクリアする1番のハードルはお母さんなんだよな
[7252.664] (S)ンパールーパー: もしかして、セーブがない？
[7275.165] (S)nakathao: 音量の瀬戸際を攻めるの今考えると楽しかった
[7281.314] (S)ンパールーパー: それは、お母さんがラスボスだ
[7370.223] (S)絵具: 耳が4つある
[7383.178] (S)ンパールーパー: 髪型すんげぇ
[7393.716] (S)ンパールーパー: XJAPANより鋭利じゃん
[7403.728] (S)まーーごめ: うわこれ兄貴のパクってやったことあるw
[7404.442] kai_yukihiko: インセクターはが懐かし
[7430.814] (S)ンパールーパー: まだ生まれてない…発売日
[7501.091] (S)ンパールーパー: 3DSのぷよテトも全キャラ解放コマンドあった
[7513.195] (S)nakathao: 昔のゲームはバグ多くて楽しかった
[7565.279] (S)ンパールーパー: ファミコンかなにかのヨッシーアイランド(？)で画面酔いしたの思い出した
[7590.692] (S)ンパールーパー: 楽しそう
[7592.464] (S)こよ111: ！？
[7603.284] kai_yukihiko: この前の胸尻論争見てて遊戯王みたいだなと思った。お互いトラップカード駆使してる感じだった。
[7621.180] (S)ンパールーパー: ポケモンのパクリみたいなゲームだっけ？
[7631.310] (S)ンパールーパー: もんすたあ、ってなんか可愛い
[7664.106] (S)ンパールーパー: 競馬だぁ✨️
[7700.668] (S)ンパールーパー: UKさんの、推しもんすたあ、いるの？
[7786.471] (S)ンパールーパー: あと…PS2系統？
[7826.087] (S)ンパールーパー: 初めて聞いた
[7843.492] (S)こよ111: ほえー
[7851.317] kai_yukihiko: 全く聞いたこともない
[7866.187] oudon: やったことある！
[7876.074] (S)まーーごめ: ドリキャス?でしたことある気がする
[7881.394] (S)ンパールーパー: 結構頭使う系？
[7908.067] (S)ンパールーパー: パズルゲーと頭脳系好きな自分ハマりそ
[7940.327] (S)ンパールーパー: 恐竜にさとし、とか名前ついてた
[7975.866] kai_yukihiko: MOROHAの歌詞みたいなこと言ってたな
[7998.978] (S)ンパールーパー: 運潰せる感じの好き
[8038.055] (S)ンパールーパー: 白色が平地？
[8082.966] (S)ンパールーパー: あ〜、
[8091.092] (S)ンパールーパー: お金払うか戦えってことか…
[8127.891] (S)ンパールーパー: 陣取りゲーム要素もあるのか
[8156.253] kai_yukihiko: モノポリーっぽいな
[8162.391] (S)ンパールーパー: 面白そ
[8196.795] (S)こよ111: なるほど
[8219.479] (S)ンパールーパー: ちなみに、戦って負けたら通れないの？
[8245.486] yochibi2525: なにしたら勝ちなん？
[8302.781] (S)ンパールーパー: 1人目標達成したら、勝ち？
[8303.360] (S)こよ111: 桃鉄みたい
[8341.854] (S)ンパールーパー: 楽しそう
[8359.865] (S)ンパールーパー: 全国!?
[8371.027] (S)ンパールーパー: これ、UKさんやってた方？
