[13.659] 02zegu: ブブ
[126.674] ふかしいもん: 馬車に乗せてくれるNPC
[126.828] ビフィダス: 魔物だらけだ
[126.862] (S)のら村長: sekiHand
[127.749] (S)Kojirou5260: イベントキャラだった
[128.359] GakaKoh: 防具屋かな
[128.405] さっぽさんぽ: 焼肉ハウス ＯＫ牧場
[128.617] neon_d99: 荷馬車
[128.682] デストロイヤー連: NPCマジで笑う
[129.315] 閃光の: ずっと考えてたんやろうな
[129.984] (S)まとご: 田子町のニンニクか
[130.708] iwaisi: 面白いｗ
[131.312] ame512: あと2日できるのか
[131.523] ima_son: 最初の犠牲者
[132.281] バチ0628: 乗ったら最後だぞ
[132.699] (S)pos888: だんだん完成度あがってきてる
[133.134] (S)泣き虫サクラ: ウメハラ既に興味なし
[133.349] 記入漏れ: 馬車所有してる村人おる
[133.579] (S)ｾﾀﾒﾝ: とって食われるぞ
[135.111] (S)憂う者の弟子: ナイストライ
[135.229] (S)tilia211: ネタ切れか～
[136.070] ビフィダス: ここから山道？
[136.158] nail06k: LUL
[136.549] ddsato316: がんばった
[137.064] chukasoba: もっかい来たら殺されてるタイプの村人
[137.158] Natsuri_k: 乗ると何かに襲撃されるイベント
[137.331] kitori_17: 労わないでｗ
[137.822] soda000: このあとこの人亡くなったんだよね・・・
[138.306] taroumaruh: 道中モンスターに襲われてしんじゃう 
[138.353] ~MISSING_COMMENTER_INFO~: トンパさぁ
[138.911] mahiro_8: 話しかけてよかったです
[139.625] herumann: たぶん盗賊に襲われる
[141.142] mifune1046: ありがとー
[142.716] mangoarmy009: ヨシヒコ感あるな
[143.124] banjo_03: 道中殺されちゃうやつ
[143.573] 母の日ですお母さんに: 杖は装備しないと意味がないぞ
[144.539] erukima: ナイストライ
[145.415] (S)lljp: ヨシヒコのオファー待ってます
[146.028] てつのすけ_: これがユーモアかあ
[147.398] あまる_333: 山奥に連れてかれる
[147.875] lun__01: 宿屋ビジョン
[148.375] (S)shinobuchan4649: これ罠だからな
[148.892] chin_56_: おいおいもうネタ切れかい？
[150.646] (S)LGA2011: 最後は道端に横たわっててくれ
[152.607] ふかしいもん: 魔物か盗賊に襲われるイベントわかる
[153.729] tachibana29: ありがとう、バイオの武器やみたいな人
[154.404] (S)machakyuro: 家に泊めて包丁研いでるタイプのやつｗ
[156.226] ごまさんです: もう飽きてる
[156.747] (S)成吉大: なかまをおいて一人で逃げて一人だけ魔物に襲われる奴
[157.832] momiji4431: ｗｗｗ
[158.078] (S)kkshkk: 脚本書いとけ～
[159.363] お灸: NPC同じグラ使いまわしてるな
[159.604] syagami: 厳しい審査
[161.073] neon_d99: しゃーないｗ
[163.885] balthazar000: ユーモア試されてる
[168.369] ddb365: バラさないでｗ
[168.605] yoshikawa_yo: 魔物の話ずっとするねw
[168.627] (S)ｾﾀﾒﾝ: でも待ってしまっている、くやしい
[170.311] (S)pos888: 序盤に助けてくれるNPC
[171.370] neon_d99: 王の査定
[171.628] low_single: 視聴者から寝た提供してもらおう
[174.728] buri_0811: 開発費が足りない
[178.953] レクター泣かせ: コンビニありがたいね
[181.626] blackmark2: 山賊から身を挺して【先に進むのだ…】とか言って死ぬNPC
[184.097] ふかしいもん: このゲーム村人のグラが1種類しかないんだが
[185.458] soda000: 飽きても俺は見てえよ
[185.735] tsurupikahagemaru_kun: トイレとかね
[187.598] アンインストール: 目標決めて大勢だからええけど、一人で数時間歩くと飽きるからなー
[193.780] 原子力塩太郎: 700円の冷麺一本だよ
[195.230] (S)uwamonq: クロちゃん式
[196.244] nikorinko: 盛岡冷麺
[196.845] largsrn: 嘘の松
[197.953] ハイバラ: 嘘松
[199.061] (S)machakyuro: 焼肉屋で冷麺食べたの？
[205.913] erukima: 大松
[205.935] (S)lljp: 冷麺の写真だけとってきた
[206.234] ima_son: 嘘松は燃えるぞ
[206.854] mifune1046: いや～さすがに？
[207.242] chin_56_: 人狼か？
[207.928] Kenken725: 写真は冷麺だけ
[208.024] Mrk111: 岩手の人は焼肉屋で冷麺だけ食べる
[208.919] weeep1: ずっる
[209.032] 閃光の: なんだ嘘松かよ
[209.066] ddb365: ｗｗｗ
[209.864] iwaisi: ｗｗ
[212.274] neon_d99: 人狼
[212.538] aranami0: ｗｗｗ
[214.072] ごまさんです: クロちゃん
[214.612] mahiro_8: めっちゃ疑うw
[215.305] tabibitox: あっ
[216.394] (S)もこ69: 冷麺700円
[216.975] (S)uwamonq: へえ・・・・・
[217.261] (S)闘劇のアルベルト: へー
[217.563] balthazar000: 10万どう使い切ろうか
[217.696] kusowarota: 裏では肉食ってんだろぉ！？
[219.530] umesecond: ほんまか？
[219.677] (S)machakyuro: へぇ
[219.889] (S)ぬこごぼう: へぇ
[220.082] (S)pos888: とじょうカルビ？
[220.219] (S)hone253: 疑いの目www
[220.716] momiji4431: 怪しい
[220.994] tsurupikahagemaru_kun: 肉は隠したか
[220.999] 猫神寝猫: 嘘はついてない！
[221.097] chachachakoma: へぇ～
[221.228] teruharu_: 美味しいやつね
[221.358] _ピート_: ふーん
[221.495] aranami0: へー・・・
[221.509] ddb365: バレてらー
[221.810] さっぽさんぽ: そこに焼肉ハウスOK牧場あるけどｗ
[222.423] akaao123: そのお金は？
[222.649] mememe10: へへへ
[222.914] kitori_17: へえ.....
[223.239] ビフィダス: なんで松ってつくの
[223.281] sarah_0519: へー
[223.406] 4jou_half: へ～？
[223.526] Phenomer: ｗｗｗ
[225.012] mahiro_8: へぇー
[226.239] (S)uwamonq: 10700円ｗ
[227.111] だいこん_: ふーん
[229.666] mifune1046: レシートも別々にしてそう
[232.111] GelidiumJellyCat: umeSalute
[232.181] hairi0610: がんばえー
[232.200] sora_neko09: 領収証は？
[233.255] (S)ys120: 黒い鳩たち
[236.107] (S)machakyuro: 買い物しておいで
[236.463] (S)yukke85: 笑いが更に疑いを誘うｗ
[236.681] largsrn: ほんとかなあ
[236.685] daruma2597: 領収書切ってもらったかな？
[237.399] (S)れく太: おそ松界隈由来
[237.424] moscat0c7: 使い込み疑惑ｗ
[238.896] ca2ca2: OK牧場微妙やぞ
[239.452] neon_d99: 嘘つくやつがおそ松さんのアイコンしてたから
[239.613] ごまさんです: おそ松さんアイコンだから
[242.216] spring__thief: おそ松さんかなんかだよね
[243.491] (S)junjamaica: うめちゃん出発前より痩せたな
[243.769] (S)成吉大: おそ松さんの関係だったような
[245.171] アンインストール: 推しチーズやたら見かけるな
[245.325] minaro331: おそ松さん
[245.446] (S)hone253: おそ松さんから松が来た
[245.667] ビフィダス: ありがとう！
[249.040] (S)ｾﾀﾒﾝ: 何しても疑われるｗｗ
[249.707] (S)uwamonq: レシート芸が細かい
[250.472] low_single: 思ったより順調
[251.744] kaifu_08: コンビニって本当にどこにでもあるな
[252.628] wonderhit1: そしてKSKは寝る
[254.398] (S)machakyuro: カメラ車内置いてきていいよ
[255.614] dcdryuya404: 嘘松さん！？
[257.354] flashbacks18: いいキャラしてるなぁw
[257.810] roi3s: いつもローソンだね
[258.066] emonga000: おそ松さんファンが嘘ツイしてたのが起源
[267.467] ima_son: 「えっ、待って」から始まる
[278.437] Mrk111: もうちょいいくとファミマもあるっぽい
[281.042] みんら: 電車で全員が拍手するやつね
[283.154] (S)yukke85: 拍手喝采で締める
[283.315] (S)machakyuro: おそ松さんのファンてｗ
[286.099] tsurupikahagemaru_kun: 東北はローソン多いんだよね
[289.824] spring__thief: ハイエースでバックで駐車してたら後ろ開けにくくないか
[290.097] mifune1046: コンビニがこの世にあって良かった
[297.271] (S)kkshkk: えいたは片付けろ!
[300.914] ca2ca2: なぜならローソンしかないから
[302.046] (S)machakyuro: 確かにローソンばっかりだな休憩
[312.173] Mrk111: ローソンpresents
[313.738] アンインストール: セイコーマートは東北では流行らなかったのか
[314.593] スクルドちゃん: 謎の外国人も登場させろ
[317.057] ebifuryai: 北海道編だったらずっとセコマだった
[317.173] mifune1046: 地域によってコンビニの種類偏りありますよね
[317.748] nosveral: 素晴らしいクリーニング
[318.721] neon_d99: むしろセブンあるの？
[319.847] 原子力塩太郎: あとで掃除したら、えいたがなくしたもの大量に出てきそう
[320.746] daruma2597: ローソンは地方の雄
[321.016] emonga000: 田舎はローソン
[324.475] ~MISSING_COMMENTER_INFO~: 序盤はファミマばっかりだったよね
[324.976] lun__01: 岩手はローソンしかないのあ？
[325.466] (S)泣き虫サクラ: 掃除してる時に出てきたら全部ｋｓｋの物か
[326.713] ima_son: 県によって強いコンビニ違うからね
[327.576] chin_56_: ロー村
[328.130] mahiro_8: 北東北だけかな
[329.021] thunderbolt0422: ローソンのシマ
[329.494] kaworuko19: 地域によって強いコンビニってあるよね
[330.098] 母の日ですお母さんに: ローソンに牛耳られてる
[330.285] neon_d99: セブンは平気で田舎を切り捨てるからな
[337.945] ca2ca2: セブンは岩手少ないのよ
[338.927] 4jou_half: KSKに20ドル払って綺麗にしてもらおう
[339.024] yonayona04: ファミマは街のイメージ
[340.078] 13th_arcadia: ローソン一号店て大阪じゃなかったっけ
[341.455] あさつき教: 地域によって強弱がある
[341.924] rokusuke96: 岩手はセブンの出店遅かったからね
[342.833] Mrk111: 北東北はセブンできたの遅かったから
[344.505] kaifu_08: セブンは進出遅かったよな
[347.176] こがや: セブンができたときに開店に行列した秋田の話はやめていただいて
[348.263] mifune1046: ローソンはおにぎり「だけ」美味いよ！
[351.971] mahiro_8: 宮城とか福島はセブンだらけ
[361.481] (S)kireboshibasyato: セブンは島根とか1件くらいしかないとか
[362.205] lambdaw2of: チェックポイントあと何個なの？
[362.293] アンインストール: セブンは都会ではセブンの側に直営店おく畜生
[362.624] 猫神寝猫: コンビニに行列は凄いなぁw
[364.133] 母の日ですお母さんに: ピザラジ！？
[366.505] caltropman: ーロソン
[370.538] yamanashi_sp: ローソンは新米の確保に命かけてるから
[372.827] (S)闘劇のアルベルト: からあげくんうまいやろ
[374.098] kaifu_08: 青森もセブン初出店で行列できたんだよなあ・・・
[374.138] largsrn: セブンは何もしてくれない
[376.306] Mrk111: 岩手のコンビニといえばキャメルマート
[377.783] ddb365: 弘前もセブンできたの５～６年前だった記憶
[378.975] balthazar000: そんなもん、、、？
[385.823] neon_d99: ローソンとファミマが地方では強いよね
[387.410] GelidiumJellyCat: うまそう
[389.211] porcupinepine: ｿｳｽﾈ
[393.422] tsurupikahagemaru_kun: 地方都市近くだとセブンある感じかな
[395.176] weeep1: 超えてきたぁーーー！！
[395.682] usa451: 超えてきたー！
[395.693] tabibitox: コンビニは昔は流通輸送の関係でデパートとセットだったから分布が偏ってる
[401.636] 閃光の: セブンはぼったくりの弁当やパンで有名
[402.746] mahiro_8: ファミマはどこにでもある
[404.082] こがや: これ豆知識なんですけど、秋田はSuica使えません
[406.589] balthazar000: セブンはしばらく仙台あたりまでしかなかったんだ
[412.549] chanmipoin: セブン信者か？
[414.309] kusoyarou_2nd: まあセブン
[415.345] nosveral: 私が承認する食事休憩
[415.446] np2np: 店舗数はセブンだね
[416.731] mahiro_8: セブンはじわじわせめる
[417.413] kaworuko19: 北海道もローソンばっかだった気がする
[418.322] neon_d99: セブンはまじで都会にしかないよ
[420.569] スクルドちゃん: 厚底弁当のセブン
[421.337] forthemoment_elt: セブン覇権は都会の感覚
[429.863] アンインストール: 11PMと合併してミニストップが無くなってる
[430.511] ebifuryai: でも食べ物はセブンが１つ頭出てるね
[431.162] バチ0628: セブンは味はいいんだけどなー
[434.112] porcupinepine: この旅でめっちゃセブン見かけてるけど
[436.166] (S)ｾﾀﾒﾝ: サンクスとヤマザキデイリーストアしか見当たらなかったガキの頃
[436.999] あさつき教: セブンの方が多いうちの田舎は都会だった！？
[439.070] (S)machakyuro: コンビニそのものを使わなくなったな
[439.606] ssGRiDM4N: うちの近所ファミマの1号店あるわ
[440.972] 閃光の: 厚底弁当
[446.627] アンインストール: AMPMやった
[447.160] (S)leonhard_mage: 地方のLAWSONは野菜売ったり好き勝手やってる印象
[448.968] momomo00123: セブンの企業努力は客を騙す事に傾きすぎてるから
[449.013] mahiro_8: うち都会だったのかー
[452.807] balthazar000: 一号店すごいなぁ
[454.078] (S)Ryozeki: セブンここ何年かで大分評判落としてる
[454.432] (S)chihaya0407: 田舎に行くと意外とデイリーヤマザキみたいなレアなコンビ二あるよな
[454.902] masarin763: 北海道・東北は駅キオスクの代わりにセブンが入ってる
[455.309] umesecond: 最初昼飯なしで行くかとか言ってたのにちゃんと食うようになった
[462.584] (S)ふみふみ23: ツナマヨおにぎりはセブンが別格
[463.215] chukasoba: 田舎はセブンあるかどうかでマウント取り合うからな
[464.618] tsurupikahagemaru_kun: ヤニ補給
[465.729] (S)kkshkk: 車でゴーゴー
[466.363] (S)くえんち: 山奥にポツンとあるのはローソンの印象つよい
[466.744] ~MISSING_COMMENTER_INFO~: 北海道といえばセイコーマート
[466.929] chin_56_: 嫌なヒーロー
[468.060] Mrk111: ニコチンマン、新しいモクよ
[468.095] (S)tilia211: くっさいヒーローだなぁ
[472.467] balthazar000: サンクスがファミマになったパターンが多い
[478.116] nakanohito_22: ウメちゃんのツイッチにサブスクするとわんこそば動画みれるんですか？
[479.026] ca2ca2: この後はファミマ、ファミマ
[483.376] ima_son: 激臭ヒーロー
[485.501] (S)ｾﾀﾒﾝ: セコマは強すぎる、マジで近所にほしい
[486.119] のってる: ヤニの悪魔
[491.858] masarin763: セイコーマート意外と駅前とかにないのよね。うまいけど
[492.612] fin_fannel: シケモクマンが運転席に
[493.577] yuumo7321: 岩手普通にセブン多いぞ
[494.549] lun__01: Dはまだいけそう？
[494.842] sakai_jin2020: ニコチンマンめっちゃ元気だな
[497.414] UNCHI123456: セブンの弁当の容器えげつない
[497.788] (S)菌球: 菌球 subscribed with Prime. 
[498.000] (S)machakyuro: まだロキソニンがある
[502.680] こがや: 今さらっと調べたら、キャメルマートってなくなってたんだね・・・
[503.413] Mrk111: この辺のローソンって元はホットスパーが多いはず
[505.846] porcupinepine: バファリンを貫通
[506.483] neon_d99: ローソンファミマはご当地コンビニ買収して統合してる
[510.814] ca2ca2: てか道の駅あるからそこで休み
[511.003] kirakiracat331: 痛み止めって痛くなる前に飲まないと効き目遅くない？
[512.459] ebifuryai: セコマのカツ丼はうまい
[515.958] teruharu_: ホットスパーなつい
[517.811] isesyoi: きゃべつ太郎
[518.700] Mrk111: @ゆっきゅー 秋田県に1店舗だけある模様
[524.957] アンインストール: サークルKサンクスポプラもなくなった
[524.964] nakanohito_22: ウメちゃんのツイッチにサブスクするとわんこそば動画みれるんですか？？？
[527.327] balthazar000: キャメルはもう随分前に見なくなったなぁ
[529.586] (S)machakyuro: まえは結構あった個人経営のコンビニってなくなったね
[536.542] forthemoment_elt: 肩は優しく叩いてあげてくださいね
[538.854] ~MISSING_COMMENTER_INFO~: コンビニ行くよりスーパーのほうが近いから・・・
[539.382] spring__thief: jyaraaaa subscribed with Prime. They've subscribed for 30 months! 
[541.890] balthazar000: ampmも無くなってもうた
[544.005] 閃光の: サークルKなくなったよね
[550.887] Phenomer: 食ってるとこみたい
[554.945] ca2ca2: 八幡平市民だけどここまだ山じゃないよ
[555.234] アンインストール: セーブオンとか言うレアなコンビニもあっという間に撤退
[555.348] np2np: 声が可愛いと噂のね
[557.027] tsurupikahagemaru_kun: 個人のやつは大体チェーン店に潰されるね
[560.000] みんら: 腕利きのババアはいなかったの？
[560.089] neon_d99: サンクスとかな
[560.795] 芋之山: そういやヤマザキこの散歩あんま見ないな
[561.285] thunderbolt0422: サンクスと統合したけど、それもないよね
[561.991] usa451: ただの食事でもいいよ
[562.974] ima_son: ampmはファミマに生まれ変わった
[564.571] mahiro_8: ほい
[564.875] (S)闘劇のアルベルト: どんどん じゃんじゃん
[565.178] (S)gfy_twitch: 安比に売上全１ローソンあるらしいね
[566.145] (S)dj0d4y4k4: ほかの動画はあるの？
[566.369] poyoyon915: ロキソニンは痛くなってから飲んでも1時間もしたら引いてくる
[566.881] サラバア: だがそれがいい
[569.764] kaigaizei: 盛り上がらないなら普通にツイッターにアップでもいいよ
[570.781] 4jou_half: それでいい
[570.924] masarin763: ampm/サークルKはファミマとかに統合されたはず
[571.980] いがぐりころころ: 気になるから見たい
[572.782] ~MISSING_COMMENTER_INFO~: まだ半駄菓子屋みたいな個人コンビニあるわ
[575.424] fin_fannel: サンクス懐かしい
[575.606] forthemoment_elt: 1モニターで並び対戦だったのか
[575.926] mifune1046: 下り坂の方がキツイっていうけど、本当ですか？？
[579.529] pochichan11: Cheer100 
[580.426] embercleave4rr: サンクスはローソンに食われた
[584.336] nakanohito_22: プライムサブスクどれにするか迷ってるから
[584.933] (S)ｾﾀﾒﾝ: 個人経営のコンビニは大手が露骨に近所に出店するしね
[585.486] こがや: ほんまや・・・キャメルマート最後の１店舗、ちょっと前に記事になってますね・・・ありがとございます〜
[588.074] nappamatei: 腕は引きちぎった？
[589.306] neon_d99: スリーエフとか
[589.547] ~MISSING_COMMENTER_INFO~: ampmとか見たこともない
[590.722] ima_son: スリーエフってあったよね
[592.505] (S)がーこ: 岩手はリトルスターってコンビニ多かったなあ
[598.280] アンインストール: ショップ99も懐かしいなぁ
[601.646] しいたけもぐもぐ: 懐かし
[605.224] fin_fannel: スリーエフw
[606.646] UNCHI123456: サンクス
[606.875] masarin763: スリーエフはローソンになった
[611.489] usa451: サークルK
[614.192] (S)Maloneal: スリーエフのホットスナック好きだった
[614.286] neon_d99: もうほぼ大手３つに統合された
[614.296] アンインストール: スリーエフもレアやー
[614.918] Shimada1015: デリヤマのパンすき
[615.176] LEE4646: 下りは日ごろ使わない筋肉使うから痛めやすい
[615.991] nikorinko: ポプラ
[616.759] 4jou_half: サークルKサンクスも見なくなったな
[618.790] animarotta: 車って最高だね
[619.795] mifune1046: 千葉にポプラってあったね
[620.032] ddb365: 八幡平のクマ牧場ってさすがに無くなりましたかね？
[623.602] invisible_focus: デイリーヤマザキ、高みの見物
[623.643] kaworuko19: まいばすけっとよ
[625.310] neon_d99: 完全に三国志
[630.427] nakanohito_22: ウメちゃん青森のコンビニと言えばオレンジハートだぞ
[631.512] jacofrost: ハセガワストア
[634.934] しいたけもぐもぐ: スリーエフはローソンか
[637.483] ガチくんコス転売ヤー: サークルKはファミマに買収された
[640.635] スクルドちゃん: デイリーヤマザキは新横浜駅前にでかい店舗ある
[642.785] ca2ca2: クマ牧場ないよ
[642.843] ロイヤルロッホ那賀: デイリーヤマザキ見なくなって寂しい
[648.472] masarin763: ポプラは九州発
[651.104] (S)kireboshibasyato: セーブオン
[651.456] thunderbolt0422: アシカいたな
[653.338] ima_son: デイリーヤマザキは店で焼いたパンうまい
[655.715] ~MISSING_COMMENTER_INFO~: オレンジハートw
[656.334] アンインストール: 福岡はコスモス薬局が何でも売ってるらしい
[659.558] akaao123: 昔コンビニ出来たときに開店記念でソフトクリームとか無料配布あったよね？
[660.621] lg99632: ラッキーピエロ青森着いたら行くんすか
[661.246] nikorinko: セイコーマート青森にあったけ？
[663.215] ddb365: @ca2ca2 ないんですね ありがとう
[663.357] 閃光の: デイリーのパン美味しいよな
[663.532] Mrk111: オレンジハートは店内で焼いてるパンがおいしかった
[664.734] nakanohito_22: オレンジハートの惣菜マジうまいからよれたら頼む
[665.716] (S)kkshkk: 青森もサークルＫ多かったよ
[668.230] ビフィダス: 岩本町のデイリーヤマザキなんなんだろ
