[20.299] suhifire: おそーいｗ
[189.888] mohita_3: 一周回ってガチくんからドライヤーの音がする様に見えてきた
[190.240] light_hight: 開いたら開幕ドライヤーで草
[192.485] 45tm83: w
[193.820] (S)ぺりんご: umeBoom
[196.491] thefrozensun_: ドライヤーの音ちょうど聞きたかったんだよね～
[198.922] akira_s_: 風量すご
[200.066] BrokenJP: なんやこれ・・・
[200.991] (S)若鶏の唐揚げ: umeCossack
[204.782] しろまるこ: NotLikeThis
[207.001] oimo: 自由すぎるｗ
[211.324] カブトシロ: 川にでも落ちたか？
[212.632] (S)junjamaica: 斬新やなぁ
[213.179] ledlight9413: 勝手に配信付けられてない？
[214.409] akira_s_: バズーカやん
[214.568] asakura3dayo: なんなん
[217.098] よもぎです: なんかエロい
[219.916] (S)gyu_nyuu_pann: こんにちはー
[219.954] 310_2525: ドライヤー配信ありがたや～
[222.465] nakao1976: 磯の香りは取れたのかなあw
[223.539] tabibitox: マイク切れあいいのにｗ
[228.047] aranami0: ウメちゃんさすがに音大きくしてくれ
[232.811] (S)kk_au_: w
[234.165] Cronoloves: すべてを見せていく
[234.589] (S)gyu_nyuu_pann: 体洗い後か
[235.536] 不渡哲也: 髭剃り 
[238.039] kkshkk: 冷風は甘え
[238.076] akira_s_: ホタテのせいなんや
[241.961] 新ころりん: ドライヤーの音を上げる
[242.128] asakura3dayo: マイク切れ
[242.867] HirocoT: 常に斬新配信ｗ
[243.594] komay38: 神のドライヤー
[244.303] despera_lk: ドライヤー草
[244.670] taroumaruh: ドライヤーの音が大きくなったじゃんねぇ
[247.145] thaghost1988: doodmaxhype
[248.053] (S)gyu_nyuu_pann: ﾌﾞｵｵｵｵｵｵ
[255.441] toshikiiii: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[257.526] moscat0c7: ドライヤー優先
[258.917] lutz001: 今来たら凄くて草
[259.281] aranami0: ドライヤーｗ
[272.547] toshikiiii: リアルな配信
[272.698] asakura3dayo: 騒音配信
[272.793] (S)lilorzlil: いま来たけどPCぶっ壊れたかと思った
[273.037] (S)gold_power1969: こんにちは～
[274.535] rt340: www
[275.351] thefrozensun_: ウメ配信ぽくていいなw
[276.342] v_harumi_v: きゃわわ
[277.204] (S)junjamaica: ドライヤーASMR格闘ゲームの映像見ながらって題名でw
[285.140] (S)gyu_nyuu_pann: はー草
[293.185] sarah_0519: ドライヤーしながら見よっか
[293.467] rt340: ホタテ配信見終わったらドライヤー配信してて草
[296.414] ponyforest: えｗ
[301.326] crownin_fumizuki: プロゲーマーという自由業
[304.474] jagajaga1943: 応援とはｗ
[306.742] (S)maya_g01: ドライヤーｗｗ
[312.274] lutz001: 生活の一部ってわけ
[314.375] usa451: 入念にドライヤー
[315.475] butaki3: どっちがメインか難しいな
[318.042] kimie_white: ぶおーーーーーーん
[319.942] nakao1976: 流石に、ドライヤーでは事件起きないだろうなぁo(^-^)o
[324.418] むぎわら猫: ちゃんと乾かしてえらい
[324.527] 310_2525: このドライヤー結構持続フレーム長いね
[325.429] moscat0c7: ボンとガチくんは解説してるのにｗ
[326.436] (S)miracle_flash: 自由すぎて面白い
[330.315] asakura3dayo: やばいやばい
[334.145] (S)gyu_nyuu_pann: 入念だなぁ
[334.445] karumememe: どっち見るか迷う
[334.616] myodent21: ちゃんとドライヤーしてるの偉いじゃんねぇ
[334.660] rt340: ドライヤーASMR
[340.525] (S)maya_g01: さすがに予想してなかった
[343.313] tarako7016: 今来たけど、わらｔｗ
[345.545] クラクラ777: ミュートよｗ
[346.148] lutz001: 高そうなドライヤー
[346.164] pondenring0930: 髪はセットしないがドライヤーはマメだな
[347.041] ﾃﾄﾗﾝ: マイク切らずにやるのが凄い
[348.117] sengoku_iori: 持続ながすぎー
[350.467] 1rioreusu: 今のうまい
[352.698] 三角_: もう乾いたろｗｗｗ
[355.383] (S)yamato925925: ww
[358.151] dental15: ドライヤーの音配信に入れてる人初めて見た
[360.955] サラエボ眉間: ドライヤー長くない？
[362.582] mako6912: 念入りに乾かすw
[364.036] (S)junjamaica: もうしょうがないから、このドライヤーの値段当てようw
[364.153] tsubame0614: けんきに配信でウメちゃんのドライアーがウルさいってあったので来ました
[365.761] kimie_white: 毛量多いなウメチャン
[366.088] 不渡哲也: ドライヤーがんばえ〜
[366.874] 八極盗撮個展: あまりにもかわいい
[370.083] カブトシロ: これが応援配信…
[370.750] gorilla_osaka: レッドブルに文句でもあるんか
[373.345] SleepShiva: さすがにミュートした
[373.986] (S)gyu_nyuu_pann: 試合に目がいかない
[374.483] original0115: なんでミラーがミュートでドライヤー音入りなんだよ
[379.355] tarako7016: ぜんぜん応援してないｗ
[380.320] usa451: もう乾いてる
[381.303] crownin_fumizuki: ５０００円
[381.755] クラクラ777: ゲーム音もなんもきこえんｗｗｗ
[382.511] よもぎです: どっち見ればいいの…
[384.202] oh_yama329: ドライヤー音聞きに来ました！
[385.572] _てんさん: ｗｗｗｗｗｗ
[386.928] toshikiiii: これ今後リリィ使うこと隠喩してるだろ
[388.692] ぺせた: パソコン壊れたかと思った、、
[390.162] nyaa09: 見に来たら爆音ドライヤーで草
[394.852] (S)しゃくれ: ドライヤーしてる間に試合が終わるくらいスト6の展開ははやいよってアピール
[396.998] junyaawatanabe: yoooo
[397.454] 三角_: 髪痛むぞ
[398.518] ddb365: こんにちはー
[400.362] crownin_fumizuki: 風を溜めてるね
[400.436] 6pouzsyo: ドライヤー配信草
[400.449] (S)yamato925925: 応援とは
[404.323] v_harumi_v: 念入りにドライヤーするのね
[404.832] (S)rockmantarou: 空港?
[405.643] tabibitox: ホタテ食う王だぞ？ドライヤーも配信するわ
[406.326] aranami0: 生乾きは嫌だからね
[406.599] mec314: ついにドライヤーでプレイするようになったか
[407.775] (S)aruch_22: いやー驚いたね
[410.896] mutant_dogg: これが応援だ
[413.126] junyaawatanabe: nice hair
[413.785] ledlight9413: 全然乾かない
[414.711] (S)morinagasyuya: ゲーム音<ドライヤー
[414.881] gorilla_osaka: 権力を誇示する配信
[415.739] pondenring0930: ドライヤー音が観客が出す騒音だと思い込む力
[416.220] sengoku_iori: 風を纏い出したか！？笑
[416.939] 310_2525: 入念で草
[417.307] 1rioreusu: 冷風かよ
[417.811] umetyaahan: この前寝癖やばかったからね
[419.508] (S)junjamaica: 結構いいドライヤーかも
[420.606] 不渡哲也: ドライヤーコントローラーってまじ？
[421.494] (S)gyu_nyuu_pann: 長いね
[422.680] (S)yoshiaki1986: ごしごしごし
[423.662] クラクラ777: これが新時代のストリーマーだ！！！
[423.781] oh_say__: かっこいい
[425.293] wonderhit1: 毛量多いの？
[426.036] rt340: ドライヤーしてから応援余裕でした
[427.673] カブトシロ: よく乾かす
[428.796] asakura3dayo: もう乾いてるよ
[430.179] nikkou18: 応援配信と聞いてきたけどオッサンのドライヤー見せられてなんだこれ
[431.125] (S)rockmantarou: ゲーミングドライヤー
[432.792] (S)蝉時雨: 丁寧に乾かします
[433.333] Dazai_E: 念入りに乾かすタイプw
[433.480] moscat0c7: これ公認配信ｗ
[436.391] 1rioreusu: 視聴者減ってる
[439.507] チー油: 配信つけたらドライヤー音だった
[443.529] tarako7016: これには海外ニキもコメントがないｗ
[444.437] ledlight9413: 頭熱そう
[445.016] burisuke: いいドライヤーっぽいな
[446.871] Phenomer: ゴーーーーーーーーーー
[449.193] crownin_fumizuki: すぐ終わっからまってろｗｗｗｗ
[451.607] butaki3: ドライヤーのスポンサーくるか
[452.167] 三角_: あまりにもしつこい
[453.329] (S)しゃくれ: うっま
[457.579] doomosan: 髪傷んじゃう
[457.855] asakura3dayo: ドライヤーメーカーのスポンサード狙っとるんか
[461.113] 6pouzsyo: ジャスパ上手い
[463.644] tarako7016: 特定班ドライヤーのメーカー探して
[464.281] (S)junjamaica: こんなけ乾かしてもあの寝癖w
[468.554] rias9121: PR ドライヤー
[472.873] rak_luk: こんにちは、ホタテもらいにきました
[473.488] doiyasannn: やりすぎじゃない？
[473.599] よもぎです: ダイソンのドライヤーなら30秒で終わるよウメさん
[474.300] usa451: もうタオル巻いて
[474.578] 1rioreusu: 乙
[476.186] aranami0: 乾いた！
[477.375] Aquasenpai: ナノケアーかな
[477.638] v_harumi_v: ふ～
[479.391] taroumaruh: さっぱりしたね～
[479.846] カブトシロ: 気が済んだか？
[480.476] (S)gyu_nyuu_pann: あ かわいた
[481.541] akira_s_: お疲れ様です
[481.740] v_harumi_v: お疲れ様ですー
[482.059] burisuke: ッケイ 
[483.368] 157655: 応援始まってたか
[483.693] 不渡哲也: あぁドライヤー終わっちゃったぁ…
[484.740] mako6912: www
[484.759] rt340: Panasonic | Daigo
[484.983] ukir02: スッキリ
[485.211] 310_2525: お疲れ様です
[485.718] HirocoT: ふぅ
[485.735] mutant_dogg: Panasonicかな
[486.666] asakura3dayo: ふーはこっちのセリフだよ
[487.152] rak_luk: ホタテくださいな
[488.583] meeememe: ダイソンビーストくるか
[490.700] umetyaahan: お疲れ
[491.998] (S)しゃくれ: 本当に音出てなかった
[492.043] (S)maya_g01: 逆に物足りなくなってきた
[494.741] aranami0: それでもミラー先の音何も聞こえんｗ
[495.014] nakao86: さっき貝と格闘してた人ですか？
[498.944] (S)gyu_nyuu_pann: お疲れ
[507.693] rak_luk: ホタテの人ーー
[508.827] toshikiiii: これには絶対に意味があるリリィ頑張って下さい
[511.650] myodent21: パナのナノケアって髪つやつやになるよね
[517.805] ainame3: ドライヤーから海の香りがする
[518.033] mako6912: 自由すぎるw
[520.181] Hiraki16133: ドライヤーの音聞こえなくなるからゲーム音はオフ
[520.448] tamujiro: あまりにも自由
[521.261] Aefen: when is there gonna be a hitbox hair drier
[523.337] jagajaga1943: 大会の音聞こえませーん
[524.662] masamumune: ハイパーXのゲーミングドライヤー発売フラグ
[527.810] daviddoleo: The sound is bad, I heard something like a blower
[528.542] nikkou18: 試合してる二人もまさかドライヤーで応援されてるとは夢にも思うまい
[535.676] umetyaahan: そしていなくなった
[536.043] セルベリア: ホタテパスタを数分で完食したひと
[540.778] asakura3dayo: 消えるだったらそっちでドライヤーやってくれりゃええのに
[541.378] (S)junjamaica: とりまASMRは終わった❗
[544.009] rak_luk: 王のみが許される自由
[544.150] クラクラ777: そしてだれもいなくなった・・・・
[548.622] lutz001: そしていなくなった
[556.536] (S)gyu_nyuu_pann: 応援しないまま試合終わるんじゃない？
[561.932] nyaa09: 公認配信でここまで自由な人もそういない
[563.029] 157655: インパクトは通されたがホタテに大差で勝利したBEAST
[563.836] akira_s_: ミラー音
[565.595] crownin_fumizuki: おつ
[566.512] v_harumi_v: 大会の音が出てないですよー
[569.044] tmtm84: 音声なし？
[572.991] umetyaahan: おつかれさん
[573.969] aranami0: 音おなしゃす
[574.526] (S)gyu_nyuu_pann: 音出てないですー
[575.191] gorilla_osaka: 偉くなれば自由が許される
[576.568] HirocoT: よいしょ
[577.303] myodent21: ゲーム音ください
[582.504] daviddoleo: Good morning sensei
[584.249] tarako7016: ドライヤーの音だけ出てましたｗ
[586.258] (S)新戸ぺろきち: 新戸ぺろきち subscribed with Prime. They've subscribed for 3 months, currently on a 3 month streak! 
[586.855] rak_luk: ホタテが見えないです
[586.944] jagajaga1943: ミュートになってる
[589.411] v_harumi_v: 音ありがとー
[589.466] burisuke: ッケイ
[589.958] akira_s_: 来ました
[592.759] ei1eN: 人狼に出てた翔にぃが優勝しそうな勢い
[593.318] (S)gyu_nyuu_pann: ありがとー
[593.408] カブトシロ: 聞こえた！
[595.134] mako6912: きた
[596.675] (S)junjamaica: ちっさ
[601.327] hiisan: あっ
[602.714] pondenring0930: あ
[602.871] (S)ミジンコ隊長: ん？
[603.247] くまリンカ: とまった
[604.081] ほうじ21: あ
[604.111] (S)しゃくれ: あ
[604.517] スタガフェイド: ドライヤー配信だからね
[604.600] v_harumi_v: あらら
[604.989] kaigaizei: ブブ
[605.206] akira_s_: 時が
[605.223] えびふラ: あ
[605.238] (S)gyu_nyuu_pann: あら？
[605.714] taroumaruh: ブブ
[607.770] burisuke: umeNirami
[608.169] nakao86: スポンサーの大会なのに・・
[608.416] tmtm84: THE WORLDD!!
[612.261] 三角_: 観戦が切れたっぽいね
[612.381] HirocoT: あ
[612.848] umetyaahan: 大会をミュートにしてドライヤーの音を流すと言う暴挙
[613.303] pondenring0930: カプコン？
[614.006] (S)しゃくれ: また再試合か？
[614.056] (S)maya_g01: ありゃー
[614.166] Aefen: LMAO
[615.269] nyaa09: 投げ抜け連打の時間じゃん
[615.460] isekai7153: あ
[615.931] ei1eN: ぶぶ６
[619.465] (S)gyu_nyuu_pann: ありゃ
[620.384] kaigaizei: 通信エラー続くな
[624.304] akira_s_: よかった
[626.267] 000105: NotLikeThis
[627.121] taroumaruh: 観戦のエラーでまくり
[627.501] tabibitox: ホストの観戦エラーやな
[629.159] (S)蝉時雨: なんか嫌やね〜
[631.210] (S)junjamaica: ドライヤーASMRがメインだからな
[632.153] doomosan: カプンコ？
[633.872] sistersguitarreplica: うめたゃんこんにちは
[634.578] (S)morinagasyuya: イメージww
[635.765] (S)gyu_nyuu_pann: 残念
[635.802] tarako7016: 観戦者が多いのか
[636.783] gorilla_osaka: 興味なさそう
[646.132] falcanon: こんにちは。
[647.189] gloomymario: エア観戦
[647.953] lesame: なんか変なのはじまった
[651.454] shifoncafe: それはそう
[658.631] tarako7016: 先輩、後輩が頑張って場をつないですまよ
[662.642] sengoku_iori: 今日の海は楽しめましたか？
[663.954] gentarousdm: 観戦でエラー出まくるのは配信では致命的だな
[667.468] BrokenJP: ｺﾆﾁﾜー
[667.536] myodent21: ガチくんゴルファーみたい
[670.187] pondenring0930: プロゴルファーわや
[670.385] v_harumi_v: ！？
[670.595] ドア裏最高: 絶対にラウンド終わっとるっていう
[671.916] kobetaf: これどっち有利？眼鏡？
[672.472] doomosan: 今？
[680.363] 310_2525: こんちわ～
[686.548] (S)morinagasyuya: ちわわ
[688.229] (S)gyu_nyuu_pann: プロゴルファーわやw
[690.499] hukohuko: 配信はじるタイミング悪いねw
[693.442] sengoku_iori: ちわーっす
[694.091] kabicha000: はいこんにちは
[694.579] (S)maya_g01: ｗｗ
[695.245] (S)しゃくれ: こんにちは〜
[697.632] (S)gyu_nyuu_pann: こんちは
[698.456] (S)thgosii: does he understand english?
[699.352] (S)tantantatantan: こんにちはー
[699.447] burisuke: ホントはウメちゃんも組手呼ばれてたんでしょ？
[701.188] yujirosandayo: こんにちは
[701.251] gloomymario: 翔JPやばす
[701.989] maddy2623: こんにちはおじさん
[704.643] えびふラ: こんにちは〜^
[704.847] myodent21: また音消えた？
[704.899] tamujiro: ウメハラさんは組手出るんですか？
[705.206] kebiisi: ちわっす
[706.609] mamamamatsu: こんにちはー
[706.707] kernel999: かべ勝ちそう
[706.754] rak_luk: ウメちゃんならホタテ食ってうまく繋げるのにな
[706.943] asakura3dayo: はいこんにちは
[708.437] wende720: 誰応援？
[710.074] (S)junjamaica: またおときえたぞ
[711.059] lesame: いかがおすごしですか〜？
[711.341] tarako330: こんちゃー ホタテどうでした〜?
[712.124] HirocoT: こんちは
[713.577] (S)maya_g01: こんちはー
[713.772] カブトシロ: ウメちゃんはホタテの事で頭がイッパイ。
[714.350] gbmtp366: ドライヤー終わって一言目
[715.230] (S)~MISSING_COMMENTER_INFO~: 今回組手行かないのは企画があるから？
[715.613] ei1eN: Aグループは水派と翔
[716.482] (S)nagasaki3662: ちゃんと挨拶できてえらい
[722.275] umetyaahan: ウメちゃんはなんで出なかったの？
[722.716] NekoPunchKick: おすすめのアイコン面白い
[725.269] (S)gyu_nyuu_pann: 誰が勝つかなぁ
[725.320] daviddoleo: Konichiwa
[726.622] foo_twitch: ホタテ配信をかぶせるわけにはいかない
[732.172] gomesu: アフリカは遠すぎる
[735.326] kernel999: と思ったら負けた…
[735.753] asakura3dayo: チャンネル登録しろって言われとるぞ
[735.780] 犬舐めんなよ: ホタテはバター醤油で焼く派ですか？
[736.119] burisuke: ホタテと言ったら安岡力也よ
[736.337] yuuubin: こんにちわ！ゲストはいないのかな
[736.371] Papapadad: まだ磯臭い？
[737.481] CARNO_JPN: hello umehara!!
[739.038] (S)hitmehitme: karubisFurifurii
[741.668] oh_say__: 大会でれないんですか？
[741.880] (S)latenight000: マスコミみたいにめっちゃ組手に出ない理由聞かれとるやんけw
[750.403] (S)maeda_sutemaru: レッドブルのチャンネルフォローしてないんか…
[761.633] tabibitox: ブルのチャンネルをフォローしようぜ
[762.817] chari3: 本配信のコメントは消したら？
[764.666] (S)~MISSING_COMMENTER_INFO~: yuyutaB
[764.719] rak_luk: ウメちゃんってパーマかけてるの
[766.190] かべ_娘は双子: こんにちわ
[767.740] heterotopia3: ログインしてないからでは
[768.532] (S)~MISSING_COMMENTER_INFO~: yuyutaB
[769.487] nakao86: 梅 南アフリカは怖い
[770.306] maddy2623: 画面の取り込み範囲がおかしくなってますよ
[772.368] tarako7016: きつね
[773.913] milanor03: 陽キャポーズ
[774.048] pondenring0930: 暇ハラ
[774.580] tarako330: ぐわし
[775.358] gomesu: その前にログインじゃん
[776.351] asakura3dayo: 白井球審かよ
[778.139] ~MISSING_COMMENTER_INFO~: Silverhand
[778.141] えびふラ: シークレットタブやで
[779.920] usa451: 今日最後まで応援するの？結構長いけど
[782.129] 新福菜館マン: 本戦は解説にダイゴですか？
[784.868] burisuke: umeFail
[790.608] jagajaga1943: GO1負けました
[795.500] カブトシロ: グワシ？
[807.381] niemalsaufgeben: スト6の試合はやいからすぐ終わるよ
[811.515] kaigaizei: わからんけどこの後総当りリーグをやる
[814.031] peperon17: ミラーあったあ
[815.476] (S)hitmehitme: 本配信の音ない？
[821.072] (S)しゃくれ: スト6の試合展開のおかげで昨日も予定より早く終わったから
[821.197] asakura3dayo: 止まったかと思った
[823.095] ei1eN: 決勝に４人進んで総当たり
[824.564] hiro_chan: ノブレがんばれー！
[831.886] sdfieidfjjaijfja: NiceTry
[834.151] pondenring0930: 再開だあああ
[835.206] 新福菜館マン: JP戦は長い
[836.380] かべ_娘は双子: ウメちゃんしばらくは個人大会出ない感じですか？
[839.240] (S)gyu_nyuu_pann: なるほど
[841.020] HirocoT: 総当たりですものねぇ
[841.224] jagajaga1943: フルスクリーンでもミュートできるよ
[842.364] gorilla_osaka: つなぎのトークに興味はない
[842.407] 黒猫くん: ウメさんウメさん
[842.881] (S)hitmehitme: karubisFurifurii
[848.830] mengachan: 1時間半で40%ぐらい終わってる？
[851.201] sengoku_iori: 画面のそのままでミュート操作できますよ
[852.318] ei1eN: 翔と水派はもう決まった
[854.640] peperon17: 翔君が強すぎます
[855.489] 新福菜館マン: いぶし銀の時代来てない？
[870.131] hiro_chan: ルーザーズってリーグ戦おなじなの？
[870.317] (M)(S)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[873.651] sistersguitarreplica: ヌキさんがノーブルルークがルークで1番強いとか言ってた気がする
[877.571] (S)latenight000: 真上は落ちないのよねぇ
[885.486] pikaloid23: Daigo in not playing in tornament ???
[888.611] (S)日本語かな: ウメちゃん、ルークの弾にジャスパリしてケンの立ち大Kキャンセルをかべくんやってたけどやれる？
[905.675] hiro_chan: ノブレはいぶし銀スカウトされないの？
[924.605] soutyanneruuu: さすがにぼんちゃんじゃね
[924.755] (M)(S)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[927.647] オワオワタ: ノーブルくんどこにも所属してないってマジ？
[942.693] rinze_chan: ノーブルつええ
[946.083] くまリンカ: 3先？
[951.413] natsume1313: 今作弾強すぎると思ったけどリスクも結構あるんだね。良いバランス
[953.242] hiro_chan: リジェクトはノブレスカウトしたほうがいい
[953.265] niemalsaufgeben: いぶし銀って熊本でしょ？層厚いな
[953.990] jagajaga1943: 3先
[959.251] 1rioreusu: YEAH
[963.554] foo_twitch: FT3は３先
[964.414] カブトシロ: 大会終わったら酒飲んでも良いから頑張ろ。
[967.422] nyapittu: 梅原さんはケンルークの相性はどう見てますか？
[979.425] (S)蝉時雨: いぶし銀おもろい選手2人も抱えてんのね
[980.747] maddy2623: スト６でいぶし銀目立ってるね
[983.433] hukohuko: いぶし銀は今はささも、やない、翔、かべの4人かな
[987.618] potato198504: そもそも誰を応援してるの？
[990.143] aranami0: いぶし銀は熊本と提携してる福島のチーム
[992.474] zizo_xd123: ft3
[992.693] jigokunonekomatu: いぶし銀は福島じゃなかった？
[1003.771] (S)蝉時雨: あらー、良いメンツやないぶし銀
[1007.533] niemalsaufgeben: チームは福島なんだ
[1007.927] isekai7153: やーる
[1013.429] kimie_white: レッドブルを応援
[1018.290] mec314: !now
[1027.194] ei1eN: いぶし銀を含めると再春館の層が厚すぎる
[1028.550] はやお閣下: 昇龍拳ってキャラごとの性能差みたいなのってあるんですか？
[1042.591] hukohuko: これを見てるとSFLでも良いセン行くと思ういぶし銀
[1043.295] twitchyarutch: スポンサーさえ集まればもう数チーム増やせるな、試合もスムーズに進むし
[1051.801] nakao86: あ
[1052.742] plala84: たかし…
[1052.883] comment3: RyuChamp
[1053.690] nakao1976: え？
[1054.511] jigen0104: w
[1055.310] burisuke: 隆・・・
[1055.382] (S)junjamaica: ガチニキ間違えたコメントしないか心配だなw
[1056.633] 000105: RyuChamp
[1057.109] Hiraki16133: なんでや
[1061.281] tsubame5204: umeFail
[1061.571] クラクラ777: いぶしぎんつよｗ
[1061.982] はちびっと: そうなんだ
[1062.818] (S)おかもこ: おお
[1063.163] sussy_int: リュウさんどうして・・・
[1063.933] (S)latenight000: リュウはダメージが高いのかな？
[1064.055] sistersguitarreplica: ラーメン屋だから仕方ない
[1064.117] のってる: リュウがダメージ高くてルークは横に伸びる。ケンは通常で弾抜け
[1067.870] (S)gyu_nyuu_pann: おおー
[1067.918] isekai7153: コンボ選択正解か
[1068.725] jigen0104: いつもそう
[1068.887] (S)thgosii: what a damage
[1068.949] umetyaahan: さがっとに傷を負わせた昇竜が、、
[1069.279] usa451: 横押し力
[1072.644] omochi09: umeFail
[1080.809] のりゆき0125: ケンつよっ
[1085.058] maddy2623: リュウは波動だからね
[1085.089] tarako7016: 波動拳は？
[1091.894] オワオワタ: イクサよりいぶし銀の方が強そうだな
[1095.396] plala84: ケンまじでいい位置にいるよなぁ
[1097.698] (S)日本語かな: 追撃できるからルークのダメージの良さもあるよ
[1097.880] jasminecat: ジェイミー…
[1097.969] hiro_chan: なげすてていけ
[1100.008] マリンカラード: ルークとリュウの昇竜そんなに違いあるの？
[1100.871] (S)nagasaki3662: かべケン参考になる動きとかある？
[1101.327] user_5960: ルークの昇竜強い？
[1102.105] (S)thgosii: good to see ken doing fine against luke
[1102.367] elelrei: ウメちゃんがケン信じて良かった
[1103.374] takusan0101: ジュリの対空も壊れてる
[1104.006] ド森林: 確か無印のⅡだけ同性能なんやっけ
[1106.586] クラクラ777: いぶしぎん揃ってるよなぁ
[1110.737] ei1eN: ウメハウスに来てたいぶし銀
[1112.529] 吉田じんぎ: でも今回の大昇竜なんか音とかしょっぱい
[1113.332] doomosan: 中ｋ
[1114.850] のってる: 波動はケンの方が硬直長い
[1115.724] ぼむむ: スト6買ったわ、待ってろよ梅原
[1117.748] hiro_chan: インパクトあかん
[1123.846] おにゃにん: 3rdっぽい
[1125.183] jigokunonekomatu: いいよーかべくんがんばれー
[1125.694] soutyanneruuu: 発生５だっけ
[1127.155] isekai7153: インパクト絶対通さないマン
[1127.543] くまリンカ: さくらどうなるやろ
[1128.512] (S)latenight000: ケンは準強キャラぐらいでちょうど良さはある、最強キャラではなさそうだし
[1131.147] shrimpcasual: Did you reject the invite Daigo?
[1149.644] 吉田じんぎ: 5の大昇竜返して欲しい
[1150.789] (S)gyu_nyuu_pann: ケンも結構個性が出るキャラなのかな
[1158.353] usa451: 豪鬼をどういう個性
[1159.190] niemalsaufgeben: 弾あるだけで評価アップ
[1160.981] のってる: ODでダウンしないのはケンいいと思うけど
[1164.151] (S)日本語かな: 後ろ投げで良かった説？
[1174.979] takusan0101: あるだけいいよな
[1183.085] hiro_chan: ノブレあせるな
[1184.157] hachittt: なんで大フラッシュナックルをパリィでとっているのですか？インパクトじゃだめなんですか？
[1189.312] aranami0: おおお
[1190.040] クラクラ777: うま
[1193.127] 1rioreusu: そうなんですよぉ
[1193.580] isekai7153: あれ
[1194.354] (S)しゃくれ: おおお
[1195.388] akira_s_: 知識のはめこ
[1196.610] hiro_chan: ないす！
[1196.836] naginagi99: aaaaaaaaa
[1197.276] plala84: まくれなーい
[1198.466] isekai7153: リーサルじゃなかったの？
[1199.547] はちびっと: おー」
[1200.827] rt340: ありゃー
[1200.897] ddb365: 就活アッパー
[1201.328] Hiraki16133: うわ
[1203.215] すーさん22: リーサルじゃないんか？
[1204.290] akira_s_: 勝ちたいんや
